"IsDeleted","Category","Description","IsActive","LastProcessedDate","EndDate","Name","SystemModstamp","StartDate","Objective","OwnerId","CreatedDate","Level","Dummy_Key","Id","Methods","EndDate_Computed"
"false","Personal Selling","Description of Dmart Store Promotion 12","true","2021-01-29","2020-11-30","10% Off","2021-04-21","2018-07-05","Objective of Dmart Store Promotion 12","005B0000007GkqyIAC","2021-04-21","Product Category","NA","0c8B00000004DeGIAU","Discounts","2020-11-30"
"false","Sales Promotion","Description of Dmart Store Promotion 7","true","2021-01-29","2020-11-29","45% Extra","2021-04-21","2018-07-04","Objective of Dmart Store Promotion 7","005B0000007GkqyIAC","2021-04-21","Product Category","NA","0c8B00000004DePIAU","Free Services","2020-11-29"
"false","Advertising","Description of Dmart Store Promotion 5","true","2021-01-29","2020-12-03","5% Extra","2021-04-21","2018-07-04","Objective of Dmart Store Promotion 5","005B0000007GkqyIAC","2021-04-21","Product Category","NA","0c8B00000004DebIAE","Trade Show","2020-12-03"
"false","Personal Selling","Description of Dmart Store Promotion 32","true","2021-01-29","2020-11-30","15% Off","2021-04-21","2018-07-03","Objective of Dmart Store Promotion 32","005B0000007GkqyIAC","2021-04-21","Product Category","NA","0c8B00000004DecIAE","Discounts","2020-11-30"
"false","Pubicity","Description of Dmart Store Promotion 44","true","2021-01-29","2020-12-02","21% Off","2021-04-21","2018-07-04","Objective of Dmart Store Promotion 44","005B0000007GkqyIAC","2021-04-21","Product Category","NA","0c8B00000004DeYIAU","Sampling and Demonstration","2020-12-02"
"false","Sales Promotion","Description of Dmart Store Promotion 33","true","2021-01-29","2020-12-02","22% Off","2021-04-21","2018-07-02","Objective of Dmart Store Promotion 33","005B0000007GkqyIAC","2021-04-21","Product","NA","0c8B00000004DepIAE","Coupons","2020-12-02"
"false","Sales Promotion","Description of Dmart Store Promotion 3","true","2021-01-29","2020-12-03","$15 Off","2021-04-21","2018-07-04","Objective of Dmart Store Promotion 3","005B0000007GkqyIAC","2021-04-21","Product","NA","0c8B00000004DeAIAU","Coupons","2020-12-03"
"false",,,"true","2021-01-29",,"$5 Off","2021-04-21","2020-10-13",,"005B0000007DFG6IAO","2021-04-21",,"NA","0c8B00000004DeCIAU",,"2021-06-08"
"false","Pubicity","Description of Dmart Store Promotion 19","true","2021-01-29","2020-12-01","$10 Off","2021-04-21","2018-07-03","Objective of Dmart Store Promotion 19","005B0000007GkqyIAC","2021-04-21","Product","NA","0c8B00000004DeEIAU","Credit Facility","2020-12-01"
"false","Personal Selling","Description of Dmart Store Promotion 42","true","2021-01-29","2020-11-30","16% Off","2021-04-21","2018-07-01","Objective of Dmart Store Promotion 42","005B0000007GkqyIAC","2021-04-21","Product Category","NA","0c8B00000004DeWIAU","Discounts","2020-11-30"
"false","Advertising","Description of Dmart Store Promotion 25","true","2021-01-29","2020-11-30","$5 Coupons","2021-04-21","2018-07-03","Objective of Dmart Store Promotion 25","005B0000007GkqyIAC","2021-04-21","Product Category","NA","0c8B00000004DeuIAE","Trade Show","2020-11-30"
"false","Advertising","Description of Dmart Store Promotion 31","true","2021-01-29","2020-12-02","$2 Off","2021-04-21","2018-07-03","Objective of Dmart Store Promotion 31","005B0000007GkqyIAC","2021-04-21","Product","NA","0c8B00000004DeFIAU","Display and Exhibition","2020-12-02"
"false","Pubicity","Description of Dmart Store Promotion 38","true","2021-01-29","2020-12-02","12% Off","2021-04-21","2018-07-02","Objective of Dmart Store Promotion 38","005B0000007GkqyIAC","2021-04-21","Product","NA","0c8B00000004DeqIAE","Gifts","2020-12-02"
"false","Advertising","Description of Dmart Store Promotion 45","true","2021-01-29","2020-12-02","26% Off","2021-04-21","2018-07-02","Objective of Dmart Store Promotion 45","005B0000007GkqyIAC","2021-04-21","Product Category","NA","0c8B00000004DeoIAE","Trade Show","2020-12-02"
"false","Personal Selling","Description of Dmart Store Promotion 6","true","2021-01-29","2020-12-03","25% Extra","2021-04-21","2018-07-04","Objective of Dmart Store Promotion 6","005B0000007GkqyIAC","2021-04-21","Product","NA","0c8B00000004DeSIAU","Exchange Offer","2020-12-03"
"false","Personal Selling","Description of Dmart Store Promotion 16","true","2021-01-29","2020-11-30","50% Off","2021-04-21","2018-07-01","Objective of Dmart Store Promotion 16","005B0000007GkqyIAC","2021-04-21","Product","NA","0c8B00000004De7IAE","Exchange Offer","2020-11-30"
"false","Advertising","Description of Dmart Store Promotion 40","true","2021-01-29","2020-12-02","66% Off","2021-04-21","2018-07-03","Objective of Dmart Store Promotion 40","005B0000007GkqyIAC","2021-04-21","Product","NA","0c8B00000004DeUIAU","Contests","2020-12-02"
"false","Sales Promotion","Description of Dmart Store Promotion 27","true","2021-01-29","2020-12-03","$2 Off","2021-04-21","2018-07-02","Objective of Dmart Store Promotion 27","005B0000007GkqyIAC","2021-04-21","Product Category","NA","0c8B00000004DekIAE","Free Services","2020-12-03"
"false","Advertising","Description of Dmart Store Promotion 30","true","2021-01-29","2020-12-01","$20 Off","2021-04-21","2018-07-03","Objective of Dmart Store Promotion 30","005B0000007GkqyIAC","2021-04-21","Product","NA","0c8B00000004DeTIAU","Contests","2020-12-01"
"false","Pubicity","Description of Dmart Store Promotion 14","true","2021-01-29","2020-11-29","30% Off","2021-04-21","2018-07-02","Objective of Dmart Store Promotion 14","005B0000007GkqyIAC","2021-04-21","Product Category","NA","0c8B00000004De4IAE","Sampling and Demonstration","2020-11-29"
"false","Pubicity","Description of Dmart Store Promotion 9","true","2021-01-29","2020-12-02","15% Extra","2021-04-21","2018-07-02","Objective of Dmart Store Promotion 9","005B0000007GkqyIAC","2021-04-21","Product","NA","0c8B00000004DeQIAU","Credit Facility","2020-12-02"
"false","Personal Selling","Description of Dmart Store Promotion 36","true","2021-01-29","2020-12-02","55% Off","2021-04-21","2018-07-02","Objective of Dmart Store Promotion 36","005B0000007GkqyIAC","2021-04-21","Product","NA","0c8B00000004DeiIAE","Exchange Offer","2020-12-02"
"false","Advertising","Description of Dmart Store Promotion 20","true","2021-01-29","2020-12-01","$10 Off Next Purchase","2021-04-21","2018-07-04","Objective of Dmart Store Promotion 20","005B0000007GkqyIAC","2021-04-21","Product","NA","0c8B00000004DeMIAU","Contests","2020-12-01"
"false","Pubicity","Description of Dmart Store Promotion 29","true","2021-01-29","2020-12-03","$7 Off","2021-04-21","2018-07-05","Objective of Dmart Store Promotion 29","005B0000007GkqyIAC","2021-04-21","Product","NA","0c8B00000004DesIAE","Credit Facility","2020-12-03"
"false","Advertising","Description of Dmart Store Promotion 1","true","2021-01-29","2020-11-30","Buy 2 Get 1","2021-04-21","2018-07-05","Objective of Dmart Store Promotion 1","005B0000007GkqyIAC","2021-04-21","Product","NA","0c8B00000004De9IAE","Display and Exhibition","2020-11-30"
"false","Pubicity","Description of Dmart Store Promotion 39","true","2021-01-29","2020-11-30","33% Off","2021-04-21","2018-07-02","Objective of Dmart Store Promotion 39","005B0000007GkqyIAC","2021-04-21","Product","NA","0c8B00000004DeeIAE","Credit Facility","2020-11-30"
"false","Advertising","Description of Dmart Store Promotion 35","true","2021-01-29","2020-12-02","45% Off","2021-04-21","2018-07-04","Objective of Dmart Store Promotion 35","005B0000007GkqyIAC","2021-04-21","Product Category","NA","0c8B00000004DeOIAU","Trade Show","2020-12-02"
"false","Advertising","Description of Dmart Store Promotion 10","true","2021-01-29","2020-12-01","Half Price","2021-04-21","2018-07-02","Objective of Dmart Store Promotion 10","005B0000007GkqyIAC","2021-04-21","Product","NA","0c8B00000004DeIIAU","Contests","2020-12-01"
"false","Pubicity","Description of Dmart Store Promotion 28","true","2021-01-29","2020-12-03","$2.5 Off","2021-04-21","2018-07-03","Objective of Dmart Store Promotion 28","005B0000007GkqyIAC","2021-04-21","Product","NA","0c8B00000004DeHIAU","Gifts","2020-12-03"
"false","Advertising","Description of Dmart Store Promotion 21","true","2021-01-29","2020-12-03","$5 Off Next Purchase","2021-04-21","2018-07-04","Objective of Dmart Store Promotion 21","005B0000007GkqyIAC","2021-04-21","Product","NA","0c8B00000004DeNIAU","Display and Exhibition","2020-12-03"
"false","Personal Selling","Description of Dmart Store Promotion 46","true","2021-01-29","2020-12-01","27% Off","2021-04-21","2018-07-05","Objective of Dmart Store Promotion 46","005B0000007GkqyIAC","2021-04-21","Product","NA","0c8B00000004DegIAE","Exchange Offer","2020-12-01"
"false","Pubicity","Description of Dmart Store Promotion 4","true","2021-01-29","2020-12-02","44% Off","2021-04-21","2018-07-04","Objective of Dmart Store Promotion 4","005B0000007GkqyIAC","2021-04-21","Product Category","NA","0c8B00000004DeBIAU","Sampling and Demonstration","2020-12-02"
"false","Pubicity","Description of Dmart Store Promotion 49","true","2021-01-29","2020-12-02","30% Extra","2021-04-21","2018-07-04","Objective of Dmart Store Promotion 49","005B0000007GkqyIAC","2021-04-21","Product","NA","0c8B00000004DeVIAU","Credit Facility","2020-12-02"
