"RetailStoreGroup_Name","StoreType","Priority","State_City","OrderItem_Unique_Products","Avg_High_Priority_Visits_Planned","Avg_Products","Facing_Compliance","Inventory_Compliance","Avg_Visits_Planned","Avg_InStore_Locations","NetPromoterScore","PlannedVisits_Total_Visits_Planned","Promotion_Compliance","Avg_Promotions","Avg_Facing_Compliance","RetailVisitKpi_Number_of_Promotions","Avg_Promotion_Compliance","Case_Cases_Count","PlannedVisits_Total_High_Priority_Visits_Planned","Avg_Inventory_Compliance","Avg_Visit_Duration","Avg_SoS_Compliance","ShareOfShelf_Compliance","OutOfStock_Compliance","OrderItem_Quantity","Percent_High_Priority_Visits_Completed","Percent_Successful_Visits","InStoreLocation_Number_of_InStoreLocations","Avg_OOS_Compliance"
"West","Regular","Low","IL - Rockford",20,14.6,4,88.77,79.56,47.8,2,0,49,0,7.6,85.45,5,1.06,0,17,74.86,48,84.32,84.45,37.5,23387,88.24,95,2,39.46
"Bay Area","Regular","High",,20,13.8,4,93.21,83.63,45.6,2,0,48,0,6.4,92.03,5,0.72,0,12,78.14,52,76.47,74.51,34.21,22501,50,85.37,2,38.75
"South","Regular","Medium","CA - San Jose",20,15,4,94.72,82.74,46,2,0,54,0.69,6.2,94.06,7,0.74,0,16,83.29,52,73.29,76.41,29.76,26427,68.75,90,2,33.12
"Northeast","Regular","Low","TX - Irving",20,12.2,4,86.74,76.67,45,2,0,46,2.5,6.8,85.48,10,0.83,0,14,80.87,50,85.7,84.7,46.07,20600,78.57,92.31,2,33.11
"Midwest","Regular","Low","NY - Albany",20,14,4,86.92,80.09,42.6,2,0,45,2.05,6.6,85.79,9,0.83,0,13,79.65,54,85.24,87.38,36.25,25085,92.31,89.74,2,32.29
"West","Regular","High","CA - San Jose",20,14.6,4,87.29,64.63,47.8,2,0,48,0,7.6,85.45,5,1.06,0,17,74.86,57,84.32,88.39,35.44,21720,70.59,89.47,2,39.46
"Bay Area","Regular","Medium","IL - Chicago",20,13.8,4,92.03,80.55,45.6,2,0,47,0,6.4,92.03,5,0.72,0,17,78.14,51,76.47,75.73,33.78,23719,64.71,94.12,2,38.75
"South","Regular","Low","OH - Ashland",20,15,4,91.46,87.73,46,2,0,38,2.99,6.2,94.06,9,0.74,0,16,83.29,53,73.29,70.87,35.29,26075,75,90,2,33.12
"Northeast","Regular","Low","OH - Hamilton",20,12.2,4,87.61,84.61,45,2,0,46,0,6.8,85.48,5,0.83,0,13,80.87,52,85.7,86.98,28.24,26572,61.54,80,2,33.11
"Midwest","Regular","High","AK - Anchorage",20,14,4,84.91,67.33,42.6,2,0,36,0,6.6,85.79,5,0.83,0,13,79.65,54,85.24,85.75,32.84,29344,69.23,83.87,2,32.29
"West","Regular","Medium","NJ - Bridgeport",20,14.6,4,81.64,75.18,47.8,2,0,45,4.39,7.6,85.45,13,1.06,0,10,74.86,59,84.32,77.64,47.18,23775,80,84.21,2,39.46
"Bay Area","Regular","Low","MI - Brighton",20,13.8,4,88.88,83.09,45.6,2,0,39,2.47,6.4,92.03,9,0.72,0,14,78.14,55,76.47,82.72,43.55,17246,85.71,84.38,2,38.75
"South","Regular","Low","NJ - Middlesex",20,15,4,95.36,82.72,46,2,0,45,0,6.2,94.06,5,0.74,0,15,83.29,52,73.29,72.45,33.77,19655,66.67,85,2,33.12
"West","Regular","Low","TX - Laredo",20,14.6,4,82.83,80.03,47.8,2,0,44,0,7.6,85.45,5,1.06,0,12,74.86,48,84.32,85.96,36.36,15133,91.67,97.3,2,39.46
"Northeast","Regular","Low","LA - New Orleans",20,12.2,4,88.13,81.96,45,2,-100,41,0,6.8,85.48,5,0.83,2,9,80.87,47,85.7,86.35,36.49,24740,55.56,94.44,2,33.11
