"PromotionId","ProductCategoryId","Promotion_ProductCategory_Name","Product_Name","ProductId","Id","Promotion_ProductId","Promotion_ProductCategoryId","Name","ProductCategory_Name"
"0c8B0000000L08nIAC","0ZGB0000000L0ZmOAK","Energy Drink Powder","Alpine Energy Post Powder - Tart Cherry",,"0c9B00000008PdEIAU","01tB0000000UI8fIAG","0ZGB0000000L0ZmOAK","00000036","Energy Drink Powder"
"0c8B0000000L08kIAC","0ZGB0000000L0ZkOAK","Accessories or Lip Balm","GoBalm Lip Balm - Green Tea scent",,"0c9B00000008PdFIAU","01tB0000000UI8dIAG","0ZGB0000000L0ZkOAK","00000037","Accessories or Lip Balm"
"0c8B0000000L08kIAC","0ZGB0000000L0ZqOAK","Cooler Displays","Alpine Cooler",,"0c9B00000008PdGIAU","01tB0000000UI8VIAW","0ZGB0000000L0ZqOAK","00000038","Cooler Displays"
"0c8B0000000L08kIAC","0ZGB0000000L0ZrOAK","Energy Drinks","Alpine Energy Drink - Tart Cherry",,"0c9B00000008PdHIAU","01tB0000000UI8XIAW","0ZGB0000000L0ZrOAK","00000039","Energy Drinks"
"0c8B0000000L08kIAC","0ZGB0000000L0ZoOAK","Coffee Machines","GoBrew Caffeinator",,"0c9B00000008PdIIAU","01tB0000000UI8iIAG","0ZGB0000000L0ZoOAK","00000040","Coffee Machines"
"0c8B0000000L083IAC","0ZGB0000000L0ZlOAK","Post Workout Energy","Basic Warranty & Maintenance",,"0c9B00000008PdJIAU","01tB0000000UI8ZIAW","0ZGB0000000L0ZlOAK","00000041","Post Workout Energy"
"0c8B0000000L083IAC","0ZGB0000000L0ZsOAK","Displays & Vending","Alpine Promotional Product - Patio Set",,"0c9B00000008PdKIAU","01tB0000000UI8aIAG","0ZGB0000000L0ZsOAK","00000042","Displays & Vending"
"0c8B0000000L083IAC","0ZGB0000000L0ZpOAK","Pre Workout Energy","Pre - 0.5L PET - Tart Cherry",,"0c9B00000008PdLIAU","01tB0000000UI8WIAW","0ZGB0000000L0ZpOAK","00000043","Pre Workout Energy"
"0c8B0000000L083IAC","0ZGB0000000L0ZnOAK","Energy Bars","Alpine Energy Drink - Green Tea",,"0c9B00000008PdMIAU","01tB0000000UI8gIAG","0ZGB0000000L0ZnOAK","00000044","Energy Bars"
"0c8B0000000L08AIAS","0ZGB0000000L0ZjOAK","Cereal","Alpine Nutrition - Cereal Display",,"0c9B00000008PdNIAU","01tB0000000UI8cIAG","0ZGB0000000L0ZjOAK","00000045","Cereal"
"0c8B0000000L08AIAS","0ZGB0000000L0ZmOAK","Energy Drink Powder","Alpine Energy Post Powder - Tart Cherry",,"0c9B00000008PdOIAU","01tB0000000UI8fIAG","0ZGB0000000L0ZmOAK","00000046","Energy Drink Powder"
"0c8B0000000L08AIAS","0ZGB0000000L0ZkOAK","Accessories or Lip Balm","GoBalm Lip Balm - Green Tea scent",,"0c9B00000008PdPIAU","01tB0000000UI8dIAG","0ZGB0000000L0ZkOAK","00000047","Accessories or Lip Balm"
"0c8B0000000L08AIAS","0ZGB0000000L0ZqOAK","Cooler Displays","Alpine Cooler",,"0c9B00000008PdQIAU","01tB0000000UI8VIAW","0ZGB0000000L0ZqOAK","00000048","Cooler Displays"
"0c8B0000000L08aIAC","0ZGB0000000L0ZrOAK","Energy Drinks","Alpine Energy Drink - Tart Cherry",,"0c9B00000008PdRIAU","01tB0000000UI8XIAW","0ZGB0000000L0ZrOAK","00000049","Energy Drinks"
"0c8B0000000L08aIAC","0ZGB0000000L0ZoOAK","Coffee Machines","GoBrew Caffeinator",,"0c9B00000008PdSIAU","01tB0000000UI8iIAG","0ZGB0000000L0ZoOAK","00000050","Coffee Machines"
"0c8B0000000L08aIAC","0ZGB0000000L0ZlOAK","Post Workout Energy","Basic Warranty & Maintenance",,"0c9B00000008PdTIAU","01tB0000000UI8ZIAW","0ZGB0000000L0ZlOAK","00000051","Post Workout Energy"
"0c8B0000000L08aIAC","0ZGB0000000L0ZsOAK","Displays & Vending","Alpine Promotional Product - Patio Set",,"0c9B00000008PdUIAU","01tB0000000UI8aIAG","0ZGB0000000L0ZsOAK","00000052","Displays & Vending"
"0c8B0000000L087IAC","0ZGB0000000L0ZpOAK","Pre Workout Energy","Pre - 0.5L PET - Tart Cherry",,"0c9B00000008PdVIAU","01tB0000000UI8WIAW","0ZGB0000000L0ZpOAK","00000053","Pre Workout Energy"
"0c8B0000000L087IAC","0ZGB0000000L0ZnOAK","Energy Bars","Alpine Energy Drink - Green Tea",,"0c9B00000008PdWIAU","01tB0000000UI8gIAG","0ZGB0000000L0ZnOAK","00000054","Energy Bars"
"0c8B0000000L087IAC","0ZGB0000000L0ZjOAK","Cereal","Alpine Nutrition - Cereal Display",,"0c9B00000008PdXIAU","01tB0000000UI8cIAG","0ZGB0000000L0ZjOAK","00000055","Cereal"
"0c8B0000000L087IAC","0ZGB0000000L0ZmOAK","Energy Drink Powder","Alpine Energy Post Powder - Tart Cherry",,"0c9B00000008PdYIAU","01tB0000000UI8fIAG","0ZGB0000000L0ZmOAK","00000056","Energy Drink Powder"
"0c8B0000000L08YIAS","0ZGB0000000L0ZkOAK","Accessories or Lip Balm","GoBalm Lip Balm - Green Tea scent",,"0c9B00000008PdZIAU","01tB0000000UI8dIAG","0ZGB0000000L0ZkOAK","00000057","Accessories or Lip Balm"
"0c8B0000000L08YIAS","0ZGB0000000L0ZqOAK","Cooler Displays","Alpine Cooler",,"0c9B00000008PdaIAE","01tB0000000UI8VIAW","0ZGB0000000L0ZqOAK","00000058","Cooler Displays"
"0c8B0000000L08YIAS","0ZGB0000000L0ZrOAK","Energy Drinks","Alpine Energy Drink - Tart Cherry",,"0c9B00000008PdbIAE","01tB0000000UI8XIAW","0ZGB0000000L0ZrOAK","00000059","Energy Drinks"
"0c8B0000000L08YIAS","0ZGB0000000L0ZoOAK","Coffee Machines","GoBrew Caffeinator",,"0c9B00000008PdcIAE","01tB0000000UI8iIAG","0ZGB0000000L0ZoOAK","00000060","Coffee Machines"
"0c8B0000000L08DIAS","0ZGB0000000L0ZlOAK","Post Workout Energy","Basic Warranty & Maintenance",,"0c9B00000008PddIAE","01tB0000000UI8ZIAW","0ZGB0000000L0ZlOAK","00000061","Post Workout Energy"
"0c8B0000000L08DIAS","0ZGB0000000L0ZsOAK","Displays & Vending","Alpine Promotional Product - Patio Set",,"0c9B00000008PdeIAE","01tB0000000UI8aIAG","0ZGB0000000L0ZsOAK","00000062","Displays & Vending"
"0c8B0000000L08DIAS","0ZGB0000000L0ZpOAK","Pre Workout Energy","Pre - 0.5L PET - Tart Cherry",,"0c9B00000008PdfIAE","01tB0000000UI8WIAW","0ZGB0000000L0ZpOAK","00000063","Pre Workout Energy"
"0c8B0000000L08DIAS","0ZGB0000000L0ZnOAK","Energy Bars","Alpine Energy Drink - Green Tea",,"0c9B00000008PdgIAE","01tB0000000UI8gIAG","0ZGB0000000L0ZnOAK","00000064","Energy Bars"
"0c8B0000000L08qIAC","0ZGB0000000L0ZjOAK","Cereal","Alpine Nutrition - Cereal Display",,"0c9B00000008PdhIAE","01tB0000000UI8cIAG","0ZGB0000000L0ZjOAK","00000065","Cereal"
"0c8B0000000L08qIAC","0ZGB0000000L0ZmOAK","Energy Drink Powder","Alpine Energy Post Powder - Tart Cherry",,"0c9B00000008PdiIAE","01tB0000000UI8fIAG","0ZGB0000000L0ZmOAK","00000066","Energy Drink Powder"
"0c8B0000000L08qIAC","0ZGB0000000L0ZkOAK","Accessories or Lip Balm","GoBalm Lip Balm - Green Tea scent",,"0c9B00000008PdjIAE","01tB0000000UI8dIAG","0ZGB0000000L0ZkOAK","00000067","Accessories or Lip Balm"
"0c8B0000000L08qIAC","0ZGB0000000L0ZqOAK","Cooler Displays","Alpine Cooler",,"0c9B00000008PdkIAE","01tB0000000UI8VIAW","0ZGB0000000L0ZqOAK","00000068","Cooler Displays"
"0c8B0000000L08fIAC","0ZGB0000000L0ZrOAK","Energy Drinks","Alpine Energy Drink - Tart Cherry",,"0c9B00000008PdlIAE","01tB0000000UI8XIAW","0ZGB0000000L0ZrOAK","00000069","Energy Drinks"
"0c8B0000000L08fIAC","0ZGB0000000L0ZoOAK","Coffee Machines","GoBrew Caffeinator",,"0c9B00000008PdmIAE","01tB0000000UI8iIAG","0ZGB0000000L0ZoOAK","00000070","Coffee Machines"
"0c8B0000000L08fIAC","0ZGB0000000L0ZlOAK","Post Workout Energy","Basic Warranty & Maintenance",,"0c9B00000008PdnIAE","01tB0000000UI8ZIAW","0ZGB0000000L0ZlOAK","00000071","Post Workout Energy"
"0c8B0000000L08fIAC","0ZGB0000000L0ZsOAK","Displays & Vending","Alpine Promotional Product - Patio Set",,"0c9B00000008PdoIAE","01tB0000000UI8aIAG","0ZGB0000000L0ZsOAK","00000072","Displays & Vending"
"0c8B0000000L08bIAC","0ZGB0000000L0ZpOAK","Pre Workout Energy","Pre - 0.5L PET - Tart Cherry",,"0c9B00000008PdpIAE","01tB0000000UI8WIAW","0ZGB0000000L0ZpOAK","00000073","Pre Workout Energy"
"0c8B0000000L08bIAC","0ZGB0000000L0ZnOAK","Energy Bars","Alpine Energy Drink - Green Tea",,"0c9B00000008PdqIAE","01tB0000000UI8gIAG","0ZGB0000000L0ZnOAK","00000074","Energy Bars"
"0c8B0000000L08bIAC","0ZGB0000000L0ZjOAK","Cereal","Alpine Nutrition - Cereal Display",,"0c9B00000008PdrIAE","01tB0000000UI8cIAG","0ZGB0000000L0ZjOAK","00000075","Cereal"
"0c8B0000000L08bIAC","0ZGB0000000L0ZmOAK","Energy Drink Powder","Alpine Energy Post Powder - Tart Cherry",,"0c9B00000008PdsIAE","01tB0000000UI8fIAG","0ZGB0000000L0ZmOAK","00000076","Energy Drink Powder"
"0c8B0000000L08SIAS","0ZGB0000000L0ZkOAK","Accessories or Lip Balm","GoBalm Lip Balm - Green Tea scent",,"0c9B00000008PdtIAE","01tB0000000UI8dIAG","0ZGB0000000L0ZkOAK","00000077","Accessories or Lip Balm"
"0c8B0000000L08SIAS","0ZGB0000000L0ZqOAK","Cooler Displays","Alpine Cooler",,"0c9B00000008PduIAE","01tB0000000UI8VIAW","0ZGB0000000L0ZqOAK","00000078","Cooler Displays"
"0c8B0000000L08SIAS","0ZGB0000000L0ZrOAK","Energy Drinks","Alpine Energy Drink - Tart Cherry",,"0c9B00000008PdvIAE","01tB0000000UI8XIAW","0ZGB0000000L0ZrOAK","00000079","Energy Drinks"
"0c8B0000000L08SIAS","0ZGB0000000L0ZoOAK","Coffee Machines","GoBrew Caffeinator",,"0c9B00000008PdwIAE","01tB0000000UI8iIAG","0ZGB0000000L0ZoOAK","00000080","Coffee Machines"
"0c8B0000000L08CIAS","0ZGB0000000L0ZlOAK","Post Workout Energy","Basic Warranty & Maintenance",,"0c9B00000008PdxIAE","01tB0000000UI8ZIAW","0ZGB0000000L0ZlOAK","00000081","Post Workout Energy"
"0c8B0000000L08CIAS","0ZGB0000000L0ZsOAK","Displays & Vending","Alpine Promotional Product - Patio Set",,"0c9B00000008PdyIAE","01tB0000000UI8aIAG","0ZGB0000000L0ZsOAK","00000082","Displays & Vending"
"0c8B0000000L08CIAS","0ZGB0000000L0ZpOAK","Pre Workout Energy","Pre - 0.5L PET - Tart Cherry",,"0c9B00000008PdzIAE","01tB0000000UI8WIAW","0ZGB0000000L0ZpOAK","00000083","Pre Workout Energy"
"0c8B0000000L08CIAS","0ZGB0000000L0ZnOAK","Energy Bars","Alpine Energy Drink - Green Tea",,"0c9B00000008Pe0IAE","01tB0000000UI8gIAG","0ZGB0000000L0ZnOAK","00000084","Energy Bars"
"0c8B0000000L08WIAS","0ZGB0000000L0ZjOAK","Cereal","Alpine Nutrition - Cereal Display",,"0c9B00000008Pe1IAE","01tB0000000UI8cIAG","0ZGB0000000L0ZjOAK","00000085","Cereal"
"0c8B0000000L08WIAS","0ZGB0000000L0ZmOAK","Energy Drink Powder","Alpine Energy Post Powder - Tart Cherry",,"0c9B00000008Pe2IAE","01tB0000000UI8fIAG","0ZGB0000000L0ZmOAK","00000086","Energy Drink Powder"
"0c8B0000000L08WIAS","0ZGB0000000L0ZkOAK","Accessories or Lip Balm","GoBalm Lip Balm - Green Tea scent",,"0c9B00000008Pe3IAE","01tB0000000UI8dIAG","0ZGB0000000L0ZkOAK","00000087","Accessories or Lip Balm"
"0c8B0000000L08WIAS","0ZGB0000000L0ZqOAK","Cooler Displays","Alpine Cooler",,"0c9B00000008Pe4IAE","01tB0000000UI8VIAW","0ZGB0000000L0ZqOAK","00000088","Cooler Displays"
"0c8B0000000L08mIAC","0ZGB0000000L0ZrOAK","Energy Drinks","Alpine Energy Drink - Tart Cherry",,"0c9B00000008Pe5IAE","01tB0000000UI8XIAW","0ZGB0000000L0ZrOAK","00000089","Energy Drinks"
"0c8B0000000L08mIAC","0ZGB0000000L0ZoOAK","Coffee Machines","GoBrew Caffeinator",,"0c9B00000008Pe6IAE","01tB0000000UI8iIAG","0ZGB0000000L0ZoOAK","00000090","Coffee Machines"
"0c8B0000000L08mIAC","0ZGB0000000L0ZlOAK","Post Workout Energy","Basic Warranty & Maintenance",,"0c9B00000008Pe7IAE","01tB0000000UI8ZIAW","0ZGB0000000L0ZlOAK","00000091","Post Workout Energy"
"0c8B0000000L08mIAC","0ZGB0000000L0ZsOAK","Displays & Vending","Alpine Promotional Product - Patio Set",,"0c9B00000008Pe8IAE","01tB0000000UI8aIAG","0ZGB0000000L0ZsOAK","00000092","Displays & Vending"
"0c8B0000000L08dIAC","0ZGB0000000L0ZpOAK","Pre Workout Energy","Pre - 0.5L PET - Tart Cherry",,"0c9B00000008Pe9IAE","01tB0000000UI8WIAW","0ZGB0000000L0ZpOAK","00000093","Pre Workout Energy"
"0c8B0000000L08dIAC","0ZGB0000000L0ZnOAK","Energy Bars","Alpine Energy Drink - Green Tea",,"0c9B00000008PeAIAU","01tB0000000UI8gIAG","0ZGB0000000L0ZnOAK","00000094","Energy Bars"
"0c8B0000000L08dIAC","0ZGB0000000L0ZjOAK","Cereal","Alpine Nutrition - Cereal Display",,"0c9B00000008PeBIAU","01tB0000000UI8cIAG","0ZGB0000000L0ZjOAK","00000095","Cereal"
"0c8B0000000L08dIAC","0ZGB0000000L0ZmOAK","Energy Drink Powder","Alpine Energy Post Powder - Tart Cherry",,"0c9B00000008PeCIAU","01tB0000000UI8fIAG","0ZGB0000000L0ZmOAK","00000096","Energy Drink Powder"
"0c8B0000000L08cIAC","0ZGB0000000L0ZkOAK","Accessories or Lip Balm","GoBalm Lip Balm - Green Tea scent",,"0c9B00000008PeDIAU","01tB0000000UI8dIAG","0ZGB0000000L0ZkOAK","00000097","Accessories or Lip Balm"
"0c8B0000000L08cIAC","0ZGB0000000L0ZqOAK","Cooler Displays","Alpine Cooler",,"0c9B00000008PeEIAU","01tB0000000UI8VIAW","0ZGB0000000L0ZqOAK","00000098","Cooler Displays"
"0c8B0000000L08cIAC","0ZGB0000000L0ZrOAK","Energy Drinks","Alpine Energy Drink - Tart Cherry",,"0c9B00000008PeFIAU","01tB0000000UI8XIAW","0ZGB0000000L0ZrOAK","00000099","Energy Drinks"
"0c8B0000000L08cIAC","0ZGB0000000L0ZoOAK","Coffee Machines","GoBrew Caffeinator",,"0c9B00000008PeGIAU","01tB0000000UI8iIAG","0ZGB0000000L0ZoOAK","00000100","Coffee Machines"
"0c8B0000000L08JIAS","0ZGB0000000L0ZlOAK","Post Workout Energy","Basic Warranty & Maintenance",,"0c9B00000008PeHIAU","01tB0000000UI8ZIAW","0ZGB0000000L0ZlOAK","00000101","Post Workout Energy"
"0c8B0000000L08JIAS","0ZGB0000000L0ZsOAK","Displays & Vending","Alpine Promotional Product - Patio Set",,"0c9B00000008PeIIAU","01tB0000000UI8aIAG","0ZGB0000000L0ZsOAK","00000102","Displays & Vending"
"0c8B0000000L08JIAS","0ZGB0000000L0ZpOAK","Pre Workout Energy","Pre - 0.5L PET - Tart Cherry",,"0c9B00000008PeJIAU","01tB0000000UI8WIAW","0ZGB0000000L0ZpOAK","00000103","Pre Workout Energy"
"0c8B0000000L08JIAS","0ZGB0000000L0ZnOAK","Energy Bars","Alpine Energy Drink - Green Tea",,"0c9B00000008PeKIAU","01tB0000000UI8gIAG","0ZGB0000000L0ZnOAK","00000104","Energy Bars"
"0c8B0000000L084IAC","0ZGB0000000L0ZjOAK","Cereal","Alpine Nutrition - Cereal Display",,"0c9B00000008PeLIAU","01tB0000000UI8cIAG","0ZGB0000000L0ZjOAK","00000105","Cereal"
"0c8B0000000L084IAC","0ZGB0000000L0ZmOAK","Energy Drink Powder","Alpine Energy Post Powder - Tart Cherry",,"0c9B00000008PeMIAU","01tB0000000UI8fIAG","0ZGB0000000L0ZmOAK","00000106","Energy Drink Powder"
"0c8B0000000L084IAC","0ZGB0000000L0ZkOAK","Accessories or Lip Balm","GoBalm Lip Balm - Green Tea scent",,"0c9B00000008PeNIAU","01tB0000000UI8dIAG","0ZGB0000000L0ZkOAK","00000107","Accessories or Lip Balm"
"0c8B0000000L084IAC","0ZGB0000000L0ZqOAK","Cooler Displays","Alpine Cooler",,"0c9B00000008PeOIAU","01tB0000000UI8VIAW","0ZGB0000000L0ZqOAK","00000108","Cooler Displays"
"0c8B0000000L08TIAS","0ZGB0000000L0ZrOAK","Energy Drinks","Alpine Energy Drink - Tart Cherry",,"0c9B00000008PePIAU","01tB0000000UI8XIAW","0ZGB0000000L0ZrOAK","00000109","Energy Drinks"
"0c8B0000000L08TIAS","0ZGB0000000L0ZoOAK","Coffee Machines","GoBrew Caffeinator",,"0c9B00000008PeQIAU","01tB0000000UI8iIAG","0ZGB0000000L0ZoOAK","00000110","Coffee Machines"
"0c8B0000000L08TIAS","0ZGB0000000L0ZlOAK","Post Workout Energy","Basic Warranty & Maintenance",,"0c9B00000008PeRIAU","01tB0000000UI8ZIAW","0ZGB0000000L0ZlOAK","00000111","Post Workout Energy"
"0c8B0000000L08TIAS","0ZGB0000000L0ZsOAK","Displays & Vending","Alpine Promotional Product - Patio Set",,"0c9B00000008PeSIAU","01tB0000000UI8aIAG","0ZGB0000000L0ZsOAK","00000112","Displays & Vending"
"0c8B0000000L08jIAC","0ZGB0000000L0ZpOAK","Pre Workout Energy","Pre - 0.5L PET - Tart Cherry",,"0c9B00000008PeTIAU","01tB0000000UI8WIAW","0ZGB0000000L0ZpOAK","00000113","Pre Workout Energy"
"0c8B0000000L08jIAC","0ZGB0000000L0ZnOAK","Energy Bars","Alpine Energy Drink - Green Tea",,"0c9B00000008PeUIAU","01tB0000000UI8gIAG","0ZGB0000000L0ZnOAK","00000114","Energy Bars"
"0c8B0000000L08jIAC","0ZGB0000000L0ZjOAK","Cereal","Alpine Nutrition - Cereal Display",,"0c9B00000008PeVIAU","01tB0000000UI8cIAG","0ZGB0000000L0ZjOAK","00000115","Cereal"
"0c8B0000000L08jIAC","0ZGB0000000L0ZmOAK","Energy Drink Powder","Alpine Energy Post Powder - Tart Cherry",,"0c9B00000008PeWIAU","01tB0000000UI8fIAG","0ZGB0000000L0ZmOAK","00000116","Energy Drink Powder"
"0c8B0000000L08PIAS","0ZGB0000000L0ZkOAK","Accessories or Lip Balm","GoBalm Lip Balm - Green Tea scent",,"0c9B00000008PeXIAU","01tB0000000UI8dIAG","0ZGB0000000L0ZkOAK","00000117","Accessories or Lip Balm"
