"OOS_Kpi_ActualValue","OutOfStock_OOS_Actual","RetailStore_StoreType","StoreProduct_InStoreLocationType_Assets","StoreProduct_InStoreLocationType_Bin","RetailStore_RetailStoreGroup_Name","StoreProduct_Favorite","StoreProduct_InStoreLocationType_Other","Product_Name","State_City","StoreProduct_InStoreLocationType_Backroom","Product_Family","RetailStore_Name","RetailStore_Priority","Product_ProductCategory_Name","StoreProduct_InStoreLocationType_Shelf","LastYearSamePeriod_Number_of_Promotions","Inventory_LastVisitInventoryCompliance","Quantity_Previous_Period","DaysUntilLatestPromotionEnds","Facing_Compliance","Inventory_Compliance","Inventory_DaysSinceInventoryComplianceCheck","DaysAfterLastPromotionStarted","Quantity_Change_Percentage_vs_Coming_Period_LastYear","Promotion_Compliance","Quantity_Coming_Period_LastYear","RetailVisitKpi_Number_of_Promotions","Quantity_Current_Period","RetailVisitKpi_StoreProduct_Visits","DaysAfterLastPromotionEnded","OutOfStock_DaysSinceOOSComplianceCheck","ShareOfShelf_Compliance","OutOfStock_Compliance","Store_Visits","Compliance_DaysSinceLastComplianceCheck","OrderItem_DaysSinceLastOrder","Quantity_Change_Percentage_vs_Previous_Period"
"True","False","Regular","No","No","West","No","No","Alpine Cooler","MD - Baltimore","No","Diet Food","NTO Store - Berkeley","Medium","Teen Nutrition","No",0,44.92754,0,0,0,80.98,106,0,0,0,1801,0,1801,47,0,59,87.15,41.3,57,59,88,0
"False","True","Regular","No","No","South","No","No","Alpine Cooler","NJ - Middlesex","No","Diet Food","Fare Merchants - Austin","Low","Teen Nutrition","No",0,64.05405,0,0,0,79.31,38,0,0,0,3058,0,3058,52,0,5,73.14,40.82,60,5,2,0
"False","True","Regular","No","No","South","No","No","Alpine Cooler","CA - San Jose","No","Diet Food","Alpine Nutrition Outlet (Hayward)","Medium","Teen Nutrition","No",0,94.32432,0,0,0,71.49,33,0,0,0,2190,0,2190,53,0,11,76,40.82,64,11,3,0
"False","True","Regular","No","No","West","No","No","Alpine Energy Premium Smart Dispenser","TX - Laredo","No","Diet Food","Rondel Store - Chicago Streeterville","Low","Diet Food","No",0,100,0,0,89.13,100,73,872,0,0,1050,5,1050,53,0,4,0,48.94,59,4,73,0
"True","True","Regular","No","No","Bay Area","No","No","Pre - 0.5L PET - Tart Cherry","MI - Brighton","No","Sprinkler","NTO Store - Alameda","Low","Toddler Nutrition","No",0,0,0,0,0,0,0,0,0,0,620,0,620,35,0,94,0,50,40,94,135,0
"True","False","Regular","No","No","South","No","No","Alpine Energy Premium Smart Dispenser","NY - Middle Island","No","Diet Food","Nutrition Stop - Gainesville","Low","Diet Food","No",0,100,0,0,99.91,100,17,857,0,0,1688,5,1688,56,0,6,0,41.67,66,6,4,0
"True","False","Regular","No","No","Bay Area","No","No","Pre - 0.5L PET - Tart Cherry","PA - Kulpsville","No","Sprinkler","NTO Store - Presidio","Low","Toddler Nutrition","No",0,50,0,0,60,50,211,120,0,0,1578,1,1578,56,101,12,50,48,61,12,39,0
"True","True","Regular","No","No","Midwest","No","No","Alpine Cooler","AK - Anchorage","No","Diet Food","NTO Store - Ferry Plaza Market","High","Teen Nutrition","No",0,100,0,0,83.14,76.29,77,0,0,0,1281,0,1281,42,0,36,0,35.71,49,36,9,0
"True",,"Regular","No","No","Northeast","No","No","Pre - 0.5L PET - Tart Cherry","WI - Milwaukee","No","Sprinkler","Alpine Nutrition - Austin","Medium","Toddler Nutrition","No",0,100,0,0,88.08,91.37,223,0,0,100,1228,1,1228,46,0,0,87.61,100,57,48,30,0
"True","True","Regular","No","No","Northeast","No","No","Alpine Cooler","TX - Irving","No","Diet Food","Alpine Nutrition - San Francisco","Low","Teen Nutrition","No",0,100,0,0,0,86.13,42,0,0,0,1135,0,1135,50,0,11,88.79,45.65,57,11,46,0
"False","False","Regular","No","No","Midwest","No","No","Pre - 0.5L PET - Tart Cherry","MI - Taylor","No","Sprinkler","Alpine Nutrition - Glendale","Low","Toddler Nutrition","No",0,100,0,0,0,87.99,41,0,0,0,1426,0,1426,44,0,4,76.88,40,52,4,7,0
"True","False","Regular","No","No","West","No","No","Alpine Energy Premium Smart Dispenser","MD - Baltimore","No","Diet Food","NTO Store - Berkeley","Medium","Diet Food","No",0,100,0,0,90.69,86.73,93,932,0,0,1791,5,1791,49,50,59,0,35.42,57,59,88,0
"False","False","Regular","No","No","Midwest","No","No","Pre - 0.5L PET - Tart Cherry","NY - Albany","No","Sprinkler","Nutrition Stop - Hillsdale","Low","Toddler Nutrition","No",0,40,0,0,70,74.2,36,877,0,0,1489,1,1489,63,0,5,82.89,32.76,68,5,22,0
"True","False","Regular","No","No","Midwest","No","No","Alpine Cooler","NY - Albany","No","Diet Food","Nutrition Stop - Hillsdale","Low","Teen Nutrition","No",0,100,0,0,83.57,91.78,31,0,0,0,1063,0,1063,63,0,5,0,38.33,68,5,22,0
"False","True","Regular","No","No","West","No","No","Alpine Energy Premium Smart Dispenser","IL - Rockford","No","Diet Food","Alpine Nutrition - Noe Valley","Low","Diet Food","No",0,75.86207,0,0,90.81,75.86,45,874,0,0,2254,5,2254,53,0,7,0,34.69,61,7,16,0
"True","True","Regular","No","No","Northeast","No","No","Alpine Energy Premium Smart Dispenser","OH - Hamilton","No","Diet Food","Fare Merchants - Irving","Low","Diet Food","No",0,77.23077,0,0,91.84,89.33,45,875,0,0,2326,5,2326,58,0,5,0,41.51,67,5,0,0
"False","True","Regular","No","No","Northeast","No","No","Alpine Energy Premium Smart Dispenser","LA - New Orleans","No","Diet Food","Fare Merchants - Brooklyn","Low","Diet Food","No",0,74.46154,0,0,83.22,81.42,58,871,0,0,2216,5,2216,43,0,5,0,35.9,48,0,27,0
"True","True","Regular","No","No","West","No","No","Alpine Cooler","TX - Laredo","No","Diet Food","Rondel Store - Chicago Streeterville","Low","Teen Nutrition","No",0,46.37681,0,0,0,41.3,28,0,0,0,773,0,773,53,0,4,83.16,43.48,59,4,73,0
"True","False","Regular","No","No","Midwest","No","No","Alpine Cooler","SD - Sioux Falls","No","Diet Food","Fare Merchants - Gold Coast","High","Teen Nutrition","No",0,100,0,0,85.58,93.77,5,0,0,0,1919,0,1919,56,0,1,0,45.83,62,1,75,0
"True","True","Regular","No","No","South","No","No","Alpine Cooler","TN - Mc Minnville","No","Diet Food","Rondel Store - Evanston","High","Teen Nutrition","No",0,100,0,0,0,88.92,43,0,0,0,2851,0,2851,55,0,0,72.58,37.25,63,0,25,0
"True","False","Regular","No","No","Northeast","No","No","Alpine Cooler","CA - Los Angeles","No","Diet Food","Rondel Store - San Francisco Central","High","Teen Nutrition","No",0,100,0,0,0,78.7,38,0,0,0,1625,0,1625,58,0,6,93.21,33.33,68,6,8,0
"False","False","Regular","No","No","West","No","No","Alpine Energy Premium Smart Dispenser","NJ - Bridgeport","No","Diet Food","Fare Merchants - Chelsea","Medium","Diet Food","No",0,62.38245,0,0,90.45,91.29,36,853,0,0,1799,5,1799,51,0,20,0,46.67,57,20,1,0
"True","False","Regular","No","No","Bay Area","No","No","Pre - 0.5L PET - Tart Cherry",,"No","Sprinkler","NTO Store - Noe Valley","High","Toddler Nutrition","No",0,0,0,0,0,0,0,0,0,0,1954,0,1954,47,0,1,0,33.75,55,1,131,0
"False","False","Regular","No","No","West","No","No","Alpine Cooler","NJ - Bridgeport","No","Diet Food","Fare Merchants - Chelsea","Medium","Teen Nutrition","No",0,66.66667,0,0,0,91.67,22,0,0,0,1336,0,1336,51,0,20,78.21,40.82,57,20,1,0
"False",,"Regular","No","No","West","No","No","Pre - 0.5L PET - Tart Cherry","NJ - Bridgeport","No","Sprinkler","Fare Merchants - Chelsea","Medium","Toddler Nutrition","No",0,100,0,0,86.53,61.22,269,0,0,0,2518,0,2518,53,0,0,82.64,100,57,0,18,0
"False","False","Regular","No","No","Northeast","No","No","Alpine Cooler","WI - Milwaukee","No","Diet Food","Alpine Nutrition - Austin","Medium","Teen Nutrition","No",0,56.8,0,0,0,79.04,42,0,0,0,1443,0,1443,48,0,7,89.9,30.43,57,7,112,0
"False","True","Regular","No","No","South","No","No","Alpine Cooler","NY - Middle Island","No","Diet Food","Nutrition Stop - Gainesville","Low","Teen Nutrition","No",0,100,0,0,0,100,23,0,0,0,1688,0,1688,55,0,6,80.61,40.38,66,6,4,0
"False","False","Regular","No","No","Bay Area","No","No","Pre - 0.5L PET - Tart Cherry","IL - Chicago","No","Sprinkler","Nutrition Stop - Elkhorn","Medium","Toddler Nutrition","No",0,0,0,0,0,0,0,0,0,0,1747,0,1747,49,0,12,0,41.11,55,12,40,0
"True","False","Regular","No","No","Northeast","No","No","Alpine Energy Premium Smart Dispenser","WI - Milwaukee","No","Diet Food","Alpine Nutrition - Austin","Medium","Diet Food","No",0,100,0,0,88.48,93.01,19,862,0,0,1209,5,1209,49,0,7,0,42.22,57,7,115,0
"False","False","Regular","No","No","Bay Area","No","No","Pre - 0.5L PET - Tart Cherry","AZ - Phoenix","No","Sprinkler","Rondel Store - Chicago South Loop","Low","Toddler Nutrition","No",0,0,0,0,0,0,0,0,0,0,1934,0,1934,58,0,13,0,47.52,68,13,30,0
"True","True","Regular","No","No","South","No","No","Alpine Energy Premium Smart Dispenser","TN - Mc Minnville","No","Diet Food","Rondel Store - Evanston","High","Diet Food","No",0,100,0,0,99.69,100,31,865,0,0,2438,5,2438,56,0,22,0,43.14,63,22,13,0
"True","True","Regular","No","No","South","No","No","Alpine Energy Premium Smart Dispenser","OH - Ashland","No","Diet Food","NTO Store - Dublin","Low","Diet Food","No",0,100,0,0,99.81,100,67,876,0,0,2547,5,2547,40,0,1,0,45.71,48,1,22,0
"False","False","Regular","No","No","South","No","No","Alpine Energy Premium Smart Dispenser","NJ - Middlesex","No","Diet Food","Fare Merchants - Austin","Low","Diet Food","No",0,100,0,0,99.77,100,39,869,0,0,2369,5,2369,52,0,27,0,34.09,60,27,1,0
"True",,"Regular","No","No","Northeast","No","No","Pre - 0.5L PET - Tart Cherry","TX - Irving","No","Sprinkler","Alpine Nutrition - San Francisco","Low","Toddler Nutrition","No",0,100,0,0,87.51,89.13,216,678,0,100,2140,1,2140,44,0,0,90.52,100,57,15,38,0
"False","True","Regular","No","No","Midwest","No","No","Alpine Cooler","MI - Taylor","No","Diet Food","Alpine Nutrition - Glendale","Low","Teen Nutrition","No",0,97.70115,0,0,89.18,82.59,57,0,0,0,1362,0,1362,41,0,4,0,30.3,52,4,7,0
"True","True","Regular","No","No","West","No","No","Alpine Cooler","IL - Rockford","No","Diet Food","Alpine Nutrition - Noe Valley","Low","Teen Nutrition","No",0,48.18841,0,0,0,64.67,21,0,0,0,1726,0,1726,51,0,0,80.85,42.22,61,0,0,0
"True","True","Regular","No","No","Northeast","No","No","Alpine Cooler","LA - New Orleans","No","Diet Food","Fare Merchants - Brooklyn","Low","Teen Nutrition","No",0,100,0,0,0,85.33,75,0,0.1,0,2186,0,2394,43,0,0,88.1,40.48,48,0,0,0
"True","True","Regular","No","No","South","No","No","Alpine Cooler","OH - Ashland","No","Diet Food","NTO Store - Dublin","Low","Teen Nutrition","No",0,36.75676,0,0,0,70.99,44,0,0,0,2469,0,2469,39,0,1,71.46,38.89,48,1,22,0
"False","True","Regular","No","No","Northeast","No","No","Alpine Energy Premium Smart Dispenser","CA - Los Angeles","No","Diet Food","Rondel Store - San Francisco Central","High","Diet Food","No",0,88.30769,0,0,89.37,86.08,38,875,0,0,1913,5,1913,59,0,6,0,38.46,68,6,16,0
"False",,"Regular","No","No","West","No","No","Alpine Promotional Product - Patio Set","NJ - Bridgeport","No","Honey & Spreads","Fare Merchants - Chelsea","Medium","Appetizing Food","No",0,0,0,0,71.67,68.33,0,0,0,0,2470,0,2470,1,0,0,75,66.67,57,0,17,0
"False",,"Regular","No","No","West","No","No","YetiBar Mint Chocolate Chip","NJ - Bridgeport","No","Chips","Fare Merchants - Chelsea","Medium","Healthy Food","No",0,0,0,0,61.67,58.33,0,0,0,0,1907,0,1907,1,0,0,65,83.33,57,0,7,0
"False",,"Regular",,,"West",,,"GoBrew Mocha","NJ - Bridgeport",,"Beverages","Fare Merchants - Chelsea","Medium",,,0,0,0,0,56.67,53.33,0,0,0,0,0,0,0,1,0,0,76.67,100,57,0,0,0
"False",,"Regular",,,"West",,,"GoBalm Lip Balm - Green Tea scent","NJ - Bridgeport",,"Chocos","Fare Merchants - Chelsea","Medium",,,0,0,0,0,53.33,53.33,0,0,0,0,0,0,0,1,0,0,53.33,66.67,57,0,0,0
"True",,"Regular",,,"West",,,"BigfootBar Tart Cherry/Pistacio - Paleo","NJ - Bridgeport",,"Honey & Spreads","Fare Merchants - Chelsea","Medium",,,0,0,0,0,85.22,84.78,0,0,0,0,0,0,0,1,0,0,78.56,50,57,0,0,0
"False",,"Regular","No","No","West","No","No","Alpine Nutrition - Cereal Display","NJ - Bridgeport","No","Milk","Fare Merchants - Chelsea","Medium","Sports Nutrition","No",0,0,0,0,87.63,80.28,0,0,0,0,2712,0,2712,1,0,0,89.78,66.67,57,0,11,0
"True",,"Regular","No","No","West","No","No","Post - .5L PET - Tart Cherry","NJ - Bridgeport","No","Chocos","Fare Merchants - Chelsea","Medium","Growing Up Nutrition","No",0,0,0,0,85.77,78.21,0,0,0,0,1142,0,1142,1,0,0,92.97,50,57,0,68,0
"False",,"Regular",,,"West",,,"GoScreen Sunscreen - SPF 35","NJ - Bridgeport",,"Beverages","Fare Merchants - Chelsea","Medium",,,0,0,0,0,74.44,76.56,0,0,0,0,0,0,0,1,0,0,76.79,100,57,0,0,0
"False",,"Regular",,,"West",,,"GoBrew French Roast - Whole Bean","NJ - Bridgeport",,"Beverages","Fare Merchants - Chelsea","Medium",,,0,0,0,0,91.11,84.26,0,0,0,0,0,0,0,1,0,0,93.33,100,57,0,0,0
"True",,"Regular",,,"West",,,"YetiBar Tart Cherry/Bison - Paleo","TX - Laredo",,"Diet Food","Rondel Store - Chicago Streeterville","Low",,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,59,0,0,0
"True",,"Regular","No","No","West","No","No","Alpine Promotional Product - Umbrella","TX - Laredo","No","Spices","Rondel Store - Chicago Streeterville","Low","Toddler Nutrition","No",0,0,0,0,0,0,0,0,0,0,1980,0,1980,1,0,0,0,0,59,0,6,0
"True",,"Regular","No","No","West","No","No","GoBrew CoolBar","TX - Laredo","No","Honey & Spreads","Rondel Store - Chicago Streeterville","Low","Pregnancy Nutrition","No",0,0,0,0,0,0,0,0,0,0,1565,0,1565,1,0,0,0,0,59,0,26,0
"True",,"Regular",,,"Northeast",,,"GoGoo Green Tea Caffeinated","CA - Los Angeles",,"Flakes","Rondel Store - San Francisco Central","High","Diet Food",,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,68,0,0,0
"True",,"Regular",,,"Northeast",,,"GoGoo Chai Caffeinated","CA - Los Angeles",,"Beverages","Rondel Store - San Francisco Central","High","Diet Food",,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,68,0,0,0
"True",,"Regular",,,"South",,,"GoGoo Green Tea Caffeinated","CA - San Jose",,"Flakes","Alpine Nutrition Outlet (Hayward)","Medium","Diet Food",,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,64,0,0,0
"True",,"Regular",,,"South",,,"GoGoo Chai Caffeinated","CA - San Jose",,"Beverages","Alpine Nutrition Outlet (Hayward)","Medium","Diet Food",,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,64,0,0,0
"False",,"Regular","No","No","West","No","No","Alpine Nutrition - Cereal Display","CA - San Jose","No","Milk","Nutrition Stop - Kennesaw","High","Sports Nutrition","No",0,0,0,0,80,60,0,609,0,0,1636,1,1636,1,0,0,94.29,100,68,0,21,0
"True",,"Regular","No","No","West","No","No","Post - .5L PET - Tart Cherry","CA - San Jose","No","Chocos","Nutrition Stop - Kennesaw","High","Growing Up Nutrition","No",0,0,0,0,100,92.31,0,606,0,100,2085,1,2085,1,0,0,96,0,68,0,45,0
"False",,"Regular",,,"West",,,"BigfootBar Tart Cherry/Pistacio - Paleo","CA - San Jose",,"Honey & Spreads","Nutrition Stop - Kennesaw","High",,,0,0,0,0,90,87.5,0,607,0,0,0,1,0,1,0,0,50,100,68,0,0,0
"False",,"Regular","No","No","Midwest","No","No","Alpine Promotional Product - Patio Set","SD - Sioux Falls","No","Honey & Spreads","Fare Merchants - Gold Coast","High","Appetizing Food","No",0,0,0,0,100,70,0,131,0,100,2152,1,2152,1,112,0,70,100,62,0,45,0
"True",,"Regular","No","No","Midwest","No","No","YetiBar Mint Chocolate Chip","SD - Sioux Falls","No","Chips","Fare Merchants - Gold Coast","High","Healthy Food","No",0,0,0,0,100,100,0,33,0,100,1180,1,1180,1,20,0,100,100,62,0,45,0
"True",,"Regular",,,"Midwest",,,"GoBrew Mocha","SD - Sioux Falls",,"Beverages","Fare Merchants - Gold Coast","High",,,0,0,0,0,50,40,0,68,0,100,0,1,0,1,55,0,100,100,62,0,0,0
"True",,"Regular",,,"Midwest",,,"GoBalm Lip Balm - Green Tea scent","SD - Sioux Falls",,"Chocos","Fare Merchants - Gold Coast","High",,,0,0,0,0,90,30,0,33,0,100,0,1,0,1,20,0,60,0,62,0,0,0
"True",,"Regular","No","No","Bay Area","No","No","Alpine Nutrition - Cereal Display","PA - Kulpsville","No","Milk","NTO Store - Presidio","Low","Sports Nutrition","No",0,0,0,0,91.67,80,0,0,0,0,1511,1,1511,1,0,0,88.89,0,61,0,1,0
"False",,"Regular","No","No","Bay Area","No","No","Post - .5L PET - Tart Cherry","PA - Kulpsville","No","Chocos","NTO Store - Presidio","Low","Growing Up Nutrition","No",0,0,0,0,80,78.57,0,0,0,0,2713,1,2713,1,0,0,80,100,61,0,7,0
"True",,"Regular",,,"Bay Area",,,"BigfootBar Tart Cherry/Pistacio - Paleo","PA - Kulpsville",,"Honey & Spreads","NTO Store - Presidio","Low",,,0,0,0,0,92,98.68,0,0,0,100,0,1,0,1,0,0,88,0,61,0,0,0
"False",,"Regular","No","No","Northeast","No","No","Alpine Nutrition - Cereal Display","CA - Los Angeles","No","Milk","Rondel Store - San Francisco Central","High","Sports Nutrition","No",0,0,0,0,88.89,91.67,0,612,0,100,898,1,898,1,0,0,87.5,100,68,0,47,0
"True",,"Regular","No","No","Northeast","No","No","Post - .5L PET - Tart Cherry","CA - Los Angeles","No","Chocos","Rondel Store - San Francisco Central","High","Growing Up Nutrition","No",0,0,0,0,97.14,57.14,0,0,0,100,1581,1,1581,1,0,0,100,0,68,0,11,0
"False",,"Regular",,,"Northeast",,,"BigfootBar Tart Cherry/Pistacio - Paleo","CA - Los Angeles",,"Honey & Spreads","Rondel Store - San Francisco Central","High",,,0,0,0,0,96,100,0,613,0,0,0,1,0,1,0,0,83.33,100,68,0,0,0
"True",,"Regular","No","No","Northeast","No","No","Alpine Nutrition - Cereal Display","TX - Irving","No","Milk","Alpine Nutrition - San Francisco","Low","Sports Nutrition","No",0,0,0,0,96.36,100,0,874,0,0,1555,1,1555,1,0,0,80,0,57,0,40,0
"False",,"Regular","No","No","Northeast","No","No","Post - .5L PET - Tart Cherry","TX - Irving","No","Chocos","Alpine Nutrition - San Francisco","Low","Growing Up Nutrition","No",0,0,0,0,75,83.33,0,877,0,100,2150,1,2150,1,0,0,90.91,100,57,0,21,0
"True",,"Regular",,,"Northeast",,,"BigfootBar Tart Cherry/Pistacio - Paleo","TX - Irving",,"Honey & Spreads","Alpine Nutrition - San Francisco","Low",,,0,0,0,0,88.89,62.5,0,0,0,0,0,0,0,1,0,0,66.67,0,57,0,0,0
"False",,"Regular",,,"Northeast",,,"GoScreen Sunscreen - SPF 35","TX - Irving",,"Beverages","Alpine Nutrition - San Francisco","Low",,,0,0,0,0,90,92.31,0,64,0,100,0,1,0,1,51,0,87.5,100,57,0,0,0
"False",,"Regular",,,"Northeast",,,"GoBrew French Roast - Whole Bean","TX - Irving",,"Beverages","Alpine Nutrition - San Francisco","Low",,,0,0,0,0,93.33,88.89,0,29,0,0,0,1,0,1,16,0,100,100,57,0,0,0
"False",,"Regular","No","No","West","No","No","Alpine Nutrition - Cereal Display","MD - Baltimore","No","Milk","NTO Store - Berkeley","Medium","Sports Nutrition","No",0,0,0,0,80,58.33,0,123,0,100,1837,1,1837,1,110,0,88,100,57,0,88,0
"False",,"Regular",,,"West",,,"GoBrew French Roast - Whole Bean","MD - Baltimore",,"Beverages","NTO Store - Berkeley","Medium",,,0,0,0,0,100,88.89,0,935,0,0,0,1,0,1,51,0,80,100,57,0,0,0
"False",,"Regular","No","No","West","No","No","Post - .5L PET - Tart Cherry","MD - Baltimore","No","Chocos","NTO Store - Berkeley","Medium","Growing Up Nutrition","No",0,0,0,0,87.5,100,0,932,0,0,919,1,919,1,52,0,100,100,57,0,65,0
"False",,"Regular",,,"West",,,"BigfootBar Tart Cherry/Pistacio - Paleo","MD - Baltimore",,"Honey & Spreads","NTO Store - Berkeley","Medium",,,0,0,0,0,77.78,100,0,88,0,100,0,1,0,1,75,0,83.33,100,57,0,0,0
"False",,"Regular",,,"West",,,"GoScreen Sunscreen - SPF 35","MD - Baltimore",,"Beverages","NTO Store - Berkeley","Medium",,,0,0,0,0,44.44,55.56,0,934,0,0,0,1,0,1,53,0,57.14,100,57,0,0,0
"False",,"Regular","No","No","Northeast","No","No","Alpine Promotional Product - Patio Set","WI - Milwaukee","No","Honey & Spreads","Alpine Nutrition - Austin","Medium","Appetizing Food","No",0,0,0,0,20,40,0,697,0,0,2330,1,2330,1,0,0,50,0,57,0,12,0
"False",,"Regular","No","No","Northeast","No","No","YetiBar Mint Chocolate Chip","WI - Milwaukee","No","Chips","Alpine Nutrition - Austin","Medium","Healthy Food","No",0,0,0,0,40,60,0,697,0,100,1754,1,1754,1,0,0,60,100,57,0,7,0
"True",,"Regular","No","No","Bay Area","No","No","Alpine Promotional Product - Patio Set","PA - Kulpsville","No","Honey & Spreads","NTO Store - Presidio","Low","Appetizing Food","No",0,0,0,0,40,50,0,0,0,100,1694,1,1694,1,0,0,60,0,61,0,19,0
"True",,"Regular","No","No","Bay Area","No","No","YetiBar Mint Chocolate Chip","PA - Kulpsville","No","Chips","NTO Store - Presidio","Low","Healthy Food","No",0,0,0,0,40,100,0,656,0,100,1798,1,1798,1,0,0,60,100,61,0,1,0
"True",,"Regular","No","No","Northeast","No","No","Alpine Promotional Product - Patio Set","TX - Irving","No","Honey & Spreads","Alpine Nutrition - San Francisco","Low","Appetizing Food","No",0,0,0,0,80,50,0,675,0,100,1725,1,1725,1,0,0,70,100,57,0,22,0
"False",,"Regular","No","No","Northeast","No","No","YetiBar Mint Chocolate Chip","TX - Irving","No","Chips","Alpine Nutrition - San Francisco","Low","Healthy Food","No",0,0,0,0,80,30,0,0,0,100,1767,1,1767,1,0,0,80,100,57,0,0,0
"True",,"Regular","No","No","Midwest","No","No","YetiBar Mint Chocolate Chip","NY - Albany","No","Chips","Nutrition Stop - Hillsdale","Low","Healthy Food","No",0,0,0,0,80,60,0,844,0,100,2755,1,2755,1,0,0,70,100,68,0,7,0
"True",,"Regular","No","No","Midwest","No","No","Alpine Promotional Product - Patio Set","NY - Albany","No","Honey & Spreads","Nutrition Stop - Hillsdale","Low","Appetizing Food","No",0,0,0,0,90,100,0,841,0,100,1482,1,1482,1,0,0,100,100,68,0,2,0
"True",,"Regular",,,"Midwest",,,"GoBrew Mocha","NY - Albany",,"Beverages","Nutrition Stop - Hillsdale","Low",,,0,0,0,0,60,60,0,842,0,100,0,1,0,1,0,0,70,100,68,0,0,0
"True",,"Regular",,,"Midwest",,,"GoBalm Lip Balm - Green Tea scent","NY - Albany",,"Chocos","Nutrition Stop - Hillsdale","Low",,,0,0,0,0,40,30,0,844,0,100,0,1,0,1,0,0,50,100,68,0,0,0
