"Promotion_EndDate","AccountId","PromotionProductCategory_Promotion_ProductCategory_Name","PromotionId","RetailStoreId","LastProcessedDate","RetailStore_Id","PromotionProductCategory_Promotion_ProductCategoryId","Promotion_Name","EndDate","PromotionProduct_ProductId","EndDate_Temp","Name","StartDate","InStoreLocationId","RetailStore_Name","RetailLocationGroupId","Dummy_Key","Id","PromotionProduct_Product_Name","EndDate_Computed"
"2021-09-02",,"Accessories or Lip Balm","0c8B0000000L084IAC","0YQB0000000L0C8OAK","2021-01-29","0YQB0000000L0C8OAK","0ZGB0000000L0ZjOAK","70% Off","2021-09-04","01tB0000000UI8XIAW","2021-09-04","00000027","2019-04-02",,"NTO Store - Noe Valley",,"NA","0cBB0000000L08nMAC","Alpine Cooler","2021-09-04"
"2021-09-04",,"Cereal","0c8B0000000L08KIAS","0YQB0000000L0CJOA0","2021-01-29","0YQB0000000L0CJOA0","0ZGB0000000L0ZjOAK","50% Off on Second","2021-09-02","01tB0000000UI8XIAW","2021-09-02","00000044","2019-04-04",,"Fare Merchants - Austin",,"NA","0cBB0000000L094MAC","Alpine Energy Drink - Green Tea","2021-09-02"
"2021-09-03",,"Accessories or Lip Balm","0c8B0000000L08kIAC","0YQB0000000L0BxOAK","2021-01-29","0YQB0000000L0BxOAK","0ZGB0000000L0ZkOAK","21% Off","2021-09-02","01tB0000000UI8ZIAW","2021-09-02","00000010","2019-04-06",,"NTO Store - Berkeley",,"NA","0cBB0000000L08WMAS","Alpine Cooler","2021-09-02"
"2021-08-31",,"Accessories or Lip Balm","0c8B0000000L08QIAS","0YQB0000000L0CIOA0","2021-01-29","0YQB0000000L0CIOA0","0ZGB0000000L0ZkOAK","$15 Off Next Purchase","2021-09-03","01tB0000000UI8VIAW","2021-09-03","00000045","2019-04-05",,"NTO Store - Alameda",,"NA","0cBB0000000L095MAC","Alpine Cooler","2021-09-03"
"2021-09-03",,"Accessories or Lip Balm","0c8B0000000L08PIAS","0YQB0000000L0CGOA0","2021-01-29","0YQB0000000L0CGOA0","0ZGB0000000L0ZkOAK","75% Off","2021-09-03","01tB0000000UI8ZIAW","2021-09-03","00000030","2019-04-03",,"NTO Store - Ferry Plaza Market",,"NA","0cBB0000000L08qMAC","Alpine Cooler","2021-09-03"
,,,"0c8B0000000CdTHIA0","0YQB0000000L0C8OAK","2021-01-29","0YQB0000000L0C8OAK",,"20% Off","2021-04-14","01tB0000000UI8UIAW","2021-04-14","00000055","2021-03-31",,"NTO Store - Noe Valley",,"NA","0cBB00000008REHMA2","Alpine Energy Drink - Chai","2021-04-14"
"2021-09-04",,"Coffee Machines","0c8B0000000L085IAC","0YQB0000000L0CEOA0","2021-01-29","0YQB0000000L0CEOA0","0ZGB0000000L0ZlOAK","$15 Off","2021-09-04","01tB0000000UI8cIAG","2021-09-04","00000033","2019-04-05",,"NTO Store - Dublin",,"NA","0cBB0000000L08tMAC","Alpine Energy Drink - Green Tea","2021-09-04"
"2021-09-03",,"Displays & Vending","0c8B0000000L08gIAC","0YQB0000000L0C9OAK","2021-01-29","0YQB0000000L0C9OAK","0ZGB0000000L0ZlOAK","66% Off","2021-09-02","01tB0000000UI8WIAW","2021-09-02","00000001","2019-04-04",,"Alpine Nutrition Outlet (Hayward)",,"NA","0cBB0000000L08NMAS","Alpine Energy Drink - Green Tea","2021-09-02"
"2021-08-31",,"Accessories or Lip Balm","0c8B0000000L08GIAS","0YQB0000000L0BwOAK","2021-01-29","0YQB0000000L0BwOAK","0ZGB0000000L0ZkOAK","30% Off","2021-09-01","01tB0000000UI8ZIAW","2021-09-01","00000040","2019-04-04",,"Fare Merchants - Gold Coast",,"NA","0cBB0000000L090MAC","Alpine Cooler","2021-09-01"
"2021-09-03",,"Accessories or Lip Balm","0c8B0000000L086IAC","0YQB0000000L0C8OAK","2021-01-29","0YQB0000000L0C8OAK","0ZGB0000000L0ZjOAK","44% Off","2021-09-01","01tB0000000UI8VIAW","2021-09-01","00000002","2019-04-04",,"NTO Store - Noe Valley",,"NA","0cBB0000000L08OMAS","Alpine Cooler","2021-09-01"
"2021-09-03",,"Coffee Machines","0c8B0000000L08BIAS","0YQB0000000L0CCOA0","2021-01-29","0YQB0000000L0CCOA0","0ZGB0000000L0ZlOAK","15% Extra","2021-09-01","01tB0000000UI8cIAG","2021-09-01","00000003","2019-04-02",,"Nutrition Stop - Kennesaw",,"NA","0cBB0000000L08PMAS","Alpine Energy Drink - Green Tea","2021-09-01"
"2021-09-04",,"Coffee Machines","0c8B0000000L08TIAS","0YQB0000000L0CCOA0","2021-01-29","0YQB0000000L0CCOA0","0ZGB0000000L0ZlOAK","$2 Off","2021-09-02","01tB0000000UI8WIAW","2021-09-02","00000028","2019-04-02",,"Nutrition Stop - Kennesaw",,"NA","0cBB0000000L08oMAC","Alpine Energy Drink - Tart Cherry","2021-09-02"
"2021-09-04",,"Coffee Machines","0c8B0000000L08UIAS","0YQB0000000L0CAOA0","2021-01-29","0YQB0000000L0CAOA0","0ZGB0000000L0ZlOAK","$2.5 Off","2021-09-03","01tB0000000UI8cIAG","2021-09-03","00000043","2019-04-05",,"Alpine Nutrition - San Francisco",,"NA","0cBB0000000L093MAC","Alpine Energy Drink - Green Tea","2021-09-03"
"2021-09-02",,"Displays & Vending","0c8B0000000L08OIAS","0YQB0000000L0C4OAK","2021-01-29","0YQB0000000L0C4OAK","0ZGB0000000L0ZlOAK","$25 Off Next Purchase","2021-09-02","01tB0000000UI8dIAG","2021-09-02","00000046","2019-04-06",,"Rondel Store - Evanston",,"NA","0cBB0000000L096MAC","Alpine Energy Drink - Green Tea","2021-09-02"
"2021-09-02",,"Accessories or Lip Balm","0c8B0000000L08SIAS","0YQB0000000L0CIOA0","2021-01-29","0YQB0000000L0CIOA0","0ZGB0000000L0ZkOAK","$10 Coupons","2021-09-02","01tB0000000UI8ZIAW","2021-09-02","00000020","2019-04-05",,"NTO Store - Alameda",,"NA","0cBB0000000L08gMAC","Alpine Cooler","2021-09-02"
"2021-09-03",,"Cereal","0c8B0000000L08bIAC","0YQB0000000L0CJOA0","2021-01-29","0YQB0000000L0CJOA0","0ZGB0000000L0ZjOAK","45% Off","2021-09-03","01tB0000000UI8VIAW","2021-09-03","00000019","2019-04-03",,"Fare Merchants - Austin",,"NA","0cBB0000000L08fMAC","Alpine Cooler","2021-09-03"
,,,"0c8B0000000CdTGIA0","0YQB0000000L0C8OAK","2021-01-29","0YQB0000000L0C8OAK",,"Buy1 Get1","2021-05-10","01tB0000000UI8UIAW","2021-05-10","00000052","2021-04-21",,"NTO Store - Noe Valley",,"NA","0cBB00000008RE7MAM","Alpine Energy Premium Smart Dispenser","2021-05-10"
"2021-09-02",,"Accessories or Lip Balm","0c8B0000000L08WIAS","0YQB0000000L0C3OAK","2021-01-29","0YQB0000000L0C3OAK","0ZGB0000000L0ZjOAK","$20 Off","2021-08-31","01tB0000000UI8VIAW","2021-08-31","00000022","2019-04-02",,"Rondel Store - Chicago South Loop",,"NA","0cBB0000000L08iMAC","Alpine Cooler","2021-08-31"
"2021-09-03",,"Displays & Vending","0c8B0000000L08hIAC","0YQB0000000L0C5OAK","2021-01-29","0YQB0000000L0C5OAK","0ZGB0000000L0ZlOAK","77% Off","2021-09-04","01tB0000000UI8WIAW","2021-09-04","00000031","2019-04-02",,"Alpine Nutrition - Austin",,"NA","0cBB0000000L08rMAC","Alpine Energy Drink - Green Tea","2021-09-04"
"2021-08-31",,"Cereal","0c8B0000000L08nIAC","0YQB0000000L0BzOAK","2021-01-29","0YQB0000000L0BzOAK","0ZGB0000000L0ZjOAK","10% Extra","2021-09-01","01tB0000000UI8VIAW","2021-09-01","00000009","2019-04-04",,"Nutrition Stop - Gainesville",,"NA","0cBB0000000L08VMAS","Alpine Cooler","2021-09-01"
"2021-09-01",,"Displays & Vending","0c8B0000000L08JIAS","0YQB0000000L0C9OAK","2021-01-29","0YQB0000000L0C9OAK","0ZGB0000000L0ZlOAK","60% Off","2021-09-04","01tB0000000UI8dIAG","2021-09-04","00000026","2019-04-05",,"Alpine Nutrition Outlet (Hayward)",,"NA","0cBB0000000L08mMAC","Alpine Energy Drink - Green Tea","2021-09-04"
"2021-09-03",,"Accessories or Lip Balm","0c8B0000000L08pIAC","0YQB0000000L0CDOA0","2021-01-29","0YQB0000000L0CDOA0","0ZGB0000000L0ZjOAK","30% Extra","2021-08-31","01tB0000000UI8XIAW","2021-08-31","00000007","2019-04-06",,"Nutrition Stop - Elkhorn",,"NA","0cBB0000000L08TMAS","Alpine Cooler","2021-08-31"
"2021-08-31",,"Cereal","0c8B0000000L089IAC","0YQB0000000L0ByOAK","2021-01-29","0YQB0000000L0ByOAK","0ZGB0000000L0ZjOAK","45% Extra","2021-09-02","01tB0000000UI8XIAW","2021-09-02","00000004","2019-04-05",,"NTO Store - Presidio",,"NA","0cBB0000000L08QMAS","Alpine Energy Drink - Green Tea","2021-09-02"
"2021-09-03",,"Displays & Vending","0c8B0000000L08eIAC","0YQB0000000L0CFOA0","2021-01-29","0YQB0000000L0CFOA0","0ZGB0000000L0ZlOAK","12% Off","2021-08-31","01tB0000000UI8dIAG","2021-08-31","00000036","2019-04-03",,"Fare Merchants - Irving",,"NA","0cBB0000000L08wMAC","Alpine Energy Drink - Green Tea","2021-08-31"
"2021-09-04",,"Cereal","0c8B0000000L08dIAC","0YQB0000000L0C6OAK","2021-01-29","0YQB0000000L0C6OAK","0ZGB0000000L0ZjOAK","65% Off","2021-09-01","01tB0000000UI8XIAW","2021-09-01","00000024","2019-04-05",,"Alpine Nutrition - Glendale",,"NA","0cBB0000000L08kMAC","Alpine Energy Drink - Green Tea","2021-09-01"
"2021-09-01",,"Displays & Vending","0c8B0000000L08IIAS","0YQB0000000L0C5OAK","2021-01-29","0YQB0000000L0C5OAK","0ZGB0000000L0ZlOAK","50% Off","2021-09-03","01tB0000000UI8dIAG","2021-09-03","00000006","2019-04-04",,"Alpine Nutrition - Austin",,"NA","0cBB0000000L08SMAS","Alpine Energy Drink - Green Tea","2021-09-03"
"2021-09-01",,"Accessories or Lip Balm","0c8B0000000L08qIAC","0YQB0000000L0BvOAK","2021-01-29","0YQB0000000L0BvOAK","0ZGB0000000L0ZjOAK","40% Extra","2021-09-03","01tB0000000UI8XIAW","2021-09-03","00000017","2019-04-03",,"Fare Merchants - Brooklyn",,"NA","0cBB0000000L08dMAC","Alpine Cooler","2021-09-03"
"2021-09-04",,"Displays & Vending","0c8B0000000L08VIAS","0YQB0000000L0CBOA0","2021-01-29","0YQB0000000L0CBOA0","0ZGB0000000L0ZlOAK","$7 Off","2021-09-04","01tB0000000UI8WIAW","2021-09-04","00000041","2019-04-06",,"Nutrition Stop - Hillsdale",,"NA","0cBB0000000L091MAC","Alpine Energy Drink - Green Tea","2021-09-04"
"2021-09-02",,"Accessories or Lip Balm","0c8B0000000L08LIAS","0YQB0000000L0C1OAK","2021-01-29","0YQB0000000L0C1OAK","0ZGB0000000L0ZjOAK","$10 Off","2021-09-03","01tB0000000UI8XIAW","2021-09-03","00000037","2019-04-05",,"Rondel Store - Austin East",,"NA","0cBB0000000L08xMAC","Alpine Cooler","2021-09-03"
"2021-09-01",,"Coffee Machines","0c8B0000000L08iIAC","0YQB0000000L0CEOA0","2021-01-29","0YQB0000000L0CEOA0","0ZGB0000000L0ZlOAK","16% Off","2021-08-31","01tB0000000UI8WIAW","2021-08-31","00000008","2019-04-03",,"NTO Store - Dublin",,"NA","0cBB0000000L08UMAS","Alpine Energy Drink - Tart Cherry","2021-08-31"
"2021-09-01",,"Coffee Machines","0c8B0000000L08fIAC","0YQB0000000L0CAOA0","2021-01-29","0YQB0000000L0CAOA0","0ZGB0000000L0ZlOAK","33% Off","2021-09-01","01tB0000000UI8WIAW","2021-09-01","00000018","2019-04-06",,"Alpine Nutrition - San Francisco",,"NA","0cBB0000000L08eMAC","Alpine Energy Drink - Tart Cherry","2021-09-01"
"2021-09-03",,"Cereal","0c8B0000000L08XIAS","0YQB0000000L0BzOAK","2021-01-29","0YQB0000000L0BzOAK","0ZGB0000000L0ZjOAK","$2 Off","2021-09-04","01tB0000000UI8XIAW","2021-09-04","00000034","2019-04-05",,"Nutrition Stop - Gainesville",,"NA","0cBB0000000L08uMAC","Alpine Energy Drink - Green Tea","2021-09-04"
,,,"0c8B0000000CdTHIA0","0YQB0000000L0C8OAK","2021-01-29","0YQB0000000L0C8OAK",,"20% Off","2021-07-06","01tB0000000UI8UIAW","2021-07-06","00000053","2021-06-23",,"NTO Store - Noe Valley",,"NA","0cBB00000008RECMA2","Alpine Energy Drink - Chai","2021-07-06"
"2021-09-01",,"Accessories or Lip Balm","0c8B0000000L08YIAS","0YQB0000000L0BwOAK","2021-01-29","0YQB0000000L0BwOAK","0ZGB0000000L0ZkOAK","15% Off","2021-09-02","01tB0000000UI8VIAW","2021-09-02","00000015","2019-04-04",,"Fare Merchants - Gold Coast",,"NA","0cBB0000000L08bMAC","Alpine Cooler","2021-09-02"
"2021-09-03",,"Cereal","0c8B0000000L08jIAC","0YQB0000000L0ByOAK","2021-01-29","0YQB0000000L0ByOAK","0ZGB0000000L0ZjOAK","18% Off","2021-08-31","01tB0000000UI8VIAW","2021-08-31","00000029","2019-04-05",,"NTO Store - Presidio",,"NA","0cBB0000000L08pMAC","Alpine Cooler","2021-08-31"
"2021-09-03",,"Post","0c8B00000004De3IAE","0YQB0000000L0C9OAK","2021-01-29","0YQB0000000L0C9OAK","0ZGB00000000DrlOAE","66% Off","2021-09-02","01tB0000000qbH9IAI","2021-09-02","00000001","2019-04-04",,"Alpine Nutrition Outlet (Hayward)",,"NA","Id1","GoBrew French Roast - Ground Coffee, 16 oz bag","2021-09-02"
