ACCOUNTCLIENTCATEGORY,ACCOUNTID,ACCOUNTINDUSTRY,ACCOUNTMARKETINGSEGMENT,ACCOUNTNAME,ACTIVITYID,AMOUNT,CLOSEDATE,CREATEDDATE,DAYSSINCELASTACTIVITY,EXPECTEDREVENUE,FORECASTCATEGORY,ID,ISCLOSED,ISWON,LEADSOURCE,OPPORTUNITYAGE,OPPORTUNITYNAME,OPPORTUNITYOWNER,OWNERCITY,OWNERID,OWNERSMALLPHOTOURL,OWNERSTATE,PROBABILITY,RECORDTYPENAME,STAGE,STAGENAME,STAGESORTORDER,TIMEINSTAGEDURATIONSECONDS,LastProcessedDate
Platinum,001B000000SS4qPIAT,Education,Millennials,SoftAware Networks,Activity 453,131000,2018-09-18,2019-09-24,943,131000,Closed,006B0000003n2hfIAA,true,true,Fields Sales,287,SoftAware Networks - 131k,Brenda Banker,San Francisco,0051U000005L4E9QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,CA,100,Simple,Closed Won,Closed Won,8,3923535,2020-05-25
Gold,001B000000SS4wAIAT,Shipping,Mass Market,Adaptive Marketing,Activity 53,125000,2020-05-12,2019-07-16,289,125000,Closed,006B0000003hgoDIAQ,true,true,Fields Sales,357,Adaptive Marketing - 125k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,100,Simple,Closed Won,Closed Won,8,17719400,2020-05-25
Platinum,001B000000SS3heIAD,Energy,Millennials,Alexis Consulting,Activity 726,27500,2018-09-11,2019-12-16,878,27500,Omitted,006B0000004t2NbIAI,true,false,Fields Sales,204,Alexis Consulting - 27.5k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,0,Channel (Partner),Closed Lost,Closed Lost,9,19861983,2020-05-25
Silver,001B000000WJDxSIAX,Biotechnology,Retired,CHEP USA,Activity 481,23000,2019-04-26,2019-08-21,771,23000,Omitted,006B0000004t2JQIAY,true,false,Reseller,321,CHEP USA - 23k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,0,Simple,Closed Lost,Closed Lost,9,22122775,2020-05-25
Silver,001B000000SS4pLIAT,Engineering,High Net Worth Families,Electromec Sales,Activity 70,60000,2020-02-28,2019-11-14,360,60000,Closed,006B00000049V6yIAE,true,true,Fields Sales,236,Electromec Sales - 60k,Brenda Banker,San Francisco,0051U000005L4E9QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,CA,100,Simple,Closed Won,Closed Won,8,17535395,2020-05-25
Silver,001B000000lwNt8IAE,Utilities,Mass Market,Virtio,Activity 208,29000,2020-07-22,2019-11-30,220,29000,Best Case,006B00000049VBvIAM,false,false,Reseller,220,Virtio - 29k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,20,Channel (Partner),Qualification,Qualification,2,43422350,2020-05-25
Platinum,001B000000bwMSXIA2,Other,Retired,Powerdialers Inc,Activity 26,114500,2020-06-04,2019-09-24,265,114500,Omitted,006B00000049UlPIAU,true,false,Fields Sales,287,Powerdialers Inc - 114.5k,Chelsea Advisor,Florida,0051U000005L6eJQAS,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,FL,0,Simple,Closed Lost,Closed Lost,9,31951718,2020-05-25
Platinum,001B000000SS448IAD,Technology,Mass Market,Pogo.com,Activity 317,150000,2019-11-15,2019-10-05,505,150000,Closed,006B00000049VDCIA2,true,true,Reseller,276,Pogo.com - 150k,Mark Garet,New York,0051U000005KhW6QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,NY,100,Simple,Closed Won,Closed Won,8,35753582,2020-05-25
Platinum,001B000000SS3hKIAT,Healthcare & Life Sciences,Millennials,Aon Corporation - Parent,Activity 617,50500,2019-06-05,2019-11-22,614,50500,Omitted,006B0000003X0xAIAS,true,false,Fields Sales,228,Aon Corporation - Parent - 50.5k,Chelsea Advisor,Florida,0051U000005L6eJQAS,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,FL,0,Simple,Closed Lost,Closed Lost,9,5210301,2020-05-25
Silver,001B000000lwNqTIAU,Construction,Retired,Sales Consultants,Activity 66,62500,2020-02-15,2019-12-19,355,62500,Omitted,006B00000049VY6IAM,true,false,Fields Sales,201,Sales Consultants - 62.5k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,0,Simple,Closed Lost,Closed Lost,9,3509838,2020-05-25
Gold,001B000000WJEFMIA5,Hospitality,Millennials,Unitec Computer Stores Inc,Activity 148,125000,2020-11-09,2019-10-30,245,125000,Commit,006B00000049VR7IAM,false,false,Reseller,251,Unitec Computer Stores Inc - 125k,Brenda Banker,San Francisco,0051U000005L4E9QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,CA,20,Channel (Partner),Qualification,Qualification,2,59746076,2020-05-25
Silver,001B000000SS4BnIAL,Education,Millennials,Gasdat Information System,Activity 611,28500,2020-02-12,2019-08-01,393,28500,Omitted,006B0000003WbmRIAS,true,false,Telesales,341,Gasdat Information System - 28.5k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,IL,0,Simple,Closed Lost,Closed Lost,9,33277693,2020-05-25
Platinum,001B000000sxKEqIAM,Food & Beverage,Mass Market,Liberty Financial Companies,Activity 486,24500,2019-05-07,2019-09-07,722,24500,Closed,006B0000004t2PoIAI,true,true,Reseller,304,Liberty Financial Companies - 24.5k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,100,Simple,Closed Won,Closed Won,8,10116946,2020-05-25
Gold,001B000000lwNs3IAE,Telecommunications,Affluent Professionals,Willis North America Master,Activity 736,37500,2018-09-05,2019-11-14,910,37500,Omitted,006B0000004t2R1IAI,true,false,Reseller,236,Willis North America Master - 37.5k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T,IL,0,Channel (Partner),Closed Lost,Closed Lost,9,4551171,2020-05-25
Gold,001B000000WJE5uIAH,Engineering,Affluent Professionals,LCP Tracker,Activity 43,50000,2020-05-30,2019-09-03,253,50000,Closed,006B0000003WbKaIAK,true,true,Reseller,308,LCP Tracker - 50k,Chelsea Advisor,Florida,0051U000005L6eJQAS,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,FL,100,Channel (Partner),Closed Won,Closed Won,8,38676021,2020-05-25
Silver,001B000000SS423IAD,Media,Retired,We Recruit I.T.,Activity 595,162500,2020-02-09,2019-11-16,363,162500,Omitted,006B0000003X10ZIAS,true,false,Other,234,We Recruit I.T. - 162.5k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,IL,0,Advanced,Closed Lost,Closed Lost,9,27120618,2020-05-25
Silver,001B000000SS43qIAD,Insurance,Millennials,Berlin Industries,Activity 332,27500,2019-09-10,2019-12-19,513,27500,Closed,006B00000049VCwIAM,true,true,Fields Sales,201,Berlin Industries - 27.5k,Chelsea Advisor,Florida,0051U000005L6eJQAS,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,FL,100,Simple,Closed Won,Closed Won,8,38378472,2020-05-25
Platinum,001B000000bwMccIAE,Financial Services,Millennials,BestTransport,Activity 653,59500,2018-11-21,2019-08-30,902,59500,Closed,006B0000004t2XPIAY,true,true,Reseller,312,BestTransport - 59.5k,Mark Garet,New York,0051U000005KhW6QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,NY,100,Simple,Closed Won,Closed Won,8,51744502,2020-05-25
Silver,001B000000SS4pcIAD,Communications,Mass Market,Bank 1st Card Services,Activity 387,125000,2019-06-04,2019-11-22,626,125000,Omitted,006B0000003hgaZIAQ,true,false,Fields Sales,228,Bank 1st Card Services - 125k,Mark Garet,New York,0051U000005KhW6QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,NY,0,Simple,Closed Lost,Closed Lost,9,59456103,2020-05-25
Gold,001B000000SS4GZIA1,Government,Affluent Professionals,Cardiac Science,Activity 150,187500,2020-07-01,2019-10-22,251,187500,Best Case,006B00000049VRBIA2,false,false,Fields Sales,259,Cardiac Science - 187.5k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T,IL,90,Channel (Partner),Negotiation,Negotiation,7,20430714,2020-05-25
Gold,001B000000lwNo9IAE,Biotechnology,Mass Market,Indus MIS,Activity 350,56000,2019-08-11,2019-10-07,611,56000,Closed,006B00000049Um1IAE,true,true,Fields Sales,274,Indus MIS - 56k,Brenda Banker,San Francisco,0051U000005L4E9QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,CA,100,Channel (Partner),Closed Won,Closed Won,8,4044162,2020-05-25
Gold,001B000000SS48PIAT,Environmental,Affluent Professionals,HRB Tax Group,Activity 189,52500,2020-07-16,2019-09-06,270,52500,Best Case,006B00000049VIjIAM,false,false,Other,305,HRB Tax Group - 52.5k,Brenda Banker,San Francisco,0051U000005L4E9QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,CA,90,Simple,Negotiation,Negotiation,7,48280181,2020-05-25
Gold,001B000000SS54dIAD,Consulting,Millennials,BlastOff!,Activity 116,28000,2020-01-23,2019-07-11,492,28000,Omitted,006B00000049VkGIAU,true,false,Fields Sales,362,BlastOff! - 28k,Mark Garet,New York,0051U000005KhW6QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,NY,0,Simple,Closed Lost,Closed Lost,9,34399423,2020-05-25
Gold,001B000000WJE6PIAX,Transportation,Millennials,She & She Cleaning Services In,Activity 233,52500,2020-07-15,2019-09-29,268,52500,Commit,006B00000049UzzIAE,false,false,Fields Sales,282,She & She Cleaning Services In - 52.5k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T,IL,90,Simple,Negotiation,Negotiation,7,22990038,2020-05-25
Platinum,001B000000sxKFIIA2,Manufacturing,Mass Market,XML Technology Partners,Activity 398,29000,2019-06-05,2019-08-01,622,29000,Omitted,006B0000004t2V7IAI,true,false,Reseller,341,XML Technology Partners - 29k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,0,Channel (Partner),Closed Lost,Closed Lost,9,2261487,2020-05-25
Gold,001B000000SS454IAD,Electronics,Mass Market,H2O Technologies,Activity 297,32000,2019-12-02,2019-10-07,448,32000,Closed,006B00000049VEDIA2,true,true,Fields Sales,274,H2O Technologies - 32k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,IL,100,Channel (Partner),Closed Won,Closed Won,8,56463352,2020-05-25
Silver,001B000000WJEDvIAP,Telecommunications,Retired,InfoCast Corporation,Activity 174,27500,2020-07-26,2019-07-10,349,27500,Best Case,006B00000049VMqIAM,false,false,Fields Sales,363,InfoCast Corporation - 27.5k,Mark Garet,New York,0051U000005KhW6QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,NY,90,Simple,Negotiation,Negotiation,7,55826020,2020-05-25
Gold,001B000000bwMdEIAU,Financial Services,Retired,Origin of Life,Activity 463,35000,2019-08-23,2019-09-02,589,35000,Closed,006B0000003WbuSIAS,true,true,Fields Sales,309,Origin of Life - 35k,Brenda Banker,San Francisco,0051U000005L4E9QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T,CA,100,Simple,Closed Won,Closed Won,8,3781942,2020-05-25
Gold,001B000000lwNoxIAE,Machinery,Mass Market,Aim Technology Resources,Activity 255,75000,2020-03-15,2019-10-09,386,75000,Omitted,006B00000049UrcIAE,true,false,Fields Sales,272,Aim Technology Resources - 75k,Chelsea Advisor,Florida,0051U000005L6eJQAS,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,FL,0,Simple,Closed Lost,Closed Lost,9,16415568,2020-05-25
Silver,001B000000WJDwIIAX,Education,Mass Market,Advantage Mobilty Outfitters,Activity 74,90000,2020-02-20,2019-10-23,362,90000,Omitted,006B00000049UfQIAU,true,false,Other,258,Advantage Mobilty Outfitters - 90k,Brenda Banker,San Francisco,0051U000005L4E9QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,CA,0,Simple,Closed Lost,Closed Lost,9,32607983,2020-05-25
Platinum,001B000000SS42ZIAT,Financial Services,High Net Worth Families,Gibson Dunn & Crutcher Llp,Activity 542,30000,2019-03-19,2019-12-13,690,30000,Closed,006B0000003hgfaIAA,true,true,Telesales,207,Gibson Dunn & Crutcher Llp - 30k,Chelsea Advisor,Florida,0051U000005L6eJQAS,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,FL,100,Simple,Closed Won,Closed Won,8,27128844,2020-05-25
Gold,001B000000SS4GOIA1,Consulting,Affluent Professionals,Advenix,Activity 666,125000,2018-09-09,2019-07-11,1004,125000,Omitted,006B0000003WbsPIAS,true,false,Fields Sales,362,Advenix - 125k,Mark Garet,New York,0051U000005KhW6QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,NY,0,Simple,Closed Lost,Closed Lost,9,43962887,2020-05-25
Platinum,001B000000sxKFDIA2,Shipping,High Net Worth Families,Javelin Solutions,Activity 572,116500,2018-12-03,2019-11-14,807,116500,Omitted,006B0000004t2UbIAI,true,false,Fields Sales,236,Javelin Solutions - 116.5k,Brenda Banker,San Francisco,0051U000005L4E9QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,CA,0,Channel (Partner),Closed Lost,Closed Lost,9,36327829,2020-05-25
Platinum,001B000000bwMZeIAM,Government,Affluent Professionals,Kyocera America Inc,Activity 47,65000,2020-04-27,2019-09-09,313,65000,Closed,006B00000049VB4IAM,true,true,Reseller,302,Kyocera America Inc - 65k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,IL,100,Channel (Partner),Closed Won,Closed Won,8,4535942,2020-05-25
Silver,001B000000SS51QIAT,Healthcare & Life Sciences,Affluent Professionals,APW Ltd,Activity 552,125000,2019-02-17,2019-09-15,764,125000,Omitted,006B0000004t2YFIAY,true,false,Fields Sales,296,APW Ltd - 125k,Brenda Banker,San Francisco,0051U000005L4E9QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,CA,0,Simple,Closed Lost,Closed Lost,9,31471636,2020-05-25
Silver,001B000000WJEFbIAP,Insurance,High Net Worth Families,Skarlet Media Inc,Activity 23,35000,2020-05-09,2019-09-27,284,35000,Closed,006B0000003n2x1IAA,true,true,Fields Sales,284,Skarlet Media Inc - 35k,Chelsea Advisor,Florida,0051U000005L6eJQAS,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,100,Simple,Closed Won,Closed Won,8,56484978,2020-05-25
Gold,001B000000lwNvrIAE,Banking,High Net Worth Families,Chaney Brooks & Co,Activity 147,135000,2020-10-25,2019-10-13,247,135000,Best Case,006B00000049VUrIAM,false,false,Fields Sales,268,Chaney Brooks & Co - 135k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,0,Simple,Discovery,Discovery,0,1068968,2020-05-25
Platinum,001B000000SS3UPIA1,Engineering,High Net Worth Families,Pcm/Sarcom Inc,Activity 388,85000,2019-06-17,2019-08-28,630,85000,Omitted,006B00000049UjyIAE,true,false,Fields Sales,314,Pcm/Sarcom Inc - 85k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,0,Simple,Closed Lost,Closed Lost,9,52143736,2020-05-25
Silver,001B000000SS4G1IAL,Manufacturing,Retired,Computer Market Source,Activity 54,115000,2020-06-03,2019-07-09,345,115000,Closed,006B00000049VQkIAM,true,true,Fields Sales,364,Computer Market Source - 115k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,100,Simple,Closed Won,Closed Won,8,21863254,2020-05-25
Gold,001B000000SS3sXIAT,Government,Mass Market,Bradley Dean Assoc,Activity 468,200000,2020-04-08,2019-10-01,324,200000,Omitted,006B0000003n2XNIAY,true,false,Fields Sales,280,Bradley Dean Assoc - 200k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,IL,0,Channel (Partner),Closed Lost,Closed Lost,9,5628355,2020-05-25
