Product,id,Date,AUM,Revenue,Fees,Commissions,LastProcessedDate
ETF,25,2019-01-14,"$1,171,338.00","$1,793.00",$462.00,$64.00,2020-05-25
Life Insurance,26,2019-02-10,"$1,063,116.00",$783.00,$772.00,$974.00,2020-05-25
Mutual Fund,27,2018-11-22,"$908,242.00",$924.00,$902.00,$613.00,2020-05-25
ETF,28,2019-02-02,"$660,987.00",$914.00,$793.00,$728.00,2020-05-25
Life Insurance,29,2019-02-26,"$542,477.00",$589.00,$597.00,$7.00,2020-05-25
Life Insurance,30,2019-02-16,"$1,188,531.00","$1,235.00",$397.00,$833.00,2020-05-25
Life Insurance,31,2019-03-24,"$997,413.00","$1,499.00",$718.00,$989.00,2020-05-25
ETF,32,2019-05-15,"$881,809.00",$561.00,$587.00,$662.00,2020-05-25
Savings,33,2019-02-06,"$792,077.00","$1,722.00",$828.00,$323.00,2020-05-25
Annuity,34,2018-10-28,"$760,864.00","$1,585.00",$798.00,$149.00,2020-05-25
Annuity,35,2018-12-09,"$587,830.00","$1,064.00",$973.00,$655.00,2020-05-25
Annuity,36,2019-04-26,"$715,202.00","$1,954.00",$82.00,$595.00,2020-05-25
Life Insurance,37,2019-04-29,"$979,468.00",$531.00,$908.00,$361.00,2020-05-25
Life Insurance,38,2019-03-28,"$778,218.00","$1,254.00",$702.00,$378.00,2020-05-25
Annuity,39,2019-03-02,"$540,196.00","$1,062.00",$130.00,$203.00,2020-05-25
Life Insurance,40,2018-11-03,"$1,046,165.00","$1,482.00",$141.00,$513.00,2020-05-25
Annuity,41,2018-12-13,"$735,595.00","$1,503.00",$431.00,$907.00,2020-05-25
Annuity,42,2019-04-16,"$726,418.00","$1,997.00",$223.00,$47.00,2020-05-25
Annuity,43,2019-01-07,"$741,235.00","$1,200.00",$270.00,$45.00,2020-05-25
ETF,44,2018-10-31,"$704,696.00","$1,612.00",$451.00,$407.00,2020-05-25
Mutual Fund,45,2019-02-13,"$628,854.00","$1,032.00",$980.00,$534.00,2020-05-25
Annuity,46,2019-05-25,"$666,969.00","$1,411.00",$306.00,$994.00,2020-05-25
Life Insurance,47,2019-01-23,"$990,299.00","$1,864.00",$418.00,$358.00,2020-05-25
Annuity,48,2019-04-30,"$911,044.00","$1,750.00",$919.00,$63.00,2020-05-25
Life Insurance,49,2019-01-27,"$773,085.00",$750.00,$549.00,$31.00,2020-05-25
Mutual Fund,50,2018-10-31,"$880,584.00",$669.00,$130.00,$168.00,2020-05-25
Life Insurance,51,2018-11-28,"$590,718.00",$751.00,$617.00,$361.00,2020-05-25
Annuity,52,2019-05-02,"$470,805.00","$1,910.00",$233.00,$791.00,2020-05-25
Mutual Fund,53,2019-04-18,"$788,846.00",$542.00,$285.00,$216.00,2020-05-25
Annuity,54,2019-03-25,"$919,521.00","$1,427.00",$247.00,$499.00,2020-05-25
ETF,55,2019-03-09,"$490,066.00","$1,501.00",$833.00,$241.00,2020-05-25
Annuity,56,2019-03-27,"$883,479.00","$1,434.00",$804.00,$55.00,2020-05-25
ETF,57,2018-12-21,"$1,109,555.00",$502.00,$177.00,$431.00,2020-05-25
Annuity,58,2019-02-07,"$844,164.00","$1,099.00",$88.00,$476.00,2020-05-25
Annuity,59,2019-03-29,"$953,312.00",$655.00,$556.00,$747.00,2020-05-25
Life Insurance,60,2019-02-02,"$863,256.00","$1,117.00",$0.00,$0.00,2020-05-25
ETF,61,2018-12-15,"$851,295.00","$1,995.00",$132.00,$824.00,2020-05-25
Annuity,62,2019-04-15,"$680,085.00",$508.00,$360.00,$798.00,2020-05-25
Mutual Fund,63,2019-04-07,"$760,454.00",$972.00,$560.00,$416.00,2020-05-25
Life Insurance,64,2019-03-02,"$953,566.00",$659.00,$24.00,$221.00,2020-05-25
Mutual Fund,65,2019-02-04,"$781,516.00","$1,945.00",$534.00,$554.00,2020-05-25
Mutual Fund,66,2019-03-12,"$582,612.00",$962.00,$53.00,$900.00,2020-05-25
ETF,67,2019-04-26,"$952,654.00",$842.00,$985.00,$565.00,2020-05-25
Annuity,68,2018-12-23,"$892,893.00",$691.00,$302.00,$246.00,2020-05-25
Annuity,69,2019-05-19,"$868,833.00",$579.00,$0.00,$0.00,2020-05-25
ETF,70,2018-11-08,"$1,187,126.00","$1,556.00",$132.00,$942.00,2020-05-25
Life Insurance,71,2019-03-28,"$657,335.00","$1,746.00",$390.00,$11.00,2020-05-25
Annuity,72,2018-11-26,"$905,928.00","$1,956.00",$454.00,$271.00,2020-05-25
Annuity,73,2018-12-06,"$994,116.00",$975.00,$0.00,$0.00,2020-05-25
Annuity,74,2018-12-03,"$1,002,728.00","$1,389.00",$416.00,$822.00,2020-05-25
Life Insurance,75,2019-04-03,"$1,063,656.00","$1,265.00",$691.00,$255.00,2020-05-25
ETF,76,2019-04-12,"$789,036.00","$1,964.00",$971.00,$650.00,2020-05-25
Annuity,77,2019-03-14,"$1,114,723.00","$1,769.00",$81.00,$253.00,2020-05-25
Annuity,78,2019-03-09,"$402,565.00",$958.00,$106.00,$195.00,2020-05-25
Life Insurance,79,2018-12-11,"$1,163,425.00",$695.00,$452.00,$32.00,2020-05-25
ETF,80,2019-02-05,"$1,139,975.00","$1,450.00",$389.00,$135.00,2020-05-25
ETF,81,2019-05-08,"$1,008,009.00","$1,177.00",$969.00,$746.00,2020-05-25
Annuity,82,2019-02-02,"$917,085.00","$1,965.00",$639.00,$257.00,2020-05-25
Mutual Fund,83,2018-11-02,"$693,132.00","$1,255.00",$263.00,$309.00,2020-05-25
Mutual Fund,84,2018-12-26,"$936,842.00","$1,255.00",$0.00,$0.00,2020-05-25
Life Insurance,85,2019-01-17,"$510,049.00","$1,886.00",$201.00,$812.00,2020-05-25
Savings,86,2018-11-29,"$1,192,797.00","$1,895.00",$284.00,$329.00,2020-05-25
Life Insurance,87,2019-01-15,"$795,002.00",$542.00,$98.00,$514.00,2020-05-25
Mutual Fund,88,2019-05-15,"$430,320.00","$1,369.00",$352.00,$807.00,2020-05-25
ETF,89,2019-05-13,"$860,964.00","$1,441.00",$193.00,$611.00,2020-05-25
Life Insurance,90,2019-02-12,"$893,667.00","$1,126.00",$565.00,$514.00,2020-05-25
Annuity,91,2019-02-18,"$861,858.00",$503.00,$644.00,$150.00,2020-05-25
Life Insurance,92,2019-04-11,"$995,644.00","$1,979.00",$511.00,$887.00,2020-05-25
ETF,93,2019-05-20,"$952,140.00",$777.00,$575.00,$260.00,2020-05-25
Mutual Fund,94,2019-01-06,"$734,612.00","$1,453.00",$588.00,$760.00,2020-05-25
Annuity,95,2018-11-27,"$793,783.00","$1,396.00",$451.00,$571.00,2020-05-25
Mutual Fund,96,2019-04-07,"$893,144.00","$1,539.00",$375.00,$271.00,2020-05-25
Life Insurance,97,2018-11-29,"$1,044,416.00",$974.00,$537.00,$864.00,2020-05-25
Mutual Fund,98,2019-05-24,"$1,171,266.00","$1,566.00",$854.00,$949.00,2020-05-25
Life Insurance,99,2019-05-15,"$514,193.00","$1,440.00",$268.00,$571.00,2020-05-25
Mutual Fund,100,2019-05-04,"$699,812.00",$891.00,$202.00,$780.00,2020-05-25
