"Emission_Category","AccountId","Energy_Consumption","Ground_Travel_Emissions_Category","LastProcessedDate","Consumption_Type","City","RenewalEnergy","Vendor","Date","Business_Travel_Type","Emission_Type","Emission_Source","Country","AccountExternalId","GTE_Value","Cost_Center_Name","AccountName","Electricity_Consumption_Value","Energy_Consumption_Value","Emission_Value","Emissions_from_Business_Travel","Carbon_Intensity"
"Data Center Facility","001B000001SklaOIAR","Biomass","#N/A","2023-03-24","Electricity",,"True","Delta","2023-02-14","Private Jet","Data Center Facility","Equipment","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",11,0,56,31000,0.08
"Travel","001B000001SklaOIAR","Hydroelectricity","Taxi","2023-03-24","Electricity",,"True","KLM","2023-04-26","Hotel Stay","Fleet Vehicle","Travel","Argentina","SupplierAcct204","1200","LATAM Sales","Yubo LATAM",3,0,17,31000,0.09
"Travel","001B000001SklaOIAR","Natural Gas","#N/A","2023-03-24","Energy",,"False","British Airways","2023-04-26","Ground Travel","Private Jet","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",0,10,17,31000,0.13
"Company Shuttle","001B000001SklaOIAR","Hydroelectricity","Rental Car","2023-03-24","Electricity",,"True","KLM","2023-04-16","Private Jet","Company Shuttle ","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",5,0,17,31000,0.01
"Travel","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","Delta","2023-03-29","Ground Travel","Private Jet","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",21,0,17,31000,0.09
"Company Shuttle","001B000001SklaOIAR","Fuel Oil","Personal Car","2023-03-24","Energy",,"False","United Airlines","2023-03-04","Private Jet","Company Shuttle ","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",0,12,22,31000,0.13
"Company Shuttle","001B000001SklaOIAR","Diesel","Personal Car","2023-03-24","Energy",,"False","KLM","2023-02-19","Private Jet","Company Shuttle ","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",0,5,22,31000,0.08
"Travel","001B000001SklaOIAR","Wind","Taxi","2023-03-24","Electricity",,"True","Delta","2023-02-16","Air Travel","Fleet Vehicle","Travel","Argentina","SupplierAcct204","1500","LATAM Sales","Yubo LATAM",22,0,22,31000,0.05
"Travel","001B000001SklaOIAR","Fuel Oil","#N/A","2023-03-24","Energy",,"False","KLM","2023-02-14","Private Jet","Private Jet","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",0,13,17,31000,0.05
"Vehicle","001B000001SklaOIAR","Solar","Subway","2023-03-24","Electricity",,"True","United Airlines","2023-03-31","Air Travel","Hotel Stay","Vehicle","Argentina","SupplierAcct204","1200","LATAM Sales","Yubo LATAM",11,0,39,31000,0.05
"Vehicle","001B000001SklaOIAR","Diesel","Subway","2023-03-24","Energy",,"False","Delta","2023-03-03","Private Jet","Hotel Stay","Vehicle","Argentina","SupplierAcct204","1500","LATAM Sales","Yubo LATAM",0,6,39,31000,0.04
"Vehicle","001B000001SklaOIAR","Biomass","#N/A","2023-03-24","Electricity",,"True","United Airlines","2023-01-15","Ground Travel","Air Travel","Vehicle","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",21,0,39,31000,0.05
"Commercial Building","001B000001SklaOIAR","Biomass","#N/A","2023-03-24","Electricity",,"True","KLM","2023-04-04","Private Jet","Commercial Building","Commercial Building","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",1,0,56,31000,0.08
"Travel","001B000001SklaOIAR","Biomass","Taxi","2023-03-24","Electricity",,"True","British Airways","2023-04-28","Ground Travel","Fleet Vehicle","Travel","Brazil","SupplierAcct204","1500","AMER HR","Yubo LATAM",12,0,11,31000,0.09
"Company Shuttle","001B000001SklaOIAR","Fuel Oil","Subway","2023-03-24","Energy",,"False","Delta","2023-03-22","Ground Travel","Company Shuttle ","Travel","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",0,3,11,31000,0.12
"Travel","001B000001SklaOIAR","Biomass","Subway","2023-03-24","Electricity",,"True","United Airlines","2023-01-23"," Rental Car","Fleet Vehicle","Travel","Brazil","SupplierAcct204","1500","AMER HR","Yubo LATAM",18,0,11,31000,0.12
"Vehicle","001B000001SklaOIAR","Wind","Personal Car","2023-03-24","Electricity",,"True","Delta","2023-01-29","Air Travel","Ground Travel","Vehicle","Brazil","SupplierAcct204","900","AMER HR","Yubo LATAM",1,0,20,31000,0.09
"Vehicle","001B000001SklaOIAR","Biomass","Personal Car","2023-03-24","Electricity",,"True","Emirates","2023-01-26"," Rental Car","Hotel Stay","Vehicle","Brazil","SupplierAcct204","2000","AMER HR","Yubo LATAM",17,0,39,31000,0.04
"Vehicle","001B000001SklaOIAR","Solar","Personal Car","2023-03-24","Electricity",,"True","Delta","2023-01-19","Private Jet","Hotel Stay","Vehicle","Brazil","SupplierAcct204","2300","AMER HR","Yubo LATAM",1,0,20,31000,0.12
"Company Shuttle","001B000001SklaOIAR","Solar","Rental Car","2023-03-24","Electricity",,"True","United Airlines","2023-04-01","Air Travel","Company Shuttle ","Travel","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",4,0,11,31000,0.05
"Travel","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","British Airways","2023-02-07","Hotel Stay","Private Jet","Travel","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",7,0,17,31000,0.05
"Vehicle","001B000001SklaOIAR","Hydroelectricity","Personal Car","2023-03-24","Electricity",,"True","Emirates","2023-04-05","Private Jet","Ground Travel","Vehicle","Brazil","SupplierAcct204","1000","AMER HR","Yubo LATAM",14,0,20,31000,0.08
"Travel","001B000001SklaOIAR","Wind","Personal Car","2023-03-24","Electricity",,"True","United Airlines","2023-01-29"," Rental Car","Fleet Vehicle","Travel","Brazil","SupplierAcct204","2000","AMER Sales","Yubo LATAM",16,0,17,31000,0.01
"Commercial Building","001B000001SklaOIAR","Fuel Oil","#N/A","2023-03-24","Energy",,"False","Delta","2023-04-09","Private Jet","Commercial Building","Commercial Building","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",0,4,56,31000,0.13
"Data Center Facility","001B000001SklaOIAR","Biomass","#N/A","2023-03-24","Electricity",,"True","British Airways","2023-02-12"," Rental Car","Data Center Facility","Data Center Facility","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",19,0,42,31000,0.08
"Company Shuttle","001B000001SklaOIAR","Fuel Oil","Subway","2023-03-24","Energy",,"False","KLM","2023-04-06","Private Jet","Company Shuttle ","Travel","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",0,11,45,31000,0.01
"Vehicle","001B000001SklaOIAR","Wind","#N/A","2023-03-24","Electricity",,"True","Delta","2023-01-04","Hotel Stay","Air Travel","Vehicle","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",1,0,39,31000,0.08
"Travel","001B000001SklaOIAR","Biomass","Subway","2023-03-24","Electricity",,"True","Delta","2023-04-23","Air Travel","Fleet Vehicle","Travel","Brazil","SupplierAcct204","1500","AMER Sales","Yubo LATAM",3,0,22,31000,0.12
"Travel","001B000001SklaOIAR","Diesel","Personal Car","2023-03-24","Energy",,"False","Emirates","2023-04-14","Ground Travel","Fleet Vehicle","Travel","Brazil","SupplierAcct204","2000","AMER Sales","Yubo LATAM",0,6,11,31000,0.13
"Travel","001B000001SklaOIAR","Wind","#N/A","2023-03-24","Electricity",,"True","British Airways","2023-04-14"," Rental Car","Private Jet","Travel","Brazil","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",19,0,17,31000,0.09
"Travel","001B000001SklaOIAR","Fuel Oil","#N/A","2023-03-24","Energy",,"False","Delta","2023-02-24","Private Jet","Other","Travel","Brazil","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",0,5,22,31000,0.12
"Travel","001B000001SklaOIAR","Wind","#N/A","2023-03-24","Electricity",,"True","United Airlines","2023-01-14","Hotel Stay","Other","Travel","Brazil","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",8,0,17,31000,0.09
"Travel","001B000001SklaOIAR","Biomass","Subway","2023-03-24","Electricity",,"True","United Airlines","2023-01-02","Private Jet","Fleet Vehicle","Travel","Brazil","SupplierAcct204","1000","AMER Sales","Yubo LATAM",13,0,22,31000,0.12
"Vehicle","001B000001SklaOIAR","Biomass","Subway","2023-03-24","Electricity",,"True","Delta","2023-01-03","Air Travel","Hotel Stay","Vehicle","Brazil","SupplierAcct204","900","AMER Sales","Yubo LATAM",6,0,39,31000,0.13
"Data Center Facility","001B000001SklaOIAR","Fuel Oil","#N/A","2023-03-24","Energy",,"False","Delta","2023-01-01","Air Travel","Data Center Facility","Data Center Facility","Argentina","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",0,5,28,31000,0.08
"Equipment","001B000001SklaOIAR","Diesel","#N/A","2023-03-24","Energy",,"False","Delta","2023-04-26"," Rental Car","Equipment","Equipment","Argentina","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",0,12,28,31000,0.13
"Data Center Facility","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","Delta","2023-04-25","Air Travel","Data Center Facility","Equipment","Argentina","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",8,0,28,31000,0.12
"Data Center Facility","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","British Airways","2023-03-21","Ground Travel","Data Center Facility","Equipment","Argentina","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",5,0,112,31000,0.05
"Equipment","001B000001SklaOIAR","Wind","#N/A","2023-03-24","Electricity",,"True","United Airlines","2023-03-12","Air Travel","Equipment","Equipment","Argentina","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",4,0,28,31000,0.13
"Equipment","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","United Airlines","2023-03-04","Air Travel","Equipment","Equipment","Argentina","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",23,0,28,31000,0.12
"Equipment","001B000001SklaOIAR","Biomass","#N/A","2023-03-24","Electricity",,"True","United Airlines","2023-02-14","Hotel Stay","Equipment","Equipment","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",20,0,56,31000,0.04
"Equipment","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","Delta","2023-01-07","Ground Travel","Equipment","Equipment","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",1,0,56,31000,0.12
"Company Shuttle","001B000001SklaOIAR","Hydroelectricity","Subway","2023-03-24","Electricity",,"True","Delta","2023-04-04","Ground Travel","Company Shuttle ","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",21,0,11,31000,0.09
"Travel","001B000001SklaOIAR","Biomass","#N/A","2023-03-24","Electricity",,"True","Emirates","2023-03-25","Air Travel","Private Jet","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",22,0,11,31000,0.12
"Travel","001B000001SklaOIAR","Cooling","Personal Car","2023-03-24","Electricity",,"False","British Airways","2023-02-27"," Rental Car","Fleet Vehicle","Travel","Argentina","SupplierAcct204","2000","LATAM Sales","Yubo LATAM",17,0,22,31000,0.08
"Travel","001B000001SklaOIAR","Hydroelectricity","#N/A","2023-03-24","Electricity",,"True","KLM","2023-02-16","Private Jet","Private Jet","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",19,0,11,31000,0.12
"Travel","001B000001SklaOIAR","Diesel","#N/A","2023-03-24","Energy",,"False","Delta","2023-02-14","Private Jet","Other","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",0,2,22,31000,0.12
"Company Shuttle","001B000001SklaOIAR","Cooling","Personal Car","2023-03-24","Electricity",,"False","United Airlines","2023-02-12","Ground Travel","Company Shuttle ","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",9,0,11,31000,0.13
"Travel","001B000001SklaOIAR","Solar","Subway","2023-03-24","Electricity",,"True","United Airlines","2023-02-07","Air Travel","Fleet Vehicle","Travel","Argentina","SupplierAcct204","2000","LATAM Sales","Yubo LATAM",9,0,11,31000,0.13
"Travel","001B000001SklaOIAR","Steam","#N/A","2023-03-24","Electricity",,"False","British Airways","2023-01-03","Air Travel","Private Jet","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",5,0,11,31000,0.09
"Travel","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","Delta","2023-01-01","Private Jet","Other","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",19,0,45,31000,0.05
"Vehicle","001B000001SklaOIAR","Natural Gas","#N/A","2023-03-24","Energy",,"False","British Airways","2023-04-27","Private Jet","Air Travel","Vehicle","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",0,11,39,31000,0.13
"Vehicle","001B000001SklaOIAR","Wind","#N/A","2023-03-24","Electricity",,"True","KLM","2023-04-10","Ground Travel","Air Travel","Vehicle","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",15,0,39,31000,0.13
"Vehicle","001B000001SklaOIAR","Cooling","Taxi","2023-03-24","Electricity",,"False","United Airlines","2023-04-05","Private Jet","Ground Travel","Vehicle","Argentina","SupplierAcct204","2300","LATAM Sales","Yubo LATAM",6,0,39,31000,0.09
"Vehicle","001B000001SklaOIAR","Wind","Personal Car","2023-03-24","Electricity",,"True","KLM","2023-04-01","Air Travel","Hotel Stay","Vehicle","Argentina","SupplierAcct204","2300","LATAM Sales","Yubo LATAM",6,0,20,31000,0.08
"Vehicle","001B000001SklaOIAR","Solar","Personal Car","2023-03-24","Electricity",,"True","United Airlines","2023-03-30","Air Travel","Hotel Stay","Vehicle","Argentina","SupplierAcct204","1200","LATAM Sales","Yubo LATAM",11,0,20,31000,0.12
"Vehicle","001B000001SklaOIAR","Solar","Subway","2023-03-24","Electricity",,"True","United Airlines","2023-03-28","Air Travel","Hotel Stay","Vehicle","Argentina","SupplierAcct204","2300","LATAM Sales","Yubo LATAM",19,0,20,31000,0.01
"Vehicle","001B000001SklaOIAR","Hydroelectricity","#N/A","2023-03-24","Electricity",,"True","United Airlines","2023-02-26","Private Jet","Air Travel","Vehicle","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",18,0,20,31000,0.04
"Vehicle","001B000001SklaOIAR","Biomass","#N/A","2023-03-24","Electricity",,"True","United Airlines","2023-02-07","Ground Travel","Air Travel","Vehicle","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",3,0,20,31000,0.09
"Vehicle","001B000001SklaOIAR","Fuel Oil","#N/A","2023-03-24","Energy",,"False","United Airlines","2023-01-26","Air Travel","Air Travel","Vehicle","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",0,13,39,31000,0.11
"Vehicle","001B000001SklaOIAR","Diesel","Subway","2023-03-24","Energy",,"False","KLM","2023-01-06","Private Jet","Ground Travel","Vehicle","Argentina","SupplierAcct204","1500","LATAM Sales","Yubo LATAM",0,10,39,31000,0.05
"Vehicle","001B000001SklaOIAR","Solar","Subway","2023-03-24","Electricity",,"True","KLM","2023-01-04"," Rental Car","Ground Travel","Vehicle","Argentina","SupplierAcct204","900","LATAM Sales","Yubo LATAM",4,0,20,31000,0.08
"Commercial Building","001B000001SklaOIAR","Biomass","#N/A","2023-03-24","Electricity",,"True","KLM","2023-03-19","Air Travel","Commercial Building","Commercial Building","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",4,0,28,31000,0.12
"Commercial Building","001B000001SklaOIAR","Diesel","#N/A","2023-03-24","Energy",,"False","United Airlines","2023-01-04","Private Jet","Commercial Building","Commercial Building","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",0,8,28,31000,0.11
"Data Center Facility","001B000001SklaOIAR","Fuel Oil","#N/A","2023-03-24","Energy",,"False","Delta","2023-03-17","Private Jet","Data Center Facility","Data Center Facility","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",0,3,112,31000,0.04
"Data Center Facility","001B000001SklaOIAR","Fuel Oil","#N/A","2023-03-24","Energy",,"False","United Airlines","2023-02-16","Ground Travel","Data Center Facility","Data Center Facility","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",0,9,56,31000,0.09
"Data Center Facility","001B000001SklaOIAR","Wind","#N/A","2023-03-24","Electricity",,"True","United Airlines","2023-01-31","Air Travel","Data Center Facility","Equipment","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",9,0,56,31000,0.09
"Company Shuttle","001B000001SklaOIAR","Solar","Subway","2023-03-24","Electricity",,"True","Delta","2023-04-17"," Rental Car","Company Shuttle ","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",1,0,11,31000,0.13
"Travel","001B000001SklaOIAR","Fuel Oil","Subway","2023-03-24","Energy",,"False","United Airlines","2023-04-10","Ground Travel","Fleet Vehicle","Travel","Brazil","SupplierAcct204","1500","AMER HR","Yubo LATAM",0,3,22,31000,0.04
"Travel","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","Delta","2023-03-19","Private Jet","Private Jet","Travel","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",4,0,22,31000,0.13
"Company Shuttle","001B000001SklaOIAR","Solar","Personal Car","2023-03-24","Electricity",,"True","United Airlines","2023-03-18","Private Jet","Company Shuttle ","Travel","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",3,0,11,31000,0.05
"Travel","001B000001SklaOIAR","Solar","Subway","2023-03-24","Electricity",,"True","Delta","2023-03-04","Air Travel","Fleet Vehicle","Travel","Brazil","SupplierAcct204","2300","AMER HR","Yubo LATAM",23,0,11,31000,0.11
"Company Shuttle","001B000001SklaOIAR","Natural Gas","Limousine","2023-03-24","Energy",,"False","Emirates","2023-02-23","Private Jet","Company Shuttle ","Travel","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",0,7,11,31000,0.12
"Company Shuttle","001B000001SklaOIAR","Diesel","Personal Car","2023-03-24","Energy",,"False","United Airlines","2023-02-22","Ground Travel","Company Shuttle ","Travel","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",0,3,11,31000,0.09
"Company Shuttle","001B000001SklaOIAR","Solar","Taxi","2023-03-24","Electricity",,"True","British Airways","2023-02-18","Air Travel","Company Shuttle ","Travel","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",8,0,11,31000,0.01
"Travel","001B000001SklaOIAR","Hydroelectricity","#N/A","2023-03-24","Electricity",,"True","Delta","2023-02-17","Ground Travel","Private Jet","Travel","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",20,0,11,31000,0.12
"Travel","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","Delta","2023-02-02","Hotel Stay","Private Jet","Travel","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",19,0,22,31000,0.13
"Travel","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","British Airways","2023-01-30","Private Jet","Private Jet","Travel","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",15,0,11,31000,0.08
"Travel","001B000001SklaOIAR","Wind","#N/A","2023-03-24","Electricity",,"True","United Airlines","2023-01-25","Ground Travel","Other","Travel","Brazil","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",14,0,45,31000,0.13
"Travel","001B000001SklaOIAR","Cooling","Personal Car","2023-03-24","Electricity",,"False","Delta","2023-01-25","Ground Travel","Fleet Vehicle","Travel","Brazil","SupplierAcct204","1200","AMER HR","Yubo LATAM",1,0,22,31000,0.13
"Company Shuttle","001B000001SklaOIAR","Hydroelectricity","Personal Car","2023-03-24","Electricity",,"True","United Airlines","2023-01-24","Air Travel","Company Shuttle ","Travel","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",21,0,11,31000,0.08
"Travel","001B000001SklaOIAR","Solar","Subway","2023-03-24","Electricity",,"True","United Airlines","2023-01-19"," Rental Car","Fleet Vehicle","Travel","Brazil","SupplierAcct204","2300","AMER HR","Yubo LATAM",15,0,11,31000,0.05
"Travel","001B000001SklaOIAR","Cooling","#N/A","2023-03-24","Electricity",,"False","United Airlines","2023-01-03","Air Travel","Private Jet","Travel","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",7,0,11,31000,0.09
"Vehicle","001B000001SklaOIAR","Wind","#N/A","2023-03-24","Electricity",,"True","Delta","2023-04-20","Ground Travel","Air Travel","Vehicle","Brazil","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",5,0,20,31000,0.02
"Vehicle","001B000001SklaOIAR","Diesel","#N/A","2023-03-24","Energy",,"False","United Airlines","2023-04-05","Private Jet","Air Travel","Vehicle","Brazil","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",0,7,20,31000,0.13
"Vehicle","001B000001SklaOIAR","Solar","Personal Car","2023-03-24","Electricity",,"True","Delta","2023-03-21","Air Travel","Ground Travel","Vehicle","Brazil","SupplierAcct204","2000","AMER Sales","Yubo LATAM",15,0,20,31000,0.13
"Vehicle","001B000001SklaOIAR","Wind","Personal Car","2023-03-24","Electricity",,"True","United Airlines","2023-03-08","Air Travel","Ground Travel","Vehicle","Brazil","SupplierAcct204","1000","AMER Sales","Yubo LATAM",12,0,20,31000,0.12
"Vehicle","001B000001SklaOIAR","Solar","Subway","2023-03-24","Electricity",,"True","United Airlines","2023-02-12","Air Travel","Hotel Stay","Vehicle","Brazil","SupplierAcct204","1500","AMER Sales","Yubo LATAM",2,0,39,31000,0.08
