"AccountId","ReportPeriod","LastProcessedDate","BusinessRegion","CountryCode3Digits","AssetType","ReportPeriodBucket","Asset","Country","AssetExternalId","AccountExternalId","AssetId","IsUnitedStatesBuilding","AccountName","EnergyIntensity","EnergyIntensityVariance","CarbonEmission"
,"2023-11-07","2023-03-24","Africa","ZAF","Data Center","Current Year","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,15,5.6
,"2023-07-13","2023-03-24","AMER","USA","Data Center","Current Year","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2020-05-12","2023-03-24","Africa","ZAF","Data Center","3 Years Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,20,5.6
,"2023-03-27","2023-03-24","AMER","USA","Data Center","Current Year","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2021-10-23","2023-03-24","Africa","ZAF","Data Center","2 Years Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,15,5.6
,"2023-05-04","2023-03-24","AMER","USA","Data Center","Current Year","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2022-07-29","2023-03-24","AMER","USA","Data Center","1 Year Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2020-06-23","2023-03-24","Africa","ZAF","Data Center","3 Years Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,15,5.6
,"2021-02-27","2023-03-24","Africa","ZAF","Data Center","2 Years Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,20,5.6
,"2022-05-08","2023-03-24","AMER","USA","Data Center","1 Year Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2020-01-28","2023-03-24","Africa","ZAF","Data Center","3 Years Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,20,5.6
,"2023-10-16","2023-03-24","AMER","USA","Data Center","Current Year","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2022-08-09","2023-03-24","AMER","USA","Data Center","1 Year Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2020-06-22","2023-03-24","Africa","ZAF","Data Center","3 Years Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,15,5.6
,"2020-02-22","2023-03-24","AMER","USA","Data Center","3 Years Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2022-09-02","2023-03-24","Africa","ZAF","Data Center","1 Year Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,20,5.6
,"2021-12-22","2023-03-24","Africa","ZAF","Data Center","2 Years Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,20,5.6
,"2020-11-07","2023-03-24","AMER","USA","Data Center","3 Years Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2022-02-13","2023-03-24","AMER","USA","Data Center","1 Year Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2023-08-17","2023-03-24","Africa","ZAF","Data Center","Current Year","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,15,5.6
,"2022-05-10","2023-03-24","Africa","ZAF","Data Center","1 Year Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,15,5.6
,"2023-01-03","2023-03-24","AMER","USA","Data Center","Current Year","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2023-04-02","2023-03-24","Africa","ZAF","Data Center","Current Year","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,15,5.6
,"2023-06-22","2023-03-24","AMER","USA","Data Center","Current Year","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2020-10-23","2023-03-24","Africa","ZAF","Data Center","3 Years Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,15,5.6
,"2021-06-19","2023-03-24","AMER","USA","Data Center","2 Years Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2021-07-05","2023-03-24","AMER","USA","Data Center","2 Years Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2022-04-10","2023-03-24","Africa","ZAF","Data Center","1 Year Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,15,5.6
,"2022-03-21","2023-03-24","Africa","ZAF","Data Center","1 Year Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,15,5.6
,"2020-01-10","2023-03-24","AMER","USA","Data Center","3 Years Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2023-12-03","2023-03-24","Africa","ZAF","Data Center","Current Year","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,20,5.6
,"2023-12-04","2023-03-24","AMER","USA","Data Center","Current Year","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2022-07-11","2023-03-24","Africa","ZAF","Data Center","1 Year Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,15,5.6
,"2022-03-14","2023-03-24","AMER","USA","Data Center","1 Year Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2021-03-27","2023-03-24","AMER","USA","Data Center","2 Years Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2022-09-15","2023-03-24","Africa","ZAF","Data Center","1 Year Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,20,5.6
,"2020-12-12","2023-03-24","AMER","USA","Data Center","3 Years Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2022-07-08","2023-03-24","Africa","ZAF","Data Center","1 Year Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,20,5.6
,"2021-05-20","2023-03-24","Africa","ZAF","Data Center","2 Years Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,15,5.6
,"2020-09-23","2023-03-24","AMER","USA","Data Center","3 Years Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2020-06-10","2023-03-24","AMER","USA","Data Center","3 Years Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2021-02-18","2023-03-24","Africa","ZAF","Data Center","2 Years Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,20,5.6
,"2023-07-16","2023-03-24","Africa","ZAF","Data Center","Current Year","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,20,5.6
,"2021-01-27","2023-03-24","AMER","USA","Data Center","2 Years Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2021-02-08","2023-03-24","AMER","USA","Data Center","2 Years Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2020-04-12","2023-03-24","Africa","ZAF","Data Center","3 Years Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,20,5.6
,"2021-08-26","2023-03-24","AMER","USA","Data Center","2 Years Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2021-11-05","2023-03-24","Africa","ZAF","Data Center","2 Years Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,15,5.6
,"2021-04-23","2023-03-24","AMER","USA","Data Center","2 Years Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2021-05-23","2023-03-24","Africa","ZAF","Data Center","2 Years Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,15,5.6
,"2021-01-21","2023-03-24","AMER","USA","Data Center","2 Years Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2023-01-06","2023-03-24","Africa","ZAF","Data Center","Current Year","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,15,5.6
,"2021-08-22","2023-03-24","AMER","USA","Data Center","2 Years Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2022-06-27","2023-03-24","Africa","ZAF","Data Center","1 Year Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,20,5.6
,"2020-05-06","2023-03-24","Africa","ZAF","Data Center","3 Years Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,15,5.6
,"2021-09-07","2023-03-24","AMER","USA","Data Center","2 Years Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2020-12-15","2023-03-24","AMER","USA","Data Center","3 Years Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2021-05-16","2023-03-24","Africa","ZAF","Data Center","2 Years Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,20,5.6
,"2022-02-09","2023-03-24","AMER","USA","Data Center","1 Year Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2022-09-03","2023-03-24","Africa","ZAF","Data Center","1 Year Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,15,5.6
,"2023-01-01","2023-03-24","AMER","USA","Data Center","Current Year","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2020-12-20","2023-03-24","Africa","ZAF","Data Center","3 Years Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,20,5.6
,"2020-08-11","2023-03-24","Africa","ZAF","Data Center","3 Years Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,15,5.6
,"2022-05-29","2023-03-24","AMER","USA","Data Center","1 Year Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2023-05-18","2023-03-24","AMER","USA","Data Center","Current Year","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2021-02-06","2023-03-24","Africa","ZAF","Data Center","2 Years Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,15,5.6
,"2023-12-11","2023-03-24","Africa","ZAF","Data Center","Current Year","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,15,5.6
,"2022-03-27","2023-03-24","AMER","USA","Data Center","1 Year Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2021-03-24","2023-03-24","AMER","USA","Data Center","2 Years Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2020-09-02","2023-03-24","Africa","ZAF","Data Center","3 Years Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,15,5.6
,"2021-08-24","2023-03-24","AMER","USA","Data Center","2 Years Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2021-01-30","2023-03-24","AMER","CAN","Office","2 Years Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2023-12-15","2023-03-24","AMER","CAN","Office","Current Year","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2022-10-10","2023-03-24","AMER","CAN","Office","1 Year Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,20,5.6
,"2020-04-06","2023-03-24","AMER","CAN","Office","3 Years Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2023-11-14","2023-03-24","AMER","CAN","Office","Current Year","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2021-03-24","2023-03-24","AMER","CAN","Office","2 Years Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2023-08-07","2023-03-24","AMER","CAN","Office","Current Year","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2020-08-14","2023-03-24","AMER","CAN","Office","3 Years Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2022-06-22","2023-03-24","AMER","CAN","Office","1 Year Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,20,5.6
,"2021-08-04","2023-03-24","AMER","CAN","Office","2 Years Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2022-05-05","2023-03-24","AMER","CAN","Office","1 Year Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2021-01-27","2023-03-24","AMER","CAN","Office","2 Years Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,20,5.6
,"2023-04-14","2023-03-24","AMER","CAN","Office","Current Year","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2021-05-15","2023-03-24","AMER","CAN","Office","2 Years Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,20,5.6
,"2020-12-10","2023-03-24","AMER","CAN","Office","3 Years Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,20,5.6
,"2023-06-29","2023-03-24","AMER","CAN","Office","Current Year","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2020-10-25","2023-03-24","AMER","CAN","Office","3 Years Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,20,5.6
,"2022-01-06","2023-03-24","AMER","CAN","Office","1 Year Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,20,5.6
,"2022-12-15","2023-03-24","AMER","CAN","Office","1 Year Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2021-11-18","2023-03-24","AMER","CAN","Office","2 Years Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2023-01-20","2023-03-24","AMER","CAN","Office","Current Year","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2021-08-25","2023-03-24","AMER","CAN","Office","2 Years Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,20,5.6
,"2020-10-23","2023-03-24","AMER","CAN","Office","3 Years Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2020-04-28","2023-03-24","AMER","CAN","Office","3 Years Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2021-11-18","2023-03-24","AMER","CAN","Office","2 Years Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2022-06-12","2023-03-24","AMER","CAN","Office","1 Year Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2020-02-05","2023-03-24","AMER","CAN","Office","3 Years Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2021-01-25","2023-03-24","AMER","CAN","Office","2 Years Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2021-06-30","2023-03-24","AMER","CAN","Office","2 Years Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2020-12-03","2023-03-24","AMER","CAN","Office","3 Years Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2023-11-12","2023-03-24","AMER","CAN","Office","Current Year","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2023-12-27","2023-03-24","AMER","CAN","Office","Current Year","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2022-01-22","2023-03-24","AMER","CAN","Office","1 Year Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2023-10-07","2023-03-24","AMER","CAN","Office","Current Year","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,20,5.6
,"2020-05-16","2023-03-24","AMER","CAN","Office","3 Years Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,20,5.6
,"2020-12-13","2023-03-24","AMER","CAN","Office","3 Years Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,20,5.6
,"2021-02-25","2023-03-24","AMER","CAN","Office","2 Years Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,20,5.6
,"2022-05-09","2023-03-24","AMER","CAN","Office","1 Year Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,20,5.6
,"2021-12-13","2023-03-24","AMER","CAN","Office","2 Years Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,20,5.6
,"2020-09-01","2023-03-24","AMER","CAN","Office","3 Years Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2023-06-08","2023-03-24","AMER","CAN","Office","Current Year","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2020-05-02","2023-03-24","AMER","CAN","Office","3 Years Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,20,5.6
,"2022-07-30","2023-03-24","AMER","CAN","Office","1 Year Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2021-03-14","2023-03-24","AMER","CAN","Office","2 Years Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2022-05-05","2023-03-24","AMER","CAN","Office","1 Year Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,20,5.6
,"2021-02-09","2023-03-24","AMER","CAN","Office","2 Years Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2021-05-05","2023-03-24","AMER","CAN","Office","2 Years Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2022-09-05","2023-03-24","AMER","CAN","Office","1 Year Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2021-04-23","2023-03-24","AMER","CAN","Office","2 Years Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2021-04-12","2023-03-24","AMER","CAN","Office","2 Years Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2022-01-06","2023-03-24","AMER","CAN","Office","1 Year Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2021-07-22","2023-03-24","AMER","CAN","Office","2 Years Ago","Wolf Point Tower","Canada","SDO.012",,"0phB00000004MmyIAE","No",,0.11,15,5.6
,"2022-02-16","2023-03-24","EMEA","GRB","Office","1 Year Ago","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE","No",,0.11,15,5.6
"001B000001SklaNIAR","2021-04-04","2023-03-24","AMER","USA","Manufacturing","2 Years Ago","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yes","Yubo Corporation",0.1,30,5.55
,"2022-10-25","2023-03-24","EMEA","GRB","Office","1 Year Ago","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE","No",,0.11,15,5.6
