Emission_Category,Energy_Consumption,Ground_Travel_Emissions_Category,Consumption_Type,City,RenewalEnergy,Vendor,Date,Business_Travel_Type,Emission_Type,Emission_Source,Country,Cost_Center_Name,Electricity_Consumption_Value,Energy_Consumption_Value,Emission_Value,Emissions_from_Business_Travel,GTE_Value,Carbon_Intensity
Travel,Solar,Personal Car,Electricity,San Fransisco ,True,United Airlines,2020-02-15,Private Jet,Fleet Vehicle,Travel,United States of America,LATAM Sales,4,0,500,7000,1000,0.68
Comercial Building,Hydroelectricity,,Electricity,Dublin,True,United Airlines,2022-04-26,Ground Travel,Comercial Building,Comercial Building,Ireland,APAC Marketing,6,0,100,31000,,0.04
Data Center Facility,Diesel,,Energy,New York,False,Emirates,2020-08-28,Air Travel,Data Center Facility,Vehicle,United States of America,General COO,0,5,400,7000,,0.28
Vehicle,Solar,,Electricity,Tokyo,True,Delta,2021-03-17,Air Travel,Air Travel,Vehicle,Japan,APAC Sales,21,0,100,15000,,0.2
Vehicle,Wind,Limousine,Electricity,San Fransisco ,True,United Airlines,2022-02-24,Ground Travel,Hotel Stay,Vehicle,United States of America,EMEA Sales,10,0,500,31000,1200,0.61
Company Shuttle,Solar,Subway,Electricity,Paris,True,Delta,2022-04-17, Rental Car,Company Shuttle ,Travel,France,EMEA Sales,1,0,100,31000,,0.66
Vehicle,Cooling,Taxi,Electricity,New York,False,United Airlines,2020-08-26,Air Travel,Ground Travel,Vehicle,United States of America,APAC Sales,17,0,400,7000,1500,0.62
Equipment,Biomass,,Electricity,New York,True,Delta,2021-04-26,Ground Travel,Equipment,Equipment,United States of America,LATAM Sales,5,0,400,15000,,0.41
Travel,Fuel Oil,,Energy,Tokyo,False,British Airways,2022-04-30,Private Jet,Other,Travel,Japan,General COO,0,12,200,31000,,0.63
Vehicle,Hydroelectricity,Personal Car,Electricity,Dublin,True,KLM,2022-04-06,Private Jet,Hotel Stay,Vehicle,Ireland,EMEA Sales,8,0,150,31000,2000,0.03
Travel,Solar,,Electricity,San Fransisco ,True,Delta,2020-09-09,Air Travel,Other,Travel,United States of America,AMER HR,21,0,400,7000,,0.48
Travel,Steam,,Electricity,Paris,False,British Airways,2022-01-03,Air Travel,Private Jet,Travel,France,APAC Sales,5,0,100,31000,,0.49
Vehicle,Biomass,Subway,Electricity,New York,True,United Airlines,2021-04-13,Private Jet,Ground Travel,Vehicle,United States of America,EMEA Sales,6,0,400,15000,900,0.63
Travel,Wind,Subway,Electricity,Tokyo,True,United Airlines,2022-02-28,Ground Travel,Fleet Vehicle,Travel,Japan,APAC Sales,17,0,200,31000,2300,0.4
Data Center Facility,Solar,,Electricity,San Fransisco ,True,United Airlines,2021-05-07,Ground Travel,Data Center Facility,Data Center Facility,United States of America,General COO,3,0,500,15000,,0.69
Equipment,Diesel,,Energy,San Fransisco ,False,Delta,2022-02-24,Private Jet,Equipment,Equipment,United States of America,EMEA Sales,0,7,500,31000,,0.41
Comercial Building,Natural Gas,,Energy,San Fransisco ,False,United Airlines,2020-10-19,Air Travel,Comercial Building,Comercial Building,United States of America,APAC Sales,0,6,500,7000,,0.64
Company Shuttle,Solar,Personal Car,Electricity,New York,True,Delta,2022-04-28, Rental Car,Company Shuttle ,Travel,United States of America,LATAM Sales,9,0,500,31000,,0.29
Vehicle,Cooling,,Electricity,Paris,False,United Airlines,2022-01-01,Ground Travel,Air Travel,Vehicle,France,EMEA Sales,11,0,100,31000,,0.06
Travel,Solar,,Electricity,San Fransisco ,True,Emirates,2020-02-02,Air Travel,Private Jet,Travel,United States of America,EMEA Sales,20,0,400,7000,,0.43
Vehicle,Solar,Subway,Electricity,Dublin,True,KLM,2021-10-01,Private Jet,Hotel Stay,Vehicle,Ireland,EMEA Sales,5,0,100,15000,1200,0.63
Vehicle,Hydroelectricity,,Electricity,Tokyo,True,United Airlines,2022-01-07,Air Travel,Air Travel,Vehicle,Japan,APAC Sales,4,0,200,31000,,0.61
Travel,Fuel Oil,,Energy,Tokyo,False,Delta,2022-02-24,Private Jet,Other,Travel,Japan,AMER Sales,0,5,200,31000,,0.65
Equipment,Heat,,Electricity,New York,False,Delta,2021-05-03,Hotel Stay,Equipment,Equipment,United States of America,General COO,1,0,400,15000,,0.49
Company Shuttle,Solar,Personal Car,Electricity,San Fransisco ,True,United Airlines,2020-09-05,Ground Travel,Company Shuttle ,Travel,United States of America,APAC Marketing,19,0,500,7000,,0.63
Data Center Facility,Solar,,Electricity,San Fransisco ,True,British Airways,2022-02-14,Air Travel,Data Center Facility,Equipment,United States of America,APAC Sales,3,0,500,31000,,0.65
Comercial Building,Biomass,,Electricity,Tokyo,True,United Airlines,2022-02-10,Private Jet,Comercial Building,Comercial Building,Japan,EMEA Sales,13,0,150,31000,,0.25
Travel,Biomass,Taxi,Electricity,Paris,True,Delta,2021-03-11,Ground Travel,Fleet Vehicle,Travel,France,LATAM Sales,12,0,200,15000,2000,0.69
Vehicle,Solar,Subway,Electricity,Paris,True,KLM,2022-01-04, Rental Car,Ground Travel,Vehicle,France,APAC Sales,4,0,100,31000,900,0.43
Data Center Facility,Wind,,Electricity,New York,True,United Airlines,2020-04-03,Air Travel,Data Center Facility,Equipment,United States of America,General COO,2,0,400,7000,,0.66
Travel,Wind,Rental Car,Electricity,Dublin,True,British Airways,2022-03-28,Private Jet,Fleet Vehicle,Travel,Ireland,EMEA Sales,20,0,100,31000,1000,0.2
Vehicle,Hydroelectricity,Limousine,Electricity,San Fransisco ,True,Delta,2020-01-12,Air Travel,Hotel Stay,Vehicle,United States of America,EMEA Sales,16,0,500,7000,1500,0.42
Vehicle,Biomass,,Electricity,San Fransisco ,True,United Airlines,2022-01-19,Ground Travel,Air Travel,Vehicle,United States of America,EMEA Sales,11,0,400,31000,,0.61
Travel,Solar,,Electricity,Tokyo,True,United Airlines,2021-02-06,Ground Travel,Other,Travel,Japan,AMER HR,22,0,150,15000,,0.64
Vehicle,Fuel Oil,Taxi,Energy,New York,False,Delta,2022-02-07,Ground Travel,Ground Travel,Vehicle,United States of America,EMEA Sales,0,7,400,31000,2300,0.41
Company Shuttle,Solar,Subway,Electricity,San Fransisco ,True,British Airways,2020-04-15,Air Travel,Company Shuttle ,Travel,United States of America,APAC Sales,19,0,500,7000,,0.47
Comercial Building,Cooling,,Electricity,Paris,False,United Airlines,2021-01-26, Rental Car,Comercial Building,Comercial Building,France,APAC Sales,16,0,100,15000,,0.68
Equipment,Hydroelectricity,,Electricity,New York,True,Delta,2022-01-23,Private Jet,Equipment,Equipment,United States of America,EMEA Sales,23,0,400,31000,,0.61
Travel,Diesel,,Energy,Dublin,False,United Airlines,2022-03-17,Air Travel,Private Jet,Travel,Ireland,LATAM Sales,0,6,150,31000,,0.09
Vehicle,Diesel,Subway,Energy,Tokyo,False,Emirates,2021-10-11,Private Jet,Ground Travel,Vehicle,Japan,General COO,0,3,200,15000,1000,0.46
Comercial Building,Biomass,,Electricity,San Fransisco ,True,KLM,2020-12-28,Hotel Stay,Comercial Building,Comercial Building,United States of America,APAC Marketing,8,0,500,7000,,0.68
Travel,Solar,,Electricity,Paris,True,Delta,2022-01-01,Private Jet,Other,Travel,France,APAC Sales,19,0,400,31000,,0.25
Vehicle,Natural Gas,,Energy,New York,False,United Airlines,2022-02-03,Air Travel,Air Travel,Vehicle,United States of America,EMEA Sales,0,9,500,31000,,0.2
Travel,Fuel Oil,,Energy,San Fransisco ,False,British Airways,2022-04-20,Ground Travel,Private Jet,Travel,United States of America,AMER HR,0,1,500,31000,,0.45
Company Shuttle,Wind,Personal Car,Electricity,Tokyo,True,Delta,2020-06-15,Ground Travel,Company Shuttle ,Travel,Japan,EMEA Sales,15,0,200,7000,,0.01
Data Center Facility,Solar,,Electricity,San Fransisco ,True,Delta,2021-04-17,Ground Travel,Data Center Facility,Data Center Facility,United States of America,APAC Sales,19,0,400,15000,,0.69
Vehicle,Wind,Personal Car,Electricity,New York,True,United Airlines,2022-02-17,Private Jet,Hotel Stay,Vehicle,United States of America,EMEA Sales,6,0,400,31000,2000,0.67
Equipment,Solar,,Electricity,Tokyo,True,United Airlines,2022-04-22,Air Travel,Equipment,Equipment,Japan,LATAM Sales,4,0,150,31000,,0.21
Travel,Hydroelectricity,Taxi,Electricity,San Fransisco ,True,KLM,2021-07-24,Ground Travel,Fleet Vehicle,Travel,United States of America,APAC Sales,9,0,500,15000,2300,0.42
Equipment,Wind,,Electricity,Dublin,True,Delta,2022-01-03,Air Travel,Equipment,Equipment,Ireland,General COO,20,0,100,31000,,0.09
Vehicle,Cooling,,Electricity,New York,False,United Airlines,2020-11-27,Private Jet,Air Travel,Vehicle,United States of America,EMEA Sales,9,0,400,7000,,0.21
Travel,Biomass,,Electricity,Paris,True,British Airways,2022-04-23, Rental Car,Other,Travel,France,AMER Sales,2,0,100,31000,,0.61
Vehicle,Geothermal,Personal Car,Electricity,Tokyo,True,United Airlines,2021-06-03,Ground Travel,Ground Travel,Vehicle,Japan,General COO,11,0,100,15000,1200,0.68
Data Center Facility,Solar,,Electricity,Paris,True,Delta,2020-03-20,Air Travel,Data Center Facility,Equipment,France,APAC Sales,8,0,100,7000,,0.63
Travel,Biomass,,Electricity,San Fransisco ,True,Emirates,2022-01-04,Ground Travel,Private Jet,Travel,United States of America,EMEA Sales,4,0,500,31000,,0.68
Company Shuttle,Diesel,Personal Car,Energy,Tokyo,False,KLM,2022-02-19,Private Jet,Company Shuttle ,Travel,Japan,LATAM Sales,0,5,200,31000,,0.41
Vehicle,Wind,Subway,Electricity,New York,True,United Airlines,2021-11-04,Air Travel,Hotel Stay,Vehicle,United States of America,EMEA Sales,5,0,400,15000,1500,0.45
Comercial Building,Biomass,,Electricity,San Fransisco ,True,Delta,2020-01-08,Ground Travel,Comercial Building,Comercial Building,United States of America,APAC Sales,8,0,500,7000,,0.65
Travel,Solar,Subway,Electricity,Dublin,True,United Airlines,2022-04-03, Rental Car,Fleet Vehicle,Travel,Ireland,EMEA Sales,12,0,150,31000,1500,0.41
Equipment,Fuel Oil,,Energy,Paris,False,United Airlines,2022-01-13,Private Jet,Equipment,Equipment,France,General COO,0,4,200,31000,,0.4
Company Shuttle,Wind,Personal Car,Electricity,Tokyo,True,British Airways,2021-04-13,Hotel Stay,Company Shuttle ,Travel,Japan,EMEA Sales,9,0,400,15000,,0.61
Vehicle,Solar,Subway,Electricity,San Fransisco ,True,Delta,2020-02-10,Air Travel,Hotel Stay,Vehicle,United States of America,EMEA Sales,21,0,400,7000,2000,0.4
Comercial Building,Hydroelectricity,,Electricity,New York,True,United Airlines,2022-04-09,Ground Travel,Comercial Building,Comercial Building,United States of America,APAC Marketing,4,0,400,31000,,0.45
Travel,Biomass,Rental Car,Electricity,San Fransisco ,True,Delta,2022-03-08,Air Travel,Fleet Vehicle,Travel,United States of America,APAC Sales,11,0,500,31000,1000,0.67
Travel,Solar,,Electricity,San Fransisco ,True,Emirates,2020-07-13,Private Jet,Other,Travel,United States of America,AMER HR,23,0,500,7000,,0.48
Vehicle,Cooling,Taxi,Electricity,Paris,False,United Airlines,2022-04-05,Private Jet,Ground Travel,Vehicle,France,APAC Sales,6,0,200,31000,2300,0.49
Travel,Natural Gas,,Energy,New York,False,Delta,2021-08-09,Air Travel,Private Jet,Travel,United States of America,LATAM Sales,0,6,500,15000,,0.61
Data Center Facility,Solar,,Electricity,Tokyo,True,KLM,2022-03-16,Ground Travel,Data Center Facility,Data Center Facility,Japan,General COO,12,0,200,31000,,0.21
Vehicle,Fuel Oil,,Energy,Dublin,False,United Airlines,2022-01-01,Private Jet,Air Travel,Vehicle,Ireland,EMEA Sales,0,13,100,31000,,0.6
Vehicle,Diesel,Personal Car,Energy,San Fransisco ,False,United Airlines,2020-05-16,Ground Travel,Ground Travel,Vehicle,United States of America,APAC Sales,0,4,500,7000,1200,0.62
Vehicle,Wind,Taxi,Electricity,New York,True,Delta,2022-04-19,Air Travel,Hotel Stay,Vehicle,United States of America,EMEA Sales,21,0,400,31000,900,0.66
Travel,Biomass,,Electricity,Tokyo,True,British Airways,2021-10-01,Ground Travel,Other,Travel,Japan,EMEA Sales,22,0,200,15000,,0.48
Vehicle,Hydroelectricity,,Electricity,Paris,True,United Airlines,2022-02-26,Private Jet,Air Travel,Vehicle,France,APAC Sales,18,0,100,31000,,0.23
Travel,Solar,Subway,Electricity,San Fransisco ,True,Delta,2020-04-01,Air Travel,Fleet Vehicle,Travel,United States of America,EMEA Sales,21,0,400,7000,900,0.48
Comercial Building,Steam,,Electricity,San Fransisco ,False,United Airlines,2022-03-27, Rental Car,Comercial Building,Comercial Building,United States of America,General COO,1,0,500,31000,,0.63
Equipment,Wind,,Electricity,New York,True,British Airways,2021-12-13,Ground Travel,Equipment,Equipment,United States of America,LATAM Sales,8,0,400,15000,,0.23
Travel,Hydroelectricity,,Electricity,Paris,True,KLM,2022-02-16,Private Jet,Private Jet,Travel,France,APAC Sales,19,0,100,31000,,0.61
Data Center Facility,Diesel,,Energy,Tokyo,False,Delta,2021-07-31,Air Travel,Data Center Facility,Equipment,Japan,EMEA Sales,0,9,200,15000,,0.68
Company Shuttle,Biomass,Subway,Electricity,San Fransisco ,True,Delta,2020-06-15, Rental Car,Company Shuttle ,Travel,United States of America,AMER HR,5,0,500,7000,,0.47
Travel,Wind,,Electricity,Tokyo,True,United Airlines,2022-01-14,Hotel Stay,Other,Travel,Japan,AMER Sales,8,0,150,31000,,0.49
Travel,Fuel Oil,Limousine,Energy,San Fransisco ,False,United Airlines,2022-02-21,Ground Travel,Fleet Vehicle,Travel,United States of America,APAC Sales,0,8,500,31000,1500,0.68
Vehicle,Cooling,,Electricity,New York,False,United Airlines,2020-05-10,Ground Travel,Air Travel,Vehicle,United States of America,EMEA Sales,6,0,400,7000,,0.44
Vehicle,Solar,Personal Car,Electricity,Paris,True,Delta,2022-03-21,Air Travel,Ground Travel,Vehicle,France,EMEA Sales,15,0,100,31000,2000,0.69
Travel,Solar,,Electricity,Dublin,True,British Airways,2021-11-29,Air Travel,Private Jet,Travel,Ireland,APAC Marketing,7,0,150,15000,,0.21
Data Center Facility,Solar,,Electricity,San Fransisco ,True,Delta,2022-01-21,Private Jet,Data Center Facility,Data Center Facility,United States of America,APAC Sales,6,0,400,31000,,0.44
Equipment,Biomass,,Electricity,New York,True,United Airlines,2020-11-28,Ground Travel,Equipment,Equipment,United States of America,General COO,10,0,400,7000,,0.67
Comercial Building,Solar,,Electricity,San Fransisco ,True,KLM,2022-02-04,Air Travel,Comercial Building,Comercial Building,United States of America,LATAM Sales,10,0,500,31000,,0.68
Vehicle,Wind,Personal Car,Electricity,Dublin,True,Emirates,2021-02-08,Private Jet,Hotel Stay,Vehicle,Ireland,EMEA Sales,12,0,100,15000,1200,0.06
Company Shuttle,Solar,Subway,Electricity,Tokyo,True,United Airlines,2022-01-01,Private Jet,Company Shuttle ,Travel,Japan,EMEA Sales,1,0,150,31000,,0.67
Travel,Hydroelectricity,Limousine,Electricity,New York,True,Delta,2020-07-11,Ground Travel,Fleet Vehicle,Travel,United States of America,EMEA Sales,20,0,500,7000,1000,0.41
Data Center Facility,Solar,,Electricity,San Fransisco ,True,Delta,2022-01-17, Rental Car,Data Center Facility,Equipment,United States of America,APAC Sales,16,0,500,31000,,0.6
Vehicle,Fuel Oil,,Energy,Paris,False,United Airlines,2021-07-19,Air Travel,Air Travel,Vehicle,France,EMEA Sales,0,9,200,15000,,0.4
Vehicle,Biomass,Subway,Electricity,Tokyo,True,United Airlines,2022-03-03,Ground Travel,Hotel Stay,Vehicle,Japan,General COO,4,0,200,31000,900,0.04
Company Shuttle,Solar,Taxi,Electricity,Paris,True,British Airways,2022-02-18,Air Travel,Company Shuttle ,Travel,France,EMEA Sales,8,0,100,31000,,0.04
Vehicle,Solar,Personal Car,Electricity,Tokyo,True,Delta,2020-09-04,Private Jet,Ground Travel,Vehicle,Japan,LATAM Sales,5,0,200,7000,2300,0.42
Travel,Wind,,Electricity,New York,True,United Airlines,2021-05-05,Ground Travel,Private Jet,Travel,United States of America,EMEA Sales,6,0,400,15000,,0.24
Travel,Hydroelectricity,,Electricity,San Fransisco ,True,Emirates,2022-03-29,Private Jet,Other,Travel,United States of America,General COO,4,0,500,31000,,0.48
Comercial Building,Wind,,Electricity,Dublin,True,KLM,2022-03-02,Air Travel,Comercial Building,Comercial Building,Ireland,EMEA Sales,13,0,150,31000,,0.03
Equipment,Natural Gas,,Energy,San Fransisco ,False,United Airlines,2020-11-28,Private Jet,Equipment,Equipment,United States of America,AMER HR,0,11,400,7000,,0.64
Equipment,Cooling,,Electricity,San Fransisco ,False,Delta,2022-04-10,Hotel Stay,Equipment,Equipment,United States of America,APAC Sales,8,0,500,31000,,0.44
Comercial Building,Biomass,,Electricity,Paris,True,Delta,2021-12-12,Air Travel,Comercial Building,Comercial Building,France,EMEA Sales,4,0,200,15000,,0.28
Vehicle,Fuel Oil,,Energy,New York,False,British Airways,2022-02-13, Rental Car,Air Travel,Vehicle,United States of America,APAC Marketing,0,1,400,31000,,0.66
Travel,Solar,Taxi,Electricity,Tokyo,True,United Airlines,2020-08-10,Ground Travel,Fleet Vehicle,Travel,Japan,EMEA Sales,13,0,150,7000,1000,0.63
Vehicle,Solar,Personal Car,Electricity,San Fransisco ,True,KLM,2021-11-08,Private Jet,Ground Travel,Vehicle,United States of America,APAC Sales,11,0,500,15000,2000,0.68
