Scope,SubScope,Date,LastProcessedDate,Account,AccountExternalId,AccountId,EmissionsLabel,Emissions
Scope 1,Scope 1,2020-01-09,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 1 - CY-3,1500
Scope 2,Scope 2 Location Based,2023-10-21,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 LB - CY,4100
Scope 3,Scope 3,2022-07-23,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 3 - LY,2928
Scope 2,Scope 2 Market Based,2023-02-02,2023-12-07,All,,,All - Scope 2 MB - CY,26500
Scope 1,Scope 1,2021-09-03,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 1 - CY-2,2700
Scope 3,Scope 3,2022-08-03,2023-12-07,All,,,All - Scope 3 - LY,104766
Scope 2,Scope 2 Location Based,2020-02-25,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 2 LB - CY-3,800
Scope 2,Scope 2 Location Based,2023-02-08,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 2 LB - CY,505
Scope 2,Scope 2 Market Based,2021-01-20,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 MB - CY-2,2500
Scope 1,Scope 1,2022-11-15,2023-12-07,All,,,All - Scope 1 - LY,22677
Scope 3,Scope 3,2020-09-09,2023-12-07,All,,,All - Scope 3 - CY-3,102000
Scope 2,Scope 2 Market Based,2020-09-01,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 2 MB - CY-3,600
Scope 2,Scope 2 Location Based,2023-02-14,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 LB - CY,4100
Scope 1,Scope 1,2021-03-07,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 1 - CY-2,750
Scope 3,Scope 3,2022-08-28,2023-12-07,All,,,All - Scope 3 - LY,104766
Scope 2,Scope 2 Location Based,2021-08-30,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 LB - CY-2,3900
Scope 3,Scope 3,2023-05-26,2023-12-07,All,,,All - Scope 3 - CY,96087
Scope 2,Scope 2 Market Based,2020-10-13,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 2 MB - CY-3,600
Scope 1,Scope 1,2022-07-11,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 1 - LY,3072
Scope 1,Scope 1,2020-09-29,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 1 - CY-3,1500
Scope 3,Scope 3,2021-01-27,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 3 - CY-2,11900
Scope 2,Scope 2 Market Based,2022-12-28,2023-12-07,All,,,All - Scope 2 MB - LY,25095
Scope 2,Scope 2 Location Based,2023-02-28,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 LB - CY,4100
Scope 2,Scope 2 Market Based,2021-05-06,2023-12-07,All,,,All - Scope 2 MB - CY-2,17000
Scope 1,Scope 1,2023-11-04,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 1 - CY,1100
Scope 3,Scope 3,2020-02-08,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 3 - CY-3,15800
Scope 2,Scope 2 Location Based,2022-07-22,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 2 LB - LY,497
Scope 1,Scope 1,2022-02-19,2023-12-07,All,,,All - Scope 1 - LY,22677
Scope 3,Scope 3,2020-02-23,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 3 - CY-3,15800
Scope 2,Scope 2 Market Based,2023-11-13,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 2 MB - CY,400
Scope 2,Scope 2 Location Based,2021-02-01,2023-12-07,All,,,All - Scope 2 LB - CY-2,27500
Scope 3,Scope 3,2022-02-03,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 3 - LY,2928
Scope 2,Scope 2 Market Based,2023-02-23,2023-12-07,All,,,All - Scope 2 MB - CY,26500
Scope 2,Scope 2 Location Based,2020-11-24,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 LB - CY-3,4200
Scope 1,Scope 1,2021-09-15,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 1 - CY-2,750
Scope 1,Scope 1,2022-10-26,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 1 - LY,3072
Scope 2,Scope 2 Market Based,2023-12-03,2023-12-07,All,,,All - Scope 2 MB - CY,26500
Scope 3,Scope 3,2021-01-01,2023-12-07,All,,,All - Scope 3 - CY-2,94500
Scope 2,Scope 2 Location Based,2020-05-12,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 LB - CY-3,4200
Scope 2,Scope 2 Market Based,2020-07-24,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 2 MB - CY-3,600
Scope 1,Scope 1,2022-09-11,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 1 - LY,3072
Scope 2,Scope 2 Location Based,2023-10-10,2023-12-07,All,,,All - Scope 2 LB - CY,30800
Scope 3,Scope 3,2021-07-13,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 3 - CY-2,2600
Scope 2,Scope 2 Location Based,2022-11-25,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 LB - LY,4051
Scope 1,Scope 1,2021-10-09,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 1 - CY-2,750
Scope 2,Scope 2 Market Based,2023-09-08,2023-12-07,All,,,All - Scope 2 MB - CY,26500
Scope 3,Scope 3,2020-04-13,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 3 - CY-3,15800
Scope 1,Scope 1,2020-07-14,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 1 - CY-3,1500
Scope 2,Scope 2 Location Based,2023-09-03,2023-12-07,All,,,All - Scope 2 LB - CY,30800
Scope 2,Scope 2 Market Based,2021-11-16,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 2 MB - CY-2,300
Scope 3,Scope 3,2022-09-29,2023-12-07,All,,,All - Scope 3 - LY,104766
Scope 3,Scope 3,2020-04-06,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 3 - CY-3,15800
Scope 2,Scope 2 Market Based,2021-08-22,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 MB - CY-2,2500
Scope 2,Scope 2 Location Based,2022-04-19,2023-12-07,All,,,All - Scope 2 LB - LY,30345
Scope 1,Scope 1,2023-11-20,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 1 - CY,1100
Scope 2,Scope 2 Location Based,2020-08-23,2023-12-07,All,,,All - Scope 2 LB - CY-3,33000
Scope 2,Scope 2 Market Based,2022-10-16,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 2 MB - LY,384
Scope 1,Scope 1,2021-01-05,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 1 - CY-2,2700
Scope 3,Scope 3,2023-09-08,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 3 - CY,12892
Scope 2,Scope 2 Location Based,2023-06-09,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 2 LB - CY,505
Scope 2,Scope 2 Market Based,2022-01-29,2023-12-07,All,,,All - Scope 2 MB - LY,25095
Scope 1,Scope 1,2021-06-17,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 1 - CY-2,2700
Scope 3,Scope 3,2020-09-01,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 3 - CY-3,3700
Scope 1,Scope 1,2021-04-13,2023-12-07,All,,,All - Scope 1 - CY-2,18000
Scope 2,Scope 2 Location Based,2020-01-04,2023-12-07,All,,,All - Scope 2 LB - CY-3,33000
Scope 3,Scope 3,2023-04-22,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 3 - CY,12892
Scope 2,Scope 2 Market Based,2022-04-22,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 2 MB - LY,384
Scope 3,Scope 3,2022-01-22,2023-12-07,All,,,All - Scope 3 - LY,104766
Scope 2,Scope 2 Market Based,2020-03-14,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 MB - CY-3,2900
Scope 1,Scope 1,2023-11-06,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 1 - CY,1100
Scope 2,Scope 2 Location Based,2021-03-19,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 LB - CY-2,3900
Scope 2,Scope 2 Location Based,2021-03-28,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 2 LB - CY-2,550
Scope 3,Scope 3,2020-08-11,2023-12-07,All,,,All - Scope 3 - CY-3,102000
Scope 2,Scope 2 Market Based,2022-07-26,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 MB - LY,3235
Scope 1,Scope 1,2023-05-21,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 1 - CY,1100
Scope 3,Scope 3,2020-08-13,2023-12-07,All,,,All - Scope 3 - CY-3,102000
Scope 2,Scope 2 Location Based,2023-02-24,2023-12-07,All,,,All - Scope 2 LB - CY,30800
Scope 1,Scope 1,2022-08-11,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 1 - LY,1034
Scope 2,Scope 2 Market Based,2021-04-19,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 MB - CY-2,2500
Scope 2,Scope 2 Location Based,2020-09-25,2023-12-07,All,,,All - Scope 2 LB - CY-3,33000
Scope 1,Scope 1,2023-03-22,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 1 - CY,3300
Scope 3,Scope 3,2021-10-17,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 3 - CY-2,2600
Scope 2,Scope 2 Market Based,2022-09-07,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 2 MB - LY,384
Scope 2,Scope 2 Market Based,2022-10-08,2023-12-07,All,,,All - Scope 2 MB - LY,25095
Scope 2,Scope 2 Location Based,2023-01-19,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 LB - CY,4100
Scope 3,Scope 3,2020-10-16,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 3 - CY-3,15800
Scope 1,Scope 1,2021-03-25,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 1 - CY-2,750
Scope 1,Scope 1,2023-06-20,2023-12-07,All,,,All - Scope 1 - CY,24400
Scope 3,Scope 3,2022-12-22,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 3 - LY,2928
Scope 2,Scope 2 Location Based,2020-08-21,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 LB - CY-3,4200
Scope 2,Scope 2 Market Based,2021-09-18,2023-12-07,All,,,All - Scope 2 MB - CY-2,17000
Scope 1,Scope 1,2020-03-30,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 1 - CY-3,1500
Scope 2,Scope 2 Location Based,2021-06-11,2023-12-07,All,,,All - Scope 2 LB - CY-2,27500
Scope 2,Scope 2 Market Based,2022-09-30,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 MB - LY,3235
Scope 3,Scope 3,2023-10-17,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 3 - CY,2904
Scope 2,Scope 2 Location Based,2020-11-03,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 LB - CY-3,4200
Scope 1,Scope 1,2021-08-18,2023-12-07,All,,,All - Scope 1 - CY-2,18000
Scope 2,Scope 2 Market Based,2023-09-29,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 MB - CY,3400
Scope 3,Scope 3,2022-01-21,2023-12-07,All,,,All - Scope 3 - LY,104766
Scope 1,Scope 1,2020-06-11,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 1 - CY-3,1500
Scope 2,Scope 2 Market Based,2022-09-24,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 2 MB - LY,384
Scope 3,Scope 3,2021-08-16,2023-12-07,All,,,All - Scope 3 - CY-2,94500
Scope 2,Scope 2 Location Based,2023-05-12,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 LB - CY,4100
Scope 3,Scope 3,2023-04-22,2023-12-07,All,,,All - Scope 3 - CY,96087
Scope 2,Scope 2 Market Based,2021-07-07,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 2 MB - CY-2,300
Scope 2,Scope 2 Location Based,2022-10-18,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 LB - LY,4051
Scope 1,Scope 1,2020-04-12,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 1 - CY-3,4000
Scope 2,Scope 2 Location Based,2020-11-30,2023-12-07,All,,,All - Scope 2 LB - CY-3,33000
Scope 2,Scope 2 Market Based,2021-12-28,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 2 MB - CY-2,300
Scope 3,Scope 3,2022-02-04,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 3 - LY,12903
Scope 1,Scope 1,2023-02-28,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 1 - CY,1100
Scope 3,Scope 3,2023-04-26,2023-12-07,All,,,All - Scope 3 - CY,96087
Scope 1,Scope 1,2022-07-20,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 1 - LY,1034
Scope 2,Scope 2 Market Based,2021-06-29,2023-12-07,All,,,All - Scope 2 MB - CY-2,17000
Scope 2,Scope 2 Location Based,2020-11-11,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 LB - CY-3,4200
Scope 3,Scope 3,2023-05-31,2023-12-07,All,,,All - Scope 3 - CY,96087
Scope 1,Scope 1,2020-12-27,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 1 - CY-3,1500
Scope 2,Scope 2 Location Based,2022-10-31,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 LB - LY,4051
Scope 2,Scope 2 Market Based,2021-08-11,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 MB - CY-2,2500
Scope 2,Scope 2 Location Based,2023-01-31,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 2 LB - CY,505
Scope 3,Scope 3,2020-08-02,2023-12-07,All,,,All - Scope 3 - CY-3,102000
Scope 2,Scope 2 Market Based,2022-09-05,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 2 MB - LY,384
Scope 1,Scope 1,2021-01-18,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 1 - CY-2,2700
Scope 3,Scope 3,2020-10-24,2023-12-07,All,,,All - Scope 3 - CY-3,102000
Scope 1,Scope 1,2023-10-21,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 1 - CY,3300
Scope 2,Scope 2 Market Based,2022-11-04,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 2 MB - LY,384
Scope 2,Scope 2 Location Based,2021-02-10,2023-12-07,All,,,All - Scope 2 LB - CY-2,27500
Scope 1,Scope 1,2021-07-24,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 1 - CY-2,750
Scope 3,Scope 3,2020-04-11,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 3 - CY-3,15800
Scope 2,Scope 2 Market Based,2023-01-10,2023-12-07,All,,,All - Scope 2 MB - CY,26500
Scope 2,Scope 2 Location Based,2022-12-25,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 LB - LY,4051
Scope 3,Scope 3,2022-05-17,2023-12-07,All,,,All - Scope 3 - LY,104766
Scope 2,Scope 2 Location Based,2020-08-29,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 2 LB - CY-3,800
Scope 2,Scope 2 Market Based,2021-12-31,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 2 MB - CY-2,300
Scope 1,Scope 1,2023-08-02,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 1 - CY,3300
Scope 3,Scope 3,2023-06-08,2023-12-07,All,,,All - Scope 3 - CY,96087
Scope 2,Scope 2 Location Based,2021-05-14,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 LB - CY-2,3900
Scope 2,Scope 2 Market Based,2020-06-19,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 2 MB - CY-3,600
Scope 1,Scope 1,2022-12-17,2023-12-07,All,,,All - Scope 1 - LY,22677
Scope 2,Scope 2 Market Based,2021-10-26,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 2 MB - CY-2,300
Scope 3,Scope 3,2020-10-04,2023-12-07,All,,,All - Scope 3 - CY-3,102000
Scope 1,Scope 1,2023-07-10,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 1 - CY,3300
Scope 2,Scope 2 Location Based,2022-04-07,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 2 LB - LY,497
Scope 2,Scope 2 Location Based,2023-08-05,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 LB - CY,4100
Scope 3,Scope 3,2022-10-05,2023-12-07,All,,,All - Scope 3 - LY,104766
Scope 2,Scope 2 Market Based,2020-02-11,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 MB - CY-3,2900
Scope 1,Scope 1,2021-10-03,2023-12-07,All,,,All - Scope 1 - CY-2,18000
Scope 3,Scope 3,2021-08-31,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 3 - CY-2,2600
Scope 1,Scope 1,2022-03-01,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 1 - LY,1034
Scope 2,Scope 2 Market Based,2023-02-05,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 MB - CY,3400
Scope 2,Scope 2 Location Based,2020-03-13,2023-12-07,All,,,All - Scope 2 LB - CY-3,33000
Scope 1,Scope 1,2020-11-27,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 1 - CY-3,4000
Scope 2,Scope 2 Location Based,2022-11-17,2023-12-07,All,,,All - Scope 2 LB - LY,30345
Scope 3,Scope 3,2023-05-20,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 3 - CY,2904
Scope 2,Scope 2 Market Based,2021-12-30,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 MB - CY-2,2500
Scope 2,Scope 2 Location Based,2021-09-11,2023-12-07,All,,,All - Scope 2 LB - CY-2,27500
Scope 1,Scope 1,2022-04-24,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 1 - LY,1034
Scope 2,Scope 2 Market Based,2023-05-26,2023-12-07,All,,,All - Scope 2 MB - CY,26500
Scope 3,Scope 3,2020-06-15,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 3 - CY-3,3700
