"Type_of_Waste","Scope","Category_of_Waste","LastProcessedDate","Treatment_Methods","Date","Scope_3_Upstream_Emissions","Waste_Quantity","Landfill_Waste","Scope_3_Downstream_Emissions","Scope_1_Emissions","Combustion_Waste"
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-06-18",,1500,97,1567,,28
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2021-08-05",1100,2000,140,,,10
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2020-09-27",,1500,111,,590,18
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-12-13",,1500,108,2446,,11
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2023-12-01",,1500,140,,,28
"PVC","Scope 1 Emissions","Hazardous","2023-02-24","Combusted","2022-07-29",,500,111,,850,15
"PET","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-10-18",,1000,97,2500,,10
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-10-01",,2000,108,,,18
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-11-25",,1000,140,2446,,11
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-01-20",,1500,97,,590,28
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-09-29",1230,1500,111,,,10
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Composed","2022-01-18",,2000,108,2500,,15
"Batteries","Scope 1 Emissions","Hazardous","2023-02-24","Landfilled","2020-02-05",,500,140,,760,28
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2023-10-10",1100,1500,97,,,10
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2022-04-29",,1000,108,3244,,11
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-05-31",,1500,111,,,18
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-12-13",1069,2000,140,,,15
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-09-23",,1500,108,,,11
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-12-19",,1500,111,,850,10
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-04-08",1125,2000,97,,,18
"Newspaper","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Combusted","2023-04-11",,1000,108,1567,,15
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-08-21",,1000,97,,900,28
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2022-01-29",1125,1500,111,,,28
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2021-01-23",,500,140,,,15
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2020-03-30",,1500,140,,760,10
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-12-10",1230,1500,97,,,18
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2023-11-02",,1000,108,,590,11
"Office Paper","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Landfilled","2021-10-08",,2000,111,2500,,10
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-08-03",1069,1500,140,,,15
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-01-04",,2000,111,1567,,18
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2022-06-13",,1000,97,,,28
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-07-11",,1500,108,,,11
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2023-02-13",,2000,111,,850,11
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2020-03-13",,1500,108,3244,,10
"Office Paper","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Landfilled","2022-08-04",1100,1500,97,,,28
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-08-15",,1500,140,2446,,15
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-08-15",,1500,111,,900,18
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-04-29",1069,2000,97,,,18
"PET","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2023-04-28",,1000,108,2500,,10
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Composed","2020-10-27",,1500,140,,900,15
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2020-05-15",,1000,108,,,28
"Batteries","Scope 1 Emissions","Hazardous","2023-02-24","Landfilled","2022-07-02",,500,111,,,11
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2023-10-19",,2000,97,3244,,11
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-10-22",1100,1500,140,,,10
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-10-20",,1500,111,1567,,18
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-10-01",,1000,140,,850,28
"PVC","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2021-02-15",1125,500,97,,,15
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2022-05-12",,1500,108,,590,18
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2021-07-14",,1000,108,2446,,10
"Office Paper","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Landfilled","2022-06-01",1230,2000,97,,,11
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-04-23",,2000,111,,,15
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2020-07-01",,1500,140,,760,28
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-10-09",1069,1500,140,,,11
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-06-08",,1500,108,,,10
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-09-22",,1500,97,,760,18
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2023-10-31",1125,1500,111,,,15
"Office Paper","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-02-28",,1000,140,3244,,28
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-11-06",,2000,108,,,10
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-02-27",1230,1500,97,,,15
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-12-17",,1500,111,1567,,11
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2022-03-19",,1000,97,,900,28
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2021-11-27",,1000,140,,,18
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Composed","2020-12-01",,2000,108,2446,,11
"Office Paper","Scope 1 Emissions","Hazardous","2023-02-24","Landfilled","2023-08-20",,1500,111,,590,28
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-07-05",1100,1500,111,,,15
"Batteries","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2022-09-16",,500,97,,850,10
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2020-08-18",,1500,108,2500,,18
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-07-22",1230,2000,140,,,15
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-02-11",,1500,111,,760,11
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-04-20",,1500,140,3244,,28
"Office Paper","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Combusted","2021-02-22",1125,1000,97,,,10
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-09-23",,1500,108,,590,18
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-07-08",,2000,108,1567,,28
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-08-03",,1500,140,,,10
"PVC","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2022-09-18",,500,111,,,18
"PET","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2023-12-12",,1000,97,2500,,11
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2021-04-24",1069,1500,108,,,15
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2020-10-06",,2000,140,,900,18
"Newspaper","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Landfilled","2023-12-07",,1000,97,,,28
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2022-06-24",1100,2000,111,,,11
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-03-30",,1500,108,2446,,15
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-11-28",,1500,140,,850,10
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-05-16",1230,1000,111,,,18
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-11-30",,1500,97,1567,,15
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2021-08-15",,1500,108,,760,10
"Aluminum Cans","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Landfilled","2023-04-14",,2000,140,,,28
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-10-19",,2000,111,,900,11
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2022-03-04",,1000,97,2500,,18
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-05-11",1069,1500,97,,,11
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Composed","2021-11-16",,2000,111,,,10
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-07-27",,1500,140,,590,15
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2022-07-09",1100,1000,108,,,28
"Batteries","Scope 1 Emissions","Hazardous","2023-02-24","Recycled","2021-11-05",,500,108,,850,11
"PET","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-03-17",,1500,111,2446,,28
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2023-04-25",1125,1000,140,,,10
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-12-09",,2000,97,3244,,18
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-10-04",,500,108,,,15
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-10-21",1100,1500,140,,,18
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-12-15",,1500,97,,,11
"PET","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Recycled","2023-08-31",,1500,111,2446,,28
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-07-09",1125,1500,97,,,10
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-11-16",,2000,111,,850,15
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-04-12",,1500,108,1567,,10
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-03-21",1069,1500,140,,,15
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-03-27",,1000,111,3244,,11
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-07-04",,2000,97,,760,18
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2023-12-01",1230,1500,108,,,28
"PET","Scope 1 Emissions","Hazardous","2023-02-24","Recycled","2022-08-19",,1000,140,,900,15
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-07-20",,1000,108,2500,,11
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-02-03",,1500,111,,,10
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-02-20",,1500,140,,590,18
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2022-07-15",,2000,97,,,28
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Composed","2023-10-31",,500,140,,,10
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-01-14",,2000,111,1567,,18
"PET","Scope 1 Emissions","Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2022-07-20",,2000,108,,900,15
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-10-09",1230,1000,97,,,11
"PVC","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2021-05-03",,500,108,,,28
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-02-22",,1000,97,,,18
"Batteries","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-07-18",1069,500,111,,,11
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-01-06",,1500,140,2500,,15
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-08-21",,1500,111,,760,10
"Aluminum Cans","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Combusted","2023-04-03",1125,2000,108,,,28
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-05-10",,1500,140,,850,15
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2022-12-28",,1500,97,2446,,18
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-09-01",1100,1500,140,,,10
"PET","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-12-15",,2000,111,3244,,28
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2023-12-31",,1000,97,,590,11
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2020-05-30",1069,1500,108,,,11
"Aluminum Cans","Scope 1 Emissions","Hazardous","2023-02-24","Landfilled","2020-01-21",,1500,111,,760,10
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2023-03-08",,1000,140,3244,,18
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-10-04",,2000,97,,,15
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2021-02-25",,1500,108,2500,,28
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-04-08",,1500,108,,590,28
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2022-11-29",1100,1500,140,,,18
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-11-16",,1500,97,,850,15
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-02-23",,1000,111,,,11
"Aluminum Cans","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Landfilled","2023-02-25",1230,1000,108,,,10
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2021-02-17",,1500,97,1567,,10
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-05-11",,2000,111,,900,11
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2022-06-02",1125,1500,140,,,18
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-12-23",,2000,140,2446,,28
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2023-05-01",,1500,108,,,15
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2022-06-17",1100,1000,97,,,15
"Aluminum Cans","Scope 1 Emissions","Hazardous","2023-02-24","Composed","2020-07-19",,1500,111,,900,28
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2021-07-11",,1500,140,2446,,11
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2023-11-05",,2000,97,,,18
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2022-09-09",,1500,108,,760,10
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-07-14",,1500,111,2500,,28
"Batteries","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-02-12",1069,500,111,,,15
"PVC","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2020-12-25",,500,97,,850,18
"Office Paper","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Landfilled","2022-02-03",,1000,108,,,11
