"CostCenter","EmployeeCountry","LastProcessedDate","StartDateYear","ShortHaulScope3Emissions","ShortHaulSegmentDistance","PredictedShortHaulSegmentDistance","SUM_SegmentDistanceInMiles","PredictedShortHaulScope3Emissions","SUM_Scope3EmissionsInTco2e"
"Finance","Netherlands","2022-10-01","2021",0,0,0,107862.5,0,174.976
"Technology","France","2022-10-01","2021",0,0,0,104229.6,0,169.283
"Finance","India","2022-10-01","2021",0,0,0,95596.2,0,152.074
"HR","Germany","2022-10-01","2021",0,0,0,110567.3,0,179.06
"Technology","Netherlands","2022-10-01","2021",0,0,0,69755.6,0,112.812
"Sales","Germany","2022-10-01","2021",0,0,0,140677.9,0,227.9
"Finance","Japan","2022-10-01","2021",0,0,0,94112.9,0,153.202
"Sales","Australia","2022-10-01","2021",0,0,0,98487.6,0,158.457
"HR","United Kingdom","2022-10-01","2021",0,0,0,101414.8,0,164.793
"Marketing","Canada","2022-10-01","2021",0,0,0,100354.6,0,160.548
"HR","USA","2022-10-01","2021",0,0,0,91419.8,0,147.711
"Technology","Canada","2022-10-01","2021",0,0,0,91374.8,0,147.478
"Finance","United Kingdom","2022-10-01","2021",0,0,0,81360.8,0,129.953
"Marketing","Australia","2022-10-01","2021",0,0,0,112130,0,183.013
"Technology","United Kingdom","2022-10-01","2021",0,0,0,130696.2,0,213.473
"Marketing","United Kingdom","2022-10-01","2021",0,0,0,132506.8,0,217.289
"Technology","Germany","2022-10-01","2021",0,0,0,136035.4,0,217.741
"Sales","United Kingdom","2022-10-01","2021",0,0,0,98488.7,0,160.726
"Marketing","France","2022-10-01","2021",0,0,0,124603.2,0,201.113
"Finance","Germany","2022-10-01","2021",0,0,0,83624.8,0,137.057
"Sales","Japan","2022-10-01","2021",0,0,0,95520.6,0,154.384
"HR","Australia","2022-10-01","2021",0,0,0,103104.8,0,165.789
"HR","India","2022-10-01","2021",0,0,0,94465.2,0,152.419
"HR","Japan","2022-10-01","2021",0,0,0,86248.6,0,140.589
"Marketing","Germany","2022-10-01","2021",0,0,0,98091.7,0,157.596
"Marketing","USA","2022-10-01","2021",0,0,0,118645.4,0,191.665
"Sales","USA","2022-10-01","2021",0,0,0,106205.2,0,173.963
"Marketing","Japan","2022-10-01","2021",0,0,0,150294,0,240.752
"Sales","Canada","2022-10-01","2021",0,0,0,98099.1,0,158.738
"Sales","France","2022-10-01","2021",0,0,0,127008.2,0,205.551
"HR","Netherlands","2022-10-01","2021",0,0,0,93370.5,0,150.663
"Technology","Japan","2022-10-01","2021",0,0,0,98040.1,0,157.184
"Technology","USA","2022-10-01","2021",0,0,0,128992.2,0,208.643
"Technology","Australia","2022-10-01","2021",0,0,0,97140.4,0,156.031
"HR","Canada","2022-10-01","2021",0,0,0,150958.1,0,247.126
"Marketing","India","2022-10-01","2021",0,0,0,84034,0,134.225
"Sales","Netherlands","2022-10-01","2021",0,0,0,62210.3,0,98.462
"Sales","Canada","2022-10-01","2022",0,0,0,35606,0,74
"Technology","Germany","2022-10-01","2022",0,0,0,80395.1,0,146
"Marketing","Netherlands","2022-10-01","2022",0,0,0,70123.5,0,66
"Technology","USA","2022-10-01","2022",0,0,0,43738,0,69
"Technology","Japan","2022-10-01","2022",0,0,0,76370.5,0,117
"HR","Japan","2022-10-01","2022",0,0,0,59778,0,77
"Marketing","Australia","2022-10-01","2022",0,0,0,59235.8,0,138
"HR","Canada","2022-10-01","2022",0,0,0,60305.4,0,110
"HR","Germany","2022-10-01","2022",0,0,0,80391.7,0,113
"Finance","Netherlands","2022-10-01","2022",0,0,0,86991.3,0,151
"HR","France","2022-10-01","2022",0,0,0,64080.3,0,115
"Technology","Australia","2022-10-01","2022",0,0,0,55441.4,0,92
"HR","India","2022-10-01","2022",0,0,0,75673.4,0,130
"Technology","India","2022-10-01","2022",0,0,0,72215.1,0,125
"HR","Netherlands","2022-10-01","2022",0,0,0,97641.5,0,140
"Marketing","Germany","2022-10-01","2022",0,0,0,39778.6,0,85
"HR","Australia","2022-10-01","2022",0,0,0,90599.6,0,156
"Sales","USA","2022-10-01","2022",0,0,0,69889.5,0,136
"Finance","Canada","2022-10-01","2022",0,0,0,61722,0,116
"HR","United Kingdom","2022-10-01","2022",0,0,0,48495.3,0,107
"Finance","Germany","2022-10-01","2022",0,0,0,97194.6,0,127
"Marketing","India","2022-10-01","2022",0,0,0,71723.8,0,123
"Sales","Netherlands","2022-10-01","2022",0,0,0,95231.6,0,139
"Marketing","USA","2022-10-01","2022",0,0,0,55745.3,0,118
"Technology","Canada","2022-10-01","2022",0,0,0,44810.3,0,74
"Finance","France","2022-10-01","2022",0,0,0,56686.3,0,89
"Finance","India","2022-10-01","2022",0,0,0,65224.6,0,128
"Finance","Japan","2022-10-01","2022",0,0,0,63057.9,0,129
"Marketing","United Kingdom","2022-10-01","2022",0,0,0,34501.4,0,72
"Marketing","Canada","2022-10-01","2022",0,0,0,91759.3,0,171
"Sales","France","2022-10-01","2022",0,0,0,61697.3,0,132
"Marketing","France","2022-10-01","2022",0,0,0,72596.2,0,129
"Marketing","Japan","2022-10-01","2022",0,0,0,61758.8,0,98
"Sales","India","2022-10-01","2022",0,0,0,69438.1,0,115
"Sales","United Kingdom","2022-10-01","2022",0,0,0,78785.5,0,138
"Finance","United Kingdom","2022-10-01","2022",0,0,0,61165.2,0,123
"HR","USA","2022-10-01","2022",0,0,0,64363.9,0,131
"Finance","Australia","2022-10-01","2022",0,0,0,65406.1,0,147
"Technology","France","2022-10-01","2022",0,0,0,72128.9,0,124
"Sales","Australia","2022-10-01","2022",0,0,0,74551.3,0,178
"Technology","Netherlands","2022-10-01","2022",0,0,0,95005.8,0,125.239
"Finance","USA","2022-10-01","2022",0,0,0,62865.4,0,131.095
"Sales","Japan","2022-10-01","2022",0,0,0,69514.7,0,117
"Technology","United Kingdom","2022-10-01","2022",0,0,0,55790.7,0,102
"Sales","Germany","2022-10-01","2022",0,0,0,77170.3,0,141
"Marketing","Australia","2022-10-01","2023",0,0,0,30157.6,0,47.912
"Sales","Germany","2022-10-01","2023",0,0,0,63591.1,0,103.614
"Technology","France","2022-10-01","2023",0,0,0,37073.4,0,60.404
"Marketing","United Kingdom","2022-10-01","2023",0,0,0,56516.2,0,91.782
"Technology","United Kingdom","2022-10-01","2023",0,0,0,246809.1,0,401.523
"Technology","India","2022-10-01","2023",0,0,0,35195.8,0,56.334
"HR","USA","2022-10-01","2023",0,0,0,61141.9,0,97.841
"Finance","India","2022-10-01","2023",0,0,0,118492.9,0,194.409
"Sales","India","2022-10-01","2023",0,0,0,62282.6,0,100.55
"Sales","USA","2022-10-01","2023",0,0,0,417869.6,0,671.523
"Technology","Germany","2022-10-01","2023",0,0,0,30082.3,0,48.121
"Technology","Japan","2022-10-01","2023",0,0,0,170253.3,0,277.551
"HR","Netherlands","2022-10-01","2023",0,0,0,56130.4,0,91.717
"Sales","Japan","2022-10-01","2023",0,0,0,174819.6,0,285.673
"Finance","France","2022-10-01","2023",0,0,0,242421.6,0,397.888
"Sales","France","2022-10-01","2023",0,0,0,33193.2,0,53.786
"HR","Canada","2022-10-01","2023",0,0,0,203485.6,0,326.806
"HR","Germany","2022-10-01","2023",0,0,0,135250.2,0,219.121
"HR","France","2022-10-01","2023",0,0,0,68509.7,0,111.55
"Marketing","Germany","2022-10-01","2023",0,0,0,408308.8,0,643.315
"HR","Japan","2022-10-01","2023",0,0,0,141316.8,0,227.456
"Technology","Netherlands","2022-10-01","2023",0,0,0,151801.4,0,250.197
"HR","United Kingdom","2022-10-01","2023",0,0,0,104575.8,0,169.582
"Sales","Netherlands","2022-10-01","2023",0,0,0,129354.9,0,210.444
"Marketing","USA","2022-10-01","2023",0,0,0,75311.6,0,122.928
"Technology","USA","2022-10-01","2023",0,0,0,60128.5,0,97.906
"HR","India","2022-10-01","2023",0,0,0,107594.8,0,177.326
"Finance","Netherlands","2022-10-01","2023",0,0,0,66651.9,0,108.264
"Marketing","France","2022-10-01","2023",0,0,0,141205.6,0,231.021
"Finance","Japan","2022-10-01","2023",0,0,0,897124.2,0,1459
"Finance","USA","2022-10-01","2023",0,0,0,184479.3,0,299.745
"Finance","Australia","2022-10-01","2023",0,0,0,39044.8,0,63.644
"Finance","United Kingdom","2022-10-01","2023",0,0,0,146746.2,0,234.822
"Sales","United Kingdom","2022-10-01","2023",0,257,2285,1002322.3,0,1657.134
"Finance","Germany","2022-10-01","2023",0,293,868,325195.2,0,522.982
"Technology","Canada","2022-10-01","2023",0,286,758,175541.3,0,280.616
"Sales","Canada","2022-10-01","2023",0,251,660,314467.3,0,509.837
"HR","Australia","2022-10-01","2023",0,530,578,144528.1,0,238.98
"Technology","Australia","2022-10-01","2023",0,558,395,70927.3,0,115.858
"Marketing","Japan","2022-10-01","2023",0,277,228,46690.2,0,77.047
"Marketing","Netherlands","2022-10-01","2023",0,270,216,109583.5,0,179.165
"Marketing","India","2022-10-01","2023",0,259,193,93446.3,0,152.517
"Sales","Australia","2022-10-01","2023",0,249,187,71114.1,0,115.885
"Finance","Canada","2022-10-01","2023",0,273,143,51160.8,0,82.921
"Marketing","Canada","2022-10-01","2023",0,540,114,18244.2,0,29.401
"Marketing","Germany","2022-10-01","2024",0,0,0,196195.1,0,216.382
"Technology","France","2022-10-01","2024",0,0,0,73491.5,0,83.818
"Finance","India","2022-10-01","2024",0,0,0,15658.3,0,17.983
"Technology","India","2022-10-01","2024",0,0,0,39950,0,44.761
"Technology","Japan","2022-10-01","2024",0,0,0,169115.7,0,192.987
"Technology","USA","2022-10-01","2024",0,0,0,42687.3,0,48.655
"Finance","Japan","2022-10-01","2024",0,0,0,479480.4,0,545.848
"Marketing","USA","2022-10-01","2024",0,0,0,21154.1,0,24.17
"Marketing","France","2022-10-01","2024",0,0,0,21744.1,0,24.902
"Technology","United Kingdom","2022-10-01","2024",0,0,0,69351.8,0,78.978
"Technology","Netherlands","2022-10-01","2024",0,0,0,491226.1,0,566.742
"HR","Germany","2022-10-01","2024",0,0,0,85380.4,0,96.828
"HR","France","2022-10-01","2024",0,0,0,329690.2,0,375.771
"HR","United Kingdom","2022-10-01","2024",0,0,0,98547.6,0,111.864
"Finance","Netherlands","2022-10-01","2024",0,0,0,108823.3,0,123.735
"HR","USA","2022-10-01","2024",0,0,0,12534.6,0,14.041
"Finance","USA","2022-10-01","2024",0,0,0,31686.9,0,36.04
"Sales","Netherlands","2022-10-01","2024",0,0,0,162907.9,0,185.521
"Finance","France","2022-10-01","2024",0,0,0,543723.7,0,624.691
"Sales","Germany","2022-10-01","2024",0,0,0,139639.7,0,159.268
"HR","India","2022-10-01","2024",0,0,0,127324.2,0,146.89
"Marketing","United Kingdom","2022-10-01","2024",0,0,0,3025.8,0,3.44
"Sales","India","2022-10-01","2024",0,0,0,88743.7,0,100.288
"HR","Canada","2022-10-01","2024",0,0,0,99885.6,0,112.294
"Finance","Australia","2022-10-01","2024",0,0,0,110034.7,0,125
