"Business_Region","Supplier","Scope_3_Emissions_tCO2e"
"AMER","Big Sky & Sons",0.17671
"AMER","Big Sky & Sons",0.75208
"AMER","Big Sky & Sons",0.16212
"AMER","Big Sky & Sons",0.44431
"AMER","Big Sky & Sons",0.15467
"AMER","Big Sky & Sons",0.15467
"AMER","Big Sky & Sons",0.23983
"AMER","Big Sky & Sons",0.23503
"AMER","Big Sky & Sons",0.9225
"AMER","Big Sky & Sons",0.15953
"AMER","Big Sky & Sons",0.15634
"AMER","Big Sky & Sons",0.76416
"AMER","Big Sky & Sons",0.20067
"AMER","Big Sky & Sons",0.3041
"AMER","Big Sky & Sons",0.00834
"AMER","Big Sky & Sons",0.69637
"AMER","Big Sky & Sons",0.76416
"AMER","General Utilities",10.71739
"AMER","General Utilities",0.62559
"AMER","General Utilities",0.00142
"AMER","General Utilities",8.0593
"AMER","General Utilities",11.14609
"AMER","General Utilities",6.931
"AMER","*Greenstone Products LTD",0.59588
"AMER","*Greenstone Products LTD",0.20966
"AMER","*Greenstone Products LTD",0.02875
"AMER","*Greenstone Products LTD",1.23842
"AMER","*Greenstone Products LTD",0.19284
"AMER","*Greenstone Products LTD",0.43965
"AMER","*Greenstone Products LTD",0.05705
"AMER","*Greenstone Products LTD",0.04167
"AMER","*Greenstone Products LTD",0.07299
"AMER","*Greenstone Products LTD",0.43041
"AMER","*Greenstone Products LTD",1.18866
"AMER","*Greenstone Products LTD",1.26469
"AMER","*Greenstone Products LTD",0.09715
"AMER","*Greenstone Products LTD",0.22342
"AMER","*Greenstone Products LTD",0.57301
"AMER","*Greenstone Products LTD",0.24422
"AMER","*Greenstone Products LTD",1.20371
"AMER","*Greenstone Products LTD",0.44447
"AMER","*Greenstone Products LTD",1.25795
"AMER","*Greenstone Products LTD",0.76928
"AMER","*Greenstone Products LTD",0.9448
"AMER","*Greenstone Products LTD",0.94577
"AMER","*Greenstone Products LTD",0.51181
"AMER","*Greenstone Products LTD",0.77493
"AMER","*Greenstone Products LTD",1.17223
"AMER","*Greenstone Products LTD",0.47707
"AMER","*Greenstone Products LTD",1.21697
"AMER","*Greenstone Products LTD",2.37141
"AMER","*Greenstone Products LTD",0.36181
"AMER","*Greenstone Products LTD",0.04687
"AMER","*Greenstone Products LTD",0.49825
"AMER","*Greenstone Products LTD",1.07425
"AMER","*Greenstone Products LTD",0.18625
"AMER","*Greenstone Products LTD",0.48539
"AMER","*Greenstone Products LTD",1.03102
"AMER","*Greenstone Products LTD",0.5423
"AMER","*Greenstone Products LTD",0.95125
"AMER","*Greenstone Products LTD",1.23337
"AMER","*Greenstone Products LTD",0.75032
"AMER","*Greenstone Products LTD",1.1936
"AMER","*Greenstone Products LTD",0.63818
"AMER","*Greenstone Products LTD",0.15153
"AMER","*Greenstone Products LTD",0.89941
"AMER","*Greenstone Products LTD",0.52732
"AMER","*Greenstone Products LTD",0.98453
"AMER","*Greenstone Products LTD",0.19472
"AMER","*Greenstone Products LTD",0.4368
"AMER","*Greenstone Products LTD",1.19351
"AMER","*Greenstone Products LTD",0.35756
"AMER","*Greenstone Products LTD",0.8451
"AMER","*Greenstone Products LTD",0.95119
"AMER","*Greenstone Products LTD",0.65731
"AMER","*Greenstone Products LTD",0.21582
"AMER","*Greenstone Products LTD",0.65504
"AMER","*Greenstone Products LTD",0.05536
"AMER","*Greenstone Products LTD",0.98909
"AMER","*Greenstone Products LTD",0.19256
"AMER","*Greenstone Products LTD",1.19663
"AMER","*Greenstone Products LTD",0.1919
"AMER","*Greenstone Products LTD",1.2385
"AMER","*Greenstone Products LTD",0.51834
"AMER","*Greenstone Products LTD",0.90289
"AMER","*Greenstone Products LTD",0.06861
"AMER","*Greenstone Products LTD",0.85661
"AMER","*Greenstone Products LTD",0.58159
"AMER","*Greenstone Products LTD",0.75405
"AMER","*Greenstone Products LTD",0.10773
"AMER","*Greenstone Products LTD",0.18891
"AMER","*Greenstone Products LTD",1.12412
"AMER","*Greenstone Products LTD",0.02771
"AMER","*Greenstone Products LTD",1.23778
"AMER","*Greenstone Products LTD",0.90759
"AMER","*Greenstone Products LTD",0.4536
"AMER","*Greenstone Products LTD",0.40579
"AMER","*Greenstone Products LTD",0.2984
"AMER","*Greenstone Products LTD",0.80694
"AMER","*Greenstone Products LTD",0.08458
"AMER","*Greenstone Products LTD",1.30164
"AMER","*Greenstone Products LTD",0.24106
"AMER","*Greenstone Products LTD",0.78507
"AMER","*Greenstone Products LTD",0.10361
"AMER","*Greenstone Products LTD",0.33129
"AMER","*Greenstone Products LTD",0.33213
"AMER","*Greenstone Products LTD",0.97555
"AMER","*Greenstone Products LTD",1.1118
"AMER","*Greenstone Products LTD",0.79667
"AMER","*Greenstone Products LTD",0.75091
"AMER","*Greenstone Products LTD",0.3689
"AMER","*Greenstone Products LTD",0.34356
"AMER","*Greenstone Products LTD",0.72281
"AMER","*Greenstone Products LTD",1.30234
"AMER","*Greenstone Products LTD",0.50469
"AMER","*Greenstone Products LTD",0.84683
"AMER","*Greenstone Products LTD",0.17831
"AMER","*Greenstone Products LTD",0.65708
"AMER","*Greenstone Products LTD",0.11273
"AMER","*Greenstone Products LTD",0.15044
"AMER","*Greenstone Products LTD",0.47699
"AMER","*Greenstone Products LTD",1.2257
"AMER","*Greenstone Products LTD",1.3095
"AMER","*Greenstone Products LTD",0.84769
"AMER","*Greenstone Products LTD",0.33906
"AMER","*Greenstone Products LTD",0.39456
"AMER","*Greenstone Products LTD",1.17841
"AMER","*Greenstone Products LTD",0.62439
"AMER","*Greenstone Products LTD",1.22634
"AMER","*Greenstone Products LTD",1.09682
"AMER","*Greenstone Products LTD",0.35312
"AMER","*Greenstone Products LTD",0.53411
"AMER","*Greenstone Products LTD",0.3041
"AMER","*Greenstone Products LTD",1.09503
"AMER","*Greenstone Products LTD",0.24961
"AMER","*Greenstone Products LTD",1.02385
"AMER","*Greenstone Products LTD",0.73334
"AMER","*Greenstone Products LTD",0.20829
"AMER","*Greenstone Products LTD",0.67409
"AMER","*Greenstone Products LTD",0.18188
"AMER","*Greenstone Products LTD",0.96361
"AMER","*Greenstone Products LTD",0.84068
"AMER","*Greenstone Products LTD",0.80103
"AMER","*Greenstone Products LTD",0.91202
"AMER","*Greenstone Products LTD",24.62311
"AMER","*Greenstone Products LTD",0.11916
"AMER","*Greenstone Products LTD",1.0133
"AMER","*Greenstone Products LTD",0.94911
"AMER","*Greenstone Products LTD",0.67998
"AMER","*Greenstone Products LTD",0.31288
"AMER","*Greenstone Products LTD",1.02515
"AMER","*Greenstone Products LTD",0.53552
"AMER","*Greenstone Products LTD",1.01699
"AMER","*Greenstone Products LTD",1.1111
"AMER","*Greenstone Products LTD",0.21431
"AMER","*Greenstone Products LTD",0.12955
"AMER","*Greenstone Products LTD",0.48989
"AMER","*Greenstone Products LTD",0.84013
"AMER","*Greenstone Products LTD",1.02184
"AMER","*Greenstone Products LTD",1.05495
"AMER","*Greenstone Products LTD",1.05831
"AMER","*Greenstone Products LTD",0.84728
"AMER","*Greenstone Products LTD",0.65173
"AMER","*Greenstone Products LTD",1.01931
"AMER","*Greenstone Products LTD",1.23393
"AMER","*Greenstone Products LTD",0.0598
"AMER","*Greenstone Products LTD",2.37141
"AMER","*Greenstone Products LTD",1.09118
"AMER","*Greenstone Products LTD",0.07835
"AMER","*Greenstone Products LTD",0.77042
"AMER","*Greenstone Products LTD",1.27044
"AMER","*Greenstone Products LTD",0.94233
"AMER","*Greenstone Products LTD",0.105
"AMER","*Greenstone Products LTD",1.30713
"AMER","*Greenstone Products LTD",0.35268
"AMER","*Greenstone Products LTD",0.38839
"AMER","*Greenstone Products LTD",0.67522
"AMER","*Greenstone Products LTD",0.10783
"AMER","*Greenstone Products LTD",3.36219
"AMER","*Greenstone Products LTD",1.07064
"AMER","*Greenstone Products LTD",0.66713
"AMER","*Greenstone Products LTD",1.20266
"AMER","*Greenstone Products LTD",0.99888
"AMER","*Greenstone Products LTD",0.8802
"AMER","*Greenstone Products LTD",1.04938
"AMER","*Greenstone Products LTD",0.86299
"AMER","*Greenstone Products LTD",0.05719
"AMER","*Greenstone Products LTD",0.26778
"AMER","*Greenstone Products LTD",0.30785
"AMER","*Greenstone Products LTD",0.16344
"AMER","*Greenstone Products LTD",0.09923
"AMER","*Greenstone Products LTD",0.33247
"AMER","*Greenstone Products LTD",1.03091
"AMER","*Greenstone Products LTD",0.69573
"AMER","*Greenstone Products LTD",0.63276
"AMER","*Greenstone Products LTD",0.59336
"AMER","*Greenstone Products LTD",0.39861
"AMER","*Greenstone Products LTD",0.90266
"AMER","*Greenstone Products LTD",0.30259
"AMER","*Greenstone Products LTD",0.06148
"AMER","*Greenstone Products LTD",0.23794
"AMER","*Greenstone Products LTD",0.15159
"AMER","*Greenstone Products LTD",0.70012
"AMER","*Greenstone Products LTD",0.18477
"AMER","*Greenstone Products LTD",0.59438
"AMER","*Greenstone Products LTD",0.86156
"AMER","*Greenstone Products LTD",1.23067
"AMER","*Greenstone Products LTD",0.26291
"AMER","*Greenstone Products LTD",1.04716
"AMER","*Greenstone Products LTD",0.79751
"AMER","*Greenstone Products LTD",0.0899
"AMER","*Greenstone Products LTD",0.53737
"AMER","*Greenstone Products LTD",0.56949
"AMER","*Greenstone Products LTD",0.93151
"AMER","*Greenstone Products LTD",0.47725
"AMER","*Greenstone Products LTD",1.23494
"AMER","*Greenstone Products LTD",0.19125
"AMER","*Greenstone Products LTD",1.12574
"AMER","*Greenstone Products LTD",0.97091
"AMER","Green Fields Media",0.23768
"AMER","Harmon Consulting",0.04655
"AMER","Harmon Consulting",0.41339
"AMER","Harmon Consulting",0.72656
"AMER","Harmon Consulting",0.02039
"AMER","Harmon Consulting",0.2744
"AMER","Harmon Consulting",0.42183
"AMER","Harmon Consulting",0.04952
"AMER","Harmon Consulting",0.24945
"AMER","Haven Enterprises",0.33182
"AMER","Haven Enterprises",0.10363
"AMER","Haven Enterprises",0.0428
"AMER","Haven Enterprises",0.76935
"AMER","Haven Enterprises",0.08705
"AMER","Haven Enterprises",0.33182
"AMER","Haven Enterprises",0.7078
"AMER","Haven Enterprises",0.66965
"AMER","Haven Enterprises",0.55804
"AMER","Meridian Partners",0.09251
"AMER","Meridian Partners",1.43992
"AMER","Meridian Partners",0.07579
"AMER","Meridian Partners",5.97004
"AMER","Meridian Partners",0.08646
"AMER","Meridian Partners",0.02399
"AMER","Meridian Partners",0.64079
"AMER","Meridian Partners",0.02638
"AMER","Meridian Partners",2.75518
"AMER","Meridian Partners",1.16264
"AMER","Meridian Partners",0.08944
"AMER","Meridian Partners",33.7814
"AMER","Meridian Partners",0.14764
"AMER","Momentum Design",0.86341
"AMER","Momentum Design",0.94111
"AMER","Momentum Design",0.03629
"AMER","Momentum Design",0.27429
"AMER","Momentum Design",1.34713
"AMER","Momentum Design",0.23086
"AMER","Momentum Design",0.12335
"AMER","Momentum Design",0.22227
"AMER","Momentum Design",0.14909
"AMER","Momentum Design",0.04801
"AMER","Momentum Design",0.16996
"AMER","Momentum Design",0.22227
"AMER","Momentum Design",0.12335
"AMER","Momentum Design",0.56836
"AMER","Momentum Design",0.22633
"AMER","Momentum Design",0.24935
"AMER","Momentum Design",35.17148
"AMER","Pinnacle Partners",57.56913
"AMER","Pinnacle Partners",41.87469
"AMER","Pinnacle Partners",50.49924
"AMER","Pinnacle Partners",147.24256
"AMER","Pinnacle Partners",0.16307
"AMER","Pinnacle Partners",27.51339
"AMER","Pinnacle Partners",0.17122
"AMER","Pinnacle Partners",0.01105
"AMER","Pinnacle Partners",29.16419
"AMER","Pinnacle Partners",37.95163
"AMER","Pinnacle Partners",4.27871
"AMER","Pinnacle Partners",4.97524
"AMER","Pinnacle Partners",41.87469
"AMER","Southern Solutions",0.56472
"AMER","Southern Solutions",0.2485
"AMER","Southern Solutions",0.17391
"AMER","Southern Solutions",2.20369
"AMER","Southern Solutions",2.82307
"AMER","Southern Solutions",0.26437
"AMER","Southern Solutions",0.07954
"AMER","Southern Solutions",0.53275
"AMER","Southern Solutions",0.1705
"AMER","Tech Labs",0.03238
"AMER","Tech Labs",8.69472
"AMER","Tech Labs",7.90429
"AMER","Tech Labs",0.55598
"AMER","Tech Labs",3.00756
"AMER","Tech Labs",0.03335
"AMER","Tech Labs",0.84125
"AMER","Tech Labs",0.94216
"AMER","Tech Labs",0.5393
"AMER","Tech Labs",0.90447
"AMER","UlyssesNet",0.05426
"AMER","UlyssesNet",0.77219
"AMER","UlyssesNet",0.47807
"AMER","UlyssesNet",0.61313
"AMER","UlyssesNet",0.25437
"AMER","UlyssesNet",0.61313
"AMER","UlyssesNet",0.68945
"AMER","UlyssesNet",0.24419
"AMER","Universal Containers",137.59824
"AMER","Universal Containers",0.52761
"AMER","Universal Containers",67.13568
"AMER","Universal Containers",0.24266
"AMER","Universal Containers",1.31336
"AMER","Universal Containers",1.31336
"AMER","Universal Containers",10.23899
"AMER","Universal Containers",1.80967
"AMER","Universal Containers",0.24266
"AMER","Universal Services",0.01638
"AMER","Universal Containers",126.59038
"AMER","Universal Containers",9.48055
"AMER","Universal Containers",67.81382
"AMER","Universal Services",0.74196
"AMER","Universal Services",64.77429
"AMER","Universal Services",64.77429
"AMER","Universal Services",0.01638
"AMER","Universal Services",0.18584
"AMER","Universal Services",0.36076
"AMER","Universal Services",1.17659
"AMER","Universal Services",20.3736
"AMER","Universal Services",0.2476
"AMER","Universal Services",4.98923
"AMER","Universal Services",0.00668
"AMER","Universal Services",4.98923
"AMER","Universal Services",0.42467
"AMER","Universal Services",0.63631
"AMER","Universal Services",0.63631
"AMER","Universal Services",0.24039
"AMER","Universal Services",31.00125
"AMER","Universal Services",0.00735
"AMER","Universal Services",0.34689
"AMER","Universal Services",18.19071
"AMER","Universal Services",5.32993
"AMER","Valley Supply Inc.",1.97791
"AMER","Valley Supply Inc.",0.05716
"AMER","Valley Supply Inc.",2.14946
"AMER","Valley Supply Inc.",32.39133
"AMER","Valley Supply Inc.",1.93451
"AMER","Valley Supply Inc.",0.00789
"AMER","Valley Supply Inc.",1.85924
"AMER","Valley Supply Inc.",0.04573
"AMER","Vand Enterprises, Inc.",3.64202
"AMER","Vand Enterprises, Inc.",47.43033
"AMER","Vand Enterprises, Inc.",49.40659
"AMER","Vand Enterprises, Inc.",3.79377
"AMER","Vand Enterprises, Inc.",54.52986
"AMER","Vand Enterprises, Inc.",21.51065
"AMER","Vand Enterprises, Inc.",0.79366
"AMER","Vand Enterprises, Inc.",24.14031
"AMER","Vand Enterprises, Inc.",50.0274
"AMER","Employnet",0.01464
"AMER","Employnet",0.00582
"AMER","Employnet",0.00576
"AMER","Employnet",0.02934
"AMER","Employnet",0.00396
"AMER","Employnet",0.01494
"AMER","Employnet",0.03022
"AMER","JetBlue",0.70906
"AMER","Air Canada",0.01025
"AMER","Air Canada",0.01025
"AMER","United Airline",0.50284
"AMER","United Airline",0.41959
"AMER","KLM",0.54721
"AMER","British Airways",0.29996
"AMER","Delta Airlines",0.01183
"AMER","Air France",0.02079
"AMER","Air France",0.02079
"AMER","Avis",0.14054
"AMER","Hertz",0.00608
"AMER","Enterprise",0.022
"AMER","Alamo",0.7933
"AMER","Budget",0.27203
"AMER","Uber",1.63684
"AMER","Uber",3.37654
"AMER","Lyft",0.19562
"AMER","CityCab",0.05178
"AMER","SoloTaxi",2.63858
"AMER","SoloTaxi",5.95943
"AMER","SoloTaxi",0.14469
"AMER","Marriott",0.00124
"AMER","Marriott",0.00124
"AMER","Hyatt",12.94554
"AMER","IHG",2.06696
"AMER","Hilton",0.38414
"AMER","Laine Ltd",11.10394
"AMER","Atlas Inc",0.30176
"AMER","Atlas Inc",22.64279
"AMER","Atlas Inc",0.5393
"AMER","Atlas Inc",0.54973
"AMER","Atlas Inc",0.7054
"AMER","Atlas Inc",260.166
"AMER","*Greenstone Products LTD",0.43485
"AMER","*Greenstone Products LTD",0.0302
"AMER","*Greenstone Products LTD",0.31271
"AMER","*Greenstone Products LTD",0.42554
"AMER","*Greenstone Products LTD",1.1887
"AMER","*Greenstone Products LTD",0.85219
"AMER","*Greenstone Products LTD",0.56135
"AMER","*Greenstone Products LTD",1.20814
"AMER","*Greenstone Products LTD",0.91072
"AMER","*Greenstone Products LTD",0.66161
"AMER","*Greenstone Products LTD",1.31816
"AMER","*Greenstone Products LTD",0.94888
"AMER","*Greenstone Products LTD",0.72604
"AMER","*Greenstone Products LTD",0.68154
"AMER","*Greenstone Products LTD",0.64788
"AMER","*Greenstone Products LTD",0.06919
"AMER","*Greenstone Products LTD",0.55274
"AMER","*Greenstone Products LTD",0.63448
"AMER","*Greenstone Products LTD",0.6429
"AMER","*Greenstone Products LTD",0.2706
"AMER","*Greenstone Products LTD",0.29863
"AMER","*Greenstone Products LTD",0.95282
"AMER","*Greenstone Products LTD",0.64336
"AMER","*Greenstone Products LTD",0.16879
"AMER","*Greenstone Products LTD",0.87242
"AMER","*Greenstone Products LTD",0.8954
"AMER","*Greenstone Products LTD",0.71491
"AMER","*Greenstone Products LTD",1.10743
"AMER","*Greenstone Products LTD",0.81017
"AMER","*Greenstone Products LTD",1.03764
"AMER","*Greenstone Products LTD",0.28993
"AMER","*Greenstone Products LTD",1.25243
"AMER","*Greenstone Products LTD",1.05286
"AMER","*Greenstone Products LTD",1.22459
"AMER","*Greenstone Products LTD",0.7033
"AMER","*Greenstone Products LTD",1.1646
"AMER","*Greenstone Products LTD",1.10917
"AMER","*Greenstone Products LTD",0.5308
"AMER","*Greenstone Products LTD",0.7081
"AMER","*Greenstone Products LTD",0.60721
"AMER","*Greenstone Products LTD",1.186
"AMER","*Greenstone Products LTD",0.23599
"AMER","*Greenstone Products LTD",0.36817
"AMER","*Greenstone Products LTD",0.27346
"AMER","*Greenstone Products LTD",0.46811
"AMER","*Greenstone Products LTD",0.09671
"AMER","*Greenstone Products LTD",0.08734
"AMER","*Greenstone Products LTD",0.68123
"AMER","*Greenstone Products LTD",0.22043
"AMER","*Greenstone Products LTD",1.00069
"AMER","*Greenstone Products LTD",0.90687
"AMER","*Greenstone Products LTD",1.29372
"AMER","*Greenstone Products LTD",0.48408
"AMER","*Greenstone Products LTD",1.98682
"AMER","*Greenstone Products LTD",1.13984
"AMER","*Greenstone Products LTD",0.90945
"AMER","*Greenstone Products LTD",0.06527
"AMER","*Greenstone Products LTD",0.00512
"AMER","*Greenstone Products LTD",0.72563
"AMER","*Greenstone Products LTD",0.56144
"AMER","*Greenstone Products LTD",1.12005
"AMER","*Greenstone Products LTD",0.32085
"AMER","*Greenstone Products LTD",0.29193
"AMER","*Greenstone Products LTD",0.42215
"AMER","*Greenstone Products LTD",0.89867
"AMER","*Greenstone Products LTD",1.23012
"AMER","*Greenstone Products LTD",1.13409
"AMER","*Greenstone Products LTD",1.08898
"AMER","*Greenstone Products LTD",0.32904
"AMER","*Greenstone Products LTD",0.49463
"AMER","*Greenstone Products LTD",0.4147
"AMER","*Greenstone Products LTD",0.89197
"AMER","*Greenstone Products LTD",0.65398
"AMER","*Greenstone Products LTD",0.03979
"AMER","*Greenstone Products LTD",1.29303
"AMER","*Greenstone Products LTD",0.74064
"AMER","*Greenstone Products LTD",0.35516
"AMER","*Greenstone Products LTD",1.24302
"AMER","*Greenstone Products LTD",0.21683
"AMER","*Greenstone Products LTD",0.89557
"AMER","*Greenstone Products LTD",0.16162
"AMER","*Greenstone Products LTD",1.18384
"AMER","*Greenstone Products LTD",0.91948
"AMER","*Greenstone Products LTD",0.84036
"AMER","*Greenstone Products LTD",0.24967
"AMER","*Greenstone Products LTD",1.0644
"AMER","*Greenstone Products LTD",0.96152
"AMER","*Greenstone Products LTD",0.85598
"AMER","*Greenstone Products LTD",0.71004
"AMER","*Greenstone Products LTD",0.03505
"AMER","*Greenstone Products LTD",0.70061
"AMER","*Greenstone Products LTD",1.12452
"AMER","*Greenstone Products LTD",0.28158
"AMER","*Greenstone Products LTD",0.66232
"AMER","*Greenstone Products LTD",0.21276
"AMER","*Greenstone Products LTD",1.10754
"AMER","*Greenstone Products LTD",1.10863
"AMER","*Greenstone Products LTD",1.0307
"AMER","*Greenstone Products LTD",3.36219
"AMER","*Greenstone Products LTD",1.36596
"AMER","*Greenstone Products LTD",1.05495
"AMER","*Greenstone Products LTD",0.00507
"AMER","Air Canada",0.01025
"AMER","Air France",0.02079
"AMER","Marriott",0.00124
"AMER","Advanced Communications",0.22521
"AMER","Air Canada",0.01025
"AMER","Air France",0.02079
"AMER","Alamo",0.7933
"AMER","Allied Technologies",0.05421
"AMER","Associated Supply Co.",0.00549
"AMER","Atlas Inc",0.30176
"AMER","Avis",0.14054
"AMER","Big Sky & Sons",0.00834
"AMER","British Airways",0.29996
"AMER","Budget",0.27203
"AMER","CityCab",0.05178
"AMER","Constellation Energy",0.00475
"AMER","Delta Airlines",0.01183
"AMER","Employnet",0.00396
"AMER","Enterprise",0.022
"AMER","Five Winds Project, LLC",0.04401
"AMER","General Utilities",0.00142
"AMER","Glasgow Catering",0.02453
"AMER","Glasgow Water",0.50857
"AMER","Good Freight Co",0.40956
"AMER","Green Fields Media",0.01965
"AMER","Laine Ltd",11.10394
"AMER","Lyft",0.19562
"AMER","Marriott",0.00124
"AMER","Meridian Partners",0.14764
"AMER","Gusto Sound and Audio",0.00482
"AMER","Harmon Consulting",0.00407
"AMER","Harmon Consulting",0.02039
"AMER","Haven Enterprises",0.0428
"AMER","Meridian Partners",1.16264
"AMER","Momentum Design",1.34713
"AMER","Office Print & Ship Services",131.41317
"AMER","Pinnacle Partners",147.24256
"AMER","RCE, Inc.",14.32035
"AMER","Red Studio Designs",15.71042
"AMER","Roseburg Products Co",17.1005
"AMER","salesforce.com",210.56011
"AMER","SoloTaxi",2.63858
"AMER","Southern Solutions",2.82307
"AMER","Tech Labs",3.00756
"AMER","Test Supplier",3.19205
"AMER","Uber",3.37654
"AMER","UlyssesNet",0.47807
"AMER","United Airline",0.50284
"AMER","Universal Containers",0.52761
"AMER","Universal Services",31.00125
"AMER","Valley Supply Inc.",32.39133
"AMER","Vand Enterprises, Inc.",0.79366
"AMER","Momentum Design",0.04801
"AMER","Office Print & Ship Services",0.01783
"AMER","Pinnacle Partners",0.01105
"AMER","RCE, Inc.",0.00525
"AMER","Xcel Energy",0.97815
"AMER","Red Studio Designs",0.00213
"AMER","Roseburg Products Co",0.33137
"AMER","salesforce.com",0.03981
"AMER","SoloTaxi",0.14469
"AMER","Southern Solutions",2.20369
"AMER","Tech Labs",0.84125
"AMER","Test Supplier",0.25837
"AMER","Uber",1.63684
"AMER","UlyssesNet",0.05426
"AMER","United Airline",0.41959
"AMER","Universal Containers",1.80967
"AMER","Universal Services",0.42467
"AMER","Valley Supply Inc.",0.00789
"AMER","Hertz",0.00608
"AMER","Hilton",0.38414
"AMER","Hyatt",12.94554
"AMER","IHG",2.06696
"AMER","JetBlue",0.70906
"AMER","KLM",0.54721
"AMER","Meridian Partners",33.7814
"AMER","Momentum Design",35.17148
"AMER","RCE, Inc.",39.34171
"AMER","Red Studio Designs",40.73178
"AMER","Roseburg Products Co",42.12186
"AMER","salesforce.com",43.51193
"AMER","SoloTaxi",5.95943
"AMER","Southern Solutions",0.07954
"AMER","Office Print & Ship Services",36.56155
"AMER","Pinnacle Partners",37.95163
"AMER","ABC Woodworks",38.72395
"AMER","*Greenstone Products LTD",0.09527
,"*Greenstone Products LTD",1.23494
,"*Greenstone Products LTD",0.6429
,"*Greenstone Products LTD",1.04938
,"*Greenstone Products LTD",0.11916
,"*Greenstone Products LTD",1.02184
,"*Greenstone Products LTD",0.70012
,"*Greenstone Products LTD",0.63276
,"*Greenstone Products LTD",0.67409
,"*Greenstone Products LTD",0.8451
,"*Greenstone Products LTD",0.90759
,"*Greenstone Products LTD",0.84013
,"*Greenstone Products LTD",0.66713
,"*Greenstone Products LTD",0.23794
,"*Greenstone Products LTD",1.30234
,"*Greenstone Products LTD",0.48539
,"*Greenstone Products LTD",0.65173
,"*Greenstone Products LTD",0.16344
,"*Greenstone Products LTD",0.03505
,"*Greenstone Products LTD",1.03091
,"*Greenstone Products LTD",0.21276
,"*Greenstone Products LTD",0.47725
,"*Greenstone Products LTD",1.10754
,"*Greenstone Products LTD",0.77493
,"*Greenstone Products LTD",0.66232
,"*Greenstone Products LTD",0.32904
,"*Greenstone Products LTD",1.1111
,"*Greenstone Products LTD",0.29863
,"*Greenstone Products LTD",0.85661
,"*Greenstone Products LTD",0.17831
,"*Greenstone Products LTD",1.17223
,"*Greenstone Products LTD",0.02875
,"*Greenstone Products LTD",1.27044
,"*Greenstone Products LTD",1.23393
,"*Greenstone Products LTD",0.06527
,"*Greenstone Products LTD",0.7033
