"Industry","recordId","Month","Company","Red_Flags","Portfolio","Region","ESG_Score","Rating"
"Public Sector","0eM8b000000TNE8EAO","2021-06","Corecords","Carbon Emissions","Portfolio B","North America",50,6
"Manufacturing","0eM8b000000TNE8EAO","2022-04","Purpleworth","Health &Safety","Portfolio B","Asia",40,6
"Financial Services","0eM8b000000TNE8EAO","2021-10","North Starporation","DE&I","Portfolio B","LATAM",1,2
"Media and Technology","0eM8b000000TNE8EAO","2022-03","Ravenman","DE&I","Portfolio B","LATAM",40,8
"Financial Services","0eM8b000000TNE8EAO","2022-04","Acme","Carbon Emissions","Portfolio C","Asia",85,7
"Media and Technology","0eM8b000000TNE8EAO","2022-04","Sunshade","Procurement","Portfolio C","South American",43,1
"Media and Technology","0eM8b000000TNE8EAO","2022-03","Ravenman","Human Rights","Portfolio B","South American",46,4
"Financial Services","0eM8b000000TNE8EAO","2021-12","North Starporation","Data Protection","Portfolio A","LATAM",55,2
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-01","Jetbit","Health &Safety","Portfolio B","North America",57,4
"Financial Services","0eM8b000000TNE8EAO","2021-06","Apexrover","Procurement","Portfolio B","Europe",72,2
"Public Sector","0eM8b000000TNE8EAO","2022-01","Loki Industries","Code of Conduct","Portfolio B","Asia",42,6
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-01","Jetbit","Procurement","Portfolio C","South American",57,6
"Manufacturing","0eM8b000000TNE8EAO","2022-04","Purpleworth","Quality & Safety","Portfolio A","North America",40,5
"Manufacturing","0eM8b000000TNE8EAO","2021-05","Rhino Foods","Health &Safety","Portfolio A","LATAM",74,6
"Public Sector","0eM8b000000TNE8EAO","2021-09","Loki Industries","Human Rights","Portfolio C","LATAM",77,2
"Manufacturing","0eM8b000000TNE8EAO","2021-07","Purpleworth","Health &Safety","Portfolio C","South American",40,8
"Manufacturing","0eM8b000000TNE8EAO","2022-01","Purpleworth","Quality & Safety","Portfolio B","Europe",40,3
"Media and Technology","0eM8b000000TNE8EAO","2022-05","Surgesystems","Procurement","Portfolio A","North America",77,1
"Manufacturing","0eM8b000000TNE8EAO","2021-10","Tucanterprises","Data Protection","Portfolio A","LATAM",73,6
"Public Sector","0eM8b000000TNE8EAO","2021-09","Corecords","DE&I","Portfolio B","LATAM",50,2
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-12","Monarch Motors","Data Protection","Portfolio B","LATAM",80,6
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-11","Jetbit","DE&I","Portfolio C","North America",57,7
"Manufacturing","0eM8b000000TNE8EAO","2021-11","Rhino Foods","Carbon Emissions","Portfolio B","North America",92,2
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-06","Jetbit","DE&I","Portfolio A","Europe",57,2
"Public Sector","0eM8b000000TNE8EAO","2021-10","Corecords","DE&I","Portfolio A","South American",50,4
"Manufacturing","0eM8b000000TNE8EAO","2021-08","Purpleworth","Code of Conduct","Portfolio A","North America",40,7
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-07","Bridge Aviation","Code of Conduct","Portfolio B","South American",35,6
"Media and Technology","0eM8b000000TNE8EAO","2021-08","Sunshade","Carbon Emissions","Portfolio C","Asia",43,1
"Manufacturing","0eM8b000000TNE8EAO","2022-04","Rhino Foods","Procurement","Portfolio A","Europe",28,5
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-11","Jetbit","Code of Conduct","Portfolio C","LATAM",57,2
"Media and Technology","0eM8b000000TNE8EAO","2021-08","Surgesystems","Quality & Safety","Portfolio A","Europe",77,2
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-02","Jetbit","Code of Conduct","Portfolio B","Europe",57,2
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-06","Pumpkinavigation","Health &Safety","Portfolio A","LATAM",93,1
"Public Sector","0eM8b000000TNE8EAO","2021-10","Corecords","Data Protection","Portfolio A","South American",50,5
"Public Sector","0eM8b000000TNE8EAO","2022-03","Corecords","Health &Safety","Portfolio B","Europe",50,1
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-08","Jetbit","Carbon Emissions","Portfolio B","LATAM",57,5
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-01","Bridge Aviation","Quality & Safety","Portfolio C","North America",35,6
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-04","Monarch Motors","Health &Safety","Portfolio A","Asia",80,6
"Financial Services","0eM8b000000TNE8EAO","2021-11","Moondustries","Quality & Safety","Portfolio A","Asia",28,7
"Financial Services","0eM8b000000TNE8EAO","2021-09","North Starporation","DE&I","Portfolio A","Europe",86,5
"Financial Services","0eM8b000000TNE8EAO","2021-08","Acme","Health &Safety","Portfolio A","Europe",85,3
"Manufacturing","0eM8b000000TNE8EAO","2022-04","Rhino Foods","Carbon Emissions","Portfolio A","LATAM",70,1
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-08","Pumpkinavigation","Code of Conduct","Portfolio A","South American",43,3
"Financial Services","0eM8b000000TNE8EAO","2021-08","Apexrover","DE&I","Portfolio B","LATAM",72,8
"Financial Services","0eM8b000000TNE8EAO","2021-12","Acme","Data Protection","Portfolio B","LATAM",85,7
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-05","Jetbit","Procurement","Portfolio A","South American",57,1
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-08","Jetbit","Data Protection","Portfolio C","LATAM",57,5
"Manufacturing","0eM8b000000TNE8EAO","2022-02","Purpleworth","Carbon Emissions","Portfolio C","North America",40,3
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-10","Monarch Motors","DE&I","Portfolio C","LATAM",80,8
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-03","Monarch Motors","Carbon Emissions","Portfolio C","Europe",80,1
"Public Sector","0eM8b000000TNE8EAO","2022-02","Icestone","Human Rights","Portfolio C","Asia",64,5
"Public Sector","0eM8b000000TNE8EAO","2021-12","Corecords","Carbon Emissions","Portfolio B","Europe",50,1
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-09","Pumpkinavigation","Procurement","Portfolio C","North America",94,4
"Public Sector","0eM8b000000TNE8EAO","2022-03","Corecords","Quality & Safety","Portfolio A","North America",50,8
"Financial Services","0eM8b000000TNE8EAO","2022-04","Apexrover","Human Rights","Portfolio C","Europe",72,8
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-03","Jetbit","Health &Safety","Portfolio A","Asia",57,6
"Financial Services","0eM8b000000TNE8EAO","2021-06","North Starporation","Data Protection","Portfolio C","North America",47,5
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-01","Elviations","Code of Conduct","Portfolio C","LATAM",86,8
"Financial Services","0eM8b000000TNE8EAO","2022-04","Acme","Data Protection","Portfolio A","North America",85,8
"Media and Technology","0eM8b000000TNE8EAO","2021-05","Surgesystems","Procurement","Portfolio B","Europe",77,1
"Financial Services","0eM8b000000TNE8EAO","2022-05","Acme","Quality & Safety","Portfolio B","Europe",85,5
"Manufacturing","0eM8b000000TNE8EAO","2021-05","Rhino Foods","Data Protection","Portfolio B","LATAM",15,8
"Public Sector","0eM8b000000TNE8EAO","2021-10","Corecords","Carbon Emissions","Portfolio C","North America",50,1
"Public Sector","0eM8b000000TNE8EAO","2021-10","Loki Industries","Code of Conduct","Portfolio A","LATAM",60,4
"Manufacturing","0eM8b000000TNE8EAO","2022-02","Rhino Foods","Procurement","Portfolio C","North America",41,7
"Manufacturing","0eM8b000000TNE8EAO","2021-11","Tucanterprises","Human Rights","Portfolio A","Asia",8,3
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-04","Jetbit","Health &Safety","Portfolio A","South American",57,4
"Public Sector","0eM8b000000TNE8EAO","2022-03","Corecords","Carbon Emissions","Portfolio B","Europe",50,1
"Manufacturing","0eM8b000000TNE8EAO","2021-07","Rhino Foods","Code of Conduct","Portfolio A","Asia",63,4
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-08","Bridge Aviation","Procurement","Portfolio C","LATAM",35,7
"Manufacturing","0eM8b000000TNE8EAO","2021-11","Tucanterprises","Code of Conduct","Portfolio A","Europe",89,6
"Public Sector","0eM8b000000TNE8EAO","2021-12","Icestone","DE&I","Portfolio C","North America",64,6
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-02","Pumpkinavigation","Code of Conduct","Portfolio A","LATAM",40,2
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-09","Pumpkinavigation","Human Rights","Portfolio A","Asia",36,1
"Financial Services","0eM8b000000TNE8EAO","2021-12","Apexrover","Carbon Emissions","Portfolio C","South American",72,5
"Public Sector","0eM8b000000TNE8EAO","2021-11","Corecords","Procurement","Portfolio C","Asia",50,3
"Public Sector","0eM8b000000TNE8EAO","2021-07","Icestone","Human Rights","Portfolio B","Asia",64,1
"Financial Services","0eM8b000000TNE8EAO","2021-09","Moondustries","Code of Conduct","Portfolio C","LATAM",3,3
"Public Sector","0eM8b000000TNE8EAO","2021-10","Loki Industries","Procurement","Portfolio A","North America",32,7
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-09","Buzzylectrics","Carbon Emissions","Portfolio B","Europe",7,7
"Public Sector","0eM8b000000TNE8EAO","2021-08","Icestone","Code of Conduct","Portfolio B","North America",64,1
"Manufacturing","0eM8b000000TNE8EAO","2022-04","Tucanterprises","Human Rights","Portfolio A","Europe",33,4
"Public Sector","0eM8b000000TNE8EAO","2021-10","Corecords","Code of Conduct","Portfolio A","LATAM",50,1
"Financial Services","0eM8b000000TNE8EAO","2021-05","North Starporation","Health &Safety","Portfolio C","Europe",25,8
"Financial Services","0eM8b000000TNE8EAO","2021-06","North Starporation","Procurement","Portfolio C","LATAM",50,6
"Manufacturing","0eM8b000000TNE8EAO","2021-06","Rhino Foods","DE&I","Portfolio B","LATAM",43,7
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-08","Pumpkinavigation","Human Rights","Portfolio A","Asia",56,8
"Public Sector","0eM8b000000TNE8EAO","2021-06","Icestone","Health &Safety","Portfolio A","LATAM",64,5
"Public Sector","0eM8b000000TNE8EAO","2021-11","Corecords","Health &Safety","Portfolio A","Europe",50,2
"Manufacturing","0eM8b000000TNE8EAO","2022-02","Purpleworth","Human Rights","Portfolio B","Asia",40,2
"Manufacturing","0eM8b000000TNE8EAO","2021-07","Purpleworth","Health &Safety","Portfolio B","LATAM",40,4
"Public Sector","0eM8b000000TNE8EAO","2021-12","Icestone","Procurement","Portfolio A","Europe",64,8
"Media and Technology","0eM8b000000TNE8EAO","2021-07","Surgesystems","Quality & Safety","Portfolio A","Asia",77,8
"Public Sector","0eM8b000000TNE8EAO","2021-08","Loki Industries","Quality & Safety","Portfolio B","Asia",26,4
"Manufacturing","0eM8b000000TNE8EAO","2021-09","Rhino Foods","DE&I","Portfolio C","LATAM",96,8
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-02","Monarch Motors","Data Protection","Portfolio A","South American",80,4
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-05","Jetbit","Quality & Safety","Portfolio C","LATAM",57,2
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-06","Buzzylectrics","Human Rights","Portfolio C","LATAM",43,6
"Manufacturing","0eM8b000000TNE8EAO","2021-12","Purpleworth","Human Rights","Portfolio A","South American",40,1
"Media and Technology","0eM8b000000TNE8EAO","2021-09","Sunshade","Procurement","Portfolio B","Europe",43,3
"Public Sector","0eM8b000000TNE8EAO","2021-11","Corecords","DE&I","Portfolio B","LATAM",50,3
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-10","Monarch Motors","Procurement","Portfolio C","Europe",80,3
"Public Sector","0eM8b000000TNE8EAO","2021-07","Loki Industries","Quality & Safety","Portfolio C","Europe",81,6
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-08","Buzzylectrics","Code of Conduct","Portfolio A","Europe",73,1
"Financial Services","0eM8b000000TNE8EAO","2021-08","North Starporation","Human Rights","Portfolio B","Asia",86,2
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-06","Elviations","Carbon Emissions","Portfolio B","Europe",21,7
"Manufacturing","0eM8b000000TNE8EAO","2022-04","Tucanterprises","Code of Conduct","Portfolio B","North America",61,1
"Media and Technology","0eM8b000000TNE8EAO","2021-09","Ravenman","Data Protection","Portfolio A","Europe",16,6
"Manufacturing","0eM8b000000TNE8EAO","2022-04","Rhino Foods","Carbon Emissions","Portfolio B","North America",10,5
"Manufacturing","0eM8b000000TNE8EAO","2021-06","Purpleworth","Human Rights","Portfolio B","South American",40,5
"Manufacturing","0eM8b000000TNE8EAO","2021-08","Purpleworth","Human Rights","Portfolio C","North America",40,5
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-01","Pumpkinavigation","DE&I","Portfolio C","Europe",42,2
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-10","Bridge Aviation","DE&I","Portfolio C","North America",35,3
"Financial Services","0eM8b000000TNE8EAO","2021-11","Moondustries","Quality & Safety","Portfolio B","LATAM",42,7
"Financial Services","0eM8b000000TNE8EAO","2022-02","Moondustries","Health &Safety","Portfolio B","South American",72,8
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-08","Buzzylectrics","Data Protection","Portfolio B","North America",28,8
"Public Sector","0eM8b000000TNE8EAO","2022-01","Corecords","DE&I","Portfolio A","Europe",50,8
"Media and Technology","0eM8b000000TNE8EAO","2021-05","Sunshade","Data Protection","Portfolio B","LATAM",43,6
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-08","Pumpkinavigation","Carbon Emissions","Portfolio B","North America",98,1
"Manufacturing","0eM8b000000TNE8EAO","2021-10","Purpleworth","DE&I","Portfolio B","Europe",40,8
"Media and Technology","0eM8b000000TNE8EAO","2021-07","Ravenman","Code of Conduct","Portfolio C","North America",66,8
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-03","Jetbit","Human Rights","Portfolio A","Europe",57,8
"Manufacturing","0eM8b000000TNE8EAO","2021-07","Tucanterprises","Carbon Emissions","Portfolio B","Asia",81,2
"Financial Services","0eM8b000000TNE8EAO","2021-08","North Starporation","Quality & Safety","Portfolio B","North America",32,1
"Media and Technology","0eM8b000000TNE8EAO","2022-02","Sunshade","Code of Conduct","Portfolio B","LATAM",43,6
"Public Sector","0eM8b000000TNE8EAO","2021-10","Icestone","Quality & Safety","Portfolio A","North America",64,3
"Media and Technology","0eM8b000000TNE8EAO","2021-06","Ravenman","Carbon Emissions","Portfolio A","North America",35,1
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-02","Pumpkinavigation","Health &Safety","Portfolio B","North America",70,6
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-11","Bridge Aviation","DE&I","Portfolio C","South American",35,1
"Financial Services","0eM8b000000TNE8EAO","2021-10","Apexrover","Human Rights","Portfolio C","LATAM",72,8
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-11","Bridge Aviation","Data Protection","Portfolio A","South American",35,6
"Manufacturing","0eM8b000000TNE8EAO","2021-06","Tucanterprises","Code of Conduct","Portfolio C","LATAM",80,4
"Media and Technology","0eM8b000000TNE8EAO","2021-09","Surgesystems","Health &Safety","Portfolio B","Asia",77,2
"Media and Technology","0eM8b000000TNE8EAO","2022-01","Ravenman","Quality & Safety","Portfolio A","LATAM",37,5
"Public Sector","0eM8b000000TNE8EAO","2022-02","Corecords","Code of Conduct","Portfolio B","LATAM",50,2
"Manufacturing","0eM8b000000TNE8EAO","2021-09","Tucanterprises","Procurement","Portfolio C","Europe",42,1
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-02","Monarch Motors","Quality & Safety","Portfolio B","South American",80,1
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-01","Elviations","Quality & Safety","Portfolio C","LATAM",58,3
