"GHG_Scope_3_Category","LastProcessedDate","Supplier","Date","Supplier_Expenses","Emission_Value","Ratio","Scope_3_Emissions","Vehicle_Emissions","Stationary_Sources_tCO2e","Other_Emissions"
"Downstream ","2023-03-24","Big Sky & Sons","2020-08-14",17058,234,10,2207,120,278,1234
"Purchase Goods and Services","2023-03-24","Uber","2020-10-01",18887,800,14,2207,412,322,1234
"Investments","2023-03-24","*Greenstone Products LTD","2021-06-02",32826,234,10,3112,112,278,221
"Upstream Transportation and Distribution","2023-03-24","Vand Enterprises, Inc.","2022-03-24",26557,750,9,3421,234,153,355
"Purchase Goods and Services","2023-03-24","Harmon Consulting","2023-01-17",27240,750,20,1234,120,123,345
"Upstream Leased Assest","2023-03-24","Office Print & Ship Services","2019-06-04",23855,123,20,2312,234,153,345
"Capital Goods","2023-03-24","Gusto Sound and Audio","2020-11-16",45209,2200,15,3421,120,278,355
"Investments","2023-03-24","Enterprise","2021-02-04",22056,112,9,3112,112,322,1234
"Upstream Transportation and Distribution","2023-03-24","Southern Solutions","2022-06-29",18219,234,13,1234,412,123,221
"Business Travel","2023-03-24","General Utilities","2019-07-09",49291,112,6,2312,112,322,221
"Downstream ","2023-03-24","Five Winds Project, LLC","2023-05-25",42884,234,19,2207,234,153,345
"Business Travel","2023-03-24","Lyft","2023-07-31",23860,112,17,1234,412,123,1234
"Upstream Transportation and Distribution","2023-03-24","Good Freight Co","2020-08-14",32506,123,9,2207,120,278,355
"Downstream ","2023-03-24","Meridian Partners","2022-08-16",13849,123,1,2312,112,322,1234
"Upstream Leased Assest","2023-03-24","Hertz","2021-11-19",32774,234,11,3112,120,123,355
"Investments","2023-03-24","Advanced Communications","2019-12-07",38546,112,3,3421,234,153,221
"Purchase Goods and Services","2023-03-24","Valley Supply Inc.","2019-09-13",47726,800,18,3421,412,278,345
"Capital Goods","2023-03-24","Universal Containers","2021-11-26",41637,2200,12,2312,112,278,345
"Upstream Leased Assest","2023-03-24","Roseburg Products Co","2020-02-02",13510,750,2,3112,234,322,355
"Purchase Goods and Services","2023-03-24","Employnet","2023-04-14",20961,800,14,2207,412,123,1234
"Investments","2023-03-24","Glasgow Water","2022-07-01",40590,123,4,1234,120,153,221
"Capital Goods","2023-03-24","Pinnacle Partners","2020-02-12",30821,2200,9,3112,112,322,345
"Business Travel","2023-03-24","Air Canada","2021-05-24",35497,112,20,2207,412,123,1234
"Downstream ","2023-03-24","Associated Supply Co.","2022-02-12",16769,234,3,3421,120,153,221
"Upstream Transportation and Distribution","2023-03-24","UlyssesNet","2019-07-24",44201,123,20,2312,234,278,355
"Purchase Goods and Services","2023-03-24","Laine Ltd","2023-09-22",31640,800,19,1234,120,278,221
"Upstream Transportation and Distribution","2023-03-24","KLM","2022-04-06",33291,112,6,3421,412,153,355
"Investments","2023-03-24","Air France","2020-03-14",41182,123,17,2312,112,123,1234
"Capital Goods","2023-03-24","Budget","2023-01-21",20163,2200,19,1234,234,322,345
"Business Travel","2023-03-24","British Airways","2021-08-16",41151,234,18,2207,412,153,221
"Upstream Leased Assest","2023-03-24","JetBlue","2019-01-11",23260,234,8,3112,112,123,1234
"Downstream ","2023-03-24","Constellation Energy","2021-10-25",25775,112,20,2312,234,278,345
"Capital Goods","2023-03-24","Green Fields Media","2022-10-20",41627,2200,18,3112,120,322,355
"Downstream ","2023-03-24","Universal Services","2023-01-29",30010,123,18,3421,234,278,221
"Upstream Transportation and Distribution","2023-03-24","Alamo","2020-01-30",46586,234,15,1234,120,322,1234
"Upstream Leased Assest","2023-03-24","ABC Woodworks","2019-03-08",31402,750,11,2207,412,153,345
"Business Travel","2023-03-24","Test Supplier","2022-08-08",32955,123,5,1234,112,123,355
"Purchase Goods and Services","2023-03-24","salesforce.com","2019-02-22",13920,800,7,2312,234,278,355
"Investments","2023-03-24","Momentum Design","2023-05-31",11668,234,6,3421,412,153,345
"Capital Goods","2023-03-24","Hyatt","2020-07-04",34507,2200,14,2207,120,322,221
"Business Travel","2023-03-24","Haven Enterprises","2021-05-14",14103,112,7,3112,112,123,1234
"Purchase Goods and Services","2023-03-24","Delta Airlines","2020-12-03",47180,800,19,2207,120,153,221
"Upstream Leased Assest","2023-03-24","SoloTaxi","2019-10-15",28681,112,8,3112,412,278,1234
"Upstream Transportation and Distribution","2023-03-24","United Airline","2021-11-25",16908,123,9,1234,112,322,345
"Investments","2023-03-24","Xcel Energy","2023-12-25",19035,234,19,2312,234,123,355
"Downstream ","2023-03-24","Marriott","2022-02-11",23886,112,16,3421,112,278,221
"Purchase Goods and Services","2023-03-24","Red Studio Designs","2019-11-21",14868,800,17,3421,234,153,345
"Upstream Leased Assest","2023-03-24","CityCab","2023-08-14",40375,123,17,3112,412,123,355
"Investments","2023-03-24","Avis","2021-05-05",45384,234,18,1234,120,322,1234
"Business Travel","2023-03-24","Tech Labs","2020-09-09",37904,112,4,2312,120,322,1234
"Capital Goods","2023-03-24","Hilton","2022-05-27",48913,2200,16,2207,112,123,345
"Upstream Transportation and Distribution","2023-03-24","IHG","2021-11-06",12704,123,10,2312,234,153,221
"Downstream ","2023-03-24","Glasgow Catering","2020-10-15",17730,750,3,3112,412,278,355
"Capital Goods","2023-03-24","United Airline","2023-12-02",45525,2200,18,1234,112,123,345
"Downstream ","2023-03-24","Laine Ltd","2019-04-04",19147,112,1,2207,412,278,1234
"Upstream Transportation and Distribution","2023-03-24","Big Sky & Sons","2022-05-23",16399,123,19,3421,234,322,221
"Purchase Goods and Services","2023-03-24","Delta Airlines","2023-01-29",25072,800,7,3112,120,153,355
"Investments","2023-03-24","Tech Labs","2022-07-28",36942,234,7,2207,234,278,221
"Upstream Leased Assest","2023-03-24","Harmon Consulting","2019-10-25",34287,234,7,3421,120,322,355
"Business Travel","2023-03-24","CityCab","2020-12-22",35147,112,11,2312,412,153,345
"Investments","2023-03-24","Associated Supply Co.","2021-07-22",48167,123,13,1234,112,123,1234
"Capital Goods","2023-03-24","Allied Technologies","2020-08-21",20889,2200,5,1234,112,153,221
"Business Travel","2023-03-24","Air France","2023-08-21",45576,234,6,3112,120,123,345
"Purchase Goods and Services","2023-03-24","Glasgow Catering","2021-03-18",19930,750,18,2312,234,278,355
"Downstream ","2023-03-24","RCE, Inc.","2022-05-23",44525,750,14,2207,412,322,1234
"Upstream Leased Assest","2023-03-24","Uber","2019-11-06",20768,112,12,3421,234,278,345
"Upstream Transportation and Distribution","2023-03-24","Universal Services","2021-06-09",40098,234,14,2312,112,322,355
"Purchase Goods and Services","2023-03-24","JetBlue","2019-06-18",46387,800,1,2207,120,123,1234
"Capital Goods","2023-03-24","General Utilities","2022-04-22",17087,2200,16,3421,412,153,221
"Upstream Leased Assest","2023-03-24","IHG","2023-05-14",46650,123,5,3112,412,322,1234
"Upstream Transportation and Distribution","2023-03-24","Xcel Energy","2020-07-15",46033,123,14,1234,112,153,355
"Downstream ","2023-03-24","Pinnacle Partners","2020-09-26",12074,234,16,2312,120,123,345
"Investments","2023-03-24","Alamo","2023-07-05",31790,112,1,1234,234,278,221
"Business Travel","2023-03-24","British Airways","2019-10-24",48357,123,8,3421,112,278,345
"Upstream Transportation and Distribution","2023-03-24","Enterprise","2021-03-26",15219,234,20,3112,234,153,221
"Capital Goods","2023-03-24","Air Canada","2022-08-19",37108,2200,15,2207,120,123,355
"Investments","2023-03-24","Five Winds Project, LLC","2023-12-21",29716,112,7,1234,412,322,1234
"Business Travel","2023-03-24","Constellation Energy","2020-03-20",31174,112,17,3112,234,153,1234
"Downstream ","2023-03-24","Haven Enterprises","2019-02-04",29342,750,4,3421,120,123,355
"Purchase Goods and Services","2023-03-24","Green Fields Media","2022-08-30",20689,800,13,2312,112,322,345
"Upstream Leased Assest","2023-03-24","Valley Supply Inc.","2021-01-09",45158,123,16,2207,412,278,221
"Upstream Leased Assest","2023-03-24","Office Print & Ship Services","2023-07-01",35141,112,13,2312,112,153,1234
"Business Travel","2023-03-24","Good Freight Co","2021-07-19",33349,123,2,1234,120,123,221
"Downstream ","2023-03-24","KLM","2020-04-19",20804,234,7,2207,412,278,355
"Investments","2023-03-24","Vand Enterprises, Inc.","2022-08-20",19337,123,7,3421,234,322,345
"Upstream Transportation and Distribution","2023-03-24","Marriott","2019-04-17",38467,112,19,3112,120,322,355
"Capital Goods","2023-03-24","Test Supplier","2023-08-17",35361,2200,13,2312,412,153,345
"Purchase Goods and Services","2023-03-24","Employnet","2019-11-03",37776,800,3,2207,234,278,221
"Purchase Goods and Services","2023-03-24","Hyatt","2022-06-13",21182,800,12,3421,112,123,1234
"Upstream Leased Assest","2023-03-24","Advanced Communications","2021-04-29",32971,234,16,3112,120,278,221
"Upstream Transportation and Distribution","2023-03-24","Red Studio Designs","2020-02-07",11173,234,12,1234,234,322,355
"Capital Goods","2023-03-24","Hilton","2021-03-06",27199,2200,17,1234,112,153,345
"Business Travel","2023-03-24","Southern Solutions","2020-08-06",29375,123,14,3112,412,123,1234
"Downstream ","2023-03-24","ABC Woodworks","2019-10-20",16081,112,9,2312,112,322,355
"Investments","2023-03-24","Universal Containers","2022-01-06",20496,234,6,3421,120,278,1234
"Investments","2023-03-24","Lyft","2023-12-24",46834,112,12,2207,412,153,221
"Purchase Goods and Services","2023-03-24","SoloTaxi","2019-02-27",10950,800,1,3112,234,123,345
"Business Travel","2023-03-24","UlyssesNet","2020-05-12",17878,123,16,1234,234,322,355
"Upstream Leased Assest","2023-03-24","Budget","2021-12-29",41729,750,7,2207,412,123,221
"Upstream Transportation and Distribution","2023-03-24","Meridian Partners","2022-04-15",12892,234,8,3421,112,278,1234
"Downstream ","2023-03-24","Avis","2023-04-22",30761,123,5,2312,120,153,345
"Capital Goods","2023-03-24","salesforce.com","2021-01-11",10141,2200,4,2207,234,153,355
"Upstream Leased Assest","2023-03-24","Glasgow Water","2022-09-23",46774,234,5,3421,120,322,345
"Upstream Transportation and Distribution","2023-03-24","Gusto Sound and Audio","2019-05-27",27600,112,15,3112,412,278,1234
"Purchase Goods and Services","2023-03-24","Hertz","2023-11-06",35779,800,14,2312,112,123,221
"Investments","2023-03-24","*Greenstone Products LTD","2020-05-03",48740,123,11,1234,412,322,355
"Downstream ","2023-03-24","Roseburg Products Co","2021-02-12",18317,112,16,2312,112,123,221
"Business Travel","2023-03-24","Momentum Design","2020-04-05",48702,234,6,3112,234,153,345
"Capital Goods","2023-03-24","Atlas Inc","2023-09-15",37586,2200,17,2207,120,278,1234
"Upstream Transportation and Distribution","2023-03-24","Test Supplier","2022-05-12",25618,112,16,3421,112,322,221
"Downstream ","2023-03-24","UlyssesNet","2019-05-19",29180,123,5,1234,234,123,1234
"Capital Goods","2023-03-24","Marriott","2023-12-31",24153,2200,13,1234,120,153,355
"Upstream Leased Assest","2023-03-24","Green Fields Media","2019-12-15",27939,750,19,2207,412,278,345
"Business Travel","2023-03-24","Pinnacle Partners","2022-05-06",14910,123,7,3112,120,322,345
"Purchase Goods and Services","2023-03-24","Universal Services","2021-11-03",31754,800,3,3421,112,123,1234
"Investments","2023-03-24","Budget","2020-10-01",12246,112,17,2312,412,278,355
"Purchase Goods and Services","2023-03-24","Good Freight Co","2023-01-20",21439,800,2,2207,234,153,221
"Business Travel","2023-03-24","JetBlue","2021-03-20",45484,234,13,3112,120,123,345
"Capital Goods","2023-03-24","Employnet","2019-12-25",11566,2200,19,3421,412,322,1234
"Investments","2023-03-24","*Greenstone Products LTD","2020-12-05",32709,234,4,2312,112,153,221
"Downstream ","2023-03-24","Harmon Consulting","2022-05-04",38190,123,10,1234,234,278,355
"Upstream Leased Assest","2023-03-24","Xcel Energy","2019-01-10",42614,112,19,2207,234,278,355
"Upstream Transportation and Distribution","2023-03-24","Alamo","2022-03-31",43517,234,9,2312,112,123,1234
"Business Travel","2023-03-24","Momentum Design","2020-05-02",26950,112,16,1234,412,153,221
"Upstream Transportation and Distribution","2023-03-24","Office Print & Ship Services","2023-04-30",31282,234,6,3421,120,322,345
"Purchase Goods and Services","2023-03-24","ABC Woodworks","2021-09-03",24841,750,18,3112,234,278,221
"Downstream ","2023-03-24","salesforce.com","2023-08-09",21147,123,14,2207,120,123,355
"Investments","2023-03-24","Allied Technologies","2020-02-17",48211,750,2,1234,112,322,345
"Capital Goods","2023-03-24","CityCab","2022-06-28",26651,2200,7,3112,412,153,1234
"Upstream Leased Assest","2023-03-24","KLM","2019-12-28",34628,234,15,2312,112,153,1234
"Investments","2023-03-24","Delta Airlines","2021-11-06",19527,123,13,3421,412,278,355
"Upstream Transportation and Distribution","2023-03-24","Red Studio Designs","2019-11-13",47703,112,14,3421,120,123,345
"Capital Goods","2023-03-24","Enterprise","2021-04-01",32817,2200,7,1234,234,322,221
"Business Travel","2023-03-24","SoloTaxi","2020-03-28",31008,234,3,3112,234,278,345
"Upstream Leased Assest","2023-03-24","General Utilities","2022-10-24",11879,123,17,2207,412,123,221
"Purchase Goods and Services","2023-03-24","Glasgow Catering","2023-01-11",11038,800,8,2312,120,322,355
"Downstream ","2023-03-24","Uber","2021-03-07",34825,112,13,3421,112,153,1234
"Upstream Leased Assest","2023-03-24","Atlas Inc","2022-01-03",43753,112,8,1234,120,123,345
"Upstream Transportation and Distribution","2023-03-24","IHG","2020-11-04",17068,123,8,3112,412,278,355
"Investments","2023-03-24","Five Winds Project, LLC","2023-08-16",12694,234,9,2312,234,322,221
"Capital Goods","2023-03-24","Hertz","2019-08-11",13968,2200,1,2207,112,153,1234
"Downstream ","2023-03-24","Associated Supply Co.","2019-12-05",32296,750,1,3112,234,278,355
"Business Travel","2023-03-24","Constellation Energy","2021-04-21",21145,234,6,2207,112,322,1234
"Purchase Goods and Services","2023-03-24","Air France","2023-11-04",31018,800,9,1234,120,153,345
"Capital Goods","2023-03-24","Avis","2022-06-24",39349,2200,5,2312,412,123,221
"Purchase Goods and Services","2023-03-24","Lyft","2020-03-29",13761,800,20,3421,120,153,355
"Downstream ","2023-03-24","Valley Supply Inc.","2019-07-24",11631,123,11,1234,234,322,345
"Business Travel","2023-03-24","Haven Enterprises","2023-01-05",46852,112,15,3112,112,278,1234
"Upstream Leased Assest","2023-03-24","Meridian Partners","2020-12-26",42066,234,13,2312,412,123,221
"Upstream Transportation and Distribution","2023-03-24","Hyatt","2022-04-29",43672,123,11,2207,234,123,355
"Investments","2023-03-24","Hilton","2021-09-13",18344,112,10,3421,412,153,221
"Upstream Transportation and Distribution","2023-03-24","Big Sky & Sons","2019-09-14",12141,123,5,3112,120,278,345
"Capital Goods","2023-03-24","Glasgow Water","2021-01-12",21608,2200,4,1234,112,322,1234
"Purchase Goods and Services","2023-03-24","United Airline","2023-03-20",10066,800,6,2207,112,153,221
"Business Travel","2023-03-24","Roseburg Products Co","2022-07-15",17193,112,5,3421,120,322,355
"Upstream Leased Assest","2023-03-24","Southern Solutions","2020-03-08",25931,234,4,2312,234,278,1234
"Downstream ","2023-03-24","Tech Labs","2023-11-11",48213,750,5,3421,412,123,345
"Investments","2023-03-24","Advanced Communications","2020-05-06",38566,123,4,2312,412,322,355
"Upstream Leased Assest","2023-03-24","Gusto Sound and Audio","2019-03-25",19234,234,19,2207,120,153,345
"Business Travel","2023-03-24","Laine Ltd","2021-06-14",48854,112,13,3112,234,278,1234
"Purchase Goods and Services","2023-03-24","Air Canada","2022-09-30",28381,800,14,1234,112,123,221
"Capital Goods","2023-03-24","Vand Enterprises, Inc.","2023-09-20",48688,2200,6,3421,112,278,345
"Investments","2023-03-24","British Airways","2020-03-21",31906,234,7,1234,234,322,221
"Downstream ","2023-03-24","RCE, Inc.","2021-01-16",38584,123,1,2312,412,123,355
"Upstream Transportation and Distribution","2023-03-24","Universal Containers","2019-05-28",41581,112,9,3112,120,153,1234
"Upstream Transportation and Distribution","2023-03-24","Atlas Inc","2022-12-18",25311,234,18,2207,112,278,221
"Purchase Goods and Services","2023-03-24","Glasgow Catering","2022-06-16",34531,800,7,2312,234,153,345
"Upstream Leased Assest","2023-03-24","Allied Technologies","2021-08-09",22227,123,12,2207,120,123,1234
"Investments","2023-03-24","Tech Labs","2020-06-16",41035,112,8,3112,412,322,355
"Downstream ","2023-03-24","JetBlue","2019-05-23",35062,750,13,3421,120,278,345
"Business Travel","2023-03-24","Roseburg Products Co","2023-05-25",39431,112,8,1234,112,153,355
"Capital Goods","2023-03-24","Associated Supply Co.","2020-11-09",26813,2200,2,2312,412,322,221
"Business Travel","2023-03-24","Haven Enterprises","2022-05-17",38448,234,6,1234,234,123,1234
"Purchase Goods and Services","2023-03-24","Marriott","2019-04-18",40488,800,4,3421,120,322,221
"Investments","2023-03-24","United Airline","2021-01-01",18517,123,20,2207,112,153,355
"Upstream Leased Assest","2023-03-24","ABC Woodworks","2023-12-19",22946,234,20,3112,234,123,345
"Capital Goods","2023-03-24","KLM","2020-12-26",23026,2200,18,1234,412,278,1234
"Downstream ","2023-03-24","SoloTaxi","2019-06-07",36207,123,16,2312,112,153,1234
"Upstream Transportation and Distribution","2023-03-24","*Greenstone Products LTD","2022-01-22",21178,112,18,3421,120,278,345
"Downstream ","2023-03-24","RCE, Inc.","2021-11-21",10562,112,7,3112,234,322,355
"Business Travel","2023-03-24","Avis","2023-06-25",42688,234,4,2207,412,123,221
"Purchase Goods and Services","2023-03-24","Laine Ltd","2021-03-20",24961,750,11,3112,412,153,221
"Capital Goods","2023-03-24","Constellation Energy","2022-07-13",40094,2200,2,3421,112,123,345
"Upstream Leased Assest","2023-03-24","Glasgow Water","2023-03-05",28348,123,15,2312,234,322,355
"Investments","2023-03-24","Hertz","2019-10-03",41760,123,6,2207,120,278,1234
"Upstream Transportation and Distribution","2023-03-24","Office Print & Ship Services","2020-10-04",32807,234,12,1234,412,153,221
"Investments","2023-03-24","Southern Solutions","2020-01-12",18330,750,18,2207,234,322,345
"Purchase Goods and Services","2023-03-24","Hyatt","2023-01-26",19077,800,14,1234,112,278,1234
"Business Travel","2023-03-24","CityCab","2021-08-22",14151,112,12,3112,120,123,355
"Capital Goods","2023-03-24","Green Fields Media","2022-01-16",19440,2200,1,2312,234,153,1234
"Downstream ","2023-03-24","Valley Supply Inc.","2019-06-02",15797,112,18,3421,120,278,355
"Upstream Transportation and Distribution","2023-03-24","Big Sky & Sons","2020-02-24",24694,123,9,1234,412,123,345
"Upstream Leased Assest","2023-03-24","Vand Enterprises, Inc.","2023-07-04",31707,234,10,2312,112,322,221
"Investments","2023-03-24","Five Winds Project, LLC","2022-08-09",15226,123,15,3112,112,278,221
"Purchase Goods and Services","2023-03-24","Budget","2019-08-28",13661,800,17,3421,120,153,345
"Upstream Transportation and Distribution","2023-03-24","Harmon Consulting","2021-09-04",13496,112,1,2207,234,322,1234
"Downstream ","2023-03-24","UlyssesNet","2023-05-08",20264,234,3,2207,412,123,355
"Upstream Leased Assest","2023-03-24","Alamo","2021-08-16",11477,234,4,1234,234,123,1234
"Capital Goods","2023-03-24","Pinnacle Partners","2019-07-11",21209,2200,10,3421,412,322,345
"Business Travel","2023-03-24","Enterprise","2020-09-23",22799,123,18,2312,112,153,355
"Downstream ","2023-03-24","Universal Services","2022-12-03",41189,750,6,3112,120,278,221
"Upstream Transportation and Distribution","2023-03-24","Hilton","2023-07-06",18812,234,17,2207,234,123,221
"Purchase Goods and Services","2023-03-24","British Airways","2019-02-10",49542,800,8,1234,412,278,1234
"Business Travel","2023-03-24","Advanced Communications","2021-05-21",17964,123,12,3112,112,322,355
"Upstream Leased Assest","2023-03-24","Good Freight Co","2022-02-10",25069,112,5,3421,120,153,345
"Investments","2023-03-24","Employnet","2020-12-18",36647,112,10,2312,412,278,355
"Capital Goods","2023-03-24","Red Studio Designs","2019-11-17",29731,2200,11,2312,234,153,345
"Purchase Goods and Services","2023-03-24","Uber","2021-03-07",38970,800,11,1234,112,123,1234
"Investments","2023-03-24","Delta Airlines","2023-09-01",26688,123,16,3421,120,322,221
"Capital Goods","2023-03-24","Lyft","2020-02-29",31246,2200,13,2207,112,322,1234
"Downstream ","2023-03-24","General Utilities","2022-01-30",26787,112,1,3112,234,278,221
"Upstream Transportation and Distribution","2023-03-24","Air Canada","2022-05-05",42052,234,15,2312,120,153,345
"Business Travel","2023-03-24","Gusto Sound and Audio","2021-09-03",42717,234,3,2207,412,123,355
"Upstream Leased Assest","2023-03-24","Meridian Partners","2023-10-30",25613,112,15,1234,112,278,221
"Purchase Goods and Services","2023-03-24","salesforce.com","2019-12-04",41554,800,11,3112,120,153,1234
"Upstream Transportation and Distribution","2023-03-24","Air France","2020-02-08",48236,123,3,3421,412,123,345
"Investments","2023-03-24","Test Supplier","2023-02-26",12286,234,12,3421,234,322,355
"Business Travel","2023-03-24","Universal Containers","2022-11-29",15005,123,8,3112,112,278,221
"Upstream Leased Assest","2023-03-24","IHG","2020-09-13",39496,112,5,2207,412,153,1234
"Capital Goods","2023-03-24","Xcel Energy","2021-01-01",24943,2200,14,2312,120,322,355
"Downstream ","2023-03-24","Momentum Design","2019-02-03",13381,750,1,1234,234,123,345
"Purchase Goods and Services","2023-03-24","KLM","2023-11-24",45746,800,20,1234,234,322,221
"Capital Goods","2023-03-24","Test Supplier","2020-04-26",29182,2200,2,2207,112,123,345
"Business Travel","2023-03-24","Xcel Energy","2019-08-04",42127,112,10,3112,120,153,1234
"Upstream Transportation and Distribution","2023-03-24","RCE, Inc.","2022-07-24",46270,234,8,2312,412,278,355
"Upstream Leased Assest","2023-03-24","Good Freight Co","2021-12-05",20745,123,19,3421,112,153,355
"Downstream ","2023-03-24","Hilton","2022-12-19",14100,234,1,3112,412,278,345
"Investments","2023-03-24","Meridian Partners","2023-05-15",14066,123,15,1234,120,123,1234
"Investments","2023-03-24","Uber","2020-05-13",47066,112,16,3421,234,322,221
"Upstream Transportation and Distribution","2023-03-24","British Airways","2021-05-24",38408,123,1,2312,120,153,1234
"Business Travel","2023-03-24","Atlas Inc","2019-01-27",11126,112,18,2207,234,322,355
"Capital Goods","2023-03-24","Five Winds Project, LLC","2020-05-19",31064,2200,15,3421,112,123,221
"Purchase Goods and Services","2023-03-24","Employnet","2023-03-14",10731,800,7,2207,412,278,345
