"ProjectName","ProjectId","LastProcessedDate","MitigationType","ProjectExternaId","ReportDate","BusinessRegion","CountryCode3Digits","AdditionalBenefits","ProjectType","Country","TotalPurchasedCredits","CostPerUnit","AvgCreditsPurchased","TotalAllocatedCredits","CreditsAvailable","CreditsAllocated","AvgPrice","TotalAvailableCredits","SustainabilityCredits","CreditsPurchased"
"Carbon Credit Project 67",,"2023-09-18","Removal","SDO.1067","2023-09-19","EMEA","HUN","Biodiversity","Agriculture","Hungary",2500,20,70,1150,5,3,24,1350,750,1
"Carbon Credit Project 54",,"2023-09-18","Removal","SDO.1054","2023-04-22","APAC","VNM","Energy Access","Renewable Energy","Vietnam",2500,30,10,1150,3,4,24,1350,750,1
"Carbon Credit Project 54",,"2023-09-18","Removal","SDO.1054","2018-05-23","APAC","VNM","Energy Access","Renewable Energy","Vietnam",2500,30,10,1150,2,1,24,1350,750,1
"Carbon Credit Project 38 - ESP",,"2023-09-18","Reduction","SDO.1038","2019-07-30","EMEA","ESP","Health","Agriculture","Spain",2500,20,90,1150,5,3,24,1350,750,1
"Carbon Credit Project 67",,"2023-09-18","Removal","SDO.1067","2023-08-26","EMEA","HUN","Biodiversity","Agriculture","Hungary",2500,20,20,1150,5,3,24,1350,750,1
"Carbon Credit Project 54",,"2023-09-18","Removal","SDO.1054","2015-07-14","APAC","VNM","Energy Access","Renewable Energy","Vietnam",2500,30,30,1150,2,3,24,1350,750,1
"Carbon Credit Project 67",,"2023-09-18","Removal","SDO.1067","2017-07-02","EMEA","HUN","Biodiversity","Agriculture","Hungary",2500,20,20,1150,5,5,24,1350,750,1
"Carbon Credit Project 38 - ESP",,"2023-09-18","Reduction","SDO.1038","2019-10-27","EMEA","ESP","Health","Agriculture","Spain",2500,20,80,1150,2,3,24,1350,750,2
"Carbon Credit Project 67",,"2023-09-18","Removal","SDO.1067","2022-03-22","EMEA","HUN","Biodiversity","Agriculture","Hungary",2500,30,60,1150,3,2,24,1350,750,1
"Carbon Credit Project 38 - ESP",,"2023-09-18","Reduction","SDO.1038","2017-04-28","EMEA","ESP","Health","Agriculture","Spain",2500,30,100,1150,5,5,24,1350,750,1
"Carbon Credit Project 54",,"2023-09-18","Removal","SDO.1054","2016-01-26","APAC","VNM","Energy Access","Renewable Energy","Vietnam",2500,30,20,1150,5,2,24,1350,750,1
"Carbon Credit Project 54",,"2023-09-18","Removal","SDO.1054","2016-06-04","APAC","VNM","Energy Access","Renewable Energy","Vietnam",2500,30,10,1150,1,2,24,1350,750,1
"Carbon Credit Project 67",,"2023-09-18","Removal","SDO.1067","2018-01-20","EMEA","HUN","Biodiversity","Agriculture","Hungary",2500,30,20,1150,1,1,24,1350,750,2
"Carbon Credit Project 38 - ESP",,"2023-09-18","Reduction","SDO.1038","2014-12-17","EMEA","ESP","Health","Agriculture","Spain",2500,20,90,1150,1,3,24,1350,750,1
"Carbon Credit Project 38 - ESP",,"2023-09-18","Reduction","SDO.1038","2022-04-02","EMEA","ESP","Health","Agriculture","Spain",2500,20,80,1150,5,2,24,1350,750,1
"Carbon Credit Project 67",,"2023-09-18","Removal","SDO.1067","2022-01-23","EMEA","HUN","Biodiversity","Agriculture","Hungary",2500,20,10,1150,3,2,24,1350,750,1
"Carbon Credit Project 54",,"2023-09-18","Removal","SDO.1054","2015-01-18","APAC","VNM","Energy Access","Renewable Energy","Vietnam",2500,30,20,1150,2,3,24,1350,750,2
"Carbon Credit Project 67",,"2023-09-18","Removal","SDO.1067","2015-10-14","EMEA","HUN","Biodiversity","Agriculture","Hungary",2500,20,10,1150,3,3,24,1350,750,1
"Carbon Credit Project 38 - ESP",,"2023-09-18","Reduction","SDO.1038","2018-01-15","EMEA","ESP","Health","Agriculture","Spain",2500,20,90,1150,2,1,24,1350,750,1
"Carbon Credit Project 54",,"2023-09-18","Removal","SDO.1054","2015-03-19","APAC","VNM","Energy Access","Renewable Energy","Vietnam",2500,30,50,1150,2,3,24,1350,750,1
"Carbon Credit Project 54",,"2023-09-18","Removal","SDO.1054","2020-04-25","APAC","VNM","Energy Access","Renewable Energy","Vietnam",2500,20,60,1150,4,1,24,1350,750,2
"Carbon Credit Project 67",,"2023-09-18","Removal","SDO.1067","2018-04-09","EMEA","HUN","Biodiversity","Agriculture","Hungary",2500,30,20,1150,4,2,24,1350,750,1
"Carbon Credit Project 38 - ESP",,"2023-09-18","Reduction","SDO.1038","2023-10-31","EMEA","ESP","Health","Agriculture","Spain",2500,20,90,1150,4,4,24,1350,750,1
"Carbon Credit Project 48",,"2023-09-18","Avoidance","SDO.1048","2016-02-20","EMEA","ZAF","Education","Household Devices","South Africa",2500,20,80,1150,3,3,24,1350,750,2
"Carbon Credit Project 20 - CAN",,"2023-09-18","Removal","SDO.1020","2021-12-13","AMER","CAN","Energy Access","Household Devices","Canada",2500,30,80,1150,2,1,24,1350,750,1
"Carbon Credit Project 65",,"2023-09-18","Sequestration","SDO.1065","2015-03-31","EMEA","AUT","Energy Access","Transportation","Austria",2500,40,40,1150,4,3,24,1350,750,1
"Carbon Credit Project 37 - ESP",,"2023-09-18","Removal","SDO.1037","2016-11-15","EMEA","ESP","Health","Industrial Manufacturing","Spain",2500,40,80,1150,1,3,24,1350,750,1
"Carbon Credit Project 20 - CAN",,"2023-09-18","Removal","SDO.1020","2019-12-07","AMER","CAN","Energy Access","Household Devices","Canada",2500,30,80,1150,3,2,24,1350,750,1
"Carbon Credit Project 37 - ESP",,"2023-09-18","Removal","SDO.1037","2015-05-05","EMEA","ESP","Health","Industrial Manufacturing","Spain",2500,30,80,1150,5,3,24,1350,750,1
"Carbon Credit Project 65",,"2023-09-18","Sequestration","SDO.1065","2017-06-29","EMEA","AUT","Energy Access","Transportation","Austria",2500,40,30,1150,4,5,24,1350,750,1
"Carbon Credit Project 48",,"2023-09-18","Avoidance","SDO.1048","2022-08-03","EMEA","ZAF","Education","Household Devices","South Africa",2500,30,40,1150,2,2,24,1350,750,1
"Carbon Credit Project 37 - ESP",,"2023-09-18","Removal","SDO.1037","2020-07-22","EMEA","ESP","Health","Industrial Manufacturing","Spain",2500,30,90,1150,1,1,24,1350,750,1
"Carbon Credit Project 65",,"2023-09-18","Sequestration","SDO.1065","2020-02-09","EMEA","AUT","Energy Access","Transportation","Austria",2500,40,60,1150,5,1,24,1350,750,1
"Carbon Credit Project 48",,"2023-09-18","Avoidance","SDO.1048","2022-08-19","EMEA","ZAF","Education","Household Devices","South Africa",2500,20,10,1150,2,2,24,1350,750,1
"Carbon Credit Project 20 - CAN",,"2023-09-18","Removal","SDO.1020","2017-06-23","AMER","CAN","Energy Access","Household Devices","Canada",2500,30,80,1150,1,4,24,1350,750,1
"Carbon Credit Project 48",,"2023-09-18","Avoidance","SDO.1048","2018-05-22","EMEA","ZAF","Education","Household Devices","South Africa",2500,20,80,1150,1,2,24,1350,750,1
"Carbon Credit Project 20 - CAN",,"2023-09-18","Removal","SDO.1020","2014-05-11","AMER","CAN","Energy Access","Household Devices","Canada",2500,30,90,1150,1,3,24,1350,750,2
"Carbon Credit Project 37 - ESP",,"2023-09-18","Removal","SDO.1037","2017-07-03","EMEA","ESP","Health","Industrial Manufacturing","Spain",2500,30,80,1150,2,4,24,1350,750,1
"Carbon Credit Project 65",,"2023-09-18","Sequestration","SDO.1065","2019-09-17","EMEA","AUT","Energy Access","Transportation","Austria",2500,40,40,1150,4,3,24,1350,750,2
"Carbon Credit Project 37 - ESP",,"2023-09-18","Removal","SDO.1037","2023-01-23","EMEA","ESP","Health","Industrial Manufacturing","Spain",2500,30,100,1150,5,3,24,1350,750,2
"Carbon Credit Project 48",,"2023-09-18","Avoidance","SDO.1048","2016-07-09","EMEA","ZAF","Education","Household Devices","South Africa",2500,30,10,1150,2,3,24,1350,750,1
"Carbon Credit Project 20 - CAN",,"2023-09-18","Removal","SDO.1020","2018-11-13","AMER","CAN","Energy Access","Household Devices","Canada",2500,20,80,1150,3,1,24,1350,750,2
"Carbon Credit Project 65",,"2023-09-18","Sequestration","SDO.1065","2015-01-21","EMEA","AUT","Energy Access","Transportation","Austria",2500,40,20,1150,2,3,24,1350,750,1
"Carbon Credit Project 48",,"2023-09-18","Avoidance","SDO.1048","2022-04-27","EMEA","ZAF","Education","Household Devices","South Africa",2500,30,70,1150,5,2,24,1350,750,1
"Carbon Credit Project 20 - CAN",,"2023-09-18","Removal","SDO.1020","2017-12-11","AMER","CAN","Energy Access","Household Devices","Canada",2500,20,80,1150,5,4,24,1350,750,1
"Carbon Credit Project 37 - ESP",,"2023-09-18","Removal","SDO.1037","2022-01-30","EMEA","ESP","Health","Industrial Manufacturing","Spain",2500,30,100,1150,4,2,24,1350,750,2
"Carbon Credit Project 65",,"2023-09-18","Sequestration","SDO.1065","2016-02-08","EMEA","AUT","Energy Access","Transportation","Austria",2500,40,10,1150,1,2,24,1350,750,1
"Carbon Credit Project 37 - ESP",,"2023-09-18","Removal","SDO.1037","2016-03-05","EMEA","ESP","Health","Industrial Manufacturing","Spain",2500,40,80,1150,2,2,24,1350,750,2
"Carbon Credit Project 20 - CAN",,"2023-09-18","Removal","SDO.1020","2022-01-23","AMER","CAN","Energy Access","Household Devices","Canada",2500,30,80,1150,1,2,24,1350,750,2
"Carbon Credit Project 65",,"2023-09-18","Sequestration","SDO.1065","2014-10-09","EMEA","AUT","Energy Access","Transportation","Austria",2500,40,70,1150,4,3,24,1350,750,1
"Carbon Credit Project 48",,"2023-09-18","Avoidance","SDO.1048","2019-02-17","EMEA","ZAF","Education","Household Devices","South Africa",2500,30,10,1150,3,3,24,1350,750,1
"Carbon Credit Project 48",,"2023-09-18","Avoidance","SDO.1048","2018-11-04","EMEA","ZAF","Education","Household Devices","South Africa",2500,30,10,1150,4,1,24,1350,750,1
"Carbon Credit Project 37 - ESP",,"2023-09-18","Removal","SDO.1037","2015-02-05","EMEA","ESP","Health","Industrial Manufacturing","Spain",2500,30,90,1150,1,3,24,1350,750,2
"Carbon Credit Project 20 - CAN",,"2023-09-18","Removal","SDO.1020","2014-02-03","AMER","CAN","Energy Access","Household Devices","Canada",2500,20,90,1150,5,3,24,1350,750,1
"Carbon Credit Project 65",,"2023-09-18","Sequestration","SDO.1065","2019-09-03","EMEA","AUT","Energy Access","Transportation","Austria",2500,40,20,1150,2,3,24,1350,750,1
"Carbon Credit Project 20 - CAN",,"2023-09-18","Removal","SDO.1020","2016-11-04","AMER","CAN","Energy Access","Household Devices","Canada",2500,20,80,1150,1,2,24,1350,750,1
"Carbon Credit Project 65",,"2023-09-18","Sequestration","SDO.1065","2015-11-19","EMEA","AUT","Energy Access","Transportation","Austria",2500,40,70,1150,3,3,24,1350,750,1
"Carbon Credit Project 37 - ESP",,"2023-09-18","Removal","SDO.1037","2020-10-22","EMEA","ESP","Health","Industrial Manufacturing","Spain",2500,30,90,1150,1,2,24,1350,750,1
"Carbon Credit Project 48",,"2023-09-18","Avoidance","SDO.1048","2021-04-18","EMEA","ZAF","Education","Household Devices","South Africa",2500,20,20,1150,4,1,24,1350,750,2
"Carbon Credit Project 65",,"2023-09-18","Sequestration","SDO.1065","2017-07-02","EMEA","AUT","Energy Access","Transportation","Austria",2500,30,10,1150,3,5,24,1350,750,1
"Carbon Credit Project 20 - CAN",,"2023-09-18","Removal","SDO.1020","2022-02-16","AMER","CAN","Energy Access","Household Devices","Canada",2500,30,90,1150,1,2,24,1350,750,1
"Carbon Credit Project 37 - ESP",,"2023-09-18","Removal","SDO.1037","2016-11-07","EMEA","ESP","Health","Industrial Manufacturing","Spain",2500,30,100,1150,2,2,24,1350,750,1
"Carbon Credit Project 48",,"2023-09-18","Avoidance","SDO.1048","2017-01-01","EMEA","ZAF","Education","Household Devices","South Africa",2500,20,40,1150,5,4,24,1350,750,1
"Carbon Credit Project 65",,"2023-09-18","Sequestration","SDO.1065","2018-02-12","EMEA","AUT","Energy Access","Transportation","Austria",2500,40,50,1150,2,1,24,1350,750,1
"Carbon Credit Project 20 - CAN",,"2023-09-18","Removal","SDO.1020","2020-05-08","AMER","CAN","Energy Access","Household Devices","Canada",2500,20,90,1150,2,1,24,1350,750,1
"Carbon Credit Project 74",,"2023-09-18","Sequestration","SDO.1074","2017-11-04","EMEA","ARM","Biodiversity","Transportation","Armenia",2500,40,10,1150,1,5,24,1350,750,1
"Carbon Credit Project 12 - BRA",,"2023-09-18","Removal","SDO.1012","2022-02-10","LATAM","BRA","Energy Access","Fuel Switching","Brazil",2500,20,90,1150,3,2,24,1350,750,1
"Carbon Credit Project 8 - BRA",,"2023-09-18","Avoidance","SDO.108","2023-10-06","LATAM","BRA","Energy Access","Household Devices","Brazil",2500,20,90,1150,3,3,24,1350,750,1
"Carbon Credit Project 8 - BRA",,"2023-09-18","Avoidance","SDO.108","2019-07-24","LATAM","BRA","Energy Access","Household Devices","Brazil",2500,30,90,1150,2,3,24,1350,750,1
"Carbon Credit Project 74",,"2023-09-18","Sequestration","SDO.1074","2019-05-16","EMEA","ARM","Biodiversity","Transportation","Armenia",2500,40,60,1150,3,3,24,1350,750,2
"Carbon Credit Project 12 - BRA",,"2023-09-18","Removal","SDO.1012","2020-07-31","LATAM","BRA","Energy Access","Fuel Switching","Brazil",2500,20,90,1150,1,1,24,1350,750,1
"Carbon Credit Project 12 - BRA",,"2023-09-18","Removal","SDO.1012","2017-05-18","LATAM","BRA","Energy Access","Fuel Switching","Brazil",2500,20,90,1150,4,4,24,1350,750,1
"Carbon Credit Project 74",,"2023-09-18","Sequestration","SDO.1074","2019-09-12","EMEA","ARM","Biodiversity","Transportation","Armenia",2500,40,70,1150,5,3,24,1350,750,1
"Carbon Credit Project 8 - BRA",,"2023-09-18","Avoidance","SDO.108","2022-08-08","LATAM","BRA","Energy Access","Household Devices","Brazil",2500,30,90,1150,5,2,24,1350,750,1
"Carbon Credit Project 8 - BRA",,"2023-09-18","Avoidance","SDO.108","2021-11-16","LATAM","BRA","Energy Access","Household Devices","Brazil",2500,20,90,1150,4,1,24,1350,750,1
"Carbon Credit Project 74",,"2023-09-18","Sequestration","SDO.1074","2016-02-14","EMEA","ARM","Biodiversity","Transportation","Armenia",2500,40,40,1150,4,2,24,1350,750,1
"Carbon Credit Project 12 - BRA",,"2023-09-18","Removal","SDO.1012","2020-03-04","LATAM","BRA","Energy Access","Fuel Switching","Brazil",2500,20,90,1150,1,2,24,1350,750,1
"Carbon Credit Project 8 - BRA",,"2023-09-18","Avoidance","SDO.108","2015-08-06","LATAM","BRA","Energy Access","Household Devices","Brazil",2500,20,90,1150,1,3,24,1350,750,1
"Carbon Credit Project 74",,"2023-09-18","Sequestration","SDO.1074","2017-04-20","EMEA","ARM","Biodiversity","Transportation","Armenia",2500,40,10,1150,1,5,24,1350,750,1
"Carbon Credit Project 12 - BRA",,"2023-09-18","Removal","SDO.1012","2018-10-12","LATAM","BRA","Energy Access","Fuel Switching","Brazil",2500,20,90,1150,4,1,24,1350,750,1
"Carbon Credit Project 74",,"2023-09-18","Sequestration","SDO.1074","2014-08-11","EMEA","ARM","Biodiversity","Transportation","Armenia",2500,40,40,1150,1,3,24,1350,750,1
"Carbon Credit Project 8 - BRA",,"2023-09-18","Avoidance","SDO.108","2023-08-19","LATAM","BRA","Energy Access","Household Devices","Brazil",2500,20,90,1150,4,4,24,1350,750,1
"Carbon Credit Project 12 - BRA",,"2023-09-18","Removal","SDO.1012","2022-04-14","LATAM","BRA","Energy Access","Fuel Switching","Brazil",2500,20,90,1150,5,2,24,1350,750,1
"Carbon Credit Project 12 - BRA",,"2023-09-18","Removal","SDO.1012","2018-07-24","LATAM","BRA","Energy Access","Fuel Switching","Brazil",2500,30,90,1150,2,1,24,1350,750,1
"Carbon Credit Project 74",,"2023-09-18","Sequestration","SDO.1074","2021-09-15","EMEA","ARM","Biodiversity","Transportation","Armenia",2500,40,20,1150,3,1,24,1350,750,1
"Carbon Credit Project 8 - BRA",,"2023-09-18","Avoidance","SDO.108","2020-01-03","LATAM","BRA","Energy Access","Household Devices","Brazil",2500,20,90,1150,3,1,24,1350,750,1
"Carbon Credit Project 8 - BRA",,"2023-09-18","Avoidance","SDO.108","2022-02-27","LATAM","BRA","Energy Access","Household Devices","Brazil",2500,20,90,1150,4,2,24,1350,750,1
"Carbon Credit Project 74",,"2023-09-18","Sequestration","SDO.1074","2020-08-19","EMEA","ARM","Biodiversity","Transportation","Armenia",2500,40,10,1150,3,2,24,1350,750,1
"Carbon Credit Project 12 - BRA",,"2023-09-18","Removal","SDO.1012","2022-07-31","LATAM","BRA","Energy Access","Fuel Switching","Brazil",2500,30,90,1150,2,2,24,1350,750,1
"Carbon Credit Project 8 - BRA",,"2023-09-18","Avoidance","SDO.108","2019-09-16","LATAM","BRA","Energy Access","Household Devices","Brazil",2500,20,90,1150,3,3,24,1350,750,2
"Carbon Credit Project 74",,"2023-09-18","Sequestration","SDO.1074","2016-02-14","EMEA","ARM","Biodiversity","Transportation","Armenia",2500,40,20,1150,2,3,24,1350,750,1
"Carbon Credit Project 12 - BRA",,"2023-09-18","Removal","SDO.1012","2020-03-01","LATAM","BRA","Energy Access","Fuel Switching","Brazil",2500,20,90,1150,5,1,24,1350,750,1
"Carbon Credit Project 8 - BRA",,"2023-09-18","Avoidance","SDO.108","2019-11-24","LATAM","BRA","Energy Access","Household Devices","Brazil",2500,20,90,1150,4,2,24,1350,750,1
"Carbon Credit Project 12 - BRA",,"2023-09-18","Removal","SDO.1012","2016-04-13","LATAM","BRA","Energy Access","Fuel Switching","Brazil",2500,30,90,1150,3,2,24,1350,750,1
"Carbon Credit Project 74",,"2023-09-18","Sequestration","SDO.1074","2022-03-30","EMEA","ARM","Biodiversity","Transportation","Armenia",2500,40,70,1150,5,1,24,1350,750,1
"Carbon Credit Project 8 - BRA",,"2023-09-18","Avoidance","SDO.108","2022-03-06","LATAM","BRA","Energy Access","Household Devices","Brazil",2500,20,90,1150,1,2,24,1350,750,1
"Carbon Credit Project 10 - BRA",,"2023-09-18","Avoidance","SDO.1010","2018-08-06","LATAM","BRA","Education","Renewable Energy","Brazil",2500,30,90,1150,3,2,24,1350,750,2
"Carbon Credit Project 39 - ESP",,"2023-09-18","Sequestration","SDO.1039","2022-07-08","EMEA","ESP","Biodiversity","Household Devices","Spain",2500,20,90,1150,4,2,24,1350,750,1
"Carbon Credit Project 73",,"2023-09-18","Sequestration","SDO.1073","2022-04-23","EMEA","FIN","Biodiversity","Household Devices","Finland",2500,30,50,1150,4,2,24,1350,750,1
"Carbon Credit Project 7 - BRA",,"2023-09-18","Reduction","SDO.107","2015-09-04","LATAM","BRA","Education","Transportation","Brazil",2500,40,90,1150,3,3,24,1350,750,1
"Carbon Credit Project 7 - BRA",,"2023-09-18","Reduction","SDO.107","2017-12-04","LATAM","BRA","Education","Transportation","Brazil",2500,40,90,1150,4,5,24,1350,750,2
"Carbon Credit Project 10 - BRA",,"2023-09-18","Avoidance","SDO.1010","2015-09-05","LATAM","BRA","Education","Renewable Energy","Brazil",2500,20,90,1150,5,3,24,1350,750,2
"Carbon Credit Project 73",,"2023-09-18","Sequestration","SDO.1073","2020-02-24","EMEA","FIN","Biodiversity","Household Devices","Finland",2500,30,70,1150,4,1,24,1350,750,1
"Carbon Credit Project 39 - ESP",,"2023-09-18","Sequestration","SDO.1039","2022-11-07","EMEA","ESP","Biodiversity","Household Devices","Spain",2500,30,80,1150,3,1,24,1350,750,1
"Carbon Credit Project 10 - BRA",,"2023-09-18","Avoidance","SDO.1010","2020-10-27","LATAM","BRA","Education","Renewable Energy","Brazil",2500,20,90,1150,2,2,24,1350,750,1
"Carbon Credit Project 73",,"2023-09-18","Sequestration","SDO.1073","2019-09-19","EMEA","FIN","Biodiversity","Household Devices","Finland",2500,20,20,1150,2,2,24,1350,750,2
"Carbon Credit Project 39 - ESP",,"2023-09-18","Sequestration","SDO.1039","2021-12-10","EMEA","ESP","Biodiversity","Household Devices","Spain",2500,30,80,1150,3,1,24,1350,750,2
"Carbon Credit Project 7 - BRA",,"2023-09-18","Reduction","SDO.107","2021-07-23","LATAM","BRA","Education","Transportation","Brazil",2500,40,90,1150,5,1,24,1350,750,1
"Carbon Credit Project 73",,"2023-09-18","Sequestration","SDO.1073","2018-01-03","EMEA","FIN","Biodiversity","Household Devices","Finland",2500,20,20,1150,4,1,24,1350,750,1
"Carbon Credit Project 10 - BRA",,"2023-09-18","Avoidance","SDO.1010","2017-07-06","LATAM","BRA","Education","Renewable Energy","Brazil",2500,20,90,1150,1,5,24,1350,750,1
"Carbon Credit Project 7 - BRA",,"2023-09-18","Reduction","SDO.107","2023-03-24","LATAM","BRA","Education","Transportation","Brazil",2500,40,90,1150,3,4,24,1350,750,1
"Carbon Credit Project 39 - ESP",,"2023-09-18","Sequestration","SDO.1039","2022-03-05","EMEA","ESP","Biodiversity","Household Devices","Spain",2500,30,90,1150,2,1,24,1350,750,2
"Carbon Credit Project 7 - BRA",,"2023-09-18","Reduction","SDO.107","2023-07-09","LATAM","BRA","Education","Transportation","Brazil",2500,40,90,1150,1,3,24,1350,750,2
"Carbon Credit Project 39 - ESP",,"2023-09-18","Sequestration","SDO.1039","2014-04-10","EMEA","ESP","Biodiversity","Household Devices","Spain",2500,30,80,1150,2,2,24,1350,750,2
"Carbon Credit Project 10 - BRA",,"2023-09-18","Avoidance","SDO.1010","2021-04-14","LATAM","BRA","Education","Renewable Energy","Brazil",2500,30,90,1150,3,1,24,1350,750,1
"Carbon Credit Project 73",,"2023-09-18","Sequestration","SDO.1073","2020-09-02","EMEA","FIN","Biodiversity","Household Devices","Finland",2500,20,20,1150,4,1,24,1350,750,1
"Carbon Credit Project 73",,"2023-09-18","Sequestration","SDO.1073","2016-11-28","EMEA","FIN","Biodiversity","Household Devices","Finland",2500,30,70,1150,1,2,24,1350,750,1
"Carbon Credit Project 7 - BRA",,"2023-09-18","Reduction","SDO.107","2018-10-07","LATAM","BRA","Education","Transportation","Brazil",2500,40,90,1150,2,1,24,1350,750,2
"Carbon Credit Project 10 - BRA",,"2023-09-18","Avoidance","SDO.1010","2020-12-22","LATAM","BRA","Education","Renewable Energy","Brazil",2500,30,90,1150,2,1,24,1350,750,1
"Carbon Credit Project 39 - ESP",,"2023-09-18","Sequestration","SDO.1039","2020-09-15","EMEA","ESP","Biodiversity","Household Devices","Spain",2500,20,90,1150,2,1,24,1350,750,1
"Carbon Credit Project 7 - BRA",,"2023-09-18","Reduction","SDO.107","2021-09-05","LATAM","BRA","Education","Transportation","Brazil",2500,30,90,1150,2,1,24,1350,750,1
"Carbon Credit Project 39 - ESP",,"2023-09-18","Sequestration","SDO.1039","2017-05-27","EMEA","ESP","Biodiversity","Household Devices","Spain",2500,20,90,1150,5,5,24,1350,750,1
"Carbon Credit Project 73",,"2023-09-18","Sequestration","SDO.1073","2016-09-25","EMEA","FIN","Biodiversity","Household Devices","Finland",2500,20,30,1150,1,2,24,1350,750,2
"Carbon Credit Project 10 - BRA",,"2023-09-18","Avoidance","SDO.1010","2020-01-21","LATAM","BRA","Education","Renewable Energy","Brazil",2500,30,90,1150,4,2,24,1350,750,1
"Carbon Credit Project 39 - ESP",,"2023-09-18","Sequestration","SDO.1039","2021-10-24","EMEA","ESP","Biodiversity","Household Devices","Spain",2500,20,90,1150,5,1,24,1350,750,1
"Carbon Credit Project 7 - BRA",,"2023-09-18","Reduction","SDO.107","2018-12-01","LATAM","BRA","Education","Transportation","Brazil",2500,40,90,1150,1,2,24,1350,750,1
"Carbon Credit Project 10 - BRA",,"2023-09-18","Avoidance","SDO.1010","2023-04-18","LATAM","BRA","Education","Renewable Energy","Brazil",2500,30,90,1150,1,4,24,1350,750,1
"Carbon Credit Project 73",,"2023-09-18","Sequestration","SDO.1073","2020-04-30","EMEA","FIN","Biodiversity","Household Devices","Finland",2500,20,50,1150,5,1,24,1350,750,1
"Carbon Credit Project 39 - ESP",,"2023-09-18","Sequestration","SDO.1039","2021-02-18","EMEA","ESP","Biodiversity","Household Devices","Spain",2500,30,90,1150,1,1,24,1350,750,1
"Carbon Credit Project 7 - BRA",,"2023-09-18","Reduction","SDO.107","2017-09-17","LATAM","BRA","Education","Transportation","Brazil",2500,30,90,1150,5,4,24,1350,750,1
"Carbon Credit Project 10 - BRA",,"2023-09-18","Avoidance","SDO.1010","2018-12-24","LATAM","BRA","Education","Renewable Energy","Brazil",2500,20,90,1150,5,1,24,1350,750,1
"Carbon Credit Project 73",,"2023-09-18","Sequestration","SDO.1073","2015-11-27","EMEA","FIN","Biodiversity","Household Devices","Finland",2500,30,20,1150,1,3,24,1350,750,1
"Carbon Credit Project 7 - BRA",,"2023-09-18","Reduction","SDO.107","2022-06-20","LATAM","BRA","Education","Transportation","Brazil",2500,30,90,1150,3,2,24,1350,750,2
"Carbon Credit Project 10 - BRA",,"2023-09-18","Avoidance","SDO.1010","2020-11-02","LATAM","BRA","Education","Renewable Energy","Brazil",2500,20,90,1150,2,1,24,1350,750,1
"Carbon Credit Project 73",,"2023-09-18","Sequestration","SDO.1073","2022-07-29","EMEA","FIN","Biodiversity","Household Devices","Finland",2500,20,30,1150,3,2,24,1350,750,1
"Carbon Credit Project 39 - ESP",,"2023-09-18","Sequestration","SDO.1039","2015-07-25","EMEA","ESP","Biodiversity","Household Devices","Spain",2500,30,90,1150,3,3,24,1350,750,2
"Carbon Credit Project 7 - BRA",,"2023-09-18","Reduction","SDO.107","2021-08-14","LATAM","BRA","Education","Transportation","Brazil",2500,40,90,1150,3,1,24,1350,750,1
