"Scope","ActivityType","LastProcessedDate","ReportDate","Allocation","AllocationCost","Emission","Carried","Purchased","NetEmission"
"Scope 2","Scope 2 Vehicle Assets - Fleet Vehicles","2023-02-24","2021-04-22",1.8,36,4.3,2.1,3.5,3.6
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2016-09-07",3.5,27.5,4.8,0.8,3.5,2.2
"Scope 3","Scope 3 Stationary Assets - Commercial Building","2023-02-24","2021-11-05",1.8,27.5,4.4,2.4,3.5,3.8
"Scope 1","Scope 1 Stationary Assets - Data Center","2023-02-24","2020-07-04",1.2,36,5,1.1,2.5,3.4
"Scope 3","Scope 3 Business Travel","2023-02-24","2022-06-29",2.1,27.5,3.9,2.4,4.5,3.2
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2017-07-08",1.8,27.5,4.2,0,3,2.7
"Scope 3","Scope 3 Business Travel","2023-02-24","2019-02-16",1.1,36,4.2,1.4,2,2.8
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2015-07-15",4,27.5,3,1.6,4,2.1
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2018-03-23",1.5,27.5,3.6,2.2,3,3.4
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2023-11-07",2.1,27.5,4.5,0.8,2.5,4.3
"Scope 2","Scope 2 Vehicle Assets - Fleet Vehicles","2023-02-24","2022-07-16",2.1,36,3.6,2.4,4.5,3.4
