"AccountId","ReportPeriod","LastProcessedDate","BusinessRegion","CountryCode3Digits","ActivitySourceType","AssetType","Asset","Country","AssetExternalId","AccountExternalId","AssetId","AccountName","AverageRisk","WaterRisk","WaterStress","AverageWithdrawal","AverageQuantifiedRisk","QuantifiedRisk","AverageConsumption","AverageDischarge","AverageStress"
,"2012-09-29","2023-09-18","AMER","USA","Third-Party Reserve","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,30,80,16041,486,20,17101,15043,40
,"2020-06-05","2023-09-18","AMER","USA","Fresh Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,60,50,16041,486,80,17101,15043,40
,"2021-05-06","2023-09-18","Africa","ZAF","Third-Party Reserve","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,70,80,288,541,90,288,403,90
,"2016-11-07","2023-09-18","AMER","USA","Ground Water - Non-Renewable","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,20,30,16041,486,20,17101,15043,40
,"2017-10-22","2023-09-18","Africa","ZAF","Reused Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,20,50,288,541,30,288,403,90
,"2020-03-07","2023-09-18","AMER","USA","Sea Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,40,40,16041,486,70,17101,15043,40
,"2020-12-14","2023-09-18","Africa","ZAF","Fresh Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,70,70,288,541,70,288,403,90
,"2019-11-03","2023-09-18","Africa","ZAF","Sea Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,60,70,288,541,50,288,403,90
,"2022-12-03","2023-09-18","AMER","USA","Sea Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,60,60,16041,486,90,17101,15043,40
,"2014-01-27","2023-09-18","AMER","USA","Ground Water - Non-Renewable","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,70,10,16041,486,10,17101,15043,40
,"2019-10-19","2023-09-18","Africa","ZAF","Fresh Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,50,70,288,541,60,288,403,90
,"2023-11-08","2023-09-18","Africa","ZAF","Reused Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,80,90,288,541,100,288,403,90
,"2015-04-20","2023-09-18","AMER","USA","Fresh Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,80,20,16041,486,40,17101,15043,40
,"2022-06-27","2023-09-18","Africa","ZAF","Fresh Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,70,90,288,541,100,288,403,90
,"2020-05-15","2023-09-18","AMER","USA","Sea Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,50,50,16041,486,70,17101,15043,40
,"2012-05-04","2023-09-18","AMER","USA","Fresh Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,80,50,16041,486,90,17101,15043,40
,"2017-11-03","2023-09-18","Africa","ZAF","Sea Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,20,60,288,541,30,288,403,90
,"2018-05-11","2023-09-18","AMER","USA","Fresh Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,40,50,16041,486,60,17101,15043,40
,"2021-01-17","2023-09-18","Africa","ZAF","Sea Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,70,80,288,541,90,288,403,90
,"2014-10-18","2023-09-18","Africa","ZAF","Ground Water - Non-Renewable","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,70,20,288,541,40,288,403,90
,"2012-06-24","2023-09-18","AMER","USA","Fresh Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,60,90,16041,486,80,17101,15043,40
,"2020-01-18","2023-09-18","AMER","USA","Ground Water - Non-Renewable","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,50,40,16041,486,70,17101,15043,40
,"2022-03-10","2023-09-18","Africa","ZAF","Reused Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,80,80,288,541,100,288,403,90
,"2013-05-24","2023-09-18","Africa","ZAF","Ground Water - Non-Renewable","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,60,20,288,541,90,288,403,90
,"2012-06-09","2023-09-18","AMER","USA","Third-Party Reserve","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,80,90,16041,486,100,17101,15043,40
,"2023-12-10","2023-09-18","Africa","ZAF","Ground Water - Non-Renewable","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,80,90,288,541,100,288,403,90
,"2020-10-15","2023-09-18","AMER","USA","Sea Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,40,50,16041,486,70,17101,15043,40
,"2022-02-13","2023-09-18","Africa","ZAF","Recycled Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,80,70,288,541,100,288,403,90
,"2017-06-26","2023-09-18","AMER","USA","Reused Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,10,30,16041,486,40,17101,15043,40
,"2023-06-06","2023-09-18","AMER","USA","Sea Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,70,60,16041,486,100,17101,15043,40
,"2014-10-29","2023-09-18","Africa","ZAF","Sea Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,70,50,288,541,70,288,403,90
,"2013-06-11","2023-09-18","Africa","ZAF","Sea Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,30,80,288,541,50,288,403,90
,"2012-01-09","2023-09-18","AMER","USA","Fresh Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,10,40,16041,486,30,17101,15043,40
,"2014-04-04","2023-09-18","AMER","USA","Ground Water - Renewable","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,50,10,16041,486,60,17101,15043,40
,"2015-07-28","2023-09-18","Africa","ZAF","Ground Water - Non-Renewable","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,30,20,288,541,20,288,403,90
,"2019-06-11","2023-09-18","AMER","USA","Fresh Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,40,40,16041,486,60,17101,15043,40
,"2016-02-06","2023-09-18","Africa","ZAF","Third-Party Reserve","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,10,50,288,541,30,288,403,90
,"2013-02-17","2023-09-18","Africa","ZAF","Ground Water - Renewable","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,80,50,288,541,40,288,403,90
,"2023-06-25","2023-09-18","AMER","USA","Ground Water - Renewable","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,70,60,16041,486,100,17101,15043,40
,"2013-02-17","2023-09-18","Africa","ZAF","Sea Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,60,60,288,541,90,288,403,90
,"2016-03-04","2023-09-18","AMER","USA","Fresh Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,10,30,16041,486,30,17101,15043,40
,"2015-06-29","2023-09-18","AMER","USA","Sea Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,70,10,16041,486,30,17101,15043,40
,"2019-04-25","2023-09-18","Africa","ZAF","Recycled Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,60,70,288,541,60,288,403,90
,"2022-07-06","2023-09-18","Africa","ZAF","Fresh Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,80,70,288,541,100,288,403,90
,"2019-06-26","2023-09-18","AMER","USA","Reused Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,50,40,16041,486,70,17101,15043,40
,"2019-05-31","2023-09-18","AMER","USA","Third-Party Reserve","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,40,40,16041,486,60,17101,15043,40
,"2020-11-02","2023-09-18","Africa","ZAF","Ground Water - Non-Renewable","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,70,70,288,541,70,288,403,90
,"2013-12-10","2023-09-18","AMER","USA","Ground Water - Non-Renewable","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,80,80,16041,486,50,17101,15043,40
,"2021-01-02","2023-09-18","Africa","ZAF","Fresh Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,70,80,288,541,90,288,403,90
,"2020-11-16","2023-09-18","AMER","USA","Sea Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,60,50,16041,486,70,17101,15043,40
,"2023-12-16","2023-09-18","Africa","ZAF","Reused Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,80,90,288,541,100,288,403,90
,"2015-05-14","2023-09-18","Africa","ZAF","Third-Party Reserve","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,70,10,288,541,100,288,403,90
,"2022-05-03","2023-09-18","AMER","USA","Ground Water - Non-Renewable","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,60,60,16041,486,90,17101,15043,40
,"2020-01-30","2023-09-18","AMER","USA","Third-Party Reserve","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,50,40,16041,486,70,17101,15043,40
,"2018-11-27","2023-09-18","Africa","ZAF","Recycled Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,40,70,288,541,40,288,403,90
,"2016-01-17","2023-09-18","AMER","USA","Sea Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,20,20,16041,486,40,17101,15043,40
,"2018-12-30","2023-09-18","Africa","ZAF","Fresh Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,30,60,288,541,40,288,403,90
,"2014-02-26","2023-09-18","Africa","ZAF","Fresh Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,20,70,288,541,70,288,403,90
,"2016-12-30","2023-09-18","AMER","USA","Ground Water - Renewable","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,10,30,16041,486,20,17101,15043,40
,"2016-03-18","2023-09-18","Africa","ZAF","Sea Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,20,60,288,541,30,288,403,90
,"2019-08-19","2023-09-18","AMER","USA","Ground Water - Renewable","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,40,40,16041,486,60,17101,15043,40
,"2015-12-04","2023-09-18","AMER","USA","Sea Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,10,30,16041,486,100,17101,15043,40
,"2017-04-20","2023-09-18","Africa","ZAF","Third-Party Reserve","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,30,60,288,541,30,288,403,90
,"2022-11-20","2023-09-18","AMER","USA","Reused Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,70,60,16041,486,90,17101,15043,40
,"2020-02-02","2023-09-18","Africa","ZAF","Third-Party Reserve","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,60,70,288,541,70,288,403,90
,"2013-03-20","2023-09-18","Africa","ZAF","Recycled Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,20,80,288,541,90,288,403,90
,"2019-11-10","2023-09-18","AMER","USA","Ground Water - Non-Renewable","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,40,40,16041,486,60,17101,15043,40
,"2017-07-19","2023-09-18","Africa","ZAF","Third-Party Reserve","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,20,60,288,541,30,288,403,90
,"2012-08-27","2023-09-18","AMER","USA","Sea Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,40,80,16041,486,80,17101,15043,40
,"2016-12-04","2023-09-18","Africa","ZAF","Ground Water - Renewable","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,10,60,288,541,20,288,403,90
,"2015-06-11","2023-09-18","AMER","USA","Recycled Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,40,20,16041,486,70,17101,15043,40
,"2018-01-27","2023-09-18","AMER","USA","Ground Water - Non-Renewable","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,20,50,16041,486,50,17101,15043,40
,"2022-02-17","2023-09-18","Africa","ZAF","Ground Water - Non-Renewable","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,80,80,288,541,100,288,403,90
,"2015-08-14","2023-09-18","AMER","USA","Reused Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,60,40,16041,486,40,17101,15043,40
,"2015-03-08","2023-09-18","Africa","ZAF","Reused Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,20,10,288,541,90,288,403,90
,"2013-11-27","2023-09-18","Africa","ZAF","Third-Party Reserve","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,40,60,288,541,80,288,403,90
,"2022-08-03","2023-09-18","AMER","USA","Fresh Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,60,60,16041,486,90,17101,15043,40
,"2020-11-08","2023-09-18","Africa","ZAF","Reused Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,60,70,288,541,80,288,403,90
,"2017-10-25","2023-09-18","AMER","USA","Ground Water - Renewable","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,20,30,16041,486,40,17101,15043,40
,"2018-11-22","2023-09-18","AMER","USA","Reused Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,30,40,16041,486,50,17101,15043,40
,"2021-09-22","2023-09-18","Africa","ZAF","Reused Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,70,80,288,541,80,288,403,90
,"2015-01-26","2023-09-18","AMER","USA","Sea Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,20,10,16041,486,20,17101,15043,40
,"2021-10-09","2023-09-18","Africa","ZAF","Recycled Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,70,80,288,541,90,288,403,90
,"2023-08-31","2023-09-18","Africa","ZAF","Third-Party Reserve","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,80,90,288,541,100,288,403,90
,"2023-01-23","2023-09-18","AMER","USA","Ground Water - Renewable","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,70,70,16041,486,100,17101,15043,40
,"2018-09-30","2023-09-18","AMER","USA","Third-Party Reserve","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,30,40,16041,486,50,17101,15043,40
,"2021-02-06","2023-09-18","Africa","ZAF","Ground Water - Renewable","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,70,80,288,541,90,288,403,90
,"2019-11-26","2023-09-18","Africa","ZAF","Sea Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,50,70,288,541,60,288,403,90
,"2014-07-31","2023-09-18","AMER","USA","Sea Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,30,70,16041,486,90,17101,15043,40
,"2012-09-07","2023-09-18","Africa","ZAF","Sea Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,10,20,288,541,10,288,403,90
,"2012-03-01","2023-09-18","AMER","USA","Third-Party Reserve","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,30,90,16041,486,50,17101,15043,40
,"2019-11-03","2023-09-18","Africa","ZAF","Third-Party Reserve","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,60,70,288,541,60,288,403,90
,"2018-11-22","2023-09-18","AMER","USA","Fresh Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,30,50,16041,486,50,17101,15043,40
,"2020-03-30","2023-09-18","AMER","USA","Third-Party Reserve","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,50,50,16041,486,70,17101,15043,40
