"Supplier_Tier","HasScoreCard","Emission_Calculation_Method","LastProcessedDate","Rank","Date","SupplierExternalId","Emissions_Reduction_Type","Reporting_Scope","SupplierId","Score_Card_Status","SBTI_Target_Status","Supplier","Location","Reported_Emissions","Procurement_Expense","ScoreCardOrder","Calculated_Emissions","Procurement_Emissions","Expense_Ratio","Contribution_to_Total_Emissions","Contribution_total_Emissions_Card","RankNro"
"Tier 1","No","None","2023-09-18","29","2023-04-24","Supplier116","1.5 °C",,"0eMB0000000Gy6RMAS",,"None","Ravenman","UK",4500,400000,,3375,228,0.00057,1,0.091295,29
"Tier 1","No","None","2023-09-18","28","2022-01-25","Supplier6","2°C",,"0eMB0000000Gy4sMAC",,"None","General Utilities","Germany",3500,15000,,2625,232,0.015467,1,0.09295,28
"Tier 1","No","None","2023-09-18","29","2022-10-16","Supplier116","1.5 °C",,"0eMB0000000Gy6RMAS",,"None","Ravenman","Germany",3500,20000,,2625,228,0.0114,1,0.091295,29
"Tier 1","No","None","2023-09-18","28","2022-05-22","Supplier6","2°C",,"0eMB0000000Gy4sMAC",,"None","General Utilities","Canada",4500,20000,,3375,232,0.0116,1,0.09295,28
"Tier 1","No","None","2023-09-18","29","2023-02-24","Supplier116","1.5 °C",,"0eMB0000000Gy6RMAS",,"None","Ravenman","Canada",4500,30000,,3375,228,0.0076,1,0.091295,29
"Tier 1","No","None","2023-09-18","28","2023-12-27","Supplier6","2°C",,"0eMB0000000Gy4sMAC",,"None","General Utilities","UK",3500,15000,,2625,232,0.015467,1,0.09295,28
"Tier 1","No","None","2023-09-18","29","2023-04-14","Supplier116","2°C",,"0eMB0000000Gy6RMAS",,"None","Ravenman","UK",3500,20000,,2625,228,0.0114,1,0.091295,29
"Tier 1","No","None","2023-09-18","28","2023-12-08","Supplier6","1.5 °C",,"0eMB0000000Gy4sMAC",,"None","General Utilities","Germany",4500,500000,,3375,232,0.000464,1,0.09295,28
"Tier 1","No","None","2023-09-18","29","2023-12-03","Supplier116","2°C",,"0eMB0000000Gy6RMAS",,"None","Ravenman","Germany",6500,300,,4875,228,0.76,1,0.091295,29
"Tier 1","No","None","2023-09-18","28","2023-05-17","Supplier6","1.5 °C",,"0eMB0000000Gy4sMAC",,"None","General Utilities","India",3500,500000,,2625,232,0.000464,1,0.09295,28
"Tier 1","No","None","2023-09-18","28","2023-06-05","Supplier6","1.5 °C",,"0eMB0000000Gy4sMAC",,"None","General Utilities","UK",4500,15000,,3375,232,0.015467,1,0.09295,28
"Tier 1","No","None","2023-09-18","29","2023-04-18","Supplier116","3°C",,"0eMB0000000Gy6RMAS",,"None","Ravenman","USA",3500,400000,,2625,228,0.00057,1,0.091295,29
"Tier 1","No","None","2023-09-18","29","2023-07-17","Supplier116","3°C",,"0eMB0000000Gy6RMAS",,"None","Ravenman","UK",6500,200,,4875,228,1.14,1,0.091295,29
"Tier 1","No","None","2023-09-18","28","2022-09-02","Supplier6","2°C",,"0eMB0000000Gy4sMAC",,"None","General Utilities","Australia",4500,150000,,3375,232,0.001547,1,0.09295,28
"Tier 1","No","None","2023-09-18","28","2023-03-19","Supplier6","2°C",,"0eMB0000000Gy4sMAC",,"None","General Utilities","Canada",5500,30000,,4125,232,0.007733,1,0.09295,28
"Tier 1","No","None","2023-09-18","29","2022-04-10","Supplier116","2°C",,"0eMB0000000Gy6RMAS",,"None","Ravenman","UK",3500,500000,,2625,228,0.000456,1,0.091295,29
"Tier 1","No","None","2023-09-18","29","2022-12-09","Supplier116","2°C",,"0eMB0000000Gy6RMAS",,"None","Ravenman","UK",6500,30000,,4875,228,0.0076,1,0.091295,29
"Tier 1","No","None","2023-09-18","28","2023-12-13","Supplier6","1.5 °C",,"0eMB0000000Gy4sMAC",,"None","General Utilities","India",4500,500000,,3375,232,0.000464,1,0.09295,28
"Tier 1","No","None","2023-09-18","28","2022-03-03","Supplier6","2°C",,"0eMB0000000Gy4sMAC",,"None","General Utilities","Canada",6500,500000,,4875,232,0.000464,1,0.09295,28
"Tier 1","No","None","2023-09-18","29","2023-06-08","Supplier116","2°C",,"0eMB0000000Gy6RMAS",,"None","Ravenman","Australia",6500,150000,,4875,228,0.00152,1,0.091295,29
"Tier 1","No","None","2023-09-18","28","2023-11-25","Supplier6","1.5 °C",,"0eMB0000000Gy4sMAC",,"None","General Utilities","India",3500,20000,,2625,232,0.0116,1,0.09295,28
"Tier 1","No","None","2023-09-18","29","2023-12-27","Supplier116","1.5 °C",,"0eMB0000000Gy6RMAS",,"None","Ravenman","Canada",5500,150000,,4125,228,0.00152,1,0.091295,29
"Tier 1","No","None","2023-09-18","29","2022-09-01","Supplier116","1.5 °C",,"0eMB0000000Gy6RMAS",,"None","Ravenman","Germany",3500,250,,2625,228,0.912,1,0.091295,29
"Tier 1","No","None","2023-09-18","28","2023-10-11","Supplier6","1.5 °C",,"0eMB0000000Gy4sMAC",,"None","General Utilities","Germany",5500,20000,,4125,232,0.0116,1,0.09295,28
"Tier 1","No","None","2023-09-18","29","2023-04-15","Supplier116","2°C",,"0eMB0000000Gy6RMAS",,"None","Ravenman","Australia",6500,150000,,4875,228,0.00152,1,0.091295,29
"Tier 1","No","None","2023-09-18","28","2022-09-03","Supplier6","1.5 °C",,"0eMB0000000Gy4sMAC",,"None","General Utilities","Germany",5500,250,,4125,232,0.928,1,0.09295,28
"Tier 1","No","None","2023-09-18","29","2022-08-09","Supplier116","3°C",,"0eMB0000000Gy6RMAS",,"None","Ravenman","Canada",6500,400000,,4875,228,0.00057,1,0.091295,29
"Tier 1","No","None","2023-09-18","28","2022-11-15","Supplier6","2°C",,"0eMB0000000Gy4sMAC",,"None","General Utilities","Australia",6500,15000,,4875,232,0.015467,1,0.09295,28
"Tier 1","No","None","2023-09-18","29","2022-02-18","Supplier116","1.5 °C",,"0eMB0000000Gy6RMAS",,"None","Ravenman","Canada",3500,400000,,2625,228,0.00057,1,0.091295,29
"Tier 1","No","None","2023-09-18","28","2022-09-08","Supplier6","3°C",,"0eMB0000000Gy4sMAC",,"None","General Utilities","Australia",5500,300,,4125,232,0.773333,1,0.09295,28
"Tier 1","No","None","2023-09-18","28","2022-12-17","Supplier6","1.5 °C",,"0eMB0000000Gy4sMAC",,"None","General Utilities","Australia",6500,15000,,4875,232,0.015467,1,0.09295,28
"Tier 1","No","None","2023-09-18","29","2022-11-22","Supplier116","1.5 °C",,"0eMB0000000Gy6RMAS",,"None","Ravenman","UK",3500,20000,,2625,228,0.0114,1,0.091295,29
"Tier 1","No","None","2023-09-18","28","2023-10-24","Supplier6","2°C",,"0eMB0000000Gy4sMAC",,"None","General Utilities","UK",4500,400000,,3375,232,0.00058,1,0.09295,28
"Tier 1","No","None","2023-09-18","29","2022-06-10","Supplier116","3°C",,"0eMB0000000Gy6RMAS",,"None","Ravenman","Canada",5500,500000,,4125,228,0.000456,1,0.091295,29
"Tier 1","No","None","2023-09-18","31","2023-12-12","Supplier96","3°C",,"0eMB0000000Gy67MAC",,"None","Monarch Motors","India",5500,500000,,4125,241,0.000482,1,0.096595,31
"Tier 1","No","None","2023-09-18","31","2023-11-21","Supplier96","1.5 °C",,"0eMB0000000Gy67MAC",,"None","Monarch Motors","USA",4500,200,,3375,241,1.205,1,0.096595,31
"Tier 1","No","None","2023-09-18","31","2022-01-07","Supplier96","2°C",,"0eMB0000000Gy67MAC",,"None","Monarch Motors","Germany",6500,500000,,4875,241,0.000482,1,0.096595,31
"Tier 1","No","None","2023-09-18","31","2022-01-31","Supplier96","3°C",,"0eMB0000000Gy67MAC",,"None","Monarch Motors","USA",5500,30000,,4125,241,0.008033,1,0.096595,31
"Tier 1","No","None","2023-09-18","31","2022-10-12","Supplier96","2°C",,"0eMB0000000Gy67MAC",,"None","Monarch Motors","Canada",4500,200,,3375,241,1.205,1,0.096595,31
"Tier 1","No","None","2023-09-18","31","2023-05-07","Supplier96","1.5 °C",,"0eMB0000000Gy67MAC",,"None","Monarch Motors","Canada",4500,200,,3375,241,1.205,1,0.096595,31
"Tier 1","No","None","2023-09-18","31","2023-07-26","Supplier96","2°C",,"0eMB0000000Gy67MAC",,"None","Monarch Motors","India",5500,250,,4125,241,0.964,1,0.096595,31
"Tier 1","No","None","2023-09-18","31","2023-07-10","Supplier96","2°C",,"0eMB0000000Gy67MAC",,"None","Monarch Motors","Germany",6500,500000,,4875,241,0.000482,1,0.096595,31
"Tier 1","No","None","2023-09-18","31","2022-03-20","Supplier96","2°C",,"0eMB0000000Gy67MAC",,"None","Monarch Motors","UK",6500,500000,,4875,241,0.000482,1,0.096595,31
"Tier 1","No","None","2023-09-18","31","2023-10-04","Supplier96","2°C",,"0eMB0000000Gy67MAC",,"None","Monarch Motors","India",4500,15000,,3375,241,0.016067,1,0.096595,31
"Tier 1","No","None","2023-09-18","31","2023-08-25","Supplier96","2°C",,"0eMB0000000Gy67MAC",,"None","Monarch Motors","Canada",5500,15000,,4125,241,0.016067,1,0.096595,31
"Tier 1","No","None","2023-09-18","31","2022-03-30","Supplier96","1.5 °C",,"0eMB0000000Gy67MAC",,"None","Monarch Motors","USA",5500,500000,,4125,241,0.000482,1,0.096595,31
"Tier 1","No","None","2023-09-18","31","2022-09-14","Supplier96","2°C",,"0eMB0000000Gy67MAC",,"None","Monarch Motors","India",6500,200,,4875,241,1.205,1,0.096595,31
"Tier 1","No","None","2023-09-18","31","2022-12-23","Supplier96","1.5 °C",,"0eMB0000000Gy67MAC",,"None","Monarch Motors","UK",6500,250,,4875,241,0.964,1,0.096595,31
"Tier 1","No","None","2023-09-18","31","2023-06-14","Supplier96","1.5 °C",,"0eMB0000000Gy67MAC",,"None","Monarch Motors","India",6500,30000,,4875,241,0.008033,1,0.096595,31
"Tier 1","No","None","2023-09-18","31","2022-01-04","Supplier96","3°C",,"0eMB0000000Gy67MAC",,"None","Monarch Motors","Canada",4500,250,,3375,241,0.964,1,0.096595,31
"Tier 1","No","None","2023-09-18","31","2022-04-22","Supplier96","2°C",,"0eMB0000000Gy67MAC",,"None","Monarch Motors","Australia",6500,150000,,4875,241,0.001607,1,0.096595,31
"Tier 1","No","None","2023-09-18","31","2023-05-20","Supplier96","1.5 °C",,"0eMB0000000Gy67MAC",,"None","Monarch Motors","UK",3500,200,,2625,241,1.205,1,0.096595,31
"Tier 1","No","None","2023-09-18","31","2023-06-18","Supplier96","2°C",,"0eMB0000000Gy67MAC",,"None","Monarch Motors","Australia",4500,500000,,3375,241,0.000482,1,0.096595,31
"Tier 1","No","None","2023-09-18","31","2023-10-12","Supplier96","2°C",,"0eMB0000000Gy67MAC",,"None","Monarch Motors","USA",6500,150000,,4875,241,0.001607,1,0.096595,31
"Tier 1","No","None","2023-09-18","31","2022-12-08","Supplier96","2°C",,"0eMB0000000Gy67MAC",,"None","Monarch Motors","Canada",4500,15000,,3375,241,0.016067,1,0.096595,31
"Tier 1","No","None","2023-09-18","31","2023-05-24","Supplier96","2°C",,"0eMB0000000Gy67MAC",,"None","Monarch Motors","USA",4500,400000,,3375,241,0.000603,1,0.096595,31
"Tier 1","No","None","2023-09-18","31","2022-04-04","Supplier96","2°C",,"0eMB0000000Gy67MAC",,"None","Monarch Motors","Australia",3500,500000,,2625,241,0.000482,1,0.096595,31
"Tier 1","No","None","2023-09-18","31","2023-06-12","Supplier96","2°C",,"0eMB0000000Gy67MAC",,"None","Monarch Motors","India",5500,15000,,4125,241,0.016067,1,0.096595,31
"Tier 1","No","None","2023-09-18","31","2022-09-02","Supplier96","1.5 °C",,"0eMB0000000Gy67MAC",,"None","Monarch Motors","USA",4500,400000,,3375,241,0.000603,1,0.096595,31
"Tier 1","No","None","2023-09-18","31","2022-12-14","Supplier96","2°C",,"0eMB0000000Gy67MAC",,"None","Monarch Motors","USA",6500,400000,,4875,241,0.000603,1,0.096595,31
"Tier 1","No","None","2023-09-18","31","2023-06-19","Supplier96","2°C",,"0eMB0000000Gy67MAC",,"None","Monarch Motors","Australia",5500,15000,,4125,241,0.016067,1,0.096595,31
"Tier 1","No","None","2023-09-18","31","2023-09-19","Supplier96","2°C",,"0eMB0000000Gy67MAC",,"None","Monarch Motors","Germany",6500,150000,,4875,241,0.001607,1,0.096595,31
"Tier 1","No","None","2023-09-18","31","2022-09-21","Supplier96","2°C",,"0eMB0000000Gy67MAC",,"None","Monarch Motors","UK",6500,150000,,4875,241,0.001607,1,0.096595,31
"Tier 1","No","None","2023-09-18","31","2022-05-24","Supplier96","1.5 °C",,"0eMB0000000Gy67MAC",,"None","Monarch Motors","Germany",6500,300,,4875,241,0.803333,1,0.096595,31
"Tier 1","No","None","2023-09-18","20","2022-03-11","Supplier124","2°C",,"0eMB0000000GyJMMA0",,"None","Carbon Broker","USA",5500,500000,,4125,233,0.000466,1,0.093395,20
"Tier 1","No","None","2023-09-18","20","2023-11-06","Supplier124","2°C",,"0eMB0000000GyJMMA0",,"None","Carbon Broker","USA",5500,20000,,4125,233,0.01165,1,0.093395,20
"Tier 1","No","None","2023-09-18","20","2023-03-15","Supplier124","2°C",,"0eMB0000000GyJMMA0",,"None","Carbon Broker","India",3500,200,,2625,233,1.165,1,0.093395,20
"Tier 1","No","None","2023-09-18","20","2023-08-11","Supplier124","1.5 °C",,"0eMB0000000GyJMMA0",,"None","Carbon Broker","Germany",6500,300,,4875,233,0.776667,1,0.093395,20
"Tier 1","No","None","2023-09-18","20","2022-02-08","Supplier124","2°C",,"0eMB0000000GyJMMA0",,"None","Carbon Broker","USA",3500,30000,,2625,233,0.007767,1,0.093395,20
"Tier 1","No","None","2023-09-18","20","2022-12-21","Supplier124","3°C",,"0eMB0000000GyJMMA0",,"None","Carbon Broker","UK",3500,20000,,2625,233,0.01165,1,0.093395,20
"Tier 1","No","None","2023-09-18","20","2022-05-26","Supplier124","2°C",,"0eMB0000000GyJMMA0",,"None","Carbon Broker","Canada",6500,200,,4875,233,1.165,1,0.093395,20
"Tier 1","No","None","2023-09-18","20","2022-11-13","Supplier124","3°C",,"0eMB0000000GyJMMA0",,"None","Carbon Broker","India",6500,250,,4875,233,0.932,1,0.093395,20
"Tier 1","No","None","2023-09-18","20","2023-11-05","Supplier124","2°C",,"0eMB0000000GyJMMA0",,"None","Carbon Broker","USA",5500,30000,,4125,233,0.007767,1,0.093395,20
"Tier 1","No","None","2023-09-18","20","2023-04-09","Supplier124","2°C",,"0eMB0000000GyJMMA0",,"None","Carbon Broker","India",5500,20000,,4125,233,0.01165,1,0.093395,20
"Tier 1","No","None","2023-09-18","20","2022-07-12","Supplier124","2°C",,"0eMB0000000GyJMMA0",,"None","Carbon Broker","Australia",4500,500000,,3375,233,0.000466,1,0.093395,20
"Tier 1","No","None","2023-09-18","20","2023-07-18","Supplier124","2°C",,"0eMB0000000GyJMMA0",,"None","Carbon Broker","Australia",4500,20000,,3375,233,0.01165,1,0.093395,20
"Tier 1","No","None","2023-09-18","20","2023-12-29","Supplier124","1.5 °C",,"0eMB0000000GyJMMA0",,"None","Carbon Broker","Canada",3500,20000,,2625,233,0.01165,1,0.093395,20
"Tier 1","No","None","2023-09-18","20","2022-07-20","Supplier124","1.5 °C",,"0eMB0000000GyJMMA0",,"None","Carbon Broker","Canada",4500,150000,,3375,233,0.001553,1,0.093395,20
"Tier 1","No","None","2023-09-18","20","2022-04-15","Supplier124","2°C",,"0eMB0000000GyJMMA0",,"None","Carbon Broker","UK",5500,400000,,4125,233,0.000583,1,0.093395,20
"Tier 1","No","None","2023-09-18","20","2023-04-02","Supplier124","2°C",,"0eMB0000000GyJMMA0",,"None","Carbon Broker","India",5500,30000,,4125,233,0.007767,1,0.093395,20
"Tier 1","No","None","2023-09-18","20","2023-07-03","Supplier124","2°C",,"0eMB0000000GyJMMA0",,"None","Carbon Broker","Germany",5500,150000,,4125,233,0.001553,1,0.093395,20
"Tier 1","No","None","2023-09-18","20","2023-03-17","Supplier124","1.5 °C",,"0eMB0000000GyJMMA0",,"None","Carbon Broker","USA",4500,15000,,3375,233,0.015533,1,0.093395,20
"Tier 1","No","None","2023-09-18","20","2022-02-07","Supplier124","2°C",,"0eMB0000000GyJMMA0",,"None","Carbon Broker","India",4500,30000,,3375,233,0.007767,1,0.093395,20
"Tier 1","No","None","2023-09-18","20","2023-01-02","Supplier124","2°C",,"0eMB0000000GyJMMA0",,"None","Carbon Broker","Canada",6500,250,,4875,233,0.932,1,0.093395,20
"Tier 1","No","None","2023-09-18","20","2022-12-31","Supplier124","2°C",,"0eMB0000000GyJMMA0",,"None","Carbon Broker","UK",3500,500000,,2625,233,0.000466,1,0.093395,20
"Tier 1","No","None","2023-09-18","20","2023-05-11","Supplier124","3°C",,"0eMB0000000GyJMMA0",,"None","Carbon Broker","Australia",6500,200,,4875,233,1.165,1,0.093395,20
"Tier 1","No","None","2023-09-18","20","2022-12-13","Supplier124","2°C",,"0eMB0000000GyJMMA0",,"None","Carbon Broker","Germany",3500,500000,,2625,233,0.000466,1,0.093395,20
"Tier 1","No","None","2023-09-18","20","2023-04-17","Supplier124","3°C",,"0eMB0000000GyJMMA0",,"None","Carbon Broker","Germany",3500,150000,,2625,233,0.001553,1,0.093395,20
"Tier 1","No","None","2023-09-18","20","2023-11-20","Supplier124","1.5 °C",,"0eMB0000000GyJMMA0",,"None","Carbon Broker","Australia",4500,15000,,3375,233,0.015533,1,0.093395,20
"Tier 1","No","None","2023-09-18","20","2023-07-23","Supplier124","2°C",,"0eMB0000000GyJMMA0",,"None","Carbon Broker","Australia",5500,15000,,4125,233,0.015533,1,0.093395,20
"Tier 1","No","None","2023-09-18","20","2023-05-29","Supplier124","2°C",,"0eMB0000000GyJMMA0",,"None","Carbon Broker","USA",6500,400000,,4875,233,0.000583,1,0.093395,20
"Tier 1","No","None","2023-09-18","20","2023-07-31","Supplier124","1.5 °C",,"0eMB0000000GyJMMA0",,"None","Carbon Broker","India",5500,250,,4125,233,0.932,1,0.093395,20
"Tier 1","No","None","2023-09-18","20","2022-01-04","Supplier124","1.5 °C",,"0eMB0000000GyJMMA0",,"None","Carbon Broker","Germany",5500,500000,,4125,233,0.000466,1,0.093395,20
"Tier 1","No","None","2023-09-18","20","2023-10-18","Supplier124","1.5 °C",,"0eMB0000000GyJMMA0",,"None","Carbon Broker","Australia",3500,300,,2625,233,0.776667,1,0.093395,20
"Tier 1","Yes","Supplier Provided","2023-09-18","3","2023-08-24","Supplier1","2°C","Scope 1 and 2","0eMB0000000Gy4bMAC","Validated","Multiple","Acme Partners","Canada",5500,400000,3,4125,249,0.000623,1,0.0995,3
"Tier 1","Yes","Supplier Provided","2023-09-18","3","2023-11-28","Supplier1","2°C","Scope 1 and 2","0eMB0000000Gy4bMAC","Complete","Multiple","Acme Partners","Australia",5500,400000,4,4125,249,0.000623,1,0.0995,3
"Tier 1","Yes","Supplier Provided","2023-09-18","3","2022-11-12","Supplier1","2°C","Scope 1 and 2","0eMB0000000Gy4bMAC","Complete","Multiple","Acme Partners","USA",3500,500000,4,2625,249,0.000498,1,0.0995,3
"Tier 1","Yes","Supplier Provided","2023-09-18","3","2023-04-09","Supplier1","1.5 °C","Scope 1 and 2","0eMB0000000Gy4bMAC","Validated","Multiple","Acme Partners","USA",4500,20000,3,3375,249,0.01245,1,0.0995,3
"Tier 1","Yes","Supplier Provided","2023-09-18","3","2022-08-27","Supplier1","2°C","Scope 1 and 2","0eMB0000000Gy4bMAC","Complete","Multiple","Acme Partners","Germany",5500,30000,4,4125,249,0.0083,1,0.0995,3
"Tier 1","Yes","Supplier Provided","2023-09-18","3","2023-02-01","Supplier1","2°C","Scope 1 and 2","0eMB0000000Gy4bMAC","Complete","Multiple","Acme Partners","UK",3500,250,4,2625,249,0.996,1,0.0995,3
"Tier 1","Yes","Supplier Provided","2023-09-18","3","2022-07-14","Supplier1","2°C","Scope 1 and 2","0eMB0000000Gy4bMAC","Validated","Multiple","Acme Partners","UK",3500,30000,3,2625,249,0.0083,1,0.0995,3
"Tier 1","Yes","Supplier Provided","2023-09-18","3","2022-08-16","Supplier1","2°C","Scope 1 and 2","0eMB0000000Gy4bMAC","Complete","Multiple","Acme Partners","USA",3500,20000,4,2625,249,0.01245,1,0.0995,3
"Tier 1","Yes","Supplier Provided","2023-09-18","3","2022-08-17","Supplier1","1.5 °C","Scope 1 and 2","0eMB0000000Gy4bMAC","Validated","Multiple","Acme Partners","USA",4500,20000,3,3375,249,0.01245,1,0.0995,3
"Tier 1","Yes","Supplier Provided","2023-09-18","3","2022-01-05","Supplier1","2°C","Scope 1 and 2","0eMB0000000Gy4bMAC","Complete","Multiple","Acme Partners","UK",3500,20000,4,2625,249,0.01245,1,0.0995,3
"Tier 1","Yes","Supplier Provided","2023-09-18","3","2023-12-30","Supplier1","1.5 °C","Scope 1 and 2","0eMB0000000Gy4bMAC","Complete","Multiple","Acme Partners","UK",4500,30000,4,3375,249,0.0083,1,0.0995,3
"Tier 1","Yes","Supplier Provided","2023-09-18","3","2023-12-13","Supplier1","2°C","Scope 1 and 2","0eMB0000000Gy4bMAC","Validated","Multiple","Acme Partners","Canada",6500,30000,3,4875,249,0.0083,1,0.0995,3
"Tier 1","Yes","Supplier Provided","2023-09-18","3","2023-10-08","Supplier1","2°C","Scope 1 and 2","0eMB0000000Gy4bMAC","Complete","Multiple","Acme Partners","India",4500,15000,4,3375,249,0.0166,1,0.0995,3
"Tier 1","Yes","Supplier Provided","2023-09-18","3","2022-06-02","Supplier1","2°C","Scope 1 and 2","0eMB0000000Gy4bMAC","Validated","Multiple","Acme Partners","UK",3500,200,3,2625,249,1.245,1,0.0995,3
"Tier 1","Yes","Supplier Provided","2023-09-18","3","2022-08-07","Supplier1","2°C","Scope 1 and 2","0eMB0000000Gy4bMAC","Complete","Multiple","Acme Partners","UK",4500,15000,4,3375,249,0.0166,1,0.0995,3
"Tier 1","Yes","Supplier Provided","2023-09-18","3","2022-02-17","Supplier1","2°C","Scope 1 and 2","0eMB0000000Gy4bMAC","Complete","Multiple","Acme Partners","USA",5500,300,4,4125,249,0.83,1,0.0995,3
"Tier 1","Yes","Supplier Provided","2023-09-18","3","2023-11-30","Supplier1","2°C","Scope 1 and 2","0eMB0000000Gy4bMAC","Validated","Multiple","Acme Partners","Germany",4500,400000,3,3375,249,0.000623,1,0.0995,3
"Tier 1","Yes","Supplier Provided","2023-09-18","3","2023-07-11","Supplier1","2°C","Scope 1 and 2","0eMB0000000Gy4bMAC","Complete","Multiple","Acme Partners","UK",6500,250,4,4875,249,0.996,1,0.0995,3
