"Supplier_Tier","HasScoreCard","Emission_Calculation_Method","Rank","Date","Emissions_Reduction_Type","Reporting_Scope","Score_Card_Status","SBTI_Target_Status","Supplier","Location","Reported_Emissions","Procurement_Expense","ScoreCardOrder","Calculated_Emissions","Procurement_Emissions","Expense_Ratio","Contribution_to_Total_Emissions","Contribution_total_Emissions_Card","RankNro"
"Tier 1","No","None","48","2021-12-12","2°C",,,"None","SoloTaxi","Canada",6500,500000,,4875,602,0.001204,1,0.240995,48
"Tier 1","No","None","37","2022-08-19","1.5 °C",,,"None","Hilton","India",6500,30000,,4875,231,0.0077,1,0.092346,37
"Tier 1","No","None","20","2021-08-02","2°C",,,"None","British Airways","UK",3500,300,,2625,233,0.776667,1,0.093395,20
"Tier 1","Yes","Spend Based","4","2022-05-17","2°C",,"New","None","Vand Enterprises, Inc.","USA",5500,15000,1,4125,243,0.0162,1,0.0971,4
"Tier 1","No","None","12","2021-04-14","1.5 °C","Scope 1 and 2",,"None","Advanced Communications","Germany",4500,200,,3375,149,0.745,1,0.0595,12
"Tier 1","No","None","46","2022-11-03","3°C",,,"None","Momentum Design","Canada",4500,250,,3375,233,0.932,1,0.093244,46
"Tier 1","No","None","41","2021-03-04","2°C",,,"None","KLM","Germany",5500,20000,,4125,236,0.0118,1,0.09454,41
"Tier 1","No","None","18","2021-12-18","1.5 °C",,,"None","Avis","USA",6500,400000,,4875,60,0.00015,1,0.02395,18
"Tier 1","No","None","45","2022-11-20","2°C",,,"None","Meridian Partners","India",3500,200,,2625,73,0.365,1,0.02936,45
"Tier 1","No","None","8","2021-02-04","2°C",,,"None","Associated Supply Co.","UK",5500,400000,,4125,81,0.000203,1,0.0322,8
"Tier 1","No","None","49","2022-07-31","2°C",,,"None","Southern Solutions","Australia",4500,20000,,3375,59,0.00295,1,0.0235,49
"Tier 1","No","None","31","2021-12-25","1.5 °C",,,"None","Good Freight Co","India",3500,15000,,2625,241,0.016067,1,0.096595,31
"Tier 1","No","None","39","2022-07-30","2°C",,,"None","IHG","Australia",6500,30000,,4875,239,0.007967,1,0.095495,39
"Tier 1","No","None","9","2021-11-22","1.5 °C",,,"None","Roseburg Products Co","Canada",4500,150000,,3375,56,0.000373,1,0.0226,9
"Tier 1","No","None","10","2022-03-20","2°C",,,"None","Red Studio Designs","USA",6500,300,,4875,54,0.18,1,0.0215,10
"Tier 1","No","None","53","2022-07-04","2°C",,,"None","UlyssesNet","UK",5500,250,,4125,75,0.3,1,0.02995,53
"Tier 1","No","None","7","2021-07-12","3°C",,,"None","Office Print & Ship Services","Germany",3500,500000,,2625,160,0.00032,1,0.0639,7
"Tier 1","No","None","21","2021-06-05","2°C","all scopes",,"None","Budget","USA",3500,30000,,2625,87,0.0029,1,0.034995,21
"Tier 1","No","None","42","2022-01-15","1.5 °C","all scopes",,"None","Laine Ltd","Australia",6500,500000,,4875,86,0.000172,1,0.0346,42
"Tier 1","Yes","Spend Based","50","2022-07-17","2°C",,"Validated","Multiple","Tech Labs","UK",5500,15000,3,4125,827,0.055133,1,0.330995,50
"Tier 1","No","None","40","2021-10-14","1.5 °C",,,"None","JetBlue","India",4500,400000,,3375,236,0.00059,1,0.094595,40
"Tier 1","No","None","5","2021-08-01","3°C",,,"None","salesforce.com","Germany",3500,250,,2625,242,0.968,1,0.0966,5
"Tier 1","No","None","35","2022-06-23","2°C",,,"None","Haven Enterprises","Canada",6500,200,,4875,241,1.205,1,0.096595,35
"Tier 1","No","None","15","2021-02-26","2°C","all scopes",,"None","Alamo","UK",5500,150000,,4125,2199,0.01466,1,0.8795,15
"Tier 1","No","None","55","2022-11-04","1.5 °C",,,"None","Valley Supply Inc.","Australia",4500,300,,3375,239,0.796667,1,0.095595,55
"Tier 1","Yes","Spend Based","1","2022-04-27","2°C",,"Validated","None","Pinnacle Partners","USA",4500,20000,3,3375,422,0.0211,1,0.1686,1
"Tier 1","No","None","52","2021-11-13","1.5 °C",,,"None","Uber","Canada",5500,20000,,4125,87,0.00435,1,0.034995,52
"Tier 1","No","None","28","2021-11-26","2°C",,,"None","General Utilities","Germany",6500,250,,4875,232,0.928,1,0.09295,28
"Tier 1","No","None","13","2022-06-28","2°C",,,"None","Air Canada","India",3500,500000,,2625,149,0.000298,1,0.0595,13
"Tier 1","No","None","22","2021-06-04","1.5 °C",,,"None","CityCab","Australia",3500,150000,,2625,234,0.00156,1,0.09343,22
"Tier 1","No","None","30","2022-11-09","2°C",,,"None","Glasgow Water","Canada",4500,200,,3375,241,1.205,1,0.09647,30
"Tier 1","No","None","38","2022-03-30","3°C",,,"None","Hyatt","UK",6500,15000,,4875,236,0.015733,1,0.09454,38
"Tier 1","Yes","Spend Based","2","2021-08-21","2°C",,"Response Recived","None","Universal Containers","India",5500,300,2,4125,403,1.343333,1,0.1613,2
"Tier 1","No","None","19","2021-10-01","1.5 °C",,,"None","Big Sky & Sons","USA",4500,30000,,3375,234,0.0078,1,0.093495,19
"Tier 1","No","None","33","2022-08-21","2°C",,,"None","Gusto Sound and Audio","Germany",5500,400000,,4125,239,0.000598,1,0.09565,33
"Tier 1","No","None","43","2022-02-08","2°C",,,"None","Lyft","UK",3500,200,,2625,236,1.18,1,0.09454,43
"Tier 1","No","None","24","2021-04-20","1.5 °C",,,"None","Delta Airlines","India",6500,15000,,4875,137,0.009133,1,0.054995,24
"Tier 1","No","None","10","2022-12-01","3°C",,,"None","Red Studio Designs","Germany",4500,20000,,3375,54,0.0027,1,0.0215,10
"Tier 1","No","None","14","2021-06-13","2°C",,,"None","Air France","Australia",3500,400000,,2625,1424,0.00356,1,0.5695,14
"Tier 1","No","None","49","2021-04-17","1.5 °C",,,"None","Southern Solutions","Canada",5500,300,,4125,59,0.196667,1,0.0235,49
"Tier 1","No","None","22","2022-04-13","2°C",,,"None","CityCab","USA",6500,250,,4875,234,0.936,1,0.09343,22
"Tier 1","No","None","26","2021-08-26","2°C",,,"None","Enterprise","UK",3500,500000,,2625,234,0.000468,1,0.093495,26
"Tier 1","No","None","43","2022-03-18","2°C",,,"None","Lyft","India",5500,30000,,4125,236,0.007867,1,0.09454,43
"Tier 1","No","None","15","2022-07-20","1.5 °C","all scopes",,"None","Alamo","Germany",6500,150000,,4875,2199,0.01466,1,0.8795,15
"Tier 1","No","None","40","2021-05-17","2°C",,,"None","JetBlue","USA",4500,250,,3375,236,0.944,1,0.094595,40
"Tier 1","Yes","Spend Based","4","2021-08-25","3°C",,"New","None","Vand Enterprises, Inc.","Canada",6500,400000,1,4875,243,0.000608,1,0.0971,4
"Tier 1","No","None","8","2022-06-17","2°C",,,"None","Associated Supply Co.","Australia",3500,500000,,2625,81,0.000162,1,0.0322,8
"Tier 1","No","None","9","2021-05-16","1.5 °C",,,"None","Roseburg Products Co","India",5500,200,,4125,56,0.28,1,0.0226,9
"Tier 1","No","None","7","2022-01-11","1.5 °C",,,"None","Office Print & Ship Services","Canada",4500,15000,,3375,160,0.010667,1,0.0639,7
"Tier 1","Yes","Spend Based","1","2022-10-14","2°C",,"Validated","None","Pinnacle Partners","Germany",4500,30000,3,3375,422,0.014067,1,0.1686,1
"Tier 1","No","None","51","2021-08-15","2°C",,,"None","Test Supplier","Australia",3500,20000,,2625,1077,0.05385,1,0.430995,51
"Tier 1","No","None","54","2022-07-13","2°C",,,"None","United Airline","UK",5500,300,,4125,75,0.25,1,0.02995,54
"Tier 1","No","None","24","2021-01-25","1.5 °C",,,"None","Delta Airlines","USA",6500,150000,,4875,137,0.000913,1,0.054995,24
"Tier 1","No","None","45","2021-02-07","2°C",,,"None","Meridian Partners","Germany",5500,30000,,4125,73,0.002433,1,0.02936,45
"Tier 1","No","None","35","2022-10-25","3°C",,,"None","Haven Enterprises","India",4500,15000,,3375,241,0.016067,1,0.096595,35
"Tier 1","No","None","33","2021-11-12","2°C",,,"None","Gusto Sound and Audio","USA",6500,250,,4875,239,0.956,1,0.09565,33
"Tier 1","No","None","29","2022-03-10","1.5 °C",,,"None","Glasgow Catering","Australia",3500,150000,,2625,228,0.00152,1,0.091295,29
"Tier 1","No","None","38","2021-07-15","2°C",,,"None","Hyatt","UK",3500,500000,,2625,236,0.000472,1,0.09454,38
"Tier 1","No","None","17","2022-04-09","2°C",,,"None","Atlas Inc","Canada",4500,200,,3375,199,0.995,1,0.0795,17
"Tier 1","No","None","37","2022-09-16","1.5 °C",,,"None","Hilton","Canada",5500,20000,,4125,231,0.01155,1,0.092346,37
"Tier 1","No","None","28","2021-01-02","2°C",,,"None","General Utilities","USA",6500,300,,4875,232,0.773333,1,0.09295,28
"Tier 1","No","None","56","2022-01-04","1.5 °C",,,"None","Xcel Energy","India",3500,400000,,2625,275,0.000688,1,0.10995,56
"Tier 1","Yes","Spend Based","2","2021-02-22","3°C",,"Response Recived","None","Universal Containers","UK",5500,15000,2,4125,403,0.026867,1,0.1613,2
"Tier 1","No","None","19","2022-04-26","2°C",,,"None","Big Sky & Sons","Germany",6500,150000,,4875,234,0.00156,1,0.093495,19
"Tier 1","Yes","Spend Based","50","2021-07-31","1.5 °C",,"Validated","Multiple","Tech Labs","Australia",4500,20000,3,3375,827,0.04135,1,0.330995,50
"Tier 1","Yes","Spend Based","6","2022-01-14","2°C",,"Complete","Multiple","Universal Services","USA",5500,300,4,4125,209,0.696667,1,0.0834,6
"Tier 1","No","None","25","2021-09-23","2°C",,,"None","Employnet","India",4500,500000,,3375,231,0.000462,1,0.092395,25
"Tier 1","No","None","16","2022-01-04","2°C","Scope 1 and 2",,"None","Allied Technologies","Australia",6500,30000,,4875,2194,0.073133,1,0.8775,16
"Tier 1","No","None","52","2021-11-13","1.5 °C",,,"None","Uber","Germany",3500,250,,2625,87,0.348,1,0.034995,52
"Tier 1","No","None","31","2021-06-25","2°C",,,"None","Good Freight Co","Canada",5500,200,,4125,241,1.205,1,0.096595,31
"Tier 1","No","None","18","2022-03-30","3°C",,,"None","Avis","UK",3500,400000,,2625,60,0.00015,1,0.02395,18
"Tier 1","No","None","34","2022-06-06","2°C",,,"None","Harmon Consulting","Germany",4500,20000,,3375,239,0.01195,1,0.095695,34
"Tier 1","No","None","47","2021-12-07","1.5 °C",,,"None","RCE, Inc.","India",6500,500000,,4875,59,0.000118,1,0.0235,47
"Tier 1","No","None","32","2022-12-16","2°C","all scopes",,"None","Green Fields Media","Australia",4500,250,,3375,241,0.964,1,0.096595,32
"Tier 1","No","None","42","2021-01-08","2°C","all scopes",,"None","Laine Ltd","UK",3500,300,,2625,86,0.286667,1,0.0346,42
"Tier 1","No","None","30","2022-04-30","1.5 °C",,,"None","Glasgow Water","Canada",5500,150000,,4125,241,0.001607,1,0.09647,30
"Tier 1","No","None","41","2021-06-05","2°C",,,"None","KLM","USA",6500,30000,,4875,236,0.007867,1,0.09454,41
"Tier 1","No","None","55","2021-04-28","3°C",,,"None","Valley Supply Inc.","Australia",5500,400000,,4125,239,0.000598,1,0.095595,55
"Tier 1","No","None","5","2022-01-01","2°C",,,"None","salesforce.com","USA",3500,200,,2625,242,1.21,1,0.0966,5
"Tier 1","No","None","23","2022-01-08","1.5 °C",,,"None","Constellation Energy","UK",6500,15000,,4875,234,0.0156,1,0.093495,23
"Tier 1","No","None","36","2021-01-22","1.5 °C",,,"None","Hertz","India",4500,20000,,3375,239,0.01195,1,0.095695,36
"Tier 1","No","None","53","2022-07-12","2°C",,,"None","UlyssesNet","Canada",3500,30000,,2625,75,0.0025,1,0.02995,53
"Tier 1","No","None","48","2021-07-06","2°C",,,"None","SoloTaxi","Germany",5500,200,,4125,602,3.01,1,0.240995,48
"Tier 1","No","None","11","2021-12-19","2°C",,,"None","ABC Woodworks","India",6500,400000,,4875,124,0.00031,1,0.0495,11
"Tier 1","No","None","12","2022-09-19","1.5 °C","Scope 1 and 2",,"None","Advanced Communications","Australia",4500,15000,,3375,149,0.009933,1,0.0595,12
"Tier 1","No","None","20","2021-03-22","2°C",,,"None","British Airways","Canada",6500,500000,,4875,233,0.000466,1,0.093395,20
"Tier 1","No","None","39","2022-01-11","3°C",,,"None","IHG","USA",3500,300,,2625,239,0.796667,1,0.095495,39
"Tier 1","No","None","46","2022-08-27","1.5 °C",,,"None","Momentum Design","UK",4500,250,,3375,233,0.932,1,0.093244,46
"Tier 1","Yes","Supplier Provided","3","2021-10-23","2°C","Scope 1 and 2","Complete","Multiple","*Acme","Germany",5500,150000,4,4125,249,0.00166,1,0.0995,3
"Tier 1","No","None","27","2021-07-09","2°C",,,"None","Five Winds Project, LLC","India",4500,30000,,3375,234,0.0078,1,0.093495,27
"Tier 1","No","None","44","2022-12-24","1.5 °C",,,"None","Marriott","Germany",6500,250,,4875,86,0.344,1,0.03436,44
"Tier 1","No","None","13","2022-04-02","2°C",,,"None","Air Canada","UK",5500,300,,4125,149,0.496667,1,0.0595,13
"Tier 1","No","None","21","2021-03-01","2°C","all scopes",,"None","Budget","USA",3500,400000,,2625,87,0.000218,1,0.034995,21
"Tier 1","No","None","33","2022-03-16","1.5 °C",,,"None","Gusto Sound and Audio","Australia",4500,150000,,3375,239,0.001593,1,0.09565,33
"Tier 1","No","None","36","2021-01-17","3°C",,,"None","Hertz","Canada",3500,20000,,2625,239,0.01195,1,0.095695,36
"Tier 1","No","None","11","2021-10-04","2°C",,,"None","ABC Woodworks","Canada",5500,15000,,4125,124,0.008267,1,0.0495,11
"Tier 1","No","None","45","2022-04-17","1.5 °C",,,"None","Meridian Partners","UK",6500,200,,4875,73,0.365,1,0.02936,45
"Tier 1","No","None","37","2022-07-26","2°C",,,"None","Hilton","Germany",3500,500000,,2625,231,0.000462,1,0.092346,37
"Tier 1","Yes","Spend Based","6","2021-07-25","2°C",,"Complete","Multiple","Universal Services","USA",6500,300,4,4875,209,0.696667,1,0.0834,6
"Tier 1","No","None","9","2022-07-31","2°C",,,"None","Roseburg Products Co","India",5500,200,,4125,56,0.28,1,0.0226,9
"Tier 1","No","None","49","2021-08-18","1.5 °C",,,"None","Southern Solutions","Australia",4500,20000,,3375,59,0.00295,1,0.0235,49
"Tier 1","No","None","15","2021-07-10","3°C","all scopes",,"None","Alamo","USA",6500,500000,,4875,2199,0.004398,1,0.8795,15
"Tier 1","No","None","40","2022-04-22","2°C",,,"None","JetBlue","Canada",4500,150000,,3375,236,0.001573,1,0.094595,40
"Tier 1","No","None","16","2021-07-02","1.5 °C","Scope 1 and 2",,"None","Allied Technologies","India",3500,250,,2625,2194,8.776,1,0.8775,16
"Tier 1","No","None","17","2022-01-24","2°C",,,"None","Atlas Inc","Australia",5500,15000,,4125,199,0.013267,1,0.0795,17
"Tier 1","No","None","22","2022-06-17","2°C",,,"None","CityCab","Germany",6500,30000,,4875,234,0.0078,1,0.09343,22
"Tier 1","No","None","39","2021-01-18","2°C",,,"None","IHG","UK",4500,400000,,3375,239,0.000598,1,0.095495,39
"Tier 1","No","None","20","2022-06-05","1.5 °C",,,"None","British Airways","Canada",5500,500000,,4125,233,0.000466,1,0.093395,20
"Tier 1","No","None","51","2021-12-08","2°C",,,"None","Test Supplier","UK",3500,250,,2625,1077,4.308,1,0.430995,51
"Tier 1","No","None","27","2022-03-26","3°C",,,"None","Five Winds Project, LLC","USA",5500,200,,4125,234,1.17,1,0.093495,27
"Tier 1","No","None","7","2021-07-17","1.5 °C",,,"None","Office Print & Ship Services","Australia",6500,400000,,4875,160,0.0004,1,0.0639,7
"Tier 1","No","None","30","2022-05-06","2°C",,,"None","Glasgow Water","India",3500,20000,,2625,241,0.01205,1,0.09647,30
"Tier 1","No","None","53","2021-08-13","2°C",,,"None","UlyssesNet","Germany",4500,30000,,3375,75,0.0025,1,0.02995,53
"Tier 1","No","None","10","2022-08-15","1.5 °C",,,"None","Red Studio Designs","UK",5500,300,,4125,54,0.18,1,0.0215,10
"Tier 1","No","None","13","2021-04-14","2°C",,,"None","Air Canada","Germany",4500,150000,,3375,149,0.000993,1,0.0595,13
"Tier 1","No","None","8","2022-09-16","2°C",,,"None","Associated Supply Co.","Canada",3500,15000,,2625,81,0.0054,1,0.0322,8
"Tier 1","Yes","Supplier Provided","3","2021-01-11","1.5 °C","Scope 1 and 2","Complete","Multiple","*Acme","USA",6500,250,4,4875,249,0.996,1,0.0995,3
"Tier 1","No","None","54","2021-08-01","3°C",,,"None","United Airline","Australia",4500,300,,3375,75,0.25,1,0.02995,54
"Tier 1","No","None","42","2022-08-24","2°C","all scopes",,"None","Laine Ltd","India",5500,20000,,4125,86,0.0043,1,0.0346,42
"Tier 1","No","None","18","2022-10-11","2°C",,,"None","Avis","UK",6500,500000,,4875,60,0.00012,1,0.02395,18
"Tier 1","Yes","Spend Based","2","2021-04-25","1.5 °C",,"Response Recived","None","Universal Containers","India",3500,150000,2,2625,403,0.002687,1,0.1613,2
"Tier 1","No","None","14","2022-03-17","2°C",,,"None","Air France","Canada",6500,15000,,4875,1424,0.094933,1,0.5695,14
"Tier 1","No","None","24","2021-05-04","1.5 °C",,,"None","Delta Airlines","USA",4500,400000,,3375,137,0.000343,1,0.054995,24
"Tier 1","No","None","34","2021-01-21","2°C",,,"None","Harmon Consulting","Germany",3500,30000,,2625,239,0.007967,1,0.095695,34
"Tier 1","No","None","41","2022-03-03","2°C",,,"None","KLM","Australia",5500,200,,4125,236,1.18,1,0.09454,41
"Tier 1","No","None","28","2021-10-29","3°C",,,"None","General Utilities","Australia",5500,20000,,4125,232,0.0116,1,0.09295,28
"Tier 1","No","None","21","2022-06-29","1.5 °C","all scopes",,"None","Budget","Germany",6500,250,,4875,87,0.348,1,0.034995,21
"Tier 1","No","None","23","2021-07-26","2°C",,,"None","Constellation Energy","USA",3500,400000,,2625,234,0.000585,1,0.093495,23
"Tier 1","No","None","47","2022-09-08","2°C",,,"None","RCE, Inc.","UK",4500,15000,,3375,59,0.003933,1,0.0235,47
"Tier 1","No","None","46","2021-10-11","1.5 °C",,,"None","Momentum Design","India",4500,200,,3375,233,1.165,1,0.093244,46
"Tier 1","No","None","38","2022-09-19","2°C",,,"None","Hyatt","Canada",6500,150000,,4875,236,0.001573,1,0.09454,38
"Tier 1","No","None","25","2022-01-29","2°C",,,"None","Employnet","Australia",5500,500000,,4125,231,0.000462,1,0.092395,25
"Tier 1","No","None","19","2021-09-14","1.5 °C",,,"None","Big Sky & Sons","UK",3500,300,,2625,234,0.78,1,0.093495,19
"Tier 1","No","None","31","2021-11-09","3°C",,,"None","Good Freight Co","Germany",5500,30000,,4125,241,0.008033,1,0.096595,31
"Tier 1","Yes","Spend Based","1","2022-05-22","2°C",,"Validated","None","Pinnacle Partners","Canada",6500,250,3,4875,422,1.688,1,0.1686,1
"Tier 1","Yes","Spend Based","4","2021-04-10","2°C",,"New","None","Vand Enterprises, Inc.","USA",3500,200,1,2625,243,1.215,1,0.0971,4
"Tier 1","No","None","43","2022-11-08","1.5 °C",,,"None","Lyft","India",4500,30000,,3375,236,0.007867,1,0.09454,43
"Tier 1","No","None","52","2022-02-14","2°C",,,"None","Uber","India",5500,15000,,4125,87,0.0058,1,0.034995,52
"Tier 1","Yes","Spend Based","50","2021-01-26","2°C",,"Validated","Multiple","Tech Labs","USA",3500,150000,3,2625,827,0.005513,1,0.330995,50
"Tier 1","No","None","26","2022-08-09","1.5 °C",,,"None","Enterprise","UK",6500,300,,4875,234,0.78,1,0.093495,26
"Tier 1","No","None","5","2021-12-06","2°C",,,"None","salesforce.com","Canada",4500,500000,,3375,242,0.000484,1,0.0966,5
"Tier 1","No","None","44","2021-06-24","3°C",,,"None","Marriott","Germany",5500,20000,,4125,86,0.0043,1,0.03436,44
"Tier 1","No","None","12","2022-10-31","1.5 °C","Scope 1 and 2",,"None","Advanced Communications","Australia",6500,400000,,4875,149,0.000373,1,0.0595,12
"Tier 1","No","None","29","2021-12-03","2°C",,,"None","Glasgow Catering","India",4500,250,,3375,228,0.912,1,0.091295,29
"Tier 1","No","None","55","2022-07-01","2°C",,,"None","Valley Supply Inc.","Germany",3500,30000,,2625,239,0.007967,1,0.095595,55
"Tier 1","No","None","48","2021-09-09","1.5 °C",,,"None","SoloTaxi","Canada",4500,15000,,3375,602,0.040133,1,0.240995,48
"Tier 1","No","None","35","2022-08-29","2°C",,,"None","Haven Enterprises","USA",5500,150000,,4125,241,0.001607,1,0.096595,35
"Tier 1","No","None","56","2021-12-02","2°C",,,"None","Xcel Energy","Australia",6500,300,,4875,275,0.916667,1,0.10995,56
"Tier 1","No","None","32","2022-08-15","1.5 °C","all scopes",,"None","Green Fields Media","UK",3500,20000,,2625,241,0.01205,1,0.096595,32
"Tier 1","No","None","48","2022-07-04","3°C",,,"None","SoloTaxi","Australia",6500,400000,,4875,602,0.001505,1,0.240995,48
"Tier 1","No","None","33","2021-11-06","2°C",,,"None","Gusto Sound and Audio","Canada",5500,500000,,4125,239,0.000478,1,0.09565,33
"Tier 1","Yes","Spend Based","1","2022-12-11","1.5 °C",,"Validated","None","Pinnacle Partners","Germany",3500,200,3,2625,422,2.11,1,0.1686,1
"Tier 1","No","None","32","2021-12-20","2°C","all scopes",,"None","Green Fields Media","USA",4500,15000,,3375,241,0.016067,1,0.096595,32
"Tier 1","No","None","34","2022-08-13","2°C",,,"None","Harmon Consulting","India",4500,150000,,3375,239,0.001593,1,0.095695,34
"Tier 1","No","None","21","2021-04-01","1.5 °C","all scopes",,"None","Budget","UK",3500,300,,2625,87,0.29,1,0.034995,21
"Tier 1","No","None","36","2022-08-26","2°C",,,"None","Hertz","Canada",6500,20000,,4875,239,0.01195,1,0.095695,36
"Tier 1","No","None","5","2021-04-29","2°C",,,"None","salesforce.com","USA",5500,200,,4125,242,1.21,1,0.0966,5
"Tier 1","No","None","35","2021-09-25","3°C",,,"None","Haven Enterprises","India",6500,250,,4875,241,0.964,1,0.096595,35
"Tier 1","No","None","23","2022-03-28","2°C",,,"None","Constellation Energy","Germany",4500,400000,,3375,234,0.000585,1,0.093495,23
"Tier 1","No","None","11","2021-06-06","1.5 °C",,,"None","ABC Woodworks","Australia",3500,30000,,2625,124,0.004133,1,0.0495,11
"Tier 1","No","None","9","2022-05-09","2°C",,,"None","Roseburg Products Co","UK",5500,500000,,4125,56,0.000112,1,0.0226,9
"Tier 1","No","None","19","2022-02-07","1.5 °C",,,"None","Big Sky & Sons","Germany",4500,150000,,3375,234,0.00156,1,0.093495,19
"Tier 1","No","None","8","2021-05-08","2°C",,,"None","Associated Supply Co.","USA",6500,500000,,4875,81,0.000162,1,0.0322,8
"Tier 1","No","None","39","2022-09-07","2°C",,,"None","IHG","UK",3500,200,,2625,239,1.195,1,0.095495,39
"Tier 1","Yes","Spend Based","50","2021-10-01","1.5 °C",,"Validated","Multiple","Tech Labs","India",5500,300,3,4125,827,2.756667,1,0.330995,50
"Tier 1","No","None","49","2021-01-27","3°C",,,"None","Southern Solutions","Canada",6500,400000,,4875,59,0.000148,1,0.0235,49
"Tier 1","No","None","46","2022-02-06","2°C",,,"None","Momentum Design","Australia",3500,250,,2625,233,0.932,1,0.093244,46
"Tier 1","No","None","38","2021-08-06","2°C",,,"None","Hyatt","Germany",5500,30000,,4125,236,0.007867,1,0.09454,38
"Tier 1","No","None","7","2022-03-16","1.5 °C",,,"None","Office Print & Ship Services","Australia",4500,15000,,3375,160,0.010667,1,0.0639,7
"Tier 1","No","None","55","2021-05-04","2°C",,,"None","Valley Supply Inc.","India",6500,20000,,4875,239,0.01195,1,0.095595,55
"Tier 1","No","None","17","2022-12-28","1.5 °C",,,"None","Atlas Inc","UK",5500,30000,,4125,199,0.006633,1,0.0795,17
"Tier 1","No","None","41","2021-08-29","2°C",,,"None","KLM","Canada",4500,300,,3375,236,0.786667,1,0.09454,41
"Tier 1","No","None","27","2022-07-15","3°C",,,"None","Five Winds Project, LLC","USA",3500,20000,,2625,234,0.0117,1,0.093495,27
"Tier 1","No","None","40","2022-04-03","2°C",,,"None","JetBlue","Canada",6500,500000,,4875,236,0.000472,1,0.094595,40
"Tier 1","No","None","30","2021-05-29","1.5 °C",,,"None","Glasgow Water","India",3500,250,,2625,241,0.964,1,0.09647,30
"Tier 1","No","None","29","2021-10-04","2°C",,,"None","Glasgow Catering","Germany",5500,150000,,4125,228,0.00152,1,0.091295,29
"Tier 1","No","None","31","2022-04-14","2°C",,,"None","Good Freight Co","USA",4500,15000,,3375,241,0.016067,1,0.096595,31
"Tier 1","No","None","54","2021-03-16","1.5 °C",,,"None","United Airline","UK",3500,200,,2625,75,0.375,1,0.02995,54
"Tier 1","No","None","47","2022-11-07","2°C",,,"None","RCE, Inc.","Australia",5500,400000,,4125,59,0.000148,1,0.0235,47
"Tier 1","No","None","13","2021-06-05","2°C",,,"None","Air Canada","Germany",4500,150000,,3375,149,0.000993,1,0.0595,13
"Tier 1","No","None","28","2022-09-18","1.5 °C",,,"None","General Utilities","USA",6500,300,,4875,232,0.773333,1,0.09295,28
