"AccountId","BusinessRegion","Asset","AssetExternalId","AccountExternalId","ReportPeriod","ActivityType","LastProcessedDate","ActivitySourceType","TreatmentMethod","AssetType","Country","AssetId","AccountName","FloorArea","WithdrawnWater","ConsumedWater","ConsumedPerDay","DischargedPerDay","EmployeeCount","WithdrawnPerDay","UnitsManufactured","DischargedWater","TreatedWater","WaterManagementCost"
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2023-08-02","Withdrawal","2023-03-24","Fresh Water","Secondary","Office","NED",,"Yubo Corporation",48500,5,98,0.27,0.95,29000,0.01,35000,346,836.64,6735
,"Africa","RDC - Cedar Data Center","SDO.008",,"2017-08-15","Discharge","2023-03-24","Reused Water","Discharge to 3rd Party w/o Treatment","Data Center","South Africa",,,48500,498,346,0.95,0.03,29000,1.36,35000,12,522.9,12840
,"EMEA","Tranquility Data Center","SDO.010",,"2012-04-07","Consumption","2023-03-24","Recycled Water","Primary","Data Center","Germany","0phB00000004MmwIAE",,21000,80,1620,4.44,0.39,17000,0.22,16000,142,6797.7,27630
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2019-12-01","Consumption","2023-03-24","Ground Water - Non-Renewable","Tertiary","Office","NED",,"Yubo Corporation",18000,498,103,0.28,0.01,10000,1.36,12000,3,941.22,9060
,"EMEA","Tranquility Data Center","SDO.010",,"2012-02-09","Withdrawal","2023-03-24","Fresh Water","Discharge to 3rd Party w/o Treatment","Data Center","Germany","0phB00000004MmwIAE",,21000,80,2000,5.48,0.4,17000,0.22,16000,146,522.9,33390
,"Africa","RDC - Cedar Data Center","SDO.008",,"2015-11-22","Discharge","2023-03-24","Reused Water","Discharge to Env w/o Treatment","Data Center","South Africa",,,28000,6,1650,4.52,0.31,15000,0.02,20000,113,1254.96,26535
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2014-02-06","Consumption","2023-03-24","Ground Water - Renewable","Discharge to Env w/o Treatment","Office","NED",,"Yubo Corporation",38500,490,103,0.28,0,29000,1.34,28500,0,1254.96,8895
,"Africa","RDC - Cedar Data Center","SDO.008",,"2016-12-05","Withdrawal","2023-03-24","Recycled Water","Discharge to 3rd Party w/o Treatment","Data Center","South Africa",,,18000,2,1600,4.38,0.15,10000,0.01,12000,54,522.9,24840
,"EMEA","Tranquility Data Center","SDO.010",,"2018-01-19","Consumption","2023-03-24","Ground Water - Non-Renewable","Primary","Data Center","Germany","0phB00000004MmwIAE",,28000,50,1760,4.82,0.41,15000,0.14,20000,149,6797.7,29385
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2014-10-25","Discharge","2023-03-24","Third-Party Reserve","Primary","Office","NED",,"Yubo Corporation",38500,498,346,0.95,0.95,29000,1.36,28500,346,6797.7,17850
,"Africa","RDC - Cedar Data Center","SDO.008",,"2016-01-30","Consumption","2023-03-24","Ground Water - Renewable","Secondary","Data Center","South Africa",,,18000,490,1167,3.2,0.34,10000,1.34,12000,123,836.64,26700
,"EMEA","Tranquility Data Center","SDO.010",,"2015-09-15","Consumption","2023-03-24","Fresh Water","Discharge to 3rd Party w/o Treatment","Data Center","Germany","0phB00000004MmwIAE",,28000,50,1580,4.33,0.28,15000,0.14,20000,103,522.9,25995
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2014-07-02","Discharge","2023-03-24","Fresh Water","Other","Office","NED",,"Yubo Corporation",38500,5,1820,4.99,0.01,29000,0.01,28500,3,104.58,27420
,"EMEA","Tranquility Data Center","SDO.010",,"2023-08-13","Discharge","2023-03-24","Reused Water","Tertiary","Data Center","Germany","0phB00000004MmwIAE",,48500,140,1700,4.66,0.37,29000,0.38,35000,134,941.22,29610
,"Africa","RDC - Cedar Data Center","SDO.008",,"2022-01-27","Withdrawal","2023-03-24","Sea Water","Secondary","Data Center","South Africa",,,18000,50,46,0.13,0.02,10000,0.14,12000,9,836.64,1575
,"EMEA","Tranquility Data Center","SDO.010",,"2015-03-24","Consumption","2023-03-24","Ground Water - Renewable","Primary","Data Center","Germany","0phB00000004MmwIAE",,28000,50,1700,4.66,0.33,15000,0.14,20000,119,6797.7,28035
,"Africa","RDC - Cedar Data Center","SDO.008",,"2019-09-02","Discharge","2023-03-24","Fresh Water","Tertiary","Data Center","South Africa",,,18000,654,1680,4.6,0.15,10000,1.79,12000,54,941.22,35820
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2023-04-08","Discharge","2023-03-24","Fresh Water","Primary","Office","NED",,"Yubo Corporation",48500,490,208,0.57,0.02,29000,1.34,35000,9,6797.7,10605
,"Africa","RDC - Cedar Data Center","SDO.008",,"2021-03-26","Consumption","2023-03-24","Ground Water - Non-Renewable","Tertiary","Data Center","South Africa",,,28000,0,376,1.03,0.01,15000,0,20000,3,941.22,5685
,"EMEA","Tranquility Data Center","SDO.010",,"2023-12-22","Discharge","2023-03-24","Reused Water","Primary","Data Center","Germany","0phB00000004MmwIAE",,48500,50,2000,5.48,0.33,29000,0.14,35000,121,6797.7,32565
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2017-07-01","Withdrawal","2023-03-24","Reused Water","Other","Office","NED",,"Yubo Corporation",48500,490,103,0.28,0.03,29000,1.34,35000,12,104.58,9075
,"EMEA","Tranquility Data Center","SDO.010",,"2012-01-27","Consumption","2023-03-24","Third-Party Reserve","Other","Data Center","Germany","0phB00000004MmwIAE",,21000,120,1720,4.71,0.32,17000,0.33,16000,118,104.58,29370
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2021-01-16","Consumption","2023-03-24","Fresh Water","Tertiary","Office","NED",,"Yubo Corporation",28000,2,376,1.03,0.03,15000,0.01,20000,12,941.22,5850
,"Africa","RDC - Cedar Data Center","SDO.008",,"2015-11-19","Discharge","2023-03-24","Third-Party Reserve","Discharge to 3rd Party w/o Treatment","Data Center","South Africa",,,28000,1200,46,0.13,0.95,15000,3.29,20000,346,522.9,23880
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2021-07-20","Consumption","2023-03-24","Third-Party Reserve","Discharge to Env w/o Treatment","Office","NED",,"Yubo Corporation",28000,490,46,0.13,0.15,15000,1.34,20000,54,1254.96,8850
,"Africa","RDC - Cedar Data Center","SDO.008",,"2019-11-09","Consumption","2023-03-24","Reused Water","Tertiary","Data Center","South Africa",,,18000,654,346,0.95,0.95,10000,1.79,12000,346,941.22,20190
,"EMEA","Tranquility Data Center","SDO.010",,"2013-04-21","Discharge","2023-03-24","Third-Party Reserve","Other","Data Center","Germany","0phB00000004MmwIAE",,12000,130,1530,4.19,0.39,19000,0.36,38500,142,104.58,27030
,"Africa","RDC - Cedar Data Center","SDO.008",,"2013-04-09","Withdrawal","2023-03-24","Ground Water - Renewable","Primary","Data Center","South Africa",,,12000,498,376,1.03,0.15,19000,1.36,38500,54,6797.7,13920
,"EMEA","Tranquility Data Center","SDO.010",,"2016-11-19","Consumption","2023-03-24","Ground Water - Renewable","Other","Data Center","Germany","0phB00000004MmwIAE",,18000,60,1820,4.99,0.37,10000,0.16,12000,136,104.58,30240
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2015-01-29","Consumption","2023-03-24","Sea Water","Primary","Office","NED",,"Yubo Corporation",28000,654,1167,3.2,0.15,15000,1.79,20000,54,6797.7,28125
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2014-12-12","Discharge","2023-03-24","Recycled Water","Other","Office","NED",,"Yubo Corporation",38500,654,1920,5.26,0.01,29000,1.79,28500,3,104.58,38655
,"EMEA","Tranquility Data Center","SDO.010",,"2021-12-01","Consumption","2023-03-24","Reused Water","Discharge to Env w/o Treatment","Data Center","Germany","0phB00000004MmwIAE",,28000,140,1650,4.52,0.38,15000,0.38,20000,140,1254.96,28950
,"Africa","RDC - Cedar Data Center","SDO.008",,"2018-01-18","Discharge","2023-03-24","Ground Water - Non-Renewable","Other","Data Center","South Africa",,,28000,1200,98,0.27,0,15000,3.29,20000,0,104.58,19470
,"Africa","RDC - Cedar Data Center","SDO.008",,"2015-10-12","Consumption","2023-03-24","Reused Water","Discharge to 3rd Party w/o Treatment","Data Center","South Africa",,,28000,654,1800,4.93,0.15,15000,1.79,20000,54,522.9,37620
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2012-08-03","Discharge","2023-03-24","Fresh Water","Secondary","Office","NED",,"Yubo Corporation",21000,0,346,0.95,0.01,17000,0,16000,3,836.64,5235
,"EMEA","Tranquility Data Center","SDO.010",,"2022-08-31","Withdrawal","2023-03-24","Recycled Water","Discharge to Env w/o Treatment","Data Center","Germany","0phB00000004MmwIAE",,18000,70,1740,4.77,0.37,10000,0.19,12000,135,1254.96,29175
,"EMEA","Tranquility Data Center","SDO.010",,"2012-08-10","Discharge","2023-03-24","Recycled Water","Discharge to 3rd Party w/o Treatment","Data Center","Germany","0phB00000004MmwIAE",,21000,100,1530,4.19,0.38,17000,0.27,16000,139,522.9,26535
,"Africa","RDC - Cedar Data Center","SDO.008",,"2014-04-25","Consumption","2023-03-24","Sea Water","Discharge to 3rd Party w/o Treatment","Data Center","South Africa",,,38500,1200,0,0,0.41,29000,3.29,28500,150,522.9,20250
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2015-06-13","Withdrawal","2023-03-24","Third-Party Reserve","Discharge to 3rd Party w/o Treatment","Office","NED",,"Yubo Corporation",28000,654,1820,4.99,0.01,15000,1.79,20000,3,522.9,37155
,"EMEA","Tranquility Data Center","SDO.010",,"2022-08-20","Discharge","2023-03-24","Ground Water - Renewable","Discharge to Env w/o Treatment","Data Center","Germany","0phB00000004MmwIAE",,18000,90,1830,5.01,0.36,10000,0.25,12000,133,1254.96,30795
,"Africa","RDC - Cedar Data Center","SDO.008",,"2019-02-01","Discharge","2023-03-24","Fresh Water","Discharge to 3rd Party w/o Treatment","Data Center","South Africa",,,18000,490,346,0.95,0.03,10000,1.34,12000,12,522.9,12720
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2012-04-04","Consumption","2023-03-24","Recycled Water","Tertiary","Office","NED",,"Yubo Corporation",21000,654,46,0.13,0,17000,1.79,16000,0,941.22,10500
,"EMEA","Tranquility Data Center","SDO.010",,"2017-04-15","Withdrawal","2023-03-24","Third-Party Reserve","Tertiary","Data Center","Germany","0phB00000004MmwIAE",,48500,110,2000,5.48,0.32,29000,0.3,35000,115,941.22,33375
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2014-06-15","Consumption","2023-03-24","Third-Party Reserve","Discharge to Env w/o Treatment","Office","NED",,"Yubo Corporation",38500,2,1990,5.45,0.03,29000,0.01,28500,12,1254.96,30060
,"Africa","RDC - Cedar Data Center","SDO.008",,"2016-02-20","Withdrawal","2023-03-24","Ground Water - Non-Renewable","Primary","Data Center","South Africa",,,18000,150,208,0.57,0.95,10000,0.41,12000,346,6797.7,10560
,"Africa","RDC - Cedar Data Center","SDO.008",,"2016-03-14","Withdrawal","2023-03-24","Ground Water - Renewable","Secondary","Data Center","South Africa",,,18000,6,0,0,0,10000,0.02,12000,0,836.64,90
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2022-06-04","Consumption","2023-03-24","Fresh Water","Discharge to 3rd Party w/o Treatment","Office","NED",,"Yubo Corporation",18000,5,46,0.13,0.01,10000,0.01,12000,3,522.9,810
,"EMEA","Tranquility Data Center","SDO.010",,"2018-09-17","Discharge","2023-03-24","Third-Party Reserve","Discharge to Env w/o Treatment","Data Center","Germany","0phB00000004MmwIAE",,28000,80,1780,4.88,0.31,15000,0.22,20000,112,1254.96,29580
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2021-04-25","Consumption","2023-03-24","Reused Water","Discharge to 3rd Party w/o Treatment","Office","NED",,"Yubo Corporation",28000,654,1167,3.2,0.03,15000,1.79,20000,12,522.9,27495
,"EMEA","Tranquility Data Center","SDO.010",,"2012-08-23","Discharge","2023-03-24","Third-Party Reserve","Secondary","Data Center","Germany","0phB00000004MmwIAE",,21000,120,1920,5.26,0.4,17000,0.33,16000,147,836.64,32805
,"Africa","RDC - Cedar Data Center","SDO.008",,"2014-12-21","Consumption","2023-03-24","Ground Water - Renewable","Tertiary","Data Center","South Africa",,,38500,1200,103,0.28,0.95,29000,3.29,28500,346,941.22,24735
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2018-08-04","Consumption","2023-03-24","Sea Water","Discharge to 3rd Party w/o Treatment","Office","NED",,"Yubo Corporation",28000,2,1167,3.2,0.02,15000,0.01,20000,9,522.9,17670
,"Africa","RDC - Cedar Data Center","SDO.008",,"2021-02-19","Consumption","2023-03-24","Fresh Water","Secondary","Data Center","South Africa",,,28000,0,0,0,0.15,15000,0,20000,54,836.64,810
,"EMEA","Tranquility Data Center","SDO.010",,"2013-09-10","Consumption","2023-03-24","Reused Water","Discharge to Env w/o Treatment","Data Center","Germany","0phB00000004MmwIAE",,12000,110,1550,4.25,0.41,19000,0.3,38500,150,1254.96,27150
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2014-01-22","Discharge","2023-03-24","Recycled Water","Secondary","Office","NED",,"Yubo Corporation",38500,6,208,0.57,0.03,29000,0.02,28500,12,836.64,3390
,"EMEA","Tranquility Data Center","SDO.010",,"2019-04-13","Consumption","2023-03-24","Third-Party Reserve","Other","Data Center","Germany","0phB00000004MmwIAE",,18000,140,1760,4.82,0.35,10000,0.38,12000,127,104.58,30405
,"Africa","RDC - Cedar Data Center","SDO.008",,"2016-08-21","Withdrawal","2023-03-24","Sea Water","Tertiary","Data Center","South Africa",,,18000,5,346,0.95,0.95,10000,0.01,12000,346,941.22,10455
,"Africa","RDC - Cedar Data Center","SDO.008",,"2021-12-28","Discharge","2023-03-24","Ground Water - Renewable","Primary","Data Center","South Africa",,,28000,654,1570,4.3,0.15,15000,1.79,20000,54,6797.7,34170
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2019-01-03","Discharge","2023-03-24","Third-Party Reserve","Tertiary","Office","NED",,"Yubo Corporation",18000,490,1167,3.2,0.95,10000,1.34,12000,346,941.22,30045
,"EMEA","Tranquility Data Center","SDO.010",,"2020-08-31","Withdrawal","2023-03-24","Fresh Water","Discharge to Env w/o Treatment","Data Center","Germany","0phB00000004MmwIAE",,48500,150,1690,4.63,0.31,29000,0.41,35000,112,1254.96,29280
,"EMEA","Tranquility Data Center","SDO.010",,"2016-03-13","Withdrawal","2023-03-24","Reused Water","Discharge to 3rd Party w/o Treatment","Data Center","Germany","0phB00000004MmwIAE",,18000,50,1580,4.33,0.29,10000,0.14,12000,107,522.9,26055
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2012-07-04","Consumption","2023-03-24","Recycled Water","Secondary","Office","NED",,"Yubo Corporation",21000,490,0,0,0.01,17000,1.34,16000,3,836.64,7395
,"Africa","RDC - Cedar Data Center","SDO.008",,"2014-01-31","Consumption","2023-03-24","Third-Party Reserve","Primary","Data Center","South Africa",,,38500,5,103,0.28,0,29000,0.01,28500,0,6797.7,1620
,"Africa","RDC - Cedar Data Center","SDO.008",,"2016-04-04","Consumption","2023-03-24","Reused Water","Tertiary","Data Center","South Africa",,,18000,1200,1167,3.2,0.01,10000,3.29,12000,3,941.22,35550
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2019-03-03","Withdrawal","2023-03-24","Ground Water - Non-Renewable","Discharge to 3rd Party w/o Treatment","Office","NED",,"Yubo Corporation",18000,654,98,0.27,0.01,10000,1.79,12000,3,522.9,11325
