"Fuel_Type","AccountId","Asset_Category","Asset","AssetExternalId","AccountExternalId","Asset_Type","CountryCode","LastProcessedDate","Date","Business_Region","AssetId","AccountName","Carbon_Inventory","Energy_Usage_kBtu_sq_ft","Electricity_Usage_Previous","Electricity_Usage_kWh_m2","Total_Energy_Consumption_kWh","Electricity_Usage_Current","Scope_3_Emissions","Annual_Energy_Intensity_Variance","Energy_Consumption_Intensity_kWh_m2","Total_Renewable_Energy_kWh","Electricity_Usage_kWh_sq_ft","Fuel_Consumption_Liters","Scope_1_Scope_2_Location_Emissions","Total_Diesel_Consumption","Non_Renewal_Resources","Energy_Emissions","Scope_1_Scope_2_Market_Emissions","Annual_Electricity_Intensity_Variance","Electricity_Cons_Intensity_kWh_m2","Total_Fuel_Oil_Consumption","Energy_Consumption","Data_Center_PUE_current","Total_Natural_Gas_consumption_kWh","Renewal_Resources","Total_Steam_Consumption","Data_Center_PUE_previous","Emissions_from_Stationary_Sources","Total_Building_Area","Energy_Usage_kBtu_m2","High_Outliers","Scope_1_Emissions_tCO2e","Fuel_Consumption_Gallons","Low_Outliers","Total_Allocation_Renewable_Energy"
"Refrigerant",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2021-11-04","Southeast Asia","0phB00000004Mn1IAE",,49,2842,400000,12,154000,250000,67688,1,4.97,55000,129,3139,34345,150000,14000000,1097,22345,10,10.02,18679,9291,34124,14498,31023124,417000,12354,15668,2368000,264,13.9,18608,829,5.9,38500
"Electricity",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","BRA","2023-09-18","2023-06-27","APAC",,,37,1830,450000,29,120000,300000,56634,21,1.05,34286,312,3560,43566,150000,17000000,1931,22345,3,2.13,19416,9505,34124,70409,35000000,419000,53423,17058,10000,170,10.9,21323,941,3.3,24000
"FuelOil",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2023-05-27","Southeast Asia","0phB00000004Mn1IAE",,45,4327,400000,26,154000,350000,76855,3,4.97,66000,280,3560,43566,123678,17000000,465,21234,7,10.02,13351,9179,45443,90733,29000000,417000,12354,93568,2133000,402,13,15000,941,4,46200
"Steam",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","IND","2023-09-18","2022-01-16","APAC",,,96,420,400000,4,154000,150000,76855,29,4.97,55000,43,3139,43566,123678,17000000,1912,34543,6,10.02,11510,5288,45443,25272,35000000,376000,12354,17210,3001000,39,12.5,18608,829,5.3,38500
"Refrigerant",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2020-07-30","Southeast Asia","0phB00000004Mn1IAE",,75,926,400000,22,154000,300000,56634,6,4.97,44000,237,3139,43566,123678,15000000,844,21234,4,10.02,12775,4521,45443,93622,29000000,440000,12454,95157,3016000,86,11.1,18608,829,1.1,30800
"Propane",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","USA","2023-09-18","2022-01-24","Southeast Asia",,,43,323,350000,26,135000,150000,76855,21,0.24,28929,280,3139,43566,123678,15000000,1987,34543,4,0.59,14740,9927,66544,65853,31023124,377000,53423,79418,2831000,30,14.3,18608,829,3.3,20250
"Heat",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","IND","2023-09-18","2020-09-07","AMER",,,67,4413,350000,21,120000,300000,67688,18,4.97,34286,226,3139,43566,150000,15000000,784,21234,8,10.02,17407,7445,66544,82383,29000000,415000,12454,8753,16000,410,13.4,21323,829,0.3,24000
"Diesel",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2021-03-03","Southeast Asia","0phB00000004Mn1IAE",,54,4230,400000,12,154000,250000,76855,23,4.97,66000,129,3560,34345,100000,17000000,420,21234,4,10.02,15022,5541,34124,49798,35000000,414000,12354,2941,2993000,393,11.7,15000,941,3.8,46200
"Electricity",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2020-10-31","Southeast Asia","0phB00000004Mn1IAE",,46,3595,400000,2,120000,350000,56634,29,4.97,34286,22,3560,23454,123678,17000000,377,22345,4,10.02,12605,6723,45443,31207,35000000,387000,12354,16784,24000,334,13.3,18608,941,4,24000
"Cooling",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","AUS","2023-09-18","2020-01-10","AMER",,,30,4790,250000,2,154000,250000,56634,11,4.19,44000,22,500,34345,100000,17000000,874,21234,9,8.45,12354,9337,45443,93518,35000000,370000,12454,88833,3358000,445,12.1,18608,132,3.9,30800
"Electricity",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2020-09-26","Southeast Asia","0phB00000004Mn1IAE",,56,1787,400000,4,120000,300000,67688,17,4.97,34286,43,500,43566,150000,17000000,1843,34543,10,10.02,16153,9890,45443,48071,29000000,377000,12454,81677,2101000,166,13.9,15000,132,4.6,24000
"Diesel",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","AUS","2023-09-18","2023-04-16","Middle East",,,86,1044,250000,12,120000,250000,56634,24,4.19,51429,129,3560,23454,150000,15000000,2203,34543,4,8.45,18190,9807,34124,65122,31023124,452000,53423,16386,24000,97,10.1,15000,941,4.1,36000
"Propane",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2021-10-12","Southeast Asia","0phB00000004Mn1IAE",,62,4359,400000,29,120000,150000,56634,23,4.97,51429,312,3560,34345,123678,17000000,907,21234,8,10.02,12163,8379,45443,68550,31023124,498000,12354,80449,2168000,405,14.5,21323,941,1.6,36000
"Cooling",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","CAN","2023-09-18","2021-12-03","Europe",,,87,3122,300000,1,154000,150000,56634,15,2.68,55000,11,500,34345,150000,15000000,573,22345,10,5.4,19660,5326,45443,77707,31023124,386000,12454,16791,16000,290,10,15000,132,4.8,38500
"Refrigerant",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","BRA","2023-09-18","2021-02-07","North America",,,50,1345,250000,21,154000,350000,56634,23,1.05,66000,226,500,43566,150000,17000000,1153,22345,9,2.13,11851,9016,34124,71232,29000000,458000,53423,15174,27000,125,13.6,15000,132,4.7,46200
"Cooling",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2021-02-07","Southeast Asia","0phB00000004Mn1IAE",,33,3358,400000,7,120000,350000,67688,11,4.97,51429,75,500,23454,150000,17000000,481,22345,3,10.02,14484,7137,45443,86914,35000000,361000,12354,70617,35000,312,14.4,15000,132,1,36000
"Diesel",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","CHN","2023-09-18","2020-05-18","Europe",,,88,2809,400000,2,135000,250000,76855,7,3.2,48214,22,3139,43566,123678,15000000,1841,21234,10,3.12,12235,4457,66544,81462,29000000,357000,53423,6328,2495000,261,10.1,15000,829,1.2,33750
"Cooling",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2023-09-28","Southeast Asia","0phB00000004Mn1IAE",,45,2196,400000,23,135000,250000,67688,30,4.97,48214,248,3560,23454,150000,14000000,1544,34543,8,10.02,10095,5883,34124,20909,35000000,488000,12354,18124,3165000,204,14.1,15000,941,3.7,33750
"FuelOil",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2020-05-30","Southeast Asia","0phB00000004Mn1IAE",,63,1302,300000,9,120000,250000,56634,11,4.97,25714,97,500,43566,100000,17000000,495,22345,10,10.02,16673,3606,66544,11369,35000000,355000,12354,71672,2883000,121,11,18608,132,5.6,18000
"Diesel",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","ARG","2023-09-18","2020-08-17","Europe",,,74,2626,400000,7,120000,350000,67688,7,0.19,25714,75,3560,23454,150000,17000000,2180,34543,8,0.37,11837,3491,34124,93272,35000000,462000,53423,15022,3117000,244,14.1,15000,941,3.6,18000
"Cooling",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","CHN","2023-09-18","2023-04-27","Southeast Asia",,,70,4004,350000,3,135000,250000,76855,26,3.2,57857,32,3560,34345,100000,15000000,471,22345,5,3.12,19431,4969,34124,84921,35000000,471000,53423,15661,21000,372,15,18608,941,0.6,40500
"Natural Gas",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2022-10-03","Southeast Asia","0phB00000004Mn1IAE",,60,3929,400000,28,120000,300000,67688,27,4.97,34286,301,3139,23454,123678,17000000,1719,34543,6,10.02,11220,6819,66544,61342,35000000,488000,53423,17640,3046000,365,10.2,15000,829,2.1,24000
"Electricity",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","MAR","2023-09-18","2020-01-23","LATAM",,,90,764,450000,21,154000,300000,56634,12,0.22,66000,226,500,23454,123678,15000000,820,21234,8,0.45,14825,8731,34124,32569,35000000,387000,53423,6070,2196000,71,12.2,15000,132,0.6,46200
"Steam",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2022-11-15","Southeast Asia","0phB00000004Mn1IAE",,31,2013,450000,27,135000,150000,56634,20,4.97,48214,291,3139,34345,123678,15000000,769,22345,7,10.02,15541,5837,34124,50300,31023124,474000,12454,86784,23000,187,10.4,18608,829,1.4,33750
"Propane",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","USA","2023-09-18","2021-10-17","EMEA",,,30,3488,350000,22,120000,250000,67688,24,0.24,34286,237,500,34345,123678,14000000,2012,21234,10,0.59,10344,3616,45443,62352,29000000,362000,12354,17455,3047000,324,11.3,18608,132,1,24000
"Steam",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2023-02-24","Southeast Asia","0phB00000004Mn1IAE",,34,1259,350000,8,135000,350000,76855,8,4.97,48214,86,3560,23454,100000,17000000,2225,22345,7,10.02,14456,3720,34124,57417,31023124,378000,12454,5657,34000,117,12.2,18608,941,5.5,33750
"Heat",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2020-08-03","Southeast Asia","0phB00000004Mn1IAE",,50,4306,350000,27,120000,300000,76855,14,4.97,42857,291,3139,34345,123678,15000000,1563,22345,10,10.02,19013,7061,66544,96682,31023124,481000,12454,94346,10000,400,13.7,15000,829,1.1,30000
"Steam",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","CHN","2023-09-18","2020-11-10","Middle East",,,66,4833,300000,18,154000,300000,67688,28,3.2,66000,194,3139,23454,100000,17000000,2029,21234,7,3.12,10325,5857,34124,93390,35000000,428000,53423,15817,2826000,449,12.2,18608,829,2.8,46200
"Steam",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2020-07-10","Southeast Asia","0phB00000004Mn1IAE",,51,3520,400000,24,154000,150000,67688,18,4.97,66000,258,3139,23454,123678,17000000,1282,34543,7,10.02,11284,4315,66544,32748,29000000,368000,12454,98732,2022000,327,12.7,21323,829,2,46200
"Steam",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","AUS","2023-09-18","2021-11-17","Southeast Asia",,,94,3692,350000,1,154000,350000,56634,28,4.19,55000,11,500,34345,150000,15000000,1692,22345,8,8.45,18259,9235,34124,46989,35000000,359000,12454,15231,2890000,343,11.2,21323,132,1.2,38500
"Heat",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2023-01-04","Southeast Asia","0phB00000004Mn1IAE",,64,2164,350000,16,154000,300000,76855,15,4.97,55000,172,3560,23454,123678,15000000,461,22345,4,10.02,18257,9268,66544,80068,35000000,433000,12354,16602,2326000,201,11.5,15000,941,3.7,38500
"Electricity",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","CHN","2023-09-18","2021-09-20","APAC",,,56,377,450000,5,120000,150000,56634,8,3.2,34286,54,3560,23454,150000,17000000,980,21234,4,3.12,18304,8921,45443,45109,29000000,368000,12354,16127,34000,35,13.3,18608,941,3.7,24000
"Cooling",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","JPN","2023-09-18","2022-08-13","ANZ",,,96,3315,350000,14,135000,250000,67688,14,2.52,57857,151,3139,43566,100000,17000000,1238,22345,9,5.15,15343,9247,45443,47679,31023124,394000,12454,4841,20000,308,10.6,21323,829,1.7,40500
"Electricity",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2021-06-11","Southeast Asia","0phB00000004Mn1IAE",,45,1636,450000,19,154000,250000,76855,12,4.97,33000,205,500,23454,150000,14000000,656,34543,7,10.02,12695,8182,66544,97169,29000000,387000,12354,18503,2861000,152,12.8,18608,132,3.2,23100
"Propane",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2021-03-07","Southeast Asia","0phB00000004Mn1IAE",,97,1044,250000,18,135000,350000,76855,6,4.97,28929,194,3560,23454,123678,14000000,1020,22345,4,10.02,18219,6098,34124,59105,35000000,427000,12454,74789,32000,97,12.1,21323,941,2.6,20250
"Propane",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","FRA","2023-09-18","2022-11-04","LATAM",,,100,3326,400000,2,154000,350000,56634,29,3.39,66000,22,3139,23454,100000,15000000,1000,22345,10,6.87,12212,9983,45443,76304,31023124,352000,53423,18496,27000,309,13.8,15000,829,2,46200
"Diesel",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2020-05-26","Southeast Asia","0phB00000004Mn1IAE",,75,1410,400000,10,154000,300000,56634,12,4.97,66000,108,500,43566,100000,15000000,549,34543,3,10.02,11891,3228,34124,74597,29000000,490000,12354,16140,12000,131,10,21323,132,4.5,46200
"Natural Gas",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","FRA","2023-09-18","2021-01-01","ANZ",,,78,3950,450000,7,154000,300000,76855,1,3.39,55000,75,500,23454,150000,17000000,633,21234,7,6.87,11365,4794,45443,48135,31023124,492000,12354,15896,13000,367,11.4,18608,132,0.4,38500
"Cooling",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","CAN","2023-09-18","2023-04-14","LATAM",,,51,1453,250000,30,154000,150000,67688,8,2.68,33000,323,3560,43566,150000,17000000,412,22345,3,5.4,12956,3802,66544,16987,35000000,460000,12354,16977,30000,135,15,21323,941,4.2,23100
"Heat",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2020-10-22","Southeast Asia","0phB00000004Mn1IAE",,88,161,350000,19,120000,150000,76855,13,4.97,51429,205,3560,43566,123678,14000000,420,21234,8,10.02,10713,6379,34124,21345,35000000,429000,53423,85639,15000,15,10.8,18608,941,2.3,36000
"Heat",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","CAN","2023-09-18","2021-02-08","EMEA",,,56,1528,300000,16,135000,250000,67688,9,2.68,28929,172,3139,43566,150000,17000000,758,22345,3,5.4,18997,5662,45443,30459,29000000,410000,12354,15626,17000,142,14.5,21323,829,1,20250
"Refrigerant",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2023-02-18","Southeast Asia","0phB00000004Mn1IAE",,38,689,400000,20,154000,150000,67688,10,4.97,44000,215,3560,34345,150000,17000000,2175,34543,10,10.02,12355,8211,34124,96877,29000000,406000,12454,78753,2797000,64,12,15000,941,5.8,30800
"Steam",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2022-01-26","Southeast Asia","0phB00000004Mn1IAE",,60,3057,350000,21,120000,350000,76855,12,4.97,51429,226,3139,34345,123678,14000000,1175,21234,10,10.02,15144,3262,34124,87256,31023124,498000,12454,73192,3103000,284,13.3,18608,829,3,36000
"Refrigerant",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","AUS","2023-09-18","2022-11-10","Europe",,,56,3897,350000,27,120000,250000,56634,24,4.19,34286,291,3139,23454,150000,17000000,1584,34543,3,8.45,18101,7627,45443,13490,31023124,429000,12354,6665,2951000,362,14.6,21323,829,0.7,24000
"Electricity",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2020-07-25","Southeast Asia","0phB00000004Mn1IAE",,69,2088,450000,12,120000,150000,67688,26,4.97,34286,129,3560,43566,123678,15000000,2004,34543,7,10.02,11175,9921,66544,79023,29000000,426000,12454,76243,2982000,194,12.7,15000,941,1.5,24000
"Heat",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","CHN","2023-09-18","2021-08-04","AMER",,,75,1636,400000,15,154000,300000,56634,4,3.2,55000,161,500,34345,150000,17000000,1435,21234,4,3.12,12212,3855,45443,15682,31023124,426000,12354,18405,15000,152,11.2,21323,132,3.6,38500
"Natural Gas",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2022-03-02","Southeast Asia","0phB00000004Mn1IAE",,85,1593,350000,23,154000,250000,67688,6,4.97,44000,248,3139,34345,123678,17000000,2083,34543,4,10.02,10315,5089,34124,78486,29000000,399000,12454,84497,3072000,148,11.5,15000,829,1.4,30800
"Electricity",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","FRA","2023-09-18","2020-08-07","North America",,,30,2745,400000,4,120000,350000,56634,1,3.39,25714,43,3139,34345,150000,14000000,964,34543,9,6.87,16024,3439,34124,59632,31023124,452000,53423,18190,15000,255,14.7,15000,829,3.4,18000
"Refrigerant",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","MAR","2023-09-18","2023-05-21","ANZ",,,45,2799,400000,29,135000,250000,76855,17,0.22,57857,312,3560,43566,150000,15000000,1025,22345,6,0.45,14889,9188,34124,55270,31023124,376000,12354,7601,2748000,260,13.9,18608,941,2.5,40500
"Steam",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2020-10-11","Southeast Asia","0phB00000004Mn1IAE",,56,1432,400000,13,135000,300000,67688,12,4.97,28929,140,3139,34345,100000,17000000,514,22345,7,10.02,19593,9029,66544,84390,31023124,360000,12354,71470,3250000,133,11,21323,829,1.8,20250
"Natural Gas",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","USA","2023-09-18","2020-03-04","South America",,,55,2917,450000,17,120000,250000,67688,13,0.24,25714,183,500,34345,123678,17000000,1812,22345,8,0.59,13481,6380,45443,45923,31023124,485000,12454,17237,2551000,271,10.1,21323,132,3.8,18000
"Heat",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2021-01-10","Southeast Asia","0phB00000004Mn1IAE",,33,1453,400000,15,135000,300000,56634,7,4.97,57857,161,3139,23454,150000,15000000,1953,34543,9,10.02,17604,6134,66544,44492,35000000,415000,53423,7991,25000,135,13.1,18608,829,2,40500
"Cooling",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","SGP","2023-09-18","2021-05-22","APAC",,,81,3853,400000,23,154000,250000,76855,4,0.42,44000,248,3139,34345,100000,17000000,1658,21234,10,0.85,10594,6548,34124,89786,29000000,427000,53423,19936,2603000,358,10.5,15000,829,2.7,30800
"Heat",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2020-07-09","Southeast Asia","0phB00000004Mn1IAE",,67,1615,350000,15,120000,250000,67688,28,4.97,51429,161,500,23454,123678,15000000,1621,22345,4,10.02,19158,7715,66544,31754,31023124,443000,12354,91498,34000,150,11.5,21323,132,5.4,36000
"Natural Gas",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","BRA","2023-09-18","2021-07-21","Europe",,,84,3584,400000,24,154000,350000,67688,20,1.05,66000,258,3139,23454,150000,17000000,841,22345,10,2.13,18480,6295,34124,14357,31023124,468000,12454,15833,26000,333,13.9,21323,829,3.6,46200
"Diesel",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2023-06-02","Southeast Asia","0phB00000004Mn1IAE",,36,947,250000,13,120000,250000,76855,10,4.97,25714,140,3560,34345,150000,17000000,533,34543,6,10.02,13066,9356,66544,94544,31023124,472000,12454,17291,3183000,88,10.2,18608,941,5.9,18000
"Cooling",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2021-08-31","Southeast Asia","0phB00000004Mn1IAE",,77,237,350000,18,135000,350000,76855,26,4.97,38571,194,3139,23454,100000,17000000,559,22345,7,10.02,13096,5044,45443,21386,35000000,450000,12354,79977,3122000,22,14.4,15000,829,3.7,27000
"Steam",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","AUS","2023-09-18","2021-09-09","South America",,,82,4585,450000,8,120000,300000,76855,28,4.19,42857,86,3139,34345,123678,14000000,2235,34543,5,8.45,14186,7198,34124,44952,29000000,373000,53423,19211,2616000,426,11,18608,829,4.9,30000
"Heat",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2021-03-13","Southeast Asia","0phB00000004Mn1IAE",,33,301,250000,13,135000,150000,67688,17,4.97,57857,140,3560,43566,150000,14000000,681,34543,9,10.02,18547,3800,45443,74729,35000000,493000,12354,86412,18000,28,13.1,21323,941,1.5,40500
"Heat",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","CAN","2023-09-18","2022-10-03","North America",,,33,2583,400000,30,154000,250000,56634,29,2.68,55000,323,3139,23454,100000,17000000,1489,21234,5,5.4,14685,4067,34124,39682,35000000,427000,12454,4819,15000,240,13,15000,829,3.7,38500
"Electricity",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","BRA","2023-09-18","2023-06-28","Southeast Asia",,,78,3337,450000,25,154000,300000,76855,10,1.05,44000,269,3560,43566,123678,15000000,723,21234,10,2.13,16133,9242,34124,58397,35000000,467000,12454,19100,2779000,310,13.9,18608,941,0.3,30800
"Electricity",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2022-08-01","Southeast Asia","0phB00000004Mn1IAE",,69,3832,450000,15,120000,150000,67688,17,4.97,25714,161,3139,34345,100000,17000000,548,22345,10,10.02,15429,6329,45443,65088,29000000,492000,12454,15890,2417000,356,14.8,21323,829,2.9,18000
