"LastProcessedDate","SpendBasedPredictedEmissionBucket","Date","SpendBasedEmissionBucket","DateBucket","Supplier_Type","Spend_Based_Emission","Qty_Based_Emission","Spend_Based_Predicted_Emission","Floor_Area","Headcount","Qty_Based_Predicted_Emission","Revenue"
"2023-09-18","Null - No Value","2018-06-09","CY-7 / 46 K Total / Employment Service 3K","5 Years Ago - 2018","Legal Services",3000,-1000,,800,600,,2300
"2023-09-18","Null - No Value","2013-01-20","CY-10 / 57 K Total / Telecommunication 8K  ","10 Years Ago - 2013","Telecommunication",8000,3000,,850,100,,1900
"2023-09-18","Null - No Value","2015-05-19","CY-8 / 78 K Total / Legal Services 12K","8 Years Ago - 2015","Legal Services",12000,7000,,800,600,,2300
"2023-09-18","Null - No Value","2016-09-09","CY-7 / 46 K Total / Other Real State 5K","7 Years Ago - 2016","Other Real Estate",5000,1000,,1600,250,,1600
"2023-09-18","Null - No Value","2017-01-04","CY-10 / 57 K Total / Business Support 10K  ","6 Years Ago - 2017","Business Support",10000,6000,,700,500,,2800
"2023-09-18","Null - No Value","2021-04-04","CY-9 / 73 K Total / Software 14K","2 Years Ago - 2021","Employment Service",14000,10000,,700,700,,700
"2023-09-18","CY+2 / 68 K Total / Software 14K","2025-01-21","NULL - No Value","2 Years Later","Software",,,14000,200,1400,10000,3000
"2023-09-18","CY+1 / 52 K Total / Data Processing 6K","2024-08-27","NULL - No Value","Next Year","Data Processing",,,6000,900,900,2000,900
"2023-09-18","CY / 62 K Total / Telecommunication 9K","2023-06-06","CY / 62 K Total / Telecommunication 9K  ","Current Year","Telecommunication",9000,5000,9000,850,100,5000,1900
"2023-09-18","Null - No Value","2014-07-18","CY-9 / 73 K Total / Employment Service 8K","9 Years Ago - 2014","Employment Service",8000,3000,,700,700,,700
"2023-09-18","Null - No Value","2017-06-17","CY-9 / 73 K Total / Business Support 12K","6 Years Ago - 2017","Business Support",12000,8000,,700,500,,2800
"2023-09-18","Null - No Value","2016-02-14","CY-7 / 46 K Total / Software 10K","7 Years Ago - 2016","Software",10000,6000,,200,1400,,3000
"2023-09-18","Null - No Value","2019-06-14","CY-4 / 72 K Total / Legal Services 11K","4 Years Ago - 2019","Legal Services",11000,7000,,800,600,,2300
"2023-09-18","CY+2 / 68 K Total / Data Processing 7K","2025-11-01","NULL - No Value","2 Years Later","Data Processing",,,7000,900,900,3000,900
"2023-09-18","Null - No Value","2013-12-20","CY-10 / 57 K Total / Other Real Estate 7K  ","10 Years Ago - 2013","Other Real Estate",7000,2000,,1600,250,,1600
"2023-09-18","Null - No Value","2015-10-19","CY-8 / 78 K Total / Other Real State 11K","8 Years Ago - 2015","Other Real Estate",11000,6000,,1600,250,,1600
"2023-09-18","Null - No Value","2020-05-22","CY-8 / 78 K Total / Telecommunication 11K","3 Years Ago - 2020","Legal Services",11000,7000,,800,600,,2300
"2023-09-18","Null - No Value","2021-11-03","CY-9 / 73 K Total / Telecommunication 10K","2 Years Ago - 2021","Telecommunication",10000,6000,,850,100,,1900
"2023-09-18","Null - No Value","2022-04-08","CY-7 / 46 K Total / Data Processing 4K","Last Year - 2022","Business Support",4000,0,,700,500,,2800
"2023-09-18","Null - No Value","2014-11-01","CY-9 / 73 K Total / Software 14K","9 Years Ago - 2014","Software",14000,9000,,200,1400,,3000
"2023-09-18","CY / 62 K Total / Data Processing 6K","2023-11-28","CY / 62 K Total / Data Processing 6K  ","Current Year","Data Processing",6000,2000,6000,900,900,2000,900
"2023-09-18","CY+1 / 52 K Total / Employment Service 5K","2024-10-10","NULL - No Value","Next Year","Employment Service",,,5000,700,700,1000,700
"2023-09-18","Null - No Value","2018-03-22","NULL - No Value","5 Years Ago - 2018","Telecommunication",,-4000,,850,100,,1900
"2023-09-18","Null - No Value","2016-07-27","CY-7 / 46 K Total / Data Processing 4K","7 Years Ago - 2016","Data Processing",4000,0,,900,900,,900
"2023-09-18","Null - No Value","2021-02-28","CY-4 / 72 K Total / Data Processing 8K","2 Years Ago - 2021","Business Support",8000,4000,,700,500,,2800
"2023-09-18","CY / 62 K Total / Other Real State 7K","2023-08-29","CY / 62 K Total / Other Real Estate 7K  ","Current Year","Other Real Estate",7000,3000,7000,1600,250,3000,1600
"2023-09-18","Null - No Value","2018-12-08","CY-7 / 46 K Total / Business Support 9K","5 Years Ago - 2018","Software",9000,5000,,200,1400,,3000
"2023-09-18","Null - No Value","2013-11-02","CY-8 / 78 K Total / Telecommunication 11K","10 Years Ago - 2013","Employment Service",11000,6000,,700,700,,700
"2023-09-18","Null - No Value","2019-06-04","CY-4 / 72 K Total / Legal Services 11K","4 Years Ago - 2019","Legal Services",11000,7000,,800,600,,2300
"2023-09-18","Null - No Value","2020-08-16","CY-9 / 73 K Total / Other Real State 9K","3 Years Ago - 2020","Software",9000,5000,,200,1400,,3000
"2023-09-18","Null - No Value","2014-01-11","CY-9 / 73 K Total / Business Support 12K","9 Years Ago - 2014","Business Support",12000,7000,,700,500,,2800
"2023-09-18","Null - No Value","2022-11-21","CY-7 / 46 K Total / Telecommunication 7K","Last Year - 2022","Telecommunication",7000,3000,,850,100,,1900
"2023-09-18","Null - No Value","2015-06-10","CY-8 / 78 K Total / Other Real State 11K","8 Years Ago - 2015","Other Real Estate",11000,6000,,1600,250,,1600
"2023-09-18","CY+1 / 52 K Total / Employment Service 5K","2024-09-16","NULL - No Value","Next Year","Employment Service",,,5000,700,700,1000,700
"2023-09-18","CY+2 / 68 K Total / Data Processing 7K","2025-05-11","NULL - No Value","2 Years Later","Data Processing",,,7000,900,900,3000,900
"2023-09-18","Null - No Value","2017-07-25","CY-7 / 46 K Total / Legal Services 8K","6 Years Ago - 2017","Legal Services",8000,4000,,800,600,,2300
"2023-09-18","Null - No Value","2021-12-15","CY-10 / 57 K Total / Software 12K  ","2 Years Ago - 2021","Business Support",12000,8000,,700,500,,2800
"2023-09-18","Null - No Value","2017-03-24","CY-4 / 72 K Total / Employment Service 7K","6 Years Ago - 2017","Other Real Estate",7000,3000,,1600,250,,1600
"2023-09-18","Null - No Value","2013-10-22","CY-9 / 73 K Total / Telecommunication 10K","10 Years Ago - 2013","Legal Services",10000,5000,,800,600,,2300
"2023-09-18","Null - No Value","2015-06-19","CY-8 / 78 K Total / Software 14K","8 Years Ago - 2015","Software",14000,9000,,200,1400,,3000
"2023-09-18","Null - No Value","2018-05-14","CY / 62 K Total / Business Support 12K  ","5 Years Ago - 2018","Employment Service",12000,8000,,700,700,,700
"2023-09-18","CY+1 / 52 K Total / Telecommunication 8K","2024-04-11","NULL - No Value","Next Year","Telecommunication",,,8000,850,100,4000,1900
"2023-09-18","Null - No Value","2016-06-09","CY-7 / 46 K Total / Data Processing 4K","7 Years Ago - 2016","Data Processing",4000,0,,900,900,,900
"2023-09-18","Null - No Value","2022-05-16","CY-4 / 72 K Total / Legal Services 11K","Last Year - 2022","Business Support",11000,7000,,700,500,,2800
"2023-09-18","CY / 62 K Total / Other Real State 7K","2023-08-08","CY / 62 K Total / Other Real Estate 7K  ","Current Year","Other Real Estate",7000,3000,7000,1600,250,3000,1600
"2023-09-18","Null - No Value","2020-07-08","CY-8 / 78 K Total / Employment Service 8K","3 Years Ago - 2020","Telecommunication",8000,4000,,850,100,,1900
"2023-09-18","CY+2 / 68 K Total / Software 14K","2025-06-05","NULL - No Value","2 Years Later","Software",,,14000,200,1400,10000,3000
"2023-09-18","Null - No Value","2019-08-09","CY-4 / 72 K Total / Data Processing 8K","4 Years Ago - 2019","Data Processing",8000,4000,,900,900,,900
"2023-09-18","Null - No Value","2014-10-11","CY-8 / 78 K Total / Telecommunication 11K","9 Years Ago - 2014","Employment Service",11000,6000,,700,700,,700
"2023-09-18","Null - No Value","2018-01-18","CY-10 / 57 K Total / Data Processing 6K  ","5 Years Ago - 2018","Legal Services",6000,2000,,800,600,,2300
"2023-09-18","Null - No Value","2016-11-22","CY-7 / 46 K Total / Legal Services 8K","7 Years Ago - 2016","Legal Services",8000,4000,,800,600,,2300
"2023-09-18","Null - No Value","2015-01-09","CY-8 / 78 K Total / Data Processing 9K","8 Years Ago - 2015","Data Processing",9000,4000,,900,900,,900
"2023-09-18","CY+1 / 52 K Total / Employment Service 5K","2024-04-22","NULL - No Value","Next Year","Employment Service",,,5000,700,700,1000,700
"2023-09-18","Null - No Value","2017-11-21","CY-8 / 78 K Total / Legal Services 12K","6 Years Ago - 2017","Business Support",12000,8000,,700,500,,2800
"2023-09-18","Null - No Value","2013-10-08","CY / 62 K Total / Telecommunication 9K  ","10 Years Ago - 2013","Telecommunication",9000,4000,,850,100,,1900
"2023-09-18","Null - No Value","2021-05-08","CY / 62 K Total / Telecommunication 9K  ","2 Years Ago - 2021","Other Real Estate",9000,5000,,1600,250,,1600
"2023-09-18","CY+2 / 68 K Total / Software 14K","2025-06-22","NULL - No Value","2 Years Later","Software",,,14000,200,1400,10000,3000
"2023-09-18","CY / 62 K Total / Data Processing 6K","2023-09-21","CY / 62 K Total / Data Processing 6K  ","Current Year","Data Processing",6000,2000,6000,900,900,2000,900
"2023-09-18","Null - No Value","2014-06-27","CY-9 / 73 K Total / Telecommunication 10K","9 Years Ago - 2014","Telecommunication",10000,5000,,850,100,,1900
"2023-09-18","Null - No Value","2022-03-21","CY-8 / 78 K Total / Data Processing 9K","Last Year - 2022","Other Real Estate",9000,5000,,1600,250,,1600
"2023-09-18","Null - No Value","2019-12-20","CY-4 / 72 K Total / Business Support 12K","4 Years Ago - 2019","Business Support",12000,8000,,700,500,,2800
"2023-09-18","Null - No Value","2020-11-25","CY-10 / 57 K Total / Employment Service 5K  ","3 Years Ago - 2020","Employment Service",5000,1000,,700,700,,700
"2023-09-18","Null - No Value","2022-12-11","CY-8 / 78 K Total / Telecommunication 11K","Last Year - 2022","Legal Services",11000,7000,,800,600,,2300
"2023-09-18","Null - No Value","2020-07-05","CY / 62 K Total / Software 13K  ","3 Years Ago - 2020","Software",13000,9000,,200,1400,,3000
"2023-09-18","CY+1 / 52 K Total / Employment Service 5K","2024-03-09","NULL - No Value","Next Year","Employment Service",,,5000,700,700,1000,700
"2023-09-18","Null - No Value","2014-03-16","CY-9 / 73 K Total / Software 14K","9 Years Ago - 2014","Software",14000,9000,,200,1400,,3000
"2023-09-18","CY / 62 K Total / Business Support 12K","2023-05-05","CY / 62 K Total / Business Support 12K  ","Current Year","Business Support",12000,8000,12000,700,500,8000,2800
"2023-09-18","Null - No Value","2021-06-16","CY-8 / 78 K Total / Software 14K","2 Years Ago - 2021","Data Processing",14000,10000,,900,900,,900
"2023-09-18","Null - No Value","2015-06-05","CY-8 / 78 K Total / Legal Services 12K","8 Years Ago - 2015","Legal Services",12000,7000,,800,600,,2300
"2023-09-18","Null - No Value","2019-01-18","CY-4 / 72 K Total / Telecommunication 11K","4 Years Ago - 2019","Telecommunication",11000,7000,,850,100,,1900
"2023-09-18","CY+2 / 68 K Total / Other Real State 6.5K","2025-05-01","NULL - No Value","2 Years Later","Other Real Estate",,,6500,1600,250,2500,1600
"2023-09-18","Null - No Value","2017-02-27","CY-10 / 57 K Total / Business Support 10K  ","6 Years Ago - 2017","Legal Services",10000,6000,,800,600,,2300
"2023-09-18","Null - No Value","2018-10-15","CY / 62 K Total / Employment Service 5K  ","5 Years Ago - 2018","Employment Service",5000,1000,,700,700,,700
"2023-09-18","Null - No Value","2016-12-31","CY-7 / 46 K Total / Business Support 9K","7 Years Ago - 2016","Business Support",9000,5000,,700,500,,2800
"2023-09-18","Null - No Value","2013-05-08","CY-10 / 57 K Total / Software 12K  ","10 Years Ago - 2013","Software",12000,7000,,200,1400,,3000
"2023-09-18","CY+2 / 68 K Total / Telecommunication 9K","2025-12-04","NULL - No Value","2 Years Later","Telecommunication",,,9000,850,100,5000,1900
"2023-09-18","Null - No Value","2019-06-26","CY-4 / 72 K Total / Data Processing 8K","4 Years Ago - 2019","Data Processing",8000,4000,,900,900,,900
"2023-09-18","CY / 62 K Total / Other Real State 7K","2023-07-30","CY / 62 K Total / Other Real Estate 7K  ","Current Year","Other Real Estate",7000,3000,7000,1600,250,3000,1600
"2023-09-18","Null - No Value","2016-11-05","CY-7 / 46 K Total / Business Support 9K","7 Years Ago - 2016","Business Support",9000,5000,,700,500,,2800
"2023-09-18","Null - No Value","2022-01-25","CY / 62 K Total / Business Support 12K  ","Last Year - 2022","Other Real Estate",12000,8000,,1600,250,,1600
"2023-09-18","Null - No Value","2017-07-25","CY-8 / 78 K Total / Employment Service 8K","6 Years Ago - 2017","Legal Services",8000,4000,,800,600,,2300
"2023-09-18","Null - No Value","2014-05-23","CY-9 / 73 K Total / Telecommunication 10K","9 Years Ago - 2014","Telecommunication",10000,5000,,850,100,,1900
"2023-09-18","Null - No Value","2015-11-07","CY-8 / 78 K Total / Employment Service 8K","8 Years Ago - 2015","Employment Service",8000,3000,,700,700,,700
"2023-09-18","Null - No Value","2013-06-18","CY / 62 K Total / Data Processing 6K  ","10 Years Ago - 2013","Data Processing",6000,1000,,900,900,,900
"2023-09-18","Null - No Value","2020-03-27","CY-7 / 46 K Total / Software 10K","3 Years Ago - 2020","Software",10000,6000,,200,1400,,3000
"2023-09-18","CY+1 / 52 K Total / Software 9K","2024-08-29","NULL - No Value","Next Year","Software",,,9000,200,1400,5000,3000
"2023-09-18","Null - No Value","2021-02-26","CY-4 / 72 K Total / Telecommunication 11K","2 Years Ago - 2021","Legal Services",11000,7000,,800,600,,2300
"2023-09-18","Null - No Value","2018-03-29","CY-7 / 46 K Total / Other Real State 5K","5 Years Ago - 2018","Telecommunication",5000,1000,,850,100,,1900
"2023-09-18","CY+1 / 52 K Total / Other Real State 7K","2024-08-30","NULL - No Value","Next Year","Other Real Estate",,,7000,1600,250,3000,1600
"2023-09-18","Null - No Value","2013-01-09","CY-8 / 78 K Total / Legal Services 12K","10 Years Ago - 2013","Data Processing",12000,7000,,900,900,,900
"2023-09-18","Null - No Value","2019-10-12","CY-4 / 72 K Total / Employment Service 7K","4 Years Ago - 2019","Employment Service",7000,3000,,700,700,,700
"2023-09-18","Null - No Value","2022-04-07","CY-7 / 46 K Total / Data Processing 4K","Last Year - 2022","Business Support",4000,0,,700,500,,2800
"2023-09-18","CY / 62 K Total / Business Support 12K","2023-06-17","CY / 62 K Total / Business Support 12K  ","Current Year","Business Support",12000,8000,12000,700,500,8000,2800
"2023-09-18","CY+2 / 68 K Total / Data Processing 7K","2025-05-29","NULL - No Value","2 Years Later","Data Processing",,,7000,900,900,3000,900
"2023-09-18","Null - No Value","2014-01-15","CY-9 / 73 K Total / Software 14K","9 Years Ago - 2014","Software",14000,9000,,200,1400,,3000
"2023-09-18","Null - No Value","2016-02-18","CY-7 / 46 K Total / Other Real State 5K","7 Years Ago - 2016","Other Real Estate",5000,1000,,1600,250,,1600
"2023-09-18","Null - No Value","2021-06-24","CY-4 / 72 K Total / Other Real State 10K","2 Years Ago - 2021","Telecommunication",10000,6000,,850,100,,1900
"2023-09-18","Null - No Value","2018-12-01","CY-7 / 46 K Total / Employment Service 3K","5 Years Ago - 2018","Employment Service",3000,-1000,,700,700,,700
"2023-09-18","Null - No Value","2017-01-26","CY-7 / 46 K Total / Legal Services 8K","6 Years Ago - 2017","Legal Services",8000,4000,,800,600,,2300
"2023-09-18","Null - No Value","2020-03-11","CY-10 / 57 K Total / Telecommunication 8K  ","3 Years Ago - 2020","Software",8000,4000,,200,1400,,3000
"2023-09-18","Null - No Value","2015-01-23","CY-8 / 78 K Total / Other Real State 11K","8 Years Ago - 2015","Other Real Estate",11000,6000,,1600,250,,1600
"2023-09-18","Null - No Value","2021-08-05","CY-4 / 72 K Total / Legal Services 11K","2 Years Ago - 2021","Data Processing",11000,7000,,900,900,,900
"2023-09-18","Null - No Value","2019-08-12","CY-4 / 72 K Total / Telecommunication 11K","4 Years Ago - 2019","Telecommunication",11000,7000,,850,100,,1900
"2023-09-18","Null - No Value","2013-05-09","CY / 62 K Total / Legal Services 10K  ","10 Years Ago - 2013","Legal Services",10000,5000,,800,600,,2300
"2023-09-18","CY / 62 K Total / Business Support 12K","2023-07-20","CY / 62 K Total / Business Support 12K  ","Current Year","Business Support",12000,8000,12000,700,500,8000,2800
"2023-09-18","Null - No Value","2014-08-01","CY-4 / 72 K Total / Telecommunication 11K","9 Years Ago - 2014","Employment Service",11000,6000,,700,700,,700
"2023-09-18","CY+1 / 52 K Total / Telecommunication 8K","2024-10-28","NULL - No Value","Next Year","Telecommunication",,,8000,850,100,4000,1900
"2023-09-18","Null - No Value","2016-02-27","CY-7 / 46 K Total / Data Processing 4K","7 Years Ago - 2016","Data Processing",4000,0,,900,900,,900
"2023-09-18","CY+2 / 68 K Total / Employment Service 6K","2025-11-24","NULL - No Value","2 Years Later","Employment Service",,,6000,700,700,2000,700
"2023-09-18","Null - No Value","2018-03-22","CY-4 / 72 K Total / Employment Service 7K","5 Years Ago - 2018","Software",7000,3000,,200,1400,,3000
"2023-09-18","Null - No Value","2017-07-08","CY-9 / 73 K Total / Telecommunication 10K","6 Years Ago - 2017","Other Real Estate",10000,6000,,1600,250,,1600
"2023-09-18","Null - No Value","2015-10-30","CY-8 / 78 K Total / Legal Services 12K","8 Years Ago - 2015","Legal Services",12000,7000,,800,600,,2300
"2023-09-18","Null - No Value","2020-07-26","CY / 62 K Total / Telecommunication 9K  ","3 Years Ago - 2020","Business Support",9000,5000,,700,500,,2800
"2023-09-18","Null - No Value","2022-02-15","NULL - No Value","Last Year - 2022","Business Support",,-4000,,700,500,,2800
"2023-09-18","CY / 62 K Total / Employment Service 5K","2023-05-16","CY / 62 K Total / Employment Service 5K  ","Current Year","Employment Service",5000,1000,5000,700,700,1000,700
"2023-09-18","CY+2 / 68 K Total / Legal Services 8.5K","2025-11-22","NULL - No Value","2 Years Later","Legal Services",,,8500,800,600,4500,2300
"2023-09-18","Null - No Value","2015-08-12","CY-8 / 78 K Total / Telecommunication 11K","8 Years Ago - 2015","Telecommunication",11000,6000,,850,100,,1900
"2023-09-18","Null - No Value","2020-01-23","CY-8 / 78 K Total / Other Real State 11K","3 Years Ago - 2020","Data Processing",11000,7000,,900,900,,900
"2023-09-18","Null - No Value","2017-08-26","CY-7 / 46 K Total / Telecommunication 7K","6 Years Ago - 2017","Software",7000,3000,,200,1400,,3000
"2023-09-18","Null - No Value","2014-07-07","CY-9 / 73 K Total / Other Real State 9K","9 Years Ago - 2014","Other Real Estate",9000,4000,,1600,250,,1600
"2023-09-18","Null - No Value","2018-02-20","CY-9 / 73 K Total / Data Processing 9K","5 Years Ago - 2018","Data Processing",9000,5000,,900,900,,900
"2023-09-18","CY+1 / 52 K Total / Employment Service 5K","2024-02-03","NULL - No Value","Next Year","Employment Service",,,5000,700,700,1000,700
"2023-09-18","Null - No Value","2013-01-19","CY / 62 K Total / Business Support 12K  ","10 Years Ago - 2013","Business Support",12000,7000,,700,500,,2800
"2023-09-18","Null - No Value","2022-01-20","CY-10 / 57 K Total / Legal Services 9K  ","Last Year - 2022","Telecommunication",9000,5000,,850,100,,1900
"2023-09-18","Null - No Value","2021-05-06","CY-10 / 57 K Total / Software 12K  ","2 Years Ago - 2021","Legal Services",12000,8000,,800,600,,2300
