"TPM__c","Discount__c","Month__c","Product","Retailer__c","Daily_Unit_Volume"
"Digital Coupon","0.1","JAN","Crypto Nutrition - Energy Bars","WaySafe",452
"BOGO","0","JAN","Crypto Nutrition - Energy Bars","Alpine Nutrition",158
"BOGO","0","JAN","Crypto Nutrition - Energy Bars","Huge Store",99
"BOGO","0","JAN","Crypto Nutrition - Energy Bars","Sanesberry",194
"BOGO","0","JAN","Crypto Nutrition - Energy Bars","Nutrition Stop",152
"Digital Coupon","0","JAN","Crypto Nutrition - Energy Bars","Rondel",101
"BOGO","0","JAN","Crypto Nutrition - Energy Bars","Fine Goods",88
"Digital Coupon","0","JAN","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",105
"BOGO","0","JAN","Crypto Nutrition - Energy Bars","Fare Merchants",118
"Digital Coupon","0","JAN","Crypto Nutrition - Energy Bars","Sure Store",133
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","WaySafe",82
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Alpine Nutrition",88
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Huge Store",140
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Sanesberry",71
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Nutrition Stop",69
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Rondel",83
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Fine Goods",76
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",144
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Fare Merchants",174
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Sure Store",23
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","WaySafe",18
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Alpine Nutrition",19
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Huge Store",38
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Sanesberry",57
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Nutrition Stop",44
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Rondel",30
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Fine Goods",36
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",42
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Fare Merchants",60
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Sure Store",28
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","WaySafe",36
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Alpine Nutrition",104
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Huge Store",52
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Sanesberry",13
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Nutrition Stop",53
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Rondel",52
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Fine Goods",53
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",359
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Fare Merchants",262
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Sure Store",708
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","WaySafe",367
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Alpine Nutrition",533
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Huge Store",300
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Sanesberry",438
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Nutrition Stop",461
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Rondel",520
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Fine Goods",288
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",223
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Fare Merchants",331
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Sure Store",299
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","WaySafe",305
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Alpine Nutrition",315
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Huge Store",306
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Sanesberry",206
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Nutrition Stop",217
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","Rondel",173
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","Fine Goods",204
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",225
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","Fare Merchants",271
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","Sure Store",223
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","WaySafe",264
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","Alpine Nutrition",284
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","Huge Store",137
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","Sanesberry",155
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","Nutrition Stop",38
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","Rondel",39
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",76
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","Fare Merchants",39
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","Sure Store",50
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","WaySafe",39
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","Alpine Nutrition",36
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","Huge Store",82
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","Sanesberry",109
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Nutrition Stop",108
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Rondel",70
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Fine Goods",92
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",89
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Fare Merchants",300
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Sure Store",279
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","WaySafe",243
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Alpine Nutrition",144
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Huge Store",74
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Sanesberry",417
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Nutrition Stop",519
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Rondel",937
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Fine Goods",677
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",259
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Fare Merchants",233
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Sure Store",312
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","WaySafe",337
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Alpine Nutrition",403
"BOGO","0","JAN","Crypto Nutrition - Energy Bars","Huge Store",116
"BOGO","0","JAN","Crypto Nutrition - Energy Bars","Sanesberry",160
"BOGO","0","JAN","Crypto Nutrition - Energy Bars","Nutrition Stop",147
"BOGO","0","JAN","Crypto Nutrition - Energy Bars","Rondel",181
"BOGO","0","JAN","Crypto Nutrition - Energy Bars","Fine Goods",97
"BOGO","0","JAN","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",88
"BOGO","0","JAN","Crypto Nutrition - Energy Bars","Fare Merchants",124
"BOGO","0","JAN","Crypto Nutrition - Energy Bars","Sure Store",147
"BOGO","0","JAN","Crypto Nutrition - Energy Bars","WaySafe",128
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Alpine Nutrition",104
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Huge Store",94
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Sanesberry",126
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Nutrition Stop",107
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Rondel",66
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Fine Goods",80
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",83
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Fare Merchants",154
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Sure Store",102
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","WaySafe",35
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Alpine Nutrition",9
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Huge Store",13
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Sanesberry",33
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Nutrition Stop",20
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Rondel",49
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Fine Goods",53
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",26
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Fare Merchants",42
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Sure Store",37
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","WaySafe",15
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Alpine Nutrition",31
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Huge Store",69
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Sanesberry",64
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Nutrition Stop",16
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Rondel",88
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Fine Goods",88
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",97
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Fare Merchants",557
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Sure Store",295
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","WaySafe",408
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Alpine Nutrition",484
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Huge Store",371
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Sanesberry",305
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Nutrition Stop",436
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Rondel",491
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Fine Goods",673
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",284
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Fare Merchants",289
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Sure Store",312
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","WaySafe",275
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Alpine Nutrition",236
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Huge Store",320
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Sanesberry",298
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Nutrition Stop",209
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Rondel",222
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","Fine Goods",203
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",175
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","Fare Merchants",267
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","Sure Store",224
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","WaySafe",212
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","Alpine Nutrition",196
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","Huge Store",273
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","Sanesberry",147
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","Nutrition Stop",179
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","Rondel",37
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","Fine Goods",37
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",58
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","Fare Merchants",58
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","Sure Store",60
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","WaySafe",52
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","Alpine Nutrition",61
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","Huge Store",95
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","Sanesberry",70
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Nutrition Stop",85
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Rondel",70
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Fine Goods",107
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",96
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Fare Merchants",231
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Sure Store",277
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","WaySafe",251
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Alpine Nutrition",131
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Huge Store",138
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Sanesberry",571
"Digital Coupon","0.1","JAN","Crypto Nutrition - Energy Bars","Nutrition Stop",416
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Rondel",891
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Fine Goods",772
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",407
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Fare Merchants",364
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Sure Store",325
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","WaySafe",262
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Alpine Nutrition",471
"BOGO","0","JAN","Crypto Nutrition - Energy Bars","Huge Store",127
"BOGO","0","JAN","Crypto Nutrition - Energy Bars","Sanesberry",160
"Digital Coupon","0","JAN","Crypto Nutrition - Energy Bars","Nutrition Stop",140
"BOGO","0","JAN","Crypto Nutrition - Energy Bars","Rondel",193
"BOGO","0","JAN","Crypto Nutrition - Energy Bars","Fine Goods",77
"BOGO","0","JAN","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",85
"BOGO","0","JAN","Crypto Nutrition - Energy Bars","Fare Merchants",111
"BOGO","0","JAN","Crypto Nutrition - Energy Bars","Sure Store",134
"BOGO","0","JAN","Crypto Nutrition - Energy Bars","WaySafe",124
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Alpine Nutrition",91
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Huge Store",77
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Sanesberry",126
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Nutrition Stop",46
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Rondel",69
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Fine Goods",83
"Digital Coupon","0.1","JAN","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",85
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Fare Merchants",134
"Digital Coupon","0.1","JAN","Crypto Nutrition - Energy Bars","Sure Store",161
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","WaySafe",21
"Digital Coupon","0.05","JAN","Crypto Nutrition - Energy Bars","Alpine Nutrition",20
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Huge Store",26
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Sanesberry",38
"Digital Coupon","0.05","JAN","Crypto Nutrition - Energy Bars","Nutrition Stop",39
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Rondel",36
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Fine Goods",55
"Digital Coupon","0.05","JAN","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",29
"Digital Coupon","0.05","JAN","Crypto Nutrition - Energy Bars","Fare Merchants",42
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Sure Store",63
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","WaySafe",22
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Alpine Nutrition",35
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Huge Store",63
"Digital Coupon","0.05","JAN","Crypto Nutrition - Energy Bars","Sanesberry",57
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Nutrition Stop",31
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Rondel",92
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Fine Goods",92
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",60
"BOGO","0.05","JAN","Crypto Nutrition - Energy Bars","Fare Merchants",522
"Digital Coupon","0.1","JAN","Crypto Nutrition - Energy Bars","Sure Store",287
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","WaySafe",617
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Alpine Nutrition",340
"Digital Coupon","0.1","JAN","Crypto Nutrition - Energy Bars","Huge Store",360
"Digital Coupon","0.1","JAN","Crypto Nutrition - Energy Bars","Sanesberry",274
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Nutrition Stop",605
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Rondel",494
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Fine Goods",575
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",323
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Fare Merchants",230
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Sure Store",324
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","WaySafe",343
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Alpine Nutrition",258
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Huge Store",243
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Sanesberry",307
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Nutrition Stop",193
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Rondel",199
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","Fine Goods",227
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",164
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","Fare Merchants",290
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","Sure Store",260
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","WaySafe",244
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","Alpine Nutrition",214
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","Huge Store",281
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","Sanesberry",144
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","Nutrition Stop",179
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","Rondel",50
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","Fine Goods",44
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",61
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","Fare Merchants",41
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","Sure Store",60
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","WaySafe",36
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","Alpine Nutrition",54
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","Huge Store",98
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","Sanesberry",66
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Nutrition Stop",117
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Rondel",59
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Fine Goods",89
"BOGO","0.1","FEB","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",89
"BOGO","0.1","FEB","Crypto Nutrition - Energy Bars","Fare Merchants",272
"BOGO","0.1","FEB","Crypto Nutrition - Energy Bars","Sure Store",209
"BOGO","0.1","FEB","Crypto Nutrition - Energy Bars","WaySafe",241
"BOGO","0.1","FEB","Crypto Nutrition - Energy Bars","Alpine Nutrition",134
"BOGO","0.1","FEB","Crypto Nutrition - Energy Bars","Huge Store",151
"BOGO","0.1","FEB","Crypto Nutrition - Energy Bars","Sanesberry",469
"BOGO","0.1","FEB","Crypto Nutrition - Energy Bars","Nutrition Stop",541
"BOGO","0.1","FEB","Crypto Nutrition - Energy Bars","Rondel",514
"BOGO","0.1","FEB","Crypto Nutrition - Energy Bars","Fine Goods",858
"BOGO","0.1","FEB","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",308
"BOGO","0.1","FEB","Crypto Nutrition - Energy Bars","Fare Merchants",186
"BOGO","0.1","FEB","Crypto Nutrition - Energy Bars","Sure Store",279
"BOGO","0.1","FEB","Crypto Nutrition - Energy Bars","WaySafe",275
"BOGO","0.1","FEB","Crypto Nutrition - Energy Bars","Alpine Nutrition",438
"BOGO","0","FEB","Crypto Nutrition - Energy Bars","Huge Store",151
"BOGO","0","FEB","Crypto Nutrition - Energy Bars","Sanesberry",109
"BOGO","0","FEB","Crypto Nutrition - Energy Bars","Nutrition Stop",152
"BOGO","0","FEB","Crypto Nutrition - Energy Bars","Rondel",180
"BOGO","0","FEB","Crypto Nutrition - Energy Bars","Fine Goods",99
"BOGO","0","FEB","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",59
"BOGO","0","FEB","Crypto Nutrition - Energy Bars","Fare Merchants",101
"BOGO","0","FEB","Crypto Nutrition - Energy Bars","Sure Store",121
"BOGO","0","FEB","Crypto Nutrition - Energy Bars","WaySafe",138
"BOGO","0.1","FEB","Crypto Nutrition - Energy Bars","Alpine Nutrition",88
"BOGO","0.1","FEB","Crypto Nutrition - Energy Bars","Huge Store",112
"BOGO","0.1","FEB","Crypto Nutrition - Energy Bars","Sanesberry",112
"BOGO","0.1","FEB","Crypto Nutrition - Energy Bars","Nutrition Stop",73
"BOGO","0.1","FEB","Crypto Nutrition - Energy Bars","Rondel",79
"BOGO","0.1","FEB","Crypto Nutrition - Energy Bars","Fine Goods",65
"BOGO","0.1","FEB","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",70
"BOGO","0.1","FEB","Crypto Nutrition - Energy Bars","Fare Merchants",160
"BOGO","0.1","FEB","Crypto Nutrition - Energy Bars","Sure Store",102
"BOGO","0.05","FEB","Crypto Nutrition - Energy Bars","WaySafe",30
