Status,UniqueUserName,Account_ID,LastProcessedDate,Quote_ID,Account_Created_Date,Quote_Number,CreatedDate,Account_Name,Opportunity_ID,Quote_Name,Effective_Quote_Total,Days_Presented,Quote_Margin_Total,Days_To_Quote
Draft,Isabel Bozzo,001B000001MSDp6IAH,2021-06-24,0Q04x0000009i3zCAA,2021-03-17,00000398,2021-06-24,Arrow Electronics,0064x000006Ltj6AAC,AE +29 Mobile subscribers with hand sets,0,0,0,2
Approved,Isabel Bozzo,001B000001MSDp3IAH,2021-06-24,0Q04x0000009YdaCAE,2021-03-17,00000276,2021-03-29,Evercore,0064x000006LxrIAAS,E 100 subscribers,17640,0,33,0
Accepted,Isabel Bozzo,001B000001MSDqEIAX,2021-06-24,0Q04x0000009YspCAE,2021-04-01,00000279,2021-04-03,World Fuel Data,0064x000006M02jAAC,WFD 20 Broadband Data Services,2000,0,19,0
Presented,Isabel Bozzo,001B000001MSDp7IAH,2021-06-24,0Q0B0000000c6wiKAA,2021-03-18,00000289,2021-04-03,Valero Energy,0064x000006LssLAAS,VE Employee Mobile Subscribers,3360,2,23,0
In Review,Isabel Bozzo,001B000001MSDoCIAX,2021-06-24,0Q04x0000009doeCAA,2021-03-10,00000338,2021-05-01,Renner Realty,0064x000006NUzvAAG,RR WAN,6500,0,19,0
In Review,Isabel Bozzo,001B000001MSDp5IAH,2021-06-24,0Q04x0000009h3ACAQ,2021-03-17,00000375,2021-06-05,Simon Property Group,0064x000006OMmdAAG,SP +10 Broadband Locations,3000,0,27,0
Presented,Isabel Bozzo,001B000001MSDp4IAH,2021-06-24,0Q04x0000009hNZCAY,2021-03-17,00000387,2021-06-10,Air Lease,0064x000006NeI4AAK,AL +20 Broadband,25000,2,18,0
Presented,Isabel Bozzo,001B000001MSDp8IAH,2021-06-24,0Q04x0000009hNeCAI,2021-03-18,00000389,2021-06-10,Humana,0064x000006NETLAA4,Hu 1300 Mobile subscribers,32900,2,17,0
Accepted,Isabel Bozzo,001B000001MSDoCIAX,2021-06-24,0Q04x0000009doQCAQ,2021-03-10,00000336,2021-05-01,Renner Realty,0064x000006NUzbAAG,RR 300 Subscribers,8840,0,234,0
Accepted,Isabel Bozzo,001B000001MSDoFIAX,2021-06-24,0Q04x0000009dpcCAA,2021-03-10,00000345,2021-05-02,Dooley Books,0064x000006NVb2AAG,DB Plus 10 Internet,2500,0,18,0
Presented,Isabel Bozzo,001B000001MSDoCIAX,2021-06-24,0Q04x0000009eULCAY,2021-03-10,00000356,2021-05-06,Renner Realty,0064x000006Na44AAC,RR + 12 Mobile subscribers,8400,2,15,0
Approved,Isabel Bozzo,001B000001MSDpBIAX,2021-06-24,0Q04x0000009eaiCAA,2021-03-18,00000361,2021-05-07,Boston Scientific,0064x000006NbspAAC,BS Test draft quotes for Boston Scientific,0,0,29,0
Accepted,Isabel Bozzo,001B000001MSDp9IAH,2021-06-24,0Q04x0000009doyCAA,2021-03-18,00000340,2021-05-01,AbbVie,0064x000006NV1hAAG,AV 200 Mobile Subscription,0,0,39,0
Accepted,Isabel Bozzo,001B000001MSDp4IAH,2021-06-24,0Q04x0000009eUfCAI,2021-03-17,00000358,2021-05-06,Air Lease,0064x000006NQCGAA4,AL VPN,6000,0,16,0
Denied,Isabel Bozzo,001B000001MSDoAIAX,2021-06-24,0Q04x0000009WnECAU,2021-03-10,00000238,2021-03-12,Ledner Construction,0064x000006LbZSAA0,LC 17 Mobile subscribers,0,0,0,0
Approved,Isabel Bozzo,001B000001MSDoBIAX,2021-06-24,0Q04x0000009YIcCAM,2021-03-10,00000265,2021-03-24,Stamon Equipment,0064x000006LuJEAA0,S 25 Internet,0,0,29,0
Accepted,Isabel Bozzo,001B000001MSDpAIAX,2021-06-24,0Q04x0000009bURCAY,2021-03-18,00000304,2021-04-20,Aramark,0064x000006NERUAA4,Ara Internet with VPN,5000,0,25,0
Presented,Isabel Bozzo,001B000001MSDp7IAH,2021-06-24,0Q0B0000000c6xMKAQ,2021-03-18,00000322,2021-04-30,Valero Energy,0064x000006NTWxAAO,VE Mobile +20 Subscribers,40940,3,27,0
Presented,Isabel Bozzo,001B000001MSDp3IAH,2021-06-24,0Q0B0000000c6xHKAQ,2021-03-17,00000348,2021-05-02,Evercore,0064x000006NVbCAAW,Ev 30 Internet and Firewall,5000,6,46,0
Presented,Isabel Bozzo,001B000001MSDp5IAH,2021-06-24,0Q04x0000009dprCAA,2021-03-17,00000351,2021-05-02,Simon Property Group,0064x000006NEOGAA4,SP Group 30 mobile sub,10500,1,12,0
Accepted,Isabel Bozzo,001B000001MSDp8IAH,2021-06-24,0Q04x0000009enNCAQ,2021-03-18,00000363,2021-05-09,Humana,0064x000006NeIEAA0,Hu 13 Broadband,3250,0,20,0
Draft,Isabel Bozzo,001B000001MSDntIAH,2021-06-24,0Q0B0000000c6wdKAA,2021-02-10,00000381,2021-06-06,Frost Inc.,0064x000006NV1NAAW,Fr 300 Subscribers,0,0,13,6
In Review,Isabel Bozzo,001B000001MSDqEIAX,2021-06-24,0Q04x0000009YtJCAU,2021-04-01,00000284,2021-04-03,World Fuel Data,0064x000006M2W2AAK,WFD Subscribers,20800,0,21,0
In Review,Isabel Bozzo,001B000001MSDoDIAX,2021-06-24,0Q04x0000009dq6CAA,2021-03-10,00000355,2021-05-02,Rice Accounting,0064x000006NVbvAAG,RA 15 Broadband Locations,4000,0,24,0
Accepted,Isabel Bozzo,001B000001MSDoDIAX,2021-06-24,0Q04x0000009hNoCAI,2021-03-10,00000391,2021-06-10,Rice Accounting,0064x000006OSNoAAO,RA +49 Mobile subscribers,0,0,14,0
In Review,Isabel Bozzo,001B000001MSDoDIAX,2021-06-24,0Q04x0000009WndCAE,2021-03-10,00000240,2021-03-12,Rice Accounting,0064x000006Lc8kAAC,RA Mobile Service,0,0,28,0
Accepted,Isabel Bozzo,001B000001MSDoAIAX,2021-06-24,0Q04x0000009encCAA,2021-03-10,00000367,2021-05-09,Ledner Construction,0064x000006NeIdAAK,LC 18 Mobile subscribers,0,0,20,0
Denied,Isabel Bozzo,001B000001MSDoDIAX,2021-06-24,0Q04x0000009hDjCAI,2021-03-10,00000383,2021-06-09,Rice Accounting,0064x000006OQYVAA4,RA +17 Mobile Subscribers (test draft quotes),0,0,30,0
Draft,Isabel Bozzo,001B000001MSDoCIAX,2021-06-24,0Q04x0000009hYmCAI,2021-03-10,00000394,2021-06-15,Renner Realty,0064x000006NUzbAAG,RR 300 subscribers,0,0,31,5
