"ProductFamily","OrderEffectiveDate","ProductName","TotalsInterval","LastProcessedDate","OrderAccountName","OrderAccountParent","UnitPrice","TotalPrice","Quantity"
"AutoSense","2020-10-01","Enhanced Analytics License","From 50 to 250","2020-09-04","United Physicians Group","United Central",945,212625,225
"Consumables","2020-11-27","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Universal Containers","United Central",738,129150,175
"Consumables","2020-09-09","Hypodermic Needles","From 350 to 550","2020-09-04","BioSpan, LLC","United Central",53,21200,400
"Capital Equipment","2020-06-17","Glucose Monitor","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",220,44000,200
"Product","2020-07-18","Power Modulator","From 50 to 250","2020-09-04","United Partners","United Central",300,15000,50
"Product","2020-02-03","Personal Protection Equipment","From 50 to 250","2020-09-04","Allied Technologies","United Central",1760,440000,250
"Consumables","2020-12-14","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Tyconet","United Central",738,55350,75
"X-Ray","2020-08-09","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","Mercy Hospital","United Central",200,20000,100
"Wholesales Acquisition Cost","2020-11-12","Blood Pressure Monitor","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",120,6000,50
"Accessories","2020-10-26","Remote Control Keypad","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",440,66000,150
"Wholesales Acquisition Cost","2020-03-13","Blood Pressure Monitor","From 50 to 250","2020-09-04","Allied Technologies","United Central",120,24000,200
"Consumables","2020-06-03","Hypodermic Needles","From 350 to 550","2020-09-04","United Physicians Group","United Central",53,26500,500
"Product","2020-04-21","Sharps Containers","From 50 to 250","2020-09-04","United Partners","United Central",520,130000,250
"Consumables","2020-10-07","Hypodermic Needles","From 350 to 550","2020-09-04","Universal Containers","United Central",53,23850,450
"Wholesales Acquisition Cost","2020-05-18","Alpha Knee","From 50 to 250","2020-09-04","Tyconet","United Central",530,92750,175
"AutoSense","2020-10-27","Enhanced Analytics License","From 50 to 250","2020-09-04","Allied Technologies","United Central",945,189000,200
"Capital Equipment","2020-08-04","Glucose Monitor","From 50 to 250","2020-09-04","Mercy Hospital","United Central",220,27500,125
"Accessories","2020-07-15","Remote Control Keypad","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",440,22000,50
"Consumables","2020-11-27","Gloves and Gowns","From 50 to 250","2020-09-04","United Partners","United Central",325,24375,75
"Product","2020-12-24","Focalized Mounting System","From 50 to 250","2020-09-04","Tyconet","United Central",175,26250,150
"Product","2020-02-18","Dialysis Tubing","From 50 to 250","2020-09-04","Allied Technologies","United Central",550,110000,200
"Product","2020-01-09","Power Modulator","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",300,75000,250
"Wholesales Acquisition Cost","2020-06-12","Blood Pressure Monitor","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",120,24000,200
"Product","2020-03-11","Makana Health Synergy 250 Pacemaker","From 50 to 250","2020-09-04","United Physicians Group","United Central",4349,434900,100
"Consumables","2020-10-11","Gloves and Gowns","From 50 to 250","2020-09-04","Universal Containers","United Central",325,65000,200
"Consumables","2020-12-17","Hypodermic Needles","From 350 to 550","2020-09-04","Mercy Hospital","United Central",53,29150,550
"Attachment","2020-12-20","Enhanced Scanner Package","From 50 to 250","2020-09-04","Allied Technologies","United Central",15360,3072000,200
"Consumables","2020-05-20","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",738,36900,50
"AutoSense","2020-11-21","Renal Dialysis Device","From 50 to 250","2020-09-04","United Physicians Group","United Central",11800,2360000,200
"Wholesales Acquisition Cost","2020-04-05","Alpha Knee","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",530,39750,75
"Vision","2020-07-28","Protective Eyewear","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",177,26550,150
"Product","2020-03-19","Dialysis Tubing","From 50 to 250","2020-09-04","Mercy Hospital","United Central",550,82500,150
"Consumables","2020-09-29","CBGM Sensor Pack (50)","From 500 to 1000","2020-09-04","United Hospital","United Central",738,516600,700
"AutoSense","2020-09-25","Enhanced Analytics License","From 50 to 250","2020-09-04","United Partners","United Central",945,141750,150
"Consumables","2020-11-03","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",738,184500,250
"Capital Equipment","2020-12-31","Glucose Monitor","From 50 to 250","2020-09-04","Allied Technologies","United Central",220,33000,150
"X-Ray","2020-10-18","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","Tyconet","United Central",200,15000,75
"Consumables","2020-08-14","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Universal Containers","United Central",738,73800,100
"Product","2020-01-24","Power Modulator","From 50 to 250","2020-09-04","Mercy Hospital","United Central",300,30000,100
"Product","2020-06-05","Sharps Containers","From 50 to 250","2020-09-04","United Partners","United Central",520,65000,125
"Consumables","2020-11-12","Hypodermic Needles","From 350 to 550","2020-09-04","BioSpan, LLC","United Central",53,23850,450
"Product","2020-07-11","Focalized Mounting System","From 50 to 250","2020-09-04","United Physicians Group","United Central",175,39375,225
"Product","2020-08-20","Personal Protection Equipment","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",1760,176000,100
"Accessories","2020-05-10","Remote Control Keypad","From 50 to 250","2020-09-04","Universal Containers","United Central",440,110000,250
"Kits","2020-02-26","Cardiac Closure Device","From 50 to 250","2020-09-04","Tyconet","United Central",536,40200,75
"Consumables","2020-12-28","Gloves and Gowns","From 50 to 250","2020-09-04","Allied Technologies","United Central",325,73125,225
"Wholesales Acquisition Cost","2020-04-09","Blood Pressure Monitor","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",120,30000,250
"AutoSense","2020-09-30","Enhanced Analytics License","From 50 to 250","2020-09-04","Allied Technologies","United Central",945,165375,175
"Wholesales Acquisition Cost","2020-06-09","Alpha Knee","From 50 to 250","2020-09-04","United Physicians Group","United Central",530,106000,200
"Accessories","2020-03-19","Remote Control Keypad","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",440,22000,50
"Consumables","2020-10-09","Gloves and Gowns","From 50 to 250","2020-09-04","United Partners","United Central",325,48750,150
"X-Ray","2020-01-05","CRM 8000 X-Ray","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",25920,6480000,250
"Capital Equipment","2020-07-04","Glucose Monitor","From 50 to 250","2020-09-04","Universal Containers","United Central",220,55000,250
"Product","2020-05-07","Dialysis Tubing","From 50 to 250","2020-09-04","Tyconet","United Central",550,68750,125
"Product","2020-12-27","Sharps Containers","From 50 to 250","2020-09-04","Mercy Hospital","United Central",520,39000,75
"Wholesales Acquisition Cost","2020-11-21","Blood Pressure Monitor","From 50 to 250","2020-09-04","Allied Technologies","United Central",120,27000,225
"X-Ray","2020-02-24","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",200,45000,225
"Product","2020-08-29","Focalized Mounting System","From 50 to 250","2020-09-04","Allied Technologies","United Central",175,30625,175
"Kits","2020-09-15","Cardiac Closure Device","From 50 to 250","2020-09-04","Tyconet","United Central",536,120600,225
"Capital Equipment","2020-10-08","Glucose Monitor","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",220,44000,200
"Capital Equipment","2020-11-20","Glucose Monitor","From 50 to 250","2020-09-04","Allied Technologies","United Central",220,22000,100
"Product","2020-09-10","Focalized Mounting System","From 50 to 250","2020-09-04","United Physicians Group","United Central",175,35000,200
"Wholesales Acquisition Cost","2020-04-28","Blood Pressure Monitor","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",120,6000,50
"Vision","2020-08-16","Protective Eyewear","From 500 to 1000","2020-09-04","United Hospital","United Central",177,177000,1000
"Product","2020-09-04","Power Modulator","From 50 to 250","2020-09-04","Mercy Hospital","United Central",300,52500,175
"Consumables","2020-03-26","Hypodermic Needles","From 350 to 550","2020-09-04","United Partners","United Central",53,26500,500
"AutoSense","2020-10-19","Enhanced Analytics License","From 50 to 250","2020-09-04","Universal Containers","United Central",945,94500,100
"X-Ray","2020-06-17","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",200,20000,100
"Consumables","2020-11-09","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","United Partners","United Central",738,110700,150
"Consumables","2020-05-18","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","United Physicians Group","United Central",738,110700,150
"Consumables","2020-07-20","Gloves and Gowns","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",325,16250,50
"Consumables","2020-12-15","Hypodermic Needles","From 350 to 550","2020-09-04","Vand Enterprises, INC","United Central",53,29150,550
"Product","2020-04-10","Sharps Containers","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",520,91000,175
"Consumables","2020-10-22","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Tyconet","United Central",738,92250,125
"Wholesales Acquisition Cost","2020-09-17","Alpha Knee","From 50 to 250","2020-09-04","Mercy Hospital","United Central",530,79500,150
"Capital Equipment","2020-11-26","Glucose Monitor","From 50 to 250","2020-09-04","Allied Technologies","United Central",220,27500,125
"Product","2020-12-15","Makana Health Synergy 250 Pacemaker","From 50 to 250","2020-09-04","Universal Containers","United Central",4349,434900,100
"Product","2020-01-10","Personal Protection Equipment","From 50 to 250","2020-09-04","Allied Technologies","United Central",1760,220000,125
"Accessories","2020-03-03","Remote Control Keypad","From 50 to 250","2020-09-04","United Physicians Group","United Central",440,66000,150
"Consumables","2020-12-08","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Universal Containers","United Central",738,147600,200
"Capital Equipment","2020-06-11","Glucose Monitor","From 50 to 250","2020-09-04","Allied Technologies","United Central",220,16500,75
"AutoSense","2020-02-21","Renal Dialysis Device","From 50 to 250","2020-09-04","Tyconet","United Central",11800,1475000,125
"Kits","2020-05-29","Cardiac Closure Device","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",536,40200,75
"Accessories","2020-10-23","Remote Control Keypad","From 50 to 250","2020-09-04","United Partners","United Central",440,66000,150
"Product","2020-08-11","Power Modulator","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",300,75000,250
"Accessories","2020-09-25","Remote Control Keypad","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",440,33000,75
"Wholesales Acquisition Cost","2020-08-07","Blood Pressure Monitor","From 50 to 250","2020-09-04","Mercy Hospital","United Central",120,15000,125
"Wholesales Acquisition Cost","2020-11-29","Alpha Knee","From 50 to 250","2020-09-04","Allied Technologies","United Central",530,39750,75
"AutoSense","2020-12-02","Enhanced Analytics License","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",945,70875,75
"Consumables","2020-07-06","Gloves and Gowns","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",325,40625,125
"Product","2020-01-15","Sharps Containers","From 50 to 250","2020-09-04","Mercy Hospital","United Central",520,78000,150
"Consumables","2020-09-01","Hypodermic Needles","From 350 to 550","2020-09-04","United Physicians Group","United Central",53,18550,350
"X-Ray","2020-06-26","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","Universal Containers","United Central",200,45000,225
"Wholesales Acquisition Cost","2020-11-03","Blood Pressure Monitor","From 50 to 250","2020-09-04","Allied Technologies","United Central",120,9000,75
"Capital Equipment","2020-03-03","Glucose Monitor","From 500 to 1000","2020-09-04","United Hospital","United Central",220,132000,600
"Consumables","2020-10-21","Gloves and Gowns","From 50 to 250","2020-09-04","Allied Technologies","United Central",325,24375,75
"Product","2020-11-23","Dialysis Tubing","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",550,96250,175
"Kits","2020-12-10","Cardiac Closure Device","From 50 to 250","2020-09-04","United Partners","United Central",536,93800,175
"Product","2020-02-02","Focalized Mounting System","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",175,17500,100
"Capital Equipment","2020-04-04","Glucose Monitor","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",220,16500,75
"Kits","2020-10-28","Cardiac Closure Device","From 50 to 250","2020-09-04","Universal Containers","United Central",536,40200,75
"Consumables","2020-04-16","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","United Partners","United Central",738,110700,150
"Vision","2020-07-02","Protective Eyewear","From 50 to 250","2020-09-04","Mercy Hospital","United Central",177,44250,250
"Consumables","2020-06-24","Hypodermic Needles","From 350 to 550","2020-09-04","Allied Technologies","United Central",53,18550,350
"Wholesales Acquisition Cost","2020-12-18","Blood Pressure Monitor","From 50 to 250","2020-09-04","Tyconet","United Central",120,21000,175
"Accessories","2020-05-10","Remote Control Keypad","From 50 to 250","2020-09-04","Tyconet","United Central",440,77000,175
"Attachment","2020-09-01","Enhanced Scanner Package","From 50 to 250","2020-09-04","United Physicians Group","United Central",15360,3072000,200
"Product","2020-07-30","Power Modulator","From 50 to 250","2020-09-04","Allied Technologies","United Central",300,75000,250
"Product","2020-03-26","Focalized Mounting System","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",175,30625,175
"Consumables","2020-02-06","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",738,73800,100
"Kits","2020-10-07","Cardiac Closure Device","From 50 to 250","2020-09-04","Mercy Hospital","United Central",536,53600,100
"Wholesales Acquisition Cost","2020-01-29","Alpha Knee","From 50 to 250","2020-09-04","United Physicians Group","United Central",530,53000,100
"X-Ray","2020-12-05","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",200,25000,125
"Capital Equipment","2020-09-15","Glucose Monitor","From 50 to 250","2020-09-04","Allied Technologies","United Central",220,11000,50
"Product","2020-11-25","Dialysis Tubing","From 50 to 250","2020-09-04","United Partners","United Central",550,41250,75
"Accessories","2020-11-30","Remote Control Keypad","From 50 to 250","2020-09-04","Universal Containers","United Central",440,55000,125
"Consumables","2020-08-02","Gloves and Gowns","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",325,16250,50
"Consumables","2020-04-14","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Tyconet","United Central",738,184500,250
"AutoSense","2020-05-08","Enhanced Analytics License","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",945,141750,150
"Product","2020-08-21","Power Modulator","From 50 to 250","2020-09-04","Mercy Hospital","United Central",300,45000,150
"Product","2020-07-06","Sharps Containers","From 50 to 250","2020-09-04","Universal Containers","United Central",520,91000,175
"Product","2020-08-21","Personal Protection Equipment","From 50 to 250","2020-09-04","United Physicians Group","United Central",1760,396000,225
"Attachment","2020-06-10","Enhanced Scanner Package","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",15360,2688000,175
"Product","2020-12-28","Personal Protection Equipment","From 500 to 1000","2020-09-04","United Hospital","United Central",1760,880000,500
"Product","2020-02-18","Dialysis Tubing","From 50 to 250","2020-09-04","Tyconet","United Central",550,96250,175
"Capital Equipment","2020-10-06","Glucose Monitor","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",220,27500,125
"Product","2020-09-07","Makana Health Synergy 250 Pacemaker","From 50 to 250","2020-09-04","United Partners","United Central",4349,869800,200
"X-Ray","2020-12-30","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","Allied Technologies","United Central",200,40000,200
"Consumables","2020-05-02","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Allied Technologies","United Central",738,129150,175
"AutoSense","2020-07-07","Enhanced Analytics License","From 50 to 250","2020-09-04","Allied Technologies","United Central",945,236250,250
"Wholesales Acquisition Cost","2020-03-30","Blood Pressure Monitor","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",120,15000,125
"X-Ray","2020-11-27","CRM 8000 X-Ray","From 50 to 250","2020-09-04","United Partners","United Central",25920,1296000,50
"Kits","2020-06-07","Cardiac Closure Device","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",536,67000,125
"Accessories","2020-10-04","Remote Control Keypad","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",440,66000,150
"Consumables","2020-03-03","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Tyconet","United Central",738,110700,150
"Product","2020-09-28","Sharps Containers","From 50 to 250","2020-09-04","Universal Containers","United Central",520,39000,75
"Capital Equipment","2020-10-13","Glucose Monitor","From 50 to 250","2020-09-04","Allied Technologies","United Central",220,38500,175
"Wholesales Acquisition Cost","2020-12-29","Blood Pressure Monitor","From 50 to 250","2020-09-04","United Physicians Group","United Central",120,24000,200
"Consumables","2020-08-08","Hypodermic Needles","From 350 to 550","2020-09-04","Mercy Hospital","United Central",53,29150,550
"Wholesales Acquisition Cost","2020-05-20","Alpha Knee","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",530,79500,150
"Product","2020-07-21","Dialysis Tubing","From 50 to 250","2020-09-04","United Physicians Group","United Central",550,27500,50
"AutoSense","2020-01-27","Enhanced Analytics License","From 50 to 250","2020-09-04","Mercy Hospital","United Central",945,118125,125
"Consumables","2020-11-16","Hypodermic Needles","From 350 to 550","2020-09-04","BioSpan, LLC","United Central",53,23850,450
"Accessories","2020-09-19","Remote Control Keypad","From 50 to 250","2020-09-04","Allied Technologies","United Central",440,77000,175
"X-Ray","2020-11-13","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",200,35000,175
"Consumables","2020-02-28","Gloves and Gowns","From 50 to 250","2020-09-04","Tyconet","United Central",325,32500,100
"Consumables","2020-06-13","Gloves and Gowns","From 50 to 250","2020-09-04","Universal Containers","United Central",325,24375,75
"Wholesales Acquisition Cost","2020-08-05","Alpha Knee","From 50 to 250","2020-09-04","Allied Technologies","United Central",530,26500,50
"AutoSense","2020-07-04","Renal Dialysis Device","From 50 to 250","2020-09-04","United Partners","United Central",11800,2065000,175
"Consumables","2020-10-15","Gloves and Gowns","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",325,40625,125
"Product","2020-03-07","Personal Protection Equipment","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",1760,440000,250
"Product","2020-12-16","Sharps Containers","From 50 to 250","2020-09-04","United Partners","United Central",520,130000,250
"Capital Equipment","2020-11-30","Glucose Monitor","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",220,27500,125
"Vision","2020-09-13","Protective Eyewear","From 50 to 250","2020-09-04","Mercy Hospital","United Central",177,22125,125
"Kits","2020-12-24","Cardiac Closure Device","From 50 to 250","2020-09-04","Tyconet","United Central",536,134000,250
"Product","2020-10-12","Focalized Mounting System","From 50 to 250","2020-09-04","Universal Containers","United Central",175,30625,175
"Consumables","2020-06-15","Hypodermic Needles","From 350 to 550","2020-09-04","United Physicians Group","United Central",53,26500,500
"Kits","2020-04-11","Cardiac Closure Device","From 500 to 1000","2020-09-04","United Hospital","United Central",536,375200,700
"Product","2020-01-29","Focalized Mounting System","From 50 to 250","2020-09-04","Allied Technologies","United Central",175,35000,200
"Product","2020-02-22","Focalized Mounting System","From 50 to 250","2020-09-04","United Partners","United Central",175,43750,250
"Consumables","2020-11-28","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Allied Technologies","United Central",738,55350,75
"Product","2020-12-14","Power Modulator","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",300,37500,125
"Product","2020-05-16","Dialysis Tubing","From 50 to 250","2020-09-04","United Physicians Group","United Central",550,68750,125
"Consumables","2020-08-31","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",738,129150,175
"Consumables","2020-03-22","Hypodermic Needles","From 350 to 550","2020-09-04","Tyconet","United Central",53,18550,350
"Capital Equipment","2020-11-22","Glucose Monitor","From 50 to 250","2020-09-04","Mercy Hospital","United Central",220,44000,200
"Wholesales Acquisition Cost","2020-05-01","Blood Pressure Monitor","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",120,6000,50
"Consumables","2020-07-30","Gloves and Gowns","From 50 to 250","2020-09-04","Universal Containers","United Central",325,40625,125
"AutoSense","2020-09-05","Enhanced Analytics License","From 50 to 250","2020-09-04","Allied Technologies","United Central",945,94500,100
"Wholesales Acquisition Cost","2020-04-25","Blood Pressure Monitor","From 50 to 250","2020-09-04","United Physicians Group","United Central",120,21000,175
"Product","2020-06-30","Power Modulator","From 50 to 250","2020-09-04","Allied Technologies","United Central",300,37500,125
"Capital Equipment","2020-11-05","Glucose Monitor","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",220,55000,250
"Consumables","2020-08-19","Gloves and Gowns","From 50 to 250","2020-09-04","United Partners","United Central",325,24375,75
"Attachment","2020-01-26","Enhanced Scanner Package","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",15360,768000,50
"AutoSense","2020-10-27","Enhanced Analytics License","From 50 to 250","2020-09-04","Mercy Hospital","United Central",945,236250,250
"Wholesales Acquisition Cost","2020-04-11","Blood Pressure Monitor","From 50 to 250","2020-09-04","Universal Containers","United Central",120,24000,200
"Wholesales Acquisition Cost","2020-07-19","Alpha Knee","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",530,79500,150
"Kits","2020-04-24","Cardiac Closure Device","From 50 to 250","2020-09-04","Tyconet","United Central",536,93800,175
"Product","2020-02-02","Focalized Mounting System","From 50 to 250","2020-09-04","Allied Technologies","United Central",175,26250,150
"Accessories","2020-10-03","Remote Control Keypad","From 50 to 250","2020-09-04","Tyconet","United Central",440,77000,175
"Consumables","2020-09-27","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Universal Containers","United Central",738,166050,225
"Accessories","2020-08-28","Remote Control Keypad","From 50 to 250","2020-09-04","United Physicians Group","United Central",440,88000,200
"Product","2020-11-16","Sharps Containers","From 50 to 250","2020-09-04","Mercy Hospital","United Central",520,78000,150
"X-Ray","2020-05-23","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","Allied Technologies","United Central",200,10000,50
"Product","2020-11-14","Power Modulator","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",300,67500,225
"Product","2020-09-14","Personal Protection Equipment","From 50 to 250","2020-09-04","United Partners","United Central",1760,88000,50
"Accessories","2020-12-18","Remote Control Keypad","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",440,44000,100
"Wholesales Acquisition Cost","2020-07-23","Blood Pressure Monitor","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",120,9000,75
"X-Ray","2020-10-25","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","Allied Technologies","United Central",200,35000,175
"Wholesales Acquisition Cost","2020-03-23","Alpha Knee","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",530,26500,50
"Consumables","2020-06-28","Hypodermic Needles","From 350 to 550","2020-09-04","United Partners","United Central",53,29150,550
"Consumables","2020-04-07","Hypodermic Needles","From 350 to 550","2020-09-04","Vand Enterprises, INC","United Central",53,21200,400
"Consumables","2020-12-17","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Universal Containers","United Central",738,73800,100
"Consumables","2020-11-05","Gloves and Gowns","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",325,56875,175
"Wholesales Acquisition Cost","2020-09-21","Blood Pressure Monitor","From 500 to 1000","2020-09-04","United Hospital","United Central",120,96000,800
"Product","2020-02-14","Focalized Mounting System","From 50 to 250","2020-09-04","United Physicians Group","United Central",175,21875,125
"Capital Equipment","2020-06-28","Glucose Monitor","From 50 to 250","2020-09-04","Mercy Hospital","United Central",220,16500,75
"AutoSense","2020-08-03","Enhanced Analytics License","From 50 to 250","2020-09-04","Allied Technologies","United Central",945,236250,250
"Product","2020-05-24","Makana Health Synergy 250 Pacemaker","From 50 to 250","2020-09-04","Tyconet","United Central",4349,978525,225
