Account_CUSTOM2,Account_CUSTOM3,Account_SALES_REP,Account_CITY,Account_STATE,ACCOUNT_ID,Account_CUSTOMER_SITE,Account_REGION,Account_COUNTRY,TARGET_DATE,TargetDate,Account_CUSTOMER,Account_TARGET,Account_CUSTOM1,Activities,BEHIND_TARGET,AHEAD_TARGET,Hours,Account_LAT,Account_LONG,ON_TARGET,Offset,Target
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,A0003,Great Store USA - Pittsburgh,East,United States,1/6/17,25/11/2020,Great Store USA,BEHIND,MEDIUM,278,76200,33400,132,40.45805,-80.0081,57200,-23513190,76200
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,A0003,Great Store USA - Pittsburgh,East,United States,1/7/17,26/10/2020,Great Store USA,BEHIND,MEDIUM,232,71500,37700,125,40.45805,-80.0081,57300,-20921190,71500
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,A0003,Great Store USA - Pittsburgh,East,United States,1/8/17,25/09/2020,Great Store USA,BEHIND,MEDIUM,159,62900,35300,98,40.45805,-80.0081,53000,-18242790,62900
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,A0003,Great Store USA - Pittsburgh,East,United States,1/9/17,25/08/2020,Great Store USA,BEHIND,MEDIUM,149,122600,38000,79,40.45805,-80.0081,66900,-15564390,122600
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,A0003,Great Store USA - Pittsburgh,East,United States,1/10/17,26/07/2020,Great Store USA,BEHIND,MEDIUM,68,109800,34100,45,40.45805,-80.0081,63400,-12972390,109800
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,A0003,Great Store USA - Pittsburgh,East,United States,1/11/17,25/06/2020,Great Store USA,BEHIND,MEDIUM,137,107700,49600,94,40.45805,-80.0081,66900,-10293990,107700
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,A0003,Great Store USA - Pittsburgh,East,United States,1/12/17,26/05/2020,Great Store USA,BEHIND,MEDIUM,143,96800,45400,122,40.45805,-80.0081,64800,-7701990,96800
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,A0003,Great Store USA - Pittsburgh,East,United States,1/1/18,25/04/2020,Great Store USA,BEHIND,MEDIUM,113,97900,45900,94,40.45805,-80.0081,65800,-5023590,97900
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,A0003,Great Store USA - Pittsburgh,East,United States,1/2/18,25/03/2020,Great Store USA,BEHIND,MEDIUM,133,101100,55400,104,40.45805,-80.0081,72500,-2345190,101100
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,United States,1/2/17,25/03/2021,Alpine Nutrition,ON,LARGE,135,123500,55100,105,40.6628,-74.1744,78800,-33881190,78800
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,United States,1/3/17,25/02/2021,Alpine Nutrition,ON,LARGE,66,95200,46500,87,40.6628,-74.1744,67800,-31461990,67800
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,United States,1/4/17,25/01/2021,Alpine Nutrition,ON,LARGE,31,66900,32700,81,40.6628,-74.1744,47700,-28783590,47700
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,United States,1/5/17,26/12/2020,Alpine Nutrition,ON,LARGE,55,86000,43800,82,40.6628,-74.1744,63000,-26191590,63000
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,United States,1/6/17,25/11/2020,Alpine Nutrition,ON,LARGE,78,117600,54300,75,40.6628,-74.1744,84200,-23513190,84200
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,United States,1/7/17,26/10/2020,Alpine Nutrition,ON,LARGE,98,124300,57200,85,40.6628,-74.1744,89000,-20921190,89000
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,United States,1/8/17,25/09/2020,Alpine Nutrition,ON,LARGE,51,85100,39200,94,40.6628,-74.1744,60000,-18242790,60000
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,United States,1/9/17,25/08/2020,Alpine Nutrition,ON,LARGE,60,73800,27400,148,40.6628,-74.1744,49800,-15564390,49800
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,United States,1/10/17,26/07/2020,Alpine Nutrition,ON,LARGE,5,35100,13000,58,40.6628,-74.1744,23000,-12972390,23000
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,United States,1/11/17,25/06/2020,Alpine Nutrition,ON,LARGE,2,20900,7800,74,40.6628,-74.1744,13900,-10293990,13900
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,United States,1/12/17,26/05/2020,Alpine Nutrition,ON,LARGE,0,5200,1900,83,40.6628,-74.1744,3100,-7701990,3100
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,United States,1/1/18,25/04/2020,Alpine Nutrition,ON,LARGE,0,3100,1500,74,40.6628,-74.1744,2100,-5023590,2100
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,United States,1/2/18,25/03/2020,Alpine Nutrition,ON,LARGE,42,71500,34800,64,40.6628,-74.1744,51100,-2345190,51100
20% Positive Growth,ALL RANGES,John Central,Houston,TX,A0005,Great Store USA - Houston,Central,United States,1/2/17,25/03/2021,Great Store USA,ON,MEDIUM,23,53700,25500,42,37.29354,-91.9652,37600,-33881190,37600
20% Positive Growth,ALL RANGES,John Central,Houston,TX,A0005,Great Store USA - Houston,Central,United States,1/3/17,25/02/2021,Great Store USA,ON,MEDIUM,75,69200,38300,82,37.29354,-91.9652,50100,-31461990,50100
20% Positive Growth,ALL RANGES,John Central,Houston,TX,A0005,Great Store USA - Houston,Central,United States,1/4/17,25/01/2021,Great Store USA,ON,MEDIUM,62,71100,19100,64,37.29354,-91.9652,47100,-28783590,47100
20% Positive Growth,ALL RANGES,John Central,Houston,TX,A0005,Great Store USA - Houston,Central,United States,1/5/17,26/12/2020,Great Store USA,ON,MEDIUM,41,69300,18600,44,37.29354,-91.9652,41400,-26191590,41400
20% Positive Growth,ALL RANGES,John Central,Houston,TX,A0005,Great Store USA - Houston,Central,United States,1/6/17,25/11/2020,Great Store USA,ON,MEDIUM,82,87100,23400,56,37.29354,-91.9652,52200,-23513190,52200
20% Positive Growth,ALL RANGES,John Central,Houston,TX,A0005,Great Store USA - Houston,Central,United States,1/7/17,26/10/2020,Great Store USA,ON,MEDIUM,36,66600,17900,42,37.29354,-91.9652,41200,-20921190,41200
20% Positive Growth,ALL RANGES,John Central,Houston,TX,A0005,Great Store USA - Houston,Central,United States,1/8/17,25/09/2020,Great Store USA,ON,MEDIUM,69,71900,19300,70,37.29354,-91.9652,43300,-18242790,43300
20% Positive Growth,ALL RANGES,John Central,Houston,TX,A0005,Great Store USA - Houston,Central,United States,1/9/17,25/08/2020,Great Store USA,ON,MEDIUM,61,68500,22100,47,37.29354,-91.9652,47500,-15564390,47500
20% Positive Growth,ALL RANGES,John Central,Houston,TX,A0005,Great Store USA - Houston,Central,United States,1/10/17,26/07/2020,Great Store USA,ON,MEDIUM,21,67100,21700,17,37.29354,-91.9652,47900,-12972390,47900
20% Positive Growth,ALL RANGES,John Central,Houston,TX,A0005,Great Store USA - Houston,Central,United States,1/11/17,25/06/2020,Great Store USA,ON,MEDIUM,31,59400,33500,32,37.29354,-91.9652,44600,-10293990,44600
20% Positive Growth,ALL RANGES,John Central,Houston,TX,A0005,Great Store USA - Houston,Central,United States,1/12/17,26/05/2020,Great Store USA,ON,MEDIUM,2,-19300,-9400,34,37.29354,-91.9652,-13500,-7701990,-13500
20% Positive Growth,ALL RANGES,John Central,Houston,TX,A0005,Great Store USA - Houston,Central,United States,1/1/18,25/04/2020,Great Store USA,ON,MEDIUM,2,-16900,-8200,35,37.29354,-91.9652,-11900,-5023590,-11900
20% Positive Growth,ALL RANGES,John Central,Houston,TX,A0005,Great Store USA - Houston,Central,United States,1/2/18,25/03/2020,Great Store USA,ON,MEDIUM,0,3800,1800,38,37.29354,-91.9652,2800,-2345190,2800
0-10% Positive Growth,ALL RANGES,Fred Dials,Colorado Springs,CO,A0006,Alpine Nutrition - Colorado Springs,West,United States,1/2/17,25/03/2021,Alpine Nutrition,ON,LARGE,174,83200,26100,263,38.31315,-104.2943,62300,-33881190,62300
0-10% Positive Growth,ALL RANGES,Fred Dials,Colorado Springs,CO,A0006,Alpine Nutrition - Colorado Springs,West,United States,1/3/17,25/02/2021,Alpine Nutrition,ON,LARGE,217,97600,62900,238,38.31315,-104.2943,80000,-31461990,80000
0-10% Positive Growth,ALL RANGES,Fred Dials,Colorado Springs,CO,A0006,Alpine Nutrition - Colorado Springs,West,United States,1/4/17,25/01/2021,Alpine Nutrition,ON,LARGE,158,66200,30400,282,38.31315,-104.2943,56100,-28783590,56100
0-10% Positive Growth,ALL RANGES,Fred Dials,Colorado Springs,CO,A0006,Alpine Nutrition - Colorado Springs,West,United States,1/5/17,26/12/2020,Alpine Nutrition,ON,LARGE,158,71600,34100,225,38.31315,-104.2943,60100,-26191590,60100
0-10% Positive Growth,ALL RANGES,Fred Dials,Colorado Springs,CO,A0006,Alpine Nutrition - Colorado Springs,West,United States,1/6/17,25/11/2020,Alpine Nutrition,ON,LARGE,137,66800,31800,223,38.31315,-104.2943,53900,-23513190,53900
0-10% Positive Growth,ALL RANGES,Fred Dials,Colorado Springs,CO,A0006,Alpine Nutrition - Colorado Springs,West,United States,1/7/17,26/10/2020,Alpine Nutrition,ON,LARGE,123,68000,32300,194,38.31315,-104.2943,55700,-20921190,55700
0-10% Positive Growth,ALL RANGES,Fred Dials,Colorado Springs,CO,A0006,Alpine Nutrition - Colorado Springs,West,United States,1/8/17,25/09/2020,Alpine Nutrition,ON,LARGE,183,65500,31400,306,38.31315,-104.2943,54000,-18242790,54000
0-10% Positive Growth,ALL RANGES,Fred Dials,Colorado Springs,CO,A0006,Alpine Nutrition - Colorado Springs,West,United States,1/9/17,25/08/2020,Alpine Nutrition,ON,LARGE,223,85300,40900,220,38.31315,-104.2943,68100,-15564390,68100
0-10% Positive Growth,ALL RANGES,Fred Dials,Colorado Springs,CO,A0006,Alpine Nutrition - Colorado Springs,West,United States,1/10/17,26/07/2020,Alpine Nutrition,ON,LARGE,149,79400,38100,170,38.31315,-104.2943,61900,-12972390,61900
0-10% Positive Growth,ALL RANGES,Fred Dials,Colorado Springs,CO,A0006,Alpine Nutrition - Colorado Springs,West,United States,1/11/17,25/06/2020,Alpine Nutrition,ON,LARGE,333,96400,63200,257,38.31315,-104.2943,77600,-10293990,77600
0-10% Positive Growth,ALL RANGES,Fred Dials,Colorado Springs,CO,A0006,Alpine Nutrition - Colorado Springs,West,United States,1/12/17,26/05/2020,Alpine Nutrition,ON,LARGE,297,81500,53400,321,38.31315,-104.2943,66000,-7701990,66000
0-10% Positive Growth,ALL RANGES,Fred Dials,Colorado Springs,CO,A0006,Alpine Nutrition - Colorado Springs,West,United States,1/1/18,25/04/2020,Alpine Nutrition,ON,LARGE,264,83700,54900,270,38.31315,-104.2943,67000,-5023590,67000
0-10% Positive Growth,ALL RANGES,Fred Dials,Colorado Springs,CO,A0006,Alpine Nutrition - Colorado Springs,West,United States,1/2/18,25/03/2020,Alpine Nutrition,ON,LARGE,553,112900,73500,316,38.31315,-104.2943,91800,-2345190,91800
Negative Growth over 20%,MEDIUM QTY,Chantelle Rep,Berkeley,CA,A0007,NTO Store - Berkeley,West,United States,1/2/17,25/03/2021,Northern Trails Outfitters,ON,LARGE,77,90800,36600,80,37.85966,-122.2687,50700,-33881190,50700
Negative Growth over 20%,MEDIUM QTY,Chantelle Rep,Berkeley,CA,A0007,NTO Store - Berkeley,West,United States,1/3/17,25/02/2021,Northern Trails Outfitters,ON,LARGE,249,115800,50200,159,37.85966,-122.2687,71100,-31461990,71100
Negative Growth over 20%,MEDIUM QTY,Chantelle Rep,Berkeley,CA,A0007,NTO Store - Berkeley,West,United States,1/4/17,25/01/2021,Northern Trails Outfitters,ON,LARGE,89,99300,19700,77,37.85966,-122.2687,54800,-28783590,54800
Negative Growth over 20%,MEDIUM QTY,Chantelle Rep,Berkeley,CA,A0007,NTO Store - Berkeley,West,United States,1/5/17,26/12/2020,Northern Trails Outfitters,ON,LARGE,195,111500,22200,134,37.85966,-122.2687,58100,-26191590,58100
Negative Growth over 20%,MEDIUM QTY,Chantelle Rep,Berkeley,CA,A0007,NTO Store - Berkeley,West,United States,1/6/17,25/11/2020,Northern Trails Outfitters,ON,LARGE,99,87300,17400,111,37.85966,-122.2687,50400,-23513190,50400
Negative Growth over 20%,MEDIUM QTY,Chantelle Rep,Berkeley,CA,A0007,NTO Store - Berkeley,West,United States,1/7/17,26/10/2020,Northern Trails Outfitters,ON,LARGE,61,69700,13900,107,37.85966,-122.2687,42400,-20921190,42400
Negative Growth over 20%,MEDIUM QTY,Chantelle Rep,Berkeley,CA,A0007,NTO Store - Berkeley,West,United States,1/8/17,25/09/2020,Northern Trails Outfitters,ON,LARGE,81,58400,14100,138,37.85966,-122.2687,37300,-18242790,37300
Negative Growth over 20%,MEDIUM QTY,Chantelle Rep,Berkeley,CA,A0007,NTO Store - Berkeley,West,United States,1/9/17,25/08/2020,Northern Trails Outfitters,ON,LARGE,146,91300,21900,103,37.85966,-122.2687,63600,-15564390,63600
Negative Growth over 20%,MEDIUM QTY,Chantelle Rep,Berkeley,CA,A0007,NTO Store - Berkeley,West,United States,1/10/17,26/07/2020,Northern Trails Outfitters,ON,LARGE,6,87000,20800,5,37.85966,-122.2687,53900,-12972390,53900
Negative Growth over 20%,MEDIUM QTY,Chantelle Rep,Berkeley,CA,A0007,NTO Store - Berkeley,West,United States,1/11/17,25/06/2020,Northern Trails Outfitters,ON,LARGE,13,66100,23800,18,37.85966,-122.2687,47300,-10293990,47300
Negative Growth over 20%,MEDIUM QTY,Chantelle Rep,Berkeley,CA,A0007,NTO Store - Berkeley,West,United States,1/12/17,26/05/2020,Northern Trails Outfitters,ON,LARGE,5,-47900,-19500,12,37.85966,-122.2687,-35500,-7701990,-35500
Negative Growth over 20%,MEDIUM QTY,Chantelle Rep,Berkeley,CA,A0007,NTO Store - Berkeley,West,United States,1/1/18,25/04/2020,Northern Trails Outfitters,ON,LARGE,470,-680000,-277100,6,37.85966,-122.2687,-467500,-5023590,-467500
Negative Growth over 20%,MEDIUM QTY,Chantelle Rep,Berkeley,CA,A0007,NTO Store - Berkeley,West,United States,1/2/18,25/03/2020,Northern Trails Outfitters,ON,LARGE,367,-735300,-299700,4,37.85966,-122.2687,-512200,-2345190,-512200
0 to -10% Negative Growth,ALL RANGES,Chantelle Rep,Glendale,CA,A0008,Alpine Nutrition - Glendale,West,United States,1/2/17,25/03/2021,Alpine Nutrition,ON,LARGE,227,57600,35800,179,34.08785,-117.811,43100,-33881190,43100
0 to -10% Negative Growth,ALL RANGES,Chantelle Rep,Glendale,CA,A0008,Alpine Nutrition - Glendale,West,United States,1/3/17,25/02/2021,Alpine Nutrition,ON,LARGE,319,69200,40900,198,34.08785,-117.811,52700,-31461990,52700
0 to -10% Negative Growth,ALL RANGES,Chantelle Rep,Glendale,CA,A0008,Alpine Nutrition - Glendale,West,United States,1/4/17,25/01/2021,Alpine Nutrition,ON,LARGE,245,59800,38200,203,34.08785,-117.811,47100,-28783590,47100
0 to -10% Negative Growth,ALL RANGES,Chantelle Rep,Glendale,CA,A0008,Alpine Nutrition - Glendale,West,United States,1/5/17,26/12/2020,Alpine Nutrition,ON,LARGE,203,59500,26600,170,34.08785,-117.811,44300,-26191590,44300
0 to -10% Negative Growth,ALL RANGES,Chantelle Rep,Glendale,CA,A0008,Alpine Nutrition - Glendale,West,United States,1/6/17,25/11/2020,Alpine Nutrition,ON,LARGE,223,76100,25200,209,34.08785,-117.811,47400,-23513190,47400
0 to -10% Negative Growth,ALL RANGES,Chantelle Rep,Glendale,CA,A0008,Alpine Nutrition - Glendale,West,United States,1/7/17,26/10/2020,Alpine Nutrition,ON,LARGE,221,77900,25800,197,34.08785,-117.811,47100,-20921190,47100
0 to -10% Negative Growth,ALL RANGES,Chantelle Rep,Glendale,CA,A0008,Alpine Nutrition - Glendale,West,United States,1/8/17,25/09/2020,Alpine Nutrition,ON,LARGE,185,70800,23500,200,34.08785,-117.811,41300,-18242790,41300
0 to -10% Negative Growth,ALL RANGES,Chantelle Rep,Glendale,CA,A0008,Alpine Nutrition - Glendale,West,United States,1/9/17,25/08/2020,Alpine Nutrition,ON,LARGE,232,78400,26000,205,34.08785,-117.811,47500,-15564390,47500
0 to -10% Negative Growth,ALL RANGES,Chantelle Rep,Glendale,CA,A0008,Alpine Nutrition - Glendale,West,United States,1/10/17,26/07/2020,Alpine Nutrition,ON,LARGE,271,83700,27700,210,34.08785,-117.811,49000,-12972390,49000
0 to -10% Negative Growth,ALL RANGES,Chantelle Rep,Glendale,CA,A0008,Alpine Nutrition - Glendale,West,United States,1/11/17,25/06/2020,Alpine Nutrition,ON,LARGE,112,65900,21800,140,34.08785,-117.811,38700,-10293990,38700
0 to -10% Negative Growth,ALL RANGES,Chantelle Rep,Glendale,CA,A0008,Alpine Nutrition - Glendale,West,United States,1/12/17,26/05/2020,Alpine Nutrition,ON,LARGE,181,71400,30100,192,34.08785,-117.811,44700,-7701990,44700
0 to -10% Negative Growth,ALL RANGES,Chantelle Rep,Glendale,CA,A0008,Alpine Nutrition - Glendale,West,United States,1/1/18,25/04/2020,Alpine Nutrition,ON,LARGE,124,39700,25200,187,34.08785,-117.811,34500,-5023590,34500
0 to -10% Negative Growth,ALL RANGES,Chantelle Rep,Glendale,CA,A0008,Alpine Nutrition - Glendale,West,United States,1/2/18,25/03/2020,Alpine Nutrition,ON,LARGE,584,66900,55500,311,34.08785,-117.811,60800,-2345190,60800
0-10% Positive Growth,PRIME + P4011,Kathy Power,Lakewood,CO,A0009,Rondel Store - Lakewood,West,United States,1/2/17,25/03/2021,Rondel,ON,LARGE CHAIN,145,143600,55000,97,39.70775,-105.079,86700,-33881190,86700
0-10% Positive Growth,PRIME + P4011,Kathy Power,Lakewood,CO,A0009,Rondel Store - Lakewood,West,United States,1/3/17,25/02/2021,Rondel,ON,LARGE CHAIN,316,158200,60500,174,39.70775,-105.079,94700,-31461990,94700
0-10% Positive Growth,PRIME + P4011,Kathy Power,Lakewood,CO,A0009,Rondel Store - Lakewood,West,United States,1/4/17,25/01/2021,Rondel,ON,LARGE CHAIN,263,148100,63100,165,39.70775,-105.079,92600,-28783590,92600
0-10% Positive Growth,PRIME + P4011,Kathy Power,Lakewood,CO,A0009,Rondel Store - Lakewood,West,United States,1/5/17,26/12/2020,Rondel,ON,LARGE CHAIN,242,141100,67400,167,39.70775,-105.079,91200,-26191590,91200
0-10% Positive Growth,PRIME + P4011,Kathy Power,Lakewood,CO,A0009,Rondel Store - Lakewood,West,United States,1/6/17,25/11/2020,Rondel,ON,LARGE CHAIN,247,127700,61000,208,39.70775,-105.079,80600,-23513190,80600
0-10% Positive Growth,PRIME + P4011,Kathy Power,Lakewood,CO,A0009,Rondel Store - Lakewood,West,United States,1/7/17,26/10/2020,Rondel,ON,LARGE CHAIN,178,127000,60700,152,39.70775,-105.079,83200,-20921190,83200
0-10% Positive Growth,PRIME + P4011,Kathy Power,Lakewood,CO,A0009,Rondel Store - Lakewood,West,United States,1/8/17,25/09/2020,Rondel,ON,LARGE CHAIN,96,83900,57100,92,39.70775,-105.079,69600,-18242790,69600
