"Prescription","Case_Id","CaseNumber","Variance"
"Change Offer_Voucher__c to true","500B000000337FKIAY","16446",3.812
"Change Field_Service__c to true","500B000000337FMIAY","16448",3.991
"Change Offer_Voucher__c to true","500B000000337FMIAY","16448",3.095
"Change Field_Service__c to true","500B000000337KeIAI","16771",3.931
"Change Offer_Voucher__c to true","500B000000337KeIAI","16771",3.028
"Change Field_Service__c to true","500B000000337KfIAI","16772",3.977
"Change Offer_Voucher__c to true","500B000000337KfIAI","16772",2.928
"Change Field_Service__c to true","500B000000337KgIAI","16773",3.976
"Change Offer_Voucher__c to true","500B000000337KgIAI","16773",2.802
"Change Field_Service__c to true","500B000000337KhIAI","16774",4.09
"Change Offer_Voucher__c to true","500B000000337KhIAI","16774",1.96
"Change Field_Service__c to true","500B000000337KiIAI","16775",4.09
"Change Offer_Voucher__c to true","500B000000337KiIAI","16775",1.746
"Change Field_Service__c to true","500B000000337KjIAI","16776",4.09
"Change Field_Service__c to true","500B000000337KkIAI","16777",4.09
"Change Offer_Voucher__c to true","500B000000337KkIAI","16777",3.916
"Change Field_Service__c to true","500B000000337KlIAI","16778",4.09
"Change Offer_Voucher__c to true","500B000000337KmIAI","16779",2.698
"Change Field_Service__c to true","500B000000337KnIAI","16780",4.09
"Change Offer_Voucher__c to true","500B000000337KnIAI","16780",2.763
"Change Field_Service__c to true","500B000000337KoIAI","16781",4.09
"Change Offer_Voucher__c to true","500B000000337KoIAI","16781",2.638
"Change Field_Service__c to true","500B000000337KpIAI","16782",3.932
"Change Offer_Voucher__c to true","500B000000337KpIAI","16782",3.305
"Change Offer_Voucher__c to true","500B000000337KqIAI","16783",2.612
"Change Field_Service__c to true","500B000000337KrIAI","16784",3.932
"Change Offer_Voucher__c to true","500B000000337KrIAI","16784",2.276
"Change Field_Service__c to true","500B000000337KsIAI","16785",3.932
"Change Offer_Voucher__c to true","500B000000337KsIAI","16785",2.28
"Change Field_Service__c to true","500B000000337KtIAI","16786",4.09
"Change Offer_Voucher__c to true","500B000000337KtIAI","16786",1.895
"Change Offer_Voucher__c to true","500B000000337KuIAI","16787",1.94
"Change Field_Service__c to true","500B000000337KvIAI","16788",4.09
"Change Offer_Voucher__c to true","500B000000337KwIAI","16789",3.94
"Change Offer_Voucher__c to true","500B000000337KxIAI","16790",1.708
"Change Field_Service__c to true","500B000000337KyIAI","16791",4.062
"Change Offer_Voucher__c to true","500B000000337KyIAI","16791",2.784
"Change Field_Service__c to true","500B000000337KzIAI","16792",3.903
"Change Offer_Voucher__c to true","500B000000337KzIAI","16792",3.202
"Change Field_Service__c to true","500B000000337L0IAI","16793",3.977
"Change Offer_Voucher__c to true","500B000000337L0IAI","16793",2.864
"Change Field_Service__c to true","500B000000337FNIAY","16449",4.109
"Change Offer_Voucher__c to true","500B000000337FNIAY","16449",3.092
"Change Field_Service__c to true","500B000000337FOIAY","16450",4.153
"Change Offer_Voucher__c to true","500B000000337FOIAY","16450",2.942
"Change Field_Service__c to true","500B000000337FPIAY","16451",4.009
"Change Offer_Voucher__c to true","500B000000337FPIAY","16451",2.1
"Change Offer_Voucher__c to true","500B000000337FQIAY","16452",2.933
"Change Field_Service__c to true","500B000000337FRIAY","16453",4.109
"Change Offer_Voucher__c to true","500B000000337FSIAY","16454",1.534
"Change Field_Service__c to true","500B000000337FTIAY","16455",3.991
"Change Offer_Voucher__c to true","500B000000337FTIAY","16455",1.687
"Change Field_Service__c to true","500B000000337FUIAY","16456",4.17
"Change Offer_Voucher__c to true","500B000000337FUIAY","16456",2.815
"Change Field_Service__c to true","500B000000337FVIAY","16457",4.009
"Change Offer_Voucher__c to true","500B000000337FVIAY","16457",2.686
"Change Field_Service__c to true","500B000000337FWIAY","16458",4.053
"Change Offer_Voucher__c to true","500B000000337FWIAY","16458",2.224
"Change Field_Service__c to true","500B000000337FXIAY","16459",4.267
"Change Offer_Voucher__c to true","500B000000337FXIAY","16459",2.086
"Change Offer_Voucher__c to true","500B000000337FYIAY","16460",2.864
"Change Field_Service__c to true","500B000000337FZIAY","16461",4.109
"Change Field_Service__c to true","500B000000337FaIAI","16462",4.109
"Change Offer_Voucher__c to true","500B000000337FaIAI","16462",3.904
"Change Field_Service__c to true","500B000000337FbIAI","16463",4.153
"Change Offer_Voucher__c to true","500B000000337FbIAI","16463",1.532
"Change Offer_Voucher__c to true","500B000000337FcIAI","16464",2.667
"Change Field_Service__c to true","500B000000337FdIAI","16465",4.009
"Change Offer_Voucher__c to true","500B000000337FdIAI","16465",2.754
"Change Field_Service__c to true","500B000000337FeIAI","16466",4.267
"Change Offer_Voucher__c to true","500B000000337FeIAI","16466",2.49
"Change Offer_Voucher__c to true","500B000000337FfIAI","16467",2.874
"Change Field_Service__c to true","500B000000337FgIAI","16468",4.153
"Change Offer_Voucher__c to true","500B000000337FgIAI","16468",3.012
"Change Offer_Voucher__c to true","500B000000337FhIAI","16469",2.18
"Change Field_Service__c to true","500B000000337FiIAI","16470",4.109
"Change Offer_Voucher__c to true","500B000000337FiIAI","16470",2.253
"Change Offer_Voucher__c to true","500B000000337FjIAI","16471",1.848
"Change Field_Service__c to true","500B000000337L1IAI","16794",4.09
"Change Offer_Voucher__c to true","500B000000337L1IAI","16794",2.065
"Change Offer_Voucher__c to true","500B000000337L2IAI","16795",1.92
"Change Offer_Voucher__c to true","500B000000337L3IAI","16796",2.69
"Change Field_Service__c to true","500B000000337L4IAI","16797",4.062
"Change Field_Service__c to true","500B000000337L5IAI","16798",4.09
"Change Offer_Voucher__c to true","500B000000337L5IAI","16798",3.726
"Change Offer_Voucher__c to true","500B000000337L6IAI","16799",1.751
"Change Offer_Voucher__c to true","500B000000337L7IAI","16800",1.586
"Change Field_Service__c to true","500B000000337L8IAI","16801",4.062
"Change Offer_Voucher__c to true","500B000000337L8IAI","16801",2.784
"Change Field_Service__c to true","500B000000337L9IAI","16802",3.932
"Change Offer_Voucher__c to true","500B000000337L9IAI","16802",3.221
"Change Field_Service__c to true","500B000000337LAIAY","16803",3.903
"Change Offer_Voucher__c to true","500B000000337LAIAY","16803",3.202
"Change Offer_Voucher__c to true","500B000000337LBIAY","16804",2.212
"Change Field_Service__c to true","500B000000337LCIAY","16805",4.09
"Change Offer_Voucher__c to true","500B000000337LCIAY","16805",1.831
"Change Offer_Voucher__c to true","500B000000337LDIAY","16806",2.561
"Change Field_Service__c to true","500B000000337LEIAY","16807",4.09
"Change Offer_Voucher__c to true","500B000000337LEIAY","16807",3.936
"Change Field_Service__c to true","500B000000337LFIAY","16808",4.062
"Change Field_Service__c to true","500B000000337LGIAY","16809",4.09
"Change Field_Service__c to true","500B000000337LHIAY","16810",4.09
"Change Offer_Voucher__c to true","500B000000337LHIAY","16810",2.828
"Change Field_Service__c to true","500B000000337LIIAY","16811",4.09
"Change Offer_Voucher__c to true","500B000000337LIIAY","16811",2.614
"Change Field_Service__c to true","500B000000337LJIAY","16812",3.932
"Change Offer_Voucher__c to true","500B000000337LJIAY","16812",3.245
"Change Field_Service__c to true","500B000000337LKIAY","16813",3.948
"Change Offer_Voucher__c to true","500B000000337LKIAY","16813",2.736
"Change Field_Service__c to true","500B000000337LLIAY","16814",3.976
"Change Offer_Voucher__c to true","500B000000337LLIAY","16814",2.738
"Change Field_Service__c to true","500B000000337LMIAY","16815",3.931
"Change Offer_Voucher__c to true","500B000000337LMIAY","16815",2.147
"Change Field_Service__c to true","500B000000337LNIAY","16816",3.932
"Change Offer_Voucher__c to true","500B000000337LNIAY","16816",2.276
"Change Field_Service__c to true","500B000000337FkIAI","16472",4.109
"Change Offer_Voucher__c to true","500B000000337FkIAI","16472",3.947
"Change Offer_Voucher__c to true","500B000000337FlIAI","16473",2.418
"Change Field_Service__c to true","500B000000337FmIAI","16474",4.153
"Change Offer_Voucher__c to true","500B000000337FmIAI","16474",3.114
"Change Field_Service__c to true","500B000000337FnIAI","16475",3.991
"Change Offer_Voucher__c to true","500B000000337FnIAI","16475",2.902
"Change Field_Service__c to true","500B000000337FoIAI","16476",4.152
"Change Offer_Voucher__c to true","500B000000337FoIAI","16476",3.056
"Change Field_Service__c to true","500B000000337FpIAI","16477",3.85
"Change Offer_Voucher__c to true","500B000000337FpIAI","16477",2.115
"Change Field_Service__c to true","500B000000337FqIAI","16478",4.267
"Change Offer_Voucher__c to true","500B000000337FqIAI","16478",1.848
"Change Offer_Voucher__c to true","500B000000337FrIAI","16479",4.056
"Change Field_Service__c to true","500B000000337FsIAI","16480",4.109
"Change Offer_Voucher__c to true","500B000000337FsIAI","16480",4.032
"Change Offer_Voucher__c to true","500B000000337FtIAI","16481",1.463
"Change Field_Service__c to true","500B000000337FuIAI","16482",4.153
"Change Offer_Voucher__c to true","500B000000337FuIAI","16482",2.924
"Change Offer_Voucher__c to true","500B000000337FvIAI","16483",3.091
"Change Field_Service__c to true","500B000000337FwIAI","16484",3.85
"Change Offer_Voucher__c to true","500B000000337FwIAI","16484",2.05
"Change Offer_Voucher__c to true","500B000000337FxIAI","16485",2.919
"Change Field_Service__c to true","500B000000337FyIAI","16486",3.85
"Change Offer_Voucher__c to true","500B000000337FyIAI","16486",3.728
"Change Offer_Voucher__c to true","500B000000337FzIAI","16487",4.071
"Change Field_Service__c to true","500B000000337FzIAI","16487",4.012
"Change Field_Service__c to true","500B000000337G1IAI","16489",4.267
"Change Offer_Voucher__c to true","500B000000337G1IAI","16489",2.716
"Change Field_Service__c to true","500B000000337G2IAI","16490",4.009
"Change Offer_Voucher__c to true","500B000000337G2IAI","16490",2.44
"Change Field_Service__c to true","500B000000337G3IAI","16491",4.267
"Change Offer_Voucher__c to true","500B000000337G3IAI","16491",2.494
"Change Offer_Voucher__c to true","500B000000337G4IAI","16492",2.87
"Change Offer_Voucher__c to true","500B000000337G5IAI","16493",2.844
"Change Field_Service__c to true","500B000000337G6IAI","16494",4.267
"Change Offer_Voucher__c to true","500B000000337G6IAI","16494",2.96
"Change Field_Service__c to true","500B000000337LOIAY","16817",3.932
"Change Offer_Voucher__c to true","500B000000337LOIAY","16817",2.192
"Change Field_Service__c to true","500B000000337LPIAY","16818",4.09
"Change Offer_Voucher__c to true","500B000000337LPIAY","16818",1.96
"Change Field_Service__c to true","500B000000337LQIAY","16819",4.09
"Change Offer_Voucher__c to true","500B000000337LQIAY","16819",2.024
"Change Field_Service__c to true","500B000000337LRIAY","16820",4.09
"Change Offer_Voucher__c to true","500B000000337LRIAY","16820",2.065
"Change Field_Service__c to true","500B000000337LSIAY","16821",3.948
"Change Offer_Voucher__c to true","500B000000337LSIAY","16821",2.715
"Change Offer_Voucher__c to true","500B000000337LTIAY","16822",3.788
"Change Field_Service__c to true","500B000000337LUIAY","16823",4.09
"Change Offer_Voucher__c to true","500B000000337LUIAY","16823",3.94
"Change Field_Service__c to true","500B000000337LVIAY","16824",4.09
"Change Field_Service__c to true","500B000000337LWIAY","16825",4.062
"Change Offer_Voucher__c to true","500B000000337LWIAY","16825",3.853
"Change Field_Service__c to true","500B000000337LXIAY","16826",4.09
"Change Offer_Voucher__c to true","500B000000337LXIAY","16826",1.815
"Change Field_Service__c to true","500B000000337LYIAY","16827",4.062
"Change Offer_Voucher__c to true","500B000000337LYIAY","16827",1.712
"Change Field_Service__c to true","500B000000337LZIAY","16828",3.932
"Change Offer_Voucher__c to true","500B000000337LZIAY","16828",2.532
"Change Field_Service__c to true","500B000000337LaIAI","16829",3.903
"Change Offer_Voucher__c to true","500B000000337LaIAI","16829",3.113
"Change Field_Service__c to true","500B000000337LbIAI","16830",3.977
"Change Offer_Voucher__c to true","500B000000337LbIAI","16830",2.864
"Change Field_Service__c to true","500B000000337LcIAI","16831",3.976
"Change Offer_Voucher__c to true","500B000000337LcIAI","16831",2.734
"Change Offer_Voucher__c to true","500B000000337LdIAI","16832",2.714
"Change Field_Service__c to true","500B000000337LeIAI","16833",3.931
"Change Offer_Voucher__c to true","500B000000337LeIAI","16833",2.189
"Change Offer_Voucher__c to true","500B000000337LfIAI","16834",1.959
"Change Field_Service__c to true","500B000000337LgIAI","16835",3.931
"Change Offer_Voucher__c to true","500B000000337LgIAI","16835",2.087
"Change Field_Service__c to true","500B000000337LhIAI","16836",4.062
"Change Offer_Voucher__c to true","500B000000337LhIAI","16836",2.761
"Change Field_Service__c to true","500B000000337LiIAI","16837",4.09
"Change Offer_Voucher__c to true","500B000000337LiIAI","16837",2.743
"Change Field_Service__c to true","500B000000337LjIAI","16838",3.931
"Change Offer_Voucher__c to true","500B000000337LjIAI","16838",2.339
"Change Field_Service__c to true","500B000000337LkIAI","16839",3.932
"Change Offer_Voucher__c to true","500B000000337LkIAI","16839",3.245
"Change Field_Service__c to true","500B000000337G7IAI","16495",3.895
"Change Offer_Voucher__c to true","500B000000337G7IAI","16495",1.524
"Change Offer_Voucher__c to true","500B000000337G8IAI","16496",2.547
"Change Offer_Voucher__c to true","500B000000337G9IAI","16497",2.166
"Change Field_Service__c to true","500B000000337GAIAY","16498",4.267
"Change Offer_Voucher__c to true","500B000000337GAIAY","16498",2.77
"Change Field_Service__c to true","500B000000337GBIAY","16499",4.109
"Change Field_Service__c to true","500B000000337GCIAY","16500",4.057
"Change Offer_Voucher__c to true","500B000000337GCIAY","16500",1.548
"Change Field_Service__c to true","500B000000337GDIAY","16501",4.057
"Change Offer_Voucher__c to true","500B000000337GDIAY","16501",1.463
"Change Field_Service__c to true","500B000000337GEIAY","16502",4.057
"Change Offer_Voucher__c to true","500B000000337GEIAY","16502",1.616
"Change Field_Service__c to true","500B000000337GFIAY","16503",4.009
"Change Offer_Voucher__c to true","500B000000337GFIAY","16503",2.56
"Change Field_Service__c to true","500B000000337GGIAY","16504",4.153
"Change Offer_Voucher__c to true","500B000000337GGIAY","16504",3.072
"Change Field_Service__c to true","500B000000337GHIAY","16505",4.109
"Change Offer_Voucher__c to true","500B000000337GHIAY","16505",2.101
"Change Field_Service__c to true","500B000000337GIIAY","16506",4.009
"Change Offer_Voucher__c to true","500B000000337GIIAY","16506",1.947
"Change Field_Service__c to true","500B000000337GJIAY","16507",4.009
"Change Offer_Voucher__c to true","500B000000337GJIAY","16507",2.808
"Change Field_Service__c to true","500B000000337GKIAY","16508",4.009
"Change Offer_Voucher__c to true","500B000000337GKIAY","16508",2.791
"Change Field_Service__c to true","500B000000337GLIAY","16509",4.009
"Change Offer_Voucher__c to true","500B000000337GLIAY","16509",2.44
"Change Offer_Voucher__c to true","500B000000337GMIAY","16510",2.396
"Change Field_Service__c to true","500B000000337GNIAY","16511",4.057
"Change Offer_Voucher__c to true","500B000000337GNIAY","16511",2.939
"Change Field_Service__c to true","500B000000337GOIAY","16512",4.009
"Change Offer_Voucher__c to true","500B000000337GOIAY","16512",1.924
"Change Field_Service__c to true","500B000000337GPIAY","16513",4.009
"Change Offer_Voucher__c to true","500B000000337GPIAY","16513",2.804
"Change Field_Service__c to true","500B000000337GQIAY","16514",4.17
"Change Offer_Voucher__c to true","500B000000337GQIAY","16514",2.87
"Change Field_Service__c to true","500B000000337GRIAY","16515",4.267
"Change Field_Service__c to true","500B000000337GSIAY","16516",4.057
"Change Offer_Voucher__c to true","500B000000337GSIAY","16516",1.612
"Change Field_Service__c to true","500B000000337GTIAY","16517",3.895
"Change Offer_Voucher__c to true","500B000000337GTIAY","16517",2.536
"Change Field_Service__c to true","500B000000337LlIAI","16840",3.977
"Change Offer_Voucher__c to true","500B000000337LlIAI","16840",2.864
"Change Offer_Voucher__c to true","500B000000337LmIAI","16841",2.173
"Change Field_Service__c to true","500B000000337LnIAI","16842",3.948
"Change Offer_Voucher__c to true","500B000000337LnIAI","16842",2.521
"Change Offer_Voucher__c to true","500B000000337LoIAI","16843",2.565
"Change Offer_Voucher__c to true","500B000000337LpIAI","16844",3.958
"Change Field_Service__c to true","500B000000337LqIAI","16845",4.09
"Change Offer_Voucher__c to true","500B000000337LqIAI","16845",3.916
"Change Offer_Voucher__c to true","500B000000337LrIAI","16846",2.649
"Change Field_Service__c to true","500B000000337LsIAI","16847",4.072
"Change Offer_Voucher__c to true","500B000000337LsIAI","16847",2.334
"Change Offer_Voucher__c to true","500B000000337LtIAI","16848",2.375
"Change Field_Service__c to true","500B000000337LuIAI","16849",4.062
"Change Offer_Voucher__c to true","500B000000337LuIAI","16849",2.649
"Change Field_Service__c to true","500B000000337LvIAI","16850",3.931
"Change Offer_Voucher__c to true","500B000000337LvIAI","16850",3.761
"Change Field_Service__c to true","500B000000337LwIAI","16851",3.931
"Change Field_Service__c to true","500B000000337LxIAI","16852",3.931
"Change Offer_Voucher__c to true","500B000000337LxIAI","16852",3.866
"Change Field_Service__c to true","500B000000337LyIAI","16853",4.072
"Change Offer_Voucher__c to true","500B000000337LyIAI","16853",1.631
"Change Field_Service__c to true","500B000000337LzIAI","16854",4.072
