"Product_Family","Product_Name","Account_Name","Discount_Percent","Total_Price"
"Performance & Non-auto","Motorcycle Parts","SYNNEX Corporation",0,30000
"Car Accessories","Exterior Accessories","Healthsense",0.01,60000
"Car Accessories","Exterior Accessories","Exsell",0.02,30000
"Car Accessories","Interior Accessories","HostCircle",0.01,719000
"Car Accessories","Car Care","HostCircle",0.01,90302
"Car Accessories","Exterior Accessories","Exacta Corporation",0.07,2453
"Performance & Non-auto","RV Shelters","Semprio",0.01,51000
"Performance & Non-auto","Motorcycle Parts","Semprio",0.08,8554
"Car Accessories","Interior Accessories","Warrior Solutions",0.17,13950
"Performance & Non-auto","RV Shelters","AdExchange.com",0.01,100000
"Car Accessories","Exterior Accessories","B2B-ERP",0,263525
"Car Accessories","Batteries","T. Edwards & Associates",0,13951
"Car Accessories","Interior Accessories","T. Edwards & Associates",0.01,50000
"Car Accessories","Replacement Parts","Hablador",0.14,8187
"Performance & Non-auto","Motorcycle Parts","Enwisen",0,60000
"Performance & Non-auto","Motorcycle Parts","Hoffmann Optimization",0,240000
"Car Accessories","Exterior Accessories","Occidental Chemical Corp.",0,7894
"Performance & Non-auto","RV Shelters","Koch Industries",0.01,150000
"Car Accessories","Batteries","Black & White Software",0.04,25000
"Car Accessories","Interior Accessories","Black & White Software",0.01,745000
"Car Accessories","Exterior Accessories","Lightbulb Press",0.02,30000
"Performance & Non-auto","RV Shelters","Thrivent Financial for Lutherans",0.55,921
"Performance & Non-auto","RV Shelters","Vicarious Visions",0.01,124011
"Car Accessories","Batteries","Strategic America",0.01,121000
"Performance & Non-auto","Performance","Graduate School",0.01,300000
"Car Accessories","Interior Accessories","Tri-Coastal Design Group",0.02,189000
"Car Accessories","Batteries","Rex Wyon Inc",1,0
"Car Accessories","Interior Accessories","Rex Wyon Inc",0.01,660375
"Car Accessories","Replacement Parts","Rex Wyon Inc",0.13,10000
"Car Accessories","Interior Accessories","Kinzan",0.16,14208
"Car Accessories","Replacement Parts","Davis Wright Tremaine LLP",0.01,32000
"Car Accessories","Car Care","Samson Investment Company",0.02,18000
"Performance & Non-auto","Performance","King Systems",0.02,124011
"Car Accessories","Interior Accessories","Dotlogix Inc",0.08,38753
"Performance & Non-auto","Motorcycle Parts","AUTOSPORT  USA",0.02,25000
"Car Accessories","Replacement Parts","HomeFair Real Estate Group",0.07,16000
"Performance & Non-auto","RV Shelters","John Zink Company",0,250000
"Car Accessories","Exterior Accessories","InterOPS",0.02,38753
"Car Accessories","Interior Accessories","USHistoryQuarterly",0.08,77500
"Performance & Non-auto","Performance","Executive Greetings",0.02,60000
"Car Accessories","Towing Equioment","Day  s Molding & Machinery",0.01,65000
"Car Accessories","Car Care","Day  s Molding & Machinery",0.03,15501
"Car Accessories","Interior Accessories","Vacation Break Management",0.11,30000
"Performance & Non-auto","Performance","Lightning Rod Software",0.19,15501
"Car Accessories","Interior Accessories","Sam Leman Chevy, Olds, Pontiac, Buick",0.01,100000
"Car Accessories","Batteries","Hubbert Systems Consulting,orporated",0.16,5000
"Performance & Non-auto","RV Shelters","Cheyne Walther & Company",0.19,5000
"Performance & Non-auto","Performance","Unigen Corporation",0.03,122699
"Car Accessories","Car Care","Great Lakes Customs Brokerage",0.1,5000
"Car Accessories","Towing Equioment","Great Lakes Customs Brokerage",0.01,30000
"Car Accessories","Replacement Parts","Farmers Group",0.06,23255
"Car Accessories","Exterior Accessories","Farmers Group",0,243342
"Car Accessories","Exterior Accessories","Farmers Group",0.07,9800
"Car Accessories","Towing Equioment","Cmore Results Inc",0.01,100000
"Performance & Non-auto","Motorcycle Parts","Cmore Results Inc",0.01,87209
"Car Accessories","Car Care","A Open Booking Agency",0.1,5000
"Performance & Non-auto","RV Shelters","CellTrax",0.01,100000
"Car Accessories","Car Care","Pueblo Foods Harvest Sharing",0.04,10000
"Car Accessories","Replacement Parts","PointBase",0.05,20000
"Performance & Non-auto","RV Shelters","PointBase",0.01,110000
"Performance & Non-auto","Performance","EDP Consulting Inc",0.13,10000
"Car Accessories","Exterior Accessories","Morgan Construction Company",0.02,25000
"Car Accessories","Exterior Accessories","Onevoice Communications",0.02,30000
"Car Accessories","Replacement Parts","SeminarSource.com",0.03,38753
"Performance & Non-auto","Motorcycle Parts","Net Unlimited Cabling Sols",0.02,25000
"Car Accessories","Batteries","Aerospan.com",0.02,70000
"Performance & Non-auto","Motorcycle Parts","Aerospan.com",0.03,35000
"Performance & Non-auto","RV Shelters","World Internet Resources",0,61349
"Car Accessories","Car Care","Buxton Consulting Co",1,0
"Car Accessories","Replacement Parts","Kjr 950 Am",0.13,5000
"Car Accessories","Exterior Accessories","Kjr 950 Am",0.21,2766
"Car Accessories","Exterior Accessories","Gtl",0.02,41500
"Car Accessories","Replacement Parts","MRI Software",0.03,46052
"Car Accessories","Batteries","MRI Software",0.02,80000
"Performance & Non-auto","RV Shelters","Advantage Mobilty Outfitters",0,180000
"Car Accessories","Batteries","Advantage Mobilty Outfitters",0.09,10851
"Car Accessories","Batteries","Advantage Mobilty Outfitters",0,77507
"Car Accessories","Exterior Accessories","Advantage Mobilty Outfitters",0.01,20000
"Car Accessories","Car Care","Advantage Mobilty Outfitters",0.02,6000
"Car Accessories","Exterior Accessories","Advantage Mobilty Outfitters",0,310032
"Performance & Non-auto","Motorcycle Parts","Advantage Mobilty Outfitters",0.04,7750
"Car Accessories","Exterior Accessories","Espiria",0.05,10851
"Car Accessories","Replacement Parts","Espiria",0.06,26972
"Car Accessories","Interior Accessories","Espiria",0.08,46504
"Car Accessories","Car Care","Packaging Department Inc",0,15350
"Performance & Non-auto","Motorcycle Parts","Republic First National Corp.",0.01,40000
"Car Accessories","Exterior Accessories","Development Systems Corp",0,18398
"Car Accessories","Replacement Parts","Computer Extension Professionals",0.01,100001
"Performance & Non-auto","Performance","bottom line financial group",0.07,50000
"Car Accessories","Batteries","24-7 Financial.com",0.01,101000
"Car Accessories","Car Care","IDEC Corporation",0,30000
"Car Accessories","Exterior Accessories","IDEC Corporation",0.05,10000
"Performance & Non-auto","Motorcycle Parts","Versalign",0.01,40000
"Performance & Non-auto","Motorcycle Parts","Nooter Corporation",0.02,25000
"Car Accessories","Car Care","Sonoma Creek Property Services",0.01,20000
"Performance & Non-auto","Performance","Sonoma Creek Property Services",0.02,15000
"Car Accessories","Car Care","Colle & McVoy",0.06,7500
"Car Accessories","Exterior Accessories","Colle & McVoy",0.02,30000
"Car Accessories","Batteries","ATL Technology",1,0
"Performance & Non-auto","RV Shelters","Micromenders",0.03,50000
"Car Accessories","Exterior Accessories","Micromenders",0.09,4800
"Car Accessories","Car Care","mStoner",0.02,600
"Car Accessories","Replacement Parts","mStoner",0,150000
"Car Accessories","Replacement Parts","mStoner",0.03,50000
"Performance & Non-auto","Performance","mStoner",0.16,3200
"Car Accessories","Car Care","mStoner",0.06,3450
"Car Accessories","Car Care","mStoner",0.05,8125
"Car Accessories","Car Care","mStoner",0.01,40000
"Car Accessories","Exterior Accessories","mStoner",0,6134
"Performance & Non-auto","Motorcycle Parts","mStoner",0.06,10837
"Car Accessories","Replacement Parts","mStoner",1,0
"Car Accessories","Exterior Accessories","mStoner",0,150000
"Car Accessories","Replacement Parts","State Street Corp",0.11,15337
"Car Accessories","Batteries","State Street Corp",1,0
"Car Accessories","Batteries","State Street Corp",1,0
"Performance & Non-auto","RV Shelters","Skyline Connections",0.01,51000
"Car Accessories","Car Care","Immequire",0.02,15000
"Car Accessories","Car Care","Phifer Wire Products",0.01,20000
"Car Accessories","Car Care","Georgia U S Data Services Inc",0,136500
"Performance & Non-auto","Motorcycle Parts","Blue Steel Networks,",0.02,25000
"Performance & Non-auto","Performance","IntelliCorp",1,0
"Car Accessories","Batteries","Barra",0.01,150000
"Car Accessories","Batteries","Barra",0.04,50000
"Performance & Non-auto","RV Shelters","Independent Technology Group",0.01,310029
"Performance & Non-auto","Motorcycle Parts","Independent Technology Group",0.07,14000
"Performance & Non-auto","Motorcycle Parts","obongo",0,105000
"Performance & Non-auto","RV Shelters","Center Care Hlth Benefit Programs-Ppo",0.02,10069
"Car Accessories","Replacement Parts","Strategic Management Group",0.01,250000
"Car Accessories","Exterior Accessories","Strategic Management Group",0,100000
"Performance & Non-auto","Motorcycle Parts","Storage Networks Corporation",0.02,25000
"Performance & Non-auto","RV Shelters","Unisoft Corp.",0,823000
"Performance & Non-auto","Motorcycle Parts","Vannix Communications",0.03,12401
"Performance & Non-auto","Motorcycle Parts","Prizmalite Industries",0.02,14754
"Performance & Non-auto","Motorcycle Parts","Prizmalite Industries",0,125000
"Performance & Non-auto","RV Shelters","Sunroom Creations",0.1,9210
"Car Accessories","Exterior Accessories","Sunroom Creations",0.01,55000
"Performance & Non-auto","RV Shelters","Sunroom Creations",0.01,232522
"Performance & Non-auto","Motorcycle Parts","Sunroom Creations",0.02,25002
"Car Accessories","Car Care","Dominion Marine Media",0,76744
"Performance & Non-auto","Motorcycle Parts","Dominion Marine Media",0.04,15501
"Car Accessories","Replacement Parts","Makai Events",0,40000
"Car Electronics","Electronics","CaseCentral",0,150000
"Car Accessories","Replacement Parts","CaseCentral",0.03,50000
"Car Accessories","Replacement Parts","Panda Security",0.01,39473
"Performance & Non-auto","Motorcycle Parts","EaseMD Systems",0.02,25000
"Car Accessories","Batteries","EaseMD Systems",0,107361
"Performance & Non-auto","Performance","News-Journal Corporation",0.13,10000
"Car Accessories","Car Care","Strategic Alliances",0,400000
"Car Accessories","Exterior Accessories","Moss Adams LLP",0,18404
"Performance & Non-auto","Motorcycle Parts","Tappedinto.com",0,400000
"Car Accessories","Interior Accessories","Stewart Environmental",0.01,100000
"Car Accessories","Car Care","Stewart Environmental",0,10400
"Car Accessories","Batteries","US Bank Home Mortgage",0.01,101000
"Car Accessories","Batteries","IBM Software / Rational",1,0
"Performance & Non-auto","Motorcycle Parts","IBM Software / Rational",0.02,50000
"Car Accessories","Replacement Parts","WESCARA Freight Technologies",0.01,110000
"Car Accessories","Exterior Accessories","IncentOne",0.01,87250
"Car Accessories","Exterior Accessories","Public Safety Logistic",0,90000
"Performance & Non-auto","Motorcycle Parts","Public Safety Logistic",0.07,13951
"Car Accessories","Exterior Accessories","Wireless Multimedia Solutions",0.02,31000
"Car Accessories","Exterior Accessories","Wireless Multimedia Solutions",0.03,32500
"Performance & Non-auto","Motorcycle Parts","Thomas Industries",0.04,29000
"Performance & Non-auto","Motorcycle Parts","U.S. Shuttle",0,74000
"Car Accessories","Towing Equioment","Repliweb",0.03,20000
"Performance & Non-auto","Motorcycle Parts","BKD   LLP",0.02,25000
"Car Accessories","Car Care","Gutierrez  Palmenberg",0.01,25000
"Car Accessories","Replacement Parts","NCI Building Systems, Inc",0.04,31002
"Performance & Non-auto","Performance","NCI Building Systems, Inc",0.07,14261
"Performance & Non-auto","Motorcycle Parts","NCI Building Systems, Inc",0.04,20000
"Performance & Non-auto","Motorcycle Parts","NCI Building Systems, Inc",0.01,40000
"Performance & Non-auto","Motorcycle Parts","NCI Building Systems, Inc",0.13,4014
"Car Accessories","Car Care","Xircom Inc",0.36,780
"Car Accessories","Replacement Parts","Good Source Solutions Inc",0.02,45000
"Car Accessories","Car Care","Good Source Solutions Inc",0.05,2332
"Performance & Non-auto","RV Shelters","Occidental Petroleum Corporation-HQ",0.03,20000
"Car Accessories","Car Care","Occidental Petroleum Corporation-HQ",0.84,100
"Performance & Non-auto","RV Shelters","Occidental Petroleum Corporation-HQ",0,401500
"Car Accessories","Exterior Accessories","Chubb Insurance",0,300000
"Car Accessories","Batteries","Stoel Rives LLP",0.04,25000
"Performance & Non-auto","Motorcycle Parts","Crowe Chizek & Co",0.06,4336
"Performance & Non-auto","Motorcycle Parts","Crowe Chizek & Co",0.02,34002
"Car Accessories","Exterior Accessories","SLP Capital",0.05,5000
"Performance & Non-auto","Performance","John Deere Capital Corporation",0.07,50000
"Car Accessories","Batteries","Miramar Systems",0.01,93008
"Performance & Non-auto","RV Shelters","Fujitsu Ten Corp. Of America",0.03,50000
"Car Accessories","Car Care","Fujitsu Ten Corp. Of America",0.01,25000
"Car Accessories","Batteries","Valeant Pharmaceuticals International US",0.01,200000
"Car Accessories","Replacement Parts","Control Components NW",0.34,2500
"Car Accessories","Exterior Accessories","Control Components NW",0,300000
"Car Accessories","Car Care","Strategic Technology Partners",0,263157
"Car Accessories","Exterior Accessories","Yeti Cycles",0.02,30000
"Car Accessories","Replacement Parts","Yeti Cycles",0.04,31002
"Car Accessories","Batteries","big planet",0.16,10000
"Car Accessories","Exterior Accessories","Affiliated Foods Midwest",0,280576
"Car Accessories","Car Care","Cysive",0.01,20000
"Car Accessories","Car Care","TrialGrafix",0.01,36930
"Car Accessories","Car Care","ChyronHego",0.04,10000
"Performance & Non-auto","Motorcycle Parts","Business Life Magazine",0,200000
"Car Accessories","Exterior Accessories","Eight In One Pet Products",0.01,19078
"Car Accessories","Replacement Parts","The Gallery Group",0.04,31002
"Car Accessories","Interior Accessories","Kansas City Southern",0.01,200000
"Car Accessories","Exterior Accessories","Pole/Zero Acquisition",0,105000
"Car Accessories","Car Care","Pilot Logistic Services",0,100000
"Car Accessories","Towing Equioment","Pilot Logistic Services",0,310029
"Performance & Non-auto","RV Shelters","Myers Mortgage Services",0,500000
"Performance & Non-auto","Motorcycle Parts","Bits & Byte Technologies Inc",0,60000
"Performance & Non-auto","Motorcycle Parts","GuesTV",0.02,19296
"Car Accessories","Car Care","Thomson Elite",0.02,27800
"Car Accessories","Car Care","Keystone Computer Associates Inc",0,22000
"Car Accessories","Exterior Accessories","Southern Finishing Systems",0.05,10000
"Car Accessories","Exterior Accessories","Merrill Lynch",0.01,43500
"Car Accessories","Exterior Accessories","Trigent Software",0,100000
"Car Accessories","Exterior Accessories","S&P Financial Communications",0.15,4500
"Car Accessories","Car Care","Red Swoosh",0.1,5000
"Car Accessories","Exterior Accessories","Red Swoosh",0.01,75000
"Car Accessories","Replacement Parts","Travelago - CA",0.02,15000
"Performance & Non-auto","RV Shelters","Acer Corp.",0,500000
"Performance & Non-auto","Performance","Previstar Inc",0.01,348837
"Car Accessories","Car Care","Distribution Data Inc",0.02,24170
"Car Accessories","Car Care","Condusiv",0,23252
"Car Accessories","Replacement Parts","dockside.net",0.22,4462
"Car Accessories","Batteries","IBG",0.04,50000
"Performance & Non-auto","Motorcycle Parts","Synergy3",0,200000
"Performance & Non-auto","Performance","K2 Systems",0.02,150000
"Car Accessories","Replacement Parts","Unishippers",0.29,1360
"Car Accessories","Car Care","Enerdynamics",0.04,5900
"Performance & Non-auto","RV Shelters","Enerdynamics",0.03,50000
"Car Accessories","Replacement Parts","Enerdynamics",0.02,15000
"Car Accessories","Exterior Accessories","GSD&M Idea City",0,350000
"Car Accessories","Car Care","Celanese Chemicals",0,27600
"Car Accessories","Exterior Accessories","Transoft Networks",0.01,40000
"Car Accessories","Exterior Accessories","Operative Media",0,300000
"Car Accessories","Towing Equioment","Lingo Systems",0.01,15501
"Car Accessories","Replacement Parts","Foresight Weather",0.01,110000
"Car Accessories","Car Care","TargitMail.com",0.01,25000
"Car Accessories","Exterior Accessories","Marsha J Patterson Consulting",0,50000
"Performance & Non-auto","Motorcycle Parts","JusticeTrax INC",0,150000
"Car Accessories","Car Care","JusticeTrax INC",0,232558
"Car Accessories","Replacement Parts","Medtuity",0.02,7500
"Car Accessories","Replacement Parts","Medtuity",1,0
"Car Accessories","Exterior Accessories","Medtuity",0,200000
"Car Accessories","Exterior Accessories","eOriginal",0,775073
"Performance & Non-auto","Motorcycle Parts","Paradigm Solutions",0.14,2000
"Car Accessories","Exterior Accessories","Paradigm Solutions",0.01,58139
"Performance & Non-auto","Motorcycle Parts","Paradigm Solutions",0.01,100000
"Performance & Non-auto","RV Shelters","iTendo",0.03,10000
"Car Accessories","Replacement Parts","iTendo",0.13,10000
"Performance & Non-auto","Motorcycle Parts","iTendo",0,174418
"Car Accessories","Interior Accessories","iTendo",0.35,5460
"Car Accessories","Replacement Parts","Unx Com",0.08,7000
"Performance & Non-auto","Motorcycle Parts","WestRock Shared Services.",0.04,12196
"Performance & Non-auto","Motorcycle Parts","WestRock Shared Services.",0.02,50000
"Performance & Non-auto","RV Shelters","Student Advantage",0.01,116279
"Car Accessories","Exterior Accessories","Student Advantage",0,106092
"Car Accessories","Interior Accessories","Student Advantage",0.64,3000
"Car Accessories","Exterior Accessories","AAR Corp.",0,90000
"Car Accessories","Replacement Parts","Bro Business Ctr",0,163680
"Performance & Non-auto","Motorcycle Parts","Validea",0.1,4150
"Car Accessories","Batteries","eSocrates",0.01,150000
"Performance & Non-auto","Motorcycle Parts","Mindshare",0.02,50000
"Performance & Non-auto","Motorcycle Parts","PipeVine",0.01,80000
"Car Accessories","Exterior Accessories","Herman Miller Workplace",0.02,12000
"Car Accessories","Exterior Accessories","Herman Miller Workplace",0.01,34883
"Car Accessories","Batteries","Convergys Corporation",0.04,40000
"Car Accessories","Replacement Parts","Tutopia.com",0.05,20000
"Car Accessories","Car Care","Vision Lab Telecommunications",0.01,40000
"Performance & Non-auto","Motorcycle Parts","Corestaff Services LP",0,30000
"Performance & Non-auto","RV Shelters","Unix Group, Inc",0.01,232558
"Car Accessories","Replacement Parts","Sitel",0.02,105000
"Car Accessories","Towing Equioment","Array",0.01,103000
"Car Accessories","Towing Equioment","Sprint Business Solutions",0.01,110000
"Car Accessories","Interior Accessories","Beauregard Equipment",0.26,18601
"Car Accessories","Replacement Parts","Techmate International Inc",0.04,9166
"Car Accessories","Batteries","Transend Medical",0.22,1550
"Car Accessories","Batteries","Transend Medical",0.03,15501
"Performance & Non-auto","Motorcycle Parts","Telecom Software Enterprises",0.13,2014
"Car Accessories","Towing Equioment","Telecom Software Enterprises",0.01,105000
"Car Accessories","Car Care","Pugert.com",0.19,1000
"Car Accessories","Interior Accessories","S & S Enterprises Group",0.41,5000
"Car Accessories","Exterior Accessories","S & S Enterprises Group",0.01,58139
"Car Accessories","Exterior Accessories","Atcom Security Solutions",0.05,10000
"Car Accessories","Exterior Accessories","Atcom Security Solutions",0.06,9956
"Car Accessories","Car Care","Atcom Security Solutions",0.04,10000
"Car Accessories","Car Care","Connors Communications",0.01,66474
"Performance & Non-auto","RV Shelters","Real Call Inc",0.06,11627
"Car Accessories","Car Care","PRC Inc",0,250000
"Performance & Non-auto","Motorcycle Parts","Engineered Support Systems",0,30000
"Performance & Non-auto","RV Shelters","Cyber-Ark Software",0.02,101000
"Car Accessories","Interior Accessories","Cyber-Ark Software",0.01,100000
"Car Accessories","Replacement Parts","NuWare Technology Corp.",0,9500
"Car Accessories","Interior Accessories","E Realty Inc",0.01,200000
"Performance & Non-auto","Motorcycle Parts","E Realty Inc",0.01,40000
"Car Accessories","Batteries","E Realty Inc",0.99,15
"Car Accessories","Exterior Accessories","It Vineyard Inc",0.01,13000
"Car Accessories","Batteries","Monsanto Company",0.04,30674
"Car Accessories","Batteries","IQ4Hire",0.03,15501
"Car Accessories","Batteries","IQ4Hire",0.03,15501
"Car Accessories","Towing Equioment","IQ4Hire",0.01,31002
"Performance & Non-auto","RV Shelters","PCW Microsystems",0.01,77507
"Performance & Non-auto","Motorcycle Parts","Yodlee",0,30000
"Performance & Non-auto","RV Shelters","Ten Dots",0.01,55000
"Car Accessories","Towing Equioment","Freescale Semiconductor",0.02,50000
"Car Accessories","Car Care","Infinity Commerce Corporation",0.02,9600
"Performance & Non-auto","RV Shelters","Infinity Commerce Corporation",0.01,289473
"Car Accessories","Car Care","Feith Systems and Software",0,104651
"Car Accessories","Exterior Accessories","Arrow Financial Services",0,20151
"Car Accessories","Replacement Parts","Datastar USA",0.05,16276
"Car Accessories","Replacement Parts","Marketing Outcomes",0.02,15000
"Car Accessories","Replacement Parts","Marketing Outcomes",0.06,25000
"Car Accessories","Interior Accessories","Marketing Outcomes",0.03,90000
"Performance & Non-auto","RV Shelters","California First National Bank",0.01,310029
"Car Accessories","Exterior Accessories","Boiler Room",0.02,18000
"Car Accessories","Batteries","Busch Gardens",0.09,20000
"Car Accessories","Replacement Parts","Busch Gardens",0.44,2119
"Car Accessories","Towing Equioment","CB M",0.02,10526
"Car Accessories","Car Care","501 Fusion",0,41100
"Car Accessories","Batteries","Bridgehead Group Ltd Inc",0,149000
"Car Accessories","Batteries","Bridgehead Group Ltd Inc",0.16,10000
"Car Accessories","Replacement Parts","Integrys Energy Services",0.02,15000
"Car Accessories","Batteries","Alabama Gas Corporation",0.09,20000
"Performance & Non-auto","RV Shelters","Exmark Manufacturing Co Inc",0.09,15000
"Car Accessories","Exterior Accessories","Prevention First",0,50000
"Car Accessories","Batteries","PC House Call",0,300000
"Performance & Non-auto","Performance","PC House Call",0.06,43000
"Car Accessories","Car Care","Gold Key Consulting",0.04,10000
"Car Accessories","Car Care","SCCA",0.28,886
"Car Accessories","Car Care","Ellen Michaels Presents",0.01,15171
"Car Accessories","Car Care","Ellen Michaels Presents",0,400000
"Performance & Non-auto","Performance","Suddath Relocation Systems of Minnesota",0.06,46504
"Performance & Non-auto","Motorcycle Parts","Suddath Relocation Systems of Minnesota",0.07,12977
"Car Accessories","Replacement Parts","Burns & McDonnell Engineering Company",0,61000
"Performance & Non-auto","Motorcycle Parts","H & H Wholesale",0,453000
"Performance & Non-auto","Motorcycle Parts","Loeb Partners Realty",0.01,59724
"Performance & Non-auto","Motorcycle Parts","Video Central South",0.02,46504
"Performance & Non-auto","Performance","Mid-West Materials",0,232522
"Performance & Non-auto","RV Shelters","American Management Association International",0.01,38617
"Car Accessories","Interior Accessories","Real Soft Inc",0.11,30000
"Car Accessories","Car Care","Nintendo of America",0,500000
"Car Accessories","Exterior Accessories","iLevel A Weyerhaeuser Business",0.02,30000
"Performance & Non-auto","RV Shelters","Imagine Software",0,290697
"Car Accessories","Replacement Parts","BOARDMAN & PENN",0.09,1730
"Car Accessories","Exterior Accessories","Interactive One",0,821578
"Performance & Non-auto","Motorcycle Parts","Navarre Corporation",0.01,83599
"Car Accessories","Exterior Accessories","Arthur J. Gallagher Risk Management Services Inc",0.01,101000
"Car Accessories","Replacement Parts","SAFE Credit Union",0.13,10000
"Car Accessories","Batteries","Rittal Corporation",0.04,40000
"Car Accessories","Batteries","Konica Minolta Business Solutions",0.23,4600
"Performance & Non-auto","RV Shelters","Datapipe",0.01,87575
"Car Accessories","Exterior Accessories","Datapipe",1,0
"Car Accessories","Exterior Accessories","Datapipe",0,155014
"Performance & Non-auto","Motorcycle Parts","Community West Bank",0.01,80000
"Car Accessories","Replacement Parts","Community West Bank",0,300000
"Performance & Non-auto","Motorcycle Parts","Adcetera Design Studio",0.02,25000
"Car Accessories","Batteries","GTR Asset Management",0.02,35000
"Performance & Non-auto","RV Shelters","In2Change Inc",0.02,105000
"Car Accessories","Batteries","Prestolite Wire Corp.",0,400000
"Car Accessories","Exterior Accessories","Slam Dunk Networks",0.02,23252
"Performance & Non-auto","Performance","C.E. Peterson & Associates, LL",0.04,18404
"Performance & Non-auto","Motorcycle Parts","Vangent",0.14,5000
"Performance & Non-auto","Motorcycle Parts","3core Software Corporation",0.05,12048
"Performance & Non-auto","Motorcycle Parts","Sys  Tec",0.02,25000
"Car Accessories","Exterior Accessories","RBLC.com",0,200000
"Performance & Non-auto","Motorcycle Parts","DeNooyer Chevrolet",0.01,138000
"Car Accessories","Towing Equioment","Projetech",1,0
"Performance & Non-auto","Motorcycle Parts","Projetech",0.04,7750
"Performance & Non-auto","RV Shelters","Quantum Compliance Systems",0.19,5000
