"Country","Product","Date","Percent_Target","Profit","Revenue","Cost","Pipeline"
"Japan","neutratronic","2017-02-15",57,117327.35,335221,217893.65,116173
"Japan","rezota","2017-02-16",36,43600.2,124572,80971.8,582433
"Japan","aeox","2017-02-17",27,137841.9,393834,255992.1,912597
"Japan","neutratronic","2017-02-18",92,158391.1,452546,294154.9,313215
"Japan","vucoo","2017-02-19",61,23618.35,67481,43862.65,659706
"Japan","adoriva","2017-02-20",76,59759.7,170742,110982.3,945508
"Japan","adoriva","2017-02-21",29,166317.2,475192,308874.8,228211
"Japan","adoriva","2017-02-22",23,88932.9,254094,165161.1,185290
"Japan","apiera","2017-02-23",43,121490.6,347116,225625.4,403051
"Japan","rezota","2017-02-24",70,20171.55,57633,37461.45,769416
"Japan","adoriva","2017-02-25",14,126944.65,362699,235754.35,631803
"Japan","aeox","2017-02-26",46,21717.15,62049,40331.85,987765
"Japan","apiera","2017-02-27",98,32003.3,91438,59434.7,103380
"Japan","aeox","2017-02-28",100,130011.7,371462,241450.3,191431
"Japan","adoriva","2017-03-01",17,106909.6,305456,198546.4,747810
"Japan","apiera","2017-03-02",79,109697.35,313421,203723.65,616005
"Japan","rezota","2017-03-03",29,159731.6,456376,296644.4,402492
"Japan","rezota","2017-03-04",50,70302.05,200863,130560.95,511601
"Japan","vucoo","2017-03-05",28,2055.2,5872,3816.8,819726
"Japan","adoriva","2017-03-06",54,57318.8,163768,106449.2,281429
"Japan","vucoo","2017-03-07",70,141669.15,404769,263099.85,468557
"Japan","vucoo","2017-03-08",65,130603.2,373152,242548.8,715672
"Japan","adoriva","2017-03-09",12,17598.7,50282,32683.3,756982
"Japan","rezota","2017-03-10",72,122932.6,351236,228303.4,535353
"Japan","rezota","2017-03-11",94,74238.15,212109,137870.85,981952
"Japan","rezota","2017-03-12",57,117178.25,334795,217616.75,186664
"Japan","apiera","2017-03-13",61,65595.6,187416,121820.4,427506
"Japan","neutratronic","2017-03-14",81,132108.2,377452,245343.8,306621
"Japan","adoriva","2017-03-15",11,95493.3,272838,177344.7,240860
"Japan","apiera","2017-03-16",7,97358.8,278168,180809.2,392068
"Japan","aeox","2017-03-17",24,165334.4,472384,307049.6,503938
"Japan","apiera","2017-03-18",8,97163.5,277610,180446.5,568596
"Japan","neutratronic","2017-03-19",39,90162.45,257607,167444.55,172113
"Japan","apiera","2017-03-20",41,12797.05,36563,23765.95,372527
"Japan","apiera","2017-03-21",26,54061,154460,100399,481097
"Japan","rezota","2017-03-22",85,1439.55,4113,2673.45,228890
"Japan","rezota","2017-03-23",37,134428,384080,249652,161337
"Japan","adoriva","2017-03-24",65,127209.95,363457,236247.05,909116
"Japan","adoriva","2017-03-25",93,160526.1,458646,298119.9,273609
"Japan","neutratronic","2017-03-26",66,18991.35,54261,35269.65,303816
"Japan","neutratronic","2017-03-27",100,30626.75,87505,56878.25,302749
"Japan","neutratronic","2017-03-28",15,100683.1,287666,186982.9,735675
"Japan","apiera","2017-03-29",56,76763.75,219325,142561.25,977854
"Japan","vucoo","2017-03-30",17,1057,3020,1963,148524
"Japan","apiera","2017-03-31",36,133819.7,382342,248522.3,894118
"Japan","neutratronic","2017-04-01",42,17507.35,50021,32513.65,140905
"Japan","aeox","2017-04-02",17,21413,61180,39767,964318
"Japan","adoriva","2017-04-03",90,78135.4,223244,145108.6,776984
"Japan","neutratronic","2017-04-04",37,71773.45,205067,133293.55,879640
"Japan","vucoo","2017-04-05",84,53356.45,152447,99090.55,844796
"Japan","vucoo","2017-04-06",19,66481.1,189946,123464.9,213352
"Japan","aeox","2017-04-07",65,131369.7,375342,243972.3,806022
"Japan","neutratronic","2017-04-08",27,42554.05,121583,79028.95,776589
"Japan","apiera","2017-04-09",57,65212.35,186321,121108.65,489716
"Japan","rezota","2017-04-10",39,33472.95,95637,62164.05,990485
"Japan","rezota","2017-04-11",68,142480.45,407087,264606.55,499001
"Japan","adoriva","2017-04-12",88,36967,105620,68653,963192
"Japan","apiera","2017-04-13",88,47173,134780,87607,810240
"Japan","neutratronic","2017-04-14",15,169633.1,484666,315032.9,239172
"Japan","aeox","2017-04-15",77,59243.45,169267,110023.55,850536
"Japan","apiera","2017-04-16",41,39659.9,113314,73654.1,506603
"Japan","apiera","2017-04-17",78,135383.5,386810,251426.5,962467
"Japan","rezota","2017-04-18",91,146301.4,418004,271702.6,349022
"Japan","apiera","2017-04-19",43,139074.25,397355,258280.75,666086
"Japan","rezota","2017-04-20",86,50315.3,143758,93442.7,177354
"Japan","neutratronic","2017-04-21",46,25837,73820,47983,290499
"Japan","aeox","2017-04-22",89,173446,495560,322114,864966
"Japan","rezota","2017-04-23",47,40569.2,115912,75342.8,797281
"Japan","apiera","2017-04-24",52,13881.7,39662,25780.3,510454
"Japan","adoriva","2017-04-25",41,117720.05,336343,218622.95,944888
"Japan","vucoo","2017-04-26",4,7652.4,21864,14211.6,307366
"Japan","adoriva","2017-04-27",67,75062.75,214465,139402.25,233740
"Japan","rezota","2017-04-28",52,164699.15,470569,305869.85,632009
"Japan","aeox","2017-04-29",55,7676.9,21934,14257.1,203294
"Japan","apiera","2017-04-30",47,119223.65,340639,221415.35,871971
"Japan","aeox","2017-05-01",91,50218.7,143482,93263.3,336252
"Japan","rezota","2017-05-02",45,51838.5,148110,96271.5,318217
"Japan","adoriva","2017-05-03",73,136222.1,389206,252983.9,460385
"Japan","apiera","2017-05-04",30,145356.05,415303,269946.95,943838
"Japan","neutratronic","2017-05-05",34,23337.65,66679,43341.35,591881
"Japan","neutratronic","2017-05-06",26,10511.9,30034,19522.1,984910
"Japan","rezota","2017-05-07",53,136491.6,389976,253484.4,230582
"Japan","aeox","2017-05-08",36,130960.55,374173,243212.45,560931
"Japan","vucoo","2017-05-09",22,173903.1,496866,322962.9,141369
"Japan","rezota","2017-05-10",83,83051.85,237291,154239.15,377809
"Japan","vucoo","2017-05-11",42,117061,334460,217399,644686
"Japan","rezota","2017-05-12",37,91440.65,261259,169818.35,191379
"Japan","adoriva","2017-05-13",56,8410.5,24030,15619.5,898463
"Japan","neutratronic","2017-05-14",0,98633.5,281810,183176.5,472892
"Japan","adoriva","2017-05-15",68,104060.95,297317,193256.05,335845
"Japan","vucoo","2017-05-16",76,98115.85,280331,182215.15,155314
"Japan","adoriva","2017-05-17",83,161815.15,462329,300513.85,125236
"Japan","rezota","2017-05-18",35,124394.55,355413,231018.45,892705
"Japan","apiera","2017-05-19",22,6114.5,17470,11355.5,259267
"Japan","rezota","2017-05-20",30,73528.35,210081,136552.65,321430
"Japan","neutratronic","2017-05-21",94,91302.4,260864,169561.6,169326
"Japan","vucoo","2017-05-22",98,153832.35,439521,285688.65,586575
"Japan","aeox","2017-05-23",40,152742.1,436406,283663.9,788650
"Japan","aeox","2017-05-24",55,8432.55,24093,15660.45,886618
"Japan","apiera","2017-05-25",5,54284.65,155099,100814.35,425300
"Japan","rezota","2017-05-26",1,19848.85,56711,36862.15,899295
"Japan","rezota","2017-05-27",8,77538.65,221539,144000.35,250974
"Japan","vucoo","2017-05-28",77,21756.35,62161,40404.65,363687
"Japan","apiera","2017-05-29",41,138261.2,395032,256770.8,439288
"Japan","adoriva","2017-05-30",8,45323.6,129496,84172.4,306475
"Japan","apiera","2017-05-31",3,59492.65,169979,110486.35,907195
"Japan","vucoo","2017-06-01",57,72696.4,207704,135007.6,245975
"Japan","aeox","2017-06-02",10,150904.95,431157,280252.05,486785
"Japan","apiera","2017-06-03",93,139961.5,399890,259928.5,128360
"Japan","rezota","2017-06-04",48,52234.7,149242,97007.3,710724
"Japan","adoriva","2017-06-05",69,81710.65,233459,151748.35,325504
"Japan","vucoo","2017-06-06",54,86164.75,246185,160020.25,444114
"Japan","apiera","2017-06-07",67,66948.7,191282,124333.3,919328
"Japan","rezota","2017-06-08",70,87803.45,250867,163063.55,668539
"Japan","neutratronic","2017-06-09",20,110218.15,314909,204690.85,144674
"Japan","vucoo","2017-06-10",88,83968.85,239911,155942.15,263315
"Japan","neutratronic","2017-06-11",77,81557.7,233022,151464.3,754224
"Japan","apiera","2017-06-12",6,32423.65,92639,60215.35,136298
"Japan","neutratronic","2017-06-13",12,9133.95,26097,16963.05,574131
"Japan","vucoo","2017-06-14",9,57643.25,164695,107051.75,413535
"Japan","adoriva","2017-06-15",15,110332.95,315237,204904.05,435095
"Japan","adoriva","2017-06-16",86,96557.65,275879,179321.35,389496
"Japan","rezota","2017-06-17",87,54101.6,154576,100474.4,578024
"Japan","rezota","2017-06-18",37,30002.35,85721,55718.65,944782
"Japan","rezota","2017-06-19",42,102492.25,292835,190342.75,259922
"Japan","neutratronic","2017-06-20",83,3900.75,11145,7244.25,443018
"Japan","apiera","2017-06-21",17,143837.75,410965,267127.25,547017
"Japan","adoriva","2017-06-22",45,129116.4,368904,239787.6,742396
"Japan","vucoo","2017-06-23",37,53066.65,151619,98552.35,232373
"Japan","apiera","2017-06-24",31,81766.65,233619,151852.35,271141
"Japan","vucoo","2017-06-25",6,139876.8,399648,259771.2,862810
"Japan","rezota","2017-06-26",61,4429.6,12656,8226.4,192296
"Japan","adoriva","2017-06-27",90,30453.85,87011,56557.15,984767
"Japan","vucoo","2017-06-28",10,92267.35,263621,171353.65,939681
"Japan","neutratronic","2017-06-29",51,78891.05,225403,146511.95,957623
"Japan","rezota","2017-06-30",43,59223.85,169211,109987.15,657950
"Japan","rezota","2017-07-01",39,14398.3,41138,26739.7,808053
"Japan","apiera","2017-07-02",90,74680.2,213372,138691.8,760484
"Japan","adoriva","2017-07-03",71,22821.4,65204,42382.6,940774
"Japan","aeox","2017-07-04",8,152941.95,436977,284035.05,561720
"Japan","rezota","2017-07-05",19,134912.75,385465,250552.25,451052
"Japan","apiera","2017-07-06",74,84464.8,241328,156863.2,273783
"Japan","neutratronic","2017-07-07",85,7226.1,20646,13419.9,946685
"Japan","neutratronic","2017-07-08",92,67464.95,192757,125292.05,891293
"Japan","neutratronic","2017-07-09",75,89052.95,254437,165384.05,461706
"Japan","vucoo","2017-07-10",46,40223.75,114925,74701.25,167159
"Japan","rezota","2017-07-11",16,141710.45,404887,263176.55,925916
"Japan","rezota","2017-07-12",5,85074.5,243070,157995.5,513535
"Japan","neutratronic","2017-07-13",27,34918.45,99767,64848.55,969812
"Japan","apiera","2017-07-14",62,84797.3,242278,157480.7,910929
"Japan","aeox","2017-07-15",21,147536.2,421532,273995.8,563250
"Japan","adoriva","2017-07-16",57,42186.55,120533,78346.45,711968
"Japan","aeox","2017-07-17",99,14432.25,41235,26802.75,885728
"Japan","aeox","2017-07-18",34,127974.35,365641,237666.65,595075
"Japan","neutratronic","2017-07-19",66,110324.9,315214,204889.1,658927
"Japan","rezota","2017-07-20",6,31787,90820,59033,119277
"Japan","adoriva","2017-07-21",91,128174.2,366212,238037.8,576851
"Japan","neutratronic","2017-07-22",8,67344.2,192412,125067.8,707842
"Japan","rezota","2017-07-23",78,35513.8,101468,65954.2,404887
"Japan","adoriva","2017-07-24",76,155801.45,445147,289345.55,922404
"Japan","rezota","2017-07-25",86,22124.55,63213,41088.45,249924
"Japan","adoriva","2017-07-26",14,43671.6,124776,81104.4,595399
"Japan","neutratronic","2017-07-27",1,91924.7,262642,170717.3,535001
"Japan","vucoo","2017-07-28",80,170756.6,487876,317119.4,100922
"Japan","adoriva","2017-07-29",9,94614.45,270327,175712.55,474033
"Japan","adoriva","2017-07-30",68,126194.6,360556,234361.4,538888
"Japan","neutratronic","2017-07-31",55,112454.65,321299,208844.35,317241
"Japan","aeox","2017-08-01",64,72736.65,207819,135082.35,947816
"Japan","rezota","2017-08-02",44,100938.6,288396,187457.4,286344
"Japan","rezota","2017-08-03",8,191.8,548,356.2,678081
"Japan","rezota","2017-08-04",34,100996.7,288562,187565.3,144429
"Japan","vucoo","2017-08-05",22,141987.3,405678,263690.7,838159
"Japan","adoriva","2017-08-06",88,45856.3,131018,85161.7,938654
"Japan","aeox","2017-08-07",95,62154.4,177584,115429.6,553503
"Japan","vucoo","2017-08-08",98,9283.75,26525,17241.25,556595
"Japan","rezota","2017-08-09",21,171678.5,490510,318831.5,187596
"Japan","apiera","2017-08-10",92,99866.2,285332,185465.8,295116
"Japan","rezota","2017-08-11",82,161317.1,460906,299588.9,854608
"Japan","apiera","2017-08-12",14,63218.05,180623,117404.95,355785
"Japan","rezota","2017-08-13",98,4468.1,12766,8297.9,905510
"Japan","adoriva","2017-08-14",69,15337.7,43822,28484.3,991800
"Japan","rezota","2017-08-15",52,49898.1,142566,92667.9,430185
"Japan","vucoo","2017-08-16",84,113552.95,324437,210884.05,208564
"Japan","aeox","2017-08-17",1,91433.65,261239,169805.35,739333
"Japan","rezota","2017-08-18",2,137635.4,393244,255608.6,530347
"Japan","aeox","2017-08-19",73,77470.4,221344,143873.6,810819
"Japan","rezota","2017-08-20",76,68622.05,196063,127440.95,152686
"Japan","rezota","2017-08-21",94,15953.7,45582,29628.3,255041
"Japan","rezota","2017-08-22",1,76616.4,218904,142287.6,272996
"Japan","adoriva","2017-08-23",7,118766.2,339332,220565.8,912373
"Japan","apiera","2017-08-24",12,19267.15,55049,35781.85,132952
"Japan","vucoo","2017-08-25",36,126998.2,362852,235853.8,561804
"Japan","aeox","2017-08-26",76,46729.9,133514,86784.1,326118
"Japan","neutratronic","2017-08-27",45,23246.3,66418,43171.7,507344
"Japan","aeox","2017-08-28",74,122337.6,349536,227198.4,945599
"Japan","rezota","2017-08-29",62,146275.5,417930,271654.5,187277
"Japan","apiera","2017-08-30",42,131591.25,375975,244383.75,371971
"Japan","vucoo","2017-08-31",97,122645.95,350417,227771.05,792312
"Japan","vucoo","2017-09-01",4,39468.8,112768,73299.2,381523
"Japan","adoriva","2017-09-02",9,100208.15,286309,186100.85,702332
"Japan","apiera","2017-09-03",7,43293.25,123695,80401.75,272357
"Japan","rezota","2017-09-04",1,135094.05,385983,250888.95,589894
"Japan","aeox","2017-09-05",22,127164.1,363326,236161.9,441196
"Japan","vucoo","2017-09-06",43,129556.7,370162,240605.3,680337
"Japan","adoriva","2017-09-07",28,76669.25,219055,142385.75,525818
"Japan","aeox","2017-09-08",39,17961.3,51318,33356.7,143523
"Japan","rezota","2017-09-09",71,115589.6,330256,214666.4,700364
"Japan","aeox","2017-09-10",65,89798.1,256566,166767.9,326599
"Japan","adoriva","2017-09-11",66,152519.85,435771,283251.15,505026
"Japan","aeox","2017-09-12",34,53115.65,151759,98643.35,619208
"Japan","neutratronic","2017-09-13",93,50852.55,145293,94440.45,602507
"Japan","adoriva","2017-09-14",56,35511.35,101461,65949.65,223637
"Japan","apiera","2017-09-15",53,17966.2,51332,33365.8,367898
"Japan","aeox","2017-09-16",39,63240.45,180687,117446.55,755271
"Japan","aeox","2017-09-17",77,173971,497060,323089,587591
"Japan","neutratronic","2017-09-18",76,87124.1,248926,161801.9,159939
"Japan","adoriva","2017-09-19",30,133393.4,381124,247730.6,954146
"Japan","adoriva","2017-09-20",90,75824.35,216641,140816.65,237787
"Japan","aeox","2017-09-21",10,47832.75,136665,88832.25,256187
"Japan","adoriva","2017-09-22",72,3022.25,8635,5612.75,113345
"Japan","neutratronic","2017-09-23",90,59251.85,169291,110039.15,929684
"Japan","adoriva","2017-09-24",93,67475.1,192786,125310.9,645572
"Japan","adoriva","2017-09-25",0,49614.95,141757,92142.05,798584
"Japan","vucoo","2017-09-26",95,138206.25,394875,256668.75,702327
"Japan","adoriva","2017-09-27",57,101972.5,291350,189377.5,395150
"Japan","vucoo","2017-09-28",72,149250.5,426430,277179.5,443910
"Japan","apiera","2017-09-29",66,21389.2,61112,39722.8,448933
"Japan","aeox","2017-09-30",9,142348.15,406709,264360.85,869344
"Japan","aeox","2017-10-01",60,62755,179300,116545,778427
"Japan","neutratronic","2017-10-02",79,29907.85,85451,55543.15,291975
"Japan","aeox","2017-10-03",57,59385.2,169672,110286.8,223024
"Japan","neutratronic","2017-10-04",58,82626.25,236075,153448.75,748480
"Japan","neutratronic","2017-10-05",98,110351.5,315290,204938.5,830192
"Japan","aeox","2017-10-06",99,41960.45,119887,77926.55,205482
"Japan","neutratronic","2017-10-07",14,100010.75,285745,185734.25,118223
"Japan","aeox","2017-10-08",73,128226.7,366362,238135.3,841497
"Japan","rezota","2017-10-09",90,97683.6,279096,181412.4,348508
"Japan","neutratronic","2017-10-10",42,46597.25,133135,86537.75,203186
"Japan","apiera","2017-10-11",20,72063.6,205896,133832.4,439036
"Japan","adoriva","2017-10-12",15,124794.6,356556,231761.4,706596
"Japan","adoriva","2017-10-13",32,596.4,1704,1107.6,699779
"Japan","vucoo","2017-10-14",65,114361.45,326747,212385.55,409332
"Japan","neutratronic","2017-10-15",16,69615.35,198901,129285.65,204268
"Japan","apiera","2017-10-16",23,153045.55,437273,284227.45,357034
"Japan","apiera","2017-10-17",72,160496.7,458562,298065.3,571969
"Japan","vucoo","2017-10-18",88,105701.4,302004,196302.6,484154
"Japan","aeox","2017-10-19",20,53364.85,152471,99106.15,682061
"Japan","neutratronic","2017-10-20",74,88347.7,252422,164074.3,891887
"Japan","vucoo","2017-10-21",73,83600.65,238859,155258.35,304054
"Japan","aeox","2017-10-22",65,79192.05,226263,147070.95,746143
"Japan","apiera","2017-10-23",74,123334.4,352384,229049.6,610762
"Japan","rezota","2017-10-24",77,135899.4,388284,252384.6,850792
"Japan","adoriva","2017-10-25",47,95208.4,272024,176815.6,339019
"Japan","aeox","2017-10-26",3,28740.95,82117,53376.05,581790
"Japan","apiera","2017-10-27",37,30802.45,88007,57204.55,931180
"Japan","rezota","2017-10-28",80,13898.85,39711,25812.15,386894
"Japan","apiera","2017-10-29",93,34679.05,99083,64403.95,817509
"Japan","apiera","2017-10-30",12,159921.65,456919,296997.35,915451
"Japan","adoriva","2017-10-31",83,1121.4,3204,2082.6,312202
"Japan","rezota","2017-11-01",37,47034.75,134385,87350.25,899123
"Japan","aeox","2017-11-02",4,23842.7,68122,44279.3,976084
"Japan","neutratronic","2017-11-03",40,30271.15,86489,56217.85,436885
"Japan","aeox","2017-11-04",26,80769.85,230771,150001.15,137183
"Japan","adoriva","2017-11-05",9,163952.6,468436,304483.4,694791
"Japan","apiera","2017-11-06",19,3503.5,10010,6506.5,262740
"Japan","aeox","2017-11-07",40,79189.25,226255,147065.75,696356
"Japan","aeox","2017-11-08",90,33398.75,95425,62026.25,603946
"Japan","vucoo","2017-11-09",10,166650.05,476143,309492.95,352490
"Japan","neutratronic","2017-11-10",90,146787.55,419393,272605.45,315150
"Japan","vucoo","2017-11-11",16,118618.85,338911,220292.15,965699
"Japan","rezota","2017-11-12",77,2309.3,6598,4288.7,603130
"Japan","aeox","2017-11-13",58,53509.75,152885,99375.25,912261
"Japan","adoriva","2017-11-14",0,8124.9,23214,15089.1,715627
"Japan","neutratronic","2017-11-15",53,133821.45,382347,248525.55,357477
"Japan","rezota","2017-11-16",36,12475.75,35645,23169.25,647771
"Japan","rezota","2017-11-17",88,122448.2,349852,227403.8,244535
"Japan","neutratronic","2017-11-18",64,151193.7,431982,280788.3,877727
"Japan","neutratronic","2017-11-19",81,27420.75,78345,50924.25,337355
"Japan","apiera","2017-11-20",89,135412.2,386892,251479.8,582251
"Japan","adoriva","2017-11-21",94,8260.35,23601,15340.65,306157
"Japan","aeox","2017-11-22",89,173427.1,495506,322078.9,882683
"Japan","adoriva","2017-11-23",87,7033.6,20096,13062.4,308926
"Japan","aeox","2017-11-24",94,11126.85,31791,20664.15,969982
"Japan","vucoo","2017-11-25",16,7173.6,20496,13322.4,160052
"Japan","adoriva","2017-11-26",85,173905.55,496873,322967.45,197746
"Japan","vucoo","2017-11-27",63,155466.15,444189,288722.85,585383
"Japan","apiera","2017-11-28",99,131364.45,375327,243962.55,175982
"Japan","rezota","2017-11-29",32,159706.05,456303,296596.95,313240
"Japan","rezota","2017-11-30",78,16295.65,46559,30263.35,219235
"Japan","rezota","2017-12-01",32,38696.35,110561,71864.65,927942
"Japan","adoriva","2017-12-02",60,84596.4,241704,157107.6,221951
"Japan","aeox","2017-12-03",92,48415.85,138331,89915.15,402503
"Japan","rezota","2017-12-04",45,11981.2,34232,22250.8,939342
"Japan","rezota","2017-12-05",25,40076.4,114504,74427.6,224136
"Japan","apiera","2017-12-06",30,7387.8,21108,13720.2,836015
"Japan","neutratronic","2017-12-07",5,66126.2,188932,122805.8,377389
"Japan","apiera","2017-12-08",94,86695.35,247701,161005.65,560430
"Japan","apiera","2017-12-09",6,117008.15,334309,217300.85,698909
"Japan","apiera","2017-12-10",2,148682.1,424806,276123.9,626568
"Japan","vucoo","2017-12-11",3,29237.95,83537,54299.05,905700
"Japan","vucoo","2017-12-12",69,41476.4,118504,77027.6,713148
"Japan","rezota","2017-12-13",100,88641.35,253261,164619.65,456850
"Japan","adoriva","2017-12-14",58,147341.6,420976,273634.4,662694
"Japan","adoriva","2017-12-15",80,116163.95,331897,215733.05,908855
"Japan","adoriva","2017-12-16",29,129199,369140,239941,907378
"Japan","adoriva","2017-12-17",31,30210.6,86316,56105.4,938446
"Japan","apiera","2017-12-18",46,51446.15,146989,95542.85,549680
"Japan","adoriva","2017-12-19",65,77368.9,221054,143685.1,770419
"Japan","neutratronic","2017-12-20",76,32933.25,94095,61161.75,725100
"Japan","rezota","2017-12-21",43,26150.95,74717,48566.05,392191
"Japan","vucoo","2017-12-22",61,52077.55,148793,96715.45,960958
"Japan","vucoo","2017-12-23",43,126731.5,362090,235358.5,158286
"Japan","aeox","2017-12-24",2,159152.35,454721,295568.65,890671
"Japan","aeox","2017-12-25",24,172951.45,494147,321195.55,111137
"Japan","vucoo","2017-12-26",18,64346.8,183848,119501.2,357078
"Japan","apiera","2017-12-27",79,20593.65,58839,38245.35,800479
"Japan","aeox","2017-12-28",89,4392.15,12549,8156.85,165275
"Japan","rezota","2017-12-29",56,171050.6,488716,317665.4,667741
"Japan","vucoo","2017-12-30",51,165206.3,472018,306811.7,655334
"Japan","aeox","2017-12-31",21,150754.8,430728,279973.2,201857
"United States","adoriva","2017-01-01",13,1179.5,3370,2190.5,231131
"United States","apiera","2017-01-02",24,87912.3,251178,163265.7,839286
"United States","neutratronic","2017-01-03",54,135594.2,387412,251817.8,479020
"United States","vucoo","2017-01-04",66,169385.3,483958,314572.7,684194
"United States","neutratronic","2017-01-05",51,59793.65,170839,111045.35,510452
"United States","aeox","2017-01-06",75,59419.15,169769,110349.85,967161
"United States","aeox","2017-01-07",88,65056.25,185875,120818.75,461655
"United States","apiera","2017-01-08",75,84425.25,241215,156789.75,346694
"United States","aeox","2017-01-09",18,144536.35,412961,268424.65,630595
"United States","adoriva","2017-01-10",17,69018.6,197196,128177.4,226438
"United States","rezota","2017-01-11",87,152258.05,435023,282764.95,979422
"United States","apiera","2017-01-12",68,18582.9,53094,34511.1,431176
"United States","apiera","2017-01-13",94,170445.1,486986,316540.9,798013
"United States","neutratronic","2017-01-14",24,31871.35,91061,59189.65,951832
"United States","adoriva","2017-01-15",37,13426.7,38362,24935.3,842325
"United States","vucoo","2017-01-16",31,143578.75,410225,266646.25,737479
"United States","neutratronic","2017-01-17",47,13335,38100,24765,257075
"United States","neutratronic","2017-01-18",78,148821.75,425205,276383.25,274273
"United States","adoriva","2017-01-19",17,174724.2,499212,324487.8,474093
"United States","vucoo","2017-01-20",27,6353.9,18154,11800.1,651080
"United States","neutratronic","2017-01-21",81,157481.45,449947,292465.55,946169
"United States","adoriva","2017-01-22",52,53521.3,152918,99396.7,168638
"United States","rezota","2017-01-23",9,99364.3,283898,184533.7,999360
"United States","apiera","2017-01-24",36,66551.45,190147,123595.55,891724
"United States","aeox","2017-01-25",31,6049.05,17283,11233.95,211424
"United States","rezota","2017-01-26",78,12228.65,34939,22710.35,261857
"United States","vucoo","2017-01-27",29,118118,337480,219362,587180
"United States","apiera","2017-01-28",82,58299.85,166571,108271.15,620926
"United States","neutratronic","2017-01-29",40,32012.4,91464,59451.6,683211
"United States","aeox","2017-01-30",88,104437.9,298394,193956.1,800672
"United States","aeox","2017-01-31",40,107276.4,306504,199227.6,236494
"United States","rezota","2017-02-01",4,89426.75,255505,166078.25,307657
"United States","vucoo","2017-02-02",46,9975.35,28501,18525.65,300935
"United States","rezota","2017-02-03",35,49091.35,140261,91169.65,419710
"United States","neutratronic","2017-02-04",42,96281.85,275091,178809.15,321810
"United States","adoriva","2017-02-05",44,138569.9,395914,257344.1,551419
"United States","aeox","2017-02-06",60,17413.9,49754,32340.1,828783
"United States","aeox","2017-02-07",23,126990.5,362830,235839.5,930543
"United States","rezota","2017-02-08",7,161685.3,461958,300272.7,924548
"United States","aeox","2017-02-09",29,131702.55,376293,244590.45,361883
