"TARGET_DATE","ACCOUNT_ID","Activities","BEHIND_TARGET","AHEAD_TARGET","Hours","ON_TARGET","Offset"
"1/6/17","A0017",99,77300,23300,127,48700,-23513190
"1/7/17","A0017",48,61900,18600,97,39500,-20921190
"1/8/17","A0017",43,69000,20800,70,41900,-18242790
"1/9/17","A0017",150,74500,23100,197,44300,-15564390
"1/10/17","A0017",136,99900,38000,99,65300,-12972390
"1/11/17","A0017",78,73000,33300,74,52200,-10293990
"1/12/17","A0017",108,80900,37500,83,60900,-7701990
"1/1/18","A0017",57,56800,26300,89,43900,-5023590
"1/2/18","A0017",54,47400,22300,118,33500,-2345190
"1/2/17","A0018",106,75200,47700,110,61000,-33881190
"1/3/17","A0018",145,79500,37300,135,60900,-31461990
"1/4/17","A0018",83,79400,33800,94,60100,-28783590
"1/5/17","A0018",80,72400,29900,108,49600,-26191590
"1/6/17","A0018",114,78700,32500,131,54100,-23513190
"1/7/17","A0018",70,59700,24700,139,40800,-20921190
"1/8/17","A0018",104,78100,32200,121,55100,-18242790
"1/9/17","A0018",174,79400,32800,196,55300,-15564390
"1/10/17","A0018",100,90300,37300,87,63500,-12972390
"1/11/17","A0018",42,57000,28000,65,43400,-10293990
"1/12/17","A0018",141,72100,40800,136,58600,-7701990
"1/1/18","A0018",26,35300,20000,103,27800,-5023590
"1/2/18","A0018",17,32500,18400,78,25500,-2345190
"1/2/17","A0019",125,80700,44000,94,57400,-33881190
"1/3/17","A0019",169,77600,42300,137,58700,-31461990
"1/4/17","A0019",84,65800,27500,95,48600,-28783590
"1/5/17","A0019",81,61400,25600,105,42200,-26191590
"1/6/17","A0019",123,68500,28600,128,50400,-23513190
"1/7/17","A0019",134,62700,26200,166,46700,-20921190
"1/8/17","A0019",71,57900,25900,90,42000,-18242790
"1/9/17","A0019",209,78600,35100,144,59300,-15564390
"1/10/17","A0019",162,80000,35800,108,56100,-12972390
"1/11/17","A0019",22,66600,36800,21,48800,-10293990
"1/12/17","A0019",106,59900,33100,126,46500,-7701990
"1/1/18","A0019",16,40800,23300,39,31900,-5023590
"1/2/18","A0019",63,45000,25800,123,35900,-2345190
"1/2/17","A0020",112,78000,25700,88,53500,-33881190
"1/3/17","A0020",96,69100,22800,96,42900,-31461990
"1/4/17","A0020",116,103900,25300,94,56300,-28783590
"1/5/17","A0020",87,102400,24900,73,53500,-26191590
"1/6/17","A0020",108,97400,23700,100,50900,-23513190
"1/7/17","A0020",70,85700,21700,84,49600,-20921190
"1/8/17","A0020",43,75600,19100,66,41100,-18242790
"1/9/17","A0020",111,87900,22200,126,49000,-15564390
"1/10/17","A0020",55,80500,36600,74,47900,-12972390
"1/11/17","A0020",49,43500,24000,93,34000,-10293990
"1/12/17","A0020",88,60200,33300,87,47900,-7701990
"1/1/18","A0020",46,44100,24400,86,34600,-5023590
"1/2/18","A0020",15,29700,18000,50,23500,-2345190
"1/2/17","A0021",142,67700,30900,115,47400,-33881190
"1/3/17","A0021",84,60200,27500,86,45000,-31461990
"1/4/17","A0021",147,69900,32000,111,54700,-28783590
"1/5/17","A0021",119,66000,28000,117,49900,-26191590
"1/6/17","A0021",89,63000,26800,96,47300,-23513190
"1/7/17","A0021",78,66100,28000,77,48200,-20921190
"1/8/17","A0021",95,66300,28100,93,49100,-18242790
"1/9/17","A0021",172,73400,33200,137,55700,-15564390
"1/10/17","A0021",94,60500,27300,110,45100,-12972390
"1/11/17","A0021",118,73200,33100,95,54600,-10293990
"1/12/17","A0021",189,63800,35300,133,53700,-7701990
"1/1/18","A0021",45,52900,35600,46,45700,-5023590
"1/2/18","A0021",138,57200,38500,121,49300,-2345190
"1/2/17","A0022",98,99000,22400,81,59400,-33881190
"1/3/17","A0022",93,92400,20900,88,58100,-31461990
"1/4/17","A0022",145,86400,19500,157,51400,-28783590
"1/5/17","A0022",93,71000,16000,149,40500,-26191590
"1/6/17","A0022",122,100800,22800,97,66100,-23513190
"1/7/17","A0022",126,87600,20300,126,53600,-20921190
"1/8/17","A0022",76,95600,41300,64,62400,-18242790
"1/9/17","A0022",47,68400,29600,77,41700,-15564390
"1/10/17","A0022",112,85000,36700,119,54000,-12972390
"1/11/17","A0022",55,62100,29500,109,41400,-10293990
"1/12/17","A0022",4,28800,13600,33,18900,-7701990
"1/1/18","A0022",73,55800,33200,114,42900,-5023590
"1/2/18","A0022",105,73100,43500,96,54400,-2345190
"1/2/17","A0023",67,88500,4400,78,44500,-33881190
"1/3/17","A0023",195,115800,31000,133,62000,-31461990
"1/4/17","A0023",64,54100,21300,92,38400,-28783590
"1/5/17","A0023",109,80100,31300,72,54100,-26191590
"1/6/17","A0023",168,102100,29100,128,58000,-23513190
"1/7/17","A0023",75,82500,23500,88,49700,-20921190
"1/8/17","A0023",31,67900,19300,53,38100,-18242790
"1/9/17","A0023",90,86000,24500,97,48100,-15564390
"1/10/17","A0023",62,97200,27700,52,58700,-12972390
"1/11/17","A0023",46,58000,16500,109,32500,-10293990
"1/12/17","A0023",74,71100,25400,116,43400,-7701990
"1/1/18","A0023",21,35200,17800,67,27200,-5023590
"1/2/18","A0023",56,54600,26200,74,40100,-2345190
"1/2/17","A0024",100,118100,31500,53,60600,-33881190
"1/3/17","A0024",238,116700,42100,129,64900,-31461990
"1/4/17","A0024",137,112600,31000,80,59900,-28783590
"1/5/17","A0024",94,103500,28500,65,58000,-26191590
"1/6/17","A0024",138,104900,28900,93,59800,-23513190
"1/7/17","A0024",30,54400,15000,74,34000,-20921190
"1/8/17","A0024",33,49300,13600,100,29500,-18242790
"1/9/17","A0024",151,84000,25800,128,54700,-15564390
"1/10/17","A0024",102,90400,27800,74,56900,-12972390
"1/11/17","A0024",136,98900,35600,83,63000,-10293990
"1/12/17","A0024",106,79600,28700,100,50300,-7701990
"1/1/18","A0024",87,76000,27400,90,49100,-5023590
"1/2/18","A0024",12,41600,15000,41,25400,-2345190
"1/2/17","A0025",71,78700,44400,69,54300,-33881190
"1/3/17","A0025",140,99900,52800,97,70900,-31461990
"1/4/17","A0025",93,123500,49300,74,75900,-28783590
"1/5/17","A0025",70,90000,19900,105,51700,-26191590
"1/6/17","A0025",80,106100,23400,86,63700,-23513190
"1/7/17","A0025",146,112500,24800,140,69300,-20921190
"1/8/17","A0025",73,108200,23900,75,63300,-18242790
"1/9/17","A0025",79,84000,18600,135,51300,-15564390
"1/10/17","A0025",61,91800,20300,87,51100,-12972390
"1/11/17","A0025",39,66200,17800,73,39900,-10293990
"1/12/17","A0025",50,77800,28600,68,51900,-7701990
"1/1/18","A0025",40,58000,21300,97,39600,-5023590
"1/2/18","A0025",107,72000,31700,117,51800,-2345190
"1/2/17","A0026",176,102400,39100,147,63100,-33881190
"1/3/17","A0026",167,142000,39400,137,78000,-31461990
"1/4/17","A0026",233,153900,41800,170,96200,-28783590
"1/5/17","A0026",164,152500,41400,122,89500,-26191590
"1/6/17","A0026",242,168800,75000,147,105500,-23513190
"1/7/17","A0026",181,149300,47000,140,89000,-20921190
"1/8/17","A0026",43,87600,27600,98,55000,-18242790
"1/9/17","A0026",13,42300,13300,126,27100,-15564390
"1/10/17","A0026",19,47400,14900,148,28300,-12972390
"1/11/17","A0026",89,71100,33100,140,55100,-10293990
"1/12/17","A0026",197,110300,51300,128,89100,-7701990
"1/1/18","A0026",29,81700,38000,35,63900,-5023590
"1/2/18","A0026",154,89000,49100,154,70700,-2345190
"1/2/17","A0027",69,84600,41000,69,61900,-33881190
"1/3/17","A0027",178,88800,49400,162,66100,-31461990
"1/4/17","A0027",121,100800,43600,141,63200,-28783590
"1/5/17","A0027",151,107000,46300,156,71500,-26191590
"1/6/17","A0027",310,131600,57000,212,88300,-23513190
"1/7/17","A0027",150,128400,55600,108,80500,-20921190
"1/8/17","A0027",262,147900,61600,142,92400,-18242790
"1/9/17","A0027",211,121700,50700,169,79800,-15564390
"1/10/17","A0027",82,94400,39300,109,64900,-12972390
"1/11/17","A0027",23,60300,29200,56,45500,-10293990
"1/12/17","A0027",222,101500,46200,213,72900,-7701990
"1/1/18","A0027",85,112600,51300,66,78900,-5023590
"1/2/18","A0027",58,98800,45000,59,74100,-2345190
"1/2/17","A0028",22,42300,19100,72,25900,-33881190
"1/3/17","A0028",179,73700,30200,190,44700,-31461990
"1/4/17","A0028",80,69600,28500,95,46100,-28783590
"1/5/17","A0028",53,52900,24700,84,35400,-26191590
"1/6/17","A0028",95,74000,34500,77,48600,-23513190
"1/7/17","A0028",65,50100,23400,115,32800,-20921190
"1/8/17","A0028",48,56000,26100,68,36300,-18242790
"1/9/17","A0028",79,59600,23400,139,34900,-15564390
"1/10/17","A0028",73,75500,30300,81,44500,-12972390
"1/11/17","A0028",61,68600,27500,82,36500,-10293990
"1/12/17","A0028",209,98500,39500,135,52200,-7701990
"1/1/18","A0028",52,85200,34200,45,46500,-5023590
"1/2/18","A0028",67,62800,22300,107,32400,-2345190
"1/2/17","A0029",1,73000,21200,1,45700,-33881190
"1/3/17","A0029",205,104500,30400,141,67800,-31461990
"1/4/17","A0029",249,109000,59200,157,81000,-28783590
"1/5/17","A0029",94,84900,30000,98,58200,-26191590
"1/6/17","A0029",138,104300,36800,95,72200,-23513190
"1/7/17","A0029",175,94700,32000,160,69300,-20921190
"1/8/17","A0029",32,68500,2000,56,43700,-18242790
"1/9/17","A0029",44,61600,1800,95,38200,-15564390
"1/10/17","A0029",91,91300,2700,89,60900,-12972390
"1/11/17","A0029",46,76200,2300,65,46900,-10293990
"1/12/17","A0029",44,74800,2200,65,49100,-7701990
"1/1/18","A0029",154,97500,2900,133,68000,-5023590
"1/2/18","A0029",22,61800,1900,43,39300,-2345190
"1/2/17","A0030",90,74700,25000,83,52700,-33881190
"1/3/17","A0030",132,87600,53800,89,67800,-31461990
"1/4/17","A0030",160,80800,53700,126,66800,-28783590
"1/5/17","A0030",44,68300,40200,49,54600,-26191590
"1/6/17","A0030",38,53800,31600,67,43900,-23513190
"1/7/17","A0030",363,74600,43900,336,62900,-20921190
"1/8/17","A0030",73,61400,37000,95,50500,-18242790
"1/9/17","A0030",103,69000,41600,106,53700,-15564390
"1/10/17","A0030",119,79000,47600,94,63200,-12972390
"1/11/17","A0030",64,55300,23600,100,40300,-10293990
"1/12/17","A0030",70,61200,26100,89,44000,-7701990
"1/1/18","A0030",26,74800,18500,67,36900,-5023590
"1/2/18","A0030",23,75300,18600,58,35500,-2345190
"1/2/17","A0031",53,52300,32900,82,41000,-33881190
"1/3/17","A0031",224,76800,52700,161,63000,-31461990
"1/4/17","A0031",157,72700,49900,126,61200,-28783590
"1/5/17","A0031",162,75100,35500,122,59400,-26191590
"1/6/17","A0031",140,75500,35700,104,62700,-23513190
"1/7/17","A0031",134,62000,29400,147,50200,-20921190
"1/8/17","A0031",80,58300,27600,100,45000,-18242790
"1/9/17","A0031",170,85200,30900,168,53300,-15564390
"1/10/17","A0031",135,96000,34900,105,59200,-12972390
"1/11/17","A0031",126,92100,33500,107,56200,-10293990
"1/12/17","A0031",197,104400,46400,130,67500,-7701990
"1/1/18","A0031",84,87800,39000,78,56700,-5023590
"1/2/18","A0031",128,88700,44100,117,59600,-2345190
"1/2/17","A0032",67,85600,20600,66,52500,-33881190
"1/3/17","A0032",51,88500,21300,47,56800,-31461990
"1/4/17","A0032",151,100400,24100,108,69900,-28783590
"1/5/17","A0032",38,49800,12000,111,33500,-26191590
"1/6/17","A0032",110,89800,21600,98,57300,-23513190
"1/7/17","A0032",66,92900,17300,92,49100,-20921190
"1/8/17","A0032",145,118000,25600,124,62900,-18242790
"1/9/17","A0032",20,67200,14600,52,32000,-15564390
"1/10/17","A0032",174,110100,23900,171,52600,-12972390
"1/11/17","A0032",126,137800,29900,79,64300,-10293990
"1/12/17","A0032",27,85000,18400,45,41000,-7701990
"1/1/18","A0032",181,129000,28000,130,64000,-5023590
"1/2/18","A0032",29,59100,18400,49,38400,-2345190
"1/2/17","A0033",124,79400,40100,115,49800,-33881190
"1/3/17","A0033",149,88400,45100,111,58800,-31461990
"1/4/17","A0033",77,82800,42300,66,57900,-28783590
"1/5/17","A0033",40,60100,30500,65,42000,-26191590
"1/6/17","A0033",78,58400,29200,134,40200,-23513190
"1/7/17","A0033",51,47600,27800,96,35300,-20921190
"1/8/17","A0033",57,59400,34600,69,45300,-18242790
"1/9/17","A0033",130,63600,37100,138,50000,-15564390
"1/10/17","A0033",94,62700,27800,103,45200,-12972390
"1/11/17","A0033",76,63300,31100,66,45800,-10293990
"1/12/17","A0033",165,83900,36200,106,58600,-7701990
"1/1/18","A0033",120,73300,31600,101,52100,-5023590
"1/2/18","A0033",64,62400,26900,74,42700,-2345190
"1/2/17","A0034",122,104800,34200,141,69600,-33881190
"1/3/17","A0034",124,110500,36000,129,74400,-31461990
"1/4/17","A0034",151,109700,34500,172,75200,-28783590
"1/5/17","A0034",218,143500,45100,145,91100,-26191590
"1/6/17","A0034",166,144000,45200,110,96600,-23513190
"1/7/17","A0034",172,120000,48700,164,84800,-20921190
"1/8/17","A0034",83,96700,39200,121,65700,-18242790
"1/9/17","A0034",34,60700,24600,125,38100,-15564390
"1/10/17","A0034",129,107900,51400,152,74100,-12972390
"1/11/17","A0034",41,61400,35600,102,49000,-10293990
"1/12/17","A0034",39,76400,51100,62,61900,-7701990
"1/1/18","A0034",138,86300,57700,172,68900,-5023590
"1/2/18","A0034",126,91900,49800,138,71600,-2345190
"1/2/17","A0035",167,88400,52600,119,67800,-33881190
"1/3/17","A0035",184,93300,50200,144,70200,-31461990
"1/4/17","A0035",151,87300,40700,135,64700,-28783590
"1/5/17","A0035",90,81100,37800,93,58600,-26191590
"1/6/17","A0035",129,82300,38400,129,60600,-23513190
"1/7/17","A0035",147,82000,38300,149,60800,-20921190
"1/8/17","A0035",70,67600,31600,104,49400,-18242790
"1/9/17","A0035",126,84000,39200,122,64300,-15564390
"1/10/17","A0035",135,77200,39500,128,61000,-12972390
"1/11/17","A0035",88,74700,53000,89,61200,-10293990
"1/12/17","A0035",148,73000,50700,157,58300,-7701990
"1/1/18","A0035",54,65400,45400,72,52900,-5023590
"1/2/18","A0035",54,62400,43300,79,49900,-2345190
"1/2/17","A0036",66,65200,12300,113,42100,-33881190
"1/3/17","A0036",54,63700,28800,97,46200,-31461990
"1/4/17","A0036",163,77200,29900,198,52200,-28783590
"1/5/17","A0036",46,69600,26900,68,43400,-26191590
"1/6/17","A0036",32,55600,18800,74,33800,-23513190
"1/7/17","A0036",93,65800,22200,155,38200,-20921190
"1/8/17","A0036",15,27900,12700,75,19000,-18242790
"1/9/17","A0036",111,60000,27200,123,38900,-15564390
"1/10/17","A0036",121,86200,31500,101,47300,-12972390
"1/11/17","A0036",60,87900,32100,48,48800,-10293990
"1/12/17","A0036",117,83100,30300,105,45900,-7701990
"1/1/18","A0036",41,67500,30400,56,42200,-5023590
"1/2/18","A0036",92,76200,29800,98,45200,-2345190
"1/2/17","A0037",126,89500,36100,96,58700,-33881190
"1/3/17","A0037",143,95800,38600,95,59800,-31461990
"1/4/17","A0037",157,101500,48900,93,70300,-28783590
"1/5/17","A0037",116,92900,44700,82,66600,-26191590
"1/6/17","A0037",113,74600,42700,124,57800,-23513190
"1/7/17","A0037",53,55800,32400,104,43600,-20921190
"1/8/17","A0037",55,50500,32900,104,41400,-18242790
"1/9/17","A0037",142,67300,43900,151,55200,-15564390
"1/10/17","A0037",106,71000,49200,102,58700,-12972390
