"ACCOUNT_ID","ActivityType","Week","Activities","ExpertHours","Offset"
"A0005","Email/Phone","9/1/16",4,8,5356800
"A0005","Visit","9/1/16",3,0,5356800
"A0005","Email/Phone","8/1/16",6,12,8035200
"A0005","Visit","8/1/16",6,0,8035200
"A0005","Email/Phone","7/1/16",7,14,10713600
"A0005","Visit","7/1/16",2,0,10713600
"A0005","Email/Phone","6/1/16",0,15,13305600
"A0005","Visit","6/1/16",5,0,13305600
"A0005","Email/Phone","5/1/16",1,19,15984000
"A0005","Visit","5/1/16",3,0,15984000
"A0005","Email/Phone","4/1/16",4,8,18576000
"A0005","Visit","4/1/16",4,0,18576000
"A0005","Email/Phone","3/1/16",4,1,21254400
"A0005","Visit","3/1/16",1,0,21254400
"A0005","Email/Phone","2/1/16",7,6,23760000
"A0005","Visit","2/1/16",10,0,23760000
"A0005","Email/Phone","1/1/16",7,12,26438400
"A0005","Visit","1/1/16",5,0,26438400
"A0005","Email/Phone","12/1/15",5,2,29116800
"A0005","Visit","12/1/15",2,0,29116800
"A0005","Email/Phone","11/1/15",3,14,31708800
"A0005","Visit","11/1/15",10,0,31708800
"A0005","Email/Phone","10/1/15",2,6,34387200
"A0005","Visit","10/1/15",10,0,34387200
"A0005","Email/Phone","9/1/15",5,6,36979200
"A0005","Visit","9/1/15",10,0,36979200
"A0006","Email/Phone","11/1/16",6,20,86400
"A0006","Visit","11/1/16",6,0,86400
"A0006","Email/Phone","11/1/16",1,3,86400
"A0006","Visit","11/1/16",4,0,86400
"A0006","Email/Phone","11/1/16",4,14,86400
"A0006","Visit","11/1/16",9,0,86400
"A0006","Email/Phone","10/1/16",0,7,2764800
"A0006","Visit","10/1/16",7,0,2764800
"A0006","Email/Phone","10/1/16",4,11,2764800
"A0006","Visit","10/1/16",6,0,2764800
"A0006","Email/Phone","10/1/16",5,7,2764800
"A0006","Visit","10/1/16",8,0,2764800
"A0006","Email/Phone","9/1/16",1,9,5356800
"A0006","Visit","9/1/16",1,0,5356800
"A0006","Email/Phone","9/1/16",6,5,5356800
"A0006","Visit","9/1/16",2,0,5356800
"A0006","Email/Phone","9/1/16",5,12,5356800
"A0006","Visit","9/1/16",10,0,5356800
"A0006","Email/Phone","8/1/16",7,6,8035200
"A0006","Visit","8/1/16",0,0,8035200
"A0006","Email/Phone","8/1/16",5,6,8035200
"A0006","Visit","8/1/16",0,0,8035200
"A0006","Email/Phone","8/1/16",0,3,8035200
"A0006","Visit","8/1/16",1,0,8035200
"A0006","Email/Phone","7/1/16",3,15,10713600
"A0006","Visit","7/1/16",10,0,10713600
"A0006","Email/Phone","7/1/16",3,15,10713600
"A0006","Visit","7/1/16",5,0,10713600
"A0006","Email/Phone","7/1/16",1,20,10713600
"A0006","Visit","7/1/16",4,0,10713600
"A0006","Email/Phone","6/1/16",6,8,13305600
"A0006","Visit","6/1/16",5,0,13305600
"A0006","Email/Phone","6/1/16",0,11,13305600
"A0006","Visit","6/1/16",11,0,13305600
"A0006","Email/Phone","6/1/16",2,0,13305600
"A0006","Visit","6/1/16",1,0,13305600
"A0006","Email/Phone","5/1/16",2,6,15984000
"A0006","Visit","5/1/16",6,0,15984000
"A0006","Email/Phone","5/1/16",7,13,15984000
"A0006","Visit","5/1/16",12,0,15984000
"A0006","Email/Phone","5/1/16",6,17,15984000
"A0006","Visit","5/1/16",1,0,15984000
"A0006","Email/Phone","4/1/16",6,17,18576000
"A0006","Visit","4/1/16",3,0,18576000
"A0006","Email/Phone","4/1/16",0,0,18576000
"A0006","Visit","4/1/16",6,0,18576000
"A0006","Email/Phone","4/1/16",5,2,18576000
"A0006","Visit","4/1/16",9,0,18576000
"A0006","Email/Phone","3/1/16",6,6,21254400
"A0006","Visit","3/1/16",4,0,21254400
"A0006","Email/Phone","3/1/16",4,11,21254400
"A0006","Visit","3/1/16",5,0,21254400
"A0006","Email/Phone","3/1/16",0,0,21254400
"A0006","Visit","3/1/16",3,0,21254400
"A0006","Email/Phone","2/1/16",4,1,23760000
"A0006","Visit","2/1/16",5,0,23760000
"A0006","Email/Phone","2/1/16",1,8,23760000
"A0006","Visit","2/1/16",9,0,23760000
"A0006","Email/Phone","2/1/16",5,20,23760000
"A0006","Visit","2/1/16",6,0,23760000
"A0006","Email/Phone","1/1/16",6,8,26438400
"A0006","Visit","1/1/16",2,0,26438400
"A0006","Email/Phone","1/1/16",2,10,26438400
"A0006","Visit","1/1/16",11,0,26438400
"A0006","Email/Phone","1/1/16",0,13,26438400
"A0006","Visit","1/1/16",1,0,26438400
"A0006","Email/Phone","12/1/15",4,0,29116800
"A0006","Visit","12/1/15",7,0,29116800
"A0006","Email/Phone","12/1/15",3,10,29116800
"A0006","Visit","12/1/15",4,0,29116800
"A0006","Email/Phone","12/1/15",4,7,29116800
"A0006","Visit","12/1/15",2,0,29116800
"A0006","Email/Phone","11/1/15",0,17,31708800
"A0006","Visit","11/1/15",9,0,31708800
"A0006","Email/Phone","11/1/15",4,1,31708800
"A0006","Visit","11/1/15",12,0,31708800
"A0006","Email/Phone","11/1/15",3,13,31708800
"A0006","Visit","11/1/15",10,0,31708800
"A0006","Email/Phone","10/1/15",0,17,34387200
"A0006","Visit","10/1/15",5,0,34387200
"A0006","Email/Phone","10/1/15",3,18,34387200
"A0006","Visit","10/1/15",6,0,34387200
"A0006","Email/Phone","10/1/15",1,9,34387200
"A0006","Visit","10/1/15",1,0,34387200
"A0006","Email/Phone","9/1/15",0,16,36979200
"A0006","Visit","9/1/15",3,0,36979200
"A0006","Email/Phone","9/1/15",5,14,36979200
"A0006","Visit","9/1/15",3,0,36979200
"A0006","Email/Phone","9/1/15",5,9,36979200
"A0006","Visit","9/1/15",10,0,36979200
"A0008","Email/Phone","11/1/16",6,6,86400
"A0008","Visit","11/1/16",2,0,86400
"A0008","Email/Phone","10/1/16",3,8,2764800
"A0008","Visit","10/1/16",6,0,2764800
"A0008","Email/Phone","9/1/16",7,8,5356800
"A0008","Visit","9/1/16",2,0,5356800
"A0008","Email/Phone","8/1/16",4,16,8035200
"A0008","Visit","8/1/16",12,0,8035200
"A0008","Email/Phone","7/1/16",0,3,10713600
"A0008","Visit","7/1/16",2,0,10713600
"A0008","Email/Phone","6/1/16",3,2,13305600
"A0008","Visit","6/1/16",7,0,13305600
"A0008","Email/Phone","5/1/16",2,8,15984000
"A0008","Visit","5/1/16",2,0,15984000
"A0008","Email/Phone","4/1/16",3,15,18576000
"A0008","Visit","4/1/16",12,0,18576000
"A0008","Email/Phone","3/1/16",1,19,21254400
"A0008","Visit","3/1/16",12,0,21254400
"A0008","Email/Phone","2/1/16",0,14,23760000
"A0008","Visit","2/1/16",6,0,23760000
"A0008","Email/Phone","1/1/16",4,17,26438400
"A0008","Visit","1/1/16",7,0,26438400
"A0008","Email/Phone","12/1/15",7,7,29116800
"A0008","Visit","12/1/15",4,0,29116800
"A0008","Email/Phone","11/1/15",2,13,31708800
"A0008","Visit","11/1/15",10,0,31708800
"A0008","Email/Phone","10/1/15",5,13,34387200
"A0008","Visit","10/1/15",1,0,34387200
"A0008","Email/Phone","9/1/15",1,6,36979200
"A0008","Visit","9/1/15",7,0,36979200
"A0009","Email/Phone","11/1/16",3,3,86400
"A0009","Visit","11/1/16",7,0,86400
"A0009","Email/Phone","10/1/16",2,2,2764800
"A0009","Visit","10/1/16",8,0,2764800
"A0009","Email/Phone","9/1/16",2,3,5356800
"A0009","Visit","9/1/16",12,0,5356800
"A0009","Email/Phone","8/1/16",6,10,8035200
"A0009","Visit","8/1/16",0,0,8035200
"A0009","Email/Phone","7/1/16",5,11,10713600
"A0009","Visit","7/1/16",11,0,10713600
"A0009","Email/Phone","6/1/16",7,20,13305600
"A0009","Visit","6/1/16",1,0,13305600
"A0009","Email/Phone","5/1/16",4,0,15984000
"A0009","Visit","5/1/16",12,0,15984000
"A0009","Email/Phone","4/1/16",4,10,18576000
"A0009","Visit","4/1/16",7,0,18576000
"A0009","Email/Phone","3/1/16",7,11,21254400
"A0009","Visit","3/1/16",1,0,21254400
"A0009","Email/Phone","2/1/16",0,19,23760000
"A0009","Visit","2/1/16",4,0,23760000
"A0009","Email/Phone","1/1/16",7,19,26438400
"A0009","Visit","1/1/16",0,0,26438400
"A0009","Email/Phone","12/1/15",2,2,29116800
"A0009","Visit","12/1/15",4,0,29116800
"A0009","Email/Phone","11/1/15",1,2,31708800
"A0009","Visit","11/1/15",0,0,31708800
"A0009","Email/Phone","10/1/15",0,10,34387200
"A0009","Visit","10/1/15",12,0,34387200
"A0009","Email/Phone","9/1/15",0,13,36979200
"A0009","Visit","9/1/15",6,0,36979200
"A0010","Email/Phone","11/1/16",1,15,86400
"A0010","Visit","11/1/16",11,0,86400
"A0010","Email/Phone","10/1/16",4,20,2764800
"A0010","Visit","10/1/16",5,0,2764800
"A0010","Email/Phone","9/1/16",7,8,5356800
"A0010","Visit","9/1/16",8,0,5356800
"A0010","Email/Phone","8/1/16",2,4,8035200
"A0010","Visit","8/1/16",4,0,8035200
"A0010","Email/Phone","7/1/16",4,19,10713600
"A0010","Visit","7/1/16",11,0,10713600
"A0010","Email/Phone","6/1/16",6,16,13305600
"A0010","Visit","6/1/16",10,0,13305600
"A0010","Email/Phone","5/1/16",3,15,15984000
"A0010","Visit","5/1/16",11,0,15984000
"A0010","Email/Phone","4/1/16",6,8,18576000
"A0010","Visit","4/1/16",5,0,18576000
"A0010","Email/Phone","3/1/16",4,12,21254400
"A0010","Visit","3/1/16",8,0,21254400
"A0010","Email/Phone","2/1/16",7,13,23760000
"A0010","Visit","2/1/16",11,0,23760000
"A0010","Email/Phone","1/1/16",0,16,26438400
"A0010","Visit","1/1/16",9,0,26438400
"A0010","Email/Phone","12/1/15",2,19,29116800
"A0010","Visit","12/1/15",7,0,29116800
"A0010","Email/Phone","11/1/15",4,10,31708800
"A0010","Visit","11/1/15",3,0,31708800
"A0010","Email/Phone","10/1/15",6,14,34387200
"A0010","Visit","10/1/15",3,0,34387200
"A0010","Email/Phone","9/1/15",2,4,36979200
"A0010","Visit","9/1/15",2,0,36979200
"A0011","Email/Phone","11/1/16",2,19,86400
"A0011","Visit","11/1/16",2,0,86400
"A0011","Email/Phone","10/1/16",3,20,2764800
"A0011","Visit","10/1/16",9,0,2764800
"A0011","Email/Phone","9/1/16",2,4,5356800
"A0011","Visit","9/1/16",8,0,5356800
"A0011","Email/Phone","8/1/16",7,3,8035200
"A0011","Visit","8/1/16",12,0,8035200
"A0011","Email/Phone","7/1/16",0,0,10713600
"A0011","Visit","7/1/16",11,0,10713600
"A0011","Email/Phone","6/1/16",4,9,13305600
"A0011","Visit","6/1/16",3,0,13305600
"A0011","Email/Phone","5/1/16",4,14,15984000
"A0011","Visit","5/1/16",0,0,15984000
"A0011","Email/Phone","4/1/16",6,8,18576000
"A0011","Visit","4/1/16",0,0,18576000
"A0011","Email/Phone","3/1/16",6,10,21254400
"A0011","Visit","3/1/16",8,0,21254400
"A0011","Email/Phone","2/1/16",0,8,23760000
"A0011","Visit","2/1/16",3,0,23760000
"A0011","Email/Phone","1/1/16",0,12,26438400
"A0011","Visit","1/1/16",4,0,26438400
"A0011","Email/Phone","12/1/15",5,6,29116800
"A0011","Visit","12/1/15",8,0,29116800
"A0011","Email/Phone","11/1/15",5,17,31708800
"A0011","Visit","11/1/15",8,0,31708800
"A0011","Email/Phone","10/1/15",7,7,34387200
"A0011","Visit","10/1/15",5,0,34387200
"A0011","Email/Phone","9/1/15",3,19,36979200
"A0011","Visit","9/1/15",0,0,36979200
"A0012","Email/Phone","11/1/16",0,16,86400
"A0012","Visit","11/1/16",12,0,86400
"A0012","Email/Phone","10/1/16",0,5,2764800
"A0012","Visit","10/1/16",12,0,2764800
"A0012","Email/Phone","9/1/16",0,9,5356800
"A0012","Visit","9/1/16",2,0,5356800
"A0012","Email/Phone","8/1/16",6,2,8035200
"A0012","Visit","8/1/16",9,0,8035200
"A0012","Email/Phone","7/1/16",5,16,10713600
"A0012","Visit","7/1/16",1,0,10713600
"A0012","Email/Phone","6/1/16",1,8,13305600
"A0012","Visit","6/1/16",11,0,13305600
"A0012","Email/Phone","5/1/16",3,16,15984000
"A0012","Visit","5/1/16",0,0,15984000
"A0012","Email/Phone","4/1/16",3,1,18576000
"A0012","Visit","4/1/16",6,0,18576000
"A0012","Email/Phone","3/1/16",4,4,21254400
"A0012","Visit","3/1/16",0,0,21254400
"A0012","Email/Phone","2/1/16",2,18,23760000
"A0012","Visit","2/1/16",7,0,23760000
"A0012","Email/Phone","1/1/16",3,7,26438400
"A0012","Visit","1/1/16",2,0,26438400
"A0012","Email/Phone","12/1/15",0,7,29116800
"A0012","Visit","12/1/15",7,0,29116800
"A0012","Email/Phone","11/1/15",3,11,31708800
"A0012","Visit","11/1/15",8,0,31708800
"A0012","Email/Phone","10/1/15",1,3,34387200
"A0012","Visit","10/1/15",10,0,34387200
"A0012","Email/Phone","9/1/15",4,8,36979200
"A0012","Visit","9/1/15",6,0,36979200
"A0013","Email/Phone","11/1/16",0,4,86400
"A0013","Visit","11/1/16",12,0,86400
"A0013","Email/Phone","10/1/16",0,7,2764800
"A0013","Visit","10/1/16",6,0,2764800
"A0013","Email/Phone","9/1/16",3,7,5356800
"A0013","Visit","9/1/16",9,0,5356800
"A0013","Email/Phone","8/1/16",6,8,8035200
"A0013","Visit","8/1/16",4,0,8035200
"A0013","Email/Phone","7/1/16",6,7,10713600
"A0013","Visit","7/1/16",2,0,10713600
"A0013","Email/Phone","6/1/16",5,1,13305600
"A0013","Visit","6/1/16",4,0,13305600
"A0013","Email/Phone","5/1/16",7,18,15984000
"A0013","Visit","5/1/16",7,0,15984000
"A0013","Email/Phone","4/1/16",5,7,18576000
"A0013","Visit","4/1/16",12,0,18576000
"A0013","Email/Phone","3/1/16",3,1,21254400
"A0013","Visit","3/1/16",8,0,21254400
"A0013","Email/Phone","2/1/16",1,6,23760000
"A0013","Visit","2/1/16",8,0,23760000
"A0013","Email/Phone","1/1/16",0,15,26438400
"A0013","Visit","1/1/16",12,0,26438400
"A0013","Email/Phone","12/1/15",5,20,29116800
"A0013","Visit","12/1/15",1,0,29116800
"A0013","Email/Phone","11/1/15",7,12,31708800
"A0013","Visit","11/1/15",0,0,31708800
"A0013","Email/Phone","10/1/15",4,20,34387200
"A0013","Visit","10/1/15",8,0,34387200
"A0013","Email/Phone","9/1/15",6,11,36979200
"A0013","Visit","9/1/15",10,0,36979200
"A0014","Email/Phone","11/1/16",7,3,86400
"A0014","Visit","11/1/16",4,0,86400
"A0014","Email/Phone","10/1/16",3,9,2764800
"A0014","Visit","10/1/16",7,0,2764800
"A0014","Email/Phone","9/1/16",3,1,5356800
"A0014","Visit","9/1/16",10,0,5356800
"A0014","Email/Phone","8/1/16",6,14,8035200
"A0014","Visit","8/1/16",12,0,8035200
"A0014","Email/Phone","7/1/16",0,20,10713600
"A0014","Visit","7/1/16",0,0,10713600
"A0014","Email/Phone","6/1/16",6,12,13305600
"A0014","Visit","6/1/16",0,0,13305600
"A0014","Email/Phone","5/1/16",2,13,15984000
"A0014","Visit","5/1/16",8,0,15984000
"A0014","Email/Phone","4/1/16",6,3,18576000
"A0014","Visit","4/1/16",7,0,18576000
"A0014","Email/Phone","3/1/16",2,6,21254400
"A0014","Visit","3/1/16",4,0,21254400
"A0014","Email/Phone","2/1/16",4,0,23760000
"A0014","Visit","2/1/16",0,0,23760000
"A0014","Email/Phone","1/1/16",6,8,26438400
"A0014","Visit","1/1/16",8,0,26438400
"A0014","Email/Phone","12/1/15",1,6,29116800
"A0014","Visit","12/1/15",2,0,29116800
"A0014","Email/Phone","11/1/15",2,10,31708800
"A0014","Visit","11/1/15",9,0,31708800
"A0014","Email/Phone","10/1/15",3,4,34387200
"A0014","Visit","10/1/15",2,0,34387200
"A0014","Email/Phone","9/1/15",5,12,36979200
"A0014","Visit","9/1/15",11,0,36979200
"A0015","Email/Phone","11/1/16",1,15,86400
"A0015","Visit","11/1/16",7,0,86400
"A0015","Email/Phone","10/1/16",7,7,2764800
"A0015","Visit","10/1/16",9,0,2764800
"A0015","Email/Phone","9/1/16",6,9,5356800
"A0015","Visit","9/1/16",1,0,5356800
"A0015","Email/Phone","8/1/16",2,4,8035200
"A0015","Visit","8/1/16",5,0,8035200
"A0015","Email/Phone","7/1/16",5,16,10713600
"A0015","Visit","7/1/16",10,0,10713600
"A0015","Email/Phone","6/1/16",4,2,13305600
"A0015","Visit","6/1/16",2,0,13305600
"A0015","Email/Phone","5/1/16",1,2,15984000
"A0015","Visit","5/1/16",6,0,15984000
"A0015","Email/Phone","4/1/16",7,15,18576000
"A0015","Visit","4/1/16",10,0,18576000
"A0015","Email/Phone","3/1/16",3,10,21254400
"A0015","Visit","3/1/16",12,0,21254400
"A0015","Email/Phone","2/1/16",7,17,23760000
"A0015","Visit","2/1/16",4,0,23760000
"A0015","Email/Phone","1/1/16",5,11,26438400
"A0015","Visit","1/1/16",12,0,26438400
"A0015","Email/Phone","12/1/15",5,8,29116800
"A0015","Visit","12/1/15",10,0,29116800
"A0015","Email/Phone","11/1/15",1,0,31708800
"A0015","Visit","11/1/15",5,0,31708800
"A0015","Email/Phone","10/1/15",1,4,34387200
"A0015","Visit","10/1/15",1,0,34387200
"A0015","Email/Phone","9/1/15",4,3,36979200
"A0015","Visit","9/1/15",4,0,36979200
"A0016","Email/Phone","11/1/16",5,9,86400
"A0016","Visit","11/1/16",9,0,86400
"A0016","Email/Phone","10/1/16",6,15,2764800
"A0016","Visit","10/1/16",1,0,2764800
"A0016","Email/Phone","9/1/16",0,0,5356800
"A0016","Visit","9/1/16",10,0,5356800
"A0016","Email/Phone","8/1/16",7,12,8035200
"A0016","Visit","8/1/16",3,0,8035200
"A0016","Email/Phone","7/1/16",2,6,10713600
"A0016","Visit","7/1/16",8,0,10713600
"A0016","Email/Phone","6/1/16",4,17,13305600
"A0016","Visit","6/1/16",7,0,13305600
"A0016","Email/Phone","5/1/16",5,2,15984000
"A0016","Visit","5/1/16",9,0,15984000
"A0016","Email/Phone","4/1/16",3,15,18576000
"A0016","Visit","4/1/16",2,0,18576000
"A0016","Email/Phone","3/1/16",6,10,21254400
"A0016","Visit","3/1/16",6,0,21254400
"A0016","Email/Phone","2/1/16",4,1,23760000
"A0016","Visit","2/1/16",4,0,23760000
"A0016","Email/Phone","1/1/16",5,12,26438400
"A0016","Visit","1/1/16",7,0,26438400
"A0016","Email/Phone","12/1/15",4,2,29116800
"A0016","Visit","12/1/15",11,0,29116800
"A0016","Email/Phone","11/1/15",0,7,31708800
"A0016","Visit","11/1/15",5,0,31708800
"A0016","Email/Phone","10/1/15",7,0,34387200
"A0016","Visit","10/1/15",0,0,34387200
"A0016","Email/Phone","9/1/15",3,8,36979200
