"ProductFamily","OrderEffectiveDate","ProductName","LastProcessedDate","OrderAccountName","OrderParentName","UnitPrice","TotalPrice","Quantity"
"Rippers","2019-02-27","Ripper 27","2020-08-10","Haven Enterprises","Permadyne GmbH, LTD",1000,175000,175
"Specialized Attachments","2020-09-24","Hammer H500","2020-08-10","Integrity Systems","Advanced Communications",4200,1470000,350
"Compactors","2019-09-04","Compactor 9000","2020-08-10","Meridian Partners","Advanced Communications",8100,810000,100
"Specialized Attachments","2019-06-03","Pulverizer P10","2020-08-10","Acme Partners","Ohana Technologies",4500,675000,150
"Brooms","2019-12-24","Pickup Broom PB200","2020-08-10","Integrity Systems","Advanced Communications",7500,3000000,400
"Trenchers","2020-01-08","Trencher T36","2020-08-10","Momentum Design","Ohana Technologies",6000,300000,50
"Rippers","2020-08-30","Ripper 34","2020-08-10","Wellspring, Inc.","Ohana Technologies",1350,573750,425
"Brooms","2020-05-29","Pickup Broom PB100","2020-08-10","Tech Labs","Permadyne GmbH, LTD",6900,3277500,475
"Specialized Attachments","2020-07-13","Backhoe Attachment R2","2020-08-10","Haven Enterprises","Permadyne GmbH, LTD",19500,975000,50
"Rippers","2019-08-23","Ripper 19","2020-08-10","Silodyne Company","Advanced Communications",800,80000,100
"Specialized Attachments","2020-11-07","Pulverizer P20","2020-08-10","Red Studio Designs","Ohana Technologies",4750,1781250,375
"Trenchers","2019-05-15","Trencher T60","2020-08-10","Ohana Incorporated.","Ohana Technologies",9000,3600000,400
"Specialized Attachments","2020-02-18","Backhoe Attachment R1","2020-08-10","Acme Partners","Ohana Technologies",20500,7687500,375
"Trenchers","2020-12-13","Trencher T36","2020-08-10","Momentum Design","Ohana Technologies",6000,1050000,175
"Rippers","2020-04-13","Ripper 19","2020-08-10","Red Studio Designs","Ohana Technologies",800,220000,275
"Brooms","2020-06-15","Utility Broom UB1000","2020-08-10","Wellspring, Inc.","Ohana Technologies",4500,2025000,450
"Trenchers","2019-03-14","Trencher T60","2020-08-10","Tech Labs","Permadyne GmbH, LTD",9000,2025000,225
"Brooms","2019-01-11","Pickup Broom PB100","2020-08-10","Ohana Incorporated.","Ohana Technologies",6900,1207500,175
"Specialized Attachments","2019-11-26","Pulverizer P10","2020-08-10","Meridian Partners","Advanced Communications",4500,1575000,350
"Rippers","2020-03-10","Ripper 34","2020-08-10","Haven Enterprises","Permadyne GmbH, LTD",1350,135000,100
"Specialized Attachments","2019-03-23","Backhoe Attachment R2","2020-08-10","Integrity Systems","Advanced Communications",19500,9262500,475
"Compactors","2019-01-08","Compactor 9500","2020-08-10","Silodyne Company","Advanced Communications",13000,3575000,275
"Specialized Attachments","2020-11-28","Hammer H500","2020-08-10","Wellspring, Inc.","Ohana Technologies",4200,1470000,350
"Rippers","2020-01-28","Ripper 37","2020-08-10","Tech Labs","Permadyne GmbH, LTD",2000,500000,250
"Trenchers","2019-10-23","Trencher T48","2020-08-10","Ohana Incorporated.","Ohana Technologies",6400,2880000,450
"Compactors","2020-10-31","Compactor 9000","2020-08-10","Red Studio Designs","Ohana Technologies",8100,405000,50
"Rippers","2019-09-04","Ripper 27","2020-08-10","Integrity Systems","Advanced Communications",1000,325000,325
"Specialized Attachments","2020-04-15","Pulverizer P20","2020-08-10","Meridian Partners","Advanced Communications",4750,2375000,500
"Compactors","2019-07-07","Compactor 3500","2020-08-10","Haven Enterprises","Permadyne GmbH, LTD",5750,2300000,400
"Specialized Attachments","2020-06-19","Hammer H700","2020-08-10","Momentum Design","Ohana Technologies",5750,1581250,275
"Brooms","2019-06-18","Pickup Broom PB200","2020-08-10","Acme Partners","Ohana Technologies",7500,2625000,350
"Specialized Attachments","2019-12-17","Sweeper S1000","2020-08-10","Silodyne Company","Advanced Communications",7500,750000,100
"Trenchers","2019-08-20","Trencher T36","2020-08-10","Ohana Incorporated.","Ohana Technologies",6000,1050000,175
"Specialized Attachments","2019-05-06","Hammer H500","2020-08-10","Wellspring, Inc.","Ohana Technologies",4200,1575000,375
"Rippers","2019-02-05","Ripper 34","2020-08-10","Momentum Design","Ohana Technologies",1350,675000,500
"Brooms","2019-04-21","Utility Broom UB1000","2020-08-10","Silodyne Company","Advanced Communications",4500,1012500,225
"Specialized Attachments","2020-08-27","Hammer H700","2020-08-10","Red Studio Designs","Ohana Technologies",5750,431250,75
"Specialized Attachments","2019-11-16","Backhoe Attachment R2","2020-08-10","Tech Labs","Permadyne GmbH, LTD",19500,6825000,350
"Trenchers","2020-03-10","Trencher T60","2020-08-10","Haven Enterprises","Permadyne GmbH, LTD",9000,4050000,450
"Compactors","2020-02-18","Compactor 3500","2020-08-10","Meridian Partners","Advanced Communications",5750,1293750,225
"Brooms","2020-05-01","Pickup Broom PB100","2020-08-10","Integrity Systems","Advanced Communications",6900,2932500,425
"Specialized Attachments","2020-09-14","Backhoe Attachment R1","2020-08-10","Acme Partners","Ohana Technologies",20500,2050000,100
"Specialized Attachments","2020-12-31","Sweeper S1000","2020-08-10","Ohana Incorporated.","Ohana Technologies",7500,3375000,450
"Compactors","2020-07-19","Compactor 9000","2020-08-10","Silodyne Company","Advanced Communications",8100,1620000,200
"Rippers","2019-10-10","Ripper 27","2020-08-10","Momentum Design","Ohana Technologies",1000,225000,225
"Compactors","2020-11-04","Compactor 9500","2020-08-10","Haven Enterprises","Permadyne GmbH, LTD",13000,5200000,400
"Brooms","2020-01-20","Pickup Broom PB200","2020-08-10","Tech Labs","Permadyne GmbH, LTD",7500,1687500,225
"Rippers","2019-05-22","Ripper 37","2020-08-10","Wellspring, Inc.","Ohana Technologies",2000,750000,375
"Trenchers","2020-05-14","Trencher T48","2020-08-10","Red Studio Designs","Ohana Technologies",6400,2080000,325
"Rippers","2019-02-17","Ripper 19","2020-08-10","Integrity Systems","Advanced Communications",800,40000,50
"Specialized Attachments","2020-03-09","Pulverizer P10","2020-08-10","Meridian Partners","Advanced Communications",4500,1687500,375
"Specialized Attachments","2020-10-27","Pulverizer P20","2020-08-10","Acme Partners","Ohana Technologies",4750,2375000,500
"Rippers","2019-01-05","Ripper 19","2020-08-10","Meridian Partners","Advanced Communications",800,400000,500
"Compactors","2020-09-02","Compactor 9000","2020-08-10","Ohana Incorporated.","Ohana Technologies",8100,3240000,400
"Specialized Attachments","2020-12-20","Hammer H700","2020-08-10","Silodyne Company","Advanced Communications",5750,431250,75
"Specialized Attachments","2019-08-08","Backhoe Attachment R2","2020-08-10","Haven Enterprises","Permadyne GmbH, LTD",19500,8287500,425
"Brooms","2019-09-17","Pickup Broom PB100","2020-08-10","Tech Labs","Permadyne GmbH, LTD",6900,1035000,150
"Specialized Attachments","2020-07-06","Pulverizer P10","2020-08-10","Acme Partners","Ohana Technologies",4500,2250000,500
"Specialized Attachments","2020-08-21","Pulverizer P20","2020-08-10","Momentum Design","Ohana Technologies",4750,475000,100
"Brooms","2019-12-14","Utility Broom UB1000","2020-08-10","Wellspring, Inc.","Ohana Technologies",4500,337500,75
"Specialized Attachments","2020-04-16","Backhoe Attachment R1","2020-08-10","Red Studio Designs","Ohana Technologies",20500,9737500,475
"Compactors","2020-02-27","Compactor 3500","2020-08-10","Integrity Systems","Advanced Communications",5750,1868750,325
"Rippers","2019-06-15","Ripper 27","2020-08-10","Acme Partners","Ohana Technologies",1000,250000,250
"Compactors","2019-03-30","Compactor 9500","2020-08-10","Ohana Incorporated.","Ohana Technologies",13000,3900000,300
"Specialized Attachments","2020-06-06","Hammer H500","2020-08-10","Silodyne Company","Advanced Communications",4200,1050000,250
"Specialized Attachments","2019-04-25","Sweeper S1000","2020-08-10","Tech Labs","Permadyne GmbH, LTD",7500,3750000,500
"Rippers","2019-07-11","Ripper 34","2020-08-10","Haven Enterprises","Permadyne GmbH, LTD",1350,607500,450
"Trenchers","2019-11-21","Trencher T48","2020-08-10","Integrity Systems","Advanced Communications",6400,2240000,350
"Brooms","2019-03-27","Pickup Broom PB200","2020-08-10","Wellspring, Inc.","Ohana Technologies",7500,1687500,225
"Trenchers","2020-04-25","Trencher T60","2020-08-10","Red Studio Designs","Ohana Technologies",9000,2025000,225
"Rippers","2020-01-27","Ripper 37","2020-08-10","Momentum Design","Ohana Technologies",2000,450000,225
"Trenchers","2019-07-14","Trencher T36","2020-08-10","Meridian Partners","Advanced Communications",6000,1350000,225
"Rippers","2020-02-28","Ripper 34","2020-08-10","Meridian Partners","Advanced Communications",1350,236250,175
"Specialized Attachments","2020-03-28","Backhoe Attachment R1","2020-08-10","Haven Enterprises","Permadyne GmbH, LTD",20500,10250000,500
"Specialized Attachments","2019-08-24","Pulverizer P10","2020-08-10","Acme Partners","Ohana Technologies",4500,1462500,325
"Rippers","2019-09-08","Ripper 37","2020-08-10","Integrity Systems","Advanced Communications",2000,900000,450
"Brooms","2019-02-18","Utility Broom UB1000","2020-08-10","Tech Labs","Permadyne GmbH, LTD",4500,225000,50
"Brooms","2020-09-12","Pickup Broom PB100","2020-08-10","Red Studio Designs","Ohana Technologies",6900,1207500,175
"Compactors","2020-07-04","Compactor 9000","2020-08-10","Silodyne Company","Advanced Communications",8100,405000,50
"Trenchers","2020-10-12","Trencher T36","2020-08-10","Ohana Incorporated.","Ohana Technologies",6000,450000,75
"Specialized Attachments","2019-04-28","Hammer H500","2020-08-10","Momentum Design","Ohana Technologies",4200,420000,100
"Trenchers","2019-12-04","Trencher T48","2020-08-10","Wellspring, Inc.","Ohana Technologies",6400,2720000,425
"Specialized Attachments","2020-12-09","Backhoe Attachment R2","2020-08-10","Integrity Systems","Advanced Communications",19500,9262500,475
"Rippers","2019-10-02","Ripper 19","2020-08-10","Momentum Design","Ohana Technologies",800,320000,400
"Rippers","2020-06-09","Ripper 27","2020-08-10","Haven Enterprises","Permadyne GmbH, LTD",1000,500000,500
"Compactors","2019-11-16","Compactor 9500","2020-08-10","Red Studio Designs","Ohana Technologies",13000,2600000,200
"Specialized Attachments","2020-05-27","Pulverizer P20","2020-08-10","Meridian Partners","Advanced Communications",4750,1187500,250
"Compactors","2020-08-15","Compactor 3500","2020-08-10","Wellspring, Inc.","Ohana Technologies",5750,1437500,250
"Specialized Attachments","2019-06-18","Sweeper S1000","2020-08-10","Ohana Incorporated.","Ohana Technologies",7500,1500000,200
"Specialized Attachments","2019-05-17","Hammer H700","2020-08-10","Silodyne Company","Advanced Communications",5750,575000,100
"Brooms","2020-11-07","Pickup Broom PB200","2020-08-10","Acme Partners","Ohana Technologies",7500,1312500,175
"Trenchers","2019-01-18","Trencher T60","2020-08-10","Tech Labs","Permadyne GmbH, LTD",9000,2925000,325
"Specialized Attachments","2020-08-08","Pulverizer P20","2020-08-10","Ohana Incorporated.","Ohana Technologies",4750,1662500,350
"Specialized Attachments","2019-03-01","Backhoe Attachment R1","2020-08-10","Tech Labs","Permadyne GmbH, LTD",20500,7175000,350
"Rippers","2019-09-29","Ripper 37","2020-08-10","Red Studio Designs","Ohana Technologies",2000,950000,475
"Specialized Attachments","2020-11-13","Pulverizer P10","2020-08-10","Haven Enterprises","Permadyne GmbH, LTD",4500,1012500,225
"Compactors","2020-04-05","Compactor 9500","2020-08-10","Wellspring, Inc.","Ohana Technologies",13000,3250000,250
"Rippers","2019-11-28","Ripper 19","2020-08-10","Momentum Design","Ohana Technologies",800,200000,250
"Specialized Attachments","2020-02-01","Hammer H500","2020-08-10","Acme Partners","Ohana Technologies",4200,945000,225
"Brooms","2019-02-05","Pickup Broom PB100","2020-08-10","Meridian Partners","Advanced Communications",6900,2587500,375
"Brooms","2019-05-17","Utility Broom UB1000","2020-08-10","Silodyne Company","Advanced Communications",4500,675000,150
"Compactors","2020-03-12","Compactor 3500","2020-08-10","Integrity Systems","Advanced Communications",5750,431250,75
"Rippers","2020-12-30","Ripper 34","2020-08-10","Haven Enterprises","Permadyne GmbH, LTD",1350,573750,425
"Trenchers","2019-06-29","Trencher T48","2020-08-10","Integrity Systems","Advanced Communications",6400,2400000,375
"Brooms","2020-06-02","Pickup Broom PB200","2020-08-10","Ohana Incorporated.","Ohana Technologies",7500,1312500,175
"Specialized Attachments","2019-01-23","Hammer H700","2020-08-10","Meridian Partners","Advanced Communications",5750,2587500,450
"Rippers","2019-08-26","Ripper 27","2020-08-10","Acme Partners","Ohana Technologies",1000,125000,125
"Trenchers","2019-12-25","Trencher T36","2020-08-10","Momentum Design","Ohana Technologies",6000,2250000,375
"Compactors","2020-05-24","Compactor 9000","2020-08-10","Wellspring, Inc.","Ohana Technologies",8100,810000,100
"Specialized Attachments","2020-10-23","Backhoe Attachment R2","2020-08-10","Tech Labs","Permadyne GmbH, LTD",19500,6825000,350
"Trenchers","2019-10-16","Trencher T60","2020-08-10","Red Studio Designs","Ohana Technologies",9000,1125000,125
"Specialized Attachments","2019-04-15","Sweeper S1000","2020-08-10","Silodyne Company","Advanced Communications",7500,562500,75
"Rippers","2020-09-07","Ripper 34","2020-08-10","Silodyne Company","Advanced Communications",1350,573750,425
"Rippers","2020-01-15","Ripper 19","2020-08-10","Haven Enterprises","Permadyne GmbH, LTD",800,340000,425
"Specialized Attachments","2020-07-31","Pulverizer P20","2020-08-10","Red Studio Designs","Ohana Technologies",4750,1662500,350
"Brooms","2019-07-16","Utility Broom UB1000","2020-08-10","Integrity Systems","Advanced Communications",4500,787500,175
"Compactors","2020-06-23","Compactor 3500","2020-08-10","Ohana Incorporated.","Ohana Technologies",5750,2731250,475
"Rippers","2019-11-29","Ripper 27","2020-08-10","Momentum Design","Ohana Technologies",1000,175000,175
"Specialized Attachments","2019-04-05","Hammer H500","2020-08-10","Wellspring, Inc.","Ohana Technologies",4200,315000,75
"Specialized Attachments","2020-09-05","Hammer H700","2020-08-10","Meridian Partners","Advanced Communications",5750,575000,100
"Compactors","2019-05-23","Compactor 9000","2020-08-10","Tech Labs","Permadyne GmbH, LTD",8100,3847500,475
"Specialized Attachments","2020-10-12","Pulverizer P10","2020-08-10","Acme Partners","Ohana Technologies",4500,1912500,425
"Specialized Attachments","2019-07-19","Backhoe Attachment R1","2020-08-10","Silodyne Company","Advanced Communications",20500,9737500,475
"Trenchers","2020-12-13","Trencher T36","2020-08-10","Momentum Design","Ohana Technologies",6000,2400000,400
"Trenchers","2020-11-16","Trencher T48","2020-08-10","Red Studio Designs","Ohana Technologies",6400,1440000,225
"Compactors","2019-12-02","Compactor 9500","2020-08-10","Meridian Partners","Advanced Communications",13000,5850000,450
"Brooms","2019-06-21","Pickup Broom PB200","2020-08-10","Tech Labs","Permadyne GmbH, LTD",7500,2437500,325
"Trenchers","2019-02-08","Trencher T60","2020-08-10","Ohana Incorporated.","Ohana Technologies",9000,1575000,175
"Specialized Attachments","2019-08-22","Backhoe Attachment R2","2020-08-10","Haven Enterprises","Permadyne GmbH, LTD",19500,3412500,175
"Rippers","2020-02-27","Ripper 37","2020-08-10","Wellspring, Inc.","Ohana Technologies",2000,750000,375
"Specialized Attachments","2019-01-03","Sweeper S1000","2020-08-10","Acme Partners","Ohana Technologies",7500,375000,50
"Brooms","2020-01-16","Pickup Broom PB100","2020-08-10","Integrity Systems","Advanced Communications",6900,1725000,250
"Compactors","2020-08-31","Compactor 9000","2020-08-10","Acme Partners","Ohana Technologies",8100,2227500,275
"Brooms","2019-10-23","Utility Broom UB1000","2020-08-10","Wellspring, Inc.","Ohana Technologies",4500,1575000,350
"Specialized Attachments","2020-07-08","Backhoe Attachment R2","2020-08-10","Momentum Design","Ohana Technologies",19500,6825000,350
"Brooms","2019-09-29","Pickup Broom PB100","2020-08-10","Haven Enterprises","Permadyne GmbH, LTD",6900,2587500,375
"Compactors","2020-04-16","Compactor 9500","2020-08-10","Ohana Incorporated.","Ohana Technologies",13000,975000,75
"Specialized Attachments","2020-03-04","Pulverizer P20","2020-08-10","Meridian Partners","Advanced Communications",4750,2018750,425
"Rippers","2020-05-29","Ripper 37","2020-08-10","Tech Labs","Permadyne GmbH, LTD",2000,250000,125
"Specialized Attachments","2019-03-07","Backhoe Attachment R1","2020-08-10","Integrity Systems","Advanced Communications",20500,9225000,450
"Specialized Attachments","2020-01-08","Pulverizer P10","2020-08-10","Red Studio Designs","Ohana Technologies",4500,900000,200
"Trenchers","2020-08-14","Trencher T48","2020-08-10","Silodyne Company","Advanced Communications",6400,480000,75
"Trenchers","2020-10-16","Trencher T60","2020-08-10","Silodyne Company","Advanced Communications",9000,4050000,450
"Specialized Attachments","2019-09-08","Hammer H700","2020-08-10","Haven Enterprises","Permadyne GmbH, LTD",5750,862500,150
"Specialized Attachments","2019-10-19","Sweeper S1000","2020-08-10","Momentum Design","Ohana Technologies",7500,3000000,400
"Brooms","2020-04-04","Pickup Broom PB200","2020-08-10","Red Studio Designs","Ohana Technologies",7500,2250000,300
"Trenchers","2019-08-31","Trencher T36","2020-08-10","Acme Partners","Ohana Technologies",6000,2100000,350
"Specialized Attachments","2020-11-06","Hammer H500","2020-08-10","Wellspring, Inc.","Ohana Technologies",4200,1890000,450
"Compactors","2019-07-02","Compactor 3500","2020-08-10","Integrity Systems","Advanced Communications",5750,1437500,250
"Rippers","2019-03-06","Ripper 34","2020-08-10","Ohana Incorporated.","Ohana Technologies",1350,270000,200
"Rippers","2020-05-30","Ripper 19","2020-08-10","Meridian Partners","Advanced Communications",800,280000,350
"Rippers","2020-02-22","Ripper 27","2020-08-10","Tech Labs","Permadyne GmbH, LTD",1000,150000,150
"Specialized Attachments","2020-07-14","Backhoe Attachment R1","2020-08-10","Haven Enterprises","Permadyne GmbH, LTD",20500,7175000,350
"Rippers","2019-02-18","Ripper 34","2020-08-10","Momentum Design","Ohana Technologies",1350,135000,100
"Trenchers","2020-03-27","Trencher T48","2020-08-10","Wellspring, Inc.","Ohana Technologies",6400,1280000,200
"Compactors","2019-06-06","Compactor 9000","2020-08-10","Red Studio Designs","Ohana Technologies",8100,4050000,500
"Compactors","2019-01-29","Compactor 3500","2020-08-10","Ohana Incorporated.","Ohana Technologies",5750,718750,125
"Rippers","2020-12-14","Ripper 19","2020-08-10","Silodyne Company","Advanced Communications",800,120000,150
"Specialized Attachments","2020-09-22","Pulverizer P10","2020-08-10","Integrity Systems","Advanced Communications",4500,2250000,500
"Brooms","2020-06-13","Pickup Broom PB200","2020-08-10","Meridian Partners","Advanced Communications",7500,375000,50
"Specialized Attachments","2019-12-15","Hammer H700","2020-08-10","Tech Labs","Permadyne GmbH, LTD",5750,2012500,350
"Trenchers","2019-04-05","Trencher T60","2020-08-10","Acme Partners","Ohana Technologies",9000,3375000,375
"Specialized Attachments","2019-11-24","Backhoe Attachment R2","2020-08-10","Meridian Partners","Advanced Communications",19500,9750000,500
"Trenchers","2019-05-29","Trencher T36","2020-08-10","Integrity Systems","Advanced Communications",6000,1200000,200
"Compactors","2020-08-19","Compactor 9500","2020-08-10","Acme Partners","Ohana Technologies",13000,5525000,425
"Brooms","2019-07-02","Utility Broom UB1000","2020-08-10","Ohana Incorporated.","Ohana Technologies",4500,2025000,450
"Brooms","2019-08-11","Pickup Broom PB100","2020-08-10","Haven Enterprises","Permadyne GmbH, LTD",6900,3450000,500
"Specialized Attachments","2019-10-11","Sweeper S1000","2020-08-10","Momentum Design","Ohana Technologies",7500,3000000,400
"Specialized Attachments","2020-02-22","Hammer H500","2020-08-10","Silodyne Company","Advanced Communications",4200,525000,125
"Specialized Attachments","2020-11-16","Pulverizer P20","2020-08-10","Tech Labs","Permadyne GmbH, LTD",4750,356250,75
"Rippers","2020-12-31","Ripper 27","2020-08-10","Red Studio Designs","Ohana Technologies",1000,425000,425
"Rippers","2019-12-23","Ripper 37","2020-08-10","Wellspring, Inc.","Ohana Technologies",2000,200000,100
"Specialized Attachments","2020-01-14","Hammer H700","2020-08-10","Acme Partners","Ohana Technologies",5750,1581250,275
"Specialized Attachments","2020-10-27","Pulverizer P10","2020-08-10","Silodyne Company","Advanced Communications",4500,1687500,375
"Brooms","2019-03-07","Pickup Broom PB100","2020-08-10","Ohana Incorporated.","Ohana Technologies",6900,3105000,450
"Compactors","2019-04-20","Compactor 3500","2020-08-10","Haven Enterprises","Permadyne GmbH, LTD",5750,1437500,250
"Specialized Attachments","2019-11-20","Hammer H500","2020-08-10","Momentum Design","Ohana Technologies",4200,945000,225
"Brooms","2020-05-22","Utility Broom UB1000","2020-08-10","Red Studio Designs","Ohana Technologies",4500,2250000,500
"Specialized Attachments","2020-06-19","Sweeper S1000","2020-08-10","Tech Labs","Permadyne GmbH, LTD",7500,1687500,225
"Compactors","2020-03-21","Compactor 9500","2020-08-10","Wellspring, Inc.","Ohana Technologies",13000,4550000,350
"Brooms","2020-07-13","Pickup Broom PB200","2020-08-10","Meridian Partners","Advanced Communications",7500,3375000,450
"Compactors","2020-09-23","Compactor 9000","2020-08-10","Integrity Systems","Advanced Communications",8100,1417500,175
"Rippers","2019-06-15","Ripper 19","2020-08-10","Meridian Partners","Advanced Communications",800,360000,450
"Trenchers","2019-01-24","Trencher T48","2020-08-10","Haven Enterprises","Permadyne GmbH, LTD",6400,1440000,225
"Rippers","2020-04-01","Ripper 34","2020-08-10","Momentum Design","Ohana Technologies",1350,438750,325
"Specialized Attachments","2019-05-05","Pulverizer P20","2020-08-10","Integrity Systems","Advanced Communications",4750,950000,200
"Trenchers","2019-02-04","Trencher T60","2020-08-10","Tech Labs","Permadyne GmbH, LTD",9000,4050000,450
"Rippers","2019-09-07","Ripper 27","2020-08-10","Acme Partners","Ohana Technologies",1000,500000,500
"Trenchers","2019-05-27","Trencher T36","2020-08-10","Wellspring, Inc.","Ohana Technologies",6000,1650000,275
"Specialized Attachments","2020-05-05","Backhoe Attachment R2","2020-08-10","Ohana Incorporated.","Ohana Technologies",19500,9750000,500
"Specialized Attachments","2020-09-21","Backhoe Attachment R1","2020-08-10","Silodyne Company","Advanced Communications",20500,4612500,225
"Rippers","2019-06-15","Ripper 37","2020-08-10","Red Studio Designs","Ohana Technologies",2000,150000,75
"Specialized Attachments","2019-10-18","Backhoe Attachment R1","2020-08-10","Red Studio Designs","Ohana Technologies",20500,8200000,400
"Specialized Attachments","2019-11-08","Pulverizer P20","2020-08-10","Haven Enterprises","Permadyne GmbH, LTD",4750,593750,125
"Compactors","2019-07-28","Compactor 9500","2020-08-10","Integrity Systems","Advanced Communications",13000,4550000,350
"Trenchers","2019-03-02","Trencher T60","2020-08-10","Tech Labs","Permadyne GmbH, LTD",9000,4275000,475
"Specialized Attachments","2020-03-26","Hammer H700","2020-08-10","Ohana Incorporated.","Ohana Technologies",5750,1868750,325
"Specialized Attachments","2019-01-18","Backhoe Attachment R2","2020-08-10","Momentum Design","Ohana Technologies",19500,7800000,400
"Trenchers","2020-08-11","Trencher T36","2020-08-10","Acme Partners","Ohana Technologies",6000,2250000,375
"Specialized Attachments","2020-06-19","Pulverizer P10","2020-08-10","Wellspring, Inc.","Ohana Technologies",4500,450000,100
"Compactors","2020-07-01","Compactor 9000","2020-08-10","Silodyne Company","Advanced Communications",8100,1215000,150
"Specialized Attachments","2020-11-29","Hammer H500","2020-08-10","Meridian Partners","Advanced Communications",4200,210000,50
"Compactors","2019-12-15","Compactor 3500","2020-08-10","Haven Enterprises","Permadyne GmbH, LTD",5750,1868750,325
"Brooms","2019-02-22","Pickup Broom PB100","2020-08-10","Momentum Design","Ohana Technologies",6900,2760000,400
"Rippers","2019-04-17","Ripper 34","2020-08-10","Red Studio Designs","Ohana Technologies",1350,607500,450
"Brooms","2019-08-22","Utility Broom UB1000","2020-08-10","Tech Labs","Permadyne GmbH, LTD",4500,1462500,325
"Specialized Attachments","2019-09-14","Sweeper S1000","2020-08-10","Wellspring, Inc.","Ohana Technologies",7500,3187500,425
"Rippers","2020-02-08","Ripper 19","2020-08-10","Meridian Partners","Advanced Communications",800,340000,425
"Trenchers","2020-12-10","Trencher T48","2020-08-10","Silodyne Company","Advanced Communications",6400,640000,100
"Rippers","2020-04-18","Ripper 37","2020-08-10","Integrity Systems","Advanced Communications",2000,450000,225
"Rippers","2020-10-12","Ripper 27","2020-08-10","Acme Partners","Ohana Technologies",1000,75000,75
"Brooms","2020-01-22","Pickup Broom PB200","2020-08-10","Ohana Incorporated.","Ohana Technologies",7500,750000,100
"Specialized Attachments","2020-02-13","Backhoe Attachment R1","2020-08-10","Integrity Systems","Advanced Communications",20500,8712500,425
"Trenchers","2020-12-02","Trencher T60","2020-08-10","Momentum Design","Ohana Technologies",9000,3150000,350
"Brooms","2019-08-16","Pickup Broom PB200","2020-08-10","Tech Labs","Permadyne GmbH, LTD",7500,375000,50
