"Account_ID","Description","LastProcessedDate","AppDate_OLD","Vehicle","AppDate","Payment","AppType","Contract","Cost","Base","DeviceUsage","MilesDriven","Variance"
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2019-04-12","Car 10","2020-08-11","Service Plan","Maintenance","Two Years",100,68,70,14730,2
"0013h00000FfrecAAB","Broken Headlight","2021-08-12","2019-04-20","Car 1","2020-08-18","Out of Pocket","Others","One Year",420,70,70,0,0
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2019-06-12","Car 1","2020-10-12","Service Plan","Maintenance","One Year",100,70,70,14831,0
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2019-06-12","Car 8","2020-10-12","Service Plan","Maintenance","Two Years",100,70,70,14786,0
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2019-06-14","Car 2","2020-10-14","Service Plan","Maintenance","One Year",100,70,70,13345,0
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2019-06-16","Car 3","2020-10-16","Service Plan","Maintenance","One Year",100,70,70,13577,0
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2019-06-18","Car 4","2020-10-18","Service Plan","Maintenance","One Year",100,70,70,14795,0
"0013h00000FfrecAAB","Fuel Filter Replacement","2021-08-12","2019-06-18","Car 6","2020-10-18","Out of Pocket","Others","One Year",570,70,70,0,0
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2019-06-20","Car 5","2020-10-20","Service Plan","Maintenance","One Year",100,70,70,13249,0
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2019-06-22","Car 6","2020-10-22","Service Plan","Maintenance","One Year",100,70,71,13120,1
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2019-06-24","Car 7","2020-10-24","Service Plan","Maintenance","One Year",100,70,71,13152,1
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2019-06-26","Car 9","2020-10-26","Service Plan","Maintenance","Two Years",100,70,70,14612,0
"0013h00000FfrecAAB","Broken Window","2021-08-12","2019-06-29","Car 5","2020-10-29","Out of Pocket","Others","One Year",1170,70,70,0,0
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2019-07-11","Car 10","2020-11-10","Service Plan","Maintenance","Two Years",100,70,70,14026,0
"0013h00000FfrecAAB","Radiator Flush","2021-08-12","2019-07-21","Car 2","2020-11-20","Out of Pocket","Others","One Year",700,0,0,0,0
"0013h00000FfrecAAB","Brakes Maintenance","2021-08-12","2019-08-14","Car 20","2020-12-15","Out of Pocket","Others","Month-to-month",500,0,0,0,0
"0013h00000FfrecAAB","Tire Replacement","2021-08-12","2019-08-17","Car 16","2020-12-18","Out of Pocket","Others","Month-to-month",3800,0,0,0,0
"0013h00000FfrecAAB","Broken Headlight","2021-08-12","2019-08-19","Car 24","2020-12-20","Out of Pocket","Others","Month-to-month",1500,0,0,0,0
"0013h00000FfrecAAB","Car Accident","2021-08-12","2019-08-21","Car 12","2020-12-22","Out of Pocket","Others","Month-to-month",5000,0,0,0,0
"0013h00000FfrecAAB","Broken Window","2021-08-12","2019-08-21","Car 5","2020-12-22","Out of Pocket","Others","One Year",2520,0,0,0,0
"0013h00000FfrecAAB","Broken Window","2021-08-12","2019-08-23","Car 18","2020-12-24","Out of Pocket","Others","Month-to-month",2000,0,0,0,0
"0013h00000FfrecAAB","Brakes Maintenance","2021-08-12","2019-08-29","Car 5","2020-12-30","Out of Pocket","Others","One Year",2900,0,0,0,0
"0013h00000FfrecAAB","Broken Headlight","2021-08-12","2019-09-10","Car 3","2021-01-11","Out of Pocket","Others","One Year",1390,0,0,0,0
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2019-09-12","Car 8","2021-01-12","Service Plan","Maintenance","Two Years",100,0,0,0,0
"0013h00000FfrecAAB","End of Contract Recall","2021-08-12","2019-09-12","Car 11","2021-01-12","Service Plan","Recall","Month-to-month",50,0,0,4994,0
"0013h00000FfrecAAB","End of Contract Recall","2021-08-12","2019-09-12","Car 12","2021-01-12","Service Plan","Recall","Month-to-month",50,0,0,3782,0
"0013h00000FfrecAAB","End of Contract Recall","2021-08-12","2019-09-12","Car 13","2021-01-12","Service Plan","Recall","Month-to-month",50,0,0,4448,0
"0013h00000FfrecAAB","End of Contract Recall","2021-08-12","2019-09-12","Car 14","2021-01-12","Service Plan","Recall","Month-to-month",50,0,0,4331,0
"0013h00000FfrecAAB","End of Contract Recall","2021-08-12","2019-09-12","Car 15","2021-01-12","Service Plan","Recall","Month-to-month",50,0,0,3425,0
"0013h00000FfrecAAB","End of Contract Recall","2021-08-12","2019-09-12","Car 16","2021-01-12","Service Plan","Recall","Month-to-month",50,0,0,3937,0
"0013h00000FfrecAAB","End of Contract Recall","2021-08-12","2019-09-12","Car 17","2021-01-12","Service Plan","Recall","Month-to-month",50,0,0,4099,0
"0013h00000FfrecAAB","End of Contract Recall","2021-08-12","2019-09-12","Car 18","2021-01-12","Service Plan","Recall","Month-to-month",50,0,0,3319,0
"0013h00000FfrecAAB","End of Contract Recall","2021-08-12","2019-09-12","Car 19","2021-01-12","Service Plan","Recall","Month-to-month",50,0,0,3386,0
"0013h00000FfrecAAB","End of Contract Recall","2021-08-12","2019-09-12","Car 20","2021-01-12","Service Plan","Recall","Month-to-month",50,0,0,3951,0
"0013h00000FfrecAAB","End of Contract Recall","2021-08-12","2019-09-12","Car 21","2021-01-12","Service Plan","Recall","Month-to-month",50,0,0,3062,0
"0013h00000FfrecAAB","End of Contract Recall","2021-08-12","2019-09-12","Car 22","2021-01-12","Service Plan","Recall","Month-to-month",50,0,0,3816,0
"0013h00000FfrecAAB","End of Contract Recall","2021-08-12","2019-09-12","Car 23","2021-01-12","Service Plan","Recall","Month-to-month",50,0,0,3293,0
"0013h00000FfrecAAB","End of Contract Recall","2021-08-12","2019-09-12","Car 24","2021-01-12","Service Plan","Recall","Month-to-month",50,0,0,4235,0
"0013h00000FfrecAAB","End of Contract Recall","2021-08-12","2019-09-12","Car 25","2021-01-12","Service Plan","Recall","Month-to-month",50,0,0,3108,0
"0013h00000FfrecAAB","End of Contract Recall","2021-08-12","2019-09-12","Car 1","2021-01-12","Service Plan","Recall","One Year",50,0,0,0,0
"0013h00000FfrecAAB","End of Contract Recall","2021-08-12","2019-09-12","Car 2","2021-01-12","Service Plan","Recall","One Year",50,0,0,0,0
"0013h00000FfrecAAB","End of Contract Recall","2021-08-12","2019-09-12","Car 3","2021-01-12","Service Plan","Recall","One Year",50,0,0,0,0
"0013h00000FfrecAAB","End of Contract Recall","2021-08-12","2019-09-12","Car 4","2021-01-12","Service Plan","Recall","One Year",50,0,0,0,0
"0013h00000FfrecAAB","End of Contract Recall","2021-08-12","2019-09-12","Car 5","2021-01-12","Service Plan","Recall","One Year",50,0,0,0,0
"0013h00000FfrecAAB","End of Contract Recall","2021-08-12","2019-09-12","Car 6","2021-01-12","Service Plan","Recall","One Year",50,0,0,0,0
"0013h00000FfrecAAB","End of Contract Recall","2021-08-12","2019-09-12","Car 7","2021-01-12","Service Plan","Recall","One Year",50,0,0,0,0
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2019-09-26","Car 9","2021-01-26","Service Plan","Maintenance","Two Years",100,0,0,0,0
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2019-10-11","Car 10","2021-02-10","Service Plan","Maintenance","Two Years",100,0,0,0,0
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2019-12-13","Car 8","2021-04-14","Service Plan","Maintenance","Two Years",100,0,0,0,0
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2019-12-27","Car 9","2021-04-28","Service Plan","Maintenance","Two Years",100,0,0,0,0
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2020-01-11","Car 10","2021-05-13","Service Plan","Maintenance","Two Years",100,0,0,0,0
"0013h00000FfrecAAB","End of Contract Recall","2021-08-12","2020-04-13","Car 8","2021-08-12","Service Plan","Recall","Two Years",50,0,0,0,0
"0013h00000FfrecAAB","End of Contract Recall","2021-08-12","2020-04-13","Car 9","2021-08-12","Service Plan","Recall","Two Years",50,0,0,0,0
"0013h00000FfrecAAB","End of Contract Recall","2021-08-12","2020-04-13","Car 10","2021-08-12","Service Plan","Recall","Two Years",50,0,0,0,0
