"ccrz__SEOTitle__c","LastModifiedDate","ccrz__InventoryType__c","ccrz__Storefront__c","ccrz__Is_Subscription_Auto_Renewal__c","ccrz__HazardousFlag__c","ccrz__CoolerpakFlag__c","ccrz__Employment_Level__c","ccrz__Is_Subscription_Available__c","ccrz__SKU__c","Name","ccrz__ServiceFlag__c","ccrz__SEODescription__c","ccrz__ProductId__c","ProductCategory.Category.Name","IsDeleted","ccrz__ProductStatus__c","ccrz__StartDate__c","ccrz__ProductType__c","LastViewedDate","ccrz__DryiceFlag__c","ccrz__SEOKeywords__c","ccrz__Subscription_Disclaimer__c","ccrz__AvailabilityMessage__c","ccrz__AvailabilityMessageRT__c","ccrz__ShortDesc__c","ccrz__LongDescRT__c","CreatedDate","Id","ccrz__LongDesc__c","ccrz__OvernightFlag__c","ccrz__HazardousOutside48Flag__c","ccrz__EndDate__c","LastReferencedDate","ccrz__ReviewFlag__c","ccrz__ShippedIndividually__c","ccrz__TaxRateId__c","ccrz__Is_Subscription_Only__c","ccrz__RequiredItemDialogText__c","ccrz__UnitOfMeasure__c","RecordTypeId","ccrz__ShortDescRT__c","ccrz__AlternateName__c","ccrz__ParentProduct__c","ccrz__PortalSiteURL__c","ccrz__GroundFlag__c","ccrz__Industry__c","ccrz__Taxable__c","ProductCategory.Category.Id","SystemModstamp","ccrz__FilterData__c","ccrz__Available_Subscription_Frequencies__c","LastActivityDate","ccrz__ShipSeparately__c","ccrz__NumberOfReviews__c","ccrz__DryiceWeight__c","ccrz__Sequence__c","ccrz__ProductWeight__c","ccrz__Subscription_Frequency__c","ccrz__TotalRating__c","ccrz__Quantityperunit__c","ccrz__ShippingWeight__c","ccrz__LeadTime__c","ccrz__AverageRating__c","ccrz__Subscription_Duration__c"
"Men's Kearny Jacket","2020-05-27T14:48:00.000Z","STANDARD","NTOFranchise","false","false","false",,"false","1035100","Men's Kearny Jacket","false",,,"Jackets","false","Released","2018-06-29","Product",,"false",,,,,,"Long waits at uncovered bus stops or transfer stations can leave you exposed to the elements for extended periods of time. This durable jacket prepares you to hit the city streets despite unpredictable spring weather conditions. Woven nylon HyVent 2L tech","2020-04-14T14:25:48.000Z","a8P3A0000008ZIkUAM","Long waits at uncovered bus stops or transfer stations can leave you exposed to the elements for extended periods of time. This durable jacket prepares you to hit the city streets despite unpredictable spring weather conditions. Woven nylon HyVent 2L tech","false","false","2099-12-31",,"false","false",,"false",,"Each",,,,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=1035100"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JGxUAM","2020-05-27T14:48:00.000Z","Activity=Camping|Gender=Mens|Subcategory=Jackets|Color=Brown|Hoodie=Yes|Material=Denim Nylon|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"Men's Verto S6k Glacier GTX","2020-05-27T14:48:00.000Z","STANDARD","NTOFranchise","false","false","false",,"false","1861100","Men's Verto S6k Glacier GTX","false",,,"Footwear","false","Released","2018-06-29","Product",,"false",,,,,,"New mountaineering provides best-in-class, full-crampon capability from premium Italian craftsmanship and European build.  Waterproof, breathable, GORE-TEX upper membrane combines with lightweight-yet-warm PrimaLoft insulation and Cradle heel technology t","2020-04-14T14:25:48.000Z","a8P3A0000008ZKRUA2","New mountaineering provides best-in-class, full-crampon capability from premium Italian craftsmanship and European build.  Waterproof, breathable, GORE-TEX upper membrane combines with lightweight-yet-warm PrimaLoft insulation and Cradle heel technology t","false","false","2099-12-31",,"false","false",,"false",,"Each",,,,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=1861100"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JH0UAM","2020-05-27T14:48:00.000Z","Activity=Winter|Gender=Mens|Subcategory=Footwear|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"Women's Denali Jacket","2020-05-27T14:48:00.000Z","STANDARD","NTOFranchise","false","false","false",,"false","2000100","Women's Denali Jacket","false",,,"Jackets","false","Released","2018-06-29","Product",,"false",,,,,,"A favorite, classic fleece jacket designed to provide comfort and warmth in cool to cold weather. Abrasion-resistant fabric overlays at shoulders, chest, and elbows increase durability in high-stress areas.  Made with 51-83% recycled content (pre- and/or ","2020-04-14T14:25:48.000Z","a8P3A0000008ZKSUA2","A favorite, classic fleece jacket designed to provide comfort and warmth in cool to cold weather. Abrasion-resistant fabric overlays at shoulders, chest, and elbows increase durability in high-stress areas.  Made with 51-83% recycled content (pre- and/or ","false","false","2099-12-31",,"false","false",,"false",,"Each",,,,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=2000100"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JH1UAM","2020-05-27T14:48:00.000Z","Activity=Camping|Gender=Womens|Subcategory=Jackets|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"Women's Apex Bionic Jacket","2020-05-27T14:48:00.000Z","STANDARD","NTOFranchise","false","false","false",,"false","2004100","Women's Apex Bionic Jacket","false",,,"Jackets","false","Released","2018-06-29","Product",,"false",,,,,,"This superior soft shell is the ultimate all-around coat for windy weather. Constructed with super protective TNF Apex ClimateBlock fabric, this windproof, water-resistant jacket maintains a comfortable level of breathability for full-body protection agai","2020-04-14T14:25:48.000Z","a8P3A0000008ZKTUA2","This superior soft shell is the ultimate all-around coat for windy weather. Constructed with super protective TNF Apex ClimateBlock fabric, this windproof, water-resistant jacket maintains a comfortable level of breathability for full-body protection agai","false","false","2099-12-31",,"false","false",,"false",,"Each",,,,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=2004100"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JH1UAM","2020-05-27T14:48:00.000Z","Activity=Training|Gender=Womens|Subcategory=Jackets|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"Women's Defroster Hoodie","2020-05-27T14:48:00.000Z","STANDARD","NTOFranchise","false","false","false",,"false","2009100","Women's Defroster Hoodie","false",,,"Jackets","false","Released","2018-06-29","Product",,"false",,,,,,"Break into the backcountry wearing, or carrying, this packable Pontetorto hard-faced fleece with exceptional insulating and wicking properties. Use this all-mountain tool as an outer layer in milder conditions or as a breathable, insulating mid-layer in h","2020-04-14T14:25:48.000Z","a8P3A0000008ZKUUA2","Break into the backcountry wearing, or carrying, this packable Pontetorto hard-faced fleece with exceptional insulating and wicking properties. Use this all-mountain tool as an outer layer in milder conditions or as a breathable, insulating mid-layer in h","false","false","2099-12-31",,"false","false",,"false",,"Each",,,,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=2009100"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JH1UAM","2020-05-27T14:48:00.000Z","Activity=Climbing|Gender=Womens|Subcategory=Jackets|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"Women's Defroster Jacket","2020-05-27T14:48:00.000Z","STANDARD","NTOFranchise","false","false","false",,"false","2010100","Women's Defroster Jacket","false",,,"Jackets","false","Released","2018-06-29","Product",,"false",,,,,,"When the weather window opens up, strike out of base camp wearing this Pontetorto hard-faced fleece with exceptional insulating and wicking properties. Use this all-mountain tool as an outer layer in milder conditions or as a breathable, insulating mid-la","2020-04-14T14:25:48.000Z","a8P3A0000008ZKVUA2","When the weather window opens up, strike out of base camp wearing this Pontetorto hard-faced fleece with exceptional insulating and wicking properties. Use this all-mountain tool as an outer layer in milder conditions or as a breathable, insulating mid-la","false","false","2099-12-31",,"false","false",,"false",,"Each",,,,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=2010100"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JH1UAM","2020-05-27T14:48:00.000Z","Activity=Climbing|Gender=Womens|Subcategory=Jackets|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"Women's Leonidas Jacket","2020-05-27T14:48:00.000Z","STANDARD","NTOFranchise","false","false","false",,"false","2011100","Women's Leonidas Jacket","false",,,"Jackets","false","Released","2018-06-29","Product",,"false",,,,,,"Persevere through wet conditions in remote locations with the help of our alpine workhorse, a waterproof soft shell with leakproof fully-taped seams. Four-way stretch HyVent 2L technology provides durable, multi-layer waterproofing that remains breathable","2020-04-14T14:25:48.000Z","a8P3A0000008ZKWUA2","Persevere through wet conditions in remote locations with the help of our alpine workhorse, a waterproof soft shell with leakproof fully-taped seams. Four-way stretch HyVent 2L technology provides durable, multi-layer waterproofing that remains breathable","false","false","2099-12-31",,"false","false",,"false",,"Each",,,,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=2011100"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JH1UAM","2020-05-27T14:48:00.000Z","Activity=Climbing|Gender=Womens|Subcategory=Jackets|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"Women's Pink Ribbon Denali Jacket","2020-05-27T14:48:00.000Z","STANDARD","NTOFranchise","false","false","false",,"false","2013100","Women's Pink Ribbon Denali Jacket","false",,,"Jackets","false","Released","2018-06-29","Product",,"false",,,,,,"We&#39;ve teamed up with Boarding For Breast Cancer, a non-profit, education awareness foundation for to create this season&#39;s iconic Denali Jacket and will make an annual donation to help support their journey to educate and inspire young adults.  Cov","2020-04-14T14:25:48.000Z","a8P3A0000008ZKXUA2","We've teamed up with Boarding For Breast Cancer, a non-profit, education awareness foundation for to create this season's iconic Denali Jacket and will make an annual donation to help support their journey to educate and inspire young adults.  Coveted fle","false","false","2099-12-31",,"false","false",,"false",,"Each",,,,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=2013100"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JH1UAM","2020-05-27T14:48:00.000Z","Activity=Camping|Gender=Womens|Subcategory=Jackets|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"Anygrade Beanie","2020-05-27T14:48:00.000Z","STANDARD","NTOFranchise","false","false","false",,"false","2631100","Anygrade Beanie","false",,,"Accessories","false","Released","2018-06-29","Product",,"false",,,,,,"Keep your dome covered in a bold color this winter with this new winter warrior.  Classic silhouette is soft to the touch.","2020-04-14T14:25:48.000Z","a8P3A0000008ZM2UAM","Keep your dome covered in a bold color this winter with this new winter warrior.  Classic silhouette is soft to the touch.","false","false","2099-12-31",,"false","false",,"false",,"Each",,,,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=2631100"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JH4UAM","2020-05-27T14:48:00.000Z","Activity=Camping|Gender=Womens|Subcategory=Accessories|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"Super Skully","2020-05-27T14:48:00.000Z","STANDARD","NTOFranchise","false","false","false",,"false","2632100","Super Skully","false",,,"Accessories","false","Released","2018-06-29","Product",,"false",,,,,,"A warm, lightweight beanie features new FlashDry technology that dramatically improves dry time and breathability.","2020-04-14T14:25:48.000Z","a8P3A0000008ZM3UAM","A warm, lightweight beanie features new FlashDry technology that dramatically improves dry time and breathability.","false","false","2099-12-31",,"false","false",,"false",,"Each",,,,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=2632100"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JH4UAM","2020-05-27T14:48:00.000Z","Activity=Running|Gender=Womens|Subcategory=Accessories|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"Wicked Beanie","2020-05-27T14:48:00.000Z","STANDARD","NTOFranchise","false","false","false",,"false","2636100","Wicked Beanie","false",,,"Accessories","false","Released","2018-06-29","Product",,"false",,,,,,"Up to 60 percent of the body&#39;s heat can escape from the head if it&#39;s left uncovered.  Don&#39;t let your body heat be part of this statistic.  Stay warm with this classic, downhill-style, slim-fit, stylish beanie.  This product contains at least 9","2020-04-14T14:25:48.000Z","a8P3A0000008ZM4UAM","Up to 60 percent of the body's heat can escape from the head if it's left uncovered.  Don't let your body heat be part of this statistic.  Stay warm with this classic, downhill-style, slim-fit, stylish beanie.  This product contains at least 90% bluesign ","false","false","2099-12-31",,"false","false",,"false",,"Each",,,,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=2636100"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JH4UAM","2020-05-27T14:48:00.000Z","Activity=Running|Gender=Womens|Subcategory=Accessories|",,,"false",0,0,0,1,0,0,1,1,1,0,0
