"ForecastCategory","CloseDate","Stage_IsAdvanced","CreatedDatePrev","Unique_Sort_Key","OpportunityId","ForecastCategoryPrev","StageIsWon","Deleted","ValidToDate","StageName","StageNamePrev","LastProcessedDate","CloseDatePrev","CustomFilter","StagePrevIsWon","OpportunityAccountId","CreatedDate","ValidFromDate","RecordID","StagePrevIsClosed","StageIsClosed","IsPulled","StagePrevSortOrder","IsLastUpdate","Amount_isUpdated","Stage_isUpdated","Amount","AmountPrev","Duration","IsPushed","CloseDate_isUpdated","StageSortOrder","Time_In_Current_Stage_Duration_Seconds"
"Forecast","2019-09-19 00:00:00",False,"2019-08-31 00:16:28","2019-08-21T17:32:37.000Z-a1l3s000002wbF9AAI","0063s00000DYwjQAAT","Forecast",False,False,"2019-09-12 20:55:24","Discovery","Discovery","2019-10-07 14:44:53","2019-09-19 00:00:00",True,False,"0013s00000up7GiAAI","2019-09-04 17:32:37","2019-09-04 17:32:37","a1l3s000002wbF9AAI",False,False,0,2,0,1,0,51000,72361,703367,0,0,2,1267549
"Omitted","2018-03-12 00:00:00",False,"2018-03-04 10:26:50","2019-08-29T20:55:24.000Z-0083s00000n4MGJAA2","0063s00000DYwjSAAT","Omitted",False,False,"3000-01-15 00:00:00","Closed Lost","Closed Lost","2019-10-07 14:44:53","2018-03-12 00:00:00",True,False,"0013s00000up7GkAAI","2019-09-12 20:55:24","2019-09-12 20:55:24","0083s00000n4MGJAA2",True,True,0,7,1,0,0,42857,42857,5146,0,0,7,48167687
"BestCase","2019-01-06 00:00:00",True,"2019-03-31 04:00:00","2019-03-17T16:04:25.000Z-a1l3s000002wbFIAAY","0063s00000DYwjTAAT","Pipeline",False,False,"2019-03-31 20:19:45","Proposal/Quote","Qualification","2019-10-07 14:44:53","2019-01-06 00:00:00",True,False,"0013s00000up7GkAAI","2019-03-31 16:04:25","2019-03-31 16:04:25","a1l3s000002wbFIAAY",False,False,0,1,0,0,1,12742,12742,15320,0,0,4,14188406
"Omitted","2019-04-03 00:00:00",False,"2019-04-01 17:08:11","2019-08-29T20:55:24.000Z-0083s00000n4MGKAA2","0063s00000DYwjTAAT","Omitted",False,False,"3000-01-15 00:00:00","Closed Lost","Closed Lost","2019-10-07 14:44:53","2019-04-03 00:00:00",True,False,"0013s00000up7GkAAI","2019-09-12 20:55:24","2019-09-12 20:55:24","0083s00000n4MGKAA2",True,True,0,7,1,0,0,15116,15116,5146,0,0,7,14188406
"Pipeline","2019-09-23 00:00:00",True,"1970-01-15 00:00:00","2019-04-10T04:00:00.000Z-a1l3s000002wbFRAAY","0063s00000DYwjVAAT","",False,False,"2019-06-09 03:05:35","Qualification","","2019-10-07 14:44:53","1970-01-15 00:00:00",True,"","0013s00000up7GmAAI","2019-04-24 04:00:00","2019-04-24 04:00:00","a1l3s000002wbFRAAY","",False,0,0,0,1,1,65789,0,3971135,1,1,1,5555801
"Pipeline","2019-09-23 00:00:00",False,"2019-07-10 15:04:56","2019-08-29T20:55:24.000Z-0083s00000n4MGMAA2","0063s00000DYwjVAAT","Pipeline",False,False,"3000-01-15 00:00:00","Proposal/Quote","Proposal/Quote","2019-10-07 14:44:53","2019-09-23 00:00:00",True,False,"0013s00000up7GmAAI","2019-09-12 20:55:24","2019-09-12 20:55:24","0083s00000n4MGMAA2",False,False,0,4,1,0,0,65789,65789,5146,0,0,4,5555801
"Pipeline","2019-06-22 00:00:00",True,"1970-01-15 00:00:00","2019-06-25T04:00:00.000Z-a1l3s000002wbFUAAY","0063s00000DYwjWAAT","",False,False,"2019-07-16 22:23:41","Qualification","","2019-10-07 14:44:53","1970-01-15 00:00:00",True,"","0013s00000up7GnAAI","2019-07-09 04:00:00","2019-07-09 04:00:00","a1l3s000002wbFUAAY","",False,0,0,0,1,1,9558,0,671021,1,1,1,2269630
"BestCase","2019-06-22 00:00:00",False,"2019-07-22 02:50:14","2019-07-12T10:53:16.000Z-a1l3s000002wbFXAAY","0063s00000DYwjWAAT","BestCase",False,False,"2019-07-28 09:48:32","Negotiation","Negotiation","2019-10-07 14:44:53","2019-06-22 00:00:00",True,False,"0013s00000up7GnAAI","2019-07-26 10:53:16","2019-07-26 10:53:16","a1l3s000002wbFXAAY",False,False,0,5,0,0,0,9558,9558,168916,0,0,5,2269630
"BestCase","2019-10-26 00:00:00",True,"2019-07-09 04:12:26","2019-06-27T18:42:28.000Z-a1l3s000002wbFdAAI","0063s00000DYwjXAAT","BestCase",False,False,"2019-09-12 20:55:24","Negotiation","Proposal/Quote","2019-10-07 14:44:53","2019-10-26 00:00:00",True,False,"0013s00000up7GoAAI","2019-07-11 18:42:28","2019-07-11 18:42:28","a1l3s000002wbFdAAI",False,False,0,4,0,0,1,15000,15000,5451176,0,0,5,5456349
"Omitted","2018-11-07 00:00:00",False,"2018-08-18 15:22:27","2019-08-29T20:55:24.000Z-0083s00000n4MGPAA2","0063s00000DYwjYAAT","Omitted",False,False,"3000-01-15 00:00:00","Closed Lost","Closed Lost","2019-10-07 14:44:53","2018-11-07 00:00:00",True,False,"0013s00000up7GpAAI","2019-09-12 20:55:24","2019-09-12 20:55:24","0083s00000n4MGPAA2",True,True,0,7,1,0,0,77507,77507,5146,0,0,7,33721150
"Pipeline","2019-08-18 00:00:00",True,"2019-07-03 04:00:00","2019-07-08T14:41:21.000Z-a1l3s000002wbFtAAI","0063s00000DYwjaAAD","Pipeline",False,False,"2019-07-27 15:13:41","Negotiation","Qualification","2019-10-07 14:44:53","2019-08-18 00:00:00",True,False,"0013s00000up7GrAAI","2019-07-22 14:41:21","2019-07-22 14:41:21","a1l3s000002wbFtAAI",False,False,0,1,0,0,1,334831,334831,433940,0,0,5,4086476
"Pipeline","2019-12-16 00:00:00",True,"1970-01-15 00:00:00","2019-06-23T04:00:00.000Z-a1l3s000002wbFvAAI","0063s00000DYwjbAAD","",False,False,"2019-08-26 13:46:55","Qualification","","2019-10-07 14:44:53","1970-01-15 00:00:00",True,"","0013s00000up7GsAAI","2019-07-07 04:00:00","2019-07-07 04:00:00","a1l3s000002wbFvAAI","",False,0,0,0,1,1,40003,0,4355215,1,1,1,1499682
"BestCase","2019-12-16 00:00:00",False,"2019-08-26 13:46:55","2019-08-29T20:55:24.000Z-0083s00000n4MGSAA2","0063s00000DYwjbAAD","BestCase",False,False,"3000-01-15 00:00:00","Discovery","Discovery","2019-10-07 14:44:53","2019-12-16 00:00:00",True,False,"0013s00000up7GsAAI","2019-09-12 20:55:24","2019-09-12 20:55:24","0083s00000n4MGSAA2",False,False,0,2,1,0,0,40003,40003,5146,0,0,2,1499682
"BestCase","2018-12-15 00:00:00",True,"2018-11-16 11:31:04","2018-11-05T03:44:03.000Z-a1l3s000002wbG3AAI","0063s00000DYwjdAAD","Commit",False,False,"2018-12-04 20:27:58","Negotiation","Proposal/Quote","2019-10-07 14:44:53","2018-12-15 00:00:00",True,False,"0013s00000up7GuAAI","2018-11-19 03:44:03","2018-11-19 03:44:03","a1l3s000002wbG3AAI",False,False,0,4,0,0,1,10000,10000,1356235,0,0,5,24371619
"Pipeline","2019-03-09 00:00:00",False,"2018-12-29 16:10:20","2018-12-23T01:40:59.000Z-a1l3s000002wbG8AAI","0063s00000DYwjeAAD","Pipeline",False,False,"2019-02-01 07:07:35","Discovery","Discovery","2019-10-07 14:44:53","2019-01-15 00:00:00",True,False,"0013s00000up7GuAAI","2019-01-06 01:40:59","2019-01-06 01:40:59","a1l3s000002wbG8AAI",False,False,0,2,0,0,0,10000,10000,2265996,1,1,2,19322042
"Omitted","2019-03-09 00:00:00",False,"2019-02-01 07:07:35","2019-08-29T20:55:24.000Z-0083s00000n4MGVAA2","0063s00000DYwjeAAD","Omitted",False,False,"3000-01-15 00:00:00","Closed Lost","Closed Lost","2019-10-07 14:44:53","2019-03-09 00:00:00",True,False,"0013s00000up7GuAAI","2019-09-12 20:55:24","2019-09-12 20:55:24","0083s00000n4MGVAA2",True,True,0,7,1,0,0,10000,10000,5146,0,0,7,19322042
"BestCase","2018-02-26 00:00:00",True,"2017-10-15 04:00:00","2017-12-02T13:09:31.000Z-a1l3s000002wbGBAAY","0063s00000DYwjfAAD","Pipeline",False,False,"2018-01-03 08:38:29","Negotiation","Qualification","2019-10-07 14:44:53","2018-02-26 00:00:00",True,False,"0013s00000up7GuAAI","2017-12-16 13:09:31","2017-12-16 13:09:31","a1l3s000002wbGBAAY",False,False,0,1,0,0,1,10000,10000,1538938,0,0,5,51095518
"BestCase","2018-02-16 00:00:00",False,"2017-12-16 13:09:31","2017-12-20T08:38:29.000Z-a1l3s000002wbGCAAY","0063s00000DYwjfAAD","BestCase",False,False,"2018-01-29 13:09:39","Negotiation","Negotiation","2019-10-07 14:44:53","2018-02-26 00:00:00",True,False,"0013s00000up7GuAAI","2018-01-03 08:38:29","2018-01-03 08:38:29","a1l3s000002wbGCAAY",False,False,1,5,0,0,0,10000,10000,2262670,0,1,5,51095518
"Omitted","2018-06-18 00:00:00",True,"2018-05-15 15:13:37","2018-05-15T09:01:33.000Z-a1l3s000002wbGIAAY","0063s00000DYwjgAAD","Pipeline",False,False,"2019-09-12 20:55:24","Closed Lost","Negotiation","2019-10-07 14:44:53","2018-06-18 00:00:00",True,False,"0013s00000up7GuAAI","2018-05-29 09:01:33","2018-05-29 09:01:33","a1l3s000002wbGIAAY",False,True,0,5,0,0,1,10000,10000,40737231,0,0,7,40742404
"Pipeline","2019-08-04 00:00:00",True,"1970-01-15 00:00:00","2019-03-30T04:00:00.000Z-a1l3s000002wbGJAAY","0063s00000DYwjhAAD","",False,False,"2019-06-19 12:20:13","Qualification","","2019-10-07 14:44:53","1970-01-15 00:00:00",True,"","0013s00000up7GuAAI","2019-04-13 04:00:00","2019-04-13 04:00:00","a1l3s000002wbGJAAY","",False,0,0,0,1,1,4294,0,5818813,1,1,1,6486064
"BestCase","2019-11-30 00:00:00",False,"2019-08-07 00:31:53","2019-08-26T07:05:27.000Z-a1l3s000002wbGTAAY","0063s00000DYwjjAAD","BestCase",False,False,"2019-09-12 20:55:24","Discovery","Discovery","2019-10-07 14:44:53","2019-09-18 00:00:00",True,False,"0013s00000up7GuAAI","2019-09-09 07:05:27","2019-09-09 07:05:27","a1l3s000002wbGTAAY",False,False,0,2,0,0,0,24000,24000,308997,1,1,2,3188984
"BestCase","2019-11-28 00:00:00",False,"2019-09-07 02:01:43","2019-08-29T20:55:24.000Z-0083s00000n4MGbAAM","0063s00000DYwjkAAD","BestCase",False,False,"3000-01-15 00:00:00","Discovery","Discovery","2019-10-07 14:44:53","2019-11-28 00:00:00",True,False,"0013s00000up7GuAAI","2019-09-12 20:55:24","2019-09-12 20:55:24","0083s00000n4MGbAAM",False,False,0,2,1,0,0,36144,36144,5146,0,0,2,505194
"BestCase","2018-12-22 00:00:00",True,"2018-07-01 04:00:00","2018-09-28T17:40:48.000Z-a1l3s000002wbGcAAI","0063s00000DYwjmAAD","Pipeline",False,False,"2018-11-07 01:02:25","Proposal/Quote","Qualification","2019-10-07 14:44:53","2018-12-22 00:00:00",True,False,"0013s00000up7GvAAI","2018-10-12 17:40:48","2018-10-12 17:40:48","a1l3s000002wbGcAAI",False,False,0,1,0,0,1,240270,240270,2186497,0,0,4,26774352
"BestCase","2019-03-08 00:00:00",True,"2019-01-30 12:25:09","2019-01-20T14:56:55.000Z-a1l3s000002wbGgAAI","0063s00000DYwjnAAD","Commit",False,False,"2019-02-10 10:19:20","Discovery","Qualification","2019-10-07 14:44:53","2019-03-08 00:00:00",True,False,"0013s00000up7GvAAI","2019-02-03 14:56:55","2019-02-03 14:56:55","a1l3s000002wbGgAAI",False,False,0,1,0,0,1,18345,18345,588145,0,0,2,16891773
"Commit","2019-03-08 00:00:00",True,"2019-02-10 10:19:20","2019-01-30T00:52:38.000Z-a1l3s000002wbGiAAI","0063s00000DYwjnAAD","BestCase",False,False,"2019-03-01 10:12:04","Proposal/Quote","Discovery","2019-10-07 14:44:53","2019-03-08 00:00:00",True,False,"0013s00000up7GvAAI","2019-02-13 00:52:38","2019-02-13 00:52:38","a1l3s000002wbGiAAI",False,False,0,2,0,0,1,13323,13323,1415966,0,0,4,16891773
"Forecast","2019-11-09 00:00:00",False,"2019-08-10 16:47:41","2019-08-23T21:41:23.000Z-a1l3s000002wbGmAAI","0063s00000DYwjoAAD","Forecast",False,False,"2019-09-12 20:55:24","Discovery","Discovery","2019-10-07 14:44:53","2019-11-09 00:00:00",True,False,"0013s00000up7GwAAI","2019-09-06 21:41:23","2019-09-06 21:41:23","a1l3s000002wbGmAAI",False,False,0,2,0,1,0,11500,8701,515641,0,0,2,2871236
"Commit","2018-06-18 00:00:00",True,"2017-12-22 05:00:00","2018-03-25T13:22:16.000Z-a1l3s000002wbGrAAI","0063s00000DYwjqAAD","Pipeline",False,False,"2018-05-02 19:33:05","Discovery","Qualification","2019-10-07 14:44:53","2018-06-18 00:00:00",True,False,"0013s00000up7GyAAI","2018-04-08 13:22:16","2018-04-08 13:22:16","a1l3s000002wbGrAAI",False,False,0,1,0,0,1,4000,4000,2095849,0,0,2,43037312
"Commit","2018-12-02 00:00:00",False,"2018-06-12 04:00:00","2018-06-07T18:34:37.000Z-a1l3s000002wbGxAAI","0063s00000DYwjsAAD","Pipeline",False,False,"2018-06-22 17:20:33","Qualification","Qualification","2019-10-07 14:44:53","2018-12-02 00:00:00",True,False,"0013s00000up7GzAAI","2018-06-21 18:34:37","2018-06-21 18:34:37","a1l3s000002wbGxAAI",False,False,0,1,0,0,0,13540,13540,81956,0,0,1,26260598
"Pipeline","2018-12-02 00:00:00",False,"2018-06-25 18:10:17","2018-06-24T01:40:15.000Z-a1l3s000002wbH1AAI","0063s00000DYwjsAAD","Pipeline",False,False,"2018-07-20 22:16:33","Discovery","Discovery","2019-10-07 14:44:53","2018-12-02 00:00:00",True,False,"0013s00000up7GzAAI","2018-07-08 01:40:15","2018-07-08 01:40:15","a1l3s000002wbH1AAI",False,False,0,2,0,1,0,12263,15672,1110978,0,0,2,26260598
"Closed","2018-12-11 00:00:00",False,"2018-11-12 23:44:59","2019-08-29T20:55:24.000Z-0083s00000n4MGjAAM","0063s00000DYwjsAAD","Closed",True,False,"3000-01-15 00:00:00","Closed Won","Closed Won","2019-10-07 14:44:53","2018-12-11 00:00:00",True,True,"0013s00000up7GzAAI","2019-09-12 20:55:24","2019-09-12 20:55:24","0083s00000n4MGjAAM",True,True,0,6,1,0,0,12263,12263,5146,0,0,6,26260598
"Closed","2018-09-05 00:00:00",False,"2018-08-27 02:51:26","2019-08-29T20:55:24.000Z-0083s00000n4MGkAAM","0063s00000DYwjtAAD","Closed",True,False,"3000-01-15 00:00:00","Closed Won","Closed Won","2019-10-07 14:44:53","2018-09-05 00:00:00",True,True,"0013s00000up7H0AAI","2019-09-12 20:55:24","2019-09-12 20:55:24","0083s00000n4MGkAAM",True,True,0,6,1,0,0,10640,10640,5146,0,0,6,32988611
"Pipeline","2018-04-05 00:00:00",True,"1970-01-15 00:00:00","2017-09-09T04:00:00.000Z-a1l3s000002wbHAAAY","0063s00000DYwjuAAD","",False,False,"2018-01-07 03:17:19","Qualification","","2019-10-07 14:44:53","1970-01-15 00:00:00",True,"","0013s00000up7H1AAI","2017-09-23 04:00:00","2017-09-23 04:00:00","a1l3s000002wbHAAAY","",False,0,0,0,1,1,40407,0,9155839,1,1,1,48274047
"Pipeline","2018-07-15 00:00:00",True,"1970-01-15 00:00:00","2018-03-25T04:00:00.000Z-a1l3s000002wbHFAAY","0063s00000DYwjvAAD","",False,False,"2018-06-08 05:30:36","Qualification","","2019-10-07 14:44:53","1970-01-15 00:00:00",True,"","0013s00000up7H2AAI","2018-04-08 04:00:00","2018-04-08 04:00:00","a1l3s000002wbHFAAY","",False,0,0,0,1,1,50478,0,5275836,1,1,1,32782029
"Omitted","2018-09-03 00:00:00",False,"2018-08-29 12:14:28","2019-08-29T20:55:24.000Z-0083s00000n4MGmAAM","0063s00000DYwjvAAD","Omitted",False,False,"3000-01-15 00:00:00","Closed Lost","Closed Lost","2019-10-07 14:44:53","2018-09-03 00:00:00",True,False,"0013s00000up7H2AAI","2019-09-12 20:55:24","2019-09-12 20:55:24","0083s00000n4MGmAAM",True,True,0,7,1,0,0,60000,60000,5146,0,0,7,32782029
"Pipeline","2019-11-17 00:00:00",True,"1970-01-15 00:00:00","2019-05-27T04:00:00.000Z-a1l3s000002wbHKAAY","0063s00000DYwjwAAD","",False,False,"2019-07-28 14:05:54","Qualification","","2019-10-07 14:44:53","1970-01-15 00:00:00",True,"","0013s00000up7H2AAI","2019-06-10 04:00:00","2019-06-10 04:00:00","a1l3s000002wbHKAAY","",False,0,0,0,1,1,30000,0,4183554,1,1,1,2764440
"Pipeline","2019-09-07 00:00:00",False,"2019-08-29 16:26:29","2019-08-18T05:22:23.000Z-a1l3s000002wbHcAAI","0063s00000DYwk0AAD","Pipeline",False,False,"2019-09-05 13:46:37","Proposal/Quote","Proposal/Quote","2019-10-07 14:44:53","2019-09-07 00:00:00",True,False,"0013s00000up7H5AAI","2019-09-01 05:22:23","2019-09-01 05:22:23","a1l3s000002wbHcAAI",False,False,0,4,0,1,0,10000,5892,375854,0,0,4,635700
"Pipeline","2019-03-10 00:00:00",False,"2019-02-10 01:52:28","2019-02-01T21:13:51.000Z-a1l3s000002wbHhAAI","0063s00000DYwk1AAD","Pipeline",False,False,"2019-03-02 22:09:44","Discovery","Discovery","2019-10-07 14:44:53","2019-02-08 00:00:00",True,False,"0013s00000up7H6AAI","2019-02-15 21:13:51","2019-02-15 21:13:51","a1l3s000002wbHhAAI",False,False,0,2,0,0,0,751,751,1299353,1,1,2,16519854
"Pipeline","2019-02-10 00:00:00",True,"1970-01-15 00:00:00","2018-10-15T04:00:00.000Z-a1l3s000002wbHkAAI","0063s00000DYwk2AAD","",False,False,"2018-11-13 18:33:29","Qualification","","2019-10-07 14:44:53","1970-01-15 00:00:00",True,"","0013s00000up7H6AAI","2018-10-29 04:00:00","2018-10-29 04:00:00","a1l3s000002wbHkAAI","",False,0,0,0,1,1,167334,0,1348409,1,1,1,18814696
"Pipeline","2019-03-26 00:00:00",True,"1970-01-15 00:00:00","2018-09-21T04:00:00.000Z-a1l3s000002wbHsAAI","0063s00000DYwk3AAD","",False,False,"2018-12-29 02:51:03","Qualification","","2019-10-07 14:44:53","1970-01-15 00:00:00",True,"","0013s00000up7H6AAI","2018-10-05 04:00:00","2018-10-05 04:00:00","a1l3s000002wbHsAAI","",False,0,0,0,1,1,490126,0,7339863,1,1,1,20890847
"Omitted","2019-03-26 00:00:00",True,"2018-12-29 02:51:03","2018-12-31T03:20:50.000Z-a1l3s000002wbHuAAI","0063s00000DYwk3AAD","Commit",False,False,"2019-09-12 20:55:24","Closed Lost","Proposal/Quote","2019-10-07 14:44:53","2019-03-26 00:00:00",True,False,"0013s00000up7H6AAI","2019-01-14 03:20:50","2019-01-14 03:20:50","a1l3s000002wbHuAAI",False,True,0,4,0,0,1,490126,490126,20885674,0,0,7,20890847
"Commit","2019-07-08 00:00:00",True,"2019-03-09 05:00:00","2019-05-16T09:26:55.000Z-a1l3s000002wbI7AAI","0063s00000DYwk7AAD","Pipeline",False,False,"2019-06-10 11:05:07","Discovery","Qualification","2019-10-07 14:44:53","2019-07-08 00:00:00",True,False,"0013s00000up7H9AAI","2019-05-30 09:26:55","2019-05-30 09:26:55","a1l3s000002wbI7AAI",False,False,0,1,0,0,1,50000,50000,956292,0,0,2,8162190
"Pipeline","2019-06-03 00:00:00",True,"1970-01-15 00:00:00","2018-12-09T05:00:00.000Z-a1l3s000002wbI9AAI","0063s00000DYwk8AAD","",False,False,"2019-02-13 07:55:19","Qualification","","2019-10-07 14:44:53","1970-01-15 00:00:00",True,"","0013s00000up7HAAAY","2018-12-23 05:00:00","2018-12-23 05:00:00","a1l3s000002wbI9AAI","",False,0,0,0,1,1,7361,0,4503319,1,1,1,13912457
"Omitted","2019-06-03 00:00:00",False,"2019-04-04 21:47:20","2019-08-29T20:55:24.000Z-0083s00000n4MGzAAM","0063s00000DYwk8AAD","Omitted",False,False,"3000-01-15 00:00:00","Closed Lost","Closed Lost","2019-10-07 14:44:53","2019-06-03 00:00:00",True,False,"0013s00000up7HAAAY","2019-09-12 20:55:24","2019-09-12 20:55:24","0083s00000n4MGzAAM",True,True,0,7,1,0,0,7361,7361,5146,0,0,7,13912457
"Pipeline","2019-02-04 00:00:00",True,"2018-10-03 04:00:00","2018-10-24T08:21:24.000Z-a1l3s000002wbIDAAY","0063s00000DYwk9AAD","Pipeline",False,False,"2018-11-22 14:07:41","Proposal/Quote","Qualification","2019-10-07 14:44:53","2019-02-04 00:00:00",True,False,"0013s00000up7HBAAY","2018-11-07 08:21:24","2018-11-07 08:21:24","a1l3s000002wbIDAAY",False,False,0,1,0,0,1,44949,44949,1316777,0,0,4,22625587
"Pipeline","2019-02-04 00:00:00",False,"2018-11-07 08:21:24","2018-11-08T14:07:41.000Z-a1l3s000002wbIEAAY","0063s00000DYwk9AAD","Pipeline",False,False,"2018-12-04 08:38:54","Proposal/Quote","Proposal/Quote","2019-10-07 14:44:53","2019-02-04 00:00:00",True,False,"0013s00000up7HBAAY","2018-11-22 14:07:41","2018-11-22 14:07:41","a1l3s000002wbIEAAY",False,False,0,4,0,0,0,44949,44949,1017073,0,0,4,22625587
"Pipeline","2018-03-20 00:00:00",True,"1970-01-15 00:00:00","2017-12-13T05:00:00.000Z-a1l3s000002wbINAAY","0063s00000DYwkBAAT","",False,False,"2018-01-17 18:59:11","Qualification","","2019-10-07 14:44:53","1970-01-15 00:00:00",True,"","0013s00000up7HDAAY","2017-12-27 05:00:00","2017-12-27 05:00:00","a1l3s000002wbINAAY","",False,0,0,0,1,1,7361,0,1864751,1,1,1,50260864
"Commit","2018-03-20 00:00:00",True,"2017-12-27 05:00:00","2018-01-03T18:59:11.000Z-a1l3s000002wbIOAAY","0063s00000DYwkBAAT","Pipeline",False,False,"2018-02-08 05:00:33","Negotiation","Qualification","2019-10-07 14:44:53","2018-03-20 00:00:00",True,False,"0013s00000up7HDAAY","2018-01-17 18:59:11","2018-01-17 18:59:11","a1l3s000002wbIOAAY",False,False,0,1,0,0,1,7361,7361,1850482,0,0,5,50260864
