"LOCATION","STATE","REGION","LOCATION_ID","corrected_locality","BROKER_ID","Sum_of_UN_2020_E","Min_of_INSIDE_X","Min_of_INSIDE_Y","Max_of_INSIDE_X","Max_of_INSIDE_Y","Avg_of_INSIDE_Y","Avg_of_INSIDE_X"
"Talladega County","Alabama","South East","LOC_ID_556","RINGWOOD","BROKER_1827",81439,-86.49,33.1,-85.79,33.69,33.36,-86.17
"Chilton County","Alabama","South East","LOC_ID_766","TREGEAR","BROKER_1830",46779,-87.01,32.66,-86.4,33.07,32.85,-86.68
"Winston County","Alabama","South East","LOC_ID_806","MERRIMAC","BROKER_1859",41490,-89.31,32.91,-87.11,34.3,33.65,-88.2
"Choctaw County","Alabama","South East","LOC_ID_1151","CLEAR ISLAND WATERS","BROKER_1893",19110,-89.45,31.7,-88,33.53,32.53,-88.63
"Tuscaloosa County","Alabama","South East","LOC_ID_283","LILYDALE","BROKER_1893",223284,-87.83,33,-87.06,33.6,33.22,-87.5
"Bullock County","Alabama","South East","LOC_ID_1402","WELSHPOOL","BROKER_1908",10029,-85.99,31.88,-85.41,32.29,32.1,-85.7
"Russell County","Alabama","South East","LOC_ID_487","MUDGEE","BROKER_1908",107480,-99.03,32.06,-81.79,39.13,35.98,-86.86
"Madison County","Alabama","South East","LOC_ID_37","DOONSIDE","BROKER_1908",1417932,-112.7,30.26,-75.24,45.85,37.83,-89.63
"Hoonah-Angoon Census Area","Alaska","North West","LOC_ID_1713","PEREGIAN SPRINGS","BROKER_1098",1770,-137.58,57.16,-133.05,59.4,58.03,-135.17
"Yukon-Koyukuk Census Area","Alaska","North West","LOC_ID_1597","SEATON","BROKER_1098",4722,-160.9,61.94,-141.18,68.31,65.12,-151.7
"Sitka City and Borough","Alaska","North West","LOC_ID_1446","QUARRY HILL","BROKER_1098",8664,-136.41,56.71,-134.89,57.82,57.07,-135.35
"Bethel Census Area","Alaska","North West","LOC_ID_1192","CHERMSIDE WEST","BROKER_1098",17534,-173.07,58.55,-153.03,62.22,60.82,-161.13
"Yakutat City and Borough","Alaska","North West","LOC_ID_1755","ESK","BROKER_1295",529,-143.71,59.08,-137.92,60.21,59.62,-140.02
"Bristol Bay Borough","Alaska","North West","LOC_ID_1744","BUSHLAND BEACH","BROKER_1295",771,-157.25,58.61,-156.41,58.87,58.7,-156.78
"Wrangell City and Borough","Alaska","North West","LOC_ID_1688","EUMUNDI","BROKER_1295",2238,-132.99,55.73,-131.28,56.76,56.3,-132.35
"Haines Borough","Alaska","North West","LOC_ID_1678","CAVES BEACH","BROKER_1295",2554,-136.31,58.16,-134.91,59.59,59.09,-135.56
"Prince of Wales-Hyder Census Area","Alaska","North West","LOC_ID_1591","PORT HEDLAND","BROKER_1295",4936,-133.89,54.78,-130.01,56.35,55.58,-132.67
"Aleutians West Census Area","Alaska","North West","LOC_ID_1573","GOONDIWINDI","BROKER_1295",5495,-179.1,51.26,179.62,57.19,53.43,-122.02
"Valdez-Cordova Census Area","Alaska","North West","LOC_ID_1438","LEETON","BROKER_1295",8909,-148.74,59.41,-141.48,63.21,61.57,-145.25
"Nome Census Area","Alaska","North West","LOC_ID_1417","CITY BEACH","BROKER_1295",9508,-171.73,63.19,-159.76,66.46,64.77,-164.44
"Juneau City and Borough","Alaska","North West","LOC_ID_929","GRAFTON","BROKER_1295",30941,-135.05,57.84,-133.34,58.88,58.35,-134.52
"Kenai Peninsula Borough","Alaska","North West","LOC_ID_667","SOUTH WENTWORTHVILLE","BROKER_1295",60012,-154.21,58.85,-148.65,61.4,60.31,-150.84
"Skagway Municipality","Alaska","North West","LOC_ID_1736","BERKSHIRE PARK","BROKER_1336",1077,-135.47,59.42,-135.16,59.69,59.47,-135.31
"Petersburg Census Area","Alaska","North West","LOC_ID_1654","PORT PIRIE","BROKER_1336",3338,-134.66,55.88,-132.37,57.31,56.74,-133.34
"Northwest Arctic Borough","Alaska","North West","LOC_ID_1486","MOFFAT BEACH","BROKER_1336",7633,-165.3,65.44,-155.69,68.14,66.86,-161.06
"North Slope Borough","Alaska","North West","LOC_ID_1359","SWANSEA","BROKER_1336",11704,-166.78,68.01,-141.01,71.36,70.16,-154.02
"Fairbanks North Star Borough","Alaska","North West","LOC_ID_471","SPRING HILL","BROKER_1336",111639,-148.65,64.26,-145.13,65.38,64.82,-147.53
"Denali Borough","Alaska","North West","LOC_ID_1715","ROSEWOOD","BROKER_1363",1732,-152.82,63.23,-147,64.35,63.86,-149.09
"Dillingham Census Area","Alaska","North West","LOC_ID_1601","SUNSHINE NORTH","BROKER_1363",4653,-161.32,58.6,-156.66,60.33,59.13,-158.61
"Southeast Fairbanks Census Area","Alaska","North West","LOC_ID_1483","LYNBROOK","BROKER_1363",7786,-146.89,61.95,-141,65.37,63.79,-143.76
"Kodiak Island Borough","Alaska","North West","LOC_ID_1324","BULL CREEK","BROKER_1363",12916,-156.78,55.8,-151.84,58.96,57.73,-152.79
"Anchorage Municipality","Alaska","North West","LOC_ID_212","REDCLIFFE","BROKER_1363",317690,-150.23,60.74,-148.56,61.48,61.19,-149.76
"Lake and Peninsula Borough","Alaska","North West","LOC_ID_1726","WANGI WANGI","BROKER_1411",1424,-159.55,55.67,-153.7,60.9,58.38,-156.44
"Aleutians East Borough","Alaska","North West","LOC_ID_1641","KAWANA","BROKER_1411",3548,-166.14,53.97,-159.26,56.7,55.17,-162.18
"Wade Hampton Census Area","Alaska","North West","LOC_ID_1485","MERRIWA","BROKER_1411",7688,-166.13,61.1,-160.2,63.27,62.24,-163.67
"Ketchikan Gateway Borough","Alaska","North West","LOC_ID_1330","GRETA","BROKER_1411",12552,-132.05,54.74,-130.54,56.34,55.39,-131.58
"Matanuska-Susitna Borough","Alaska","North West","LOC_ID_427","RUNAWAY BAY","BROKER_1411",130138,-152.98,61.23,-146.47,63.32,61.78,-149.36
"Cochise County","Arizona","South West","LOC_ID_405","BURLEIGH WATERS","BROKER_1298",142397,-110.46,31.33,-109.04,32.42,31.74,-109.93
"Maricopa County","Arizona","South West","LOC_ID_5","BLACKTOWN","BROKER_1298",4605073,-113.33,32.5,-111.05,34.04,33.49,-112.1
"Greenlee County","Arizona","South West","LOC_ID_1466","CHISWICK","BROKER_1487",8162,-109.49,32.42,-109.04,33.77,33.03,-109.22
"Coconino County","Arizona","South West","LOC_ID_394","ST ANDREWS","BROKER_1487",150970,-113.33,34.26,-110.75,37,35.76,-111.51
"Graham County","Arizona","South West","LOC_ID_717","LITHGOW","BROKER_2000",52050,-110.45,32.42,-83.58,39.56,34.36,-103.76
"Mohave County","Arizona","South West","LOC_ID_253","ARMIDALE","BROKER_2000",251557,-114.73,34.24,-112.54,36.99,35.31,-114.11
"Apache County","Arizona","South West","LOC_ID_604","EVERTON PARK","BROKER_2021",71521,-110,33.51,-109.04,36.99,35.65,-109.44
"Pinal County","Arizona","South West","LOC_ID_94","PUNCHBOWL","BROKER_2021",764211,-112.2,32.5,-110.44,33.46,32.98,-111.54
"Navajo County","Arizona","South West","LOC_ID_457","TAREE","BROKER_2079",115503,-110.75,33.58,-109.82,36.99,35.38,-110.26
"Pima County","Arizona","South West","LOC_ID_55","LEUMEAH","BROKER_2079",1106203,-113.31,31.45,-110.45,32.51,32.16,-111.11
"Gila County","Arizona","South West","LOC_ID_705","STRATHFIELDSAYE","BROKER_2151",54384,-111.71,32.98,-110,34.44,33.72,-110.92
"Yavapai County","Arizona","South West","LOC_ID_250","MOOREBANK","BROKER_2151",258802,-113.33,33.88,-111.55,35.52,34.64,-112.41
"La Paz County","Arizona","South West","LOC_ID_1120","CORDEAUX HEIGHTS","BROKER_857",20723,-114.71,33.02,-113.33,34.3,33.83,-114.05
"Yuma County","Arizona","South West","LOC_ID_267","CESSNOCK","BROKER_857",242605,-114.8,32.12,-102.05,40.43,34.41,-111.62
"Searcy County","Arkansas","South East","LOC_ID_1472","DENILIQUIN","BROKER_1453",7993,-92.94,35.72,-92.41,36.11,35.92,-92.68
"Mississippi County","Arkansas","South East","LOC_ID_696","FORESTVILLE","BROKER_1453",55372,-90.28,35.39,-89.11,37.05,36.12,-89.81
"Poinsett County","Arkansas","South East","LOC_ID_1068","RACEVIEW","BROKER_1459",23042,-91.03,35.44,-90.28,35.7,35.57,-90.59
"Hot Spring County","Arkansas","South East","LOC_ID_892","WATSON","BROKER_1489",34631,-93.4,34.15,-92.67,34.5,34.35,-92.88
"Independence County","Arkansas","South East","LOC_ID_852","MARYLAND","BROKER_1489",38103,-91.86,35.52,-91.2,35.94,35.75,-91.58
"Yell County","Arkansas","South East","LOC_ID_1079","ALEXANDER HEIGHTS","BROKER_1512",22677,-93.7,34.74,-92.92,35.29,35.04,-93.36
"Benton County","Arkansas","South East","LOC_ID_97","RAYMOND TERRACE","BROKER_1512",732867,-123.8,34.58,-87.09,46.72,40.81,-101.18
"Little River County","Arkansas","South East","LOC_ID_1333","HIGHGATE","BROKER_1537",12489,-94.48,33.54,-93.83,33.93,33.7,-94.21
"Lonoke County","Arkansas","South East","LOC_ID_539","ENDEAVOUR HILLS","BROKER_1537",85965,-92.11,34.48,-91.63,35.07,34.79,-91.92
"Cross County","Arkansas","South East","LOC_ID_1241","CLOVERDALE","BROKER_1622",15975,-91.04,35.14,-90.5,35.44,35.27,-90.78
"Craighead County","Arkansas","South East","LOC_ID_475","GISBORNE","BROKER_1622",110043,-91.03,35.7,-90.28,35.99,35.83,-90.63
"St. Francis County","Arkansas","South East","LOC_ID_1000","TUART HILL","BROKER_1628",26586,-91.15,34.86,-90.4,35.14,35.01,-90.72
"Arkansas County","Arkansas","South East","LOC_ID_1211","MARANGAROO","BROKER_1654",17067,-91.7,33.94,-91.07,34.56,34.36,-91.43
"Faulkner County","Arkansas","South East","LOC_ID_404","BARDON","BROKER_1654",144828,-92.59,34.87,-92.11,35.36,35.11,-92.38
"Hempstead County","Arkansas","South East","LOC_ID_1108","THE PONDS","BROKER_1675",21181,-93.94,33.47,-93.45,34,33.71,-93.65
"Saline County","Arkansas","South East","LOC_ID_260","NARANGBA","BROKER_1675",248907,-97.92,34.41,-88.37,40.69,37.73,-93.7
"Izard County","Arkansas","South East","LOC_ID_1305","MANGO HILL","BROKER_1678",13745,-92.21,35.87,-91.67,36.25,36.12,-91.88
"Garland County","Arkansas","South East","LOC_ID_497","BRUNSWICK WEST","BROKER_1678",101752,-93.4,34.38,-92.79,34.77,34.54,-93.07
"Sharp County","Arkansas","South East","LOC_ID_1219","TALLEBUDGERA","BROKER_1777",16934,-91.7,35.89,-91.25,36.49,36.18,-91.49
"Sebastian County","Arkansas","South East","LOC_ID_418","ST KILDA EAST","BROKER_1777",133477,-94.44,34.95,-94.02,35.45,35.29,-94.34
"Conway County","Arkansas","South East","LOC_ID_1101","PARK AVENUE","BROKER_1800",21646,-93.02,35.07,-92.48,35.45,35.21,-92.7
"Pulaski County","Arkansas","South East","LOC_ID_117","SOUTH WINDSOR","BROKER_1800",593731,-92.74,32.11,-80.51,41.17,36.23,-89.33
"Cleburne County","Arkansas","South East","LOC_ID_795","BRUNSWICK EAST","BROKER_1834",42728,-92.25,33.47,-85.3,35.71,34.66,-89.06
"Baxter County","Arkansas","South East","LOC_ID_790","TEMPLESTOWE LOWER","BROKER_1834",43635,-92.59,35.97,-92.15,36.49,36.31,-92.36
"Woodruff County","Arkansas","South East","LOC_ID_1556","BEROWRA HEIGHTS","BROKER_1908",5904,-91.45,34.93,-91.04,35.44,35.2,-91.25
"Drew County","Arkansas","South East","LOC_ID_1185","BANKS","BROKER_2216",17905,-91.99,33.38,-91.45,33.79,33.6,-91.74
"White County","Arkansas","South East","LOC_ID_327","OXENFORD","BROKER_2216",187409,-92.11,34.5,-83.62,40.91,37.4,-88.2
"Desha County","Arkansas","South East","LOC_ID_1379","HARRISON","BROKER_2281",10774,-91.55,33.52,-90.88,34.11,33.79,-91.36
"Pope County","Arkansas","South East","LOC_ID_552","GLEBE","BROKER_2281",83134,-95.75,35.12,-88.41,45.75,38.21,-93.32
"Prairie County","Arkansas","South East","LOC_ID_1433","HEMMANT","BROKER_3",9025,-106.08,34.48,-91.35,47.18,37.69,-94.83
"Crittenden County","Arkansas","South East","LOC_ID_675","BRIGHTON-LE-SANDS","BROKER_3",58556,-90.5,34.85,-87.8,37.53,35.6,-89.85
"Ouachita County","Arkansas","South East","LOC_ID_1065","NEW AUCKLAND","BROKER_596",23195,-93.11,33.35,-92.58,33.81,33.57,-92.85
"Ashley County","Arkansas","South East","LOC_ID_1147","ALLAMBIE HEIGHTS","BROKER_639",19267,-92.13,33,-91.45,33.39,33.18,-91.79
"Crawford County","Arkansas","South East","LOC_ID_284","THORNLANDS","BROKER_639",223027,-95.67,32.53,-83.7,44.85,39.67,-90.9
"Chicot County","Arkansas","South East","LOC_ID_1409","BARGARA","BROKER_850",9711,-91.45,33,-91.07,33.56,33.3,-91.3
"Miller County","Arkansas","South East","LOC_ID_582","NORTHAM","BROKER_850",76474,-94.04,31.06,-84.53,38.42,35.5,-92.39
"Phillips County","Arkansas","South East","LOC_ID_925","CURRAMBINE","BROKER_956",31160,-108.88,34.12,-90.55,48.99,41.01,-99.99
"Lassen County","California","North West","LOC_ID_887","STRATHDALE","BROKER_1040",34954,-121.33,39.71,-119.99,41.18,40.55,-120.67
"Modoc County","California","North West","LOC_ID_1410","BELLBOWRIE","BROKER_1068",9663,-121.45,41.18,-119.99,41.99,41.54,-120.8
"Alameda County","California","North West","LOC_ID_35","TAMWORTH","BROKER_1068",1534172,-122.32,37.45,-121.5,37.9,37.71,-122.08
"Alpine County","California","North West","LOC_ID_1734","BATEMAN","BROKER_1085",1131,-120.07,38.33,-119.58,38.92,38.67,-119.86
"Contra Costa County","California","North West","LOC_ID_54","PRESTONS","BROKER_1085",1126049,-122.42,37.72,-121.53,38.08,37.94,-122.02
"Mendocino County","California","North West","LOC_ID_536","ASCOT","BROKER_1106",86828,-123.99,38.76,-122.82,40,39.36,-123.42
"Colusa County","California","North West","LOC_ID_1051","GLENORIE","BROKER_1134",23795,-122.77,38.92,-121.8,39.41,39.18,-122.15
"San Diego County","California","North West","LOC_ID_7","WOLLONGONG","BROKER_1134",3307846,-117.59,32.53,-116.08,33.5,32.91,-117.06
"Tehama County","California","North West","LOC_ID_612","MORPHETT VALE","BROKER_1164",69871,-123.06,39.79,-121.34,40.44,40.11,-122.15
"Del Norte County","California","North West","LOC_ID_966","MULLALOO","BROKER_1185",28906,-124.37,41.38,-123.51,42,41.75,-124.07
"Orange County","California","North West","LOC_ID_2","SURFERS PARADISE","BROKER_1185",5227732,-118.11,28.34,-72.03,44.21,33.72,-98.28
"Sutter County","California","North West","LOC_ID_474","CLAYMORE","BROKER_1221",110421,-121.94,38.73,-121.41,39.3,39.08,-121.66
"Calaveras County","California","North West","LOC_ID_736","ROCHESTER","BROKER_1227",49767,-120.98,37.85,-120.04,38.49,38.23,-120.48
"Mono County","California","North West","LOC_ID_1264","SUSSEX INLET","BROKER_1233",15261,-119.62,37.46,-117.84,38.69,37.84,-118.94
"Inyo County","California","North West","LOC_ID_1169","NEWCASTLE","BROKER_1233",18591,-118.78,35.79,-115.65,37.46,36.72,-117.8
"Sacramento County","California","North West","LOC_ID_31","PADDINGTON","BROKER_1233",1597560,-121.84,38.02,-121.03,38.73,38.56,-121.38
"Santa Clara County","California","North West","LOC_ID_25","CRONULLA","BROKER_1233",1831643,-122.2,36.89,-121.21,37.48,37.3,-121.91
"Mariposa County","California","North West","LOC_ID_1156","FLORA HILL","BROKER_126",18916,-120.38,37.18,-119.38,37.85,37.59,-119.98
"Riverside County","California","North West","LOC_ID_9","BANKSTOWN","BROKER_126",3013823,-117.67,33.42,-114.43,34.07,33.78,-116.83
"Yuba County","California","North West","LOC_ID_546","AUCHENFLOWER","BROKER_1302",83963,-121.61,38.92,-121.01,39.63,39.18,-121.42
"Glenn County","California","North West","LOC_ID_965","LATROBE","BROKER_1307",29109,-122.93,39.38,-121.87,39.79,39.63,-122.27
"Los Angeles County","California","North West","LOC_ID_1","ECHUCA","BROKER_1307",9833385,-118.94,32.8,-117.65,34.82,34.09,-118.22
"Siskiyou County","California","North West","LOC_ID_785","MARSFIELD","BROKER_1314",44196,-123.68,41,-121.44,42,41.61,-122.49
"Amador County","California","North West","LOC_ID_830","MOUNT GRAVATT EAST","BROKER_1316",40176,-121.02,38.23,-120.07,38.7,38.42,-120.7
"Plumas County","California","North West","LOC_ID_1159","HOBART","BROKER_1352",18836,-121.47,39.59,-120.1,40.44,40.01,-120.85
"San Bernardino County","California","North West","LOC_ID_15","KEMPSEY","BROKER_1352",2353595,-117.79,33.87,-114.13,35.8,34.38,-117.03
"Tuolumne County","California","North West","LOC_ID_702","NORWOOD","BROKER_1364",54566,-120.64,37.63,-119.27,38.42,37.98,-120.23
"San Benito County","California","North West","LOC_ID_694","CLAYTON","BROKER_1402",55749,-121.64,36.19,-120.59,36.98,36.73,-121.28
"Stanislaus County","California","North West","LOC_ID_121","ROCKINGHAM","BROKER_1599",575190,-121.48,37.16,-120.38,38.07,37.6,-120.95
"Sonoma County","California","North West","LOC_ID_143","NEUTRAL BAY","BROKER_1762",495723,-123.52,38.11,-122.36,38.85,38.44,-122.76
"Monterey County","California","North West","LOC_ID_169","SALE","BROKER_1803",416291,-121.97,35.78,-120.23,36.9,36.43,-121.49
"Placer County","California","North West","LOC_ID_151","NORTH BONDI","BROKER_1925",474935,-121.48,38.71,-120,39.31,38.94,-120.99
"Madera County","California","North West","LOC_ID_342","PETERSHAM","BROKER_1958",179481,-120.53,36.76,-119.03,37.68,37.05,-119.99
"Yolo County","California","North West","LOC_ID_279","BRISBANE CITY","BROKER_1976",232288,-122.37,38.31,-121.5,38.92,38.62,-121.76
"Napa County","California","North West","LOC_ID_402","WOOLLAHRA","BROKER_1980",145443,-122.62,38.15,-122.09,38.85,38.36,-122.32
"Fresno County","California","North West","LOC_ID_58","CHATSWOOD","BROKER_1996",1052548,-120.9,35.97,-118.46,37.45,36.66,-119.88
"Solano County","California","North West","LOC_ID_167","MOUNT PRITCHARD","BROKER_2001",420520,-122.39,38.04,-121.59,38.53,38.25,-122.02
"Butte County","California","North West","LOC_ID_263","BENTLEIGH EAST","BROKER_2022",245094,-122.06,39.3,-102.97,45.2,40.61,-118.91
"Imperial County","California","North West","LOC_ID_296","MERMAID WATERS","BROKER_2035",207903,-116.1,32.62,-114.46,33.43,32.95,-115.48
"San Francisco County","California","North West","LOC_ID_89","MINTO","BROKER_2040",810553,-123.1,37.69,-122.33,37.83,37.75,-122.43
"Merced County","California","North West","LOC_ID_221","ASHFIELD","BROKER_2086",300920,-121.24,36.74,-120.08,37.63,37.24,-120.66
"Santa Cruz County","California","North West","LOC_ID_210","MILL PARK","BROKER_2125",318460,-122.3,31.33,-110.45,37.28,35.09,-118.14
"Nevada County","California","North West","LOC_ID_473","CAMP HILL","BROKER_2167",110990,-121.27,33.44,-93.1,39.51,38.22,-115.63
"Ventura County","California","North West","LOC_ID_80","ROSE BAY","BROKER_2183",873909,-119.55,33.23,-118.63,34.9,34.27,-119.04
"Tulare County","California","North West","LOC_ID_138","DEE WHY","BROKER_2195",515953,-119.56,35.78,-118,36.74,36.22,-119.18
"El Dorado County","California","North West","LOC_ID_303","CAMMERAY","BROKER_2200",203720,-121.11,38.51,-119.89,39.06,38.77,-120.61
"Kern County","California","North West","LOC_ID_59","CRAIGIEBURN","BROKER_2215",1035100,-120.19,34.79,-117.61,35.79,35.3,-118.73
"Marin County","California","North West","LOC_ID_258","WALLAN","BROKER_2257",250129,-123.01,37.82,-122.43,38.31,37.99,-122.57
"Humboldt County","California","North West","LOC_ID_370","RUTHERFORD","BROKER_2302",164946,-124.41,40,-93.97,42.9,41.09,-119.12
"San Luis Obispo County","California","North West","LOC_ID_230","ROZELLE","BROKER_2320",286206,-121.32,34.89,-119.47,35.79,35.39,-120.61
"Santa Barbara County","California","North West","LOC_ID_163","HAWTHORN","BROKER_2332",437001,-120.67,33.46,-119.03,35.11,34.66,-120.14
"San Mateo County","California","North West","LOC_ID_99","EMERALD","BROKER_2341",708873,-122.51,37.1,-122.12,37.7,37.53,-122.33
"San Joaquin County","California","North West","LOC_ID_90","ARMADALE","BROKER_2368",809176,-121.58,37.52,-120.92,38.27,37.93,-121.28
"Shasta County","California","North West","LOC_ID_329","ALEXANDRA HILLS","BROKER_942",186970,-123.06,40.29,-121.32,41.18,40.67,-122.16
"Rio Blanco County","Colorado","South West","LOC_ID_1503","WEST LAKES","BROKER_1139",7209,-109.05,39.65,-107.03,40.22,40.02,-108.34
"Routt County","Colorado","South West","LOC_ID_986","HOMEBUSH WEST","BROKER_1139",27317,-107.43,39.92,-106.63,41,40.44,-106.95
"Rio Grande County","Colorado","South West","LOC_ID_1365","BELCONNEN","BROKER_1487",11402,-106.7,37.4,-106.04,37.81,37.62,-106.34
"Broomfield County","Colorado","South West","LOC_ID_575","BIBRA LAKE","BROKER_1487",77377,-105.15,39.88,-104.96,40.04,39.94,-105.06
"Costilla County","Colorado","South West","LOC_ID_1650","NORAVILLE","BROKER_1595",3403,-105.76,36.99,-105.14,37.62,37.3,-105.49
"Alamosa County","Colorado","South West","LOC_ID_1255","NORANDA","BROKER_1595",15471,-106.03,37.35,-105.47,37.74,37.52,-105.81
"Mesa County","Colorado","South West","LOC_ID_343","PORT DOUGLAS","BROKER_1595",178972,-109.05,38.5,-107.39,39.36,39.09,-108.51
"Ouray County","Colorado","South West","LOC_ID_1586","NINGI","BROKER_1701",5120,-108.13,37.9,-107.56,38.33,38.14,-107.76
"Huerfano County","Colorado","South West","LOC_ID_1564","CREMORNE POINT","BROKER_1701",5714,-105.45,37.31,-104.39,38,37.62,-104.94
"Gunnison County","Colorado","South West","LOC_ID_1232","BEROWRA","BROKER_1701",16309,-107.63,38.14,-106.31,39.23,38.6,-107
"Chaffee County","Colorado","South West","LOC_ID_1155","ELDERSLIE","BROKER_1701",19028,-106.54,38.42,-105.89,39.05,38.65,-106.09
"Boulder County","Colorado","South West","LOC_ID_214","DANDENONG","BROKER_1701",312391,-105.66,39.91,-105.05,40.26,40.06,-105.2
"Weld County","Colorado","South West","LOC_ID_199","COOMERA","BROKER_1701",343762,-105.05,40,-103.57,41,40.33,-104.75
"Baca County","Colorado","South West","LOC_ID_1661","SPREYTON","BROKER_1781",3191,-103.08,36.99,-102.04,37.64,37.34,-102.53
"Las Animas County","Colorado","South West","LOC_ID_1260","RIVERTON","BROKER_1781",15339,-105.14,36.99,-103.07,37.79,37.22,-104.45
"Pueblo County","Colorado","South West","LOC_ID_353","WEST HOXTON","BROKER_1781",173442,-105.04,37.73,-104.05,38.52,38.24,-104.63
"Kit Carson County","Colorado","South West","LOC_ID_1463","CARLISLE","BROKER_1814",8283,-103.16,39.03,-102.05,39.57,39.3,-102.54
"Montrose County","Colorado","South West","LOC_ID_738","SANS SOUCI","BROKER_1814",49525,-109.06,38.15,-107.5,38.66,38.45,-108.02
"Crowley County","Colorado","South West","LOC_ID_1554","BALACLAVA","BROKER_1927",5987,-104.05,38.11,-103.5,38.51,38.22,-103.79
"Pitkin County","Colorado","South West","LOC_ID_1148","BEACON HILL","BROKER_1927",19240,-107.44,39,-106.48,39.36,39.23,-106.89
"Larimer County","Colorado","South West","LOC_ID_197","WATTLE GROVE","BROKER_1927",346796,-106.19,40.25,-104.94,40.99,40.54,-105.19
"Clear Creek County","Colorado","South West","LOC_ID_1443","MONASH","BROKER_1946",8757,-105.92,39.56,-105.39,39.84,39.72,-105.59
"La Plata County","Colorado","South West","LOC_ID_678","DOUBLEVIEW","BROKER_1946",58353,-108.38,36.99,-107.48,37.63,37.25,-107.8
"Dolores County","Colorado","South West","LOC_ID_1687","EDEN HILL","BROKER_2092",2255,-109.04,37.57,-107.9,37.89,37.75,-108.56
"Archuleta County","Colorado","South West","LOC_ID_1287","CLIFTON","BROKER_2092",14358,-107.48,36.99,-106.48,37.42,37.2,-107.09
"Fremont County","Colorado","South West","LOC_ID_472","WAVELL HEIGHTS","BROKER_2092",111255,-112.14,38.25,-95.37,44.69,41.85,-106.66
"Hinsdale County","Colorado","South West","LOC_ID_1742","BULGARRA","BROKER_2187",871,-107.58,37.42,-107,38.14,37.9,-107.26
"Moffat County","Colorado","South West","LOC_ID_1295","GERRINGONG","BROKER_2187",14038,-109.04,40.22,-107.31,41,40.55,-107.97
"Garfield County","Colorado","South West","LOC_ID_554","NORTH MELBOURNE","BROKER_2187",81594,-117.85,37.53,-98.76,47.95,40.42,-109.12
