"Profil","Secteur","Date_Week1","Capacite"
"RESEAU","Centre Var","51",147.630151
"STATION","Var Littoral","03",301.059436
"RESEAU","Centre Var","06",85.82173
"RESEAU","Centre Var","07",76.80173
"STATION","Centre Var","12",162.75
"AUTRES","Var Littoral","13",128.685
"RESEAU","Var Littoral","15",112.723461
"AUTRES","Var Littoral","20",142.485
"AUTRES","Var Littoral","26",131.2725
"RESEAU","Var Littoral","27",140.323461
"AUTRES","Var Littoral","28",89.01
"STATION","Centre Var","30",205.844362
"AUTRES","Var Littoral","31",135.585
"STATION","Var Littoral","34",334.333333
"AUTRES","Var Littoral","38",135.585
"RESEAU","Var Littoral","40",267.87904
"RESEAU","Var Littoral","43",280.74904
"AUTRES","Var Littoral","44",112.2975
"STATION","Centre Var","46",150
"STATION","Centre Var","03",182.166667
"AUTRES","Var Littoral","03",151.11
"RESEAU","Var Littoral","06",142.013461
"RESEAU","Centre Var","16",72.37173
"AUTRES","Var Littoral","17",115.23
"STATION","Var Littoral","21",396.3
"STATION","Var Littoral","27",359.233333
"STATION","Var Littoral","41",339
"RESEAU","Centre Var","46",200.958987
"STATION","Var Littoral","47",324.476103
"RESEAU","Centre Var","49",231.740026
"RESEAU","Var Littoral","01",125.263461
"RESEAU","Centre Var","10",78.12173
"RESEAU","Centre Var","14",86.26173
"AUTRES","Centre Var","17",97.4625
"STATION","Centre Var","25",175.297182
"RESEAU","Centre Var","34",75.98173
"STATION","Centre Var","41",171.666667
"STATION","Centre Var","04",191.083333
"RESEAU","Centre Var","04",83.67173
"STATION","Var Littoral","05",302.670465
"STATION","Centre Var","06",180.75
"STATION","Centre Var","08",199.25
"RESEAU","Centre Var","09",83.03173
"RESEAU","Var Littoral","12",120.623461
"STATION","Var Littoral","16",324.75
"STATION","Var Littoral","20",291.5
"RESEAU","Centre Var","23",214.073442
"AUTRES","Centre Var","24",106.0875
"RESEAU","Centre Var","31",89.17173
"STATION","Centre Var","32",175.75
"AUTRES","Centre Var","34",80.2125
"RESEAU","Centre Var","35",73.78173
"STATION","Centre Var","36",174.117647
"STATION","Var Littoral","39",336.166667
"RESEAU","Centre Var","02",91.85173
"RESEAU","Centre Var","05",77.58173
"STATION","Var Littoral","11",328
"RESEAU","Var Littoral","13",111.073461
"RESEAU","Var Littoral","29",115.503461
"AUTRES","Centre Var","35",75.0375
"RESEAU","Var Littoral","39",255.83904
"STATION","Centre Var","40",175.133333
"RESEAU","Centre Var","40",69.89173
"RESEAU","Centre Var","44",98.577835
"STATION","Centre Var","51",162.166667
"STATION","Centre Var","52",167.883333
"RESEAU","Var Littoral","03",129.553461
"STATION","Centre Var","05",227.416667
"STATION","Var Littoral","07",282.416667
"AUTRES","Var Littoral","12",121.785
"RESEAU","Centre Var","15",77.53173
"STATION","Var Littoral","15",365.833333
"RESEAU","Centre Var","22",138.229337
"STATION","Centre Var","23",178.144976
"STATION","Centre Var","28",178
"AUTRES","Centre Var","30",77.625
"STATION","Var Littoral","30",393.25
"RESEAU","Centre Var","33",79.81173
"AUTRES","Var Littoral","35",123.51
"AUTRES","Var Littoral","36",123.51
"AUTRES","Var Littoral","39",146.7975
"AUTRES","Centre Var","41",100.9125
"AUTRES","Centre Var","43",79.35
"AUTRES","Centre Var","46",107.4675
"AUTRES","Var Littoral","51",126.0975
"AUTRES","Centre Var","03",109.5375
"RESEAU","Centre Var","11",81.66173
"AUTRES","Centre Var","32",78.4875
"AUTRES","Var Littoral","32",137.31
"STATION","Centre Var","35",178.141544
"AUTRES","Centre Var","50",96.6
"AUTRES","Var Littoral","05",128.685
"RESEAU","Var Littoral","09",137.485961
"AUTRES","Centre Var","14",80.2125
"RESEAU","Var Littoral","16",264.944461
"RESEAU","Var Littoral","18",303.934461
"STATION","Centre Var","20",194
"STATION","Var Littoral","22",348.25
"AUTRES","Centre Var","23",75.555
"RESEAU","Var Littoral","28",149.733461
"STATION","Centre Var","29",192.99277
"STATION","Centre Var","34",181.083333
"STATION","Centre Var","44",159
"STATION","Centre Var","45",154.083333
"STATION","Var Littoral","45",281.041667
"RESEAU","Var Littoral","08",128.943461
"AUTRES","Var Littoral","09",125.58
"STATION","Centre Var","11",175.483333
"AUTRES","Var Littoral","19",121.785
"STATION","Var Littoral","25",346.15
"AUTRES","Var Littoral","25",129.5475
"RESEAU","Centre Var","26",145.681192
"RESEAU","Centre Var","29",87.82173
"AUTRES","Var Littoral","29",116.0925
"STATION","Var Littoral","33",345.25
"AUTRES","Var Littoral","33",118.335
"STATION","Var Littoral","48",327.118873
"AUTRES","Var Littoral","01",124.3725
"AUTRES","Var Littoral","06",137.31
"RESEAU","Var Littoral","07",126.893461
"AUTRES","Centre Var","16",76.7625
"RESEAU","Centre Var","21",75.57173
"RESEAU","Centre Var","25",149.352692
"AUTRES","Var Littoral","27",130.41
"RESEAU","Var Littoral","30",117.293461
"AUTRES","Centre Var","33",54.855
"RESEAU","Centre Var","38",77.28173
"AUTRES","Centre Var","39",107.8125
"STATION","Var Littoral","42",301.333333
"STATION","Centre Var","43",203.333333
"STATION","Var Littoral","43",330.125
