"Ann_e","Profil","Secteur","P_riode","Activite","Date","CHARGE1.Charge","Charge"
"2020","STATION","Centre Var","2020-02","ELECTROMECANIQUE","07/02/2020",15,15
"2020","STATION","Centre Var","2020-02","PRODUCTION / TRAITEMENT","07/02/2020",165.75,165.75
"2020","RESEAU","Centre Var","2020-02","TRAVAUX FACTURABLES","07/02/2020",9.951923,9.951923
"2020","RESEAU","Centre Var","2020-02","CLIENTELE","07/02/2020",14.028269,14.028269
"2020","RESEAU","Centre Var","2020-02","DISTRIBUTION / COLLECTE","07/02/2020",61.841538,61.841538
"2020","RESEAU","Centre Var","2020-02","RELEVE COMPTEURS","07/02/2020",0,0
"2020","AUTRES","Centre Var","2020-02","TRAJET","07/02/2020",61.425,61.425
"2020","AUTRES","Centre Var","2020-02","ADMINISTRATIF","07/02/2020",39.4875,39.4875
"2020","STATION","Var Littoral","2020-02","ELECTROMECANIQUE","07/02/2020",11.25,11.25
"2020","STATION","Var Littoral","2020-02","PRODUCTION / TRAITEMENT","07/02/2020",305.25,305.25
"2020","RESEAU","Var Littoral","2020-02","TRAVAUX FACTURABLES","07/02/2020",16.730769,16.730769
"2020","RESEAU","Var Littoral","2020-02","CLIENTELE","07/02/2020",20.935769,20.935769
"2020","RESEAU","Var Littoral","2020-02","DISTRIBUTION / COLLECTE","07/02/2020",104.346923,104.346923
"2020","RESEAU","Var Littoral","2020-02","RELEVE COMPTEURS","07/02/2020",0,0
"2020","AUTRES","Var Littoral","2020-02","TRAJET","07/02/2020",83.58,83.58
"2020","AUTRES","Var Littoral","2020-02","ADMINISTRATIF","07/02/2020",53.73,53.73
"2020","STATION","Centre Var","2020-02","ELECTROMECANIQUE","14/02/2020",18.75,18.75
"2020","STATION","Centre Var","2020-02","PRODUCTION / TRAITEMENT","14/02/2020",157.833333,157.833333
"2020","RESEAU","Centre Var","2020-02","TRAVAUX FACTURABLES","14/02/2020",9.951923,9.951923
"2020","RESEAU","Centre Var","2020-02","CLIENTELE","14/02/2020",15.248269,15.248269
"2020","RESEAU","Centre Var","2020-02","DISTRIBUTION / COLLECTE","14/02/2020",51.601538,51.601538
"2020","RESEAU","Centre Var","2020-02","RELEVE COMPTEURS","14/02/2020",0,0
"2020","AUTRES","Centre Var","2020-02","TRAJET","14/02/2020",47.775,47.775
"2020","AUTRES","Centre Var","2020-02","ADMINISTRATIF","14/02/2020",30.7125,30.7125
"2020","STATION","Var Littoral","2020-02","ELECTROMECANIQUE","14/02/2020",7.5,7.5
"2020","STATION","Var Littoral","2020-02","PRODUCTION / TRAITEMENT","14/02/2020",274.916667,274.916667
"2020","RESEAU","Var Littoral","2020-02","TRAVAUX FACTURABLES","14/02/2020",12.980769,12.980769
"2020","RESEAU","Var Littoral","2020-02","CLIENTELE","14/02/2020",16.835769,16.835769
"2020","RESEAU","Var Littoral","2020-02","DISTRIBUTION / COLLECTE","14/02/2020",97.076923,97.076923
"2020","RESEAU","Var Littoral","2020-02","RELEVE COMPTEURS","14/02/2020",0,0
"2020","AUTRES","Var Littoral","2020-02","TRAJET","14/02/2020",74.13,74.13
"2020","AUTRES","Var Littoral","2020-02","ADMINISTRATIF","14/02/2020",47.655,47.655
"2020","STATION","Centre Var","2020-02","ELECTROMECANIQUE","21/02/2020",7.5,7.5
"2020","STATION","Centre Var","2020-02","PRODUCTION / TRAITEMENT","21/02/2020",191.75,191.75
"2020","RESEAU","Centre Var","2020-02","TRAVAUX FACTURABLES","21/02/2020",9.951923,9.951923
"2020","RESEAU","Centre Var","2020-02","CLIENTELE","21/02/2020",23.998269,23.998269
"2020","RESEAU","Centre Var","2020-02","DISTRIBUTION / COLLECTE","21/02/2020",56.921538,56.921538
"2020","RESEAU","Centre Var","2020-02","RELEVE COMPTEURS","21/02/2020",0,0
"2020","AUTRES","Centre Var","2020-02","TRAJET","21/02/2020",53.025,53.025
"2020","AUTRES","Centre Var","2020-02","ADMINISTRATIF","21/02/2020",34.0875,34.0875
"2020","STATION","Var Littoral","2020-02","ELECTROMECANIQUE","21/02/2020",15,15
"2020","STATION","Var Littoral","2020-02","PRODUCTION / TRAITEMENT","21/02/2020",285.25,285.25
"2020","RESEAU","Var Littoral","2020-02","TRAVAUX FACTURABLES","21/02/2020",16.730769,16.730769
"2020","RESEAU","Var Littoral","2020-02","CLIENTELE","21/02/2020",27.835769,27.835769
"2020","RESEAU","Var Littoral","2020-02","DISTRIBUTION / COLLECTE","21/02/2020",84.376923,84.376923
"2020","RESEAU","Var Littoral","2020-02","RELEVE COMPTEURS","21/02/2020",0,0
"2020","AUTRES","Var Littoral","2020-02","TRAJET","21/02/2020",77.805,77.805
"2020","AUTRES","Var Littoral","2020-02","ADMINISTRATIF","21/02/2020",50.0175,50.0175
"2020","STATION","Centre Var","2020-02","ELECTROMECANIQUE","28/02/2020",7.5,7.5
"2020","STATION","Centre Var","2020-02","PRODUCTION / TRAITEMENT","28/02/2020",183,183
"2020","RESEAU","Centre Var","2020-02","TRAVAUX FACTURABLES","28/02/2020",9.951923,9.951923
"2020","RESEAU","Centre Var","2020-02","CLIENTELE","28/02/2020",17.298269,17.298269
"2020","RESEAU","Centre Var","2020-02","DISTRIBUTION / COLLECTE","28/02/2020",55.781538,55.781538
"2020","RESEAU","Centre Var","2020-02","RELEVE COMPTEURS","28/02/2020",0,0
"2020","AUTRES","Centre Var","2020-02","TRAJET","28/02/2020",47.775,47.775
"2020","AUTRES","Centre Var","2020-02","ADMINISTRATIF","28/02/2020",30.7125,30.7125
"2020","STATION","Var Littoral","2020-02","ELECTROMECANIQUE","28/02/2020",3.141544,3.141544
"2020","STATION","Var Littoral","2020-02","PRODUCTION / TRAITEMENT","28/02/2020",303.366667,303.366667
"2020","RESEAU","Var Littoral","2020-02","TRAVAUX FACTURABLES","28/02/2020",16.730769,16.730769
"2020","RESEAU","Var Littoral","2020-02","CLIENTELE","28/02/2020",17.685769,17.685769
"2020","RESEAU","Var Littoral","2020-02","DISTRIBUTION / COLLECTE","28/02/2020",78.716923,78.716923
"2020","RESEAU","Var Littoral","2020-02","RELEVE COMPTEURS","28/02/2020",24.3525,24.3525
"2020","AUTRES","Var Littoral","2020-02","TRAJET","28/02/2020",76.44,76.44
"2020","AUTRES","Var Littoral","2020-02","ADMINISTRATIF","28/02/2020",49.14,49.14
"2020","STATION","Centre Var","2020-03","ELECTROMECANIQUE","06/03/2020",11.25,11.25
"2020","STATION","Centre Var","2020-03","PRODUCTION / TRAITEMENT","06/03/2020",163.25,163.25
"2020","RESEAU","Centre Var","2020-03","TRAVAUX FACTURABLES","06/03/2020",9.951923,9.951923
"2020","RESEAU","Centre Var","2020-03","CLIENTELE","06/03/2020",19.558269,19.558269
"2020","RESEAU","Centre Var","2020-03","DISTRIBUTION / COLLECTE","06/03/2020",48.611538,48.611538
"2020","RESEAU","Centre Var","2020-03","RELEVE COMPTEURS","06/03/2020",0,0
"2020","AUTRES","Centre Var","2020-03","TRAJET","06/03/2020",60.375,60.375
"2020","AUTRES","Centre Var","2020-03","ADMINISTRATIF","06/03/2020",38.8125,38.8125
"2020","STATION","Var Littoral","2020-03","ELECTROMECANIQUE","06/03/2020",2.867647,2.867647
"2020","STATION","Var Littoral","2020-03","PRODUCTION / TRAITEMENT","06/03/2020",312,312
"2020","RESEAU","Var Littoral","2020-03","TRAVAUX FACTURABLES","06/03/2020",16.730769,16.730769
"2020","RESEAU","Var Littoral","2020-03","CLIENTELE","06/03/2020",23.185769,23.185769
"2020","RESEAU","Var Littoral","2020-03","DISTRIBUTION / COLLECTE","06/03/2020",85.156923,85.156923
"2020","RESEAU","Var Littoral","2020-03","RELEVE COMPTEURS","06/03/2020",24.3525,24.3525
"2020","AUTRES","Var Littoral","2020-03","TRAJET","06/03/2020",80.43,80.43
"2020","AUTRES","Var Littoral","2020-03","ADMINISTRATIF","06/03/2020",51.705,51.705
"2020","STATION","Centre Var","2020-03","ELECTROMECANIQUE","13/03/2020",11.25,11.25
"2020","STATION","Centre Var","2020-03","PRODUCTION / TRAITEMENT","13/03/2020",164.233333,164.233333
"2020","RESEAU","Centre Var","2020-03","TRAVAUX FACTURABLES","13/03/2020",9.951923,9.951923
"2020","RESEAU","Centre Var","2020-03","CLIENTELE","13/03/2020",22.018269,22.018269
"2020","RESEAU","Centre Var","2020-03","DISTRIBUTION / COLLECTE","13/03/2020",49.691538,49.691538
"2020","RESEAU","Centre Var","2020-03","RELEVE COMPTEURS","13/03/2020",0,0
"2020","AUTRES","Centre Var","2020-03","TRAJET","13/03/2020",61.425,61.425
"2020","AUTRES","Centre Var","2020-03","ADMINISTRATIF","13/03/2020",39.4875,39.4875
"2020","STATION","Var Littoral","2020-03","ELECTROMECANIQUE","13/03/2020",11.25,11.25
"2020","STATION","Var Littoral","2020-03","PRODUCTION / TRAITEMENT","13/03/2020",316.75,316.75
"2020","RESEAU","Var Littoral","2020-03","TRAVAUX FACTURABLES","13/03/2020",16.730769,16.730769
"2020","RESEAU","Var Littoral","2020-03","CLIENTELE","13/03/2020",13.505769,13.505769
"2020","RESEAU","Var Littoral","2020-03","DISTRIBUTION / COLLECTE","13/03/2020",97.736923,97.736923
"2020","RESEAU","Var Littoral","2020-03","RELEVE COMPTEURS","13/03/2020",24.3525,24.3525
"2020","AUTRES","Var Littoral","2020-03","TRAJET","13/03/2020",83.58,83.58
"2020","AUTRES","Var Littoral","2020-03","ADMINISTRATIF","13/03/2020",53.73,53.73
"2020","STATION","Centre Var","2020-03","ELECTROMECANIQUE","20/03/2020",3.75,3.75
"2020","STATION","Centre Var","2020-03","PRODUCTION / TRAITEMENT","20/03/2020",159,159
"2020","RESEAU","Centre Var","2020-03","TRAVAUX FACTURABLES","20/03/2020",9.951923,9.951923
"2020","RESEAU","Centre Var","2020-03","CLIENTELE","20/03/2020",18.368269,18.368269
"2020","RESEAU","Centre Var","2020-03","DISTRIBUTION / COLLECTE","20/03/2020",48.781538,48.781538
"2020","RESEAU","Centre Var","2020-03","RELEVE COMPTEURS","20/03/2020",0,0
"2020","AUTRES","Centre Var","2020-03","TRAJET","20/03/2020",51.765,51.765
"2020","AUTRES","Centre Var","2020-03","ADMINISTRATIF","20/03/2020",33.2775,33.2775
"2020","STATION","Var Littoral","2020-03","ELECTROMECANIQUE","20/03/2020",2.319853,2.319853
"2020","STATION","Var Littoral","2020-03","PRODUCTION / TRAITEMENT","20/03/2020",336.25,336.25
"2020","RESEAU","Var Littoral","2020-03","TRAVAUX FACTURABLES","20/03/2020",16.730769,16.730769
"2020","RESEAU","Var Littoral","2020-03","CLIENTELE","20/03/2020",15.525769,15.525769
"2020","RESEAU","Var Littoral","2020-03","DISTRIBUTION / COLLECTE","20/03/2020",88.366923,88.366923
"2020","RESEAU","Var Littoral","2020-03","RELEVE COMPTEURS","20/03/2020",0,0
"2020","AUTRES","Var Littoral","2020-03","TRAJET","20/03/2020",74.13,74.13
"2020","AUTRES","Var Littoral","2020-03","ADMINISTRATIF","20/03/2020",47.655,47.655
"2020","STATION","Centre Var","2020-03","ELECTROMECANIQUE","27/03/2020",11.25,11.25
"2020","STATION","Centre Var","2020-03","PRODUCTION / TRAITEMENT","27/03/2020",179.716667,179.716667
"2020","RESEAU","Centre Var","2020-03","TRAVAUX FACTURABLES","27/03/2020",9.951923,9.951923
"2020","RESEAU","Centre Var","2020-03","CLIENTELE","27/03/2020",11.068269,11.068269
"2020","RESEAU","Centre Var","2020-03","DISTRIBUTION / COLLECTE","27/03/2020",54.021538,54.021538
"2020","RESEAU","Centre Var","2020-03","RELEVE COMPTEURS","27/03/2020",0,0
"2020","AUTRES","Centre Var","2020-03","TRAJET","27/03/2020",46.725,46.725
"2020","AUTRES","Centre Var","2020-03","ADMINISTRATIF","27/03/2020",30.0375,30.0375
"2020","STATION","Var Littoral","2020-03","ELECTROMECANIQUE","27/03/2020",2.045956,2.045956
"2020","STATION","Var Littoral","2020-03","PRODUCTION / TRAITEMENT","27/03/2020",387.75,387.75
"2020","RESEAU","Var Littoral","2020-03","TRAVAUX FACTURABLES","27/03/2020",16.730769,16.730769
"2020","RESEAU","Var Littoral","2020-03","CLIENTELE","27/03/2020",22.555769,22.555769
"2020","RESEAU","Var Littoral","2020-03","DISTRIBUTION / COLLECTE","27/03/2020",71.786923,71.786923
"2020","RESEAU","Var Littoral","2020-03","RELEVE COMPTEURS","27/03/2020",0,0
"2020","AUTRES","Var Littoral","2020-03","TRAJET","27/03/2020",78.33,78.33
"2020","AUTRES","Var Littoral","2020-03","ADMINISTRATIF","27/03/2020",50.355,50.355
"2020","STATION","Centre Var","2020-04","ELECTROMECANIQUE","03/04/2020",7.5,7.5
"2020","STATION","Centre Var","2020-04","PRODUCTION / TRAITEMENT","03/04/2020",173.15,173.15
"2020","RESEAU","Centre Var","2020-04","TRAVAUX FACTURABLES","03/04/2020",9.951923,9.951923
"2020","RESEAU","Centre Var","2020-04","CLIENTELE","03/04/2020",8.958269,8.958269
"2020","RESEAU","Centre Var","2020-04","DISTRIBUTION / COLLECTE","03/04/2020",67.351538,67.351538
"2020","RESEAU","Centre Var","2020-04","RELEVE COMPTEURS","03/04/2020",0,0
"2020","AUTRES","Centre Var","2020-04","TRAJET","03/04/2020",48.825,48.825
"2020","AUTRES","Centre Var","2020-04","ADMINISTRATIF","03/04/2020",31.3875,31.3875
"2020","STATION","Var Littoral","2020-04","ELECTROMECANIQUE","03/04/2020",7.5,7.5
"2020","STATION","Var Littoral","2020-04","PRODUCTION / TRAITEMENT","03/04/2020",324,324
"2020","RESEAU","Var Littoral","2020-04","TRAVAUX FACTURABLES","03/04/2020",9.230769,9.230769
"2020","RESEAU","Var Littoral","2020-04","CLIENTELE","03/04/2020",13.675769,13.675769
"2020","RESEAU","Var Littoral","2020-04","DISTRIBUTION / COLLECTE","03/04/2020",73.286923,73.286923
"2020","RESEAU","Var Littoral","2020-04","RELEVE COMPTEURS","03/04/2020",0,0
"2020","AUTRES","Var Littoral","2020-04","TRAJET","03/04/2020",77.49,77.49
"2020","AUTRES","Var Littoral","2020-04","ADMINISTRATIF","03/04/2020",49.815,49.815
"2020","STATION","Centre Var","2020-04","ELECTROMECANIQUE","10/04/2020",7.5,7.5
"2020","STATION","Centre Var","2020-04","PRODUCTION / TRAITEMENT","10/04/2020",180.583333,180.583333
"2020","RESEAU","Centre Var","2020-04","TRAVAUX FACTURABLES","10/04/2020",9.951923,9.951923
"2020","RESEAU","Centre Var","2020-04","CLIENTELE","10/04/2020",8.798269,8.798269
"2020","RESEAU","Centre Var","2020-04","DISTRIBUTION / COLLECTE","10/04/2020",58.781538,58.781538
"2020","RESEAU","Centre Var","2020-04","RELEVE COMPTEURS","10/04/2020",0,0
"2020","AUTRES","Centre Var","2020-04","TRAJET","10/04/2020",48.3,48.3
"2020","AUTRES","Centre Var","2020-04","ADMINISTRATIF","10/04/2020",31.05,31.05
"2020","STATION","Var Littoral","2020-04","ELECTROMECANIQUE","10/04/2020",11.25,11.25
"2020","STATION","Var Littoral","2020-04","PRODUCTION / TRAITEMENT","10/04/2020",354.583333,354.583333
"2020","RESEAU","Var Littoral","2020-04","TRAVAUX FACTURABLES","10/04/2020",16.730769,16.730769
"2020","RESEAU","Var Littoral","2020-04","CLIENTELE","10/04/2020",18.435769,18.435769
"2020","RESEAU","Var Littoral","2020-04","DISTRIBUTION / COLLECTE","10/04/2020",77.556923,77.556923
"2020","RESEAU","Var Littoral","2020-04","RELEVE COMPTEURS","10/04/2020",0,0
"2020","AUTRES","Var Littoral","2020-04","TRAJET","10/04/2020",78.33,78.33
"2020","AUTRES","Var Littoral","2020-04","ADMINISTRATIF","10/04/2020",50.355,50.355
"2020","STATION","Centre Var","2020-04","ELECTROMECANIQUE","17/04/2020",7.5,7.5
"2020","STATION","Centre Var","2020-04","PRODUCTION / TRAITEMENT","17/04/2020",156.25,156.25
"2020","RESEAU","Centre Var","2020-04","TRAVAUX FACTURABLES","17/04/2020",9.951923,9.951923
"2020","RESEAU","Centre Var","2020-04","CLIENTELE","17/04/2020",11.208269,11.208269
"2020","RESEAU","Centre Var","2020-04","DISTRIBUTION / COLLECTE","17/04/2020",51.211538,51.211538
"2020","RESEAU","Centre Var","2020-04","RELEVE COMPTEURS","17/04/2020",0,0
"2020","AUTRES","Centre Var","2020-04","TRAJET","17/04/2020",46.725,46.725
"2020","AUTRES","Centre Var","2020-04","ADMINISTRATIF","17/04/2020",30.0375,30.0375
"2020","STATION","Var Littoral","2020-04","ELECTROMECANIQUE","17/04/2020",7.5,7.5
"2020","STATION","Var Littoral","2020-04","PRODUCTION / TRAITEMENT","17/04/2020",317.25,317.25
"2020","RESEAU","Var Littoral","2020-04","TRAVAUX FACTURABLES","17/04/2020",16.730769,16.730769
"2020","RESEAU","Var Littoral","2020-04","CLIENTELE","17/04/2020",15.835769,15.835769
"2020","RESEAU","Var Littoral","2020-04","DISTRIBUTION / COLLECTE","17/04/2020",66.236923,66.236923
"2020","RESEAU","Var Littoral","2020-04","RELEVE COMPTEURS","17/04/2020",166.141,166.141
"2020","AUTRES","Var Littoral","2020-04","TRAJET","17/04/2020",59.43,59.43
"2020","AUTRES","Var Littoral","2020-04","ADMINISTRATIF","17/04/2020",38.205,38.205
"2020","STATION","Centre Var","2020-04","ELECTROMECANIQUE","24/04/2020",8.625,8.625
"2020","STATION","Centre Var","2020-04","PRODUCTION / TRAITEMENT","24/04/2020",173.333333,173.333333
"2020","RESEAU","Centre Var","2020-04","TRAVAUX FACTURABLES","24/04/2020",9.951923,9.951923
"2020","RESEAU","Centre Var","2020-04","CLIENTELE","24/04/2020",15.718269,15.718269
"2020","RESEAU","Centre Var","2020-04","DISTRIBUTION / COLLECTE","24/04/2020",48.231538,48.231538
"2020","RESEAU","Centre Var","2020-04","RELEVE COMPTEURS","24/04/2020",0,0
"2020","AUTRES","Centre Var","2020-04","TRAJET","24/04/2020",59.325,59.325
"2020","AUTRES","Centre Var","2020-04","ADMINISTRATIF","24/04/2020",38.1375,38.1375
"2020","STATION","Var Littoral","2020-04","ELECTROMECANIQUE","24/04/2020",11.25,11.25
"2020","STATION","Var Littoral","2020-04","PRODUCTION / TRAITEMENT","24/04/2020",337.533333,337.533333
"2020","RESEAU","Var Littoral","2020-04","TRAVAUX FACTURABLES","24/04/2020",16.730769,16.730769
"2020","RESEAU","Var Littoral","2020-04","CLIENTELE","24/04/2020",13.475769,13.475769
"2020","RESEAU","Var Littoral","2020-04","DISTRIBUTION / COLLECTE","24/04/2020",68.736923,68.736923
"2020","RESEAU","Var Littoral","2020-04","RELEVE COMPTEURS","24/04/2020",166.141,166.141
"2020","AUTRES","Var Littoral","2020-04","TRAJET","24/04/2020",70.14,70.14
"2020","AUTRES","Var Littoral","2020-04","ADMINISTRATIF","24/04/2020",45.09,45.09
"2020","STATION","Centre Var","2020-05","ELECTROMECANIQUE","01/05/2020",18.75,18.75
"2020","STATION","Centre Var","2020-05","PRODUCTION / TRAITEMENT","01/05/2020",160.75,160.75
"2020","RESEAU","Centre Var","2020-05","TRAVAUX FACTURABLES","01/05/2020",9.951923,9.951923
"2020","RESEAU","Centre Var","2020-05","CLIENTELE","01/05/2020",7.518269,7.518269
"2020","RESEAU","Centre Var","2020-05","DISTRIBUTION / COLLECTE","01/05/2020",47.121538,47.121538
"2020","RESEAU","Centre Var","2020-05","RELEVE COMPTEURS","01/05/2020",0,0
"2020","AUTRES","Centre Var","2020-05","TRAJET","01/05/2020",52.29,52.29
"2020","AUTRES","Centre Var","2020-05","ADMINISTRATIF","01/05/2020",33.615,33.615
"2020","STATION","Var Littoral","2020-05","ELECTROMECANIQUE","01/05/2020",11.25,11.25
"2020","STATION","Var Littoral","2020-05","PRODUCTION / TRAITEMENT","01/05/2020",302.083333,302.083333
"2020","RESEAU","Var Littoral","2020-05","TRAVAUX FACTURABLES","01/05/2020",16.730769,16.730769
