"Ann_e","Profil","Secteur","P_riode","Date","Capacite","Capacite_ETP"
"2020","POLYVALENT","Var Littoral","2020-03","27/03/2020",150,4
"2020","STATION","Centre Var","2020-04","03/04/2020",120,3.2
"2020","RESEAU","Centre Var","2020-04","03/04/2020",75,2
"2020","POLYVALENT","Centre Var","2020-04","03/04/2020",153.75,4.1
"2020","STATION","Var Littoral","2020-04","03/04/2020",180,4.8
"2020","RESEAU","Var Littoral","2020-04","03/04/2020",223.5,5.96
"2020","POLYVALENT","Var Littoral","2020-04","03/04/2020",150,4
"2020","STATION","Centre Var","2020-04","10/04/2020",112.5,3
"2020","RESEAU","Centre Var","2020-04","10/04/2020",45,1.2
"2020","POLYVALENT","Centre Var","2020-04","10/04/2020",187.5,5
"2020","STATION","Var Littoral","2020-04","10/04/2020",165,4.4
"2020","RESEAU","Var Littoral","2020-04","10/04/2020",244.5,6.52
"2020","POLYVALENT","Var Littoral","2020-04","10/04/2020",150,4
"2020","STATION","Centre Var","2020-04","17/04/2020",112.5,3
"2020","RESEAU","Centre Var","2020-04","17/04/2020",52.5,1.4
"2020","POLYVALENT","Centre Var","2020-04","17/04/2020",168.75,4.5
"2020","STATION","Var Littoral","2020-04","17/04/2020",135,3.6
"2020","RESEAU","Var Littoral","2020-04","17/04/2020",147,3.92
"2020","POLYVALENT","Var Littoral","2020-04","17/04/2020",142.5,3.8
"2020","STATION","Centre Var","2020-04","24/04/2020",150,4
"2020","RESEAU","Centre Var","2020-04","24/04/2020",67.5,1.8
"2020","POLYVALENT","Centre Var","2020-04","24/04/2020",206.25,5.5
"2020","STATION","Var Littoral","2020-04","24/04/2020",187.5,5
"2020","RESEAU","Var Littoral","2020-04","24/04/2020",178.5,4.76
"2020","POLYVALENT","Var Littoral","2020-04","24/04/2020",135,3.6
"2020","STATION","Centre Var","2020-05","01/05/2020",112.5,3
"2020","RESEAU","Centre Var","2020-05","01/05/2020",66,1.76
"2020","POLYVALENT","Centre Var","2020-05","01/05/2020",195,5.2
"2020","STATION","Var Littoral","2020-05","01/05/2020",142.5,3.8
"2020","RESEAU","Var Littoral","2020-05","01/05/2020",222,5.92
"2020","POLYVALENT","Var Littoral","2020-05","01/05/2020",127.5,3.4
"2020","STATION","Centre Var","2020-05","08/05/2020",112.5,3
"2020","RESEAU","Centre Var","2020-05","08/05/2020",66,1.76
"2020","POLYVALENT","Centre Var","2020-05","08/05/2020",195,5.2
"2020","STATION","Var Littoral","2020-05","08/05/2020",165,4.4
"2020","RESEAU","Var Littoral","2020-05","08/05/2020",237,6.32
"2020","POLYVALENT","Var Littoral","2020-05","08/05/2020",127.5,3.4
"2020","STATION","Centre Var","2020-05","15/05/2020",150,4
"2020","RESEAU","Centre Var","2020-05","15/05/2020",82.5,2.2
"2020","POLYVALENT","Centre Var","2020-05","15/05/2020",243.75,6.5
"2020","STATION","Var Littoral","2020-05","15/05/2020",210,5.6
"2020","RESEAU","Var Littoral","2020-05","15/05/2020",259.5,6.92
"2020","POLYVALENT","Var Littoral","2020-05","15/05/2020",150,4
"2020","STATION","Centre Var","2020-05","22/05/2020",112.5,3
"2020","RESEAU","Centre Var","2020-05","22/05/2020",64.5,1.72
"2020","POLYVALENT","Centre Var","2020-05","22/05/2020",183.75,4.9
"2020","STATION","Var Littoral","2020-05","22/05/2020",168.75,4.5
"2020","RESEAU","Var Littoral","2020-05","22/05/2020",214.5,5.72
"2020","POLYVALENT","Var Littoral","2020-05","22/05/2020",150,4
"2020","STATION","Centre Var","2020-05","29/05/2020",112.5,3
"2020","RESEAU","Centre Var","2020-05","29/05/2020",71.25,1.9
"2020","POLYVALENT","Centre Var","2020-05","29/05/2020",183.75,4.9
"2020","STATION","Var Littoral","2020-05","29/05/2020",157.5,4.2
"2020","RESEAU","Var Littoral","2020-05","29/05/2020",267,7.12
"2020","POLYVALENT","Var Littoral","2020-05","29/05/2020",150,4
"2020","STATION","Centre Var","2020-06","05/06/2020",90,2.4
"2020","RESEAU","Centre Var","2020-06","05/06/2020",36,0.96
"2020","POLYVALENT","Centre Var","2020-06","05/06/2020",202.5,5.4
"2020","STATION","Var Littoral","2020-06","05/06/2020",161.25,4.3
"2020","RESEAU","Var Littoral","2020-06","05/06/2020",207,5.52
"2020","POLYVALENT","Var Littoral","2020-06","05/06/2020",120,3.2
"2020","STATION","Centre Var","2020-06","12/06/2020",135,3.6
"2020","RESEAU","Centre Var","2020-06","12/06/2020",82.5,2.2
"2020","POLYVALENT","Centre Var","2020-06","12/06/2020",243.75,6.5
"2020","STATION","Var Littoral","2020-06","12/06/2020",198.75,5.3
"2020","RESEAU","Var Littoral","2020-06","12/06/2020",257.25,6.86
"2020","POLYVALENT","Var Littoral","2020-06","12/06/2020",150,4
"2020","STATION","Centre Var","2020-06","19/06/2020",150,4
"2020","RESEAU","Centre Var","2020-06","19/06/2020",75,2
"2020","POLYVALENT","Centre Var","2020-06","19/06/2020",236.25,6.3
"2020","STATION","Var Littoral","2020-06","19/06/2020",153.75,4.1
"2020","RESEAU","Var Littoral","2020-06","19/06/2020",259.5,6.92
"2020","POLYVALENT","Var Littoral","2020-06","19/06/2020",150,4
"2020","STATION","Centre Var","2020-06","26/06/2020",150,4
"2020","RESEAU","Centre Var","2020-06","26/06/2020",82.5,2.2
"2020","POLYVALENT","Centre Var","2020-06","26/06/2020",236.25,6.3
"2020","STATION","Var Littoral","2020-06","26/06/2020",180,4.8
"2020","RESEAU","Var Littoral","2020-06","26/06/2020",240.75,6.42
"2020","POLYVALENT","Var Littoral","2020-06","26/06/2020",150,4
"2020","STATION","Centre Var","2020-07","03/07/2020",150,4
"2020","RESEAU","Centre Var","2020-07","03/07/2020",75,2
"2020","POLYVALENT","Centre Var","2020-07","03/07/2020",243.75,6.5
"2020","STATION","Var Littoral","2020-07","03/07/2020",195,5.2
"2020","RESEAU","Var Littoral","2020-07","03/07/2020",222,5.92
"2020","POLYVALENT","Var Littoral","2020-07","03/07/2020",150,4
"2020","STATION","Centre Var","2020-07","10/07/2020",105,2.8
"2020","RESEAU","Centre Var","2020-07","10/07/2020",19.5,0.52
"2020","POLYVALENT","Centre Var","2020-07","10/07/2020",165,4.4
"2020","STATION","Var Littoral","2020-07","10/07/2020",150,4
"2020","RESEAU","Var Littoral","2020-07","10/07/2020",124.5,3.32
"2020","POLYVALENT","Var Littoral","2020-07","10/07/2020",112.5,3
"2020","STATION","Centre Var","2020-07","17/07/2020",112.5,3
"2020","RESEAU","Centre Var","2020-07","17/07/2020",75,2
"2020","POLYVALENT","Centre Var","2020-07","17/07/2020",161.25,4.3
"2020","STATION","Var Littoral","2020-07","17/07/2020",213.75,5.7
"2020","RESEAU","Var Littoral","2020-07","17/07/2020",156,4.16
"2020","POLYVALENT","Var Littoral","2020-07","17/07/2020",135,3.6
"2020","STATION","Centre Var","2020-07","24/07/2020",112.5,3
"2020","RESEAU","Centre Var","2020-07","24/07/2020",75,2
"2020","POLYVALENT","Centre Var","2020-07","24/07/2020",150,4
"2020","STATION","Var Littoral","2020-07","24/07/2020",210,5.6
"2020","RESEAU","Var Littoral","2020-07","24/07/2020",223.5,5.96
"2020","POLYVALENT","Var Littoral","2020-07","24/07/2020",150,4
"2020","STATION","Centre Var","2020-07","31/07/2020",112.5,3
"2020","RESEAU","Centre Var","2020-07","31/07/2020",75,2
"2020","POLYVALENT","Centre Var","2020-07","31/07/2020",150,4
"2020","STATION","Var Littoral","2020-07","31/07/2020",180,4.8
"2020","RESEAU","Var Littoral","2020-07","31/07/2020",259.5,6.92
"2020","POLYVALENT","Var Littoral","2020-07","31/07/2020",150,4
"2020","STATION","Centre Var","2020-08","07/08/2020",112.5,3
"2020","RESEAU","Centre Var","2020-08","07/08/2020",0,0
"2020","POLYVALENT","Centre Var","2020-08","07/08/2020",228.75,6.1
"2020","STATION","Var Littoral","2020-08","07/08/2020",187.5,5
"2020","RESEAU","Var Littoral","2020-08","07/08/2020",259.5,6.92
"2020","POLYVALENT","Var Littoral","2020-08","07/08/2020",150,4
"2020","STATION","Centre Var","2020-08","14/08/2020",90,2.4
"2020","RESEAU","Centre Var","2020-08","14/08/2020",6,0.16
"2020","POLYVALENT","Centre Var","2020-08","14/08/2020",142.5,3.8
"2020","STATION","Var Littoral","2020-08","14/08/2020",168.75,4.5
"2020","RESEAU","Var Littoral","2020-08","14/08/2020",218.25,5.82
"2020","POLYVALENT","Var Littoral","2020-08","14/08/2020",127.5,3.4
"2020","STATION","Centre Var","2020-08","21/08/2020",105,2.8
"2020","RESEAU","Centre Var","2020-08","21/08/2020",37.5,1
"2020","POLYVALENT","Centre Var","2020-08","21/08/2020",206.25,5.5
"2020","STATION","Var Littoral","2020-08","21/08/2020",138.75,3.7
"2020","RESEAU","Var Littoral","2020-08","21/08/2020",278.25,7.42
"2020","POLYVALENT","Var Littoral","2020-08","21/08/2020",150,4
"2020","STATION","Centre Var","2020-08","28/08/2020",112.5,3
"2020","RESEAU","Centre Var","2020-08","28/08/2020",82.5,2.2
"2020","POLYVALENT","Centre Var","2020-08","28/08/2020",131.25,3.5
"2020","STATION","Var Littoral","2020-08","28/08/2020",172.5,4.6
"2020","RESEAU","Var Littoral","2020-08","28/08/2020",274.5,7.32
"2020","POLYVALENT","Var Littoral","2020-08","28/08/2020",90,2.4
"2020","STATION","Centre Var","2020-09","04/09/2020",82.5,2.2
"2020","RESEAU","Centre Var","2020-09","04/09/2020",82.5,2.2
"2020","POLYVALENT","Centre Var","2020-09","04/09/2020",131.25,3.5
"2020","STATION","Var Littoral","2020-09","04/09/2020",180,4.8
"2020","RESEAU","Var Littoral","2020-09","04/09/2020",282,7.52
"2020","POLYVALENT","Var Littoral","2020-09","04/09/2020",75,2
"2020","STATION","Centre Var","2020-09","11/09/2020",131.25,3.5
"2020","RESEAU","Centre Var","2020-09","11/09/2020",82.5,2.2
"2020","POLYVALENT","Centre Var","2020-09","11/09/2020",206.25,5.5
"2020","STATION","Var Littoral","2020-09","11/09/2020",176.25,4.7
"2020","RESEAU","Var Littoral","2020-09","11/09/2020",289.5,7.72
"2020","POLYVALENT","Var Littoral","2020-09","11/09/2020",150,4
"2020","STATION","Centre Var","2020-09","18/09/2020",142.5,3.8
"2020","RESEAU","Centre Var","2020-09","18/09/2020",82.5,2.2
"2020","POLYVALENT","Centre Var","2020-09","18/09/2020",221.25,5.9
"2020","STATION","Var Littoral","2020-09","18/09/2020",172.5,4.6
"2020","RESEAU","Var Littoral","2020-09","18/09/2020",267,7.12
"2020","POLYVALENT","Var Littoral","2020-09","18/09/2020",150,4
"2020","STATION","Centre Var","2020-09","25/09/2020",142.5,3.8
"2020","RESEAU","Centre Var","2020-09","25/09/2020",82.5,2.2
"2020","POLYVALENT","Centre Var","2020-09","25/09/2020",243.75,6.5
"2020","STATION","Var Littoral","2020-09","25/09/2020",191.25,5.1
"2020","RESEAU","Var Littoral","2020-09","25/09/2020",297,7.92
"2020","POLYVALENT","Var Littoral","2020-09","25/09/2020",150,4
"2020","STATION","Centre Var","2020-10","02/10/2020",135,3.6
"2020","RESEAU","Centre Var","2020-10","02/10/2020",82.5,2.2
"2020","POLYVALENT","Centre Var","2020-10","02/10/2020",243.75,6.5
"2020","STATION","Var Littoral","2020-10","02/10/2020",206.25,5.5
"2020","RESEAU","Var Littoral","2020-10","02/10/2020",246,6.56
"2020","POLYVALENT","Var Littoral","2020-10","02/10/2020",150,4
"2020","STATION","Centre Var","2020-10","09/10/2020",112.5,3
"2020","RESEAU","Centre Var","2020-10","09/10/2020",82.5,2.2
"2020","POLYVALENT","Centre Var","2020-10","09/10/2020",243.75,6.5
"2020","STATION","Var Littoral","2020-10","09/10/2020",221.25,5.9
"2020","RESEAU","Var Littoral","2020-10","09/10/2020",261,6.96
"2020","POLYVALENT","Var Littoral","2020-10","09/10/2020",150,4
"2020","STATION","Centre Var","2020-10","16/10/2020",150,4
"2020","RESEAU","Centre Var","2020-10","16/10/2020",82.5,2.2
"2020","POLYVALENT","Centre Var","2020-10","16/10/2020",236.25,6.3
"2020","STATION","Var Littoral","2020-10","16/10/2020",202.5,5.4
"2020","RESEAU","Var Littoral","2020-10","16/10/2020",293.25,7.82
"2020","POLYVALENT","Var Littoral","2020-10","16/10/2020",120,3.2
"2020","STATION","Centre Var","2020-10","23/10/2020",112.5,3
"2020","RESEAU","Centre Var","2020-10","23/10/2020",45,1.2
"2020","POLYVALENT","Centre Var","2020-10","23/10/2020",187.5,5
"2020","STATION","Var Littoral","2020-10","23/10/2020",157.5,4.2
"2020","RESEAU","Var Littoral","2020-10","23/10/2020",297,7.92
"2020","POLYVALENT","Var Littoral","2020-10","23/10/2020",90,2.4
"2020","STATION","Centre Var","2020-10","30/10/2020",120,3.2
"2020","RESEAU","Centre Var","2020-10","30/10/2020",27,0.72
"2020","POLYVALENT","Centre Var","2020-10","30/10/2020",146.25,3.9
"2020","STATION","Var Littoral","2020-10","30/10/2020",142.5,3.8
"2020","RESEAU","Var Littoral","2020-10","30/10/2020",218.25,5.82
"2020","POLYVALENT","Var Littoral","2020-10","30/10/2020",127.5,3.4
"2020","STATION","Centre Var","2020-11","06/11/2020",150,4
"2020","RESEAU","Centre Var","2020-11","06/11/2020",75,2
"2020","POLYVALENT","Centre Var","2020-11","06/11/2020",198.75,5.3
"2020","STATION","Var Littoral","2020-11","06/11/2020",165,4.4
"2020","RESEAU","Var Littoral","2020-11","06/11/2020",259.5,6.92
"2020","POLYVALENT","Var Littoral","2020-11","06/11/2020",127.5,3.4
"2020","STATION","Centre Var","2020-11","13/11/2020",142.5,3.8
"2020","RESEAU","Centre Var","2020-11","13/11/2020",81,2.16
"2020","POLYVALENT","Centre Var","2020-11","13/11/2020",243.75,6.5
"2020","STATION","Var Littoral","2020-11","13/11/2020",202.5,5.4
"2020","RESEAU","Var Littoral","2020-11","13/11/2020",285.75,7.62
"2020","POLYVALENT","Var Littoral","2020-11","13/11/2020",150,4
"2020","STATION","Centre Var","2020-11","20/11/2020",150,4
"2020","RESEAU","Centre Var","2020-11","20/11/2020",81,2.16
"2020","POLYVALENT","Centre Var","2020-11","20/11/2020",243.75,6.5
"2020","STATION","Var Littoral","2020-11","20/11/2020",206.25,5.5
"2020","RESEAU","Var Littoral","2020-11","20/11/2020",297,7.92
"2020","POLYVALENT","Var Littoral","2020-11","20/11/2020",150,4
"2020","STATION","Centre Var","2020-11","27/11/2020",150,4
"2020","RESEAU","Centre Var","2020-11","27/11/2020",82.5,2.2
"2020","POLYVALENT","Centre Var","2020-11","27/11/2020",243.75,6.5
"2020","STATION","Var Littoral","2020-11","27/11/2020",172.5,4.6
"2020","RESEAU","Var Littoral","2020-11","27/11/2020",293.25,7.82
"2020","POLYVALENT","Var Littoral","2020-11","27/11/2020",112.5,3
"2020","STATION","Centre Var","2020-12","04/12/2020",142.5,3.8
"2020","RESEAU","Centre Var","2020-12","04/12/2020",82.5,2.2
"2020","POLYVALENT","Centre Var","2020-12","04/12/2020",228.75,6.1
"2020","STATION","Var Littoral","2020-12","04/12/2020",202.5,5.4
"2020","RESEAU","Var Littoral","2020-12","04/12/2020",263.25,7.02
"2020","POLYVALENT","Var Littoral","2020-12","04/12/2020",120,3.2
"2020","STATION","Centre Var","2020-12","11/12/2020",150,4
"2020","RESEAU","Centre Var","2020-12","11/12/2020",82.5,2.2
"2020","POLYVALENT","Centre Var","2020-12","11/12/2020",187.5,5
"2020","STATION","Var Littoral","2020-12","11/12/2020",217.5,5.8
"2020","RESEAU","Var Littoral","2020-12","11/12/2020",240.75,6.42
"2020","POLYVALENT","Var Littoral","2020-12","11/12/2020",150,4
"2020","STATION","Centre Var","2020-12","18/12/2020",75,2
"2020","RESEAU","Centre Var","2020-12","18/12/2020",62.25,1.66
"2020","POLYVALENT","Centre Var","2020-12","18/12/2020",90,2.4
"2020","STATION","Var Littoral","2020-12","18/12/2020",180,4.8
"2020","RESEAU","Var Littoral","2020-12","18/12/2020",225.75,6.02
"2020","POLYVALENT","Var Littoral","2020-12","18/12/2020",142.5,3.8
"2020","STATION","Centre Var","2020-12","25/12/2020",75,2
"2020","RESEAU","Centre Var","2020-12","25/12/2020",37.5,1
"2020","POLYVALENT","Centre Var","2020-12","25/12/2020",150,4
"2020","STATION","Var Littoral","2020-12","25/12/2020",157.5,4.2
"2020","RESEAU","Var Littoral","2020-12","25/12/2020",156,4.16
"2020","POLYVALENT","Var Littoral","2020-12","25/12/2020",67.5,1.8
