"Profil","Secteur","Key_Secteur_Week","Date_Week1","Capacite_Reseau"
"RESEAU","Var Littoral","Var Littoral-15","15",112.72
"RESEAU","Var Littoral","Var Littoral-27","27",140.32
"RESEAU","Var Littoral","Var Littoral-40","40",267.88
"RESEAU","Var Littoral","Var Littoral-43","43",280.75
"RESEAU","Var Littoral","Var Littoral-06","06",142.01
"RESEAU","Centre Var","Centre Var-16","16",72.37
"RESEAU","Centre Var","Centre Var-46","46",200.96
"RESEAU","Centre Var","Centre Var-49","49",231.74
"RESEAU","Var Littoral","Var Littoral-01","01",125.26
"RESEAU","Centre Var","Centre Var-10","10",78.12
"RESEAU","Centre Var","Centre Var-14","14",86.26
"RESEAU","Centre Var","Centre Var-34","34",75.98
"RESEAU","Centre Var","Centre Var-04","04",83.67
"RESEAU","Centre Var","Centre Var-09","09",83.03
"RESEAU","Var Littoral","Var Littoral-12","12",120.62
"RESEAU","Centre Var","Centre Var-23","23",214.07
"RESEAU","Centre Var","Centre Var-31","31",89.17
"RESEAU","Centre Var","Centre Var-35","35",73.78
"RESEAU","Centre Var","Centre Var-02","02",91.85
"RESEAU","Centre Var","Centre Var-05","05",77.58
"RESEAU","Var Littoral","Var Littoral-13","13",111.07
"RESEAU","Var Littoral","Var Littoral-29","29",115.5
"RESEAU","Var Littoral","Var Littoral-39","39",255.84
"RESEAU","Centre Var","Centre Var-40","40",69.89
"RESEAU","Centre Var","Centre Var-44","44",98.58
"RESEAU","Var Littoral","Var Littoral-03","03",129.55
"RESEAU","Centre Var","Centre Var-15","15",77.53
"RESEAU","Centre Var","Centre Var-22","22",138.23
"RESEAU","Centre Var","Centre Var-33","33",79.81
"RESEAU","Centre Var","Centre Var-11","11",81.66
"RESEAU","Var Littoral","Var Littoral-09","09",137.49
"RESEAU","Var Littoral","Var Littoral-16","16",264.94
"RESEAU","Var Littoral","Var Littoral-18","18",303.93
"RESEAU","Var Littoral","Var Littoral-28","28",149.73
"RESEAU","Var Littoral","Var Littoral-08","08",128.94
"RESEAU","Centre Var","Centre Var-26","26",145.68
"RESEAU","Centre Var","Centre Var-29","29",87.82
"RESEAU","Var Littoral","Var Littoral-07","07",126.89
"RESEAU","Centre Var","Centre Var-21","21",75.57
"RESEAU","Centre Var","Centre Var-25","25",149.35
"RESEAU","Var Littoral","Var Littoral-30","30",117.29
"RESEAU","Centre Var","Centre Var-38","38",77.28
