"Catering_Event_Type","Id","Cleanliness","Experience","Quality_of_Food","Service_Speed","Overall_Rating"
"Birthday Party","44-0872391",4,5,1,3,4
"Birthday Party","98-0325683",2,3,2,2,2
"Birthday Party","17-3278838",4,1,4,4,5
"Birthday Party","86-8291594",5,1,5,5,3
"Birthday Party","35-9258158",1,4,3,5,1
"Birthday Party","10-6118440",5,4,3,1,2
"Birthday Party","57-0840608",3,1,2,4,1
"Birthday Party","58-4557541",3,5,3,5,1
"Birthday Party","32-4720352",4,1,1,1,2
"Birthday Party","36-8818002",4,3,1,5,1
"Birthday Party","05-4493515",1,1,5,5,3
"Birthday Party","59-8497940",2,1,2,2,1
"Birthday Party","24-8763585",4,1,1,1,2
"Birthday Party","34-2993709",2,3,1,5,3
"Birthday Party","30-9299997",2,2,5,1,1
"Birthday Party","75-2094497",4,5,3,5,1
"Birthday Party","80-3592648",5,2,3,2,3
"Birthday Party","47-2467764",2,4,5,1,2
"Birthday Party","56-7252264",4,3,1,5,3
"Birthday Party","51-0450689",1,3,5,3,3
"Birthday Party","50-7123002",4,3,3,2,4
"Birthday Party","49-2263196",4,5,1,5,5
"Birthday Party","09-5364256",1,1,3,1,4
"Birthday Party","25-3900846",5,5,3,2,3
"Birthday Party","16-0000777",3,5,5,4,1
"Birthday Party","92-9810051",2,1,2,2,1
"Birthday Party","86-3805198",4,3,3,1,4
"Birthday Party","79-2589778",3,2,2,3,5
"Birthday Party","14-6758761",2,2,1,5,2
"Birthday Party","15-6390529",5,3,3,5,2
"Birthday Party","49-4918900",3,1,5,1,2
"Birthday Party","93-6797726",3,1,3,3,2
"Birthday Party","95-9842259",2,1,4,1,1
"Birthday Party","29-1875490",3,2,5,4,3
"Birthday Party","59-8878675",3,4,4,3,5
"Birthday Party","15-8043543",1,2,5,5,1
"Birthday Party","00-8640637",1,2,2,4,3
"Birthday Party","75-6310936",5,1,3,4,1
"Birthday Party","93-5666698",2,2,2,5,5
"Birthday Party","02-4907072",4,4,2,1,4
"Birthday Party","45-6365464",3,4,2,4,3
"Birthday Party","06-2465702",3,2,2,4,1
"Birthday Party","73-2054504",5,3,2,5,4
"Birthday Party","47-0198782",3,1,5,4,3
"Birthday Party","60-6105244",1,5,5,5,3
"Birthday Party","06-4231866",2,3,5,1,2
"Birthday Party","82-6060132",5,1,3,3,2
"Birthday Party","15-5574315",2,2,2,2,4
"Birthday Party","80-2900343",1,2,2,2,3
"Birthday Party","40-0558721",2,5,1,3,5
"Birthday Party","63-1614728",2,1,3,3,2
"Birthday Party","99-4241340",2,5,5,4,1
"Birthday Party","80-9130111",5,1,1,4,5
"Birthday Party","28-3397447",3,4,3,2,3
"Birthday Party","14-4755059",1,2,1,5,3
"Birthday Party","30-5082822",4,4,3,4,4
"Birthday Party","44-2025868",2,2,1,1,5
"Birthday Party","11-8553407",1,1,2,4,4
"Birthday Party","72-4591908",1,5,2,5,4
"Birthday Party","79-4564379",1,2,1,3,4
"Birthday Party","53-4665280",4,1,3,3,2
"Birthday Party","26-9612224",1,2,5,4,4
"Birthday Party","08-7122368",5,1,1,1,2
"Birthday Party","67-0401327",5,5,1,2,5
"Birthday Party","85-8251035",4,3,1,2,1
"Birthday Party","11-0892287",5,1,4,1,1
"Birthday Party","07-5820928",4,2,5,4,4
"Birthday Party","63-7744303",2,3,3,5,3
"Birthday Party","12-8393955",2,2,3,4,3
"Birthday Party","34-1595778",5,1,4,1,2
"Birthday Party","13-1099019",3,3,5,3,3
"Birthday Party","12-1716004",1,5,1,1,2
"Birthday Party","37-5028873",4,4,2,1,5
"Birthday Party","27-8365754",2,1,1,2,3
"Birthday Party","23-2531125",2,1,5,5,3
"Birthday Party","69-1119296",1,4,4,1,1
"Birthday Party","51-7192862",1,1,4,1,2
"Birthday Party","39-7514042",3,5,2,4,3
"Birthday Party","14-4707786",3,1,3,4,3
"Birthday Party","01-2560474",3,4,5,4,2
"Birthday Party","67-4706563",2,1,2,2,5
"Birthday Party","85-2125834",2,4,4,1,2
"Birthday Party","30-9158768",1,1,5,1,1
"Birthday Party","30-9599706",1,2,1,1,5
"Birthday Party","79-3656002",2,3,2,2,4
"Birthday Party","90-7100759",3,1,5,1,1
"Birthday Party","76-7290283",5,2,1,5,2
"Birthday Party","60-5123209",4,1,2,5,1
"Birthday Party","81-4405322",5,3,1,2,3
"Birthday Party","84-8520238",1,5,5,5,1
"Birthday Party","10-1757887",4,5,2,2,1
"Birthday Party","33-4619960",5,4,1,5,1
"Birthday Party","55-9996200",1,3,5,1,5
"Birthday Party","17-6103622",2,1,4,2,4
"Birthday Party","63-9035722",4,4,3,2,1
"Birthday Party","00-5233521",2,2,1,3,3
"Birthday Party","65-8405606",2,1,5,1,1
"Birthday Party","28-4440273",4,5,4,1,2
"Birthday Party","16-3702971",5,5,3,3,3
"Birthday Party","81-5969800",4,5,3,1,4
"Birthday Party","42-8467507",4,2,5,3,5
"Birthday Party","43-5672059",1,4,5,1,2
"Birthday Party","93-6275275",1,1,2,1,2
"Birthday Party","94-8873134",4,3,5,1,2
"Birthday Party","38-9048840",3,2,2,4,5
"Birthday Party","86-2630295",1,2,5,5,2
"Birthday Party","03-3268506",1,3,3,2,1
"Birthday Party","56-8221619",5,3,2,3,3
"Birthday Party","72-9922518",2,4,2,4,4
"Birthday Party","40-5436057",1,2,4,4,1
"Birthday Party","09-9733341",2,2,2,4,1
"Birthday Party","04-3350771",2,5,2,2,1
"Birthday Party","73-9213629",3,2,4,3,1
"Birthday Party","20-4437790",2,5,5,4,1
"Birthday Party","14-1891689",3,5,4,3,3
"Birthday Party","54-0244331",2,3,1,4,2
"Birthday Party","84-0627789",4,3,2,5,4
"Birthday Party","72-1740997",4,1,5,3,1
"Birthday Party","28-7368824",2,3,5,4,5
"Birthday Party","66-9843583",5,5,3,1,3
"Birthday Party","35-6245775",5,1,5,2,2
"Birthday Party","14-1688959",3,5,5,3,5
"Birthday Party","98-5160475",4,3,5,1,1
"Birthday Party","73-8318513",2,4,3,3,5
"Birthday Party","23-0524657",2,5,3,5,4
"Birthday Party","92-8608643",1,2,2,1,3
"Birthday Party","98-4409776",2,2,4,4,2
"Birthday Party","72-1410922",5,2,3,3,2
"Birthday Party","51-8698618",1,1,1,1,3
"Birthday Party","70-7746809",2,2,3,4,5
"Birthday Party","06-2193672",1,1,2,2,2
"Birthday Party","77-4038332",4,1,5,2,1
"Birthday Party","90-0719841",3,5,3,5,5
"Birthday Party","68-7487067",1,2,2,3,4
"Birthday Party","62-7919358",4,5,5,1,5
"Birthday Party","76-4524006",2,3,3,5,2
"Birthday Party","26-0730019",3,2,4,5,5
"Birthday Party","42-4939367",2,3,2,5,2
"Birthday Party","32-2697706",5,1,1,5,2
"Birthday Party","03-3034976",4,4,1,2,1
"Birthday Party","02-3566344",2,3,4,2,3
"Birthday Party","45-1814345",2,3,1,1,3
"Birthday Party","96-2154958",5,5,4,4,4
"Birthday Party","13-2336818",3,1,1,2,1
"Birthday Party","04-2663135",5,2,2,5,3
"Birthday Party","62-3378935",2,5,5,3,1
"Birthday Party","69-6301159",2,5,1,1,3
"Birthday Party","80-9987850",2,4,5,1,4
"Birthday Party","11-3568941",2,5,5,4,5
"Birthday Party","92-1715077",4,2,1,5,3
"Birthday Party","66-6831995",4,5,5,5,5
"Birthday Party","59-1555681",3,5,1,2,1
"Birthday Party","82-0213343",3,1,1,1,2
"Birthday Party","44-1815003",4,4,2,4,1
"Birthday Party","75-5807132",2,5,3,2,5
"Birthday Party","85-4483046",4,5,4,2,5
"Birthday Party","74-6636465",3,5,4,2,5
"Birthday Party","82-1247517",2,2,1,4,4
"Birthday Party","44-5151687",4,5,1,3,1
"Birthday Party","38-0609929",5,5,1,2,3
"Birthday Party","67-5444994",2,4,4,2,1
"Birthday Party","68-4418753",1,5,3,4,5
"Birthday Party","08-9505195",1,4,4,5,4
"Birthday Party","13-3009271",5,4,5,4,2
"Birthday Party","05-9702673",4,5,4,5,1
"Birthday Party","09-9453665",3,2,2,5,5
"Birthday Party","75-2868843",3,2,5,2,1
"Birthday Party","00-5451436",1,3,2,3,3
"Birthday Party","06-5066874",1,5,5,3,3
"Birthday Party","63-6925415",5,4,4,2,2
"Birthday Party","50-4281544",1,2,4,3,1
"Birthday Party","58-4712125",4,5,2,2,2
"Birthday Party","49-3917722",5,1,3,1,4
"Birthday Party","67-2143305",3,3,1,5,2
"Birthday Party","51-2555065",2,4,3,2,5
"Birthday Party","90-9792931",2,3,5,2,4
"Birthday Party","34-7422456",2,4,1,4,4
"Birthday Party","69-6222448",3,5,5,2,3
"Birthday Party","93-5724158",3,3,2,4,5
"Birthday Party","09-9807886",4,4,4,2,4
"Birthday Party","84-3264702",4,3,2,4,4
"Birthday Party","25-7346045",4,1,4,4,4
"Birthday Party","32-7448029",3,4,2,2,1
"Birthday Party","48-5957786",5,4,3,2,5
"Birthday Party","41-3606261",2,2,5,3,5
"Birthday Party","50-0531514",1,2,1,4,1
"Birthday Party","13-7893298",1,4,1,4,3
"Birthday Party","87-1139505",4,4,2,1,3
"Birthday Party","16-0624926",3,3,2,3,5
"Birthday Party","63-1159200",3,5,2,1,1
"Birthday Party","90-4951316",3,5,2,3,5
"Birthday Party","77-7172495",2,4,4,4,5
"Birthday Party","36-4495834",3,2,4,3,4
"Birthday Party","47-7819406",5,3,2,1,4
"Birthday Party","25-9715931",3,2,5,1,1
"Birthday Party","40-5689111",4,1,2,2,1
"Birthday Party","73-1976927",2,4,2,1,4
"Birthday Party","88-3302604",1,4,3,3,5
"Birthday Party","47-7880573",2,5,2,4,4
"Birthday Party","26-6602447",3,5,4,1,1
"Birthday Party","77-4289989",3,4,2,1,4
"Birthday Party","47-4576787",3,4,4,5,3
"Birthday Party","58-4584845",2,2,1,3,1
"Birthday Party","80-7839917",2,2,2,5,3
"Birthday Party","54-6255719",2,5,1,3,2
"Birthday Party","78-4383943",2,5,2,1,1
"Birthday Party","61-5445171",5,1,4,1,4
"Birthday Party","64-2819497",5,5,3,2,5
"Birthday Party","00-6823723",2,1,3,4,3
"Birthday Party","82-5247576",5,5,2,5,3
"Birthday Party","72-0076412",3,2,2,2,5
"Birthday Party","10-7551003",5,5,4,5,3
"Birthday Party","11-6866722",4,2,4,3,4
"Birthday Party","11-8232780",1,5,1,1,3
"Birthday Party","34-7914715",3,5,3,3,4
"Birthday Party","39-0739373",1,1,2,1,2
"Birthday Party","47-2856516",1,5,4,1,1
"Birthday Party","52-1926977",2,5,3,1,5
"Birthday Party","55-4479681",1,3,2,5,2
"Birthday Party","13-0868205",4,4,3,4,5
"Birthday Party","99-7818026",1,4,1,5,1
"Field Trip","97-8790530",3,2,1,5,2
"Field Trip","82-3574049",1,5,4,3,2
"Field Trip","15-1988448",2,1,1,5,1
"Field Trip","83-0041718",5,2,4,5,5
"Field Trip","45-6970982",3,2,3,4,2
"Field Trip","49-4291762",4,5,3,1,3
"Field Trip","50-6600400",5,1,2,1,5
"Field Trip","42-2570891",2,5,3,3,5
"Field Trip","63-1566868",2,2,5,4,1
"Field Trip","71-2528710",5,2,5,4,2
"Field Trip","65-2521686",2,1,1,4,5
"Field Trip","61-8820194",2,1,5,2,3
"Field Trip","99-7767932",1,1,3,1,3
"Field Trip","96-4707301",1,4,2,4,2
"Field Trip","90-6647608",3,3,5,3,3
"Field Trip","94-5115925",3,5,1,4,2
"Field Trip","34-1908936",1,1,2,5,2
"Field Trip","19-1455795",4,5,1,4,5
"Field Trip","93-2423236",4,5,4,1,3
"Field Trip","01-4524842",5,2,3,5,1
"Field Trip","74-4377042",1,4,3,1,2
"Field Trip","02-7880919",4,4,2,4,1
"Field Trip","51-3164139",2,3,2,1,4
"Field Trip","64-1371015",4,4,1,5,1
"Field Trip","18-0632715",3,5,2,1,3
"Field Trip","69-9183279",2,5,1,1,3
"Field Trip","46-0174309",5,1,5,5,2
"Field Trip","32-8686190",4,1,4,3,4
"Field Trip","66-7685081",5,1,5,1,5
"Field Trip","35-6902262",2,2,5,5,4
"Field Trip","55-2284505",4,4,5,2,1
"Field Trip","54-6694745",1,5,5,5,1
"Field Trip","06-2048512",3,2,1,2,4
"Field Trip","69-0783382",5,4,1,1,2
"Field Trip","68-2640889",5,5,3,4,4
"Field Trip","21-7811303",2,2,1,2,1
"Field Trip","41-0446094",4,5,2,5,3
"Field Trip","24-0381272",1,1,2,2,3
"Field Trip","07-4734871",1,4,5,3,3
"Field Trip","55-7822983",1,1,3,4,1
"Field Trip","54-4297823",1,4,4,1,5
"Field Trip","85-6559260",5,1,2,4,2
"Field Trip","05-1493798",5,2,4,2,5
"Field Trip","91-2382044",1,2,2,2,4
"Field Trip","80-8454852",5,3,2,4,2
"Field Trip","16-8858696",2,3,5,3,4
"Field Trip","46-2711319",1,3,1,2,5
"Field Trip","84-4863451",1,2,3,3,2
"Field Trip","88-2832465",5,2,1,2,4
"Field Trip","84-4066007",3,2,1,4,1
"Field Trip","75-5637998",2,1,3,3,1
"Field Trip","63-8342024",5,1,2,2,4
"Field Trip","37-4871441",1,3,1,5,4
"Field Trip","89-7761643",4,2,4,3,5
"Field Trip","62-3714943",3,2,2,2,3
"Field Trip","39-1490395",1,2,3,1,4
"Field Trip","22-4651392",1,2,4,1,3
"Field Trip","21-7123869",5,2,1,4,5
"Field Trip","44-3140650",3,1,1,1,1
"Field Trip","51-6271434",5,2,4,2,5
"Field Trip","65-4411696",5,1,3,4,2
"Field Trip","91-7585173",5,4,3,2,1
"Field Trip","67-2600423",4,2,4,1,4
"Field Trip","93-2523659",2,2,1,3,5
"Field Trip","95-2406088",1,3,2,5,4
"Field Trip","37-7608314",1,1,2,5,4
"Field Trip","03-0463765",2,1,5,2,2
"Field Trip","54-8570424",3,3,2,3,4
"Field Trip","32-2115802",3,1,5,2,1
"Field Trip","82-4337687",5,3,3,2,2
"Field Trip","29-8430131",4,5,4,5,2
"Field Trip","93-7493149",1,2,4,1,5
"Field Trip","93-1803985",5,2,5,5,3
"Field Trip","79-0160781",3,2,5,2,1
"Field Trip","28-6277758",3,1,3,1,1
"Field Trip","19-1109916",5,2,5,5,1
"Field Trip","40-8754587",3,4,4,4,5
"Field Trip","95-4529605",3,4,3,4,2
"Field Trip","86-0346010",2,2,3,5,4
"Field Trip","18-1832554",5,3,2,5,2
"Field Trip","12-0092010",2,3,2,5,2
"Field Trip","67-4568184",1,4,4,1,2
"Field Trip","67-5819628",4,1,1,5,3
"Field Trip","03-8348697",5,4,1,1,3
"Field Trip","23-5273778",1,4,4,2,4
"Field Trip","81-5846349",3,3,4,4,1
"Field Trip","69-5862708",5,4,3,3,4
"Field Trip","25-9546137",5,4,4,5,4
"Field Trip","08-5850358",3,2,5,3,3
"Field Trip","24-3180841",1,4,1,1,5
"Field Trip","61-7535640",2,5,3,3,5
"Field Trip","46-9698736",1,2,3,1,2
"Field Trip","43-0978201",4,1,4,4,3
"Field Trip","98-6373871",5,5,3,3,2
"Field Trip","47-8573798",2,5,1,4,1
"Field Trip","10-2647345",4,1,3,2,2
"Field Trip","00-2727927",2,4,4,1,5
"Field Trip","66-5625393",2,4,1,5,4
"Field Trip","51-2758101",5,4,4,1,5
"Field Trip","64-3240369",4,4,2,1,2
"Field Trip","14-6782553",2,3,5,2,1
"Field Trip","62-5648438",2,5,4,2,3
"Field Trip","13-6340451",1,5,5,4,2
"Field Trip","45-9974852",1,4,3,1,5
"Field Trip","25-3289546",2,5,3,2,4
"Field Trip","94-6667478",3,4,2,5,4
"Field Trip","57-8474941",3,5,4,3,4
"Field Trip","08-6499686",5,3,1,5,5
"Field Trip","88-8045401",4,4,3,5,1
"Field Trip","94-7846146",4,5,4,1,4
"Field Trip","15-1112415",5,3,2,2,4
"Field Trip","64-1276443",3,4,4,5,2
"Field Trip","45-8419965",3,2,2,5,4
"Field Trip","37-5853576",4,4,3,4,3
"Field Trip","02-7484182",3,2,4,1,3
"Field Trip","43-2959520",3,1,3,3,4
"Field Trip","13-7655103",1,2,4,4,3
"Field Trip","94-3332345",4,4,5,3,5
"Field Trip","08-2263390",5,3,4,3,1
"Field Trip","91-5395208",3,4,4,4,3
"Field Trip","16-1064242",2,1,2,3,1
"Field Trip","85-3726727",2,1,1,2,5
"Field Trip","62-8243039",1,2,2,4,1
"Field Trip","65-6446527",2,5,2,2,1
"Field Trip","59-3665905",3,3,5,3,2
"Field Trip","97-9454313",1,5,4,1,1
"Field Trip","86-3225207",1,5,4,4,2
"Field Trip","91-6339010",5,1,5,1,5
"Field Trip","41-2322291",4,4,4,1,3
"Field Trip","54-8919336",4,1,3,1,2
"Field Trip","79-0682573",5,1,5,5,2
"Field Trip","11-5059825",2,3,1,1,3
"Field Trip","57-5196623",4,1,3,1,4
"Field Trip","56-5521566",4,1,3,1,4
"Field Trip","55-5957521",3,1,4,2,3
"Field Trip","41-7752475",5,3,3,2,4
"Field Trip","72-1307408",5,5,1,3,3
"Field Trip","63-8833139",1,5,4,4,4
"Field Trip","49-3042778",5,3,3,3,1
"Field Trip","21-7724613",1,1,1,3,4
"Field Trip","81-7279099",3,5,2,2,1
"Field Trip","06-2800053",3,5,4,2,1
"Field Trip","56-4106055",3,2,4,1,3
"Field Trip","75-1065838",4,2,4,3,4
"Field Trip","07-3580346",5,3,5,1,4
"Field Trip","62-0028577",5,5,5,3,3
"Field Trip","18-7757097",1,1,1,1,2
"Field Trip","14-9489470",2,5,3,4,2
"Field Trip","16-2723798",5,3,1,1,1
"Field Trip","94-3055057",3,2,5,2,4
"Field Trip","09-9355923",2,2,3,3,2
"Field Trip","99-3261436",1,4,1,2,2
"Field Trip","37-5481924",3,4,1,1,3
"Field Trip","59-9285813",5,5,5,4,4
"Field Trip","58-0194657",4,1,2,5,5
"Field Trip","38-3737300",5,4,2,2,2
"Field Trip","87-0706408",5,1,5,4,5
"Field Trip","40-0827055",2,5,2,2,3
"Field Trip","96-4982312",4,3,2,4,2
"Field Trip","51-4508251",1,2,3,4,3
"Field Trip","48-1305300",4,3,1,1,1
"Field Trip","87-6254371",4,3,2,2,1
"Field Trip","13-9800653",1,1,4,3,5
"Field Trip","94-5258642",4,3,5,2,5
"Field Trip","68-1189707",4,2,4,1,4
"Field Trip","17-0488356",3,2,1,5,1
"Field Trip","38-4784846",4,5,1,1,3
"Field Trip","53-3747471",3,4,4,1,2
"Field Trip","59-8415373",3,4,1,2,4
"Field Trip","00-0331239",4,2,4,4,2
"Field Trip","54-6139952",4,1,4,2,1
"Field Trip","04-9730611",3,5,3,3,1
"Field Trip","98-0253784",3,3,2,3,2
"Field Trip","69-1124774",3,3,2,3,3
"Field Trip","44-1500510",1,5,3,3,5
"Field Trip","07-4563671",5,3,4,4,4
"Field Trip","41-3916214",2,1,5,4,2
"Field Trip","93-2994086",4,5,5,3,2
"Field Trip","76-6471830",3,5,4,3,5
"Field Trip","38-2531360",1,3,2,2,4
"Field Trip","23-6304578",2,2,3,4,4
"Field Trip","61-4069815",3,3,4,2,4
"Field Trip","32-5364512",3,2,4,5,1
"Field Trip","99-1747150",3,2,5,3,5
"Field Trip","79-7664397",3,4,3,4,4
"Field Trip","09-7876487",1,5,4,4,1
"Field Trip","18-7953324",3,1,2,5,5
"Field Trip","46-7615419",4,5,5,3,3
"Field Trip","72-8953290",3,3,4,2,5
"Field Trip","64-1893350",4,4,1,4,1
"Field Trip","49-0753904",2,5,4,5,5
"Field Trip","43-7051876",3,5,4,5,5
"Field Trip","79-7435914",1,1,2,2,3
"Field Trip","12-3558071",2,3,1,1,4
"Field Trip","82-9732039",3,5,1,3,5
"Field Trip","92-0149211",2,5,1,3,2
"Field Trip","98-2222649",1,1,5,3,5
"Field Trip","40-0749158",1,2,3,2,1
"Field Trip","24-5679993",1,1,5,5,4
"Field Trip","91-8739271",4,4,5,2,1
"Field Trip","44-4037638",2,3,4,3,1
"Field Trip","41-6808506",2,5,2,1,1
"Field Trip","24-6088656",1,3,3,3,5
"Field Trip","50-6964709",3,4,5,3,1
"Field Trip","59-1174164",4,2,3,3,1
"Field Trip","63-4511598",5,2,1,1,5
"Field Trip","63-3610117",4,5,1,5,3
"Field Trip","36-0563960",2,2,4,2,5
"Field Trip","86-8257124",3,5,2,4,5
"Field Trip","35-0468616",5,3,4,2,2
"Field Trip","30-6613969",5,1,3,2,3
"Field Trip","83-3201130",3,2,2,2,1
"Field Trip","52-7231115",1,5,5,3,5
"Field Trip","53-8500170",1,3,5,4,5
"Field Trip","21-9639499",4,3,1,5,4
"Field Trip","07-5805489",4,1,5,2,4
"Field Trip","89-2049663",2,2,1,5,4
"Field Trip","73-1856506",3,2,4,1,4
"Field Trip","41-1929787",2,2,1,4,4
"Field Trip","92-2934560",5,5,1,3,2
"Field Trip","10-5499283",5,2,1,2,2
"Field Trip","84-8330497",1,2,1,4,5
"Field Trip","41-6535651",4,2,5,4,5
"Field Trip","24-3784607",4,1,4,4,5
"Field Trip","41-7276316",5,3,2,1,3
"Field Trip","12-2228597",2,3,3,4,4
"Field Trip","85-2402435",5,1,4,5,1
"Field Trip","27-3646482",3,5,4,4,1
"Field Trip","97-3376830",4,5,1,3,3
"Field Trip","44-7823619",2,1,3,3,2
"Field Trip","93-4464548",2,1,5,1,1
"Field Trip","51-5818309",4,1,2,3,2
"Field Trip","34-6939377",4,3,3,4,1
"Field Trip","35-3577844",5,1,2,2,2
"Field Trip","16-1151133",2,4,2,3,1
"Field Trip","37-1058310",2,2,5,2,5
"Field Trip","76-4344983",5,1,3,2,1
"Field Trip","22-6125986",1,3,2,4,4
"Field Trip","66-5464221",1,5,3,3,1
"Field Trip","42-6036978",3,4,5,5,4
"Field Trip","73-5046101",2,2,4,1,1
"Field Trip","96-2015777",3,1,2,5,1
"Field Trip","64-5125676",5,4,2,2,2
"Field Trip","83-9265384",1,2,2,4,4
"Field Trip","42-2376712",4,2,1,5,3
"Field Trip","96-4786178",2,1,5,5,1
"Field Trip","81-6919645",1,3,1,4,5
"Field Trip","22-4814656",3,5,3,2,5
"Field Trip","63-0417480",2,3,1,1,1
"Field Trip","01-3628302",4,1,5,2,2
"Field Trip","48-5740257",5,2,1,2,4
"Field Trip","76-9803382",5,5,2,2,3
"Field Trip","64-9004119",4,5,4,1,2
"Field Trip","77-3480698",2,4,1,4,4
"Field Trip","04-4135752",5,1,3,3,3
"Field Trip","69-2377692",5,4,3,5,5
"Field Trip","02-9526749",2,3,1,2,3
"Field Trip","35-4873493",5,5,4,1,4
"Field Trip","33-4423645",1,2,1,5,2
"Field Trip","92-3233765",1,4,5,2,1
"Field Trip","85-3034170",1,5,5,5,1
"Field Trip","85-4468291",3,5,3,4,2
"Field Trip","29-4037726",4,1,5,1,4
"Field Trip","35-6833916",2,5,5,5,5
"Field Trip","95-3931343",1,5,5,1,2
"Field Trip","55-5153744",4,1,5,2,1
"Field Trip","96-9187792",5,4,5,3,5
"Field Trip","39-7020857",2,3,1,3,2
"Field Trip","00-4031290",2,4,5,5,5
"Field Trip","85-8719388",5,4,1,4,5
"Field Trip","50-3333443",5,2,4,3,3
"Field Trip","71-1542488",1,3,4,1,4
"Field Trip","07-0024876",3,3,2,3,1
"Field Trip","33-0412198",3,5,2,4,4
"Field Trip","25-3300011",4,1,4,2,5
"Field Trip","45-9313469",2,4,1,4,2
"Field Trip","64-9227280",2,1,5,5,3
"Field Trip","02-6173148",4,1,3,4,4
"Field Trip","63-3677401",1,2,5,5,4
