"City","STREET","Restaurant","INSPECTION_DATE","GRADE","June","Oct","Yearly_Sales","Apr","Feb","Dec","May","ZIPCODE","Aug","Food_Cost_Per_Month","Nov","Jan","CAMIS","July","Mar","Sep"
"BROOKLYN","HARWAY AVENUE","SUBWAY","2018/01/11",,913918.81,746603.66,8018109.55,487747.58,676963.17,734685.17,648994.93,11214,656002.31,22166.73,585376.91,836954.34,41448909,227996.01,505262.14,997604.52
"BROOKLYN","HARWAY AVENUE","SUBWAY","2018/01/11","A",570449.63,258046.56,6393486.43,607501.3,634276.68,565780.18,468866.83,11214,331024.58,28349.86,980911.93,972626.67,41448909,231414.55,512916.64,259670.88
"BROOKLYN","HARWAY AVENUE","SUBWAY","2018/01/11","A",261782.24,513296.35,5953585.83,544306.07,307122.68,291033.57,830318.28,11214,702794.82,28102.36,632402.53,261687.85,41448909,525896.72,736665.72,346279
"BROOKLYN","HARWAY AVENUE","SUBWAY","2018/01/11","A",487118.1,710476.75,5994960.59,834614.86,465384,207153.32,248099.09,11214,264440.39,24076.65,542221.73,596744.21,41448909,332195.98,965139.78,341372.38
"MANHATTAN","E BROADWAY","SUBWAY","2019/01/11","A",566015.62,428745.27,7206048.45,626422.39,696286.02,506139.14,435959.6,10002,881550.32,18285.49,354366.89,848714.35,50019273,799693.51,327718.62,734436.72
"BRONX","BRUCKNER BOULEVARD","SUBWAY","2019/01/11","A",674762.52,538716.42,7014646.06,755210.77,484258.45,255264.87,327898.72,10461,379081.16,22010.25,868270.04,559159.62,41627341,962267.99,255724.7,954030.8
"BRONX","BRUCKNER BOULEVARD","SUBWAY","2019/01/11","A",942663.38,790093.26,9038312.93,758667.37,780647.08,633771.77,977512.27,10461,607666.47,29956.46,453736.93,850041.51,41627341,861120.6,797015.66,585376.63
"MANHATTAN","E BROADWAY","SUBWAY","2019/01/11","A",390638.76,582317.65,7505359.28,233575.85,771161.25,985373.06,841266.34,10002,654535.56,19713.89,852234.91,876786.34,50019273,631034.06,298913.75,387521.75
"MANHATTAN","E 8TH ST","SUBWAY","2016/01/12","A",520921.2,681557.22,7840995.15,992611.48,565129.79,590177.22,510227.46,10003,637758.45,29038.22,771175.26,397071.05,50018025,659711.39,993055.64,521598.99
"STATEN ISLAND","AMBOY RD","SUBWAY","2016/01/12","A",759029.7,396368.28,7379353.26,823994.39,644771.56,545555.63,638596.37,10309,931901.51,16451.2,325898.9,583140.67,50013240,328450.78,716233,685412.47
"MANHATTAN","10TH AVE","SUBWAY","2016/01/12","A",799628.63,441504.02,5853309.8,288812.71,319426.56,607695.97,559790.96,10001,575958.66,21435.97,209117.88,268210.93,50017750,437194.67,556336,789632.81
"MANHATTAN","E 8TH ST","SUBWAY","2016/01/12","A",759790.26,524987.69,7698874.51,936954.8,653193.74,638780.69,645786.24,10003,440348.65,24551.46,724624.92,886881.22,50018025,291390.78,237540.55,958594.97
"MANHATTAN","WEST   46 STREET","SUBWAY","2017/01/12","A",677505.43,427175.93,8184519.89,855544.76,691831.86,728340.89,494066.51,10036,627822.65,17904.78,823649.15,650116.97,41577558,629034.9,594309.61,985121.23
"MANHATTAN","WEST   46 STREET","SUBWAY","2017/01/12","A",795266.83,364612.55,8421528,894442.83,972712.39,340643.41,861640.54,10036,949382.51,15312.27,421885.63,423787.6,41577558,741039.99,868143.1,787970.62
"MANHATTAN","1 AVENUE","SUBWAY","2018/01/12","A",288010.91,495880.59,7050787.14,330590.87,939620.28,560995.53,630259.19,10065,746817.37,27795.3,203754.13,748112.42,41272814,740791.41,872493.79,493460.65
"MANHATTAN","1 AVENUE","SUBWAY","2018/01/12",,994492.86,782992.64,7929125.62,986693.2,506940.86,388455.68,877115.63,10065,818090.1,23906.94,706363.65,273943.75,41272814,610454.2,214648.79,768934.26
"MANHATTAN","1 AVENUE","SUBWAY","2018/01/12","A",893622.99,441082.9,8817823.95,934548.68,943665.98,292548.45,951519.57,10065,361409.8,15464.47,769572.63,389910.66,41272814,957279.21,888502.68,994160.4
"QUEENS","91ST PL","SUBWAY","2018/01/12","A",851392.81,677057.54,8184651.57,356523.31,855288.42,871351,938807.1,11373,844122.47,17580.97,937764.57,204294.63,50010018,495108.43,846554.89,306386.4
"QUEENS","NORTHERN BLVD","SUBWAY","2016/01/13","A",914129.16,402178.25,6429414.02,931938.93,934641.15,375925,262108.53,11372,351441.09,22321.36,454309.27,244727.06,50013975,209093.26,811516.87,537405.45
"QUEENS","NORTHERN BLVD","SUBWAY","2016/01/13","A",294523.68,732420.25,7388780.4,725764.96,646826.18,409109.11,942967.9,11372,238490.68,22368.93,511485.04,637308.36,50013975,468460.8,958486.38,822937.06
"QUEENS","71 AVENUE","SUBWAY","2016/01/13","A",448097.11,784205.16,7174334.03,644190.73,484700.93,393752.64,792149.04,11375,699737.84,19347.82,354415.91,979774.29,41638524,351080.24,797639.19,444590.95
"QUEENS","71 AVENUE","SUBWAY","2016/01/13","A",550504.77,304238.19,7995799.63,947150.04,819538.36,485601.05,887743.35,11375,837274.16,22664.89,681702.99,286557.27,41638524,946133.76,858134.52,391221.17
"BRONX","EAST  167 STREET","SUBWAY","2016/01/13",,810977.61,460673.73,7362597.33,596550.71,982188.75,377384.39,291738.05,10452,515292.99,17812.35,686337.85,793783.4,41291758,502275.41,996262.05,349132.39
"QUEENS","FRESH POND ROAD","SUBWAY","2016/01/14",,592788.79,807224.85,8029149.76,751177.16,405586.39,386866.06,752635.62,11385,726343.59,21925.14,973125,491033.89,41400202,823814.86,755350.17,563203.38
"QUEENS","N CONDUIT AVE","SUBWAY","2016/01/15","A",310793.07,998242.68,6254228.57,295978.21,728439.05,434671.67,592399.37,11413,382438.27,15978.6,307861.42,251437.19,50009801,545643.42,770133.19,636191.03
"QUEENS","N CONDUIT AVE","SUBWAY","2016/01/15","A",396658.49,211989.54,5971903.98,876943.6,286729.93,496896.91,749948.2,11413,355476.86,27138.17,854156.84,416306.07,50009801,277926.78,393933.98,654936.78
"MANHATTAN","CHAMBERS STREET","SUBWAY","2016/01/15",,861290.45,240642.84,6410750.44,248216.07,826155.98,557116.48,404267.92,10007,538571.7,22203.73,347675.49,356536.79,41463547,521226.19,603256.67,905793.86
"MANHATTAN","CHAMBERS STREET","SUBWAY","2016/01/15","A",512797.17,519311.68,6917808.06,877500.01,646073.24,657014.09,379834.79,10007,300932.6,16779.84,616261.98,634934.67,41463547,472162.62,934646.45,366338.76
"QUEENS","91ST PL","SUBWAY","2019/01/15",,309474.79,592806.24,7116567.37,758757.69,988830.46,753093.29,739640.53,11373,309431.66,17339.44,962979.34,266267.72,50010018,502847.06,585377.84,347060.75
"QUEENS","91ST PL","SUBWAY","2019/01/15",,783323.44,707301.57,7170114.71,227989.94,658045.64,973411.95,320357.72,11373,875733.08,18546.98,320808.86,424967.28,50010018,781952.41,528553.78,567669.04
"QUEENS","91ST PL","SUBWAY","2019/01/15",,754270.34,420642.64,8061319.27,989461.53,309606.82,709251.22,920746.2,11373,780315.66,19438.29,389406.17,625805.01,50010018,721504.6,713905.37,726403.71
"QUEENS","91ST PL","SUBWAY","2019/01/15",,415963.42,991198.42,7508578.28,700905.94,360872.99,760277.16,511502.19,11373,777415.83,24942.49,748550.08,488824.24,50010018,867325.37,573917.83,311824.81
"BROOKLYN","5TH AVE","SUBWAY SANDWICHES","2018/01/16","B",966862.03,338386.39,5427599.54,346291.75,448841.72,243396.89,793106.9,11232,225512.61,27829.16,353149.3,570251.63,50045276,598233.05,308535.22,235032.05
"MANHATTAN","DYCKMAN ST","SUBWAY","2018/01/16","A",299073.99,877374.85,6472373.65,203895.45,309999.96,344828.34,522882.82,10040,454061.78,21596.01,773492.33,652290.03,50056992,776238.53,632844.88,625390.69
"MANHATTAN","DYCKMAN ST","SUBWAY","2018/01/16","A",526026.24,419879.23,7378241.55,906368.97,323280.62,686347.38,430517.7,10040,813395.52,18523.93,376115.06,885949.44,50056992,202616.22,923952.92,883792.25
"BROOKLYN","5TH AVE","SUBWAY SANDWICHES","2018/01/16","B",832411.61,816738.34,7533599.55,785106.62,328637.84,738974.4,642605.66,11232,592750.15,24878.4,460924.97,729142.6,50045276,451738.26,313971.55,840597.55
"MANHATTAN","MALCOLM X BOULEVARD","SUBWAY","2018/01/16","B",485425.52,202354.63,7451025.69,590220.9,723812.47,650781.12,455733.38,10027,717582.77,25540.74,953987.6,595884.02,41718356,748933.85,892089.15,434220.28
"MANHATTAN","MALCOLM X BOULEVARD","SUBWAY","2018/01/16","B",680102.15,301437.33,6668832.08,231284,893764.74,844128.66,876312.99,10027,669712.21,17554.99,595714,262563.21,41718356,696793.24,292007.99,325011.56
"MANHATTAN","MALCOLM X BOULEVARD","SUBWAY","2018/01/16","B",599164.62,458394.67,7127673.11,581141.52,482977.08,991016.11,535997.64,10027,553389.99,27095.7,530655.32,631585.02,41718356,644726.03,365398.47,753226.64
"MANHATTAN","7 AVENUE","SUBWAY","2018/01/16","A",968568.31,944015.72,7197309.11,514749.78,747522.58,223875.89,630037.65,10011,290483.83,21037.84,452656,435491.95,41337205,558824.62,843904.58,587178.2
"MANHATTAN","DYCKMAN ST","SUBWAY","2018/01/16","A",810150.9,740457.89,8727916.29,628976.87,843950.31,751531.14,903931.85,10040,899929.97,28346.49,575550.91,850401.4,50056992,274496.83,752392.85,696145.37
"QUEENS","QUEENS BOULEVARD","SUBWAY","2018/01/16","A",911701.89,737391.06,7855392.03,928917.5,326726.35,362607.98,749946.1,11375,338299.36,26056.32,627376.61,982722.56,41716658,486920.35,974919.35,427862.92
"QUEENS","QUEENS BOULEVARD","SUBWAY","2018/01/16","A",286935.11,861713.04,6803070.37,513396.82,320079.35,494395.57,845409.99,11375,753590.88,17301.3,744665.74,339531.93,41716658,470651.82,901649.58,271050.54
"MANHATTAN","PARK AVENUE SOUTH","SUBWAY","2019/01/16","A",504880.52,550471.13,7247995.77,881527.3,988485.32,447059.29,966557,10016,445444.12,20324.83,262487.97,243215.56,41468186,372004.85,975161.92,610700.79
"MANHATTAN","AVENUE B","SUBWAY","2019/01/16","A",907629.93,709444.26,8048950.3,559168.21,996821.89,234329.8,876436.44,10009,258962.89,26163.26,339652.4,666309.8,41594932,862402.85,806357.54,831434.29
"MANHATTAN","PARK AVENUE SOUTH","SUBWAY","2019/01/16","A",742220.4,281096.75,7318310.77,205603.71,396395.11,730239.69,694300.58,10016,379584.27,29381.78,910144.46,897740.95,41468186,867938.34,833327.92,379718.59
"MANHATTAN","AVENUE B","SUBWAY","2019/01/16","A",587996.48,271522.65,7450982.29,709890.3,734022.1,535367.94,390705.44,10009,794250.89,24449.84,229273.67,901692.23,41594932,933106.93,467686.12,895467.54
"MANHATTAN","PARK AVENUE SOUTH","SUBWAY","2019/01/16","A",474994.83,846984.41,8002092.14,215901.81,449689.35,764614.98,644506.19,10016,436643.19,26939.85,976532.34,540331.49,41468186,947916.42,903229.76,800747.37
"MANHATTAN","AVENUE B","SUBWAY","2019/01/16","A",375980.44,571885.88,7818804.91,699635.31,941731.59,957121.64,630995.74,10009,600529.12,26472.36,762359.56,308104.91,41594932,483402.68,925573.52,561484.52
"BROOKLYN","FULTON STREET","SUBWAY","2017/01/17","A",796435.01,336603.9,6620744.61,824652.08,310476.14,659136.39,320972.09,11216,306618.24,19713.07,368102.71,621187.81,50015531,534212.52,566463.25,975884.47
"BROOKLYN","FULTON STREET","SUBWAY","2017/01/17","A",621244.31,579396.05,8308571.01,219718.7,882456.26,504637.85,971931.89,11216,927484.65,26513.66,935170.56,680617.2,50015531,609374.11,910617.48,465921.95
"STATEN ISLAND","RICHMOND AVENUE","SUBWAY","2018/01/17",,787173.72,623949.1,7547472.06,480809.92,912903.48,779047.16,513623.23,10314,637898.08,22470.28,227586.14,986393.42,41417857,701281.14,516987.39,379819.28
"QUEENS","N CONDUIT AVE","SUBWAY","2018/01/17","A",503735.4,553649.72,6556090.06,484784.24,615146.29,601968.17,402904.45,11413,499299.22,24907.26,823868.25,303622.36,50009801,721491.85,641356.46,404263.65
"QUEENS","ROOSEVELT AVE","SUBWAY","2018/01/17","A",740628.74,752977.6,7803321.21,668188.24,687139.67,605125.03,411046.26,11377,804821.52,29542.53,848987.02,335515.17,50019282,879955.13,705443.85,363492.98
"STATEN ISLAND","RICHMOND AVENUE","SUBWAY","2018/01/17",,404238.65,746484.9,6195214.9,318902.23,805542.3,556818.78,359312.52,10314,295615.38,15861.15,586444.79,323099.1,41417857,694968.98,566097.32,537689.95
"QUEENS","ROOSEVELT AVE","SUBWAY","2018/01/17","A",209012.56,522978.12,5832736.68,578624.53,572211.38,295018.59,375084.65,11377,459743.46,21081.13,626140.47,204461.46,50019282,860401.64,484989.19,644070.63
"BRONX","JEROME AVE","SUBWAY","2018/01/17","A",463433.62,261441.96,7914173.81,760063.75,944361.73,844399.78,850079.3,10468,610457.26,21565.55,821868.66,428694.36,50045773,614277.19,719311.08,595785.12
"BRONX","JEROME AVE","SUBWAY","2018/01/17","A",239692.02,711222.91,7420372.87,618027.73,520129.5,202783.23,780414.79,10468,900963.18,19356.42,323750.95,638355.42,50045773,903920.53,697117.04,883995.57
"STATEN ISLAND","RICHMOND AVENUE","SUBWAY","2018/01/17",,496627.72,451411.88,7530124.45,697537.19,982541.38,559207.57,278787.49,10314,733632.38,22824.62,659489.07,879785.35,41417857,801908.77,650804.01,338391.64
"BRONX","JEROME AVE","SUBWAY","2018/01/17","A",635114.59,283542.51,7041817.86,839741.63,567890.95,948675.64,570723.75,10468,466250.6,26169.34,766522.08,455375.46,50045773,685350.33,602518.81,220111.51
"STATEN ISLAND","RICHMOND AVENUE","SUBWAY","2018/01/17",,628291.5,401633.66,7542021.4,306743.31,319953.31,564944.4,525268.86,10314,622468.71,24421.81,855766.45,599661.86,41417857,950600.31,874892.6,891796.43
"BROOKLYN","FORT HAMILTON PKWY","SUBWAY","2017/01/18","A",623874.88,477612.08,7828850.57,958904.15,571549.64,742884.02,854511.24,11219,241266.17,23362.54,463277,923391.46,50039808,720149.85,780227.48,471202.6
"BROOKLYN","FORT HAMILTON PKWY","SUBWAY","2017/01/18","A",314114.63,664822.19,6820770.43,568180.72,938078.97,670660.66,787545.03,11219,448420.28,24772,815330.55,457102.6,50039808,332514.41,567652.57,256347.82
"QUEENS","JAMAICA AVENUE","SUBWAY","2018/01/18","B",258584.99,608011,8200637.99,735262.77,653334.21,332681.98,950454.14,11435,700509.4,23189.87,799341.76,951315.25,40881793,535521.57,983268.09,692352.83
"QUEENS","JAMAICA AVENUE","SUBWAY","2018/01/18","A",781784.72,715725.69,7374489.72,603329.22,557164.26,753030.95,396322.21,11428,584255.25,29365.05,575659.45,424016.19,40888264,739814.61,292018.79,951368.38
"QUEENS","JAMAICA AVENUE","SUBWAY","2018/01/18","B",556011.67,728828.57,6569308.77,798351.55,374222.01,375978.43,246399.19,11435,385029.9,22022.21,637340.66,712796.66,40881793,808487.76,203120.75,742741.62
"QUEENS","JAMAICA AVENUE","SUBWAY","2018/01/18","B",280501.21,244486.28,7079232.09,794084.93,908301.77,830977.72,221139.31,11435,616860.35,18191.63,338946,891692.66,40881793,439895.07,944303.59,568043.2
"QUEENS","JAMAICA AVENUE","SUBWAY","2018/01/18","B",923958.94,265022.45,6670040.73,919694.2,868098.47,351111.51,536056.94,11435,372852.67,26059.79,442729.64,649901.59,40881793,435489.91,386836.08,518288.33
"BROOKLYN","FLATLANDS AVENUE","SUBWAY","2017/01/19","A",369524.8,866332.92,7208380.29,790025.13,308307.64,863544.44,993842.82,11207,348233.56,23120.66,721641.88,974746.69,50000818,473594.47,256238.32,242347.62
"BROOKLYN","FLATLANDS AVENUE","SUBWAY","2017/01/19","A",870249.49,530089.45,6929160.72,617788.53,640113.4,380228.79,262651.63,11207,251970.07,19200.54,555824.45,408377.86,50000818,716255.25,722519.88,973091.92
"STATEN ISLAND","RICHMOND AVENUE","SUBWAY","2017/01/19","A",890729.39,440953.21,8798866.34,760347.25,991788.85,553712.08,665701.76,10314,835311.08,18971.45,707754.82,647905.71,41248571,925534.2,680641.67,698486.32
"MANHATTAN","BROADWAY","SUBWAY","2018/01/19","A",376837.73,672165.76,6413155.15,741887.06,747778.96,218864.48,400436.12,10032,542337.41,24360.77,545619.8,776990.87,41679966,588627.56,465201.98,336407.42
"MANHATTAN","CENTRAL PARK NORTH","SUBWAY","2018/01/19","A",256752.42,547039.87,6316255.51,952294.61,330232.27,303379.4,964107.35,10026,321374.09,29175.96,663295.59,656147.76,41694676,489560.56,222732.45,609339.14
"MANHATTAN","BROADWAY","SUBWAY","2018/01/19","A",233794.95,676969.93,6046011.83,723991.17,934167.5,489385.72,800059.33,10032,316342.04,15426,425847.16,408834.28,41679966,544633.73,268073.11,223912.91
"QUEENS","HILLSIDE AVE","SUBWAY","2018/01/19","A",412075.42,930208.67,8384966.54,500159.95,914236.81,734519.08,748092.42,11432,507749.96,16520.08,933632.68,831639.22,50057216,414120.84,841311.06,617220.43
"BROOKLYN","WYCKOFF AVE","SUBWAY","2018/01/19","A",514080.55,206315.97,7146808.39,911291.5,572245.67,727471.66,625403.39,11237,579409.59,23666.26,302382.68,948665.24,50050498,400612.72,949733.3,409196.12
"MANHATTAN","CENTRAL PARK NORTH","SUBWAY","2018/01/19","A",507253.83,259851.35,8214933.33,539473.26,932989.93,659542.28,911176.85,10026,858441.52,29015.2,494423.24,664185.89,41694676,778142.58,676860.71,932591.89
"QUEENS","JAMAICA AVENUE","SUBWAY","2018/01/19","A",881911.22,228259.49,7442152.23,432138.03,474038.22,541298.18,698629.07,11432,800196.74,29552.22,898361.69,780248.85,41455231,238107.71,907993.39,560969.64
"MANHATTAN","CENTRAL PARK NORTH","SUBWAY","2018/01/19","A",993195.65,538890.55,7220990.46,597648.04,412645.53,435166.64,693348.81,10026,865194.64,29170.67,559078.76,516972.8,41694676,636995.78,270515.77,701337.49
"BROOKLYN","WYCKOFF AVE","SUBWAY","2018/01/19","A",518730.85,958436.52,8136954.98,742120.04,774112.93,827230.92,927022.99,11237,251778.47,22762.13,565631.31,500221.55,50050498,770842.46,739388.87,561438.07
"BROOKLYN","JAY STREET","SUBWAY","2018/01/19","A",912939.76,613720.87,8529054.71,923298.93,814834.46,632500.79,706673.8,11201,383338.37,24583.55,567814.28,777637,41381258,297395.05,957879.5,941021.9
"BROOKLYN","JAY STREET","SUBWAY","2018/01/19","A",662877.25,961535.43,8260557.37,290303.65,895684.28,540704.98,847921.98,11201,871781.81,27795.57,360002.64,977813.47,41381258,430032.7,433449.1,988450.08
"STATEN ISLAND","HYLAN BOULEVARD","SUBWAY","2019/01/02",,591591.6,451601.06,7166083.45,513648.81,915285.86,997914.51,421567.51,10305,706778.81,28739.88,554058.35,288360.04,41028460,497869.22,375326.53,852081.15
"QUEENS","QUEENS BOULEVARD","SUBWAY","2019/01/02","A",933480.09,621640.75,7311530.61,861616,865816.63,643161.62,689999.71,11375,547280.83,23396.43,439146.35,365583.38,41716658,493547.21,419234.42,431023.62
"BRONX","JEROME AVE","SUBWAY","2019/01/02","Z",517950.62,571327.92,7938447.17,529049.37,931116,887401.89,786115.38,10467,669425.88,17539.48,214501.38,669547.2,50057220,801926.59,967085.64,392999.3
