"Date","Emissions_Scope_Category","Emission_Activity_Category","Target_Renewable_Energy_Percentage","Total_Floor_Area_sqft","Target_Compensated_Emissions_tCO2e","Forecasted_Renewable_Energy_Cons","Forecasted_Emissions_Intensity_Reduc","Forecasted_Emissions_tCO2e","Actual_Renewable_Energy_Cons","Net_Emissions_Forecast_tCO2e","Headcount","Planned_Supplier_Emissions_Reduction","Required_Carbon_Credits_tCO2e","Actual_Emissions_Intensity","Planned_Carbon_Credits_tCO2e","Revenue","Planned_Operational_Emissions_Reduction","Final_Forecasted_Emissions_tCO2e","Actual_Emissions_tCO2e","Target_Emissions_tCo2e"
"2037-08-02","Scope 3","Private Jet",15,100000,,200000,0,100000,,0,150,150000,200000,,150000,200,0,0,,
"2033-12-21","Scope 2","Data Center",,50000,0,100000,50,150000,,250000,200,250000,150000,10,50000,200,150000,200000,,200000
"2024-05-31","Scope 2","Fleet Vehicles",10,150000,100000,200000,20,250000,,150000,50,50000,100000,20,250000,150,,250000,,100000
"2038-03-30","Scope 1","Private Jet",0,200000,250000,50000,30,100000,,50000,350,100000,,0,250000,250,200000,0,,100000
"2020-03-15","Scope 3","Scope 3 Use of Sold Products",30,100000,200000,250000,,,0,,250,,,25,,250,250000,100000,250000,
"2025-04-15","Scope 1","Data Center",20,250000,250000,150000,50,200000,,200000,250,50000,200000,25,150000,150,100000,50000,,150000
"2039-09-24","Scope 3","Data Center",0,100000,150000,0,10,0,,,150,150000,250000,0,0,200,0,150000,,
"2035-01-23","Scope 2","Private Jet",,150000,0,,20,50000,,50000,100,,100000,,100000,200,200000,,,0
"2024-08-09","Scope 1","Commercial Building",30,50000,,,0,,,100000,300,250000,50000,10,50000,150,,200000,,200000
"2028-05-11","Scope 2","Fleet Vehicles",15,200000,50000,150000,,250000,,0,200,200000,0,30,200000,150,150000,250000,,50000
"2023-07-01","Scope 3","Scope 3 Downstream Transportation Distribution",10,250000,100000,250000,40,150000,,150000,350,0,150000,20,,150,50000,,,250000
"2021-01-29","Scope 1","Commercial Building",10,100000,200000,50000,,,20,250000,50,,,15,,150,250000,250000,0,
"2030-05-14","Scope 3","Scope 3 Fuel and Energy-Related Activity",0,250000,200000,100000,30,250000,,250000,250,,100000,20,100000,200,150000,50000,,50000
"2022-06-03","Scope 2","Private Jet",30,200000,,0,0,50000,90,150000,50,50000,0,10,0,200,250000,100000,150000,200000
"2032-12-01","Scope 1","Data Center",15,50000,50000,200000,20,100000,,,200,250000,150000,15,,200,100000,150000,,0
"2039-02-09","Scope 3","Scope 3 Upstream Transportation Distribution",,150000,250000,100000,,0,,100000,300,0,200000,0,200000,250,50000,200000,,
"2040-08-19","Scope 2","Fleet Vehicles",20,150000,100000,,10,150000,,0,350,100000,,,50000,250,,0,,150000
"2033-02-04","Scope 3","Scope 3 End-Life Treatment of Sold Product",20,250000,0,0,40,,,200000,150,200000,50000,30,150000,200,0,50000,,250000
"2025-09-06","Scope 2","Commercial Building",10,150000,150000,100000,50,200000,,50000,100,150000,250000,25,250000,150,200000,150000,,100000
"2031-04-15","Scope 1","Private Jet",,200000,0,150000,0,,,250000,100,0,250000,30,,150,250000,200000,,100000
"2026-10-12","Scope 3","Scope 3 Employee Commuting",0,100000,100000,50000,50,200000,,50000,350,,,20,250000,150,,0,,250000
"2020-08-03","Scope 2","Data Center",30,50000,250000,200000,,,,200000,300,,,0,,300,200000,250000,100000,
"2038-12-25","Scope 1","Fleet Vehicles",15,100000,,250000,30,150000,,100000,150,50000,0,15,150000,200,150000,50000,,50000
"2037-03-28","Scope 3","Commercial Building",20,200000,50000,,20,100000,,0,50,100000,200000,25,0,200,50000,100000,,
"2027-04-16","Scope 2","Private Jet",15,250000,200000,100000,10,0,,,200,150000,150000,,100000,150,0,,,0
"2019-07-03","Scope 1","Commercial Building",0,50000,150000,200000,,,70,150000,250,,,10,,100,100000,150000,,
"2036-02-25","Scope 3","Scope 3 Upstream Leased Assets",,150000,200000,250000,,250000,,250000,50,250000,100000,20,50000,200,200000,,,150000
"2029-07-04","Scope 1","Data Center",10,250000,50000,0,40,50000,,0,300,200000,50000,15,200000,150,250000,200000,,200000
"2034-08-05","Scope 2","Fleet Vehicles",30,100000,100000,150000,0,250000,,100000,150,200000,0,10,0,200,100000,150000,,100000
"2040-06-17","Scope 3","Scope 3 Uncategorized Emissions",15,150000,,50000,30,0,,,100,,150000,25,50000,250,50000,50000,,200000
"2020-08-21","Scope 1","Commercial Building",,200000,250000,100000,,,30,200000,350,,,0,,300,,250000,50000,
"2019-12-20","Scope 2","Fleet Vehicles",10,50000,0,,,,50,150000,250,,,,,350,0,100000,200000,
"2025-01-12","Scope 2","Data Center",0,100000,150000,50000,20,50000,,50000,200,0,250000,30,,150,150000,0,,150000
"2026-06-10","Scope 1","Private Jet",20,200000,,200000,10,150000,,,150,50000,,20,150000,150,,50000,,0
"2036-08-21","Scope 3","Scope 3 Purchased Goods Services",30,50000,50000,150000,40,200000,,250000,250,100000,200000,30,200000,200,150000,100000,,50000
"2031-05-25","Scope 2","Data Center",0,250000,100000,250000,50,100000,,0,50,250000,50000,25,250000,200,0,,,
"2035-08-29","Scope 1","Fleet Vehicles",10,150000,150000,0,,,,100000,350,150000,100000,0,100000,200,50000,150000,,250000
"2030-05-04","Scope 3","Scope 3 Processing Sold Products",20,250000,0,50000,30,100000,,150000,200,100000,,15,200000,150,200000,250000,,150000
"2039-07-23","Scope 1","Private Jet",30,50000,200000,250000,0,50000,,50000,300,200000,0,10,100000,200,100000,200000,,0
"2021-04-12","Scope 3","Scope 3 Employee Commuting",15,100000,250000,100000,,,90,200000,100,,,,,100,250000,0,0,
"2029-04-21","Scope 2","Commercial Building",,200000,100000,150000,20,150000,,,250,250000,100000,20,0,200,250000,100000,,250000
"2023-05-05","Scope 3","Scope 3 Waste Generated in Operations",10,200000,,150000,40,200000,,0,150,0,250000,10,,150,,150000,,
"2034-10-28","Scope 1","Data Center",0,150000,50000,200000,50,0,,50000,200,,50000,25,50000,200,0,,,50000
"2024-03-10","Scope 2","Commercial Building",30,150000,0,100000,,250000,,250000,100,50000,150000,,150000,150,150000,150000,,100000
"2038-12-09","Scope 3","Scope 3 Franchising",,100000,250000,,10,,,200000,350,150000,200000,30,250000,250,200000,200000,,200000
"2032-09-27","Scope 1","Private Jet",20,200000,200000,0,0,150000,,150000,50,50000,250000,0,0,150,50000,100000,,100000
"2028-11-23","Scope 2","Fleet Vehicles",15,50000,150000,150000,10,100000,,100000,300,150000,200000,15,50000,200,100000,250000,,200000
"2037-03-22","Scope 3","Fleet Vehicles",,150000,0,0,20,0,,50000,150,200000,,10,250000,200,100000,150000,,250000
"2022-01-08","Scope 1","Data Center",15,250000,50000,200000,30,200000,0,0,50,0,0,,150000,150,250000,50000,100000,150000
"2033-01-18","Scope 2","Private Jet",10,50000,200000,250000,50,50000,,250000,300,,50000,25,200000,200,,0,,
"2027-11-25","Scope 1","Commercial Building",0,200000,100000,50000,,250000,,,100,250000,100000,30,,150,150000,50000,,0
"2038-02-08","Scope 2","Fleet Vehicles",20,150000,150000,100000,40,,,150000,350,100000,150000,15,100000,200,50000,0,,50000
"2028-11-25","Scope 3","Scope 3 Capital Goods",30,250000,,,50,250000,,200000,250,50000,150000,0,150000,150,200000,200000,,0
"2020-01-25","Scope 3","Private Jet",10,100000,250000,,,,20,100000,200,,,20,,200,0,100000,150000,
"2021-11-02","Scope 1","Data Center",15,100000,,200000,,,50,100000,100,,,,,250,,,50000,
"2029-06-01","Scope 2","Commercial Building",0,150000,100000,100000,0,150000,,200000,150,0,250000,10,200000,150,200000,50000,,200000
"2036-10-26","Scope 3","Scope 3 Use of Sold Products",,200000,200000,50000,30,50000,,50000,300,250000,,0,250000,200,50000,150000,,250000
"2026-05-02","Scope 2","Fleet Vehicles",30,50000,0,150000,10,0,,150000,350,150000,50000,15,,150,150000,250000,,
"2040-07-02","Scope 1","Private Jet",20,150000,150000,0,,200000,,,200,200000,200000,30,0,250,0,200000,,50000
"2031-02-06","Scope 3","Data Center",10,250000,50000,250000,40,100000,,250000,50,100000,0,20,100000,200,250000,0,,100000
"2019-12-01","Scope 2","Commercial Building",15,50000,250000,100000,,,30,0,250,,,25,,300,100000,,250000,
"2024-04-08","Scope 1","Fleet Vehicles",30,150000,150000,200000,20,,,250000,200,,100000,0,50000,150,200000,150000,,150000
"2030-08-14","Scope 2","Data Center",20,200000,100000,150000,40,50000,,,50,50000,,25,100000,150,100000,100000,,100000
"2039-09-05","Scope 3","Scope 3 End-Life Treatment of Sold Product",0,250000,50000,50000,10,100000,,200000,350,200000,250000,30,,250,150000,50000,,200000
"2033-10-26","Scope 1","Private Jet",,100000,0,0,30,150000,,150000,100,,100000,20,200000,150,50000,150000,,
"2034-09-29","Scope 3","Scope 3 Investments",10,50000,,100000,50,200000,,0,250,100000,0,15,50000,200,,250000,,150000
"2022-12-29","Scope 2","Data Center",20,200000,250000,250000,0,,70,50000,150,0,50000,10,150000,100,250000,,200000,250000
"2032-02-02","Scope 1","Fleet Vehicles",,250000,200000,,,0,,100000,300,250000,200000,,250000,150,0,150000,,0
"2037-01-21","Scope 2","Private Jet",15,150000,200000,,20,250000,,,200,150000,150000,25,0,250,0,100000,,50000
"2035-05-27","Scope 1","Commercial Building",30,100000,0,200000,0,,,200000,250,0,200000,10,150000,200,250000,200000,,100000
"2023-02-28","Scope 3","Scope 3 Business Travel",0,150000,,250000,50,50000,,0,100,100000,150000,20,,150,,250000,,50000
"2027-05-16","Scope 3","Scope 3 Downstream Transportation Distribution",,50000,100000,150000,30,200000,,150000,50,,100000,,250000,150,200000,150000,,250000
"2025-09-13","Scope 1","Private Jet",10,100000,250000,100000,20,150000,,50000,300,50000,0,15,50000,150,50000,50000,,0
"2035-09-10","Scope 2","Fleet Vehicles",15,200000,50000,50000,,0,,100000,150,250000,50000,0,200000,200,150000,,,150000
"2029-12-19","Scope 2","Data Center",20,250000,150000,0,40,250000,,250000,350,150000,,30,100000,200,100000,0,,
"2034-09-16","Scope 1","Commercial Building",0,250000,200000,150000,10,100000,,,150,200000,250000,15,0,200,0,150000,,200000
"2037-04-29","Scope 3","Scope 3 Downstream Leased Assets",30,150000,,250000,30,150000,,200000,300,50000,50000,,50000,200,150000,250000,,50000
"2021-06-04","Scope 1","Private Jet",20,200000,250000,50000,,,,150000,50,,,10,,350,200000,100000,,
"2020-04-07","Scope 3","Scope 3 Upstream Transportation Distribution",10,100000,100000,200000,,,20,50000,200,,,30,,200,100000,200000,50000,
"2019-07-22","Scope 2","Data Center",30,50000,50000,0,,,50,100000,100,,,25,,250,50000,0,200000,
"2030-01-29","Scope 3","Scope 3 Fuel and Energy-Related Activity",15,50000,0,100000,20,100000,,250000,350,,0,20,100000,150,,50000,,0
"2028-08-02","Scope 2","Commercial Building",0,150000,150000,100000,,50000,,0,250,200000,100000,0,150000,150,250000,100000,,100000
"2038-04-09","Scope 1","Fleet Vehicles",,150000,50000,,0,200000,,100000,250,250000,200000,,,250,0,100000,,
"2027-05-14","Scope 2","Data Center",15,100000,0,,40,250000,,150000,350,150000,250000,20,250000,150,,,,150000
"2040-12-22","Scope 1","Private Jet",10,200000,100000,50000,10,0,,50000,100,100000,,25,200000,200,100000,50000,,200000
"2032-12-11","Scope 3","Scope 3 Investments",0,250000,,250000,50,,,200000,150,0,150000,15,0,200,150000,150000,,250000
"2022-11-07","Scope 1","Commercial Building",,150000,200000,0,30,150000,90,250000,200,50000,100000,30,100000,150,200000,250000,150000,
"2026-09-16","Scope 2","Fleet Vehicles",30,100000,150000,200000,0,0,,0,300,,250000,10,250000,150,250000,0,,50000
"2033-07-20","Scope 3","Commercial Building",20,200000,250000,100000,50,,,,50,0,,0,,200,50000,200000,,150000
"2031-04-27","Scope 2","Data Center",20,50000,100000,150000,,200000,,100000,150,100000,150000,0,0,150,250000,,,100000
"2024-01-30","Scope 1","Private Jet",10,250000,0,0,40,100000,,50000,250,250000,0,25,50000,150,50000,100000,,200000
"2025-09-10","Scope 3","Scope 3 Downstream Leased Assets",0,250000,50000,,20,250000,,250000,200,200000,200000,20,150000,150,150000,50000,,250000
"2036-07-19","Scope 1","Fleet Vehicles",15,50000,250000,50000,10,50000,,150000,100,150000,50000,,200000,200,100000,100000,,0
"2023-05-27","Scope 2","Commercial Building",30,150000,150000,100000,40,250000,,,300,150000,50000,15,200000,150,200000,100000,,0
"2039-10-28","Scope 3","Scope 3 Upstream Transportation Distribution",,100000,200000,250000,,100000,,200000,50,100000,100000,30,100000,200,,250000,,200000
"2024-08-25","Scope 1","Private Jet",10,150000,,150000,30,0,,0,350,0,250000,10,,150,0,100000,,50000
"2040-09-03","Scope 2","Commercial Building",0,200000,50000,200000,50,200000,,50000,350,200000,200000,,50000,250,0,0,,150000
"2037-08-16","Scope 3","Scope 3 Upstream Leased Assets",,200000,,100000,10,50000,,250000,100,250000,,15,0,200,50000,0,,100000
"2034-10-25","Scope 1","Data Center",20,100000,150000,200000,20,150000,,100000,50,,0,20,150000,200,200000,,,250000
"2029-06-21","Scope 2","Fleet Vehicles",15,50000,250000,,0,,,0,250,50000,150000,25,250000,150,150000,200000,,
"2033-08-23","Scope 3","Scope 3 Business Travel",30,250000,100000,0,,0,,150000,300,150000,250000,10,,200,,150000,,150000
"2039-10-20","Scope 3","Scope 3 Franchising",,150000,200000,150000,0,150000,,,150,,100000,0,0,250,100000,150000,,50000
"2026-09-14","Scope 1","Commercial Building",20,200000,0,50000,10,100000,,200000,200,200000,150000,30,150000,200,250000,200000,,
"2030-01-21","Scope 2","Private Jet",15,100000,150000,100000,20,,,50000,150,0,200000,,50000,200,100000,0,,200000
"2038-07-01","Scope 2","Data Center",0,200000,100000,250000,40,250000,,100000,250,50000,0,10,100000,200,250000,50000,,0
"2032-11-30","Scope 3","Scope 3 Downstream Transportation Distribution",10,150000,50000,200000,30,200000,,0,200,100000,50000,25,200000,200,200000,,,100000
"2036-05-11","Scope 1","Fleet Vehicles",30,250000,0,0,50,50000,,,300,250000,,0,250000,200,50000,100000,,250000
"2019-09-18","Scope 3","Scope 3 Fuel and Energy-Related Activity",10,50000,,250000,,,0,150000,100,,,30,,300,,250000,0,
"2025-06-19","Scope 2","Data Center",,50000,250000,,20,250000,,200000,350,150000,,20,,150,0,100000,,
"2031-01-20","Scope 1","Fleet Vehicles",0,200000,200000,100000,,0,,250000,50,200000,100000,15,250000,150,150000,200000,,100000
"2021-02-11","Scope 2","Private Jet",20,250000,150000,150000,,,,100000,200,,,10,,100,0,200000,250000,
"2023-11-21","Scope 3","Scope 3 Use of Sold Products",15,100000,100000,200000,50,150000,,,50,250000,150000,25,100000,150,50000,150000,,200000
"2035-04-03","Scope 1","Commercial Building",30,150000,250000,50000,40,200000,,250000,100,100000,200000,,50000,200,200000,,,0
"2027-09-14","Scope 3","Data Center",0,150000,200000,,10,50000,,0,250,,50000,15,0,200,250000,50000,,150000
"2020-05-08","Scope 1","Private Jet",20,200000,0,50000,,,30,150000,350,,,0,,200,150000,100000,100000,
"2028-05-14","Scope 2","Commercial Building",30,200000,,150000,0,100000,,200000,150,50000,0,30,150000,150,,50000,,250000
"2022-01-06","Scope 1","Data Center",15,100000,50000,100000,30,,70,50000,300,0,250000,20,200000,250,100000,0,,50000
"2037-10-28","Scope 2","Fleet Vehicles",,50000,50000,250000,30,,,,300,,250000,25,250000,200,50000,250000,,
"2040-01-07","Scope 3","Scope 3 Uncategorized Emissions",10,250000,100000,150000,50,200000,,0,200,50000,150000,,0,250,150000,0,,200000
"2024-07-24","Scope 2","Private Jet",0,250000,150000,0,0,0,,50000,50,250000,,20,200000,150,0,,,0
"2028-05-21","Scope 3","Private Jet",15,200000,200000,200000,20,250000,,100000,250,150000,0,0,,150,250000,150000,,50000
"2038-06-08","Scope 1","Data Center",20,50000,250000,,40,100000,,200000,150,200000,100000,30,100000,200,200000,250000,,250000
"2020-06-17","Scope 3","Scope 3 End-Life Treatment of Sold Product",10,150000,0,150000,,,90,150000,350,,,10,,150,,200000,150000,
"2033-09-13","Scope 1","Commercial Building",,100000,,100000,,150000,,250000,100,0,200000,15,50000,150,100000,100000,,150000
"2029-12-09","Scope 2","Fleet Vehicles",30,50000,150000,250000,10,50000,,250000,300,100000,50000,0,150000,150,150000,50000,,100000
"2026-04-14","Scope 2","Data Center",15,250000,0,0,50,0,,200000,50,100000,100000,10,0,150,0,200000,,0
"2021-04-16","Scope 1","Fleet Vehicles",30,150000,200000,200000,,,20,0,100,,,15,,350,250000,,200000,
"2030-03-11","Scope 3","Scope 3 Capital Goods",,100000,,50000,30,,,,150,200000,50000,,,150,50000,,,
"2022-03-02","Scope 1","Commercial Building",20,200000,50000,0,,200000,30,150000,200,250000,150000,30,150000,250,200000,150000,,250000
"2019-04-02","Scope 2","Private Jet",10,150000,100000,250000,,,0,100000,250,,,25,,150,,100000,250000,
"2034-10-26","Scope 3","Scope 3 Employee Commuting",0,200000,250000,150000,20,250000,,50000,350,50000,,20,250000,200,100000,50000,,50000
"2027-02-25","Scope 3","Fleet Vehicles",20,100000,200000,100000,0,50000,,0,50,,250000,20,50000,150,50000,0,,200000
"2025-02-27","Scope 1","Data Center",0,250000,250000,200000,40,150000,,200000,100,0,200000,25,100000,150,,250000,,150000
"2023-03-03","Scope 2","Commercial Building",30,150000,100000,100000,10,100000,,150000,350,150000,0,0,200000,150,250000,100000,,100000
"2032-08-25","Scope 3","Scope 3 Purchased Goods Services",15,50000,50000,50000,0,100000,,,250,,200000,10,,200,150000,0,,50000
"2036-12-24","Scope 1","Private Jet",10,50000,150000,,50,150000,,100000,300,250000,0,30,100000,200,0,250000,,100000
"2039-03-03","Scope 2","Fleet Vehicles",,150000,,200000,20,,,50000,150,50000,250000,,200000,200,100000,200000,,
"2031-12-21","Scope 1","Commercial Building",10,100000,0,50000,,50000,,250000,200,150000,50000,15,250000,150,200000,150000,,150000
"2035-01-15","Scope 3","Scope 3 Processing Sold Products",30,250000,200000,,30,0,,100000,200,100000,100000,,50000,200,200000,,,0
"2037-05-27","Scope 2","Fleet Vehicles",,200000,250000,100000,10,250000,,,300,0,,10,150000,250,,100000,,250000
"2028-12-18","Scope 3","Scope 3 Waste Generated in Operations",15,200000,,0,40,200000,,250000,350,200000,150000,15,0,150,150000,50000,,200000
"2039-04-21","Scope 2","Private Jet",0,50000,50000,150000,0,50000,,0,250,100000,0,25,200000,250,100000,50000,,0
"2021-02-23","Scope 1","Data Center",20,150000,150000,250000,,,,200000,100,,,0,,100,250000,0,100000,
"2026-06-13","Scope 1","Private Jet",10,100000,0,150000,30,250000,,150000,50,250000,,30,,150,0,200000,,
"2038-08-18","Scope 3","Scope 3 Processing Sold Products",0,250000,100000,250000,20,100000,,50000,150,0,200000,20,100000,250,50000,150000,,50000
"2032-02-08","Scope 2","Data Center",,150000,250000,200000,,0,,150000,250,50000,250000,25,50000,200,,250000,,200000
"2020-06-08","Scope 2","Fleet Vehicles",30,200000,50000,100000,,,70,250000,200,,,15,,200,100000,100000,50000,
"2027-05-24","Scope 1","Commercial Building",15,50000,100000,0,40,,,0,50,200000,50000,10,250000,200,50000,,,250000
"2019-08-21","Scope 3","Scope 3 Fuel and Energy-Related Activity",20,100000,150000,,,,50,200000,150,,,,,300,200000,0,0,
"2034-10-22","Scope 1","Data Center",30,250000,200000,50000,50,150000,,50000,100,150000,100000,0,0,200,250000,50000,,150000
"2023-09-30","Scope 3","Scope 3 Uncategorized Emissions",15,100000,,50000,10,200000,,,350,,150000,30,150000,150,150000,150000,,100000
"2036-04-05","Scope 2","Commercial Building",,150000,0,100000,,250000,,100000,300,50000,150000,20,100000,250,0,0,,150000
"2031-06-14","Scope 2","Fleet Vehicles",10,150000,200000,0,10,,,150000,50,100000,200000,20,,150,,250000,,
"2022-04-14","Scope 3","Scope 3 Waste Generated in Operations",0,250000,0,150000,0,100000,0,200000,250,250000,250000,0,50000,350,100000,200000,100000,250000
"2029-04-20","Scope 1","Private Jet",20,50000,100000,100000,40,50000,,0,300,0,,25,150000,150,150000,,,100000
"2035-11-13","Scope 2","Commercial Building",30,200000,150000,100000,20,150000,,50000,100,,50000,15,0,200,250000,0,,0
"2030-03-27","Scope 1","Private Jet",15,200000,50000,,50,200000,,250000,150,200000,100000,,200000,200,50000,100000,,200000
"2033-08-23","Scope 3","Scope 3 Employee Commuting",0,100000,250000,200000,30,0,,,350,150000,0,30,250000,200,200000,100000,,50000
"2025-10-10","Scope 2","Fleet Vehicles",,200000,,250000,50,,,100000,200,100000,150000,10,0,150,0,50000,,
"2040-07-25","Scope 3","Data Center",10,250000,,0,40,250000,,0,250,150000,50000,15,150000,250,250000,200000,,250000
"2024-01-29","Scope 1","Data Center",20,50000,100000,,,100000,,150000,150,250000,,25,50000,150,0,150000,,0
"2031-02-14","Scope 2","Private Jet",30,150000,150000,50000,20,150000,,200000,200,200000,250000,10,100000,200,200000,250000,,100000
"2023-11-30","Scope 1","Fleet Vehicles",0,150000,200000,100000,0,0,,,50,0,100000,,,150,,150000,,50000
"2037-04-26","Scope 3","Scope 3 Downstream Leased Assets",20,100000,250000,250000,10,50000,,100000,300,,200000,20,200000,200,50000,0,,150000
"2022-09-18","Scope 2","Commercial Building",15,150000,0,100000,30,200000,20,250000,100,50000,0,30,250000,300,100000,,200000,200000
"2039-07-19","Scope 3","Scope 3 Upstream Transportation Distribution",10,250000,50000,200000,,0,,50000,350,250000,200000,0,250000,250,150000,200000,,100000
"2028-08-21","Scope 1","Data Center",,50000,50000,150000,50,150000,,100000,150,,100000,0,150000,150,100000,150000,,150000
"2035-09-28","Scope 3","Scope 3 Upstream Leased Assets",15,200000,250000,50000,10,200000,,,300,200000,,,200000,200,150000,0,,0
"2030-09-24","Scope 1","Private Jet",20,150000,200000,,30,100000,,200000,250,0,50000,15,,150,250000,250000,,250000
"2020-07-13","Scope 2","Commercial Building",,200000,100000,100000,,,90,50000,350,,,10,,200,0,,,
"2021-02-06","Scope 3","Scope 3 Downstream Transportation Distribution",30,50000,150000,0,,,70,150000,200,,,30,,250,50000,50000,50000,
"2034-10-04","Scope 1","Fleet Vehicles",10,250000,,150000,40,50000,,250000,50,150000,150000,25,0,150,,100000,,200000
"2024-04-28","Scope 2","Data Center",0,100000,0,200000,20,250000,,0,100,100000,250000,20,100000,150,200000,,,50000
"2038-04-05","Scope 1","Private Jet",15,200000,100000,250000,0,,,50000,350,50000,0,25,50000,200,250000,100000,,
