"Fuel_Type","Asset_Category","Asset","Asset_Type","CountryCode","Date","Business_Region","Carbon_Inventory","Energy_Usage_kBtu_sq_ft","Electricity_Usage_Previous","Electricity_Usage_kWh_m2","Total_Energy_Consumption_kWh","Electricity_Usage_Current","Scope_3_Emissions","Annual_Energy_Intensity_Variance","Energy_Consumption_Intensity_kWh_m2","Total_Renewable_Energy_kWh","Electricity_Usage_kWh_sq_ft","Fuel_Consumption_Liters","Scope_1_Scope_2_Location_Emissions","Total_Diesel_Consumption","Non_Renewal_Resources","Energy_Emissions","Scope_1_Scope_2_Market_Emissions","Annual_Electricity_Intensity_Variance","Electricity_Cons_Intensity_kWh_m2","Total_Fuel_Oil_Consumption","Energy_Consumption","Data_Center_PUE_current","Total_Natural_Gas_consumption_kWh","Renewal_Resources","Total_Steam_Consumption","Data_Center_PUE_previous","Emissions_from_Stationary_Sources","Total_Building_Area","Energy_Usage_kBtu_m2","High_Outliers","Scope_1_Emissions_tCO2e","Fuel_Consumption_Gallons","Low_Outliers","Total_Allocation_Renewable_Energy"
"Natural Gas","Data Center","Freight Hauling - downstream distribution FY21","Data Center","FRA","2021-04-07","EMEA",88,4758,450000,11,154000,500000,76855,19,3.39,55000,118,3139,34345,150000,15000000,1374,22345,5,6.87,10284,123324,66544,67043,31023124,379000,12454,6242,2940000,442,10.4,15000,829,4.7,38500
"Steam","Data Center","Value Chain","Data Center","SGP","2019-02-08","South America",54,2863,300000,14,135000,300000,56634,16,0.42,57857,151,3139,43566,100000,17000000,830,34543,4,0.85,13766,123324,45443,14243,29000000,396000,12354,99977,15000,266,11.4,18608,829,4.6,40500
"Cooling","Vehicle","Company Shuttle #2","Fleet Vehicle","ARG","2020-01-12","APAC",62,4263,350000,5,120000,400000,76855,24,0.19,34286,54,3560,43566,100000,17000000,1141,34543,10,0.37,11553,123324,45443,66909,31023124,375000,12454,16922,2440000,396,10.2,21323,941,2.3,24000
"Refrigerant","Stationary","North Longs Peak","Comercial Building","ARG","2021-05-28","South America",85,2766,400000,19,154000,350000,67688,1,0.19,55000,205,3139,23454,123678,14000000,1243,21234,3,0.37,15644,123324,34124,94249,35000000,365000,12354,94162,20000,257,12.1,15000,829,1.1,38500
"Propane","Stationary","Billhaus CTAW P4A","Comercial Building","AUS","2019-02-22","ANZ",46,4263,250000,19,135000,450000,56634,7,4.19,28929,205,3139,34345,150000,15000000,510,22345,7,8.45,19576,123324,66544,84195,29000000,402000,53423,78370,14000,396,11.7,18608,829,3.5,20250
"FuelOil","Stationary","ARL-VA4 DC 8W","Comercial Building","MAR","2022-08-18","LATAM",85,527,400000,30,154000,350000,76855,22,0.22,66000,323,3560,43566,150000,15000000,401,22345,8,0.45,11967,123324,45443,54933,35000000,481000,12354,92317,3362000,49,14.1,15000,941,3.8,46200
"Electricity","Scope 3","Business Travel FY18","Scope 3","AUS","2019-10-27","ANZ",99,592,400000,20,120000,400000,67688,18,4.19,42857,215,3560,34345,100000,17000000,2054,34543,6,8.45,15684,123324,66544,60516,29000000,404000,53423,73758,3250000,55,12.3,18608,941,1.4,30000
"Heat","Stationary","ARL-VA7 DC 5W","Comercial Building","MAR","2022-01-11","Middle East",97,4166,350000,21,135000,500000,56634,26,0.22,38571,226,3560,23454,123678,14000000,320,21234,6,0.45,14577,123324,34124,78900,31023124,405000,12454,7214,10000,387,11.4,21323,941,4.1,27000
"Steam","Data Center","Business Travel FY19","Data Center","IND","2021-05-03","Europe",75,4661,450000,1,120000,450000,56634,1,4.97,51429,11,3139,23454,123678,15000000,1752,21234,9,10.02,15059,123324,34124,50871,35000000,384000,12454,1426,2003000,433,14.4,18608,829,5,36000
"Electricity","Vehicle","9948 Contralia Cowter Ct","Fleet Vehicle","USA","2020-05-28","Central America",60,969,450000,13,135000,300000,67688,16,0.24,28929,140,3139,34345,150000,14000000,539,22345,7,0.59,12306,123324,66544,84580,29000000,460000,53423,3384,19000,90,13.6,15000,829,0.6,20250
"FuelOil","Scope 3","*AMER Financed Emissions","Scope 3","BRA","2019-05-10","Central Asia",41,420,250000,28,154000,350000,76855,22,1.05,55000,301,3139,43566,100000,17000000,1472,34543,7,2.13,15538,123324,45443,93116,31023124,440000,12354,17323,32000,39,10.7,21323,829,3.9,38500
"Propane","Stationary","JLP Square North","Comercial Building","FRA","2020-02-04","Europe",52,2616,300000,12,120000,400000,76855,6,3.39,51429,129,3560,34345,123678,17000000,1663,22345,6,6.87,10253,123324,45443,72811,29000000,449000,12454,70225,3021000,243,13.6,18608,941,0.8,36000
"Natural Gas","Stationary","TX - Marion","Comercial Building","CHN","2022-09-12","APAC",38,2669,300000,10,135000,500000,67688,17,3.2,38571,108,3560,23454,150000,15000000,1989,34543,7,3.12,11806,123324,34124,43627,31023124,472000,53423,90654,3340000,248,14.8,21323,941,3.8,27000
"Refrigerant","Stationary","South Longs Peak","Comercial Building","IND","2021-07-12","Southeast Asia",51,269,350000,19,154000,300000,56634,10,4.97,33000,205,3139,43566,100000,14000000,1893,21234,3,10.02,12464,123324,66544,65244,35000000,499000,12354,17929,16000,25,11.8,15000,829,5,23100
"Diesel","Stationary","217 Xevering St","Comercial Building","USA","2022-08-05","APAC",61,3627,400000,23,154000,450000,76855,30,0.24,33000,248,3560,34345,150000,15000000,489,21234,7,0.59,19485,123324,66544,97953,31023124,383000,53423,76334,2670000,337,11.3,21323,941,1.1,23100
"Cooling","Vehicle","Los Angeles SMALL TRUCK 12-0024","Fleet Vehicle","GBR","2020-06-24","Central America",59,1399,250000,28,120000,500000,67688,17,5.99,42857,301,3560,43566,123678,17000000,1726,22345,7,12.14,14756,123324,34124,58632,35000000,359000,12354,19936,20000,130,10.1,18608,941,0.6,30000
"Heat","Stationary","Centre St Tower 8","Comercial Building","JPN","2019-03-12","North America",43,4682,350000,29,135000,450000,56634,1,2.52,38571,312,3139,23454,100000,14000000,818,34543,10,5.15,15726,123324,45443,21572,29000000,434000,12454,90628,2897000,435,13.1,15000,829,5.2,27000
"FuelOil","Stationary","ARL-VA4 DC 4W","Comercial Building","ARG","2021-05-19","LATAM",84,1636,400000,27,135000,350000,56634,22,0.19,57857,291,3139,34345,100000,15000000,1971,21234,10,0.37,11801,123324,66544,26003,35000000,460000,12354,74580,13000,152,14.1,18608,829,5.5,40500
"Heat","Stationary","JLP Square South","Comercial Building","ARG","2022-11-17","Europe",93,3035,400000,10,154000,400000,67688,14,0.19,33000,108,3560,43566,150000,14000000,1493,22345,8,0.37,12882,123324,45443,69298,31023124,356000,12454,19363,3421000,282,11.5,15000,941,2.5,23100
"Diesel","Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","Fleet Vehicle","CHN","2019-05-31","AMER",66,4327,400000,11,120000,300000,76855,18,3.2,42857,118,3560,23454,123678,17000000,893,34543,10,3.12,19930,123324,34124,41066,29000000,427000,53423,8789,13000,402,10.6,21323,941,0.2,30000
"Electricity","Stationary","East Longs Peak","Comercial Building","IND","2021-10-19","Southeast Asia",75,3025,350000,23,135000,500000,56634,21,4.97,57857,248,3139,34345,100000,17000000,2178,22345,7,10.02,16997,123324,66544,98622,29000000,416000,12354,5862,32000,281,10.6,15000,829,4,40500
"Cooling","Data Center","*Business Travel FY21","Data Center","MAR","2020-01-24","LATAM",97,248,350000,2,154000,300000,76855,22,0.22,44000,22,3139,23454,123678,15000000,1178,34543,8,0.45,15569,123324,34124,60443,31023124,371000,12454,83066,2114000,23,12.6,21323,829,5.8,30800
"Propane","Stationary","Billhaus CTQW U8F","Comercial Building","SGP","2022-07-10","ANZ",93,3800,250000,16,120000,400000,67688,26,0.42,42857,172,3560,43566,150000,14000000,1945,21234,10,0.85,15873,123324,45443,14141,35000000,371000,53423,81451,15000,353,12.1,18608,941,0.2,30000
"Refrigerant","Stationary","513 Severing St","Comercial Building","SGP","2019-10-26","APAC",50,4499,400000,4,135000,350000,67688,22,0.42,38571,43,3139,23454,150000,14000000,1701,21234,4,0.85,19502,123324,45443,11246,31023124,478000,12354,96564,3074000,418,10.5,18608,829,2.9,27000
"Steam","Stationary","Centre St Tower 4","Comercial Building","USA","2021-07-26","AMER",96,2530,400000,30,154000,450000,76855,29,0.24,66000,323,3139,34345,100000,17000000,1695,34543,6,0.59,11557,123324,34124,65683,35000000,385000,53423,90901,11000,235,10.6,15000,829,2.9,46200
"Natural Gas","Stationary","140 Mission St","Comercial Building","USA","2020-11-18","AMER",46,4532,350000,25,120000,350000,56634,29,0.24,25714,269,3560,43566,123678,15000000,1780,22345,9,0.59,10402,123324,66544,33184,29000000,427000,12454,91660,3397000,421,10.2,21323,941,5.2,18000
"Natural Gas","Stationary","ARL-WQ7 DC 9W","Comercial Building","IRL","2020-02-19","Middle East",91,2519,450000,18,135000,450000,67688,11,0.01,38571,194,3139,34345,100000,17000000,2117,22345,5,0.02,13817,123324,34124,71094,29000000,487000,12354,72419,25000,234,11.7,15000,829,5.2,27000
"Electricity","Scope 3","Business Travel FY22","Scope 3","IND","2019-01-01","Middle East",88,1453,400000,19,120000,400000,76855,17,4.97,42857,205,3560,43566,123678,14000000,860,34543,10,10.02,10980,123324,66544,94124,35000000,391000,12454,16850,2820000,135,11.3,21323,941,4.6,30000
"Heat","Stationary","9267 Contralia Cowter Ct","Comercial Building","GBR","2021-02-15","Central America",52,1755,300000,15,154000,300000,56634,1,5.99,66000,161,3139,23454,150000,15000000,308,21234,6,12.14,13817,123324,45443,20932,31023124,483000,53423,8604,10000,163,12.7,18608,829,2.9,46200
"Propane","Stationary","45 Keppely Rd 5C","Comercial Building","JPN","2022-08-10","Central Asia",65,2992,400000,23,135000,500000,76855,3,2.52,28929,248,3560,34345,150000,14000000,1161,34543,6,5.15,16223,123324,45443,35191,35000000,493000,12354,19920,2590000,278,12.5,21323,941,3.6,20250
"Diesel","Stationary","230 Burlingame Ave.","Comercial Building","SGP","2021-01-12","ANZ",46,1410,350000,19,154000,500000,67688,1,0.42,44000,205,3139,43566,100000,17000000,1420,21234,7,0.85,10217,123324,34124,13781,31023124,406000,53423,70665,35000,131,10,15000,829,5,30800
"Refrigerant","Data Center","Business Travel FY19","Data Center","USA","2020-06-28","LATAM",69,2347,250000,23,120000,300000,56634,24,0.24,42857,248,3560,23454,123678,15000000,760,22345,10,0.59,19702,123324,66544,34469,29000000,414000,12454,4518,2791000,218,14.4,18608,941,2.1,30000
"Cooling","Stationary","140 Mission St","Comercial Building","USA","2019-10-24","AMER",34,3961,350000,4,154000,350000,56634,16,0.24,33000,43,3139,23454,150000,17000000,1622,34543,9,0.59,12429,123324,66544,18509,29000000,485000,12454,77322,25000,368,12.8,21323,829,4.7,23100
"Steam","Stationary","JLP Square South","Comercial Building","ARG","2022-06-08","Europe",62,3864,400000,17,135000,400000,76855,13,0.19,57857,183,3560,34345,123678,15000000,1080,22345,5,0.37,10681,123324,34124,51677,35000000,453000,12354,82899,3447000,359,14.8,18608,941,1,40500
"FuelOil","Stationary","East Longs Peak","Comercial Building","IND","2022-05-13","Southeast Asia",57,3186,400000,13,120000,450000,67688,3,4.97,51429,140,3560,43566,100000,14000000,1280,21234,6,10.02,17697,123324,45443,26598,31023124,410000,53423,81849,34000,296,11.3,15000,941,5.1,36000
"Natural Gas","Stationary","*Cirrus Tower","Comercial Building","USA","2019-01-18","AMER",45,4521,400000,21,120000,400000,76855,22,0.24,34286,226,3560,43566,100000,14000000,1444,22345,8,0.59,10090,123324,45443,83514,29000000,405000,12354,72744,3399000,420,14.9,21323,941,2.1,24000
"Electricity","Stationary","Centre St Tower 8","Comercial Building","BRA","2021-08-14","North America",54,4682,450000,29,154000,450000,56634,22,1.05,33000,312,3139,23454,150000,15000000,1894,34543,6,2.13,12428,123324,66544,87973,31023124,414000,53423,87350,2705000,435,14.7,18608,829,3.1,23100
"Refrigerant","Stationary","81 Rue Mocklie","Comercial Building","FRA","2020-08-24","EMEA",73,3660,400000,2,135000,500000,67688,19,3.39,48214,22,3139,34345,123678,17000000,1327,21234,8,6.87,16268,123324,34124,68364,35000000,462000,12454,18449,35000,340,14.3,15000,829,5.1,33750
"Heat","Stationary","217 Xevering St","Comercial Building","USA","2020-04-11","APAC",77,3853,250000,1,120000,300000,67688,21,0.24,25714,11,3560,23454,100000,15000000,1729,21234,10,0.59,11664,123324,34124,24684,31023124,377000,12354,74739,2620000,358,13.1,18608,941,3.6,18000
"FuelOil","Vehicle","Company Jet #1","Private Jet","JPN","2022-08-01","Central America",72,4316,400000,8,135000,350000,76855,9,2.52,38571,86,3560,43566,123678,17000000,578,22345,9,5.15,15485,123324,66544,85910,29000000,364000,12454,17397,27000,401,12.7,15000,941,0.3,27000
"Steam","Stationary","ARL-VA7 DC 5W","Comercial Building","MAR","2019-12-17","Middle East",78,183,450000,28,154000,300000,56634,11,0.22,66000,301,3139,34345,150000,14000000,383,34543,3,0.45,19004,123324,45443,12279,35000000,434000,53423,8166,2757000,17,12.3,21323,829,0.3,46200
"Cooling","Stationary","TX - Marion","Comercial Building","USA","2021-07-26","APAC",90,1830,350000,27,154000,350000,76855,25,0.24,55000,291,3139,34345,150000,17000000,948,21234,5,0.59,14685,123324,45443,97411,31023124,387000,53423,93437,23000,170,13.3,18608,829,4.4,38500
"Diesel","Vehicle","Circle St Tower 8","Fleet Vehicle","BRA","2019-08-31","North America",99,646,350000,27,135000,450000,56634,24,1.05,48214,291,3139,43566,100000,15000000,536,22345,5,2.13,11277,123324,34124,68734,29000000,390000,12454,16759,27000,60,12.1,21323,829,1.9,33750
"Propane","Stationary","ARL-WQ7 DC 9W","Comercial Building","MAR","2021-08-20","Middle East",52,3940,400000,9,120000,500000,67688,17,0.22,51429,97,3139,23454,123678,14000000,1765,34543,4,0.45,18948,123324,66544,77964,35000000,354000,12354,99548,2675000,366,11.9,15000,829,4.8,36000
"FuelOil","Stationary","Billhaus CTQW U8F","Comercial Building","SGP","2022-03-26","ANZ",34,4112,300000,8,154000,400000,67688,18,0.42,44000,86,3560,23454,123678,17000000,2222,21234,10,0.85,19008,123324,66544,44784,35000000,425000,53423,76117,3088000,382,14.4,15000,941,5,30800
"Electricity","Stationary","230 Burlingame Ave.","Comercial Building","FRA","2020-03-31","Europe",79,3907,450000,13,120000,450000,76855,18,3.39,25714,140,3560,34345,100000,14000000,1696,22345,6,6.87,19386,123324,45443,89766,29000000,497000,12354,90847,18000,363,10.8,21323,941,0.5,18000
"Heat","Stationary","West Longs Peak","Comercial Building","BRA","2020-07-24","South America",52,2120,400000,4,135000,350000,56634,14,1.05,38571,43,3139,43566,150000,15000000,1429,34543,8,2.13,14859,123324,34124,54932,31023124,472000,12454,4093,3052000,197,12.8,18608,829,1.4,27000
"Diesel","Scope 3","Business Travel FY18","Scope 3","ARG","2022-05-11","North America",72,1658,250000,30,135000,300000,76855,7,0.19,28929,323,3560,34345,123678,14000000,1442,22345,3,0.37,18646,123324,34124,38079,35000000,414000,53423,96804,11000,154,13.9,21323,941,3.8,20250
"Steam","Stationary","45 Keppely Rd 5B","Comercial Building","IRL","2019-09-26","Central Asia",49,2217,350000,8,154000,500000,56634,26,0.01,66000,86,3560,23454,100000,17000000,624,21234,3,0.02,14797,123324,45443,75427,31023124,395000,12354,78831,2299000,206,13.4,15000,941,0.8,46200
"Cooling","Stationary","513 Severing St","Comercial Building","SGP","2021-07-08","APAC",74,3929,400000,21,120000,400000,67688,1,0.42,42857,226,3139,43566,150000,15000000,716,34543,4,0.85,19803,123324,66544,72293,29000000,386000,12454,86012,27000,365,14.1,18608,829,1.2,30000
"Refrigerant","Stationary","ARL-VA4 DC 8W","Comercial Building","MAR","2019-05-31","LATAM",37,1324,350000,21,120000,500000,76855,15,0.22,25714,226,3560,23454,100000,17000000,606,21234,3,0.45,17900,123324,45443,20878,29000000,358000,12354,15891,24000,123,13.6,15000,941,3.1,18000
"Propane","Stationary","Centre St Tower 4","Comercial Building","USA","2020-05-07","AMER",33,1722,350000,20,135000,350000,56634,19,0.24,38571,215,3139,43566,150000,14000000,974,22345,10,0.59,11463,123324,34124,56176,31023124,478000,53423,77452,2257000,160,14.6,18608,829,2.9,27000
"Natural Gas","Stationary","ARL-VA4 DC 4W","Comercial Building","ARG","2022-05-24","LATAM",98,2540,350000,9,154000,400000,67688,2,0.19,55000,97,3560,34345,123678,15000000,1333,34543,5,0.37,10379,123324,66544,93947,35000000,392000,12454,76436,18000,236,13.7,21323,941,1.1,38500
"Electricity","Scope 3","*Business Travel FY21","Scope 3","GBR","2021-04-11","EMEA",34,2379,450000,26,120000,300000,67688,2,5.99,51429,280,3560,23454,150000,14000000,1660,21234,8,12.14,18166,123324,45443,78727,29000000,350000,12454,6131,2696000,221,14.1,18608,941,3.7,36000
"Propane","Vehicle","Company Jet #2","Private Jet","AUS","2020-09-08","AMER",46,1389,400000,18,154000,450000,56634,24,4.19,44000,194,3560,43566,123678,17000000,2111,34543,3,8.45,17571,123324,34124,49618,35000000,424000,53423,3627,2251000,129,15,15000,941,2.9,30800
"FuelOil","Stationary","South Longs Peak","Comercial Building","IND","2019-06-08","Southeast Asia",31,3272,400000,7,135000,500000,76855,8,4.97,28929,75,3139,34345,100000,15000000,2250,22345,5,10.02,10179,123324,66544,66433,31023124,481000,12354,87155,19000,304,12,21323,829,3.4,20250
"Heat","Data Center","Value Chain","Data Center","CHN","2021-05-07","Central Asia",52,2949,250000,2,135000,450000,67688,11,3.2,48214,22,3139,23454,100000,17000000,1305,22345,10,3.12,18808,123324,34124,32020,29000000,383000,12454,17113,31000,274,14.3,15000,829,0.6,33750
"Natural Gas","Vehicle","Company Shuttle #2","Fleet Vehicle","CAN","2022-08-04","APAC",63,3584,400000,6,120000,300000,76855,10,2.68,51429,65,3139,34345,150000,14000000,1930,21234,8,5.4,14924,123324,66544,21396,35000000,367000,12354,15777,2966000,333,14.7,18608,829,3.9,36000
"Diesel","Stationary","9267 Contralia Cowter Ct","Comercial Building","GBR","2020-04-27","Central America",68,3197,350000,20,154000,350000,56634,30,5.99,66000,215,3560,43566,123678,15000000,1606,34543,10,12.14,12094,123324,45443,55367,31023124,360000,53423,17361,24000,297,13.2,21323,941,2.2,46200
"Refrigerant","Data Center","Business Travel FY20","Data Center","SGP","2021-04-24","South America",76,506,300000,26,154000,400000,76855,8,0.42,55000,280,3139,23454,123678,15000000,1965,34543,8,0.85,13619,123324,34124,55143,31023124,465000,12354,79068,2128000,47,14.1,18608,829,4.3,38500
"Cooling","Stationary","Billhaus CTAW P4A","Comercial Building","USA","2019-12-03","ANZ",62,990,250000,22,135000,500000,67688,27,0.24,28929,237,3139,34345,100000,17000000,700,21234,9,0.59,10579,123324,45443,85932,29000000,439000,53423,88754,25000,92,11.7,21323,829,3.6,20250
"Steam","Vehicle","981 Rue Housterton","Fleet Vehicle","JPN","2022-12-12","EMEA",93,377,400000,3,120000,450000,56634,15,2.52,34286,32,3560,43566,150000,14000000,1843,22345,9,5.15,11532,123324,66544,65868,35000000,457000,12454,1281,2324000,35,11.8,15000,941,3.1,24000
"Cooling","Stationary","JLP Square North","Comercial Building","FRA","2019-04-10","Europe",98,947,350000,16,120000,350000,67688,23,3.39,51429,172,3560,43566,100000,15000000,754,34543,3,6.87,16500,123324,34124,26704,31023124,390000,12354,89616,2818000,88,11.7,21323,941,3.2,36000
"Heat","Scope 3","Business Travel FY22","Scope 3","ARG","2020-10-31","Southeast Asia",92,3337,400000,6,135000,400000,76855,10,0.19,48214,65,3139,23454,123678,14000000,782,22345,4,0.37,11661,123324,66544,29927,35000000,455000,12454,18424,13000,310,10,15000,829,3.7,33750
"Electricity","Vehicle","9948 Contralia Cowter Ct","Fleet Vehicle","USA","2022-12-14","Central America",87,1550,400000,7,154000,300000,56634,11,0.24,44000,75,3560,34345,150000,17000000,850,21234,9,0.59,15091,123324,45443,74602,29000000,475000,53423,15034,2978000,144,11.9,18608,941,5.2,30800
"Natural Gas","Stationary","45 Keppely Rd 5C","Comercial Building","JPN","2021-01-27","Central Asia",54,3315,450000,22,120000,450000,67688,4,2.52,25714,237,3139,43566,150000,17000000,724,22345,10,5.15,11022,123324,34124,89474,35000000,404000,12354,99715,28000,308,10.9,21323,829,4.7,18000
"Steam","Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","Fleet Vehicle","IRL","2021-05-23","South America",70,2120,400000,18,154000,400000,56634,28,0.01,55000,194,3139,34345,123678,14000000,1643,21234,7,0.02,17702,123324,66544,43896,29000000,359000,53423,19198,28000,197,10.5,15000,829,1.9,38500
"Diesel","Vehicle","Los Angeles SMALL TRUCK 12-0024","Fleet Vehicle","AUS","2022-08-26","Central Asia",42,334,400000,14,135000,300000,76855,24,4.19,28929,151,3560,23454,100000,15000000,1744,34543,5,8.45,12529,123324,45443,77024,31023124,378000,12454,79337,2759000,31,14.3,18608,941,0.6,20250
"FuelOil","Data Center","Freight Hauling - downstream distribution FY21","Data Center","CAN","2019-09-01","EMEA",51,506,350000,26,135000,350000,76855,27,2.68,57857,280,3560,34345,123678,15000000,1010,22345,4,5.4,10539,123324,66544,76205,31023124,405000,12454,7784,14000,47,10,18608,941,2.7,40500
"Propane","Stationary","North Longs Peak","Comercial Building","ARG","2020-09-28","South America",58,1755,250000,23,120000,500000,56634,23,0.19,34286,248,3139,23454,150000,17000000,1268,34543,6,0.37,13069,123324,34124,21735,35000000,409000,12354,5471,2030000,163,14.4,15000,829,5.2,24000
"Refrigerant","Stationary","Straight St Tower 4","Comercial Building","AUS","2022-09-05","AMER",97,2347,400000,15,154000,450000,67688,4,4.19,55000,161,3560,43566,100000,14000000,2258,21234,5,8.45,15076,123324,45443,32862,29000000,357000,53423,84504,28000,218,11.4,21323,941,1.6,38500
"Diesel","Scope 3","*AMER Financed Emissions","Scope 3","FRA","2020-08-27","Europe",34,4510,400000,4,120000,300000,67688,9,3.39,25714,43,3560,23454,100000,17000000,1891,34543,8,6.87,13584,123324,34124,20297,35000000,419000,12454,96652,2075000,419,11.9,18608,941,1.7,18000
"Steam","Scope 3","Business Travel FY20","Scope 3","JPN","2019-04-03","Middle East",47,248,400000,12,154000,350000,76855,8,2.52,66000,129,3139,34345,150000,15000000,1857,21234,7,5.15,19539,123324,66544,37883,31023124,406000,12354,19570,32000,23,13.2,21323,829,5,46200
"FuelOil","Vehicle","Company Jet #1","Private Jet","MAR","2021-08-16","ANZ",81,1055,400000,9,135000,500000,56634,6,0.22,38571,97,3139,43566,123678,14000000,912,22345,4,0.45,11358,123324,45443,89144,29000000,416000,53423,16036,2685000,98,11,15000,829,3,27000
"Cooling","Stationary","West Longs Peak","Comercial Building","BRA","2020-12-16","South America",96,463,350000,2,120000,400000,56634,12,1.05,34286,22,3139,43566,100000,15000000,931,34543,7,2.13,13952,123324,66544,86413,29000000,468000,12454,85322,32000,43,13.8,21323,829,4.2,24000
"Natural Gas","Data Center","Value Chain","Data Center","USA","2021-11-12","North America",85,1109,400000,26,135000,450000,67688,19,0.24,28929,280,3139,23454,150000,14000000,1073,21234,10,0.59,17531,123324,34124,27670,31023124,404000,53423,4601,3113000,103,13.4,15000,829,1.9,20250
"Heat","Data Center","Freight Hauling - downstream distribution FY21","Data Center","GBR","2022-10-09","Central America",89,1894,250000,24,154000,300000,76855,22,5.99,55000,258,3560,34345,123678,17000000,1131,22345,8,12.14,15108,123324,45443,27166,35000000,350000,12354,3400,31000,176,12.5,18608,941,3.1,38500
"Electricity","Stationary","ARL-WQ7 DC 9W","Comercial Building","BRA","2019-03-24","Middle East",90,1851,450000,22,154000,400000,56634,29,1.05,66000,237,3560,23454,150000,14000000,2179,34543,9,2.13,15189,123324,66544,50852,35000000,440000,53423,6026,3166000,172,12.2,18608,941,1,46200
