Account.CUSTOM2,Account.CUSTOM3,Account_SALES_REP,Account_CITY,Account_STATE,ActivityDate,ACCOUNT_ID,Account_CUSTOMER_SITE,Account_REGION,ActivityType,Account_COUNTRY,Account_POSTAL_CODE,Account_CUSTOMER,Week,Account_CUSTOM1,Activities,Account_LAT,Account_LONG,Offset,ExpertHours
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,26/08/2019,A0002,Sure Store - Benton,Central,Visit,United States,17814,Sure Store,5/1/16,SMALL,3,36.35161,-94.2132,15984000,0
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,27/07/2019,A0002,Sure Store - Benton,Central,Email/Phone,United States,17814,Sure Store,4/1/16,SMALL,3,36.35161,-94.2132,18576000,6
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,27/07/2019,A0002,Sure Store - Benton,Central,Visit,United States,17814,Sure Store,4/1/16,SMALL,3,36.35161,-94.2132,18576000,0
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,26/06/2019,A0002,Sure Store - Benton,Central,Email/Phone,United States,17814,Sure Store,3/1/16,SMALL,1,36.35161,-94.2132,21254400,14
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,26/06/2019,A0002,Sure Store - Benton,Central,Visit,United States,17814,Sure Store,3/1/16,SMALL,2,36.35161,-94.2132,21254400,0
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,28/05/2019,A0002,Sure Store - Benton,Central,Email/Phone,United States,17814,Sure Store,2/1/16,SMALL,1,36.35161,-94.2132,23760000,17
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,28/05/2019,A0002,Sure Store - Benton,Central,Visit,United States,17814,Sure Store,2/1/16,SMALL,9,36.35161,-94.2132,23760000,0
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,27/04/2019,A0002,Sure Store - Benton,Central,Email/Phone,United States,17814,Sure Store,1/1/16,SMALL,7,36.35161,-94.2132,26438400,18
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,27/04/2019,A0002,Sure Store - Benton,Central,Visit,United States,17814,Sure Store,1/1/16,SMALL,5,36.35161,-94.2132,26438400,0
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,27/03/2019,A0002,Sure Store - Benton,Central,Email/Phone,United States,17814,Sure Store,12/1/15,SMALL,7,36.35161,-94.2132,29116800,19
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,27/03/2019,A0002,Sure Store - Benton,Central,Visit,United States,17814,Sure Store,12/1/15,SMALL,10,36.35161,-94.2132,29116800,0
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,25/02/2019,A0002,Sure Store - Benton,Central,Email/Phone,United States,17814,Sure Store,11/1/15,SMALL,4,36.35161,-94.2132,31708800,11
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,25/02/2019,A0002,Sure Store - Benton,Central,Visit,United States,17814,Sure Store,11/1/15,SMALL,4,36.35161,-94.2132,31708800,0
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,25/01/2019,A0002,Sure Store - Benton,Central,Email/Phone,United States,17814,Sure Store,10/1/15,SMALL,0,36.35161,-94.2132,34387200,14
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,25/01/2019,A0002,Sure Store - Benton,Central,Visit,United States,17814,Sure Store,10/1/15,SMALL,0,36.35161,-94.2132,34387200,0
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,26/12/2018,A0002,Sure Store - Benton,Central,Visit,United States,17814,Sure Store,9/1/15,SMALL,2,36.35161,-94.2132,36979200,0
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,26/12/2018,A0002,Sure Store - Benton,Central,Email/Phone,United States,17814,Sure Store,9/1/15,SMALL,4,36.35161,-94.2132,36979200,5
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,26/02/2020,A0003,Great Store USA - Pittsburgh,East,Email/Phone,United States,15006,Great Store USA,11/1/16,MEDIUM,5,40.45805,-80.0081,86400,2
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,26/02/2020,A0003,Great Store USA - Pittsburgh,East,Visit,United States,15006,Great Store USA,11/1/16,MEDIUM,1,40.45805,-80.0081,86400,0
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,26/02/2020,A0003,Great Store USA - Pittsburgh,East,Email/Phone,United States,15006,Great Store USA,11/1/16,MEDIUM,4,40.45805,-80.0081,86400,1
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,26/02/2020,A0003,Great Store USA - Pittsburgh,East,Visit,United States,15006,Great Store USA,11/1/16,MEDIUM,8,40.45805,-80.0081,86400,0
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,26/01/2020,A0003,Great Store USA - Pittsburgh,East,Email/Phone,United States,15006,Great Store USA,10/1/16,MEDIUM,1,40.45805,-80.0081,2764800,13
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,26/01/2020,A0003,Great Store USA - Pittsburgh,East,Visit,United States,15006,Great Store USA,10/1/16,MEDIUM,3,40.45805,-80.0081,2764800,0
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,26/01/2020,A0003,Great Store USA - Pittsburgh,East,Email/Phone,United States,15006,Great Store USA,10/1/16,MEDIUM,0,40.45805,-80.0081,2764800,11
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,26/01/2020,A0003,Great Store USA - Pittsburgh,East,Visit,United States,15006,Great Store USA,10/1/16,MEDIUM,6,40.45805,-80.0081,2764800,0
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,27/12/2019,A0003,Great Store USA - Pittsburgh,East,Email/Phone,United States,15006,Great Store USA,9/1/16,MEDIUM,3,40.45805,-80.0081,5356800,15
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,27/12/2019,A0003,Great Store USA - Pittsburgh,East,Visit,United States,15006,Great Store USA,9/1/16,MEDIUM,0,40.45805,-80.0081,5356800,0
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,27/12/2019,A0003,Great Store USA - Pittsburgh,East,Email/Phone,United States,15006,Great Store USA,9/1/16,MEDIUM,7,40.45805,-80.0081,5356800,7
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,27/12/2019,A0003,Great Store USA - Pittsburgh,East,Visit,United States,15006,Great Store USA,9/1/16,MEDIUM,11,40.45805,-80.0081,5356800,0
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,26/11/2019,A0003,Great Store USA - Pittsburgh,East,Email/Phone,United States,15006,Great Store USA,8/1/16,MEDIUM,2,40.45805,-80.0081,8035200,20
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,26/11/2019,A0003,Great Store USA - Pittsburgh,East,Visit,United States,15006,Great Store USA,8/1/16,MEDIUM,11,40.45805,-80.0081,8035200,0
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,26/11/2019,A0003,Great Store USA - Pittsburgh,East,Email/Phone,United States,15006,Great Store USA,8/1/16,MEDIUM,6,40.45805,-80.0081,8035200,6
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,26/11/2019,A0003,Great Store USA - Pittsburgh,East,Visit,United States,15006,Great Store USA,8/1/16,MEDIUM,1,40.45805,-80.0081,8035200,0
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,26/10/2019,A0003,Great Store USA - Pittsburgh,East,Email/Phone,United States,15006,Great Store USA,7/1/16,MEDIUM,0,40.45805,-80.0081,10713600,18
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,26/10/2019,A0003,Great Store USA - Pittsburgh,East,Visit,United States,15006,Great Store USA,7/1/16,MEDIUM,10,40.45805,-80.0081,10713600,0
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,26/10/2019,A0003,Great Store USA - Pittsburgh,East,Email/Phone,United States,15006,Great Store USA,7/1/16,MEDIUM,0,40.45805,-80.0081,10713600,2
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,26/10/2019,A0003,Great Store USA - Pittsburgh,East,Visit,United States,15006,Great Store USA,7/1/16,MEDIUM,5,40.45805,-80.0081,10713600,0
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,26/09/2019,A0003,Great Store USA - Pittsburgh,East,Email/Phone,United States,15006,Great Store USA,6/1/16,MEDIUM,5,40.45805,-80.0081,13305600,14
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,26/09/2019,A0003,Great Store USA - Pittsburgh,East,Visit,United States,15006,Great Store USA,6/1/16,MEDIUM,8,40.45805,-80.0081,13305600,0
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,26/09/2019,A0003,Great Store USA - Pittsburgh,East,Email/Phone,United States,15006,Great Store USA,6/1/16,MEDIUM,6,40.45805,-80.0081,13305600,12
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,26/09/2019,A0003,Great Store USA - Pittsburgh,East,Visit,United States,15006,Great Store USA,6/1/16,MEDIUM,8,40.45805,-80.0081,13305600,0
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,26/08/2019,A0003,Great Store USA - Pittsburgh,East,Email/Phone,United States,15006,Great Store USA,5/1/16,MEDIUM,3,40.45805,-80.0081,15984000,17
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,26/08/2019,A0003,Great Store USA - Pittsburgh,East,Visit,United States,15006,Great Store USA,5/1/16,MEDIUM,12,40.45805,-80.0081,15984000,0
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,26/08/2019,A0003,Great Store USA - Pittsburgh,East,Email/Phone,United States,15006,Great Store USA,5/1/16,MEDIUM,4,40.45805,-80.0081,15984000,7
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,26/08/2019,A0003,Great Store USA - Pittsburgh,East,Visit,United States,15006,Great Store USA,5/1/16,MEDIUM,7,40.45805,-80.0081,15984000,0
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,27/07/2019,A0003,Great Store USA - Pittsburgh,East,Email/Phone,United States,15006,Great Store USA,4/1/16,MEDIUM,0,40.45805,-80.0081,18576000,13
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,27/07/2019,A0003,Great Store USA - Pittsburgh,East,Visit,United States,15006,Great Store USA,4/1/16,MEDIUM,12,40.45805,-80.0081,18576000,0
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,27/07/2019,A0003,Great Store USA - Pittsburgh,East,Email/Phone,United States,15006,Great Store USA,4/1/16,MEDIUM,7,40.45805,-80.0081,18576000,3
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,27/07/2019,A0003,Great Store USA - Pittsburgh,East,Visit,United States,15006,Great Store USA,4/1/16,MEDIUM,0,40.45805,-80.0081,18576000,0
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,26/06/2019,A0003,Great Store USA - Pittsburgh,East,Email/Phone,United States,15006,Great Store USA,3/1/16,MEDIUM,3,40.45805,-80.0081,21254400,0
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,26/06/2019,A0003,Great Store USA - Pittsburgh,East,Visit,United States,15006,Great Store USA,3/1/16,MEDIUM,1,40.45805,-80.0081,21254400,0
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,26/06/2019,A0003,Great Store USA - Pittsburgh,East,Email/Phone,United States,15006,Great Store USA,3/1/16,MEDIUM,2,40.45805,-80.0081,21254400,16
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,26/06/2019,A0003,Great Store USA - Pittsburgh,East,Visit,United States,15006,Great Store USA,3/1/16,MEDIUM,6,40.45805,-80.0081,21254400,0
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,28/05/2019,A0003,Great Store USA - Pittsburgh,East,Email/Phone,United States,15006,Great Store USA,2/1/16,MEDIUM,1,40.45805,-80.0081,23760000,4
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,28/05/2019,A0003,Great Store USA - Pittsburgh,East,Visit,United States,15006,Great Store USA,2/1/16,MEDIUM,8,40.45805,-80.0081,23760000,0
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,28/05/2019,A0003,Great Store USA - Pittsburgh,East,Email/Phone,United States,15006,Great Store USA,2/1/16,MEDIUM,1,40.45805,-80.0081,23760000,9
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,28/05/2019,A0003,Great Store USA - Pittsburgh,East,Visit,United States,15006,Great Store USA,2/1/16,MEDIUM,5,40.45805,-80.0081,23760000,0
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,27/04/2019,A0003,Great Store USA - Pittsburgh,East,Email/Phone,United States,15006,Great Store USA,1/1/16,MEDIUM,5,40.45805,-80.0081,26438400,17
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,27/04/2019,A0003,Great Store USA - Pittsburgh,East,Visit,United States,15006,Great Store USA,1/1/16,MEDIUM,11,40.45805,-80.0081,26438400,0
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,27/04/2019,A0003,Great Store USA - Pittsburgh,East,Email/Phone,United States,15006,Great Store USA,1/1/16,MEDIUM,7,40.45805,-80.0081,26438400,17
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,27/04/2019,A0003,Great Store USA - Pittsburgh,East,Visit,United States,15006,Great Store USA,1/1/16,MEDIUM,8,40.45805,-80.0081,26438400,0
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,27/03/2019,A0003,Great Store USA - Pittsburgh,East,Email/Phone,United States,15006,Great Store USA,12/1/15,MEDIUM,0,40.45805,-80.0081,29116800,16
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,27/03/2019,A0003,Great Store USA - Pittsburgh,East,Visit,United States,15006,Great Store USA,12/1/15,MEDIUM,5,40.45805,-80.0081,29116800,0
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,27/03/2019,A0003,Great Store USA - Pittsburgh,East,Email/Phone,United States,15006,Great Store USA,12/1/15,MEDIUM,1,40.45805,-80.0081,29116800,15
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,27/03/2019,A0003,Great Store USA - Pittsburgh,East,Visit,United States,15006,Great Store USA,12/1/15,MEDIUM,5,40.45805,-80.0081,29116800,0
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,25/02/2019,A0003,Great Store USA - Pittsburgh,East,Email/Phone,United States,15006,Great Store USA,11/1/15,MEDIUM,0,40.45805,-80.0081,31708800,5
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,25/02/2019,A0003,Great Store USA - Pittsburgh,East,Visit,United States,15006,Great Store USA,11/1/15,MEDIUM,11,40.45805,-80.0081,31708800,0
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,25/02/2019,A0003,Great Store USA - Pittsburgh,East,Email/Phone,United States,15006,Great Store USA,11/1/15,MEDIUM,4,40.45805,-80.0081,31708800,8
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,25/02/2019,A0003,Great Store USA - Pittsburgh,East,Visit,United States,15006,Great Store USA,11/1/15,MEDIUM,5,40.45805,-80.0081,31708800,0
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,25/01/2019,A0003,Great Store USA - Pittsburgh,East,Email/Phone,United States,15006,Great Store USA,10/1/15,MEDIUM,1,40.45805,-80.0081,34387200,6
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,25/01/2019,A0003,Great Store USA - Pittsburgh,East,Visit,United States,15006,Great Store USA,10/1/15,MEDIUM,4,40.45805,-80.0081,34387200,0
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,25/01/2019,A0003,Great Store USA - Pittsburgh,East,Email/Phone,United States,15006,Great Store USA,10/1/15,MEDIUM,7,40.45805,-80.0081,34387200,12
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,25/01/2019,A0003,Great Store USA - Pittsburgh,East,Visit,United States,15006,Great Store USA,10/1/15,MEDIUM,11,40.45805,-80.0081,34387200,0
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,26/12/2018,A0003,Great Store USA - Pittsburgh,East,Email/Phone,United States,15006,Great Store USA,9/1/15,MEDIUM,4,40.45805,-80.0081,36979200,18
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,26/12/2018,A0003,Great Store USA - Pittsburgh,East,Visit,United States,15006,Great Store USA,9/1/15,MEDIUM,4,40.45805,-80.0081,36979200,0
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,26/12/2018,A0003,Great Store USA - Pittsburgh,East,Email/Phone,United States,15006,Great Store USA,9/1/15,MEDIUM,0,40.45805,-80.0081,36979200,19
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,26/12/2018,A0003,Great Store USA - Pittsburgh,East,Visit,United States,15006,Great Store USA,9/1/15,MEDIUM,11,40.45805,-80.0081,36979200,0
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,26/02/2020,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,Email/Phone,United States,7201,Alpine Nutrition,11/1/16,LARGE,1,40.6628,-74.1744,86400,13
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,26/02/2020,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,Visit,United States,7201,Alpine Nutrition,11/1/16,LARGE,6,40.6628,-74.1744,86400,0
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,26/02/2020,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,Email/Phone,United States,7201,Alpine Nutrition,11/1/16,LARGE,0,40.6628,-74.1744,86400,4
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,26/02/2020,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,Visit,United States,7201,Alpine Nutrition,11/1/16,LARGE,7,40.6628,-74.1744,86400,0
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,26/02/2020,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,Email/Phone,United States,7201,Alpine Nutrition,11/1/16,LARGE,0,40.6628,-74.1744,86400,12
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,26/02/2020,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,Visit,United States,7201,Alpine Nutrition,11/1/16,LARGE,3,40.6628,-74.1744,86400,0
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,26/01/2020,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,Email/Phone,United States,7201,Alpine Nutrition,10/1/16,LARGE,7,40.6628,-74.1744,2764800,20
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,26/01/2020,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,Visit,United States,7201,Alpine Nutrition,10/1/16,LARGE,1,40.6628,-74.1744,2764800,0
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,26/01/2020,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,Email/Phone,United States,7201,Alpine Nutrition,10/1/16,LARGE,2,40.6628,-74.1744,2764800,2
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,26/01/2020,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,Visit,United States,7201,Alpine Nutrition,10/1/16,LARGE,2,40.6628,-74.1744,2764800,0
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,26/01/2020,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,Email/Phone,United States,7201,Alpine Nutrition,10/1/16,LARGE,2,40.6628,-74.1744,2764800,20
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,26/01/2020,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,Visit,United States,7201,Alpine Nutrition,10/1/16,LARGE,12,40.6628,-74.1744,2764800,0
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,27/12/2019,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,Email/Phone,United States,7201,Alpine Nutrition,9/1/16,LARGE,3,40.6628,-74.1744,5356800,19
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,27/12/2019,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,Visit,United States,7201,Alpine Nutrition,9/1/16,LARGE,3,40.6628,-74.1744,5356800,0
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,27/12/2019,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,Email/Phone,United States,7201,Alpine Nutrition,9/1/16,LARGE,3,40.6628,-74.1744,5356800,6
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,27/12/2019,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,Visit,United States,7201,Alpine Nutrition,9/1/16,LARGE,3,40.6628,-74.1744,5356800,0
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,27/12/2019,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,Email/Phone,United States,7201,Alpine Nutrition,9/1/16,LARGE,7,40.6628,-74.1744,5356800,16
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,27/12/2019,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,Visit,United States,7201,Alpine Nutrition,9/1/16,LARGE,10,40.6628,-74.1744,5356800,0
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,26/11/2019,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,Email/Phone,United States,7201,Alpine Nutrition,8/1/16,LARGE,4,40.6628,-74.1744,8035200,19
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,26/11/2019,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,Visit,United States,7201,Alpine Nutrition,8/1/16,LARGE,2,40.6628,-74.1744,8035200,0
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,26/11/2019,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,Email/Phone,United States,7201,Alpine Nutrition,8/1/16,LARGE,7,40.6628,-74.1744,8035200,13
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,26/11/2019,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,Visit,United States,7201,Alpine Nutrition,8/1/16,LARGE,3,40.6628,-74.1744,8035200,0
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,26/11/2019,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,Email/Phone,United States,7201,Alpine Nutrition,8/1/16,LARGE,3,40.6628,-74.1744,8035200,12
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,26/11/2019,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,Visit,United States,7201,Alpine Nutrition,8/1/16,LARGE,11,40.6628,-74.1744,8035200,0
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,26/10/2019,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,Email/Phone,United States,7201,Alpine Nutrition,7/1/16,LARGE,2,40.6628,-74.1744,10713600,13
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,26/10/2019,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,Visit,United States,7201,Alpine Nutrition,7/1/16,LARGE,12,40.6628,-74.1744,10713600,0
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,26/10/2019,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,Email/Phone,United States,7201,Alpine Nutrition,7/1/16,LARGE,1,40.6628,-74.1744,10713600,0
Negative Growth over 20%,ALL RANGES,Sal Lobaugh,Elizabeth,NJ,26/10/2019,A0004,Alpine Nutrition Outlet (Jersey Gardens),East,Visit,United States,7201,Alpine Nutrition,7/1/16,LARGE,6,40.6628,-74.1744,10713600,0
