"Account_CUSTOMER_SITE","Status","OrderNumber","OrderID","AR","CreatedDate","DeliveryStatus","SFDC_Id","AccountOwner","OrderStartDate","Discount","Return","Rejection","OrderAmount"
"Jon Allegri","Shipped","210","8016A000002m7B2","60 - 90 Days","4/4/18","On Time","0016A00000OptWe","Valerie East","3/12/18",18,19,16,38562
"Larry Baxter","Shipped","208","8016A000002m7B0","90 - 120 Days","4/4/18","Late","0016A00000OptVj","Admin User","3/11/18",20,14,18,27840
"Larry Baxter","Shipped","211","8016A000002m7B3",">120 Days","4/4/18","Late","0016A00000OptVj","Admin User","3/19/18",32,19,10,84672
"Larry Baxter","Shipped","214","8016A000002m7B5","30 - 60 Days","4/4/18","Late","0016A00000OptVj","Admin User","6/3/18",18,11,11,90225
"Larry Baxter","Shipped","192","8016A000002m7Al","60 - 90 Days","4/4/18","Late","0016A00000OptVj","Admin User","3/10/18",21,17,10,45931
"Newton Farms","Shipped","271","8016A000002m7A1","90 - 120 Days","4/4/18","Late","0016A00000OptYD","Admin User","3/13/18",32,18,13,33310
"Newton Farms","Shipped","272","8016A000002m7A2",">120 Days","4/4/18","Late","0016A00000OptYD","Admin User","3/13/18",19,17,18,81341
"Newton Farms","Shipped","273","8016A000002m7A3","30 - 60 Days","4/4/18","Late","0016A00000OptYD","Admin User","3/13/18",29,18,17,95127
"Newton Farms","Shipped","274","8016A000002m7A4","60 - 90 Days","4/4/18","Late","0016A00000OptYD","Admin User","3/13/18",29,15,15,38780
"Newton Farms","Shipped","278","8016A000002m7A8","90 - 120 Days","4/4/18","Late","0016A00000OptYD","Admin User","3/13/18",25,13,18,41916
"Newton Farms","Shipped","279","8016A000002m7A9",">120 Days","4/4/18","Late","0016A00000OptYD","Admin User","3/13/18",31,14,18,69061
"Newton Farms","Shipped","280","8016A000002m7AA","30 - 60 Days","4/4/18","Late","0016A00000OptYD","Admin User","3/13/18",28,12,14,43920
"NTO Store - Ferry Plaza Market","Shipped","285","8016A000000ZKDu","60 - 90 Days","4/19/18","On Time","0016A00000OptXe","Chantelle Rep","4/19/18",21,12,10,63892
"NTO Store - Ferry Plaza Market","Shipped","282","8016A000002m7AC","90 - 120 Days","4/4/18","On Time","0016A00000OptXe","Chantelle Rep","4/3/18",25,16,13,95115
"NTO Store - Ferry Plaza Market","Picked","269","8016A000002m79z",">120 Days","4/4/18","Open","0016A00000OptXe","Chantelle Rep","1/12/18",16,12,13,42946
"NTO Store - Ferry Plaza Market","Picked","270","8016A000002m7A0","30 - 60 Days","4/4/18","Open","0016A00000OptXe","Chantelle Rep","2/12/18",35,19,15,67285
"NTO Store - Ferry Plaza Market","Picked","268","8016A000002m79y","60 - 90 Days","4/4/18","Open","0016A00000OptXe","Chantelle Rep","12/17/17",33,10,15,72321
"NTO Store - Ferry Plaza Market","Shipped","286","8016A000000ZKJA","90 - 120 Days","4/19/18","On Time","0016A00000OptXe","Chantelle Rep","4/19/18",34,16,13,31921
"NTO Store - Ferry Plaza Market","Shipped","284","8016A000000ZK5p",">120 Days","4/18/18","On Time","0016A00000OptXe","Chantelle Rep","4/18/18",32,18,12,55747
"NTO Store - Presidio","Open","247","8016A000002m79o","30 - 60 Days","4/4/18","Open","0016A00000OptW5","Chantelle Rep","10/11/17",25,18,13,85326
"NTO Store - Presidio","Open","248","8016A000002m79p","60 - 90 Days","4/4/18","Open","0016A00000OptW5","Chantelle Rep","11/7/17",29,15,10,62391
"NTO Store - Presidio","Picked","259","8016A000002m79u","90 - 120 Days","4/4/18","Open","0016A00000OptW5","Chantelle Rep","2/18/18",28,10,11,60546
"NTO Store - Presidio","Picked","260","8016A000002m79v",">120 Days","4/4/18","Open","0016A00000OptW5","Chantelle Rep","1/3/18",16,12,17,69930
"NTO Store - Presidio","Picked","261","8016A000002m79w","30 - 60 Days","4/4/18","Open","0016A00000OptW5","Chantelle Rep","10/6/17",35,20,14,94859
"Rachel Morris PA","Shipped","238","8016A000002m7FF","60 - 90 Days","4/4/18","Late","0016A00000OptVY","Admin User","1/19/18",24,12,13,89314
"Rachel Morris PA","Open","234","8016A000002m79f","90 - 120 Days","4/4/18","On Time","0016A00000OptVY","Admin User","1/17/18",26,13,18,33137
"Rachel Morris PA","Open","231","8016A000002m79g",">120 Days","4/4/18","Open","0016A00000OptVY","Admin User","1/12/18",17,11,12,33251
"Rachel Morris PA","Open","230","8016A000002m79h","30 - 60 Days","4/4/18","Open","0016A00000OptVY","Admin User","12/17/17",16,16,17,53949
"Rondel Store - San Francisco South","Open","241","8016A000002m79k","60 - 90 Days","4/4/18","Open","0016A00000OptX5","Chantelle Rep","10/4/17",27,19,10,58508
"Sure Store - Baxter","Open","136","8016A000002m7Aa","90 - 120 Days","4/4/18","Open","0016A00000OptWl","Andrea Admin","11/8/17",15,13,10,84337
"Sure Store - Baxter","Open","137","8016A000002m7Ab",">120 Days","4/4/18","Open","0016A00000OptWl","Andrea Admin","12/5/17",16,20,12,71376
"Sure Store - Baxter","Open","138","8016A000002m7Ac","30 - 60 Days","4/4/18","Open","0016A00000OptWl","Andrea Admin","1/21/18",24,11,10,44481
"Sure Store - Burlington","Open","121","8016A000002m7AN","60 - 90 Days","4/4/18","Open","0016A00000OptWF","Wendy West","10/24/17",34,20,12,92011
"Sure Store - Dallas","Open","143","8016A000002m7Ag","90 - 120 Days","4/4/18","Open","0016A00000OptYL","Ricky East","2/9/18",19,15,17,40782
"Sure Store - Dallas","Open","142","8016A000002m7Ah","30 - 60 Days","4/4/18","Open","0016A00000OptYL","Ricky East","11/22/17",25,17,11,49076
"Sure Store - Douglas","Allocated","118","8016A000002m7AK","60 - 90 Days","4/4/18","Open","0016A00000OptVg","Ricky East","12/25/17",22,11,11,68062
"Sure Store - Greene","Open","130","8016A000002m7AU","90 - 120 Days","4/4/18","Open","0016A00000OptYM","Kasey Central","2/4/18",23,16,18,80031
"Sure Store - Greene","Open","131","8016A000002m7AV",">120 Days","4/4/18","Open","0016A00000OptYM","Kasey Central","1/14/18",22,16,14,83330
"Sure Store - Houston","Allocated","117","8016A000002m7AJ","30 - 60 Days","4/4/18","Open","0016A00000OptW2","Ely East","2/4/18",29,20,11,58116
"Sure Store - Mecklenburg","Allocated","120","8016A000002m7AM","60 - 90 Days","4/4/18","Open","0016A00000OptYE","Cindy Central","2/20/18",32,15,17,53870
"Sure Store - Tulsa","Open","145","8016A000002m7Ai","90 - 120 Days","4/4/18","Open","0016A00000OptWC","Daryl Distributor","12/26/17",19,19,14,65824
"Sure Store - Tulsa","Open","144","8016A000002m7Aj",">120 Days","4/4/18","Open","0016A00000OptWC","Daryl Distributor","2/20/18",25,12,10,55842
"Tammy Baxter","Shipped","107","8016A000002m7AI","30 - 60 Days","4/4/18","Late","0016A00000OptVk","Admin User","2/8/18",34,15,11,52372
"Unknown Customer","Shipped","194","8016A000002m7An","60 - 90 Days","4/4/18","Late","0016A00000OptWn","Admin User","3/11/18",18,18,15,60468
"Unknown Customer","Shipped","195","8016A000002m7Ao","90 - 120 Days","4/4/18","Late","0016A00000OptWn","Admin User","3/11/18",26,15,15,52783
"Unknown Customer","Shipped","196","8016A000002m7Ap",">120 Days","4/4/18","Late","0016A00000OptWn","Admin User","3/11/18",18,15,14,95118
"Unknown Customer","Shipped","197","8016A000002m7Aq","30 - 60 Days","4/4/18","Late","0016A00000OptWn","Admin User","3/11/18",16,14,16,61083
"Unknown Customer","Shipped","198","8016A000002m7Ar","60 - 90 Days","4/4/18","Late","0016A00000OptWn","Admin User","3/11/18",23,18,15,66304
"Unknown Customer","Shipped","199","8016A000002m7As","90 - 120 Days","4/4/18","Late","0016A00000OptWn","Admin User","3/11/18",31,16,17,44190
"Unknown Customer","Shipped","200","8016A000002m7At",">120 Days","4/4/18","Late","0016A00000OptWn","Admin User","3/11/18",31,15,17,91014
"Unknown Customer","Shipped","201","8016A000002m7Au","30 - 60 Days","4/4/18","Late","0016A00000OptWn","Admin User","3/11/18",22,15,14,99462
"Unknown Customer","Shipped","202","8016A000002m7Av","60 - 90 Days","4/4/18","Late","0016A00000OptWn","Admin User","3/11/18",32,12,13,83222
"Unknown Customer","Shipped","203","8016A000002m7Aw","90 - 120 Days","4/4/18","Late","0016A00000OptWn","Admin User","3/11/18",18,13,11,71352
"Unknown Customer","Shipped","204","8016A000002m7Ax",">120 Days","4/4/18","Late","0016A00000OptWn","Admin User","3/11/18",28,15,10,74762
"Unknown Customer","Shipped","205","8016A000002m7Ay","30 - 60 Days","4/4/18","Late","0016A00000OptWn","Admin User","3/11/18",21,17,13,93785
"Unknown Customer","Shipped","206","8016A000002m7Az","60 - 90 Days","4/4/18","Late","0016A00000OptWn","Admin User","3/11/18",16,11,14,92277
"Unknown Customer","Shipped","213","8016A000002m7B4","90 - 120 Days","4/4/18","Late","0016A00000OptWn","Admin User","6/3/18",18,16,12,77025
"Unknown Customer","Shipped","215","8016A000002m7B6",">120 Days","4/4/18","On Time","0016A00000OptWn","Admin User","6/3/18",31,20,11,92316
"Unknown Customer","Allocated","216","8016A000002m7B7","30 - 60 Days","4/4/18","Open","0016A00000OptWn","Admin User","6/3/18",15,16,18,79638
"Unknown Customer","Shipped","217","8016A000002m7B8","60 - 90 Days","4/4/18","On Time","0016A00000OptWn","Admin User","6/3/18",27,19,17,61330
"Unknown Customer","Shipped","218","8016A000002m7B9","90 - 120 Days","4/4/18","On Time","0016A00000OptWn","Admin User","6/3/18",31,16,12,90061
"Unknown Customer","Allocated","219","8016A000002m7BA",">120 Days","4/4/18","Open","0016A00000OptWn","Admin User","6/3/18",33,11,13,67664
"Unknown Customer","Shipped","220","8016A000002m7BB","30 - 60 Days","4/4/18","On Time","0016A00000OptWn","Admin User","6/10/18",34,17,10,75161
"Unknown Customer","Shipped","222","8016A000002m7BD","60 - 90 Days","4/4/18","On Time","0016A00000OptWn","Admin User","7/28/18",15,10,11,39709
"Unknown Customer","Shipped","193","8016A000002m7Am","90 - 120 Days","4/4/18","On Time","0016A00000OptWn","Admin User","3/11/18",30,20,11,59044
"Huge Store - Fort Myers","Open","141","8016A000002m7BD",">120 Days","4/4/18","Open","0016A00000OptWPQAZ","Kasey Central","11/7/17",31,14,18,50580
"Huge Store - Fort Myers","Shipped","141","8016A000002m7Am","30 - 60 Days","4/4/18","On Time","0016A00000OptWPQAZ","Kasey Central","11/7/17",24,20,16,29117
