"ProductFamily","OwnerName","AccountId","ProductName","Time","ParentName","PeriodEndDate","SalesAgreementName","Industry","StartDate","DerivedStatus","ValidFrom","ValidFromAux","IdValidFromToKey","SnapshotPeriod","IsLatestSnapshot","AccountProductPeriodForecastId","ForecastStatus","ExternalId","LastProcessedDate","AccountType","PeriodStartDate","ValidToAux","ValidTo","PeriodName","AccountName","ForecastedQuantity","ForecastedDailyQuantityBAdj","ForecastedQuantityFinal","Attainment","TopAgreements","ForecastedRevenue","ForecastedDailyQuantity","Years","ForecastedRevenueFinal","Plan","TopAccounts","UnitPrice","Price","Forecast","ForecastedDailyRevenueBAdj","Actual","ForecastedDailyRevenue"
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","Alpine Energy Drink - Green Tea","2021-07-02","Ohana Technologies","2020-07-02","Anderson School District Sales Agreement","Consulting","2021-07-02","Upcoming Renewal","2020-04-10","2020-06-10","Momentum Design-Hammer H500-May-21-2021-05-15-2021-06-12","May2","Yes","Momentum Design-Hammer H500-May-21","Active","Account.045","2021-09-27","Mid-Market","2020-06-02","2020-07-09","2020-05-03","May-20","Anderson School District",2,0,2,99,0,4.1,0,2,9413,268,190000,2.05,2.05,283,280,280,314
"GoBar","Paul Morrison","0015e00000HchIAAAZ","GoBar Cranberry High Protein","2022-06-02","Ohana Technologies","2021-07-02","Anderson School District Sales Agreement","Consulting","2022-06-02","Approved","2021-04-24","2021-06-04","Momentum Design-Compactor 9000-May-21-2021-02-01-2021-02-17","Feb2","Yes","Momentum Design-Compactor 9000-May-21","Active","Account.045","2021-09-27","Mid-Market","2021-06-02","2021-07-06","2021-05-15","May-21","Anderson School District",2,0,2,99,0,5.98,0,2,17517,268,190000,2.99,2.99,283,540,280,584
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","BigfootBar Tart Cherry/Sunflower","2022-02-08","Ohana Technologies","2021-03-04","Anderson School District Sales Agreement","Consulting","2022-02-08","Approved","2021-01-25","2021-02-07","Momentum Design-Hammer H700-Sep-20-2020-07-19-2020-08-12","Jul","Yes","Momentum Design-Hammer H700-Sep-20","Active","Account.045","2021-09-27","Mid-Market","2021-02-02","2021-03-17","2021-02-18","Jan-21","Anderson School District",2,0,2,99,0,5.98,0,2,12188,268,190000,2.99,2.99,283,383,280,406
"BigfootBar","Paul Morrison","0015e00000HchIAAAZ","YetiBar Tart Cherry/Chicken Paleo","2022-08-25","Ohana Technologies","2021-09-01","Anderson School District Sales Agreement","Consulting","2022-08-25","Upcoming Renewal","2021-08-16","2021-08-05","Momentum Design-Ripper 37-Apr-20-2020-01-21-2020-02-04","Jan","Yes","Momentum Design-Ripper 37-Apr-20","Expired","Account.045","2021-09-27","Mid-Market","2021-08-02","2021-09-03","2021-09-01","Jul-21","Anderson School District",4,0,4,99,0,19.96,0,2,9408,268,190000,4.99,4.99,284,267,281,314
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","Alpine Energy Drink - Green Tea","2021-02-25","Ohana Technologies","2020-03-03","Anderson School District Sales Agreement","Consulting","2021-02-25","Approved","2020-03-01","2020-02-02","Momentum Design-Hammer H500-Feb-20-2020-02-10-2020-02-21","Feb","Yes","Momentum Design-Hammer H500-Feb-20","Active","Account.045","2021-09-27","Mid-Market","2020-02-02","2020-03-11","2020-03-25","Jan-20","Anderson School District",2,0,2,99,0,4.1,0,2,9112,268,190000,2.05,2.05,284,280,281,304
"BigfootBar","Paul Morrison","0015e00000HchIAAAZ","GoBar Mixed Berry","2022-08-05","Ohana Technologies","2021-09-01","Anderson School District Sales Agreement","Consulting","2022-08-05","Pending Approval","2021-04-10","2021-08-12","Momentum Design-Ripper 34-Nov-20-2020-07-18-2020-08-08","Jul","Yes","Momentum Design-Ripper 34-Nov-20","Expired","Account.045","2021-09-27","Mid-Market","2021-08-02","2021-09-13","2021-04-29","Jul-21","Anderson School District",5,0,5,99,0,14.95,0,2,6805,268,190000,2.99,2.99,285,225,282,227
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","YetiBar Cranberry/Bison Paleo","2022-07-16","Ohana Technologies","2021-08-01","Anderson School District Sales Agreement","Consulting","2022-07-16","Approved","2021-06-01","2021-07-07","Momentum Design-Pulverizer P10-Nov-21-2021-07-20-2021-08-19","Jul2","Yes","Momentum Design-Pulverizer P10-Nov-21","Expired","Account.045","2021-09-27","Mid-Market","2021-07-03","2021-08-02","2021-06-28","Jun-21","Anderson School District",2,0,2,99,0,9.98,0,2,9635,268,190000,4.99,4.99,285,300,282,321
"BigfootBar","Paul Morrison","0015e00000HchIAAAZ","YetiBar Tart Cherry/Bison Paleo","2022-02-11","Ohana Technologies","2021-03-04","Anderson School District Sales Agreement","Consulting","2022-02-11","Pending Approval","2020-12-03","2021-02-06","Momentum Design-Ripper 19-Sep-21-2021-08-29-2021-09-28","Aug2","Yes","Momentum Design-Ripper 19-Sep-21","Active","Account.045","2021-09-27","Mid-Market","2021-02-02","2021-03-17","2020-12-23","Jan-21","Anderson School District",8,0,8,99,0,39.92,0,2,6418,268,190000,4.99,4.99,285,213,282,214
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","Alpine Energy Drink - Green Tea","2022-10-04","Ohana Technologies","2021-11-01","Anderson School District Sales Agreement","Consulting","2022-10-04","Upcoming Renewal","2021-10-12","2021-10-10","Momentum Design-Hammer H500-Apr-21-2021-02-27-2021-03-11","Feb2","Yes","Momentum Design-Hammer H500-Apr-21","Active","Account.045","2021-09-27","Mid-Market","2021-10-03","2021-11-09","2021-11-07","Sep-21","Anderson School District",2,0,2,99,0,4.1,0,2,9557,268,190000,2.05,2.05,286,280,283,319
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","BigfootBar Cranberry/Pistachio","2022-02-08","Ohana Technologies","2021-03-04","Anderson School District Sales Agreement","Consulting","2022-02-08","Upcoming Renewal","2020-10-29","2021-02-02","Momentum Design-Sweeper S1000-Apr-21-2021-03-12-2021-03-25","Mar2","Yes","Momentum Design-Sweeper S1000-Apr-21","Active","Account.045","2021-09-27","Mid-Market","2021-02-02","2021-03-05","2020-11-27","Jan-21","Anderson School District",2,0,2,99,0,5.98,0,2,16116,268,190000,2.99,2.99,287,500,284,537
"BigfootBar","Paul Morrison","0015e00000HchIAAAZ","YetiBar Tart Cherry/Chicken Paleo","2023-01-13","Ohana Technologies","2022-02-01","Anderson School District Sales Agreement","Consulting","2023-01-13","Approved","2022-01-21","2022-01-02","Momentum Design-Ripper 37-Jan-20-2020-01-26-2020-02-13","Jan","Yes","Momentum Design-Ripper 37-Jan-20","Active","Account.045","2021-09-27","Mid-Market","2022-01-02","2022-02-02","2022-02-11","Dec-21","Anderson School District",4,0,4,99,0,19.96,0,2,8065,268,190000,4.99,4.99,288,267,285,269
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","YetiBar Cranberry/Bison Paleo","2022-12-03","Ohana Technologies","2022-01-01","Anderson School District Sales Agreement","Consulting","2022-12-03","Pending Approval","2021-11-09","2021-12-03","Momentum Design-Pulverizer P10-Nov-20-2020-10-29-2020-11-21","Oct","Yes","Momentum Design-Pulverizer P10-Nov-20","Active","Account.045","2021-09-27","Mid-Market","2021-12-03","2022-01-13","2021-12-03","Nov-21","Anderson School District",2,0,2,99,0,9.98,0,2,8997,268,190000,4.99,4.99,288,300,285,300
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","Alpine Energy Drink - Green Tea","2023-01-07","Ohana Technologies","2022-02-01","Anderson School District Sales Agreement","Consulting","2023-01-07","Upcoming Renewal","2021-07-30","2022-01-12","Momentum Design-Hammer H500-Oct-21-2021-06-21-2021-07-06","Jun2","Yes","Momentum Design-Hammer H500-Oct-21","Expired","Account.045","2021-09-27","Mid-Market","2022-01-02","2022-02-10","2021-08-11","Dec-21","Anderson School District",2,0,2,99,0,4.1,0,2,8440,268,190000,2.05,2.05,288,280,285,281
"YetiBar","Paul Morrison","0015e00000HchIAAAZ","YetiBar Blueberry/Bison Paleo","2023-01-14","Ohana Technologies","2022-02-01","Anderson School District Sales Agreement","Consulting","2023-01-14","Pending Approval","2021-08-06","2022-01-12","Momentum Design-Utility Broom UB1000-Jan-21-2020-09-27-2020-10-26","Sep","Yes","Momentum Design-Utility Broom UB1000-Jan-21","Active","Account.045","2021-09-27","Mid-Market","2022-01-02","2022-02-07","2021-08-19","Dec-21","Anderson School District",2,0,2,99,0,9.98,0,2,9328,268,190000,4.99,4.99,288,300,285,311
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","GoBar Veggie Vegan","2022-04-07","Ohana Technologies","2021-05-02","Anderson School District Sales Agreement","Consulting","2022-04-07","Pending Approval","2020-06-01","2020-04-07","Momentum Design-Trencher T60-Jun-20-2020-03-05-2020-03-19","Mar","Yes","Momentum Design-Trencher T60-Jun-20","Expired","Account.045","2021-09-27","Mid-Market","2020-04-02","2021-05-14","2020-06-21","Mar-20","Anderson School District",2,0,2,99,0,5.98,0,2,17963,402,190000,2.99,2.99,421,600,417,599
"BigfootBar","Paul Morrison","0015e00000HchIAAAZ","YetiBar Tart Cherry/Bison Paleo","2022-07-22","Ohana Technologies","2021-08-01","Anderson School District Sales Agreement","Consulting","2022-07-22","Pending Approval","2021-06-01","2021-07-04","Momentum Design-Ripper 19-Jan-20-2020-01-06-2020-02-04","Jan","Yes","Momentum Design-Ripper 19-Jan-20","Expired","Account.045","2021-09-27","Mid-Market","2021-07-03","2021-08-04","2021-06-16","Jun-21","Anderson School District",12,0,11,99,0,54.89,0,2,9169,402,190000,4.99,4.99,421,320,417,306
"BigfootBar","Paul Morrison","0015e00000HchIAAAZ","YetiBar Tart Cherry/Chicken Paleo","2021-06-06","Ohana Technologies","2020-07-02","Anderson School District Sales Agreement","Consulting","2021-06-06","Approved","2020-06-01","2020-06-10","Momentum Design-Ripper 37-Jul-20-2020-04-30-2020-05-19","Apr","Yes","Momentum Design-Ripper 37-Jul-20","Expired","Account.045","2021-09-27","Mid-Market","2020-06-02","2020-07-09","2020-06-16","May-20","Anderson School District",5,0,5,99,0,24.95,0,2,11796,402,190000,4.99,4.99,421,333,417,393
"BigfootBar","Paul Morrison","0015e00000HchIAAAZ","YetiBar Tart Cherry/Bison Paleo","2021-09-18","Ohana Technologies","2020-10-02","Anderson School District Sales Agreement","Consulting","2021-09-18","Upcoming Renewal","2020-02-08","2020-09-06","Momentum Design-Ripper 19-Dec-21-2021-12-27-2022-01-13","Dec2","Yes","Momentum Design-Ripper 19-Dec-21","Expired","Account.045","2021-09-27","Mid-Market","2020-09-02","2020-10-16","2020-02-18","Aug-20","Anderson School District",12,0,12,99,0,59.88,0,2,10241,402,190000,4.99,4.99,422,320,418,341
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","YetiBar Cranberry/Bison Paleo","2022-07-25","Ohana Technologies","2021-08-01","Anderson School District Sales Agreement","Consulting","2022-07-25","Upcoming Renewal","2021-02-13","2021-07-04","Momentum Design-Pulverizer P10-Jul-21-2021-07-17-2021-08-15","Jul2","Yes","Momentum Design-Pulverizer P10-Jul-21","Active","Account.045","2021-09-27","Mid-Market","2021-07-03","2021-08-01","2021-03-04","Jun-21","Anderson School District",3,0,3,99,0,14.97,0,2,14053,402,190000,4.99,4.99,423,450,418,468
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","BigfootBar Cranberry/Sunflower","2021-11-27","Ohana Technologies","2020-12-02","Anderson School District Sales Agreement","Consulting","2021-11-27","Approved","2020-08-06","2020-11-10","Momentum Design-Trencher T36-Nov-21-2021-09-27-2021-10-11","Sep2","Yes","Momentum Design-Trencher T36-Nov-21","Active","Account.045","2021-09-27","Mid-Market","2020-11-02","2020-12-10","2020-08-28","Oct-20","Anderson School District",2,0,2,99,0,5.98,0,2,12062,402,190000,2.99,2.99,424,400,420,402
"YetiBar","Paul Morrison","0015e00000HchIAAAZ","YetiBar Blueberry/Bison Paleo","2022-01-13","Ohana Technologies","2021-02-01","Anderson School District Sales Agreement","Consulting","2022-01-13","Approved","2021-01-08","2021-01-11","Momentum Design-Utility Broom UB1000-May-20-2020-03-09-2020-04-01","Mar","Yes","Momentum Design-Utility Broom UB1000-May-20","Active","Account.045","2021-09-27","Mid-Market","2021-01-02","2021-02-12","2021-02-06","Dec-20","Anderson School District",3,0,3,99,0,14.97,0,2,15575,402,190000,4.99,4.99,426,450,421,519
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","GoBar Veggie Vegan","2022-07-27","Ohana Technologies","2021-08-01","Anderson School District Sales Agreement","Consulting","2022-07-27","Upcoming Renewal","2020-11-10","2021-07-08","Momentum Design-Trencher T60-Mar-20-2020-02-27-2020-03-19","Feb","Yes","Momentum Design-Trencher T60-Mar-20","Active","Account.045","2021-09-27","Mid-Market","2021-07-03","2021-08-02","2020-11-25","Jun-21","Anderson School District",2,0,2,99,0,5.98,0,2,17934,402,190000,2.99,2.99,426,600,422,598
"YetiBar","Paul Morrison","0015e00000HchIAAAZ","BigfootBar Blueberry/Pistachio","2021-03-10","Ohana Technologies","2020-03-31","Anderson School District Sales Agreement","Consulting","2021-03-10","Pending Approval","2020-02-28","2020-03-06","Momentum Design-Pickup Broom PB100-Dec-21-2021-12-04-2021-12-28","Dec2","Yes","Momentum Design-Pickup Broom PB100-Dec-21","Active","Account.045","2021-09-27","Mid-Market","2020-03-04","2020-04-11","2020-03-20","Feb-20","Anderson School District",2,0,2,99,0,5.98,0,2,14938,402,190000,2.99,2.99,426,460,422,498
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","GoBar Veggie Vegan","2022-11-14","Ohana Technologies","2021-12-02","Anderson School District Sales Agreement","Consulting","2022-11-14","Pending Approval","2021-11-13","2021-11-07","Momentum Design-Trencher T60-Aug-20-2020-07-31-2020-08-20","Jul","Yes","Momentum Design-Trencher T60-Aug-20","Active","Account.045","2021-09-27","Mid-Market","2021-11-02","2021-12-14","2021-11-25","Oct-21","Anderson School District",2,0,2,99,0,5.98,0,2,19335,402,190000,2.99,2.99,426,600,422,645
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","BigfootBar Tart Cherry/Sunflower","2022-03-01","Ohana Technologies","2021-03-04","Anderson School District Sales Agreement","Consulting","2022-03-01","Approved","2020-11-07","2021-02-05","Momentum Design-Hammer H700-Jan-20-2020-01-28-2020-02-22","Jan","Yes","Momentum Design-Hammer H700-Jan-20","Expired","Account.045","2021-09-27","Mid-Market","2021-02-02","2021-03-08","2020-12-02","Jan-21","Anderson School District",2,0,2,99,0,5.98,0,2,11820,402,190000,2.99,2.99,426,383,422,394
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","YetiBar Cranberry/Chicken Paleo","2022-07-07","Ohana Technologies","2021-08-01","Anderson School District Sales Agreement","Consulting","2022-07-07","Upcoming Renewal","2021-07-07","2021-07-12","Momentum Design-Trencher T48-Feb-20-2020-01-30-2020-02-21","Jan","Yes","Momentum Design-Trencher T48-Feb-20","Expired","Account.045","2021-09-27","Mid-Market","2021-07-03","2021-08-07","2021-07-28","Jun-21","Anderson School District",2,0,2,99,0,9.98,0,2,14291,402,190000,4.99,4.99,426,427,422,476
"YetiBar","Paul Morrison","0015e00000HchIAAAZ","BigfootBar Blueberry/Pistachio","2022-06-02","Ohana Technologies","2021-07-02","Anderson School District Sales Agreement","Consulting","2022-06-02","Pending Approval","2021-06-21","2021-06-02","Momentum Design-Pickup Broom PB100-Aug-21-2021-03-17-2021-04-14","Mar2","Yes","Momentum Design-Pickup Broom PB100-Aug-21","Active","Account.045","2021-09-27","Mid-Market","2021-06-02","2021-07-16","2021-07-11","May-21","Anderson School District",2,0,2,99,0,5.98,0,2,14402,402,190000,2.99,2.99,427,460,423,480
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","BigfootBar Cranberry/Sunflower","2021-08-20","Ohana Technologies","2020-09-01","Anderson School District Sales Agreement","Consulting","2021-08-20","Approved","2020-04-19","2020-08-06","Momentum Design-Trencher T36-Apr-20-2020-04-30-2020-05-23","Apr","Yes","Momentum Design-Trencher T36-Apr-20","Expired","Account.045","2021-09-27","Mid-Market","2020-08-02","2020-09-13","2020-05-06","Jul-20","Anderson School District",2,0,2,99,0,5.98,0,2,11709,402,190000,2.99,2.99,427,400,423,390
"BigfootBar","Paul Morrison","0015e00000HchIAAAZ","Alpine Energy Drink - Chai","2022-03-07","Ohana Technologies","2021-04-01","Anderson School District Sales Agreement","Consulting","2022-03-07","Pending Approval","2020-11-29","2021-03-09","Momentum Design-Ripper 27-Nov-21-2021-10-02-2021-10-28","Oct2","Yes","Momentum Design-Ripper 27-Nov-21","Active","Account.045","2021-09-27","Mid-Market","2021-03-05","2021-04-04","2020-12-28","Feb-21","Anderson School District",10,0,9,99,0,18.45,0,2,9789,402,190000,2.05,2.05,427,333,423,326
"BigfootBar","Paul Morrison","0015e00000HchIAAAZ","GoBar Mixed Berry","2021-09-08","Ohana Technologies","2020-10-02","Anderson School District Sales Agreement","Consulting","2021-09-08","Upcoming Renewal","2020-08-31","2020-09-07","Momentum Design-Ripper 34-Oct-20-2020-10-28-2020-11-15","Oct","Yes","Momentum Design-Ripper 34-Oct-20","Active","Account.045","2021-09-27","Mid-Market","2020-09-02","2020-10-04","2020-09-18","Aug-20","Anderson School District",7,0,7,99,0,20.93,0,2,9077,402,190000,2.99,2.99,427,315,423,303
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","BigfootBar Cranberry/Pistachio","2023-01-15","Ohana Technologies","2022-02-01","Anderson School District Sales Agreement","Consulting","2023-01-15","Pending Approval","2022-01-04","2022-01-06","Momentum Design-Sweeper S1000-Sep-21-2021-04-30-2021-05-28","Apr2","Yes","Momentum Design-Sweeper S1000-Sep-21","Expired","Account.045","2021-09-27","Mid-Market","2022-01-02","2022-02-09","2022-01-25","Dec-21","Anderson School District",2,0,2,99,0,5.98,0,2,17107,402,190000,2.99,2.99,427,500,423,570
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","YetiBar Blueberry/Chicken Paleo","2021-08-15","Ohana Technologies","2020-09-01","Anderson School District Sales Agreement","Consulting","2021-08-15","Upcoming Renewal","2020-06-01","2020-08-09","Momentum Design-Pulverizer P20-Jun-20-2020-06-04-2020-07-04","Jun","Yes","Momentum Design-Pulverizer P20-Jun-20","Active","Account.045","2021-09-27","Mid-Market","2020-08-02","2020-09-10","2020-06-22","Jul-20","Anderson School District",3,0,3,99,0,14.97,0,2,16385,402,190000,4.99,4.99,427,475,423,546
"YetiBar","Paul Morrison","0015e00000HchIAAAZ","GoBar Apple Vegan","2022-06-29","Ohana Technologies","2021-07-02","Anderson School District Sales Agreement","Consulting","2022-06-29","Upcoming Renewal","2021-06-01","2021-06-09","Momentum Design-Pickup Broom PB200-Oct-21-2021-08-13-2021-09-06","Aug2","Yes","Momentum Design-Pickup Broom PB200-Oct-21","Expired","Account.045","2021-09-27","Mid-Market","2021-06-02","2021-07-13","2021-06-28","May-21","Anderson School District",2,0,2,99,0,5.98,0,2,17232,402,190000,2.99,2.99,428,500,423,574
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","BigfootBar Tart Cherry/Sunflower","2021-10-14","Ohana Technologies","2020-11-01","Anderson School District Sales Agreement","Consulting","2021-10-14","Upcoming Renewal","2020-09-07","2020-10-05","Momentum Design-Hammer H700-May-20-2020-04-30-2020-05-14","Apr","Yes","Momentum Design-Hammer H700-May-20","Active","Account.045","2021-09-27","Mid-Market","2020-10-03","2020-11-08","2020-10-01","Sep-20","Anderson School District",2,0,2,99,0,5.98,0,2,11906,402,190000,2.99,2.99,428,383,424,397
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","BigfootBar Cranberry/Sunflower","2022-07-31","Ohana Technologies","2021-08-01","Anderson School District Sales Agreement","Consulting","2022-07-31","Upcoming Renewal","2021-06-13","2021-07-04","Momentum Design-Trencher T36-Jul-21-2021-07-15-2021-07-31","Jul2","Yes","Momentum Design-Trencher T36-Jul-21","Active","Account.045","2021-09-27","Mid-Market","2021-07-03","2021-08-06","2021-06-28","Jun-21","Anderson School District",2,0,2,99,0,5.98,0,2,11527,402,190000,2.99,2.99,429,400,425,384
"BigfootBar","Paul Morrison","0015e00000HchIAAAZ","YetiBar Tart Cherry/Chicken Paleo","2022-04-02","Ohana Technologies","2021-05-02","Anderson School District Sales Agreement","Consulting","2022-04-02","Upcoming Renewal","2021-04-14","2020-04-12","Momentum Design-Ripper 37-Apr-21-2021-04-30-2021-05-11","Apr2","Yes","Momentum Design-Ripper 37-Apr-21","Active","Account.045","2021-09-27","Mid-Market","2020-04-02","2021-05-02","2021-05-13","Mar-20","Anderson School District",5,0,5,99,0,24.95,0,2,10793,402,190000,4.99,4.99,430,333,425,360
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","YetiBar Cranberry/Bison Paleo","2022-11-09","Ohana Technologies","2021-12-02","Anderson School District Sales Agreement","Consulting","2022-11-09","Upcoming Renewal","2021-11-10","2021-11-12","Momentum Design-Pulverizer P10-Mar-20-2020-11-12-2020-12-10","Nov","Yes","Momentum Design-Pulverizer P10-Mar-20","Active","Account.045","2021-09-27","Mid-Market","2021-11-02","2021-12-12","2021-12-05","Oct-21","Anderson School District",3,0,3,99,0,14.97,0,2,15088,402,190000,4.99,4.99,430,450,426,503
