"Closed","CreatedDate","LastProcessedDate","Account_Name","CloseDate","Amount"
"TRUE","2020-06-15","2022-04-08","NCI Building Systems, Inc","2020-10-23",20000
"TRUE","2020-04-15","2022-04-08","NCI Building Systems, Inc","2020-07-27",40000
"TRUE","2020-03-31","2022-04-08","NCI Building Systems, Inc","2020-09-29",4014
"FALSE","2021-05-07","2022-04-08","Xircom Inc","2021-10-30",780
"TRUE","2019-10-31","2022-04-08","Good Source Solutions Inc","2020-04-07",45000
"FALSE","2021-06-17","2022-04-08","Good Source Solutions Inc","2021-09-28",2332
"TRUE","2020-11-24","2022-04-08","Chubb Insurance","2021-04-21",300000
"TRUE","2020-05-25","2022-04-08","Valeant Pharmaceuticals International US","2020-09-28",200000
"TRUE","2020-06-16","2022-04-08","Business Life Magazine","2020-10-20",200000
"TRUE","2019-12-23","2022-04-08","Eight In One Pet Products","2020-06-06",19078
"FALSE","2021-02-21","2022-04-08","Bits & Byte Technologies Inc","2021-07-29",60000
"TRUE","2020-11-22","2022-04-08","Keystone Computer Associates Inc","2021-04-03",22000
"TRUE","2019-11-30","2022-04-08","Southern Finishing Systems","2020-04-10",10000
"FALSE","2021-05-23","2022-04-08","S&P Financial Communications","2021-10-22",4500
"TRUE","2019-09-09","2022-04-08","Previstar Inc","2019-10-19",348837
"TRUE","2020-05-31","2022-04-08","Distribution Data Inc","2020-11-11",24170
"TRUE","2019-08-13","2022-04-08","Lingo Systems","2020-01-13",15501
"TRUE","2021-03-13","2022-04-08","Marsha J Patterson Consulting","2021-04-18",50000
"TRUE","2021-04-22","2022-04-08","JusticeTrax INC","2021-07-21",150000
"TRUE","2020-03-30","2022-04-08","JusticeTrax INC","2020-08-07",232558
"TRUE","2020-06-24","2022-04-08","eOriginal","2020-11-01",775073
"TRUE","2021-01-19","2022-04-08","Bro Business Ctr","2021-05-04",163680
"TRUE","2021-01-21","2022-04-08","Mindshare","2021-06-17",50000
"TRUE","2019-11-06","2022-04-08","PipeVine","2020-04-06",80000
"TRUE","2019-08-29","2022-04-08","Unix Group, Inc","2019-11-01",232558
"TRUE","2020-02-19","2022-04-08","Sprint Business Solutions","2020-07-25",110000
"FALSE","2021-03-04","2022-04-08","Techmate International Inc","2021-08-09",9166
"TRUE","2020-04-26","2022-04-08","Real Call Inc","2020-08-02",11627
"FALSE","2021-06-21","2022-04-08","PRC Inc","2021-10-28",250000
"TRUE","2019-09-01","2022-04-08","Engineered Support Systems","2019-12-23",30000
"FALSE","2021-05-20","2022-04-08","E Realty Inc","2021-10-21",200000
"TRUE","2020-02-23","2022-04-08","E Realty Inc","2020-07-15",40000
"TRUE","2020-09-09","2022-04-08","E Realty Inc","2020-12-18",15
"FALSE","2021-06-19","2022-04-08","It Vineyard Inc","2021-10-23",13000
"TRUE","2020-06-01","2022-04-08","Infinity Commerce Corporation","2020-10-28",9600
"FALSE","2021-03-04","2022-04-08","Infinity Commerce Corporation","2021-08-03",289473
"TRUE","2020-10-04","2022-04-08","Arrow Financial Services","2021-01-31",20151
"TRUE","2020-05-05","2022-04-08","Marketing Outcomes","2020-10-02",15000
"FALSE","2021-06-10","2022-04-08","Marketing Outcomes","2021-09-13",25000
"TRUE","2020-10-28","2022-04-08","Marketing Outcomes","2021-02-09",90000
"FALSE","2021-06-10","2022-04-08","Bridgehead Group Ltd Inc","2021-11-09",149000
"TRUE","2019-12-31","2022-04-08","Bridgehead Group Ltd Inc","2020-05-12",10000
"FALSE","2021-06-12","2022-04-08","Integrys Energy Services","2021-09-30",15000
"TRUE","2019-10-10","2022-04-08","Exmark Manufacturing Co Inc","2019-11-11",15000
"TRUE","2019-10-26","2022-04-08","Gold Key Consulting","2020-03-28",10000
"TRUE","2019-12-03","2022-04-08","Suddath Relocation Systems of Minnesota","2020-02-04",46504
"TRUE","2019-11-29","2022-04-08","Suddath Relocation Systems of Minnesota","2020-04-07",12977
"TRUE","2019-08-25","2022-04-08","Burns & McDonnell Engineering Company","2020-01-20",61000
"FALSE","2021-05-27","2022-04-08","American Management Association International","2021-10-14",38617
"TRUE","2019-09-02","2022-04-08","Real Soft Inc","2020-01-05",30000
"TRUE","2020-10-20","2022-04-08","Nintendo of America","2021-01-11",500000
"TRUE","2020-06-29","2022-04-08","iLevel A Weyerhaeuser Business","2020-11-02",30000
"TRUE","2019-08-28","2022-04-08","Imagine Software","2019-09-23",290697
"TRUE","2019-11-24","2022-04-08","Interactive One","2020-02-02",821578
"TRUE","2020-03-31","2022-04-08","Arthur J. Gallagher Risk Management Services Inc","2020-07-23",101000
"TRUE","2020-02-18","2022-04-08","Konica Minolta Business Solutions","2020-07-15",4600
"TRUE","2020-10-23","2022-04-08","In2Change Inc","2021-01-21",105000
"FALSE","2021-07-11","2022-04-08","Securian Financial Group","2021-11-12",200
"TRUE","2019-09-13","2022-04-08","Securian Financial Group","2020-01-24",5000
"TRUE","2020-06-22","2022-04-08","DETERMINE Software","2020-10-30",250000
"TRUE","2020-03-31","2022-04-08","DETERMINE Software","2020-07-23",12269
"TRUE","2020-06-14","2022-04-08","DETERMINE Software","2020-11-01",11685
"TRUE","2021-04-21","2022-04-08","Professional Consulting Network    PCN","2021-07-18",23252
"TRUE","2021-03-10","2022-04-08","Icc Inc","2021-05-23",3613
"FALSE","2021-07-07","2022-04-08","CML Holdings International","2021-10-22",300000
"FALSE","2021-05-31","2022-04-08","Toledo Medical Imaging","2021-08-09",250000
"TRUE","2020-07-09","2022-04-08","Toledo Medical Imaging","2020-10-16",10000
"TRUE","2019-10-09","2022-04-08","Information Strategies","2020-02-10",18404
"TRUE","2019-11-15","2022-04-08","Fortech Software Consulting","2020-03-23",1560
"TRUE","2020-04-26","2022-04-08","Fortech Software Consulting","2020-05-01",145001
"TRUE","2021-02-13","2022-04-08","Deutsch Inc","2021-05-06",23252
"FALSE","2021-04-16","2022-04-08","Deutsch Inc","2021-08-20",116279
"TRUE","2020-08-19","2022-04-08","Intuit","2020-12-22",158860
"TRUE","2019-12-15","2022-04-08","EverythingHiTech","2020-04-21",200000
"TRUE","2019-12-14","2022-04-08","Rip Griffin Truck Service Center","2020-04-13",25000
"TRUE","2019-09-17","2022-04-08","Systems Integration Solutions Inc","2019-12-14",232522
"TRUE","2020-08-17","2022-04-08","Axcess International","2020-12-12",25301
"TRUE","2021-01-27","2022-04-08","Newgate Internet","2021-05-09",101000
"TRUE","2019-08-19","2022-04-08","Induslogic","2019-11-23",12269
"TRUE","2020-09-03","2022-04-08","NuSpeed Internet Systems","2020-10-29",15501
"TRUE","2021-02-18","2022-04-08","PharmaPrint","2021-05-17",31002
"TRUE","2020-03-22","2022-04-08","The Accounting Guild","2020-07-11",16867
"TRUE","2019-09-28","2022-04-08","The Accounting Guild","2020-01-22",16867
"TRUE","2019-10-26","2022-04-08","Pcm/Sarcom, Inc","2020-02-17",170000
"TRUE","2020-01-13","2022-04-08","Pcm/Sarcom, Inc","2020-03-01",265075
"FALSE","2021-07-03","2022-04-08","Pcm/Sarcom, Inc","2021-10-19",15000
"TRUE","2020-04-20","2022-04-08","Pcm/Sarcom, Inc","2020-06-05",193759
"TRUE","2020-09-16","2022-04-08","Pcm/Sarcom, Inc","2021-01-12",7000
"TRUE","2020-06-18","2022-04-08","Pcm/Sarcom, Inc","2020-10-26",100000
"FALSE","2021-07-06","2022-04-08","Pcm/Sarcom, Inc","2021-11-01",111000
"TRUE","2019-12-12","2022-04-08","Choice Hotels International","2020-04-04",20000
"TRUE","2020-10-08","2022-04-08","North Central Utilities Inc","2021-02-13",89488
"TRUE","2019-11-26","2022-04-08","H.J. Heinz Company","2020-03-27",0
"FALSE","2021-05-12","2022-04-08","Supervalu Operations Inc","2021-07-31",50000
"TRUE","2019-08-13","2022-04-08","Financial Industry Technical Services, Inc","2019-10-10",101000
"TRUE","2020-06-12","2022-04-08","Armature Inc","2020-09-28",5500
"TRUE","2020-01-11","2022-04-08","Rockport Information Services","2020-04-21",80000
"TRUE","2019-10-18","2022-04-08","Rockport Information Services","2020-02-03",19000
"TRUE","2020-09-25","2022-04-08","Intelect Technologies","2021-01-18",50000
"TRUE","2020-04-18","2022-04-08","Intelect Technologies","2020-08-04",360000
"TRUE","2020-01-02","2022-04-08","Harvard Business School","2020-03-22",1162
"TRUE","2021-01-16","2022-04-08","CoVisible Solutions   Inc","2021-05-16",0
"TRUE","2020-04-09","2022-04-08","Project One Inc","2020-08-11",3000
"TRUE","2020-01-17","2022-04-08","DataSoft Technologies   Inc","2020-04-24",110000
"TRUE","2020-09-20","2022-04-08","HandBridge Innovators","2020-10-16",35000
"TRUE","2020-01-03","2022-04-08","JAZ Consulting Group","2020-04-19",13054
"TRUE","2020-02-21","2022-04-08","Alterbrain","2020-02-21",15000
"TRUE","2020-09-20","2022-04-08","Alterbrain","2020-10-10",150000
"TRUE","2020-09-19","2022-04-08","InnoCentive","2020-10-15",30000
"TRUE","2020-01-12","2022-04-08","Tyler-Lawrence Inc","2020-04-26",46504
"TRUE","2020-11-01","2022-04-08","Tyler-Lawrence Inc","2021-01-26",30000
"TRUE","2021-01-17","2022-04-08","Tyler-Lawrence Inc","2021-05-21",2000
"TRUE","2020-03-23","2022-04-08","Tyler-Lawrence Inc","2020-05-11",1
"FALSE","2021-06-30","2022-04-08","Tyler-Lawrence Inc","2021-10-16",10000
"TRUE","2019-12-25","2022-04-08","Attebury Grain","2020-03-31",77507
"TRUE","2021-01-10","2022-04-08","Analytical Group Inc","2021-04-26",20000
"TRUE","2020-09-26","2022-04-08","Pioneer Hi  Bred International","2020-11-01",50000
"TRUE","2020-07-11","2022-04-08","Securities Dealing Systems","2020-10-22",35000
"TRUE","2020-01-10","2022-04-08","Securities Dealing Systems","2020-05-11",9000
"TRUE","2020-10-06","2022-04-08","Securities Dealing Systems","2020-11-13",58139
"TRUE","2019-08-17","2022-04-08","Professional business services","2019-11-02",50000
"TRUE","2020-03-31","2022-04-08","Spokane Washington Hospital Company","2020-06-27",10000
"TRUE","2020-11-09","2022-04-08","Powerdialers, Inc","2021-02-04",229000
"TRUE","2021-02-02","2022-04-08","Powerdialers, Inc","2021-04-17",100000
"TRUE","2021-03-16","2022-04-08","Xelan Inc","2021-05-16",50000
"TRUE","2021-02-11","2022-04-08","Lennox International","2021-05-06",100000
"TRUE","2019-12-19","2022-04-08","Horizon International Trading Inc","2020-03-31",270000
"TRUE","2020-06-17","2022-04-08","Pinnacle Frames and Accents","2020-08-06",85526
"TRUE","2020-04-11","2022-04-08","Marketing Associates","2020-08-09",50000
"TRUE","2020-10-22","2022-04-08","The Seminar Center","2020-11-17",10000
"TRUE","2019-11-13","2022-04-08","The Seminar Center","2020-01-12",50000
"TRUE","2020-07-18","2022-04-08","Itp Inc","2020-10-07",10000
"TRUE","2020-01-22","2022-04-08","Southeast Interactive Techs","2020-05-09",10075
"TRUE","2020-12-10","2022-04-08","Southeast Interactive Techs","2021-03-16",15000
"FALSE","2021-07-08","2022-04-08","Preferred Corporate Housing","2021-10-29",26122
"TRUE","2020-02-25","2022-04-08","Preferred Corporate Housing","2020-06-12",40000
"FALSE","2021-05-07","2022-04-08","Preferred Corporate Housing","2021-07-27",10000
"TRUE","2020-01-29","2022-04-08","Indus MIS","2020-04-12",112000
"TRUE","2021-04-06","2022-04-08","Abovo Marketing Group Inc","2021-07-23",190000
"TRUE","2019-07-29","2022-04-08","DCI HOLDINGS","2019-11-02",15000
"TRUE","2021-01-02","2022-04-08","Fund For Global Awakening","2021-03-19",150000
"TRUE","2019-10-30","2022-04-08","Muldavin Co","2020-01-20",10000
"TRUE","2019-08-07","2022-04-08","Glacier Real Estate Finance","2019-11-02",5000
"TRUE","2020-02-19","2022-04-08","Technocrats Consulting","2020-05-12",3470
"FALSE","2021-06-08","2022-04-08","merlin","2021-08-03",35000
"TRUE","2021-01-08","2022-04-08","Latitude Manufacturing Techs","2021-04-15",18000
"TRUE","2020-01-02","2022-04-08","Viapointe","2020-02-03",73619
"TRUE","2019-10-18","2022-04-08","Cost Engineering","2019-10-20",131000
"FALSE","2021-07-13","2022-04-08","Wavelink Corp.","2021-11-10",620
"TRUE","2021-01-20","2022-04-08","Walker Information","2021-05-02",295994
"TRUE","2020-08-16","2022-04-08","Kingland Systems Corp.","2020-11-10",30000
"TRUE","2020-04-01","2022-04-08","Diamond Entertainment Corporation","2020-07-17",8300
"TRUE","2019-10-21","2022-04-08","Sct Utility Systems Inc","2020-01-02",184000
"FALSE","2021-06-02","2022-04-08","Sct Utility Systems Inc","2021-08-07",150000
"TRUE","2020-03-14","2022-04-08","Sct Utility Systems Inc","2020-06-18",0
"TRUE","2019-09-14","2022-04-08","The Reinvestment Fund","2019-10-16",100000
"TRUE","2020-02-26","2022-04-08","Silicon Plains Technologies","2020-05-06",0
"TRUE","2020-04-30","2022-04-08","Digitron Media   Inc","2020-08-12",10000
"TRUE","2020-07-29","2022-04-08","Digitron Media   Inc","2020-11-07",155014
"TRUE","2019-11-05","2022-04-08","Strategic Planning Associates","2019-12-29",101000
"TRUE","2020-09-14","2022-04-08","eToys Direct, Inc","2020-10-31",101000
"TRUE","2020-10-15","2022-04-08","JointMaster","2021-01-27",29203
"TRUE","2021-01-10","2022-04-08","Mindspring Enterprises","2021-04-06",17500
"TRUE","2021-01-21","2022-04-08","JDI HOldings","2021-03-17",155014
"TRUE","2021-02-27","2022-04-08","Aaa First Express Inc","2021-04-26",166000
"TRUE","2020-06-06","2022-04-08","Aaa First Express Inc","2020-07-15",11000
"TRUE","2019-08-11","2022-04-08","Aaa First Express Inc","2019-10-26",105000
"TRUE","2020-07-24","2022-04-08","BMW Imaging","2020-10-03",197000
"TRUE","2019-12-13","2022-04-08","Y2 Marketing","2020-03-20",5000
"TRUE","2020-04-28","2022-04-08","Ain Plastics","2020-07-23",100000
"TRUE","2020-08-04","2022-04-08","J. Mading Group","2020-10-29",100000
"TRUE","2020-09-30","2022-04-08","Levi Ray & Shoup Inc","2020-11-01",50000
"TRUE","2019-08-13","2022-04-08","Circa Information","2019-10-08",135486
"TRUE","2020-01-18","2022-04-08","Finacity Corporation","2020-04-14",31002
"TRUE","2019-10-02","2022-04-08","Northwestern Mutual Financial","2019-11-03",105000
"TRUE","2019-10-03","2022-04-08","Northwestern Mutual Financial","2020-01-05",110000
"TRUE","2020-05-05","2022-04-08","Kensingtonhouse","2020-07-15",105000
"TRUE","2021-04-28","2022-04-08","Infor Global Solutions / Hampton Office","2021-07-20",30000
"TRUE","2020-08-18","2022-04-08","Execu Train","2020-10-29",100000
"TRUE","2020-04-03","2022-04-08","Washington Enterprise   LTD","2020-06-30",100000
"TRUE","2020-03-02","2022-04-08","Inovawar Corp","2020-05-18",100000
"TRUE","2020-02-11","2022-04-08","Inovawar Corp","2020-04-21",100000
"TRUE","2020-09-11","2022-04-08","Inovawar Corp","2020-10-17",61349
"TRUE","2020-09-15","2022-04-08","Thomas & Perkins, Inc","2020-10-31",34883
"TRUE","2019-11-14","2022-04-08","Clear Blue Marketing Network","2020-01-02",40000
"TRUE","2019-12-28","2022-04-08","Xerox / GIS / Comdoc   Inc","2020-03-22",25000
"TRUE","2020-09-21","2022-04-08","Intellistream Technologies Inc","2020-12-27",125000
"TRUE","2020-07-04","2022-04-08","Luminascent","2020-10-12",35000
"TRUE","2021-02-14","2022-04-08","Fibercycle Networks Inc","2021-04-13",2600
"TRUE","2020-02-05","2022-04-08","Fibercycle Networks Inc","2020-05-17",500000
"TRUE","2020-05-25","2022-04-08","CACI International Inc","2020-07-29",77507
"TRUE","2020-06-22","2022-04-08","Gulfsouth Pipeline","2020-09-21",0
"FALSE","2021-06-25","2022-04-08","Gulfsouth Pipeline","2021-07-27",500000
"TRUE","2020-02-05","2022-04-08","NETG Holding Inc","2020-04-25",100000
"FALSE","2021-07-02","2022-04-08","The Online Consulting Group","2021-09-27",12000
"TRUE","2019-10-28","2022-04-08","The Online Consulting Group","2020-01-13",150000
"TRUE","2021-03-27","2022-04-08","Timberline Software Corp.","2021-05-13",200000
"TRUE","2020-06-06","2022-04-08","Chipdata Inc","2020-07-23",620058
"TRUE","2020-05-12","2022-04-08","Stratcom Consulting","2020-06-23",47000
"TRUE","2019-10-07","2022-04-08","RLI Insurance Company","2020-01-05",105263
"TRUE","2019-07-29","2022-04-08","RLI Insurance Company","2019-10-11",101000
"TRUE","2021-06-02","2022-04-08","Aerospace Products International, Inc","2021-07-04",190000
"TRUE","2020-10-22","2022-04-08","PT Marketing Group","2021-01-20",150000
"TRUE","2019-12-01","2022-04-08","PT Marketing Group","2020-02-25",20151
"FALSE","2021-06-29","2022-04-08","Sunquest Information Systems","2021-08-13",100000
"TRUE","2021-02-19","2022-04-08","Williams Information Technology","2021-05-02",10000
"TRUE","2020-03-21","2022-04-08","Sunopta Ingredients","2020-06-12",10000
"TRUE","2020-11-27","2022-04-08","Dattar Systems Inc","2020-11-27",100000
"TRUE","2019-09-14","2022-04-08","Bluesuit Inc","2019-10-26",20000
"TRUE","2021-06-06","2022-04-08","CC Communications, Inc","2021-07-03",10000
"TRUE","2020-01-30","2022-04-08","Family Net Inc","2020-04-13",100000
"TRUE","2021-01-03","2022-04-08","Uniplex Software Inc","2021-01-24",70000
"TRUE","2020-01-17","2022-04-08","Cerner Radiology Info Systems","2020-03-04",60240
"TRUE","2020-01-28","2022-04-08","Kalmar Ac Inc","2020-04-16",0
"TRUE","2020-02-27","2022-04-08","Dana  Farber Cancer Institute","2020-04-11",200000
"TRUE","2020-09-28","2022-04-08","Dana  Farber Cancer Institute","2020-10-30",30000
"TRUE","2019-12-11","2022-04-08","Dana  Farber Cancer Institute","2020-03-14",30791
"TRUE","2019-11-17","2022-04-08","Webby Awards Inc","2020-01-12",65789
"TRUE","2020-10-22","2022-04-08","Adobe Digital Marketing","2021-01-26",50000
"TRUE","2021-01-23","2022-04-08","Partech International","2021-04-15",240963
"FALSE","2021-06-20","2022-04-08","Information Integration Inc","2021-09-16",60263
"TRUE","2020-12-27","2022-04-08","Information Integration Inc","2021-01-30",18404
"TRUE","2019-09-15","2022-04-08","Graviton   Inc","2019-10-03",1315
"TRUE","2021-04-01","2022-04-08","Analine Technologies","2021-04-21",58139
"TRUE","2021-01-09","2022-04-08","Provada - Now Gateway Insurance","2021-02-15",10000
"TRUE","2020-06-22","2022-04-08","CTB - McGraw-Hill Global Education Holdings","2020-09-22",5000
"TRUE","2021-02-10","2022-04-08","A  Wood   Inc","2021-05-02",20000
"TRUE","2019-08-14","2022-04-08","B&T Consulting","2019-11-14",2500
"FALSE","2021-07-02","2022-04-08","Revco International","2021-09-10",50000
"TRUE","2021-04-29","2022-04-08","experienceinc","2021-05-09",39997
"TRUE","2020-09-28","2022-04-08","experienceinc","2020-10-30",101000
"TRUE","2020-12-28","2022-04-08","Pedersen Media Group Inc","2021-01-07",749998
"TRUE","2021-03-14","2022-04-08","Lenel Systems International","2021-04-10",500000
"TRUE","2020-10-17","2022-04-08","Citadel Broadcasting","2021-01-01",120000
"TRUE","2020-08-10","2022-04-08","Citadel Broadcasting","2020-10-07",750000
"TRUE","2020-08-09","2022-04-08","Kenexa Learning Inc","2020-08-19",80000
"TRUE","2020-09-17","2022-04-08","Kenexa Learning Inc","2020-12-16",900000
"TRUE","2020-07-01","2022-04-08","Empress International Ltd.","2020-09-24",50000
"TRUE","2020-04-24","2022-04-08","Empress International Ltd.","2020-04-27",85889
"TRUE","2020-09-18","2022-04-08","Quest Diagnostics Incorporated MERGE","2020-11-13",0
"TRUE","2021-05-26","2022-04-08","Quest Diagnostics Incorporated MERGE","2021-06-27",77507
"TRUE","2020-11-07","2022-04-08","Iit Inc","2020-12-20",100759
"TRUE","2020-11-11","2022-04-08","Hampton  Haddon Marketing Corp","2021-01-14",387536
"TRUE","2021-02-19","2022-04-08","Hampton  Haddon Marketing Corp","2021-04-14",153374
"TRUE","2020-06-20","2022-04-08","Hampton  Haddon Marketing Corp","2020-08-18",15000
"TRUE","2020-02-20","2022-04-08","Satellink Communications","2020-05-04",4500
"TRUE","2021-06-08","2022-04-08","Satellink Communications","2021-07-10",65262
"TRUE","2019-12-12","2022-04-08","MK Incorporated","2020-02-11",1000000
"TRUE","2019-10-01","2022-04-08","MK Incorporated","2019-12-30",400000
"TRUE","2020-05-03","2022-04-08","LeadersOnline","2020-07-18",12000
"TRUE","2020-11-18","2022-04-08","Ambertek Systems Inc","2021-02-10",314744
"TRUE","2019-07-26","2022-04-08","Ambertek Systems Inc","2019-07-26",320000
"TRUE","2020-04-27","2022-04-08","Cutting Edge Software","2020-07-02",150000
"TRUE","2020-05-19","2022-04-08","Metro Publishing","2020-06-08",75000
"TRUE","2020-01-08","2022-04-08","Venture 2 Inc","2020-02-29",24800
"TRUE","2020-03-13","2022-04-08","Blue Cube Software Inc","2020-03-13",29065
"TRUE","2020-08-14","2022-04-08","Vanguard Consulting","2020-10-21",7750
"TRUE","2021-01-17","2022-04-08","Vanguard Consulting","2021-03-04",20000
"TRUE","2021-03-08","2022-04-08","Anza, Incorporated","2021-04-27",155014
"TRUE","2020-09-18","2022-04-08","Anza, Incorporated","2020-12-06",17372
"TRUE","2020-05-06","2022-04-08","Anza, Incorporated","2020-07-19",92024
"TRUE","2021-02-17","2022-04-08","Anza, Incorporated","2021-04-14",200000
"TRUE","2020-02-12","2022-04-08","Herbalife International","2020-04-14",0
"TRUE","2020-02-25","2022-04-08","Cleary Building Corp.","2020-05-06",155014
"TRUE","2020-01-26","2022-04-08","Digimax Multimedia Inc","2020-04-11",25000
"TRUE","2019-10-05","2022-04-08","Kindermusik International","2019-11-05",25000
"TRUE","2020-02-18","2022-04-08","Robinson Industries","2020-03-17",150000
"TRUE","2019-11-14","2022-04-08","Robinson Industries","2020-01-17",190000
"TRUE","2020-02-07","2022-04-08","Esterline Technologies Corporation","2020-04-24",5963
"TRUE","2020-08-01","2022-04-08","Esterline Technologies Corporation","2020-10-16",2000
"FALSE","2021-06-29","2022-04-08","Commonwealth Associates Group Holdings","2021-07-31",15501
"TRUE","2020-06-10","2022-04-08","Litchfield Group Inc","2020-08-18",155014
