"STM.ServiceResource.User.Name","DayOfWeek","STM.ServiceTerritory.Name","STM.TerritoryType","STM.ServiceResourceId","EndTime","STM.PostalCode","StartTime","STM.ServiceResource.User.Username","OperatingHoursId.Id","OperatingHoursId.TimeZone","STM.ServiceTerritoryId","STM.OperatingHours.TimeZone","StartTime_date","OperatingHoursId","EndTime_date","STM.ServiceTerritory.Country","STM.State","STM.ServiceResource.User.Email","STM.ServiceTerritory.City","Id","AvailableTime"
,"Saturday",,,,"14:00:00.000Z",,"10:00:00.000Z",,"0OH2X000000cU9nWAE","America/Los_Angeles",,,"2000-01-01T10:00:00.000Z","0OH2X000000cU9nWAE","2000-01-01T14:00:00.000Z",,,,,"0Gj2X000000cUN1SAM",240
,"Monday",,,,"18:00:00.000Z",,"08:00:00.000Z",,"0OH2X000000cU9oWAE","America/Los_Angeles",,,"2000-01-01T08:00:00.000Z","0OH2X000000cU9oWAE","2000-01-01T18:00:00.000Z",,,,,"0Gj2X000000cUN2SAM",600
,"Wednesday",,,,"18:00:00.000Z",,"08:00:00.000Z",,"0OH2X000000cU9oWAE","America/Los_Angeles",,,"2000-01-01T08:00:00.000Z","0OH2X000000cU9oWAE","2000-01-01T18:00:00.000Z",,,,,"0Gj2X000000cUN3SAM",600
,"Friday",,,,"18:00:00.000Z",,"08:00:00.000Z",,"0OH2X000000cU9oWAE","America/Los_Angeles",,,"2000-01-01T08:00:00.000Z","0OH2X000000cU9oWAE","2000-01-01T18:00:00.000Z",,,,,"0Gj2X000000cUN4SAM",600
,"Monday",,,,"14:30:00.000Z",,"08:15:00.000Z",,"0OH2X000000cU9pWAE","America/Los_Angeles",,,"2000-01-01T08:15:00.000Z","0OH2X000000cU9pWAE","2000-01-01T14:30:00.000Z",,,,,"0Gj2X000000cUN5SAM",375
,"Tuesday",,,,"17:30:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9pWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9pWAE","2000-01-01T17:30:00.000Z",,,,,"0Gj2X000000cUN6SAM",510
,"Wednesday",,,,"17:00:00.000Z",,"08:30:00.000Z",,"0OH2X000000cU9pWAE","America/Los_Angeles",,,"2000-01-01T08:30:00.000Z","0OH2X000000cU9pWAE","2000-01-01T17:00:00.000Z",,,,,"0Gj2X000000cUN7SAM",510
,"Thursday",,,,"17:00:00.000Z",,"08:30:00.000Z",,"0OH2X000000cU9pWAE","America/Los_Angeles",,,"2000-01-01T08:30:00.000Z","0OH2X000000cU9pWAE","2000-01-01T17:00:00.000Z",,,,,"0Gj2X000000cUN8SAM",510
,"Friday",,,,"14:30:00.000Z",,"08:30:00.000Z",,"0OH2X000000cU9pWAE","America/Los_Angeles",,,"2000-01-01T08:30:00.000Z","0OH2X000000cU9pWAE","2000-01-01T14:30:00.000Z",,,,,"0Gj2X000000cUN9SAM",360
,"Monday",,,,"21:00:00.000Z",,"06:00:00.000Z",,"0OH2X000000cU9qWAE","America/Los_Angeles",,,"2000-01-01T06:00:00.000Z","0OH2X000000cU9qWAE","2000-01-01T21:00:00.000Z",,,,,"0Gj2X000000cUNASA2",900
,"Wednesday",,,,"21:00:00.000Z",,"06:00:00.000Z",,"0OH2X000000cU9qWAE","America/Los_Angeles",,,"2000-01-01T06:00:00.000Z","0OH2X000000cU9qWAE","2000-01-01T21:00:00.000Z",,,,,"0Gj2X000000cUNBSA2",900
,"Tuesday",,,,"21:00:00.000Z",,"06:00:00.000Z",,"0OH2X000000cU9qWAE","America/Los_Angeles",,,"2000-01-01T06:00:00.000Z","0OH2X000000cU9qWAE","2000-01-01T21:00:00.000Z",,,,,"0Gj2X000000cUNCSA2",900
,"Thursday",,,,"21:00:00.000Z",,"06:00:00.000Z",,"0OH2X000000cU9qWAE","America/Los_Angeles",,,"2000-01-01T06:00:00.000Z","0OH2X000000cU9qWAE","2000-01-01T21:00:00.000Z",,,,,"0Gj2X000000cUNDSA2",900
,"Friday",,,,"21:00:00.000Z",,"06:00:00.000Z",,"0OH2X000000cU9qWAE","America/Los_Angeles",,,"2000-01-01T06:00:00.000Z","0OH2X000000cU9qWAE","2000-01-01T21:00:00.000Z",,,,,"0Gj2X000000cUNESA2",900
,"Saturday",,,,"21:00:00.000Z",,"06:00:00.000Z",,"0OH2X000000cU9qWAE","America/Los_Angeles",,,"2000-01-01T06:00:00.000Z","0OH2X000000cU9qWAE","2000-01-01T21:00:00.000Z",,,,,"0Gj2X000000cUNFSA2",900
,"Monday",,,,"18:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9rWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9rWAE","2000-01-01T18:00:00.000Z",,,,,"0Gj2X000000cUNGSA2",540
,"Monday",,,,"20:00:00.000Z",,"18:00:00.000Z",,"0OH2X000000cU9rWAE","America/Los_Angeles",,,"2000-01-01T18:00:00.000Z","0OH2X000000cU9rWAE","2000-01-01T20:00:00.000Z",,,,,"0Gj2X000000cUNHSA2",120
,"Tuesday",,,,"18:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9rWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9rWAE","2000-01-01T18:00:00.000Z",,,,,"0Gj2X000000cUNISA2",540
,"Wednesday",,,,"18:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9rWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9rWAE","2000-01-01T18:00:00.000Z",,,,,"0Gj2X000000cUNJSA2",540
,"Thursday",,,,"18:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9rWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9rWAE","2000-01-01T18:00:00.000Z",,,,,"0Gj2X000000cUNKSA2",540
,"Friday",,,,"18:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9rWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9rWAE","2000-01-01T18:00:00.000Z",,,,,"0Gj2X000000cUNLSA2",540
,"Saturday",,,,"18:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9rWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9rWAE","2000-01-01T18:00:00.000Z",,,,,"0Gj2X000000cUNMSA2",540
,"Sunday",,,,"18:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9rWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9rWAE","2000-01-01T18:00:00.000Z",,,,,"0Gj2X000000cUNNSA2",540
,"Tuesday",,,,"20:00:00.000Z",,"18:00:00.000Z",,"0OH2X000000cU9rWAE","America/Los_Angeles",,,"2000-01-01T18:00:00.000Z","0OH2X000000cU9rWAE","2000-01-01T20:00:00.000Z",,,,,"0Gj2X000000cUNOSA2",120
,"Wednesday",,,,"20:00:00.000Z",,"18:00:00.000Z",,"0OH2X000000cU9rWAE","America/Los_Angeles",,,"2000-01-01T18:00:00.000Z","0OH2X000000cU9rWAE","2000-01-01T20:00:00.000Z",,,,,"0Gj2X000000cUNPSA2",120
,"Thursday",,,,"20:00:00.000Z",,"18:00:00.000Z",,"0OH2X000000cU9rWAE","America/Los_Angeles",,,"2000-01-01T18:00:00.000Z","0OH2X000000cU9rWAE","2000-01-01T20:00:00.000Z",,,,,"0Gj2X000000cUNQSA2",120
,"Friday",,,,"20:00:00.000Z",,"18:00:00.000Z",,"0OH2X000000cU9rWAE","America/Los_Angeles",,,"2000-01-01T18:00:00.000Z","0OH2X000000cU9rWAE","2000-01-01T20:00:00.000Z",,,,,"0Gj2X000000cUNRSA2",120
,"Monday",,,,"11:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T11:00:00.000Z",,,,,"0Gj2X000000cUNSSA2",120
,"Monday",,,,"13:00:00.000Z",,"11:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T11:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T13:00:00.000Z",,,,,"0Gj2X000000cUNTSA2",120
,"Monday",,,,"15:00:00.000Z",,"13:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T13:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T15:00:00.000Z",,,,,"0Gj2X000000cUNUSA2",120
,"Monday",,,,"17:00:00.000Z",,"15:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T15:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T17:00:00.000Z",,,,,"0Gj2X000000cUNVSA2",120
,"Tuesday",,,,"11:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T11:00:00.000Z",,,,,"0Gj2X000000cUNWSA2",120
,"Tuesday",,,,"13:00:00.000Z",,"11:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T11:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T13:00:00.000Z",,,,,"0Gj2X000000cUNXSA2",120
,"Tuesday",,,,"15:00:00.000Z",,"13:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T13:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T15:00:00.000Z",,,,,"0Gj2X000000cUNYSA2",120
,"Tuesday",,,,"17:00:00.000Z",,"15:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T15:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T17:00:00.000Z",,,,,"0Gj2X000000cUNZSA2",120
,"Wednesday",,,,"11:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T11:00:00.000Z",,,,,"0Gj2X000000cUNaSAM",120
,"Wednesday",,,,"13:00:00.000Z",,"11:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T11:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T13:00:00.000Z",,,,,"0Gj2X000000cUNbSAM",120
,"Wednesday",,,,"15:00:00.000Z",,"13:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T13:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T15:00:00.000Z",,,,,"0Gj2X000000cUNcSAM",120
,"Wednesday",,,,"17:00:00.000Z",,"15:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T15:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T17:00:00.000Z",,,,,"0Gj2X000000cUNdSAM",120
,"Thursday",,,,"11:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T11:00:00.000Z",,,,,"0Gj2X000000cUNeSAM",120
,"Thursday",,,,"13:00:00.000Z",,"11:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T11:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T13:00:00.000Z",,,,,"0Gj2X000000cUNfSAM",120
,"Thursday",,,,"15:00:00.000Z",,"13:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T13:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T15:00:00.000Z",,,,,"0Gj2X000000cUNgSAM",120
,"Thursday",,,,"17:00:00.000Z",,"15:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T15:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T17:00:00.000Z",,,,,"0Gj2X000000cUNhSAM",120
,"Friday",,,,"11:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T11:00:00.000Z",,,,,"0Gj2X000000cUNiSAM",120
,"Friday",,,,"13:00:00.000Z",,"11:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T11:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T13:00:00.000Z",,,,,"0Gj2X000000cUNjSAM",120
,"Friday",,,,"15:00:00.000Z",,"13:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T13:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T15:00:00.000Z",,,,,"0Gj2X000000cUNkSAM",120
,"Friday",,,,"17:00:00.000Z",,"15:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T15:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T17:00:00.000Z",,,,,"0Gj2X000000cUNlSAM",120
,"Saturday",,,,"17:00:00.000Z",,"15:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T15:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T17:00:00.000Z",,,,,"0Gj2X000000cUNmSAM",120
,"Saturday",,,,"15:00:00.000Z",,"13:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T13:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T15:00:00.000Z",,,,,"0Gj2X000000cUNnSAM",120
,"Saturday",,,,"13:00:00.000Z",,"11:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T11:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T13:00:00.000Z",,,,,"0Gj2X000000cUNoSAM",120
,"Saturday",,,,"11:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T11:00:00.000Z",,,,,"0Gj2X000000cUNpSAM",120
,"Sunday",,,,"17:00:00.000Z",,"15:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T15:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T17:00:00.000Z",,,,,"0Gj2X000000cUNqSAM",120
,"Monday",,,,"19:00:00.000Z",,"17:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T17:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T19:00:00.000Z",,,,,"0Gj2X000000cUNrSAM",120
,"Tuesday",,,,"19:00:00.000Z",,"17:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T17:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T19:00:00.000Z",,,,,"0Gj2X000000cUNsSAM",120
,"Sunday",,,,"11:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T11:00:00.000Z",,,,,"0Gj2X000000cUNtSAM",120
,"Sunday",,,,"13:00:00.000Z",,"11:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T11:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T13:00:00.000Z",,,,,"0Gj2X000000cUNuSAM",120
,"Sunday",,,,"15:00:00.000Z",,"13:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T13:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T15:00:00.000Z",,,,,"0Gj2X000000cUNvSAM",120
,"Wednesday",,,,"19:00:00.000Z",,"17:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T17:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T19:00:00.000Z",,,,,"0Gj2X000000cUNwSAM",120
,"Thursday",,,,"19:00:00.000Z",,"17:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T17:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T19:00:00.000Z",,,,,"0Gj2X000000cUNxSAM",120
,"Friday",,,,"19:00:00.000Z",,"17:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T17:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T19:00:00.000Z",,,,,"0Gj2X000000cUNySAM",120
,"Saturday",,,,"19:00:00.000Z",,"17:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T17:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T19:00:00.000Z",,,,,"0Gj2X000000cUNzSAM",120
,"Sunday",,,,"19:00:00.000Z",,"17:00:00.000Z",,"0OH2X000000cU9sWAE","America/Los_Angeles",,,"2000-01-01T17:00:00.000Z","0OH2X000000cU9sWAE","2000-01-01T19:00:00.000Z",,,,,"0Gj2X000000cUO0SAM",120
,"Monday",,,,"17:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9tWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9tWAE","2000-01-01T17:00:00.000Z",,,,,"0Gj2X000000cUO1SAM",480
,"Tuesday",,,,"17:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9tWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9tWAE","2000-01-01T17:00:00.000Z",,,,,"0Gj2X000000cUO2SAM",480
,"Wednesday",,,,"17:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9tWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9tWAE","2000-01-01T17:00:00.000Z",,,,,"0Gj2X000000cUO3SAM",480
,"Thursday",,,,"17:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9tWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9tWAE","2000-01-01T17:00:00.000Z",,,,,"0Gj2X000000cUO4SAM",480
,"Friday",,,,"17:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9tWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9tWAE","2000-01-01T17:00:00.000Z",,,,,"0Gj2X000000cUO5SAM",480
,"Monday",,,,"18:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9uWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9uWAE","2000-01-01T18:00:00.000Z",,,,,"0Gj2X000000cUO6SAM",540
,"Tuesday",,,,"18:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9uWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9uWAE","2000-01-01T18:00:00.000Z",,,,,"0Gj2X000000cUO7SAM",540
,"Wednesday",,,,"18:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9uWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9uWAE","2000-01-01T18:00:00.000Z",,,,,"0Gj2X000000cUO8SAM",540
,"Thursday",,,,"18:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9uWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9uWAE","2000-01-01T18:00:00.000Z",,,,,"0Gj2X000000cUO9SAM",540
,"Friday",,,,"18:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9uWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9uWAE","2000-01-01T18:00:00.000Z",,,,,"0Gj2X000000cUOASA2",540
,"Saturday",,,,"18:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9uWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9uWAE","2000-01-01T18:00:00.000Z",,,,,"0Gj2X000000cUOBSA2",540
,"Sunday",,,,"18:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9uWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9uWAE","2000-01-01T18:00:00.000Z",,,,,"0Gj2X000000cUOCSA2",540
,"Monday",,,,"17:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9vWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9vWAE","2000-01-01T17:00:00.000Z",,,,,"0Gj2X000000cUODSA2",480
,"Tuesday",,,,"17:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9vWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9vWAE","2000-01-01T17:00:00.000Z",,,,,"0Gj2X000000cUOESA2",480
,"Wednesday",,,,"17:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9vWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9vWAE","2000-01-01T17:00:00.000Z",,,,,"0Gj2X000000cUOFSA2",480
,"Thursday",,,,"17:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9vWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9vWAE","2000-01-01T17:00:00.000Z",,,,,"0Gj2X000000cUOGSA2",480
,"Friday",,,,"17:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9vWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9vWAE","2000-01-01T17:00:00.000Z",,,,,"0Gj2X000000cUOHSA2",480
,"Monday",,,,"19:00:00.000Z",,"17:00:00.000Z",,"0OH2X000000cU9vWAE","America/Los_Angeles",,,"2000-01-01T17:00:00.000Z","0OH2X000000cU9vWAE","2000-01-01T19:00:00.000Z",,,,,"0Gj2X000000cUOISA2",120
,"Tuesday",,,,"19:00:00.000Z",,"17:00:00.000Z",,"0OH2X000000cU9vWAE","America/Los_Angeles",,,"2000-01-01T17:00:00.000Z","0OH2X000000cU9vWAE","2000-01-01T19:00:00.000Z",,,,,"0Gj2X000000cUOJSA2",120
,"Wednesday",,,,"19:00:00.000Z",,"17:00:00.000Z",,"0OH2X000000cU9vWAE","America/Los_Angeles",,,"2000-01-01T17:00:00.000Z","0OH2X000000cU9vWAE","2000-01-01T19:00:00.000Z",,,,,"0Gj2X000000cUOKSA2",120
,"Thursday",,,,"19:00:00.000Z",,"17:00:00.000Z",,"0OH2X000000cU9vWAE","America/Los_Angeles",,,"2000-01-01T17:00:00.000Z","0OH2X000000cU9vWAE","2000-01-01T19:00:00.000Z",,,,,"0Gj2X000000cUOLSA2",120
,"Friday",,,,"19:00:00.000Z",,"17:00:00.000Z",,"0OH2X000000cU9vWAE","America/Los_Angeles",,,"2000-01-01T17:00:00.000Z","0OH2X000000cU9vWAE","2000-01-01T19:00:00.000Z",,,,,"0Gj2X000000cUOMSA2",120
,"Saturday",,,,"17:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9vWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9vWAE","2000-01-01T17:00:00.000Z",,,,,"0Gj2X000000cUONSA2",480
,"Sunday",,,,"17:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9vWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9vWAE","2000-01-01T17:00:00.000Z",,,,,"0Gj2X000000cUOOSA2",480
,"Saturday",,,,"19:00:00.000Z",,"17:00:00.000Z",,"0OH2X000000cU9vWAE","America/Los_Angeles",,,"2000-01-01T17:00:00.000Z","0OH2X000000cU9vWAE","2000-01-01T19:00:00.000Z",,,,,"0Gj2X000000cUOPSA2",120
,"Sunday",,,,"19:00:00.000Z",,"17:00:00.000Z",,"0OH2X000000cU9vWAE","America/Los_Angeles",,,"2000-01-01T17:00:00.000Z","0OH2X000000cU9vWAE","2000-01-01T19:00:00.000Z",,,,,"0Gj2X000000cUOQSA2",120
