"Quarter","Status","Category","Record_ID","Customer_Name","Customer","Approved","Objectives","Category_Name","End_Date","Category_Cluster","Promo","Selected","Start_Date","of_Days","Breakeven_Uplift","RoI","Total_Promo_Sales","Total_Cannibalised_Sales","Total_Promo_Volume","Incremental_Volume","Total_Cannibalised_Volume"
"Q2","Approved","a1324000000BgxSAAS","a1I24000000qLSiEAM","SU Detail Consult","0012400000FKJcXAAX","true","Drive Trial","Leaf Tea","2015/06/05","Refreshment","P-000000115","true","2015/05/01",35,11,43,79380,-19051.2,147000,42630,-35280
"Q2","Approved","a1324000000BgxdAAC","a1I24000000qLTWEA2","Superunie Cluster","0012400000FKJchAAH","true","Maximise Gross Profit","Vitality Shots","2015/06/05","Baking Cooking & Spreading","P-000000165","true","2015/05/01",35,33,30,106000,-16960,200000,54000,-32000
"Q2","Approved","a1324000000BgxVAAS","a1I24000000qLUEEA2","Superunie Cluster","0012400000FKJchAAH","true","Drive Trial","Meat","2015/06/05","Foods","P-000000209","true","2015/05/01",35,20,27,101500,-27405,203000,71050,-54810
"Q2","Approved","a1324000000BgxIAAS","a1I24000000qLUYEA2","Superunie Cluster","0012400000FKJchAAH","true","Drive Volume","BCS_Margarines","2015/06/05","Baking Cooking & Spreading","P-000000229","true","2015/05/01",35,45,31,33120,-11592,92000,28520,-32200
"Q2","Approved","a1324000000BgxHAAS","a1I24000000qLXUEA2","Metro/Makro","0012400000FKJb5AAH","true","Drive Volume","BCS_Dressings","2015/06/05","Baking Cooking & Spreading","P-000000411","true","2015/05/08",28,8,49,99560,-33850.4,262000,89080,-89080
"Q2","Approved","a1324000000BgxXAAS","a1I24000000qLRPEA2","Others export","0012400000FKJbPAAX","true","Drive Volume","Oriental","2015/06/06","Foods","P-000000034","true","2015/05/02",35,7,21,94400,-35872,160000,56000,-60800
"Q2","Approved","a1324000000BgxcAAC","a1I24000000qLSaEAM","Others NL FS","0012400000FKJc8AAH","true","Maximise Gross Profit","Soup","2015/06/06","Foods","P-000000107","true","2015/05/23",14,15,17,45920,-16531.2,82000,25420,-29520
"Q2","Approved","a1324000000BgxSAAS","a1I24000000qLX6EAM","Bijeen Jumbo","0012400000EHCqmAAH","true","Maximise Gross Profit","Leaf Tea","2015/06/06","Refreshment","P-000000387","true","2015/05/16",21,31,47,47040,-16934.4,84000,32760,-30240
"Q2","Approved","a1324000000BgxPAAS","a1I24000000qLWtEAM","Etos","0012400000FKJalAAH","true","Drive Weight of Purchase","Fabric Conditioner","2015/06/07","Home Care","P-000000374","true","2015/05/10",28,21,9,106260,-23377.2,253000,86020,-55660
"Q2","Approved","a1324000000BgxdAAC","a1I24000000qLSdEAM","Others export","0012400000FKJbPAAX","true","Grow Market Share","Vitality Shots","2015/06/08","Baking Cooking & Spreading","P-000000110","true","2015/05/11",28,24,27,122010,-26842.2,249000,62250,-54780
"Q2","Approved","a1324000000BgxbAAC","a1I24000000qLX3EAM","Etos","0012400000FKJalAAH","true","Grow Market Share","Skin Cleansing","2015/06/09","Personal Care","P-000000384","true","2015/05/26",14,13,46,82800,-29808,180000,57600,-64800
"Q2","Approved","a1324000000BgxJAAS","a1I24000000qLRCEA2","Superunie Cluster","0012400000FKJchAAH","true","Grow Market Share","Breakfast","2015/06/10","Foods","P-000000021","true","2015/05/13",28,31,6,129250,-28435,235000,61100,-51700
"Q2","Approved","a1324000000BgxFAAS","a1I24000000qLTwEAM","Albert Heijn BV","0012400000EHCqiAAH","true","Drive Trial","BCS_Breakfast","2015/06/10","Baking Cooking & Spreading","P-000000191","true","2015/05/27",14,44,12,77280,-18547.2,138000,45540,-33120
"Q2","Approved","a1324000000BgxNAAS","a1I24000000qLViEAM","Schlecker","0012400000FKJcNAAX","true","Maximise Gross Profit","Dressings","2015/06/10","Foods","P-000000301","true","2015/05/27",14,37,21,89640,-25099.2,166000,46480,-46480
"Q2","Approved","a1324000000BgxOAAS","a1I24000000qLW1EAM","Superunie PlusRetail","0012400000FKJd6AAH","true","Maximise Gross Profit","Fabric Cleaning","2015/06/10","Home Care","P-000000320","true","2015/05/20",21,43,10,42120,-11372.4,117000,44460,-31590
"Q2","Approved","a1324000000BgxKAAS","a1I24000000qLWlEAM","Others NL FS","0012400000FKJc8AAH","true","Drive Frequency","CCA","2015/06/10","Foods","P-000000366","true","2015/05/13",28,14,47,111780,-32416.2,207000,55890,-60030
"Q2","Approved","a1324000000BgxRAAS","a1I24000000qLTDEA2","Others NL FS","0012400000FKJc8AAH","true","Drive Frequency","Ice Cream","2015/06/11","Refreshment","P-000000146","true","2015/05/07",35,14,47,60400,-8456,151000,51340,-21140
"Q2","Approved","a1324000000BgxRAAS","a1I24000000qLT0EAM","Metro/Makro","0012400000FKJb5AAH","true","Drive Volume","Ice Cream","2015/06/12","Refreshment","P-000000133","true","2015/05/22",21,39,50,142130,-18476.9,233000,72230,-30290
"Q2","Approved","a1324000000BgxQAAS","a1I24000000qLRcEAM","Superunie Coop","0012400000FKJcmAAH","true","Drive Penetration","Hair Care","2015/06/13","Personal Care","P-000000047","true","2015/05/30",14,31,31,59280,-22526.4,152000,45600,-57760
"Q2","Approved","a1324000000BgxWAAS","a1I24000000qLW3EAM","Variety Discount","0012400000FKJdVAAX","true","Maximise Gross Profit","Oral","2015/06/13","Personal Care","P-000000322","true","2015/05/23",21,38,36,88160,-9697.6,232000,92800,-25520
"Q2","Approved","a1324000000BgxSAAS","a1I24000000qLR0EAM","Superunie Cluster","0012400000FKJchAAH","true","Maximise Gross Profit","Leaf Tea","2015/06/14","Refreshment","P-000000009","true","2015/05/31",14,19,54,58860,-13537.8,109000,40330,-25070
"Q2","Approved","a1324000000BgxaAAC","a1I24000000qLVSEA2","Superunie Coop","0012400000FKJcmAAH","true","Grow Market Share","Skin Care","2015/06/14","Personal Care","P-000000285","true","2015/05/24",21,37,31,86500,-25085,173000,65740,-50170
"Q2","Approved","a1324000000BgxYAAS","a1I24000000qLWKEA2","Schlecker","0012400000FKJcNAAX","true","Drive Weight of Purchase","Other Frozen Food","2015/06/14","Refreshment","P-000000339","true","2015/05/10",35,7,24,118260,-34295.4,219000,61320,-63510
"Q2","Approved","a1324000000BgxPAAS","a1I24000000qLVkEAM","Metro/Makro","0012400000FKJb5AAH","true","Drive Frequency","Fabric Conditioner","2015/06/15","Home Care","P-000000303","true","2015/05/11",35,31,6,92000,-22080,184000,55200,-44160
"Q2","Approved","a1324000000BgxXAAS","a1I24000000qLUoEAM","Variety Discount","0012400000FKJdVAAX","true","Grow Market Share","Oriental","2015/06/15","Foods","P-000000245","true","2015/05/11",35,19,20,59280,-16598.4,104000,30160,-29120
"Q2","Approved","a1324000000BgxdAAC","a1I24000000qLWFEA2","Bijeen Jumbo","0012400000EHCqmAAH","true","Maximise Gross Profit","Vitality Shots","2015/06/16","Baking Cooking & Spreading","P-000000334","true","2015/06/02",14,9,39,44280,-6199.2,108000,30240,-15120
"Q2","Approved","a1324000000BgxNAAS","a1I24000000qLWmEAM","Metro/Makro","0012400000FKJb5AAH","true","Grow Market Share","Dressings","2015/06/16","Foods","P-000000367","true","2015/05/26",21,33,6,72800,-12376,182000,52780,-30940
"Q2","Approved","a1324000000BgxQAAS","a1I24000000qLS0EAM","Others NL FS","0012400000FKJc8AAH","true","Drive Trial","Hair Care","2015/06/17","Personal Care","P-000000071","true","2015/05/20",28,8,36,69540,-11821.8,114000,37620,-19380
"Q2","Approved","a1324000000BgxNAAS","a1I24000000qLTZEA2","Others NL FS","0012400000FKJc8AAH","true","Drive Weight of Purchase","Dressings","2015/06/17","Foods","P-000000168","true","2015/05/20",28,16,32,120000,-43200,250000,67500,-90000
"Q2","Approved","a1324000000BgxPAAS","a1I24000000qLRGEA2","Etos","0012400000FKJalAAH","true","Drive Trial","Fabric Conditioner","2015/06/18","Home Care","P-000000025","true","2015/05/14",35,21,24,59600,-10132,149000,40230,-25330
"Q2","Approved","a1324000000BgxKAAS","a1I24000000qLTcEAM","Others NL FS","0012400000FKJc8AAH","true","Drive Frequency","CCA","2015/06/18","Foods","P-000000171","true","2015/05/28",21,28,17,91140,-29164.8,186000,61380,-59520
"Q2","Approved","a1324000000BgxRAAS","a1I24000000qLTyEAM","Metro/Makro","0012400000FKJb5AAH","true","Maximise Gross Profit","Ice Cream","2015/06/21","Refreshment","P-000000193","true","2015/05/17",35,24,36,42240,-13939.2,96000,28800,-31680
"Q2","Approved","a1324000000BgxTAAS","a1I24000000qLWcEAM","AS Watson","0012400000EHCqsAAH","true","Drive Weight of Purchase","M&HDW","2015/06/21","Home Care","P-000000357","true","2015/06/07",14,20,22,49500,-5940,99000,25740,-11880
"Q2","Approved","a1324000000BgxcAAC","a1I24000000qLWqEAM","Superunie Cluster","0012400000FKJchAAH","true","Drive Weight of Purchase","Soup","2015/06/21","Foods","P-000000371","true","2015/05/24",28,27,54,137370,-43958.4,241000,93990,-77120
"Q2","Approved","a1324000000BgxVAAS","a1I24000000qLR2EAM","Superunie PlusRetail","0012400000FKJd6AAH","true","Maximise Gross Profit","Meat","2015/06/22","Foods","P-000000011","true","2015/05/25",28,30,39,88160,-13224,232000,90480,-34800
"Q2","Approved","a1324000000BgxcAAC","a1I24000000qLU1EAM","Superunie PlusRetail","0012400000FKJd6AAH","true","Maximise Gross Profit","Soup","2015/06/22","Foods","P-000000196","true","2015/05/25",28,27,6,110550,-39798,201000,76380,-72360
"Q2","Approved","a1324000000BgxPAAS","a1I24000000qLSUEA2","Superunie Coop","0012400000FKJcmAAH","true","Grow Market Share","Fabric Conditioner","2015/06/23","Home Care","P-000000101","true","2015/05/19",35,21,10,79910,-15982,131000,37990,-26200
"Q2","Approved","a1324000000BgxKAAS","a1I24000000qLThEAM","AS Watson","0012400000EHCqsAAH","true","Drive Weight of Purchase","CCA","2015/06/23","Foods","P-000000176","true","2015/05/19",35,8,46,52080,-14061.6,93000,32550,-25110
"Q2","Approved","a1324000000BgxbAAC","a1I24000000qLS2EAM","Superunie Sligro","0012400000FKJdLAAX","true","Drive Penetration","Skin Cleansing","2015/06/24","Personal Care","P-000000073","true","2015/06/03",21,7,38,69000,-17250,150000,60000,-37500
"Q2","Approved","a1324000000BgxFAAS","a1I24000000qLTFEA2","Superunie Coop","0012400000FKJcmAAH","true","Maximise Gross Profit","BCS_Breakfast","2015/06/24","Baking Cooking & Spreading","P-000000148","true","2015/06/10",14,15,26,137460,-19244.4,237000,82950,-33180
"Q2","Approved","a1324000000BgxNAAS","a1I24000000qLTSEA2","Albert Heijn BV","0012400000EHCqiAAH","true","Maximise Gross Profit","Dressings","2015/06/24","Foods","P-000000161","true","2015/06/03",21,37,52,71980,-18714.8,118000,29500,-30680
"Q2","Approved","a1324000000BgxLAAS","a1I24000000qLWDEA2","Deli XL","0012400000EHCqlAAH","true","Maximise Gross Profit","Cleaners","2015/06/25","Home Care","P-000000332","true","2015/05/28",28,18,44,42000,-12600,100000,40000,-30000
"Q2","Approved","a1324000000BgxQAAS","a1I24000000qLUvEAM","Deli XL","0012400000EHCqlAAH","true","Drive Weight of Purchase","Hair Care","2015/06/25","Personal Care","P-000000252","true","2015/05/28",28,9,53,75150,-17284.5,167000,41750,-38410
"Q2","Approved","a1324000000BgxbAAC","a1I24000000qLRgEAM","AS Watson","0012400000EHCqsAAH","true","Grow Market Share","Skin Cleansing","2015/06/26","Personal Care","P-000000051","true","2015/06/05",21,11,48,67260,-23541,118000,43660,-41300
"Q2","Approved","a1324000000BgxcAAC","a1I24000000qLVXEA2","Schlecker","0012400000FKJcNAAX","true","Drive Trial","Soup","2015/06/26","Foods","P-000000290","true","2015/06/12",14,11,16,125460,-46420.2,246000,71340,-91020
"Q2","Approved","a1324000000BgxVAAS","a1I24000000qLVfEAM","Schlecker","0012400000FKJcNAAX","true","Drive Volume","Meat","2015/06/26","Foods","P-000000298","true","2015/06/05",21,33,45,72500,-20300,125000,45000,-35000
"Q2","Approved","a1324000000BgxRAAS","a1I24000000qLVlEAM","Superunie PlusRetail","0012400000FKJd6AAH","true","Grow Market Share","Ice Cream","2015/06/27","Refreshment","P-000000304","true","2015/06/13",14,32,35,123200,-13552,224000,69440,-24640
"Q2","Approved","a1324000000BgxVAAS","a1I24000000qLWoEAM","Others NL FS","0012400000FKJc8AAH","true","Drive Volume","Meat","2015/06/27","Foods","P-000000369","true","2015/05/23",35,32,24,95760,-33516,168000,43680,-58800
"Q2","Approved","a1324000000BgxaAAC","a1I24000000qLRREA2","Superunie Sligro","0012400000FKJdLAAX","true","Drive Volume","Skin Care","2015/06/28","Personal Care","P-000000036","true","2015/05/24",35,27,17,83600,-22572,190000,47500,-51300
"Q2","Approved","a1324000000BgxZAAS","a1I24000000qLUdEAM","Others NL FS","0012400000FKJc8AAH","true","Drive Penetration","Ready to Drink","2015/06/28","Refreshment","P-000000234","true","2015/05/24",35,19,21,41760,-13363.2,87000,21750,-27840
"Q2","Approved","a1324000000BgxLAAS","a1I24000000qLRhEAM","Superunie Coop","0012400000FKJcmAAH","true","Maximise Gross Profit","Cleaners","2015/06/29","Home Care","P-000000052","true","2015/05/25",35,42,50,66880,-6688,176000,66880,-17600
"Q2","Approved","a1324000000BgxaAAC","a1I24000000qLWpEAM","Superunie PlusRetail","0012400000FKJd6AAH","true","Grow Market Share","Skin Care","2015/06/29","Personal Care","P-000000370","true","2015/05/25",35,40,43,65330,-18945.7,139000,48650,-40310
"Q2","Approved","a1324000000BgxbAAC","a1I24000000qLWrEAM","Others NL FS","0012400000FKJc8AAH","true","Maximise Gross Profit","Skin Cleansing","2015/06/30","Personal Care","P-000000372","true","2015/06/09",21,21,42,49780,-5475.8,131000,47160,-14410
"Q2","Approved","a1324000000BgxPAAS","a1I24000000qLTHEA2","Deli XL","0012400000EHCqlAAH","true","Drive Weight of Purchase","Fabric Conditioner","2015/07/01","Home Care","P-000000150","true","2015/06/17",14,14,17,42300,-8037,90000,26100,-17100
"Q2","Approved","a1324000000BgxKAAS","a1I24000000qLWOEA2","Others NL FS","0012400000FKJc8AAH","true","Drive Penetration","CCA","2015/07/01","Foods","P-000000343","true","2015/05/27",35,39,37,133110,-47919.6,261000,96570,-93960
"Q2","Approved","a1324000000BgxcAAC","a1I24000000qLX1EAM","Others NL FS","0012400000FKJc8AAH","true","Maximise Gross Profit","Soup","2015/07/01","Foods","P-000000382","true","2015/05/27",35,45,42,120960,-45964.8,216000,86400,-82080
"Q2","Approved","a1324000000BgxYAAS","a1I24000000qLRFEA2","Superunie Coop","0012400000FKJcmAAH","true","Grow Market Share","Other Frozen Food","2015/07/03","Refreshment","P-000000024","true","2015/06/05",28,19,47,44880,-7180.8,88000,29040,-14080
"Q2","Approved","a1324000000BgxcAAC","a1I24000000qLShEAM","Metro/Makro","0012400000FKJb5AAH","true","Maximise Gross Profit","Soup","2015/07/04","Foods","P-000000114","true","2015/05/30",35,21,13,63210,-15170.4,129000,43860,-30960
"Q2","Approved","a1324000000BgxdAAC","a1I24000000qLTKEA2","Schlecker","0012400000FKJcNAAX","true","Grow Market Share","Vitality Shots","2015/07/04","Baking Cooking & Spreading","P-000000153","true","2015/06/06",28,42,35,118800,-11880,216000,54000,-21600
"Q2","Approved","a1324000000BgxcAAC","a1I24000000qLU6EAM","Schlecker","0012400000FKJcNAAX","true","Maximise Gross Profit","Soup","2015/07/04","Foods","P-000000201","true","2015/05/30",35,26,20,47600,-15232,119000,44030,-38080
"Q2","Approved","a1324000000BgxWAAS","a1I24000000qLUKEA2","Variety Discount","0012400000FKJdVAAX","true","Maximise Gross Profit","Oral","2015/07/04","Personal Care","P-000000215","true","2015/06/20",14,31,51,103740,-22822.8,247000,93860,-54340
"Q2","Approved","a1324000000BgxYAAS","a1I24000000qLS5EAM","Others NL FS","0012400000FKJc8AAH","true","Maximise Gross Profit","Other Frozen Food","2015/07/05","Refreshment","P-000000076","true","2015/06/07",28,43,45,114920,-14939.6,221000,86190,-28730
"Q2","Approved","a1324000000BgxMAAS","a1I24000000qLTOEA2","Etos","0012400000FKJalAAH","true","Drive Frequency","Deo","2015/07/05","Personal Care","P-000000157","true","2015/06/07",28,20,52,101400,-15210,260000,88400,-39000
