"LastModifiedDate","Category_Cluster__c","LastReferencedDate","Category_Name__c","End_Date__c","Customer_Name__c","Customer__c","Name","Category_c_Cluster__c","Approved__c","Start_Date__c","IsDeleted","Objectives__c","Quarter__c","Category_c_Name","Selected__c","LastViewedDate","CurrencyIsoCode","SystemModstamp","Customer_c_Name","Category__c","CreatedDate","LastActivityDate","Id","Promo_Name__c","Status__c","Total_Cannibalised_Volume__c","Incremental_Volume__c","Total_Cannibalised_Sales__c","Promo_vs_Cannibalised_Sales__c","RoI__c","Total_Promo_Sales__c","Total_Promo_Volume__c","Promo_vs_Cannibalised_Volume__c","Breakeven__c","of_Days__c"
"2016/08/04","Beauty - Hair Care",,"Oil","2015/09/02","Bijeen Jumbo","0015800000GgZGUAA3","Bijeen Jumbo: Fabric Cleaning - Aug 2015","Beauty - Hair Care","true","2015/08/12","false","Drive Volume","Q3","Oil","true",,"EUR","2016/08/04","Bijeen Jumbo","a1358000000Ag7XAAS","2016/08/04",,"a1I58000001vt8uEAA","Bijeen Jumbo: Oil - Aug 2015","Approved",-54870,60180,-14819.01,69,27,47803.27,177000,69,39,21
"2016/08/04","Health",,"Supplements - Daily","2015/07/06","Superunie PlusRetail","0015800000GgZGeAAN","Superunie PlusRetail: BCS_Breakfast - Jun 2015","Health","true","2015/06/08","false","Grow Market Share","Q2","Supplements - Daily","true",,"EUR","2016/08/04","Superunie PlusRetail","a1358000000Ag7TAAS","2016/08/04",,"a1I58000001vt90EAA","Superunie PlusRetail: Supplements - Daily - Jun 2015","Approved",-27610,75300,-8867.51,89,22,80613.73,251000,89,26,28
"2016/08/04","Beauty - Skin Care",,"Protection","2015/10/15","SU Detail Consult","0015800000GgZGcAAN","SU Detail Consult: CCA - Oct 2015","Beauty - Skin Care","true","2015/10/01","false","Grow Market Share","Q4","Protection","true",,"EUR","2016/08/04","SU Detail Consult","a1358000000Ag7bAAC","2016/08/04",,"a1I58000001vt91EAA","SU Detail Consult: Protection - Oct 2015","Approved",-25270,35910,-9776.06,81,7,51452.93,133000,81,29,14
"2016/08/04","Beauty - Skin Care",,"Moisturiser","2015/08/28","Bijeen Jumbo","0015800000GgZGUAA3","Bijeen Jumbo: Breakfast - Jul 2015","Beauty - Skin Care","true","2015/07/24","false","Grow Market Share","Q3","Moisturiser","true",,"EUR","2016/08/04","Bijeen Jumbo","a1358000000Ag7ZAAS","2016/08/04",,"a1I58000001vt92EAA","Bijeen Jumbo: Moisturiser - Jul 2015","Approved",-14100,45120,-4631.42,90,8,46314.21,141000,90,27,35
"2016/08/04","Food - Snacks",,"Individual Packs","2015/11/27","Others NL FS","0015800000GgZGfAAN","Others NL FS: Ice Cream - Oct 2015","Food - Snacks","true","2015/10/23","false","Maximise Gross Profit","Q4","Individual Packs","true",,"EUR","2016/08/04","Others NL FS","a1358000000Ag7UAAS","2016/08/04",,"a1I58000001vt93EAA","Others NL FS: Individual Packs - Oct 2015","Approved",-17010,20250,-6083.91,79,44,28971.01,81000,79,33,35
"2016/08/04","Food - Snacks",,"Individual Packs","2015/09/10","Others NL FS","0015800000GgZGfAAN","Others NL FS: Ice Cream - Aug 2015","Food - Snacks","true","2015/08/06","false","Drive Frequency","Q3","Individual Packs","true",,"EUR","2016/08/04","Others NL FS","a1358000000Ag7UAAS","2016/08/04",,"a1I58000001vt95EAA","Others NL FS: Individual Packs - Aug 2015","Approved",-22080,25760,-9831.31,76,34,40963.8,92000,76,7,35
"2016/08/04","Drink",,"Water - Home","2015/10/15","Superunie Cluster","0015800000GgZGdAAN","Superunie Cluster: Vitality Shots - Oct 2015","Drink","true","2015/10/01","false","Grow Market Share","Q4","Water - Home","true",,"EUR","2016/08/04","Superunie Cluster","a1358000000Ag7fAAC","2016/08/04",,"a1I58000001vt96EAA","Superunie Cluster: Water - Home - Oct 2015","Approved",-44080,37120,-13835.43,62,44,36409.02,116000,62,42,14
"2016/08/04","Beauty - Hair Care",,"Shampoo","2015/11/07","Best Buy","0015800000GgZGgAAN","Superunie Sligro: Cleaners - Oct 2015","Beauty - Hair Care","true","2015/10/17","false","Drive Volume","Q4","Shampoo","true",,"EUR","2016/08/04","Best Buy","a1358000000Ag7QAAS","2016/08/04",,"a1I58000001vt98EAA","Best Buy: Shampoo - Oct 2015","Approved",-63250,73370,-18928.97,75,8,75715.88,253000,75,26,21
"2016/08/04","Food - Ingredients",,"Baking","2015/06/13","Superunie Coop","0015800000GgZGaAAN","Superunie Coop: Hair Care - May 2015","Food - Ingredients","true","2015/05/30","false","Drive Penetration","Q2","Baking","true",,"EUR","2016/08/04","Superunie Coop","a1358000000Ag7PAAS","2016/08/04",,"a1I58000001vt99EAA","Superunie Coop: Baking - May 2015","Approved",-57760,45600,-16442.75,62,31,43270.39,152000,62,31,14
"2016/08/04","Food - Snacks",,"Individual Packs","2015/08/18","Deli XL","0015800000GgZGVAA3","Deli XL: Ice Cream - Jul 2015","Food - Snacks","true","2015/07/14","false","Drive Frequency","Q3","Individual Packs","true",,"EUR","2016/08/04","Deli XL","a1358000000Ag7UAAS","2016/08/04",,"a1I58000001vt9BEAQ","Deli XL: Individual Packs - Jul 2015","Approved",-48300,71400,-14807.41,77,9,64380.03,210000,77,26,35
"2016/08/04","Drink",,"Water - Clear","2015/08/06","Others DI online","0015800000GgZGZAA3","Others DI online: Skin Cleansing - Jul 2015","Drink","true","2015/07/02","false","Maximise Gross Profit","Q3","Water - Clear","true",,"EUR","2016/08/04","Others DI online","a1358000000Ag7RAAS","2016/08/04",,"a1I58000001vt9CEAQ","Others DI online: Water - Clear - Jul 2015","Approved",-61940,65200,-21249.64,62,33,55920.12,163000,62,20,35
"2016/08/04","Drink",,"Water - Clear","2015/06/26","AS Watson","0015800000GgZGTAA3","AS Watson: Skin Cleansing - Jun 2015","Drink","true","2015/06/05","false","Grow Market Share","Q2","Water - Clear","true",,"EUR","2016/08/04","AS Watson","a1358000000Ag7RAAS","2016/08/04",,"a1I58000001vt9DEAQ","AS Watson: Water - Clear - Jun 2015","Approved",-41300,43660,-17183.34,65,48,49095.25,118000,65,11,21
"2016/08/04","Beauty - Hair Care",,"Shampoo","2015/06/29","Superunie Coop","0015800000GgZGaAAN","Superunie Coop: Cleaners - May 2015","Beauty - Hair Care","true","2015/05/25","false","Maximise Gross Profit","Q2","Shampoo","true",,"EUR","2016/08/04","Superunie Coop","a1358000000Ag7QAAS","2016/08/04",,"a1I58000001vt9EEAQ","Superunie Coop: Shampoo - May 2015","Approved",-17600,66880,-4881.79,90,50,48817.87,176000,90,42,35
"2016/08/04","Beauty - Hair Care",,"Shampoo","2015/07/11","Morissons","0015800000GgZGXAA3","Metro/Makro: Cleaners - Jun 2015","Beauty - Hair Care","true","2015/06/20","false","Drive Penetration","Q2","Shampoo","true",,"EUR","2016/08/04","Morissons","a1358000000Ag7QAAS","2016/08/04",,"a1I58000001vt9GEAQ","Morissons: Shampoo - Jun 2015","Approved",-71340,63960,-24995.22,71,43,86190.41,246000,71,22,21
"2016/08/04","Beauty - Hair Care",,"Oil","2015/11/10","Others DI online","0015800000GgZGZAA3","Others DI online: Fabric Cleaning - Oct 2015","Beauty - Hair Care","true","2015/10/27","false","Grow Market Share","Q4","Oil","true",,"EUR","2016/08/04","Others DI online","a1358000000Ag7XAAS","2016/08/04",,"a1I58000001vt9IEAQ","Others DI online: Oil - Oct 2015","Approved",-17810,54800,-5330.04,87,12,41000.3,137000,87,25,14
"2016/08/04","Food - Ingredients",,"Baking","2015/07/26","Morissons","0015800000GgZGXAA3","Metro/Makro: Hair Care - Jul 2015","Food - Ingredients","true","2015/07/12","false","Grow Market Share","Q3","Baking","true",,"EUR","2016/08/04","Morissons","a1358000000Ag7PAAS","2016/08/04",,"a1I58000001vt9JEAQ","Morissons: Baking - Jul 2015","Approved",-43840,46580,-16320.12,68,51,51000.37,137000,68,29,14
"2016/08/04","Health",,"Supplements - Daily","2015/07/21","Schlecker","0015800000GgZGhAAN","Schlecker: BCS_Breakfast - Jul 2015","Health","true","2015/07/07","false","Drive Frequency","Q3","Supplements - Daily","true",,"EUR","2016/08/04","Schlecker","a1358000000Ag7TAAS","2016/08/04",,"a1I58000001vt9KEAQ","Schlecker: Supplements - Daily - Jul 2015","Approved",-24600,95940,-9157.73,90,16,91577.31,246000,90,17,14
"2016/08/04","Health",,"Supplements - Powder","2015/07/24","Others export","0015800000GgZGWAA3","Others export: BCS_C&DC Alternatives - Jun 2015","Health","true","2015/06/19","false","Grow Market Share","Q2","Supplements - Powder","true",,"EUR","2016/08/04","Others export","a1358000000Ag7aAAC","2016/08/04",,"a1I58000001vt9NEAQ","Others export: Supplements - Powder - Jun 2015","Approved",-18400,37950,-6178.15,84,18,38613.42,115000,84,16,35
"2016/08/04","Health",,"Supplements - Daily","2015/10/24","SU Detail Consult","0015800000GgZGcAAN","SU Detail Consult: BCS_Breakfast - Oct 2015","Health","true","2015/10/10","false","Grow Market Share","Q4","Supplements - Daily","true",,"EUR","2016/08/04","SU Detail Consult","a1358000000Ag7TAAS","2016/08/04",,"a1I58000001vt9QEAQ","SU Detail Consult: Supplements - Daily - Oct 2015","Approved",-36260,36260,-10851.61,63,51,29328.68,98000,63,26,14
"2016/08/04","Health",,"Supplements - Powder","2015/05/25","Others export","0015800000GgZGWAA3","Others export: BCS_C&DC Alternatives - Apr 2015","Health","true","2015/04/20","false","Grow Market Share","Q2","Supplements - Powder","true",,"EUR","2016/08/04","Others export","a1358000000Ag7aAAC","2016/08/04",,"a1I58000001vt9REAQ","Others export: Supplements - Powder - Apr 2015","Approved",-48760,78440,-20287.16,77,7,88205.02,212000,77,36,35
"2016/08/04","Health",,"Supplements - Daily","2015/10/25","Superunie Coop","0015800000GgZGaAAN","Superunie Coop: BCS_Breakfast - Sep 2015","Health","true","2015/09/27","false","Drive Penetration","Q3","Supplements - Daily","true",,"EUR","2016/08/04","Superunie Coop","a1358000000Ag7TAAS","2016/08/04",,"a1I58000001vt9SEAQ","Superunie Coop: Supplements - Daily - Sep 2015","Approved",-26290,66920,-9786.86,89,54,88971.45,239000,89,33,28
"2016/08/04","Health",,"Supplements - Daily","2015/08/28","Bijeen Jumbo","0015800000GgZGUAA3","Bijeen Jumbo: BCS_Breakfast - Jul 2015","Health","true","2015/07/31","false","Maximise Gross Profit","Q3","Supplements - Daily","true",,"EUR","2016/08/04","Bijeen Jumbo","a1358000000Ag7TAAS","2016/08/04",,"a1I58000001vt9VEAQ","Bijeen Jumbo: Supplements - Daily - Jul 2015","Approved",-53480,47750,-16395.45,72,40,58555.17,191000,72,28,28
"2016/08/04","Food - Ingredients",,"Baking","2015/07/11","Variety Discount","0015800000GgZGbAAN","Variety Discount: Hair Care - Jun 2015","Food - Ingredients","true","2015/06/13","false","Drive Volume","Q2","Baking","true",,"EUR","2016/08/04","Variety Discount","a1358000000Ag7PAAS","2016/08/04",,"a1I58000001vt9WEAQ","Variety Discount: Baking - Jun 2015","Approved",-36300,54450,-14838.06,78,41,67445.75,165000,78,34,28
"2016/08/04","Food - Ingredients",,"Baking","2015/06/17","Others NL FS","0015800000GgZGfAAN","Others NL FS: Hair Care - May 2015","Food - Ingredients","true","2015/05/20","false","Drive Trial","Q2","Baking","true",,"EUR","2016/08/04","Others NL FS","a1358000000Ag7PAAS","2016/08/04",,"a1I58000001vt9XEAQ","Others NL FS: Baking - May 2015","Approved",-19380,37620,-8629.11,83,36,50759.49,114000,83,8,28
"2016/08/04","Drink",,"Water - Clear","2015/06/24","Best Buy","0015800000GgZGgAAN","Superunie Sligro: Skin Cleansing - Jun 2015","Drink","true","2015/06/03","false","Drive Penetration","Q2","Water - Clear","true",,"EUR","2016/08/04","Best Buy","a1358000000Ag7RAAS","2016/08/04",,"a1I58000001vt9ZEAQ","Best Buy: Water - Clear - Jun 2015","Approved",-37500,60000,-12591.33,75,38,50365.33,150000,75,7,21
"2016/08/04","Beauty - Hair Care",,"Oil","2015/05/17","Bijeen Jumbo","0015800000GgZGUAA3","Bijeen Jumbo: Fabric Cleaning - May 2015","Beauty - Hair Care","true","2015/05/03","false","Drive Weight of Purchase","Q2","Oil","true",,"EUR","2016/08/04","Bijeen Jumbo","a1358000000Ag7XAAS","2016/08/04",,"a1I58000001vt9aEAA","Bijeen Jumbo: Oil - May 2015","Approved",-29920,59840,-11356.58,83,6,66803.41,176000,83,11,14
"2016/08/04","Beauty - Skin Care",,"Moisturiser","2015/08/26","Superunie PlusRetail","0015800000GgZGeAAN","Superunie PlusRetail: Breakfast - Jul 2015","Beauty - Skin Care","true","2015/07/29","false","Grow Market Share","Q3","Moisturiser","true",,"EUR","2016/08/04","Superunie PlusRetail","a1358000000Ag7ZAAS","2016/08/04",,"a1I58000001vt9bEAA","Superunie PlusRetail: Moisturiser - Jul 2015","Approved",-45800,70990,-19055.61,80,22,95278.07,229000,80,43,28
"2016/08/04","Food - Snacks",,"Bulk Packs","2015/07/05","Others NL FS","0015800000GgZGfAAN","Others NL FS: Other Frozen Food - Jun 2015","Food - Snacks","true","2015/06/07","false","Maximise Gross Profit","Q2","Bulk Packs","true",,"EUR","2016/08/04","Others NL FS","a1358000000Ag7hAAC","2016/08/04",,"a1I58000001vt9cEAA","Others NL FS: Bulk Packs - Jun 2015","Approved",-28730,86190,-10904.9,87,45,83883.82,221000,87,43,28
"2016/08/04","Beauty - Hair Care",,"Shampoo","2015/07/18","Others NL FS","0015800000GgZGfAAN","Others NL FS: Cleaners - Jun 2015","Beauty - Hair Care","true","2015/06/27","false","Drive Trial","Q2","Shampoo","true",,"EUR","2016/08/04","Others NL FS","a1358000000Ag7QAAS","2016/08/04",,"a1I58000001vt9gEAA","Others NL FS: Shampoo - Jun 2015","Approved",-63700,63700,-28362.98,65,54,81037.09,182000,65,8,21
"2016/08/04","Health",,"Supplements - Powder","2015/06/02","AS Watson","0015800000GgZGTAA3","AS Watson: BCS_C&DC Alternatives - May 2015","Health","true","2015/05/12","false","Grow Market Share","Q2","Supplements - Powder","true",,"EUR","2016/08/04","AS Watson","a1358000000Ag7aAAC","2016/08/04",,"a1I58000001vt9jEAA","AS Watson: Supplements - Powder - May 2015","Approved",-33660,75240,-13513.24,83,40,79489.63,198000,83,36,21
"2016/08/04","Health",,"Supplements - Powder","2015/09/27","Schlecker","0015800000GgZGhAAN","Schlecker: BCS_C&DC Alternatives - Sep 2015","Health","true","2015/09/06","false","Grow Market Share","Q3","Supplements - Powder","true",,"EUR","2016/08/04","Schlecker","a1358000000Ag7aAAC","2016/08/04",,"a1I58000001vt9kEAA","Schlecker: Supplements - Powder - Sep 2015","Approved",-47880,70560,-20969.5,81,54,110365.77,252000,81,41,21
"2016/08/04","Drink",,"Water - Home","2015/10/10","Superunie PlusRetail","0015800000GgZGeAAN","Superunie PlusRetail: Vitality Shots - Sep 2015","Drink","true","2015/09/26","false","Drive Volume","Q3","Water - Home","true",,"EUR","2016/08/04","Superunie PlusRetail","a1358000000Ag7fAAC","2016/08/04",,"a1I58000001vt9lEAA","Superunie PlusRetail: Water - Home - Sep 2015","Approved",-47360,47360,-18667.58,68,13,58336.19,148000,68,45,14
"2016/08/04","Drink",,"Water - Home","2015/09/03","Others export","0015800000GgZGWAA3","Others export: Vitality Shots - Aug 2015","Drink","true","2015/08/20","false","Grow Market Share","Q3","Water - Home","true",,"EUR","2016/08/04","Others export","a1358000000Ag7fAAC","2016/08/04",,"a1I58000001vt9nEAA","Others export: Water - Home - Aug 2015","Approved",-41540,37520,-17889.62,69,49,57708.45,134000,69,8,14
"2016/08/04","Health",,"Supplements - Powder","2015/09/18","Superunie PlusRetail","0015800000GgZGeAAN","Superunie PlusRetail: BCS_C&DC Alternatives - Aug 2015","Health","true","2015/08/14","false","Grow Market Share","Q3","Supplements - Powder","true",,"EUR","2016/08/04","Superunie PlusRetail","a1358000000Ag7aAAC","2016/08/04",,"a1I58000001vt9oEAA","Superunie PlusRetail: Supplements - Powder - Aug 2015","Approved",-18150,47850,-7551.51,89,31,68650.14,165000,89,37,35
"2016/08/04","Beauty - Skin Care",,"Moisturiser","2015/10/15","Others DI online","0015800000GgZGZAA3","Others DI online: Breakfast - Oct 2015","Beauty - Skin Care","true","2015/10/01","false","Drive Frequency","Q4","Moisturiser","true",,"EUR","2016/08/04","Others DI online","a1358000000Ag7ZAAS","2016/08/04",,"a1I58000001vt9qEAA","Others DI online: Moisturiser - Oct 2015","Approved",-34020,50220,-11671.18,79,45,55577.05,162000,79,13,14
"2016/08/04","Drink",,"Water - Clear","2015/11/17","Others export","0015800000GgZGWAA3","Others export: Skin Cleansing - Oct 2015","Drink","true","2015/10/13","false","Maximise Gross Profit","Q4","Water - Clear","true",,"EUR","2016/08/04","Others export","a1358000000Ag7RAAS","2016/08/04",,"a1I58000001vt9rEAA","Others export: Water - Clear - Oct 2015","Approved",-43340,70920,-18664.81,78,26,84840.04,197000,78,35,35
"2016/08/04","Health",,"Supplements - Powder","2015/07/29","Others NL FS","0015800000GgZGfAAN","Others NL FS: BCS_C&DC Alternatives - Jul 2015","Health","true","2015/07/08","false","Drive Volume","Q3","Supplements - Powder","true",,"EUR","2016/08/04","Others NL FS","a1358000000Ag7aAAC","2016/08/04",,"a1I58000001vt9sEAA","Others NL FS: Supplements - Powder - Jul 2015","Approved",-28980,40020,-10365.19,79,8,49358.02,138000,79,36,21
"2016/08/04","Health",,"Supplements - Daily","2015/09/30","Superunie Cluster","0015800000GgZGdAAN","Superunie Cluster: BCS_Breakfast - Sep 2015","Health","true","2015/09/02","false","Maximise Gross Profit","Q3","Supplements - Daily","true",,"EUR","2016/08/04","Superunie Cluster","a1358000000Ag7TAAS","2016/08/04",,"a1I58000001vt9tEAA","Superunie Cluster: Supplements - Daily - Sep 2015","Approved",-26880,30720,-9417.88,72,42,33635.28,96000,72,40,28
"2016/08/04","Food - Ingredients",,"Baking","2015/07/07","Bijeen Jumbo","0015800000GgZGUAA3","Bijeen Jumbo: Hair Care - Jun 2015","Food - Ingredients","true","2015/06/16","false","Drive Trial","Q2","Baking","true",,"EUR","2016/08/04","Bijeen Jumbo","a1358000000Ag7PAAS","2016/08/04",,"a1I58000001vt9uEAA","Bijeen Jumbo: Baking - Jun 2015","Approved",-43560,55440,-17805.68,78,27,80934.9,198000,78,28,21
"2016/08/04","Food - Snacks",,"Individual Packs","2015/09/27","Others NL FS","0015800000GgZGfAAN","Others NL FS: Ice Cream - Aug 2015","Food - Snacks","true","2015/08/23","false","Maximise Gross Profit","Q3","Individual Packs","true",,"EUR","2016/08/04","Others NL FS","a1358000000Ag7UAAS","2016/08/04",,"a1I58000001vt9wEAA","Others NL FS: Individual Packs - Aug 2015","Approved",-26970,31620,-9646.27,71,37,33263.02,93000,71,8,35
"2016/08/04","Food - Snacks",,"Individual Packs","2015/10/16","Best Buy","0015800000GgZGgAAN","Superunie Sligro: Ice Cream - Sep 2015","Food - Snacks","true","2015/09/25","false","Drive Trial","Q3","Individual Packs","true",,"EUR","2016/08/04","Best Buy","a1358000000Ag7UAAS","2016/08/04",,"a1I58000001vtA0EAI","Best Buy: Individual Packs - Sep 2015","Approved",-14700,36260,-3862.8,85,43,25752.01,98000,85,10,21
