"IsDeleted","Category","Description","IsActive","EndDate","Name","SystemModstamp","StartDate","Objective","OwnerId","CreatedDate","Level","Dummy_Key","Id","Methods","EndDate_Computed"
"false","Pubicity","Description of Dmart Store Promotion 4","true","2020-06-05","Dmart Store Promotion 4","2019-12-24T13:47:20.000Z","2018-01-05","Objective of Dmart Store Promotion 4","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product Category","NA","0c8B0000000L086IAC","Sampling and Demonstration","2020-06-05"
"false","Sales Promotion","Description of Dmart Store Promotion 47","true","2020-06-02","Dmart Store Promotion 47","2019-12-24T13:47:20.000Z","2018-01-05","Objective of Dmart Store Promotion 47","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product Category","NA","0c8B0000000L08nIAC","Free Services","2020-06-02"
"false","Sales Promotion","Description of Dmart Store Promotion 27","true","2020-06-06","Dmart Store Promotion 27","2019-12-24T13:47:20.000Z","2018-01-03","Objective of Dmart Store Promotion 27","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product Category","NA","0c8B0000000L08TIAS","Free Services","2020-06-06"
"false","Personal Selling","Description of Dmart Store Promotion 2","true","2020-06-04","Dmart Store Promotion 2","2019-12-24T13:47:20.000Z","2018-01-05","Objective of Dmart Store Promotion 2","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product Category","NA","0c8B0000000L084IAC","Discounts","2020-06-04"
"false","Personal Selling","Description of Dmart Store Promotion 36","true","2020-06-05","Dmart Store Promotion 36","2019-12-24T13:47:20.000Z","2018-01-03","Objective of Dmart Store Promotion 36","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product","NA","0c8B0000000L08cIAC","Exchange Offer","2020-06-05"
"false","Personal Selling","Description of Dmart Store Promotion 6","true","2020-06-06","Dmart Store Promotion 6","2019-12-24T13:47:20.000Z","2018-01-05","Objective of Dmart Store Promotion 6","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product","NA","0c8B0000000L088IAC","Exchange Offer","2020-06-06"
"false","Advertising","Description of Dmart Store Promotion 40","true","2020-06-05","Dmart Store Promotion 40","2019-12-24T13:47:20.000Z","2018-01-04","Objective of Dmart Store Promotion 40","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product","NA","0c8B0000000L08gIAC","Contests","2020-06-05"
"false","Pubicity","Description of Dmart Store Promotion 29","true","2020-06-06","Dmart Store Promotion 29","2019-12-24T13:47:20.000Z","2018-01-06","Objective of Dmart Store Promotion 29","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product","NA","0c8B0000000L08VIAS","Credit Facility","2020-06-06"
"false","Pubicity","Description of Dmart Store Promotion 44","true","2020-06-05","Dmart Store Promotion 44","2019-12-24T13:47:20.000Z","2018-01-05","Objective of Dmart Store Promotion 44","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product Category","NA","0c8B0000000L08kIAC","Sampling and Demonstration","2020-06-05"
"false","Pubicity","Description of Dmart Store Promotion 34","true","2020-06-02","Dmart Store Promotion 34","2019-12-24T13:47:20.000Z","2018-01-04","Objective of Dmart Store Promotion 34","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product Category","NA","0c8B0000000L08aIAC","Sampling and Demonstration","2020-06-02"
"false","Personal Selling","Description of Dmart Store Promotion 12","true","2020-06-03","Dmart Store Promotion 12","2019-12-24T13:47:20.000Z","2018-01-06","Objective of Dmart Store Promotion 12","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product Category","NA","0c8B0000000L08EIAS","Discounts","2020-06-03"
"false","Advertising","Description of Dmart Store Promotion 30","true","2020-06-04","Dmart Store Promotion 30","2019-12-24T13:47:20.000Z","2018-01-04","Objective of Dmart Store Promotion 30","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product","NA","0c8B0000000L08WIAS","Contests","2020-06-04"
"false","Personal Selling","Description of Dmart Store Promotion 32","true","2020-06-03","Dmart Store Promotion 32","2019-12-24T13:47:20.000Z","2018-01-04","Objective of Dmart Store Promotion 32","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product Category","NA","0c8B0000000L08YIAS","Discounts","2020-06-03"
"false","Pubicity","Description of Dmart Store Promotion 39","true","2020-06-03","Dmart Store Promotion 39","2019-12-24T13:47:20.000Z","2018-01-03","Objective of Dmart Store Promotion 39","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product","NA","0c8B0000000L08fIAC","Credit Facility","2020-06-03"
"false","Advertising","Description of Dmart Store Promotion 21","true","2020-06-06","Dmart Store Promotion 21","2019-12-24T13:47:20.000Z","2018-01-05","Objective of Dmart Store Promotion 21","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product","NA","0c8B0000000L08NIAS","Display and Exhibition","2020-06-06"
"false","Pubicity","Description of Dmart Store Promotion 9","true","2020-06-05","Dmart Store Promotion 9","2019-12-24T13:47:20.000Z","2018-01-03","Objective of Dmart Store Promotion 9","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product","NA","0c8B0000000L08BIAS","Credit Facility","2020-06-05"
"false","Advertising","Description of Dmart Store Promotion 50","true","2020-06-03","Dmart Store Promotion 50","2019-12-24T13:47:20.000Z","2018-01-03","Objective of Dmart Store Promotion 50","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product","NA","0c8B0000000L08qIAC","Contests","2020-06-03"
"false","Pubicity","Description of Dmart Store Promotion 28","true","2020-06-06","Dmart Store Promotion 28","2019-12-24T13:47:20.000Z","2018-01-04","Objective of Dmart Store Promotion 28","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product","NA","0c8B0000000L08UIAS","Gifts","2020-06-06"
"false","Advertising","Description of Dmart Store Promotion 25","true","2020-06-03","Dmart Store Promotion 25","2019-12-24T13:47:20.000Z","2018-01-04","Objective of Dmart Store Promotion 25","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product Category","NA","0c8B0000000L08RIAS","Trade Show","2020-06-03"
"false","Sales Promotion","Description of Dmart Store Promotion 13","true","2020-06-05","Dmart Store Promotion 13","2019-12-24T13:47:20.000Z","2018-01-02","Objective of Dmart Store Promotion 13","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product","NA","0c8B0000000L08FIAS","Coupons","2020-06-05"
"false","Pubicity","Description of Dmart Store Promotion 49","true","2020-06-05","Dmart Store Promotion 49","2019-12-24T13:47:20.000Z","2018-01-05","Objective of Dmart Store Promotion 49","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product","NA","0c8B0000000L08pIAC","Credit Facility","2020-06-05"
"false","Pubicity","Description of Dmart Store Promotion 18","true","2020-06-06","Dmart Store Promotion 18","2019-12-24T13:47:20.000Z","2018-01-03","Objective of Dmart Store Promotion 18","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product","NA","0c8B0000000L08KIAS","Gifts","2020-06-06"
"false","Personal Selling","Description of Dmart Store Promotion 26","true","2020-06-04","Dmart Store Promotion 26","2019-12-24T13:47:20.000Z","2018-01-05","Objective of Dmart Store Promotion 26","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product","NA","0c8B0000000L08SIAS","Exchange Offer","2020-06-04"
"false","Personal Selling","Description of Dmart Store Promotion 16","true","2020-06-03","Dmart Store Promotion 16","2019-12-24T13:47:20.000Z","2018-01-02","Objective of Dmart Store Promotion 16","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product","NA","0c8B0000000L08IIAS","Exchange Offer","2020-06-03"
"false","Advertising","Description of Dmart Store Promotion 20","true","2020-06-04","Dmart Store Promotion 20","2019-12-24T13:47:20.000Z","2018-01-05","Objective of Dmart Store Promotion 20","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product","NA","0c8B0000000L08MIAS","Contests","2020-06-04"
"false","Advertising","Description of Dmart Store Promotion 11","true","2020-06-06","Dmart Store Promotion 11","2019-12-24T13:47:20.000Z","2018-01-02","Objective of Dmart Store Promotion 11","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product","NA","0c8B0000000L08DIAS","Display and Exhibition","2020-06-06"
"false","Sales Promotion","Description of Dmart Store Promotion 33","true","2020-06-05","Dmart Store Promotion 33","2019-12-24T13:47:20.000Z","2018-01-03","Objective of Dmart Store Promotion 33","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product","NA","0c8B0000000L08ZIAS","Coupons","2020-06-05"
"false","Pubicity","Description of Dmart Store Promotion 48","true","2020-06-06","Dmart Store Promotion 48","2019-12-24T13:47:20.000Z","2018-01-02","Objective of Dmart Store Promotion 48","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product","NA","0c8B0000000L08oIAC","Gifts","2020-06-06"
"false","Advertising","Description of Dmart Store Promotion 10","true","2020-06-04","Dmart Store Promotion 10","2019-12-24T13:47:20.000Z","2018-01-03","Objective of Dmart Store Promotion 10","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product","NA","0c8B0000000L08CIAS","Contests","2020-06-04"
"false","Sales Promotion","Description of Dmart Store Promotion 3","true","2020-06-06","Dmart Store Promotion 3","2019-12-24T13:47:20.000Z","2018-01-05","Objective of Dmart Store Promotion 3","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product","NA","0c8B0000000L085IAC","Coupons","2020-06-06"
"false",,,"true",,"Buy1 Get1","2020-04-21T08:38:42.000Z","2020-01-20",,"005B0000006Q7xcIAC","2020-04-20T16:33:51.000Z",,"NA","0c8B0000000CdTGIA0",,"2020-05-19"
"false",,,"true",,"20% Off","2020-04-21T08:40:11.000Z","2020-03-20",,"005B0000006Q7xcIAC","2020-04-20T16:36:30.000Z",,"NA","0c8B0000000CdTHIA0",,"2020-05-19"
