"PromotionProduct_Product_Name","AccountId","PromotionProduct_ProductId","PromotionId","RetailStoreId","Promotion.EndDate","Promotion.Name","EndDate","EndDate_Temp","Name","StartDate","InStoreLocationId","RetailStore_Name","PromotionProductCategory_Promotion.ProductCategoryId","RetailLocationGroupId","Dummy_Key","Id","PromotionProductCategory_Promotion.ProductCategory_Name","EndDate_Computed","RetailStore_Id"
"Active care",,"01tB0000000UI8WIAW","0c8B0000000L08MIAS","0YQB0000000L0C2OAK","2020-06-04","Dmart Store Promotion 20","2020-06-03","2020-06-03","00000038","2018-01-05",,"Rondel Store - Chicago Streeterville","0ZGB0000000L0ZlOAK",,"NA","0cBB0000000L08yMAC","Product Category 10","2020-06-03","0YQB0000000L0C2OAK"
"Active care",,"01tB0000000UI8VIAW","0c8B0000000L08lIAC","0YQB0000000L0CDOA0","2020-06-05","Dmart Store Promotion 45","2020-06-04","2020-06-04","00000032","2018-01-03",,"Nutrition Stop - Elkhorn","0ZGB0000000L0ZjOAK",,"NA","0cBB0000000L08sMAC","Product Category 1","2020-06-04","0YQB0000000L0CDOA0"
"Angel Look",,"01tB0000000UI8cIAG","0c8B0000000L08mIAC","0YQB0000000L0C7OAK","2020-06-04","Dmart Store Promotion 46","2020-06-04","2020-06-04","00000023","2018-01-02",,"Alpine Nutrition - Noe Valley","0ZGB0000000L0ZlOAK",,"NA","0cBB0000000L08jMAC","Product Category 10","2020-06-04","0YQB0000000L0C7OAK"
"Active care",,"01tB0000000UI8XIAW","0c8B0000000L087IAC","0YQB0000000L0CHOA0","2020-06-06","Dmart Store Promotion 5","2020-06-06","2020-06-06","00000014","2018-01-02",,"Fare Merchants - Chelsea","0ZGB0000000L0ZjOAK",,"NA","0cBB0000000L08aMAC","Product Category 1","2020-06-06","0YQB0000000L0CHOA0"
"Elliotte",,"01tB0000000UI8dIAG","0c8B0000000L08DIAS","0YQB0000000L0CBOA0","2020-06-06","Dmart Store Promotion 11","2020-06-04","2020-06-04","00000016","2018-01-06",,"Nutrition Stop - Hillsdale","0ZGB0000000L0ZlOAK",,"NA","0cBB0000000L08cMAC","Product Category 10","2020-06-04","0YQB0000000L0CBOA0"
"Active care",,"01tB0000000UI8XIAW","0c8B0000000L08NIAS","0YQB0000000L0C3OAK","2020-06-06","Dmart Store Promotion 21","2020-06-06","2020-06-06","00000047","2018-01-02",,"Rondel Store - Chicago South Loop","0ZGB0000000L0ZjOAK",,"NA","0cBB0000000L097MAC","Product Category 1","2020-06-06","0YQB0000000L0C3OAK"
"Elliotte",,"01tB0000000UI8WIAW","0c8B0000000L08CIAS","0YQB0000000L0C4OAK","2020-06-04","Dmart Store Promotion 10","2020-06-02","2020-06-02","00000021","2018-01-05",,"Rondel Store - Evanston","0ZGB0000000L0ZlOAK",,"NA","0cBB0000000L08hMAC","Product Category 10","2020-06-02","0YQB0000000L0C4OAK"
"Elliotte",,"01tB0000000UI8WIAW","0c8B0000000L083IAC","0YQB0000000L0CFOA0","2020-06-03","Dmart Store Promotion 1","2020-06-04","2020-06-04","00000011","2018-01-02",,"Fare Merchants - Irving","0ZGB0000000L0ZlOAK",,"NA","0cBB0000000L08XMAS","Product Category 10","2020-06-04","0YQB0000000L0CFOA0"
"Active care",,"01tB0000000UI8XIAW","0c8B0000000L084IAC","0YQB0000000L0C8OAK","2020-06-04","Dmart Store Promotion 2","2020-06-06","2020-06-06","00000027","2018-01-02",,"NTO Store - Noe Valley","0ZGB0000000L0ZjOAK",,"NA","0cBB0000000L08nMAC","Product Category 1","2020-06-06","0YQB0000000L0C8OAK"
"Active care",,"01tB0000000UI8XIAW","0c8B0000000L08KIAS","0YQB0000000L0CJOA0","2020-06-06","Dmart Store Promotion 18","2020-06-04","2020-06-04","00000044","2018-01-04",,"Fare Merchants - Austin","0ZGB0000000L0ZjOAK",,"NA","0cBB0000000L094MAC","Product Category 1","2020-06-04","0YQB0000000L0CJOA0"
"Angel Look",,"01tB0000000UI8ZIAW","0c8B0000000L08kIAC","0YQB0000000L0BxOAK","2020-06-05","Dmart Store Promotion 44","2020-06-04","2020-06-04","00000010","2018-01-06",,"NTO Store - Berkeley","0ZGB0000000L0ZkOAK",,"NA","0cBB0000000L08WMAS","Product Category 2","2020-06-04","0YQB0000000L0BxOAK"
"Active care",,"01tB0000000UI8VIAW","0c8B0000000L08QIAS","0YQB0000000L0CIOA0","2020-06-02","Dmart Store Promotion 24","2020-06-05","2020-06-05","00000045","2018-01-05",,"NTO Store - Alameda","0ZGB0000000L0ZkOAK",,"NA","0cBB0000000L095MAC","Product Category 2","2020-06-05","0YQB0000000L0CIOA0"
"Angel Look",,"01tB0000000UI8ZIAW","0c8B0000000L08PIAS","0YQB0000000L0CGOA0","2020-06-05","Dmart Store Promotion 23","2020-06-05","2020-06-05","00000030","2018-01-03",,"NTO Store - Ferry Plaza Market","0ZGB0000000L0ZkOAK",,"NA","0cBB0000000L08qMAC","Product Category 2","2020-06-05","0YQB0000000L0CGOA0"
"Angel Look",,"01tB0000000UI8cIAG","0c8B0000000L085IAC","0YQB0000000L0CEOA0","2020-06-06","Dmart Store Promotion 3","2020-06-06","2020-06-06","00000033","2018-01-05",,"NTO Store - Dublin","0ZGB0000000L0ZlOAK",,"NA","0cBB0000000L08tMAC","Product Category 10","2020-06-06","0YQB0000000L0CEOA0"
"Elliotte",,"01tB0000000UI8WIAW","0c8B0000000L08gIAC","0YQB0000000L0C9OAK","2020-06-05","Dmart Store Promotion 40","2020-06-04","2020-06-04","00000001","2018-01-04",,"Alpine Nutrition Outlet (Hayward)","0ZGB0000000L0ZlOAK",,"NA","0cBB0000000L08NMAS","Product Category 10","2020-06-04","0YQB0000000L0C9OAK"
"Angel Look",,"01tB0000000UI8ZIAW","0c8B0000000L08GIAS","0YQB0000000L0BwOAK","2020-06-02","Dmart Store Promotion 14","2020-06-03","2020-06-03","00000040","2018-01-04",,"Fare Merchants - Gold Coast","0ZGB0000000L0ZkOAK",,"NA","0cBB0000000L090MAC","Product Category 2","2020-06-03","0YQB0000000L0BwOAK"
"Active care",,"01tB0000000UI8VIAW","0c8B0000000L086IAC","0YQB0000000L0C8OAK","2020-06-05","Dmart Store Promotion 4","2020-06-03","2020-06-03","00000002","2018-01-04",,"NTO Store - Noe Valley","0ZGB0000000L0ZjOAK",,"NA","0cBB0000000L08OMAS","Product Category 1","2020-06-03","0YQB0000000L0C8OAK"
"Angel Look",,"01tB0000000UI8cIAG","0c8B0000000L08BIAS","0YQB0000000L0CCOA0","2020-06-05","Dmart Store Promotion 9","2020-06-03","2020-06-03","00000003","2018-01-02",,"Nutrition Stop - Kennesaw","0ZGB0000000L0ZlOAK",,"NA","0cBB0000000L08PMAS","Product Category 10","2020-06-03","0YQB0000000L0CCOA0"
"Active care",,"01tB0000000UI8WIAW","0c8B0000000L08TIAS","0YQB0000000L0CCOA0","2020-06-06","Dmart Store Promotion 27","2020-06-04","2020-06-04","00000028","2018-01-02",,"Nutrition Stop - Kennesaw","0ZGB0000000L0ZlOAK",,"NA","0cBB0000000L08oMAC","Product Category 10","2020-06-04","0YQB0000000L0CCOA0"
"Angel Look",,"01tB0000000UI8cIAG","0c8B0000000L08UIAS","0YQB0000000L0CAOA0","2020-06-06","Dmart Store Promotion 28","2020-06-05","2020-06-05","00000043","2018-01-05",,"Alpine Nutrition - San Francisco","0ZGB0000000L0ZlOAK",,"NA","0cBB0000000L093MAC","Product Category 10","2020-06-05","0YQB0000000L0CAOA0"
"Elliotte",,"01tB0000000UI8dIAG","0c8B0000000L08OIAS","0YQB0000000L0C4OAK","2020-06-04","Dmart Store Promotion 22","2020-06-04","2020-06-04","00000046","2018-01-06",,"Rondel Store - Evanston","0ZGB0000000L0ZlOAK",,"NA","0cBB0000000L096MAC","Product Category 10","2020-06-04","0YQB0000000L0C4OAK"
"Angel Look",,"01tB0000000UI8ZIAW","0c8B0000000L08SIAS","0YQB0000000L0CIOA0","2020-06-04","Dmart Store Promotion 26","2020-06-04","2020-06-04","00000020","2018-01-05",,"NTO Store - Alameda","0ZGB0000000L0ZkOAK",,"NA","0cBB0000000L08gMAC","Product Category 2","2020-06-04","0YQB0000000L0CIOA0"
"Active care",,"01tB0000000UI8VIAW","0c8B0000000L08bIAC","0YQB0000000L0CJOA0","2020-06-05","Dmart Store Promotion 35","2020-06-05","2020-06-05","00000019","2018-01-03",,"Fare Merchants - Austin","0ZGB0000000L0ZjOAK",,"NA","0cBB0000000L08fMAC","Product Category 1","2020-06-05","0YQB0000000L0CJOA0"
"Fairy Wings",,"01tB0000000UI8UIAW","0c8B0000000CdTGIA0","0YQB0000000L0C8OAK",,"Buy1 Get1","2020-02-10","2020-02-10","00000052","2020-01-22",,"NTO Store - Noe Valley",,,"NA","0cBB00000008RE7MAM",,"2020-02-10","0YQB0000000L0C8OAK"
"Active care",,"01tB0000000UI8VIAW","0c8B0000000L08WIAS","0YQB0000000L0C3OAK","2020-06-04","Dmart Store Promotion 30","2020-06-02","2020-06-02","00000022","2018-01-02",,"Rondel Store - Chicago South Loop","0ZGB0000000L0ZjOAK",,"NA","0cBB0000000L08iMAC","Product Category 1","2020-06-02","0YQB0000000L0C3OAK"
"Elliotte",,"01tB0000000UI8WIAW","0c8B0000000L08hIAC","0YQB0000000L0C5OAK","2020-06-05","Dmart Store Promotion 41","2020-06-06","2020-06-06","00000031","2018-01-02",,"Alpine Nutrition - Austin","0ZGB0000000L0ZlOAK",,"NA","0cBB0000000L08rMAC","Product Category 10","2020-06-06","0YQB0000000L0C5OAK"
"Active care",,"01tB0000000UI8VIAW","0c8B0000000L08nIAC","0YQB0000000L0BzOAK","2020-06-02","Dmart Store Promotion 47","2020-06-03","2020-06-03","00000009","2018-01-04",,"Nutrition Stop - Gainesville","0ZGB0000000L0ZjOAK",,"NA","0cBB0000000L08VMAS","Product Category 1","2020-06-03","0YQB0000000L0BzOAK"
"Elliotte",,"01tB0000000UI8dIAG","0c8B0000000L08JIAS","0YQB0000000L0C9OAK","2020-06-03","Dmart Store Promotion 17","2020-06-06","2020-06-06","00000026","2018-01-05",,"Alpine Nutrition Outlet (Hayward)","0ZGB0000000L0ZlOAK",,"NA","0cBB0000000L08mMAC","Product Category 10","2020-06-06","0YQB0000000L0C9OAK"
"Active care",,"01tB0000000UI8XIAW","0c8B0000000L08pIAC","0YQB0000000L0CDOA0","2020-06-05","Dmart Store Promotion 49","2020-06-02","2020-06-02","00000007","2018-01-06",,"Nutrition Stop - Elkhorn","0ZGB0000000L0ZjOAK",,"NA","0cBB0000000L08TMAS","Product Category 1","2020-06-02","0YQB0000000L0CDOA0"
"Active care",,"01tB0000000UI8XIAW","0c8B0000000L089IAC","0YQB0000000L0ByOAK","2020-06-02","Dmart Store Promotion 7","2020-06-04","2020-06-04","00000004","2018-01-05",,"NTO Store - Presidio","0ZGB0000000L0ZjOAK",,"NA","0cBB0000000L08QMAS","Product Category 1","2020-06-04","0YQB0000000L0ByOAK"
"Elliotte",,"01tB0000000UI8dIAG","0c8B0000000L08eIAC","0YQB0000000L0CFOA0","2020-06-05","Dmart Store Promotion 38","2020-06-02","2020-06-02","00000036","2018-01-03",,"Fare Merchants - Irving","0ZGB0000000L0ZlOAK",,"NA","0cBB0000000L08wMAC","Product Category 10","2020-06-02","0YQB0000000L0CFOA0"
"Active care",,"01tB0000000UI8XIAW","0c8B0000000L08dIAC","0YQB0000000L0C6OAK","2020-06-06","Dmart Store Promotion 37","2020-06-03","2020-06-03","00000024","2018-01-05",,"Alpine Nutrition - Glendale","0ZGB0000000L0ZjOAK",,"NA","0cBB0000000L08kMAC","Product Category 1","2020-06-03","0YQB0000000L0C6OAK"
"Elliotte",,"01tB0000000UI8dIAG","0c8B0000000L08IIAS","0YQB0000000L0C5OAK","2020-06-03","Dmart Store Promotion 16","2020-06-05","2020-06-05","00000006","2018-01-04",,"Alpine Nutrition - Austin","0ZGB0000000L0ZlOAK",,"NA","0cBB0000000L08SMAS","Product Category 10","2020-06-05","0YQB0000000L0C5OAK"
"Active care",,"01tB0000000UI8XIAW","0c8B0000000L08qIAC","0YQB0000000L0BvOAK","2020-06-03","Dmart Store Promotion 50","2020-06-05","2020-06-05","00000017","2018-01-03",,"Fare Merchants - Brooklyn","0ZGB0000000L0ZjOAK",,"NA","0cBB0000000L08dMAC","Product Category 1","2020-06-05","0YQB0000000L0BvOAK"
"Elliotte",,"01tB0000000UI8WIAW","0c8B0000000L08VIAS","0YQB0000000L0CBOA0","2020-06-06","Dmart Store Promotion 29","2020-06-06","2020-06-06","00000041","2018-01-06",,"Nutrition Stop - Hillsdale","0ZGB0000000L0ZlOAK",,"NA","0cBB0000000L091MAC","Product Category 10","2020-06-06","0YQB0000000L0CBOA0"
"Active care",,"01tB0000000UI8XIAW","0c8B0000000L08LIAS","0YQB0000000L0C1OAK","2020-06-04","Dmart Store Promotion 19","2020-06-05","2020-06-05","00000037","2018-01-05",,"Rondel Store - Austin East","0ZGB0000000L0ZjOAK",,"NA","0cBB0000000L08xMAC","Product Category 1","2020-06-05","0YQB0000000L0C1OAK"
"Active care",,"01tB0000000UI8WIAW","0c8B0000000L08iIAC","0YQB0000000L0CEOA0","2020-06-03","Dmart Store Promotion 42","2020-06-02","2020-06-02","00000008","2018-01-03",,"NTO Store - Dublin","0ZGB0000000L0ZlOAK",,"NA","0cBB0000000L08UMAS","Product Category 10","2020-06-02","0YQB0000000L0CEOA0"
"Active care",,"01tB0000000UI8WIAW","0c8B0000000L08fIAC","0YQB0000000L0CAOA0","2020-06-03","Dmart Store Promotion 39","2020-06-03","2020-06-03","00000018","2018-01-06",,"Alpine Nutrition - San Francisco","0ZGB0000000L0ZlOAK",,"NA","0cBB0000000L08eMAC","Product Category 10","2020-06-03","0YQB0000000L0CAOA0"
"Active care",,"01tB0000000UI8XIAW","0c8B0000000L08XIAS","0YQB0000000L0BzOAK","2020-06-05","Dmart Store Promotion 31","2020-06-06","2020-06-06","00000034","2018-01-05",,"Nutrition Stop - Gainesville","0ZGB0000000L0ZjOAK",,"NA","0cBB0000000L08uMAC","Product Category 1","2020-06-06","0YQB0000000L0BzOAK"
"Fairy Wings",,"01tB0000000UI8UIAW","0c8B0000000CdTHIA0","0YQB0000000L0C8OAK",,"20% Off","2020-04-07","2020-04-07","00000053","2020-03-25",,"NTO Store - Noe Valley",,,"NA","0cBB00000008RECMA2",,"2020-04-07","0YQB0000000L0C8OAK"
"Active care",,"01tB0000000UI8VIAW","0c8B0000000L08YIAS","0YQB0000000L0BwOAK","2020-06-03","Dmart Store Promotion 32","2020-06-04","2020-06-04","00000015","2018-01-04",,"Fare Merchants - Gold Coast","0ZGB0000000L0ZkOAK",,"NA","0cBB0000000L08bMAC","Product Category 2","2020-06-04","0YQB0000000L0BwOAK"
"Active care",,"01tB0000000UI8VIAW","0c8B0000000L08jIAC","0YQB0000000L0ByOAK","2020-06-05","Dmart Store Promotion 43","2020-06-02","2020-06-02","00000029","2018-01-05",,"NTO Store - Presidio","0ZGB0000000L0ZjOAK",,"NA","0cBB0000000L08pMAC","Product Category 1","2020-06-02","0YQB0000000L0ByOAK"
