"OOS_Kpi_ActualValue","LatestPromotionEndDateFuture","RetailStore_Priority","StoreProduct_InStoreLocationType_Other","OutOfStock_OOS_Actual","StoreProduct_InStoreLocationType_Bin","RetailStore_Name","LatestPromotionEndDatePast","Product_ProductCategory_Name","StoreProduct_InStoreLocationType_Assets","StoreProduct_Favorite","LatestPromotionStartDatePast","RetailStore_StoreType","RetailStore_RetailStoreGroup_Name","Product_Name","StoreProduct_InStoreLocationType_Shelf","State_City","Product_Family","StoreProduct_InStoreLocationType_Backroom","Compliance_DaysSinceLastComplianceCheck","Quantity_Previous_Period","RetailVisitKpi_Number_of_Promotions","Facing_Compliance","Inventory_Compliance","Inventory_DaysSinceInventoryComplianceCheck","Inventory_Inventory_Actual","Quantity_Change_Percentage_vs_Coming_Period_LastYear","OutOfStock_DaysSinceOOSComplianceCheck","Promotion_Compliance","Quantity_Coming_Period_LastYear","Inventory_Inventory_Target","RetailVisitKpi_StoreProduct_Visits","LastYearSamePeriod_Number_of_Promotions","Quantity_Current_Period","OrderItem_DaysSinceLastOrder","ShareOfShelf_Compliance","OutOfStock_Compliance","Store_Visits","Quantity_Change_Percentage_vs_Previous_Period"
"True",,"High","No","False","No","NTO Store - Noe Valley",,"Product Category 7","No","No",,"Regular","Bay Area","Pure Perfect","No",,"None","No",4,0,,0,0,,,0,4,0,2105,,48,,2105,120,0,34.15,56,0
"False",,"Medium","No","True","No","Rondel Store - Austin East",,"Product Category 7","No","No",,"Regular","Midwest","Pure Perfect","No","OH - Chagrin Falls","None","No",12,0,,0,100,12,308,0,12,0,1902,308,43,,1902,0,77.27,17.95,51,0
"False",,"Medium","No","True","No","Rondel Store - Austin East",,"Product Category 8","No","No",,"Regular","Midwest","Tatva","No","OH - Chagrin Falls","None","No",12,0,,82.19,94.73,32,293,0,12,0,1786,348,44,,1786,33,0,34.15,51,0
"False",,"Medium","No","False","No","Alpine Nutrition - Austin",,"Product Category 8","No","No",,"Regular","Northeast","Tatva","No","WI - Milwaukee","None","No",7,0,,0,79.04,42,142,0,7,0,1443,250,47,,1443,112,89.62,31.11,56,0
"False",,"Low","No","False","No","Alpine Nutrition - Noe Valley",,"Product Category 8","No","No",,"Regular","West","Tatva","No","IL - Rockford","None","No",0,0,,0,64.67,18,133,0,0,0,1539,276,48,,1539,5,82.76,42.86,57,0
"True","2020-06-03","Low","No","False","No","Alpine Nutrition - Noe Valley",,"Product Category 11","No","No","2018-01-06","Regular","West","Kelloggs Muesli","No","IL - Rockford","None","No",0,0,5,91.46,75.86,34,242,0,0,0,2254,319,49,1,2254,5,0,31.11,57,0
"True",,"High","No","True","No","Fare Merchants - Gold Coast",,"Product Category 7","No","No",,"Regular","Midwest","Pure Perfect","No","SD - Sioux Falls","None","No",2,0,,0,100,8,308,-0.05,2,0,2402,308,57,,2280,8,80.87,31.48,64,0
"False",,"Medium","No","True","No","Nutrition Stop - Elkhorn",,"Product Category 7","No","No",,"Regular","Bay Area","Pure Perfect","No","IL - Chicago","None","No",14,0,,0,0,,,0,14,0,1747,,49,,1747,28,0,42.22,55,0
"False",,"Low","No","True","No","Nutrition Stop - Gainesville",,"Product Category 8","No","No",,"Regular","South","Tatva","No","NY - Middle Island","None","No",6,0,,0,100,23,370,0,6,0,1688,370,55,,1688,4,80.61,40.38,66,0
"True",,"Low","No","True","No","NTO Store - Dublin",,"Product Category 8","No","No",,"Regular","South","Tatva","No","OH - Ashland","None","No",18,0,,0,70.99,18,136,0,18,0,2326,370,37,,2326,83,72.31,41.18,46,0
"True","2020-06-03","Low","No","False","No","Nutrition Stop - Gainesville",,"Product Category 11","No","No","2018-01-06","Regular","South","Kelloggs Muesli","No","NY - Middle Island","None","No",6,0,5,99.91,100,17,161,0,6,0,1688,161,56,0,1688,4,0,41.67,66,0
"True",,"Medium","No","False","No","NTO Store - Berkeley",,"Product Category 8","No","No",,"Regular","West","Tatva","No","MD - Baltimore","None","No",7,0,,0,80.98,32,124,0,7,0,1896,276,55,,1896,14,86.13,50,67,0
"False",,"Medium","No","True","No","Alpine Nutrition Outlet (Hayward)",,"Product Category 8","No","No",,"Regular","South","Tatva","No","CA - San Jose","None","No",21,0,,0,71.49,21,349,0,21,0,1863,370,53,,1863,5,75.57,40.82,65,0
"True","2020-06-03","Medium","No","True","No","Alpine Nutrition Outlet (Hayward)",,"Product Category 11","No","No","2018-01-06","Regular","South","Kelloggs Muesli","No","CA - San Jose","None","No",21,0,5,99.97,100,21,161,0,21,0,1313,161,55,0,1313,5,0,38.78,65,0
"True","2020-06-03","High","No","True","No","Rondel Store - San Francisco Central",,"Product Category 11","No","No","2018-01-06","Regular","Northeast","Kelloggs Muesli","No","CA - Los Angeles","None","No",4,0,5,87.27,86.08,21,287,0.09,4,0,1834,325,57,0,2006,0,0,39.22,66,0
"False",,"Low","No","False","No","Nutrition Stop - Hillsdale",,"Product Category 8","No","No",,"Regular","Midwest","Tatva","No","NY - Albany","None","No",3,0,,84.33,91.78,11,348,0,3,0,1063,348,61,,1063,2,0,38.98,67,0
"True",,"High","No","True","No","Rondel Store - Evanston",,"Product Category 8","No","No",,"Regular","South","Tatva","No","TN - Mc Minnville","None","No",8,0,,0,88.92,8,370,0,8,0,2691,370,53,,2691,11,74.24,39.58,63,0
"False",,"Low","No","True","No","Fare Merchants - Irving",,"Product Category 8","No","No",,"Regular","Northeast","Tatva","No","OH - Hamilton","None","No",2,0,,0,89.87,18,250,0,2,0,1591,250,55,,1591,43,89.85,37.25,65,0
"True","2020-06-03","Low","No","False","No","Fare Merchants - Irving",,"Product Category 11","No","No","2018-01-06","Regular","Northeast","Kelloggs Muesli","No","OH - Hamilton","None","No",2,0,5,91.61,89.33,30,251,0,11,0,1606,325,56,0,1606,66,0,44,65,0
"True","2020-06-03","Low","No","False","No","NTO Store - Dublin",,"Product Category 11","No","No","2018-01-06","Regular","South","Kelloggs Muesli","No","OH - Ashland","None","No",20,0,5,99.82,100,21,161,0,20,0,2667,161,41,0,2667,63,0,51.35,46,0
"False",,"Low","No","False","No","Alpine Nutrition - Glendale",,"Product Category 7","No","No",,"Regular","Midwest","Pure Perfect","No","MI - Taylor","None","No",4,0,,0,87.99,41,308,0,4,0,1426,308,44,,1426,7,76.88,40,52,0
"False","2020-06-03","Medium","No","False","No","Fare Merchants - Chelsea",,"Product Category 11","No","No","2018-01-06","Regular","West","Kelloggs Muesli","No","NJ - Bridgeport","None","No",20,0,5,90.45,91.29,36,199,0,20,0,1799,319,51,0,1799,1,0,46.67,56,0
"False",,"Low","No","True","No","Nutrition Stop - Hillsdale",,"Product Category 7","No","No",,"Regular","Midwest","Pure Perfect","No","NY - Albany","None","No",1,0,,0,85.61,14,235,0,1,0,1352,308,60,,1352,0,83.44,31.48,67,0
"True",,"Low","No","False","No","Rondel Store - Chicago Streeterville",,"Product Category 8","No","No",,"Regular","West","Tatva","No","TX - Laredo","None","No",7,0,,0,41.3,14,128,0,7,0,773,276,55,,773,59,83.52,46.81,62,0
"True","2020-06-03","High","No","True","No","Rondel Store - Evanston",,"Product Category 11","No","No","2018-01-06","Regular","South","Kelloggs Muesli","No","TN - Mc Minnville","None","No",8,0,5,99.7,100,8,161,0,8,0,2190,161,57,0,2190,11,0,44.23,63,0
"False",,"Medium","No","False","No","Fare Merchants - Chelsea",,"Product Category 8","No","No",,"Regular","West","Tatva","No","NJ - Bridgeport","None","No",20,0,,0,91.67,22,184,0,20,0,1336,276,51,,1336,1,78.21,40.82,56,0
"True","2020-06-03","Medium","No","True","No","NTO Store - Berkeley",,"Product Category 11","No","No","2018-01-06","Regular","West","Kelloggs Muesli","No","MD - Baltimore","None","No",7,0,5,90.9,86.73,19,319,0,7,0,1791,319,58,0,1791,14,0,38.6,67,0
"True",,"Low","No","True","No","NTO Store - Alameda",,"Product Category 7","No","No",,"Regular","Bay Area","Pure Perfect","No","MI - Brighton","None","No",8,0,,0,0,,,0,8,0,994,,43,,994,22,0,50,49,0
"False",,"High","No","True","No","Rondel Store - San Francisco Central",,"Product Category 8","No","No",,"Regular","Northeast","Tatva","No","CA - Los Angeles","None","No",4,0,,0,78.7,21,250,0.16,4,0,1540,250,56,,1781,0,91.77,36.54,66,0
"True","2020-06-03","Low","No","False","No","Alpine Nutrition - San Francisco",,"Product Category 11","No","No","2018-01-06","Regular","Northeast","Kelloggs Muesli","No","TX - Irving","None","No",1,0,5,89.38,98.97,50,325,0,1,0,1864,325,51,0,1864,35,0,55.1,58,0
"True","2020-06-03","Low","No","False","No","Fare Merchants - Brooklyn",,"Product Category 11","No","No","2018-01-06","Regular","Northeast","Kelloggs Muesli","No","LA - New Orleans","None","No",0,0,5,81.53,81.42,27,242,0,7,0,2282,325,43,0,2282,9,0,37.5,47,0
"True","2020-06-03","Medium","No","False","No","Alpine Nutrition - Austin",,"Product Category 11","No","No","2018-01-06","Regular","Northeast","Kelloggs Muesli","No","WI - Milwaukee","None","No",7,0,5,88.29,93.01,19,325,0,7,0,1209,325,48,0,1209,115,0,43.18,56,0
"True",,"High","No","False","No","Fare Merchants - Gold Coast",,"Product Category 8","No","No",,"Regular","Midwest","Tatva","No","SD - Sioux Falls","None","No",1,0,,85.58,93.77,5,348,0,1,0,1919,348,56,,1919,75,0,45.83,64,0
"False","2020-06-03","Low","No","True","No","Fare Merchants - Austin",,"Product Category 11","No","No","2018-01-06","Regular","South","Kelloggs Muesli","No","NJ - Middlesex","None","No",5,0,5,99.76,100,11,161,0,5,0,2053,161,54,0,2053,10,0,36.96,62,0
"True",,"Low","No","False","No","Alpine Nutrition - San Francisco",,"Product Category 8","No","No",,"Regular","Northeast","Tatva","No","TX - Irving","None","No",1,0,,0,86.13,30,250,0,1,0,1504,250,50,,1504,35,89.83,45.65,58,0
,,"High","No","False","No","NTO Store - Ferry Plaza Market",,"Product Category 7","No","No",,"Regular","Midwest","Pure Perfect","No","AK - Anchorage","None","No",31,1618,,0,53,52,109,0,31,0,1146,308,42,,1146,38,85.78,46.15,48,-0.29
,,"High","No","True","No","NTO Store - Ferry Plaza Market",,"Product Category 8","No","No",,"Regular","Midwest","Tatva","No","AK - Anchorage","None","No",31,2108,,82.65,76.29,72,348,0,31,0,1281,348,41,,1281,4,0,36.59,48,-0.39
,"2020-06-03","High","No","True","No","Nutrition Stop - Kennesaw",,"Product Category 11","No","No","2018-01-06","Regular","West","Kelloggs Muesli","No","CA - San Jose","None","No",9,2406,5,86.76,90.44,43,258,0,9,0,1741,319,55,5,1741,52,0,40.43,64,-0.28
,,"Low","No",,"No","Fare Merchants - Brooklyn",,"Product Category 7","No","No",,"Regular","Northeast","Pure Perfect","No","LA - New Orleans","None","No",23,972,,90.46,89.36,23,234,0,,0,2064,257,39,,2064,73,89.25,0,46,1.12
,,"Low","No","False","No","Fare Merchants - Brooklyn",,"Product Category 8","No","No",,"Regular","Northeast","Tatva","No","LA - New Orleans","None","No",23,1234,,0,85.33,68,250,0,23,0,2186,250,41,,2186,20,88.09,42.5,46,0.77
,,"High","No","False","No","Nutrition Stop - Kennesaw",,"Product Category 8","No","No",,"Regular","West","Tatva","No","CA - San Jose","None","No",9,2112,,0,100,122,276,0,9,0,1391,276,55,,1391,52,84.72,47.06,64,-0.34
,"2020-06-03","Low","No","False","No","Rondel Store - Chicago Streeterville",,"Product Category 11","No","No","2018-01-06","Regular","West","Kelloggs Muesli","No","TX - Laredo","None","No",5,1291,5,90.19,100,64,319,0,13,0,1050,319,53,5,1050,64,0,50,59,-0.19
,"2020-06-03","Low","No",,"No","Nutrition Stop - Hillsdale",,"Product Category 11","No","No","2018-01-06","Regular","Midwest","Kelloggs Muesli","No","NY - Albany","None","No",7,1698,5,95.08,92.37,19,192,0,,0,961,238,61,5,961,9,95.02,0,66,-0.43
,"2020-06-03","Low","No",,"No","Rondel Store - Chicago South Loop",,"Product Category 11","No","No","2018-01-06","Regular","Bay Area","Kelloggs Muesli","No","AZ - Phoenix","None","No",4,1721,5,0,98.02,26,320,0,,0,862,320,57,5,862,21,76.83,0,67,-0.5
,,"Low","No","True","No","Rondel Store - Chicago South Loop",,"Product Category 7","No","No",,"Regular","Bay Area","Pure Perfect","No","AZ - Phoenix","None","No",4,2341,,0,0,,,0,4,0,1934,,57,,1934,22,0,46.46,67,-0.17
,,"Low","No","False","No","Alpine Nutrition - Glendale",,"Product Category 8","No","No",,"Regular","Midwest","Tatva","No","MI - Taylor","None","No",5,1835,,89.18,82.59,62,340,0,5,0,1491,348,41,,1491,1,0,30.3,52,-0.19
,"2020-06-03","Low","No",,"No","NTO Store - Alameda",,"Product Category 11","No","No","2018-01-06","Regular","Bay Area","Kelloggs Muesli","No","MI - Brighton","None","No",8,1095,5,0,71.87,26,264,0,,0,1419,320,43,5,1419,10,80.77,0,47,0.3
,"2020-06-03","High","No",,"No","Fare Merchants - Gold Coast",,"Product Category 11","No","No","2018-01-06","Regular","Midwest","Kelloggs Muesli","No","SD - Sioux Falls","None","No",26,1762,5,95.14,95.5,34,238,0,,0,2585,238,55,5,2585,21,94.93,0,62,0.47
,,"Low","No","False","No","NTO Store - Presidio",,"Product Category 7","No","No",,"Regular","Bay Area","Pure Perfect","No","PA - Kulpsville","None","No",10,1409,,0,0,,,0,10,0,1578,,54,,1578,37,0,48.45,61,0.12
,,"Low","No",,"No","NTO Store - Presidio",,"Product Category 8","No","No",,"Regular","Bay Area","Tatva","No","PA - Kulpsville","None","No",10,1681,,96.69,95.64,47,242,0,,0,1823,242,53,,1823,37,0,0,61,0.08
,,"Low","No",,"No","Fare Merchants - Austin",,"Product Category 7","No","No",,"Regular","South","Pure Perfect","No","NJ - Middlesex","None","No",22,989,,97.34,80.46,30,147,0,,0,2252,412,51,,2252,19,76.92,0,59,1.28
,,"Low","No","False","No","Fare Merchants - Austin",,"Product Category 8","No","No",,"Regular","South","Tatva","No","NJ - Middlesex","None","No",22,2014,,0,79.31,28,237,0,22,0,2595,370,51,,2595,19,72.33,41.67,59,0.29
,,"High","No","True","No","NTO Store - Noe Valley",,"Product Category 7","No","No",,"Regular","Bay Area","Pure Perfect","No",,"None","No",4,2009,,0,0,,,0,4,0,2105,,46,,2105,125,0,34.18,54,0.05
,,"Medium","No","False","No","Rondel Store - Austin East",,"Product Category 7","No","No",,"Regular","Midwest","Pure Perfect","No","OH - Chagrin Falls","None","No",6,1224,,0,100,18,308,0,6,0,1902,308,42,,1902,6,78.28,18.42,51,0.55
,,"Medium","No","False","No","Rondel Store - Austin East",,"Product Category 8","No","No",,"Regular","Midwest","Tatva","No","OH - Chagrin Falls","None","No",6,1403,,81.73,94.73,38,293,0,6,0,1786,348,43,,1786,39,0,35,51,0.27
,,"Medium","No",,"No","Alpine Nutrition - Austin",,"Product Category 7","No","No",,"Regular","Northeast","Pure Perfect","No","WI - Milwaukee","None","No",1,1998,,89.92,99.55,43,334,0,,0,1526,334,48,,1526,3,87.33,0,56,-0.24
,,"Medium","No","False","No","Alpine Nutrition - Austin",,"Product Category 8","No","No",,"Regular","Northeast","Tatva","No","WI - Milwaukee","None","No",1,1710,,0,79.04,43,142,0,1,0,1443,250,47,,1443,114,89.62,31.11,56,-0.16
,,"Low","No",,"No","NTO Store - Alameda",,"Product Category 8","No","No",,"Regular","Bay Area","Tatva","No","MI - Brighton","None","No",8,972,,95.98,97.93,26,243,0,,0,1484,243,42,,1484,36,0,0,47,0.53
,,"Low","No",,"No","Alpine Nutrition - Noe Valley",,"Product Category 7","No","No",,"Regular","West","Pure Perfect","No","IL - Rockford","None","No",1,2046,,95.28,87.35,19,303,0,,0,1672,303,48,,1672,6,85.27,0,58,-0.18
,,"Low","No","False","No","Alpine Nutrition - Noe Valley",,"Product Category 8","No","No",,"Regular","West","Tatva","No","IL - Rockford","None","No",1,2119,,0,64.67,19,133,0,1,0,1539,276,48,,1539,6,82.76,42.86,58,-0.27
,"2020-06-03","Low","No","True","No","Alpine Nutrition - Noe Valley",,"Product Category 11","No","No","2018-01-06","Regular","West","Kelloggs Muesli","No","IL - Rockford","None","No",1,1821,5,91.46,75.86,35,242,0,1,0,2254,319,49,5,2254,6,0,31.11,58,0.24
,,"High","No","True","No","Fare Merchants - Gold Coast",,"Product Category 7","No","No",,"Regular","Midwest","Pure Perfect","No","SD - Sioux Falls","None","No",26,1709,,0,100,35,308,0,26,0,2502,308,55,,2502,21,80.07,32.69,62,0.46
,,"Medium","No","False","No","Nutrition Stop - Elkhorn",,"Product Category 7","No","No",,"Regular","Bay Area","Pure Perfect","No","IL - Chicago","None","No",6,1304,,0,0,,,0,6,0,1747,,48,,1747,35,0,40.91,54,0.34
,,"Medium","No",,"No","Nutrition Stop - Elkhorn",,"Product Category 8","No","No",,"Regular","Bay Area","Tatva","No","IL - Chicago","None","No",6,992,,94.44,97.32,21,242,0,,0,1579,242,48,,1579,37,0,0,54,0.59
,,"High","No",,"No","Rondel Store - San Francisco Central",,"Product Category 7","No","No",,"Regular","Northeast","Pure Perfect","No","CA - Los Angeles","None","No",6,1974,,88.22,91.16,27,334,0,,0,2183,334,54,,2183,5,87.24,0,64,0.11
,,"Medium","No",,"No","Alpine Nutrition Outlet (Hayward)",,"Product Category 7","No","No",,"Regular","South","Pure Perfect","No","CA - San Jose","None","No",1,1747,,97.51,86.7,52,405,0,,0,2003,412,54,,2003,66,71.14,0,65,0.15
,"2020-06-03","Medium","No",,"No","Rondel Store - Austin East",,"Product Category 11","No","No","2018-01-06","Regular","Midwest","Kelloggs Muesli","No","OH - Chagrin Falls","None","No",6,2287,5,97.5,95.34,29,169,0,,0,1974,169,44,5,1974,57,95.35,0,51,-0.14
,,"High","No",,"No","Nutrition Stop - Kennesaw",,"Product Category 7","No","No",,"Regular","West","Pure Perfect","No","CA - San Jose","None","No",9,3025,,91.54,72.94,41,303,0,,0,951,303,54,,951,52,87.32,0,64,-0.69
,,"Medium","No",,"No","NTO Store - Berkeley",,"Product Category 7","No","No",,"Regular","West","Pure Perfect","No","MD - Baltimore","None","No",6,1327,,94.5,83.35,25,190,0,,0,1485,266,56,,1485,18,85.41,0,65,0.12
,,"Low","No","False","No","Nutrition Stop - Gainesville",,"Product Category 8","No","No",,"Regular","South","Tatva","No","NY - Middle Island","None","No",6,2453,,0,100,30,370,0,6,0,1688,370,51,,1688,10,81.6,39.58,62,-0.31
,"2020-06-03","High","No",,"No","NTO Store - Ferry Plaza Market",,"Product Category 11","No","No","2018-01-06","Regular","Midwest","Kelloggs Muesli","No","AK - Anchorage","None","No",31,1530,5,95.22,90.25,52,162,0,,0,1836,169,42,5,1836,4,95.3,0,48,0.2
,,"Low","No",,"No","NTO Store - Dublin",,"Product Category 7","No","No",,"Regular","South","Pure Perfect","No","OH - Ashland","None","No",13,1242,,95.65,91.7,31,237,0,,0,1894,237,38,,1894,9,67.89,0,46,0.52
,,"Low","No","True","No","NTO Store - Dublin",,"Product Category 8","No","No",,"Regular","South","Tatva","No","OH - Ashland","None","No",13,1177,,0,70.99,31,136,0,13,0,2469,370,37,,2469,9,72.31,41.18,46,1.1
,"2020-06-03","Low","No","True","No","Nutrition Stop - Gainesville",,"Product Category 11","No","No","2018-01-06","Regular","South","Kelloggs Muesli","No","NY - Middle Island","None","No",6,1777,5,99.9,100,23,161,0,6,0,1688,161,52,5,1688,10,0,40,62,-0.05
,,"Low","No",,"No","Nutrition Stop - Gainesville",,"Product Category 7","No","No",,"Regular","South","Pure Perfect","No","NY - Middle Island","None","No",6,2388,,95.77,73.27,23,219,0,,0,2079,412,52,,2079,10,67.11,0,62,-0.13
,,"Medium","No","True","No","NTO Store - Berkeley",,"Product Category 8","No","No",,"Regular","West","Tatva","No","MD - Baltimore","None","No",6,1573,,0,80.98,38,124,0,6,0,1896,276,53,,1896,21,86.88,48.08,65,0.21
,,"Medium","No","False","No","Alpine Nutrition Outlet (Hayward)",,"Product Category 8","No","No",,"Regular","South","Tatva","No","CA - San Jose","None","No",1,2225,,0,71.49,23,349,0,1,0,1863,370,53,,1863,7,75.57,40.82,65,-0.16
,"2020-06-03","Medium","No","True","No","Alpine Nutrition Outlet (Hayward)",,"Product Category 11","No","No","2018-01-06","Regular","South","Kelloggs Muesli","No","CA - San Jose","None","No",1,2180,5,99.97,100,23,161,0,1,0,1313,161,55,5,1313,7,0,38.78,65,-0.4
,"2020-06-03","High","No","True","No","Rondel Store - San Francisco Central",,"Product Category 11","No","No","2018-01-06","Regular","Northeast","Kelloggs Muesli","No","CA - Los Angeles","None","No",6,1949,5,88.42,86.08,27,287,0,6,0,2006,325,55,5,2006,5,0,38.78,64,0.03
,,"Low","No","False","No","Nutrition Stop - Hillsdale",,"Product Category 8","No","No",,"Regular","Midwest","Tatva","No","NY - Albany","None","No",7,1657,,84.04,91.78,19,348,0,7,0,1063,348,60,,1063,9,0,37.93,66,-0.36
,,"High","No",,"No","Rondel Store - Evanston",,"Product Category 7","No","No",,"Regular","South","Pure Perfect","No","TN - Mc Minnville","None","No",21,1766,,94.8,70.73,30,237,0,,0,2728,237,55,,2728,15,68.83,0,61,0.54
,,"High","No","True","No","Rondel Store - Evanston",,"Product Category 8","No","No",,"Regular","South","Tatva","No","TN - Mc Minnville","None","No",21,971,,0,88.92,30,370,0,21,0,2978,370,52,,2978,12,73.59,39.58,61,2.07
,,"Low","No","False","No","Fare Merchants - Irving",,"Product Category 8","No","No",,"Regular","Northeast","Tatva","No","OH - Hamilton","None","No",3,1990,,0,89.87,22,250,0,3,0,1641,250,54,,1641,0,89.63,36,65,-0.18
,"2020-06-03","Low","No","True","No","Fare Merchants - Irving",,"Product Category 11","No","No","2018-01-06","Regular","Northeast","Kelloggs Muesli","No","OH - Hamilton","None","No",3,2489,5,91.61,89.33,34,251,0,3,0,1730,325,55,5,1730,0,0,44,65,-0.3
,,"Low","No",,"No","Fare Merchants - Irving",,"Product Category 7","No","No",,"Regular","Northeast","Pure Perfect","No","OH - Hamilton","None","No",3,2182,,88.57,92.65,22,334,0,,0,1445,334,54,,1445,0,86.43,0,65,-0.34
,,"High","No",,"No","NTO Store - Noe Valley",,"Product Category 8","No","No",,"Regular","Bay Area","Tatva","No",,"None","No",4,1830,,94.88,100,42,243,0,,0,2224,243,47,,2224,12,0,0,54,0.22
,"2020-06-03","Low","No","True","No","NTO Store - Dublin",,"Product Category 11","No","No","2018-01-06","Regular","South","Kelloggs Muesli","No","OH - Ashland","None","No",13,1159,5,99.8,100,54,161,0,33,0,2758,161,38,5,2758,9,0,48.48,46,1.38
,,"Low","No","False","No","Alpine Nutrition - Glendale",,"Product Category 7","No","No",,"Regular","Midwest","Pure Perfect","No","MI - Taylor","None","No",5,1897,,0,87.99,47,308,0,5,0,1618,308,44,,1618,1,76.88,40,52,-0.15
,,"Medium","No",,"No","Fare Merchants - Chelsea",,"Product Category 7","No","No",,"Regular","West","Pure Perfect","No","NJ - Bridgeport","None","No",10,1699,,91.4,84.96,32,123,0,,0,1479,303,49,,1479,12,84.34,0,56,-0.13
,"2020-06-03","Medium","No","False","No","Fare Merchants - Chelsea",,"Product Category 11","No","No","2018-01-06","Regular","West","Kelloggs Muesli","No","NJ - Bridgeport","None","No",10,1498,5,90.26,91.29,47,199,0,10,0,1712,319,50,5,1712,7,0,45.45,56,0.14
,,"Low","No","False","No","Nutrition Stop - Hillsdale",,"Product Category 7","No","No",,"Regular","Midwest","Pure Perfect","No","NY - Albany","None","No",7,2081,,0,85.61,24,235,0,10,0,1489,308,60,,1489,9,83.44,31.48,66,-0.28
,,"Low","No","True","No","Rondel Store - Chicago Streeterville",,"Product Category 8","No","No",,"Regular","West","Tatva","No","TX - Laredo","None","No",5,1982,,0,41.3,19,128,0,5,0,773,276,53,,773,64,83.16,46.67,59,-0.61
,,"Low","No",,"No","Rondel Store - Chicago Streeterville",,"Product Category 7","No","No",,"Regular","West","Pure Perfect","No","TX - Laredo","None","No",13,1574,,91.46,91.09,19,266,0,,0,1305,266,50,,1305,22,88.58,0,59,-0.17
,"2020-06-03","Low","No",,"No","NTO Store - Presidio",,"Product Category 11","No","No","2018-01-06","Regular","Bay Area","Kelloggs Muesli","No","PA - Kulpsville","None","No",10,1812,5,0,54.89,47,116,0,,0,1658,320,54,5,1658,8,78.66,0,61,-0.08
