"IndustrySegment","Period","PeriodStartDate","RevenueBucket","Revenue"
"Specialty Materials","Rest of the Records","2017-10-22","3m - 3.5m",3227001
"Paper & Packaging","Rest of the Records","2017-12-08","1.5m - 2m",1657001
"Coatings & Inks","Rest of the Records","2017-05-27","1.5m - 2m",1904001
"Paper & Packaging","Rest of the Records","2018-06-02","1m - 1.5m",1077000
"Textiles","Rest of the Records","2019-09-24","1.5m - 2m",1594001
"Specialty Materials","One Month Ago","2021-08-31","2m - 2.5m",2180001
"Coatings & Inks","Four Months Ago","2021-05-11","3m - 3.5m",3474001
"Specialty Materials","Rest of the Records","2019-09-27","3m - 3.5m",3139001
"Paper & Packaging","Rest of the Records","2018-12-31","3.5m - 4m",3987001
"Textiles","Rest of the Records","2018-10-02","4.5m - 5m",4628000
"Paper & Packaging","Rest of the Records","2018-01-23","4m - 4.5m",4170001
"Specialty Materials","Two Months Ago","2021-07-23","3m - 3.5m",3433001
"Coatings & Inks","Current Month","2021-09-16","2m - 2.5m",2393001
"Textiles","Rest of the Records","2021-02-25","3.5m - 4m",3951001
"Textiles","Rest of the Records","2020-10-04","2m - 2.5m",2119001
"Paper & Packaging","Three Months Ago","2021-06-13","4m - 4.5m",4142001
"Specialty Materials","Rest of the Records","2021-04-22","2.5m - 3m",2924001
"Coatings & Inks","Rest of the Records","2020-09-26","4m - 4.5m",4340001
"Coatings & Inks","Rest of the Records","2017-12-19","2m - 2.5m",2284001
"Paper & Packaging","Rest of the Records","2017-09-21","2.5m - 3m",2562001
"Textiles","Rest of the Records","2017-08-14","1m - 1.5m",1367000
"Specialty Materials","Rest of the Records","2020-04-03","3m - 3.5m",3217001
"Coatings & Inks","Rest of the Records","2020-09-11","2m - 2.5m",2412001
"Paper & Packaging","Rest of the Records","2020-05-06","1.5m - 2m",1926001
"Textiles","Rest of the Records","2017-10-05","3.5m - 4m",3936001
"Specialty Materials","Rest of the Records","2017-05-27","4.5m - 5m",4587000
"Specialty Materials","Rest of the Records","2020-08-26","2m - 2.5m",2222001
"Coatings & Inks","Rest of the Records","2018-09-15","3m - 3.5m",3438001
"Textiles","Rest of the Records","2019-07-01","2.5m - 3m",2534001
"Paper & Packaging","Rest of the Records","2020-05-16","1m - 1.5m",1304000
"Textiles","Rest of the Records","2018-05-21","3m - 3.5m",3030001
"Coatings & Inks","Rest of the Records","2021-01-26","2.5m - 3m",2754001
"Specialty Materials","Rest of the Records","2020-11-20","4m - 4.5m",4218001
"Paper & Packaging","Rest of the Records","2020-06-17","3.5m - 4m",3944001
"Specialty Materials","Rest of the Records","2018-01-29","1.5m - 2m",1559001
"Coatings & Inks","Rest of the Records","2017-09-23","1.5m - 2m",1886001
"Paper & Packaging","Rest of the Records","2018-06-23","4m - 4.5m",4367001
"Textiles","Rest of the Records","2020-11-22","2.5m - 3m",2894001
"Coatings & Inks","Rest of the Records","2019-11-28","4.5m - 5m",4991000
"Paper & Packaging","Rest of the Records","2018-04-22","2m - 2.5m",2049001
"Textiles","Rest of the Records","2018-02-27","3m - 3.5m",3088001
"Specialty Materials","Rest of the Records","2020-07-23","1m - 1.5m",1370000
"Paper & Packaging","Rest of the Records","2017-09-06","1.5m - 2m",1582001
"Textiles","Rest of the Records","2019-09-20","4.5m - 5m",4514000
"Specialty Materials","Rest of the Records","2019-05-19","3.5m - 4m",3858001
"Coatings & Inks","Rest of the Records","2017-10-18","3.5m - 4m",3779001
"Paper & Packaging","Rest of the Records","2020-07-11","4.5m - 5m",4892000
"Textiles","Rest of the Records","2018-10-24","2.5m - 3m",2684001
"Specialty Materials","Rest of the Records","2021-01-11","1.5m - 2m",1645001
"Coatings & Inks","Rest of the Records","2019-10-11","1m - 1.5m",1056000
"Paper & Packaging","Rest of the Records","2017-08-19","4.5m - 5m",4843000
"Coatings & Inks","Rest of the Records","2017-09-18","3m - 3.5m",3366001
"Specialty Materials","Rest of the Records","2018-10-22","2m - 2.5m",2008001
"Textiles","Rest of the Records","2021-04-30","1m - 1.5m",1173000
"Textiles","Rest of the Records","2017-07-09","4m - 4.5m",4170001
"Coatings & Inks","Rest of the Records","2017-11-07","3.5m - 4m",3580001
"Specialty Materials","Rest of the Records","2021-02-11","3m - 3.5m",3100001
"Paper & Packaging","Rest of the Records","2018-05-01","3.5m - 4m",3590001
"Coatings & Inks","Rest of the Records","2020-10-18","2m - 2.5m",2099001
"Paper & Packaging","Rest of the Records","2020-07-14","4m - 4.5m",4089001
"Specialty Materials","Rest of the Records","2018-08-16","2.5m - 3m",2862001
"Textiles","Rest of the Records","2019-04-08","2m - 2.5m",2466001
"Specialty Materials","Rest of the Records","2019-06-25","4.5m - 5m",4767000
"Coatings & Inks","Rest of the Records","2020-01-09","2.5m - 3m",2500001
"Paper & Packaging","Three Months Ago","2021-06-29","1.5m - 2m",1674001
"Textiles","Two Months Ago","2021-07-17","3.5m - 4m",3804001
"Textiles","Four Months Ago","2021-05-25","1m - 1.5m",1364000
"Paper & Packaging","Current Month","2021-09-06","3m - 3.5m",3065001
"Specialty Materials","One Month Ago","2021-08-28","4m - 4.5m",4284001
"Coatings & Inks","Rest of the Records","2019-05-21","1.5m - 2m",1594001
"Textiles","Rest of the Records","2018-01-21","3.5m - 4m",3640001
"Specialty Materials","Rest of the Records","2018-09-06","2m - 2.5m",2378001
"Paper & Packaging","Rest of the Records","2020-06-05","2.5m - 3m",2927001
"Coatings & Inks","Rest of the Records","2018-11-07","4m - 4.5m",4469001
"Coatings & Inks","Rest of the Records","2017-05-27","4m - 4.5m",4068001
"Textiles","Rest of the Records","2019-03-18","3m - 3.5m",3203001
"Specialty Materials","Rest of the Records","2018-03-13","1.5m - 2m",1633001
"Paper & Packaging","Rest of the Records","2018-12-23","1m - 1.5m",1497000
"Coatings & Inks","Rest of the Records","2020-04-13","4.5m - 5m",4977000
"Textiles","Rest of the Records","2020-11-20","3m - 3.5m",3001001
"Specialty Materials","Rest of the Records","2019-12-27","3.5m - 4m",3518001
"Paper & Packaging","Rest of the Records","2018-05-13","4m - 4.5m",4028001
"Coatings & Inks","Rest of the Records","2019-01-14","1m - 1.5m",1428000
"Specialty Materials","Rest of the Records","2020-01-28","1.5m - 2m",1573001
"Textiles","Rest of the Records","2019-10-29","2.5m - 3m",2799001
"Paper & Packaging","Rest of the Records","2018-09-17","4.5m - 5m",4831000
"Textiles","Rest of the Records","2018-09-07","2m - 2.5m",2269001
"Specialty Materials","Rest of the Records","2017-08-06","1m - 1.5m",1007000
"Coatings & Inks","Rest of the Records","2017-09-01","3.5m - 4m",3953001
"Paper & Packaging","Rest of the Records","2020-04-06","3.5m - 4m",3511001
"Coatings & Inks","Rest of the Records","2020-03-10","2m - 2.5m",2202001
"Textiles","Rest of the Records","2020-06-10","3m - 3.5m",3247001
"Paper & Packaging","Rest of the Records","2020-07-21","4m - 4.5m",4071001
"Specialty Materials","Rest of the Records","2017-12-30","1m - 1.5m",1287000
"Coatings & Inks","Rest of the Records","2020-08-12","3m - 3.5m",3499001
"Specialty Materials","Rest of the Records","2018-02-08","2m - 2.5m",2185001
"Textiles","Rest of the Records","2019-09-17","3m - 3.5m",3345001
"Paper & Packaging","Rest of the Records","2020-01-15","1.5m - 2m",1535001
"Textiles","Rest of the Records","2018-02-07","4.5m - 5m",4920000
"Coatings & Inks","Rest of the Records","2020-02-17","2.5m - 3m",2832001
"Paper & Packaging","Rest of the Records","2018-07-02","4.5m - 5m",4675000
"Specialty Materials","Rest of the Records","2018-01-24","3.5m - 4m",3672001
"Coatings & Inks","Rest of the Records","2018-10-08","4.5m - 5m",4673000
"Paper & Packaging","Rest of the Records","2018-02-06","2.5m - 3m",2618001
"Textiles","Rest of the Records","2017-05-09","2m - 2.5m",2370001
"Specialty Materials","Rest of the Records","2017-08-07","2.5m - 3m",2526001
"Coatings & Inks","Rest of the Records","2019-02-27","1.5m - 2m",1925001
"Paper & Packaging","Rest of the Records","2019-08-22","4m - 4.5m",4398001
"Textiles","Rest of the Records","2018-08-08","3m - 3.5m",3053001
"Specialty Materials","Rest of the Records","2020-06-14","4.5m - 5m",4807000
"Specialty Materials","Rest of the Records","2019-10-04","3.5m - 4m",3879001
"Paper & Packaging","Rest of the Records","2021-04-14","1.5m - 2m",1552001
"Textiles","Rest of the Records","2018-03-02","1m - 1.5m",1361000
"Coatings & Inks","Rest of the Records","2018-11-27","2m - 2.5m",2164001
"Textiles","Rest of the Records","2020-05-10","3m - 3.5m",3233001
"Coatings & Inks","Rest of the Records","2019-10-12","3m - 3.5m",3324001
"Paper & Packaging","Rest of the Records","2017-07-04","2.5m - 3m",2704001
"Specialty Materials","Rest of the Records","2017-09-01","3.5m - 4m",3954001
"Specialty Materials","Rest of the Records","2018-11-03","4m - 4.5m",4460001
"Coatings & Inks","Rest of the Records","2018-10-18","1m - 1.5m",1112000
"Paper & Packaging","Rest of the Records","2020-09-10","2m - 2.5m",2134001
"Textiles","Rest of the Records","2018-02-23","4.5m - 5m",4867000
"Specialty Materials","Rest of the Records","2017-07-02","1.5m - 2m",1768001
"Textiles","Three Months Ago","2021-06-22","3m - 3.5m",3141001
"Coatings & Inks","One Month Ago","2021-08-27","2m - 2.5m",2484001
"Paper & Packaging","Four Months Ago","2021-05-16","3.5m - 4m",3723001
"Paper & Packaging","Rest of the Records","2019-08-01","4m - 4.5m",4314001
"Textiles","Two Months Ago","2021-07-06","1.5m - 2m",1803001
"Specialty Materials","Current Month","2021-09-12","2m - 2.5m",2266001
"Coatings & Inks","Rest of the Records","2019-08-16","4m - 4.5m",4353001
"Specialty Materials","Rest of the Records","2017-09-14","4.5m - 5m",4761000
"Paper & Packaging","Rest of the Records","2019-03-01","2.5m - 3m",2822001
"Textiles","Rest of the Records","2019-07-24","1m - 1.5m",1324000
"Coatings & Inks","Rest of the Records","2020-09-04","3.5m - 4m",3861001
"Paper & Packaging","Rest of the Records","2018-08-02","3m - 3.5m",3243001
"Coatings & Inks","Rest of the Records","2018-01-12","2m - 2.5m",2489001
"Specialty Materials","Rest of the Records","2019-05-18","4m - 4.5m",4378001
"Textiles","Rest of the Records","2017-08-25","4.5m - 5m",4721000
"Coatings & Inks","Rest of the Records","2018-10-01","1.5m - 2m",1550001
"Textiles","Rest of the Records","2019-12-15","2.5m - 3m",2993001
"Paper & Packaging","Rest of the Records","2017-11-30","1.5m - 2m",1748001
"Specialty Materials","Rest of the Records","2018-05-20","3.5m - 4m",3559001
"Specialty Materials","Rest of the Records","2019-09-17","2m - 2.5m",2478001
"Coatings & Inks","Rest of the Records","2017-08-05","3m - 3.5m",3245001
"Textiles","Rest of the Records","2020-02-18","1m - 1.5m",1211000
"Paper & Packaging","Rest of the Records","2020-03-24","1m - 1.5m",1221000
"Coatings & Inks","Rest of the Records","2019-01-24","4.5m - 5m",4865000
"Textiles","Rest of the Records","2019-05-11","3m - 3.5m",3298001
"Specialty Materials","Rest of the Records","2018-11-08","4m - 4.5m",4278001
"Paper & Packaging","Rest of the Records","2020-01-24","1m - 1.5m",1054000
"Coatings & Inks","Rest of the Records","2018-10-06","2.5m - 3m",2650001
"Specialty Materials","Rest of the Records","2019-07-18","3.5m - 4m",3848001
"Textiles","Rest of the Records","2018-05-14","1.5m - 2m",1669001
"Paper & Packaging","Rest of the Records","2020-03-13","2m - 2.5m",2086001
"Specialty Materials","Rest of the Records","2019-02-25","4.5m - 5m",4851000
"Paper & Packaging","Rest of the Records","2018-01-30","2.5m - 3m",2516001
"Coatings & Inks","Rest of the Records","2018-05-14","4m - 4.5m",4203001
"Textiles","Rest of the Records","2019-05-19","3m - 3.5m",3220001
"Textiles","Rest of the Records","2019-10-11","1m - 1.5m",1158000
"Paper & Packaging","Rest of the Records","2017-12-28","2m - 2.5m",2418001
"Specialty Materials","Rest of the Records","2020-04-17","3.5m - 4m",3859001
"Coatings & Inks","Rest of the Records","2019-04-27","3.5m - 4m",3883001
"Specialty Materials","Rest of the Records","2018-05-28","3m - 3.5m",3381001
"Textiles","Rest of the Records","2018-05-24","3.5m - 4m",3633001
"Coatings & Inks","Rest of the Records","2021-04-21","1m - 1.5m",1140000
"Paper & Packaging","Rest of the Records","2020-06-28","1.5m - 2m",1686001
"Textiles","Rest of the Records","2017-11-13","4.5m - 5m",4506000
"Specialty Materials","Rest of the Records","2019-07-09","4m - 4.5m",4499001
"Coatings & Inks","Rest of the Records","2020-05-03","3.5m - 4m",3936001
"Paper & Packaging","Rest of the Records","2018-01-03","2.5m - 3m",2592001
"Coatings & Inks","Rest of the Records","2019-02-23","4m - 4.5m",4313001
"Specialty Materials","Rest of the Records","2017-11-18","3m - 3.5m",3248001
"Paper & Packaging","Rest of the Records","2018-04-12","4.5m - 5m",4893000
"Textiles","Rest of the Records","2018-03-10","1m - 1.5m",1347000
"Coatings & Inks","Rest of the Records","2019-02-08","1m - 1.5m",1436000
"Specialty Materials","Rest of the Records","2020-04-29","3.5m - 4m",3504001
"Textiles","Rest of the Records","2020-07-12","1.5m - 2m",1516001
"Paper & Packaging","Rest of the Records","2020-05-08","2.5m - 3m",2778001
"Textiles","Rest of the Records","2017-08-03","4m - 4.5m",4464001
"Paper & Packaging","Rest of the Records","2019-01-13","3m - 3.5m",3078001
"Coatings & Inks","Rest of the Records","2017-08-22","4.5m - 5m",4649000
"Specialty Materials","Rest of the Records","2020-05-16","1m - 1.5m",1354000
"Paper & Packaging","Current Month","2021-09-25","2.5m - 3m",2773001
"Specialty Materials","Four Months Ago","2021-05-27","4m - 4.5m",4070001
"Coatings & Inks","Rest of the Records","2020-07-22","2.5m - 3m",2528001
"Textiles","Rest of the Records","2019-09-27","4.5m - 5m",4539000
"Specialty Materials","Three Months Ago","2021-06-03","3.5m - 4m",3676001
"Paper & Packaging","Two Months Ago","2021-07-03","2m - 2.5m",2489001
"Textiles","One Month Ago","2021-08-13","2m - 2.5m",2460001
"Coatings & Inks","Rest of the Records","2020-08-10","3m - 3.5m",3064001
"Textiles","Rest of the Records","2018-10-08","3m - 3.5m",3320001
"Coatings & Inks","Rest of the Records","2020-05-27","3m - 3.5m",3155001
"Specialty Materials","Rest of the Records","2019-01-16","3.5m - 4m",3707001
"Paper & Packaging","Rest of the Records","2018-12-22","1.5m - 2m",1608001
"Textiles","Rest of the Records","2020-03-18","2.5m - 3m",2555001
"Coatings & Inks","Rest of the Records","2020-07-03","2m - 2.5m",2046001
"Specialty Materials","Rest of the Records","2018-07-16","4m - 4.5m",4036001
"Paper & Packaging","Rest of the Records","2019-08-29","1m - 1.5m",1131000
"Paper & Packaging","Rest of the Records","2017-08-06","2m - 2.5m",2469001
"Textiles","Rest of the Records","2017-10-08","1.5m - 2m",1520001
"Specialty Materials","Rest of the Records","2019-02-14","4.5m - 5m",4971000
"Coatings & Inks","Rest of the Records","2020-11-25","1m - 1.5m",1140000
"Textiles","Rest of the Records","2020-10-29","4m - 4.5m",4006001
"Coatings & Inks","Rest of the Records","2020-12-02","2.5m - 3m",2660001
"Paper & Packaging","Rest of the Records","2020-06-30","1m - 1.5m",1305000
"Specialty Materials","Rest of the Records","2019-04-03","2m - 2.5m",2097001
"Specialty Materials","Rest of the Records","2020-09-29","2.5m - 3m",2872001
"Paper & Packaging","Rest of the Records","2020-05-20","3m - 3.5m",3362001
"Textiles","Rest of the Records","2020-12-06","3.5m - 4m",3724001
"Coatings & Inks","Rest of the Records","2020-09-18","3.5m - 4m",3508001
"Specialty Materials","Rest of the Records","2021-03-04","3.5m - 4m",3584001
"Textiles","Rest of the Records","2019-08-31","1.5m - 2m",1869001
"Paper & Packaging","Rest of the Records","2020-04-24","3m - 3.5m",3344001
"Coatings & Inks","Rest of the Records","2020-06-02","2m - 2.5m",2233001
"Paper & Packaging","Rest of the Records","2019-01-28","4m - 4.5m",4072001
"Coatings & Inks","Rest of the Records","2021-01-26","4.5m - 5m",4839000
"Specialty Materials","Rest of the Records","2019-05-24","1m - 1.5m",1409000
"Textiles","Rest of the Records","2018-01-29","3m - 3.5m",3200001
"Paper & Packaging","Rest of the Records","2019-11-20","2.5m - 3m",2864001
"Textiles","Rest of the Records","2020-02-06","1.5m - 2m",1547001
"Specialty Materials","Rest of the Records","2017-12-08","2m - 2.5m",2346001
"Coatings & Inks","Rest of the Records","2020-01-25","4m - 4.5m",4434001
"Paper & Packaging","Rest of the Records","2018-02-06","4.5m - 5m",4920000
"Textiles","Rest of the Records","2021-01-30","4.5m - 5m",4719000
"Coatings & Inks","Rest of the Records","2021-03-26","3m - 3.5m",3463001
"Specialty Materials","Rest of the Records","2020-03-10","4m - 4.5m",4427001
"Textiles","Rest of the Records","2019-08-30","3m - 3.5m",3093001
"Specialty Materials","Rest of the Records","2018-03-12","2m - 2.5m",2427001
"Paper & Packaging","Rest of the Records","2020-10-24","4.5m - 5m",4676000
"Coatings & Inks","Rest of the Records","2018-03-09","1.5m - 2m",1724001
"Specialty Materials","Rest of the Records","2020-05-30","1.5m - 2m",1504001
"Textiles","Rest of the Records","2017-10-10","3.5m - 4m",3810001
"Coatings & Inks","Rest of the Records","2021-01-12","1.5m - 2m",1750001
"Paper & Packaging","Rest of the Records","2018-08-31","2.5m - 3m",2766001
"Specialty Materials","Rest of the Records","2019-04-14","3.5m - 4m",3791001
"Paper & Packaging","Rest of the Records","2020-09-22","3m - 3.5m",3379001
"Coatings & Inks","Rest of the Records","2018-07-16","2.5m - 3m",2516001
"Textiles","Rest of the Records","2021-01-02","4m - 4.5m",4153001
"Paper & Packaging","Rest of the Records","2017-07-25","4.5m - 5m",4798000
"Coatings & Inks","Rest of the Records","2018-06-11","2m - 2.5m",2216001
"Specialty Materials","Rest of the Records","2017-07-03","3.5m - 4m",3594001
"Textiles","Current Month","2021-09-19","2m - 2.5m",2069001
"Paper & Packaging","One Month Ago","2021-08-22","2.5m - 3m",2602001
"Coatings & Inks","Rest of the Records","2019-10-29","1m - 1.5m",1104000
"Specialty Materials","Four Months Ago","2021-05-30","1.5m - 2m",1881001
"Textiles","Three Months Ago","2021-06-02","3m - 3.5m",3097001
"Paper & Packaging","Two Months Ago","2021-07-06","1m - 1.5m",1167000
"Textiles","Rest of the Records","2020-08-26","1m - 1.5m",1034000
"Specialty Materials","Rest of the Records","2019-10-23","4.5m - 5m",4508000
"Coatings & Inks","Rest of the Records","2020-06-02","3m - 3.5m",3380001
"Coatings & Inks","Rest of the Records","2020-03-21","4m - 4.5m",4067001
"Specialty Materials","Rest of the Records","2017-09-11","4m - 4.5m",4022001
"Paper & Packaging","Rest of the Records","2020-03-23","1m - 1.5m",1433000
"Textiles","Rest of the Records","2020-01-06","2.5m - 3m",2969001
"Specialty Materials","Rest of the Records","2021-03-26","1.5m - 2m",1979001
"Textiles","Rest of the Records","2019-03-08","3m - 3.5m",3327001
"Coatings & Inks","Rest of the Records","2020-02-08","4.5m - 5m",4501000
"Paper & Packaging","Rest of the Records","2017-06-22","3.5m - 4m",3630001
"Specialty Materials","Rest of the Records","2020-01-09","2m - 2.5m",2198001
"Paper & Packaging","Rest of the Records","2018-03-28","1m - 1.5m",1107000
"Coatings & Inks","Rest of the Records","2019-01-30","3.5m - 4m",3988001
"Textiles","Rest of the Records","2017-11-03","2m - 2.5m",2412001
"Coatings & Inks","Rest of the Records","2020-07-07","3.5m - 4m",3578001
"Specialty Materials","Rest of the Records","2021-04-16","3.5m - 4m",3897001
"Textiles","Rest of the Records","2020-05-15","1.5m - 2m",1624001
"Paper & Packaging","Rest of the Records","2021-03-05","4m - 4.5m",4435001
"Paper & Packaging","Rest of the Records","2020-07-06","3m - 3.5m",3089001
"Specialty Materials","Rest of the Records","2017-10-27","3.5m - 4m",3608001
"Textiles","Rest of the Records","2021-01-25","4m - 4.5m",4084001
"Coatings & Inks","Rest of the Records","2017-07-24","2m - 2.5m",2126001
"Coatings & Inks","Rest of the Records","2017-11-08","1m - 1.5m",1277000
"Textiles","Rest of the Records","2020-09-11","4.5m - 5m",4758000
"Paper & Packaging","Rest of the Records","2020-04-10","2m - 2.5m",2034001
"Specialty Materials","Rest of the Records","2018-05-01","1m - 1.5m",1117000
"Coatings & Inks","Rest of the Records","2019-11-01","4m - 4.5m",4138001
"Paper & Packaging","Rest of the Records","2017-07-05","2.5m - 3m",2977001
"Specialty Materials","Rest of the Records","2017-12-01","1.5m - 2m",1710001
"Textiles","Rest of the Records","2018-08-30","3m - 3.5m",3351001
"Coatings & Inks","Rest of the Records","2018-12-26","2.5m - 3m",2720001
"Specialty Materials","Rest of the Records","2020-12-05","4.5m - 5m",4974000
"Paper & Packaging","Rest of the Records","2021-03-16","3.5m - 4m",3884001
"Textiles","Rest of the Records","2020-11-20","1m - 1.5m",1023000
"Textiles","Rest of the Records","2020-04-29","2.5m - 3m",2734001
"Coatings & Inks","Rest of the Records","2020-11-01","1.5m - 2m",1955001
"Paper & Packaging","Rest of the Records","2017-12-21","3m - 3.5m",3337001
"Specialty Materials","Rest of the Records","2018-05-06","4.5m - 5m",4697000
"Specialty Materials","Rest of the Records","2020-01-09","1.5m - 2m",1593001
"Textiles","Rest of the Records","2019-09-20","2m - 2.5m",2158001
"Paper & Packaging","Rest of the Records","2017-11-06","4m - 4.5m",4481001
"Coatings & Inks","Rest of the Records","2017-08-04","3.5m - 4m",3833001
"Paper & Packaging","Rest of the Records","2017-09-19","2.5m - 3m",2997001
"Textiles","Rest of the Records","2018-04-11","3m - 3.5m",3380001
"Coatings & Inks","Rest of the Records","2020-05-22","3m - 3.5m",3480001
"Specialty Materials","Rest of the Records","2019-06-24","4m - 4.5m",4024001
"Paper & Packaging","Rest of the Records","2019-05-14","2.5m - 3m",2917001
"Coatings & Inks","Rest of the Records","2018-06-18","1.5m - 2m",1674001
"Specialty Materials","Rest of the Records","2018-08-20","3.5m - 4m",3691001
"Textiles","Rest of the Records","2019-05-12","2m - 2.5m",2043001
"Specialty Materials","Rest of the Records","2020-04-27","1m - 1.5m",1203000
"Coatings & Inks","Three Months Ago","2021-06-23","2.5m - 3m",2751001
"Textiles","One Month Ago","2021-08-05","4.5m - 5m",4741000
"Paper & Packaging","Four Months Ago","2021-05-28","3.5m - 4m",3920001
"Coatings & Inks","Current Month","2021-09-07","2.5m - 3m",2668001
"Textiles","Two Months Ago","2021-07-05","1.5m - 2m",1891001
"Paper & Packaging","Rest of the Records","2019-05-25","3.5m - 4m",3510001
"Specialty Materials","Rest of the Records","2017-08-26","4m - 4.5m",4276001
"Coatings & Inks","Rest of the Records","2017-10-13","1m - 1.5m",1358000
"Specialty Materials","Rest of the Records","2017-05-11","4.5m - 5m",4727000
"Paper & Packaging","Rest of the Records","2017-12-29","2m - 2.5m",2250001
"Textiles","Rest of the Records","2018-03-31","1m - 1.5m",1330000
"Paper & Packaging","Rest of the Records","2020-08-11","1.5m - 2m",1803001
"Coatings & Inks","Rest of the Records","2020-09-01","2m - 2.5m",2319001
"Textiles","Rest of the Records","2021-01-15","3m - 3.5m",3036001
"Specialty Materials","Rest of the Records","2020-06-12","2.5m - 3m",2696001
"Coatings & Inks","Rest of the Records","2019-01-08","3m - 3.5m",3427001
"Textiles","Rest of the Records","2019-01-30","3.5m - 4m",3587001
"Specialty Materials","Rest of the Records","2018-08-12","1m - 1.5m",1078000
"Paper & Packaging","Rest of the Records","2018-10-28","4.5m - 5m",4742000
"Specialty Materials","Rest of the Records","2019-07-30","2m - 2.5m",2197001
"Paper & Packaging","Rest of the Records","2018-07-08","2.5m - 3m",2959001
"Textiles","Rest of the Records","2019-08-26","1.5m - 2m",1795001
"Coatings & Inks","Rest of the Records","2021-01-19","3.5m - 4m",3852001
"Specialty Materials","Rest of the Records","2021-02-09","4m - 4.5m",4108001
"Paper & Packaging","Rest of the Records","2020-01-21","3.5m - 4m",3641001
"Textiles","Rest of the Records","2020-11-15","1m - 1.5m",1363000
