"Period","CommercialSegment","PeriodStartDate","RevenueBucket","Revenue"
"Rest of years","Distribution","2019-07-18","4m - 4.5m",4211001
"Previous Year","Innovator","2020-10-02","4m - 4.5m",4360001
"Rest of years","Follower","2018-12-09","3m - 3.5m",3140000
"Q3","Commodity","2021-08-25","4m - 4.5m",4282001
"Q2","Distribution","2021-06-17","3m - 3.5m",3364000
"Q2","Commodity","2021-04-26","4m - 4.5m",4141001
"Q2","Follower","2021-06-08","3.5m - 4m",3957001
"Rest of years","Innovator","2018-05-15","3m - 3.5m",3382000
"Q3","Distribution","2021-09-02","4m - 4.5m",4054001
"Q2","Innovator","2021-04-16","3m - 3.5m",3242000
"Rest of years","Commodity","2018-08-01","3m - 3.5m",3351000
"Q3","Follower","2021-09-26","4m - 4.5m",4355001
"Previous Year","Distribution","2020-05-08","4m - 4.5m",4408001
"Q1","Follower","2021-02-20","4.5m - 5m",4508001
"Q3","Innovator","2021-07-03","3.5m - 4m",3620001
"Q2","Commodity","2021-05-31","3m - 3.5m",3001000
"Rest of years","Distribution","2017-06-24","3m - 3.5m",3021000
"Q3","Innovator","2021-09-08","3.5m - 4m",3733001
"Rest of years","Follower","2017-08-07","4m - 4.5m",4383001
"Q2","Commodity","2021-06-27","4m - 4.5m",4416001
"Previous Year","Innovator","2020-01-24","4m - 4.5m",4189001
"Q3","Distribution","2021-08-21","3m - 3.5m",3190000
"Q2","Commodity","2021-05-08","4m - 4.5m",4059001
"Rest of years","Follower","2019-07-08","3.5m - 4m",3516001
"Q1","Distribution","2021-01-03","4m - 4.5m",4076001
"Rest of years","Follower","2018-07-29","3m - 3.5m",3454000
"Q2","Commodity","2021-05-04","3m - 3.5m",3423000
"Q3","Innovator","2021-08-12","3.5m - 4m",3673001
"Rest of years","Follower","2019-11-28","4m - 4.5m",4084001
"Q3","Innovator","2021-07-01","3.5m - 4m",3965001
"Q2","Distribution","2021-06-20","3m - 3.5m",3362000
"Q1","Commodity","2021-01-14","3m - 3.5m",3001000
"Q3","Innovator","2021-08-01","3.5m - 4m",3726001
"Previous Year","Distribution","2020-09-30","4m - 4.5m",4038001
"Rest of years","Follower","2017-10-24","4.5m - 5m",4622001
"Rest of years","Commodity","2017-11-17","3m - 3.5m",3148000
"Q2","Innovator","2021-05-04","3m - 3.5m",3331000
"Q2","Distribution","2021-06-10","4m - 4.5m",4424001
"Q3","Commodity","2021-08-30","4m - 4.5m",4109001
"Q2","Follower","2021-05-30","4m - 4.5m",4014001
"Q3","Follower","2021-09-20","3m - 3.5m",3462000
"Rest of years","Innovator","2017-03-25","4m - 4.5m",4447001
"Previous Year","Distribution","2020-07-09","3.5m - 4m",3545001
"Q1","Commodity","2021-03-24","3m - 3.5m",3042000
"Q3","Follower","2021-09-28","3m - 3.5m",3063000
"Q2","Commodity","2021-04-14","4m - 4.5m",4028001
"Q3","Innovator","2021-08-22","3.5m - 4m",3723001
"Q2","Distribution","2021-05-14","4m - 4.5m",4265001
"Rest of years","Innovator","2018-11-19","4m - 4.5m",4395001
"Rest of years","Follower","2018-05-16","4.5m - 5m",4938001
"Rest of years","Distribution","2017-05-17","4m - 4.5m",4360001
"Q2","Commodity","2021-05-25","3m - 3.5m",3244000
"Q3","Follower","2021-07-03","4m - 4.5m",4295001
"Previous Year","Innovator","2020-11-18","4m - 4.5m",4163001
"Q3","Commodity","2021-07-18","3m - 3.5m",3348000
"Q1","Distribution","2021-02-19","3m - 3.5m",3294000
"Q2","Follower","2021-06-20","4m - 4.5m",4017001
"Q3","Innovator","2021-09-12","3.5m - 4m",3650001
"Rest of years","Distribution","2019-12-10","3m - 3.5m",3310000
"Rest of years","Commodity","2017-05-11","4m - 4.5m",4286001
"Q2","Follower","2021-06-01","3.5m - 4m",3645001
"Q2","Innovator","2021-05-14","3m - 3.5m",3234000
"Q3","Commodity","2021-08-19","3m - 3.5m",3442000
"Rest of years","Distribution","2018-12-11","4m - 4.5m",4283001
"Rest of years","Commodity","2017-09-13","3m - 3.5m",3033000
"Q3","Distribution","2021-08-16","4m - 4.5m",4494001
"Q2","Innovator","2021-05-23","3m - 3.5m",3371000
"Q1","Follower","2021-03-10","4m - 4.5m",4005001
"Previous Year","Commodity","2020-05-15","3m - 3.5m",3290000
"Rest of years","Follower","2017-07-08","4m - 4.5m",4306001
"Q2","Distribution","2021-04-23","3m - 3.5m",3227000
"Q3","Innovator","2021-07-29","3.5m - 4m",3612001
"Rest of years","Distribution","2019-01-07","3.5m - 4m",3908001
"Q3","Follower","2021-08-31","4.5m - 5m",4634001
"Q2","Innovator","2021-04-15","3m - 3.5m",3463000
"Q2","Commodity","2021-05-30","3m - 3.5m",3392000
"Q1","Follower","2021-02-04","4m - 4.5m",4297001
"Previous Year","Innovator","2020-06-28","4m - 4.5m",4000001
"Rest of years","Commodity","2017-08-09","4m - 4.5m",4486001
"Q3","Distribution","2021-08-15","3m - 3.5m",3474000
"Q3","Innovator","2021-08-30","3.5m - 4m",3705001
"Q2","Follower","2021-05-06","4m - 4.5m",4199001
"Rest of years","Distribution","2018-01-07","4m - 4.5m",4445001
"Q3","Commodity","2021-07-28","3m - 3.5m",3175000
"Rest of years","Follower","2017-07-01","4m - 4.5m",4027001
"Q2","Innovator","2021-05-01","3m - 3.5m",3398000
"Previous Year","Distribution","2020-03-21","4.5m - 5m",4522001
"Rest of years","Commodity","2017-02-19","3m - 3.5m",3045000
"Q3","Distribution","2021-09-14","3.5m - 4m",3819001
"Q2","Follower","2021-06-02","4m - 4.5m",4223001
"Q1","Innovator","2021-01-27","4m - 4.5m",4281001
"Q2","Commodity","2021-04-03","3m - 3.5m",3008000
"Rest of years","Commodity","2017-01-22","4m - 4.5m",4206001
"Q3","Distribution","2021-09-15","4m - 4.5m",4422001
"Rest of years","Innovator","2017-06-12","3.5m - 4m",3675001
"Q2","Follower","2021-04-01","3m - 3.5m",3296000
"Q3","Follower","2021-09-21","3m - 3.5m",3147000
"Q1","Innovator","2021-01-29","4m - 4.5m",4257001
"Rest of years","Commodity","2019-01-06","4m - 4.5m",4229001
"Q3","Distribution","2021-08-29","4m - 4.5m",4150001
"Q2","Follower","2021-06-03","3m - 3.5m",3438000
"Rest of years","Distribution","2019-11-23","3m - 3.5m",3332000
"Q3","Commodity","2021-07-30","4m - 4.5m",4235001
"Q2","Innovator","2021-04-29","3m - 3.5m",3135000
"Previous Year","Follower","2020-02-13","4.5m - 5m",4721001
"Q2","Innovator","2021-06-28","3m - 3.5m",3449000
"Q3","Commodity","2021-09-05","3.5m - 4m",3609001
"Rest of years","Distribution","2019-02-25","3m - 3.5m",3210000
"Q1","Follower","2021-01-23","3m - 3.5m",3265000
"Previous Year","Distribution","2020-03-24","4m - 4.5m",4172001
"Q2","Innovator","2021-06-17","3m - 3.5m",3086000
"Rest of years","Commodity","2019-05-16","3m - 3.5m",3381000
"Q2","Distribution","2021-05-16","4m - 4.5m",4237001
"Q3","Commodity","2021-09-22","4m - 4.5m",4219001
"Rest of years","Innovator","2017-10-08","4m - 4.5m",4047001
"Q3","Follower","2021-07-22","4m - 4.5m",4245001
"Q3","Commodity","2021-07-03","3m - 3.5m",3238000
"Q2","Distribution","2021-04-03","4m - 4.5m",4195001
"Rest of years","Innovator","2017-08-21","3m - 3.5m",3019000
"Rest of years","Follower","2019-10-13","3m - 3.5m",3160000
"Previous Year","Innovator","2020-03-10","4m - 4.5m",4307001
"Q1","Distribution","2021-01-15","4m - 4.5m",4152001
"Q3","Follower","2021-09-17","3m - 3.5m",3194000
"Q3","Commodity","2021-07-05","3.5m - 4m",3585001
"Q2","Commodity","2021-04-27","4m - 4.5m",4350001
"Rest of years","Follower","2019-05-04","4m - 4.5m",4046001
"Q2","Distribution","2021-05-29","3m - 3.5m",3206000
"Q3","Innovator","2021-09-05","3.5m - 4m",3738001
"Q2","Innovator","2021-05-22","3m - 3.5m",3108000
"Rest of years","Distribution","2017-05-07","4.5m - 5m",4753001
"Q2","Commodity","2021-06-12","3m - 3.5m",3432000
"Q3","Follower","2021-07-28","4m - 4.5m",4211001
"Rest of years","Follower","2018-12-10","4m - 4.5m",4039001
"Previous Year","Commodity","2020-02-25","3m - 3.5m",3029000
"Q1","Distribution","2021-03-07","4m - 4.5m",4410001
"Q3","Innovator","2021-08-07","3.5m - 4m",3549001
"Q2","Distribution","2021-06-10","3m - 3.5m",3365000
"Rest of years","Commodity","2018-05-28","4m - 4.5m",4329001
"Q2","Innovator","2021-05-20","3m - 3.5m",3162000
"Q3","Follower","2021-08-16","3.5m - 4m",3828001
"Rest of years","Distribution","2019-11-10","3m - 3.5m",3029000
"Previous Year","Innovator","2020-05-06","4m - 4.5m",4185001
"Q3","Follower","2021-07-18","4.5m - 5m",4534001
"Rest of years","Commodity","2017-02-01","3m - 3.5m",3022000
"Q1","Innovator","2021-02-02","3.5m - 4m",3559001
"Rest of years","Commodity","2017-09-14","3m - 3.5m",3230000
"Q3","Follower","2021-08-26","4m - 4.5m",4184001
"Q2","Distribution","2021-06-20","4m - 4.5m",4467001
"Q2","Follower","2021-04-27","3m - 3.5m",3056000
"Q2","Commodity","2021-04-07","4m - 4.5m",4177001
"Q3","Distribution","2021-07-05","3m - 3.5m",3498000
"Rest of years","Innovator","2017-12-22","4m - 4.5m",4453001
"Q3","Follower","2021-07-01","4m - 4.5m",4310001
"Rest of years","Distribution","2019-02-09","3m - 3.5m",3292000
"Q1","Innovator","2021-02-02","3m - 3.5m",3057000
"Rest of years","Innovator","2019-04-18","3m - 3.5m",3015000
"Previous Year","Follower","2020-01-29","4m - 4.5m",4257001
"Q2","Commodity","2021-04-15","3m - 3.5m",3453000
"Q3","Distribution","2021-07-06","4m - 4.5m",4374001
"Q2","Follower","2021-04-26","4m - 4.5m",4269001
"Q3","Innovator","2021-09-20","3.5m - 4m",3692001
"Rest of years","Distribution","2017-03-24","4m - 4.5m",4086001
"Q3","Commodity","2021-07-08","3m - 3.5m",3345000
"Q2","Follower","2021-05-11","4.5m - 5m",4763001
"Q1","Distribution","2021-01-10","3m - 3.5m",3273000
"Rest of years","Commodity","2017-02-17","4m - 4.5m",4191001
"Q2","Innovator","2021-06-07","3m - 3.5m",3102000
"Q3","Innovator","2021-08-09","3.5m - 4m",3717001
"Previous Year","Distribution","2020-07-25","4m - 4.5m",4038001
"Rest of years","Commodity","2018-12-23","3m - 3.5m",3386000
"Rest of years","Follower","2017-06-21","4m - 4.5m",4189001
"Q3","Innovator","2021-08-08","3.5m - 4m",3669001
"Q2","Distribution","2021-06-01","3.5m - 4m",3794001
"Q1","Follower","2021-02-02","4m - 4.5m",4025001
"Rest of years","Commodity","2019-10-08","3m - 3.5m",3171000
"Q3","Follower","2021-09-01","3m - 3.5m",3181000
"Q2","Commodity","2021-06-19","3m - 3.5m",3297000
"Q2","Innovator","2021-06-08","3m - 3.5m",3428000
"Rest of years","Distribution","2017-11-29","4.5m - 5m",4856001
"Q3","Innovator","2021-09-03","3.5m - 4m",3761001
"Previous Year","Distribution","2020-08-13","4m - 4.5m",4190001
"Q2","Commodity","2021-04-06","3m - 3.5m",3188000
"Q3","Follower","2021-09-20","4m - 4.5m",4120001
"Rest of years","Commodity","2017-11-30","4m - 4.5m",4090001
"Previous Year","Innovator","2020-04-23","4m - 4.5m",4379001
"Q2","Distribution","2021-05-22","3m - 3.5m",3411000
"Q1","Follower","2021-01-08","4m - 4.5m",4498001
"Rest of years","Innovator","2018-07-12","3.5m - 4m",3977001
"Q3","Follower","2021-09-10","3.5m - 4m",3569001
"Q3","Distribution","2021-09-07","4m - 4.5m",4248001
"Rest of years","Commodity","2018-01-23","3m - 3.5m",3349000
"Q2","Innovator","2021-06-11","3m - 3.5m",3268000
"Q3","Commodity","2021-07-12","4m - 4.5m",4119001
"Q2","Distribution","2021-04-25","3m - 3.5m",3074000
"Rest of years","Follower","2019-03-03","4m - 4.5m",4173001
"Q3","Commodity","2021-07-31","3m - 3.5m",3330000
"Rest of years","Innovator","2018-10-09","4m - 4.5m",4368001
"Q1","Distribution","2021-03-19","4m - 4.5m",4485001
"Previous Year","Follower","2020-04-11","3m - 3.5m",3183000
"Rest of years","Distribution","2018-12-01","4.5m - 5m",4735001
"Q3","Follower","2021-07-21","3.5m - 4m",3538001
"Q2","Commodity","2021-04-30","4m - 4.5m",4180001
"Q2","Innovator","2021-05-03","3m - 3.5m",3121000
"Rest of years","Innovator","2017-09-14","3m - 3.5m",3195000
"Q3","Commodity","2021-08-29","3m - 3.5m",3251000
"Q2","Distribution","2021-04-06","3m - 3.5m",3170000
"Q1","Follower","2021-03-13","4m - 4.5m",4191001
"Q2","Innovator","2021-04-16","3m - 3.5m",3039000
"Q3","Commodity","2021-07-02","4m - 4.5m",4129001
"Rest of years","Distribution","2019-02-10","4m - 4.5m",4483001
"Rest of years","Follower","2017-12-01","3m - 3.5m",3209000
"Q2","Distribution","2021-04-11","3m - 3.5m",3365000
"Q3","Innovator","2021-07-23","3.5m - 4m",3902001
"Previous Year","Commodity","2020-12-25","4m - 4.5m",4476001
"Rest of years","Follower","2019-01-22","3m - 3.5m",3079000
"Q3","Innovator","2021-09-19","3.5m - 4m",3508001
"Q2","Commodity","2021-04-14","4m - 4.5m",4254001
"Q3","Distribution","2021-09-29","3m - 3.5m",3402000
"Previous Year","Follower","2020-08-16","3.5m - 4m",3707001
"Q1","Follower","2021-03-27","4m - 4.5m",4110001
"Rest of years","Innovator","2017-05-09","4m - 4.5m",4408001
"Q3","Commodity","2021-07-16","4m - 4.5m",4130001
"Rest of years","Distribution","2019-04-12","4.5m - 5m",4996001
"Q2","Commodity","2021-04-01","4m - 4.5m",4007001
"Q2","Innovator","2021-05-12","3m - 3.5m",3228000
"Q2","Distribution","2021-05-23","3m - 3.5m",3262000
"Q3","Follower","2021-09-13","3m - 3.5m",3015000
"Rest of years","Follower","2017-04-26","4m - 4.5m",4215001
"Rest of years","Distribution","2018-08-07","3m - 3.5m",3451000
"Q1","Commodity","2021-03-12","3m - 3.5m",3182000
"Previous Year","Innovator","2020-04-10","4m - 4.5m",4187001
"Q2","Follower","2021-06-26","4m - 4.5m",4285001
"Q2","Innovator","2021-05-10","3m - 3.5m",3410000
"Q3","Distribution","2021-09-27","4.5m - 5m",4908001
"Rest of years","Commodity","2018-08-03","4m - 4.5m",4160001
"Q3","Commodity","2021-09-22","4m - 4.5m",4171001
"Q3","Distribution","2021-09-04","3m - 3.5m",3364000
"Rest of years","Follower","2019-02-26","3.5m - 4m",3774001
"Q2","Innovator","2021-05-18","3m - 3.5m",3107000
"Q1","Innovator","2021-01-13","4m - 4.5m",4355001
"Previous Year","Commodity","2020-04-22","4m - 4.5m",4114001
"Q2","Follower","2021-04-14","3m - 3.5m",3417000
"Rest of years","Distribution","2018-10-12","3m - 3.5m",3139000
"Q3","Innovator","2021-09-30","3.5m - 4m",3859001
"Q2","Distribution","2021-05-10","3m - 3.5m",3325000
"Q3","Follower","2021-07-11","4m - 4.5m",4076001
"Rest of years","Commodity","2017-01-18","4m - 4.5m",4065001
"Rest of years","Distribution","2018-04-29","4m - 4.5m",4356001
"Q2","Innovator","2021-04-07","3m - 3.5m",3076000
"Q3","Follower","2021-07-15","3m - 3.5m",3433000
"Q2","Commodity","2021-06-21","3.5m - 4m",3910001
"Previous Year","Commodity","2020-02-06","3m - 3.5m",3151000
"Q1","Distribution","2021-03-27","4.5m - 5m",4528001
"Q3","Innovator","2021-08-21","3.5m - 4m",3901001
"Q3","Follower","2021-09-30","3m - 3.5m",3267000
"Rest of years","Commodity","2019-04-03","4m - 4.5m",4487001
"Rest of years","Distribution","2018-10-06","3m - 3.5m",3147000
"Q2","Innovator","2021-04-06","3m - 3.5m",3359000
"Q2","Follower","2021-04-24","4m - 4.5m",4297001
"Rest of years","Innovator","2019-12-21","4.5m - 5m",4850001
"Q3","Follower","2021-07-26","4m - 4.5m",4184001
"Previous Year","Distribution","2020-05-18","4m - 4.5m",4219001
"Rest of years","Commodity","2017-07-03","3m - 3.5m",3047000
"Q3","Innovator","2021-08-10","3.5m - 4m",3638001
"Q2","Commodity","2021-04-30","4m - 4.5m",4481001
"Q1","Follower","2021-03-25","3m - 3.5m",3033000
"Rest of years","Distribution","2018-04-27","4m - 4.5m",4385001
"Q3","Commodity","2021-07-10","3m - 3.5m",3242000
"Q2","Distribution","2021-06-02","4m - 4.5m",4277001
"Q2","Follower","2021-06-10","3.5m - 4m",3520001
"Q3","Innovator","2021-08-07","3.5m - 4m",3821001
"Rest of years","Commodity","2018-09-10","4m - 4.5m",4089001
"Q3","Innovator","2021-09-21","3.5m - 4m",3782001
"Rest of years","Follower","2018-06-08","3m - 3.5m",3242000
"Previous Year","Distribution","2020-02-23","3m - 3.5m",3356000
"Q1","Distribution","2021-03-03","4.5m - 5m",4855001
"Q3","Commodity","2021-09-06","3m - 3.5m",3231000
"Q2","Innovator","2021-06-26","3m - 3.5m",3066000
"Rest of years","Follower","2019-06-13","4m - 4.5m",4245001
"Q2","Innovator","2021-04-02","3m - 3.5m",3091000
"Q3","Commodity","2021-07-30","4m - 4.5m",4135001
"Rest of years","Follower","2019-07-18","3m - 3.5m",3393000
"Q2","Distribution","2021-06-08","3.5m - 4m",3640001
"Q1","Commodity","2021-01-16","4m - 4.5m",4388001
"Rest of years","Distribution","2017-04-14","3m - 3.5m",3358000
"Q2","Innovator","2021-05-19","3m - 3.5m",3213000
"Q3","Follower","2021-08-18","4m - 4.5m",4497001
"Previous Year","Innovator","2020-02-22","4m - 4.5m",4403001
"Rest of years","Follower","2019-01-03","4m - 4.5m",4021001
"Q2","Distribution","2021-04-23","3m - 3.5m",3498000
"Q3","Commodity","2021-08-29","4.5m - 5m",4529001
"Q3","Commodity","2021-09-27","3m - 3.5m",3383000
"Rest of years","Distribution","2017-01-28","4m - 4.5m",4482001
"Q2","Follower","2021-04-29","4m - 4.5m",4264001
"Previous Year","Innovator","2020-11-25","4m - 4.5m",4067001
"Q2","Commodity","2021-04-08","4m - 4.5m",4246001
"Rest of years","Innovator","2019-05-20","4m - 4.5m",4251001
"Q3","Follower","2021-09-22","3m - 3.5m",3046000
"Rest of years","Distribution","2019-07-11","3m - 3.5m",3220000
"Q2","Distribution","2021-06-30","4m - 4.5m",4378001
"Q1","Commodity","2021-02-19","3m - 3.5m",3471000
