"Case_Id","LeadingCause","CaseNumber","Variance"
"500B000000337GWIAY","Product_Family_KB__c is Tablets and Offer_Voucher__c is false",16520,0.826
"500B000000337GWIAY","of other factors",16520,0.865
"500B000000337GYIAY","Product_Family_KB__c is Cameras and Offer_Voucher__c is false",16522,1.035
"500B000000337GZIAY","Origin is Chat and Field_Service__c is false",16523,-0.8109999999999999
"500B000000337GaIAI","Product_Family_KB__c is DVD Players and Priority is High",16524,-1.712
"500B000000337GhIAI","of other factors",16531,0.679
"500B000000337GiIAI","of other factors",16532,-0.271
"500B000000337GjIAI","from the baseline",16533,80.39
"500B000000337GlIAI","from the baseline",16535,80.39
"500B000000337GnIAI","Field_Service__c is true",16537,0.883
"500B000000337GoIAI","Origin is Chat and Field_Service__c is false",16538,-0.8109999999999999
"500B000000337GpIAI","from the baseline",16539,80.39
"500B000000337GqIAI","of other factors",16540,-2.506
"500B000000337M8IAI","from the baseline",16863,80.39
"500B000000337MAIAY","Product_Family_KB__c is Video Games",16865,-1.016
"500B000000337MEIAY","of other factors",16869,3.8369999999999997
"500B000000337MHIAY","Origin is Email and Field_Service__c is false",16872,-0.732
"500B000000337MJIAY","of other factors",16874,-0.027000000000000003
"500B000000337MKIAY","Product_Family_KB__c is Video Games and Status is Closed",16875,-1.025
"500B000000337MMIAY","Origin is Email and Reason is Software Question",16877,-1.266
"500B000000337MMIAY","Product_Family_KB__c is Cameras and Priority is Low",16877,-1.129
"500B000000337MOIAY","Product_Family_KB__c is Headphones and Priority is High",16879,1.834
"500B000000337MUIAY","Product_Family_KB__c is Tablets and Type_of_Support__c is Basic",16885,1.1059999999999999
"500B000000337AwIAI","Field_Service__c is false",16174,-0.8320000000000001
"500B000000337AwIAI","Origin is Chat and Field_Service__c is false",16174,-0.8109999999999999
"500B000000337AxIAI","Field_Service__c is false",16175,-0.8320000000000001
"500B000000337AzIAI","from the baseline",16177,80.39
"500B000000337B2IAI","from the baseline",16180,80.39
"500B000000337B3IAI","Product_Family_KB__c is Cell Phones and Priority is Medium",16181,1.0490000000000002
"500B000000337B5IAI","from the baseline",16183,80.39
"500B000000337BBIAY","from the baseline",16189,80.39
"500B000000337BDIAY","from the baseline",16191,80.39
"500B000000337BFIAY","from the baseline",16193,80.39
"500B000000337GsIAI","of other factors",16542,-0.797
"500B000000337GsIAI","from the baseline",16542,80.39
"500B000000337GvIAI","Product_Family_KB__c is Computers and Priority is High",16545,-1.341
"500B000000337GwIAI","Product_Family_KB__c is Computers and Priority is Low",16546,2.516
"500B000000337GwIAI","Origin is Chat and Field_Service__c is false",16546,-0.8109999999999999
"500B000000337GwIAI","from the baseline",16546,80.39
"500B000000337GxIAI","of other factors",16547,-0.73
"500B000000337GyIAI","of other factors",16548,0.396
"500B000000337H0IAI","Product_Family_KB__c is Tablets and Offer_Voucher__c is false",16550,0.826
"500B000000337H0IAI","from the baseline",16550,80.39
"500B000000337H7IAI","Field_Service__c is false",16552,-0.8320000000000001
"500B000000337H9IAI","Field_Service__c is false",16554,-0.8320000000000001
"500B000000337HAIAY","of other factors",16555,1.493
"500B000000337HCIAY","Origin is Chat and Reason is Documentation",16557,0.938
"500B000000337HDIAY","from the baseline",16558,80.39
"500B000000337HHIAY","of other factors",16562,-0.72
"500B000000337MYIAY","Field_Service__c is false",16889,-0.8320000000000001
"500B000000337MZIAY","Product_Family_KB__c is Headphones and Priority is Low",16890,-1.012
"500B000000337MbIAI","from the baseline",16892,80.39
"500B000000337MdIAI","Origin is Email and Reason is Software Question",16894,-1.266
"500B000000337MdIAI","from the baseline",16894,80.39
"500B000000337MjIAI","Field_Service__c is false",16900,-0.8320000000000001
"500B000000337MmIAI","Field_Service__c is false",16903,-0.8320000000000001
"500B000000337MoIAI","Origin is Email and Reason is Software Question",16905,-1.266
"500B000000337MoIAI","from the baseline",16905,80.39
"500B000000337MqIAI","Product_Family_KB__c is DVD Players and Priority is Medium",16907,1.945
"500B000000337BKIAY","from the baseline",16198,80.39
"500B000000337BMIAY","Product_Family_KB__c is Computers and Priority is High",16200,-1.341
"500B000000337BNIAY","Field_Service__c is false",16201,-0.8320000000000001
"500B000000337BPIAY","Product_Family_KB__c is DVD Players and Priority is Medium",16203,1.945
"500B000000337BQIAY","from the baseline",16204,80.39
"500B000000337BWIAY","from the baseline",16210,80.39
"500B000000337BYIAY","Origin is Chat and Field_Service__c is false",16212,-0.8109999999999999
"500B000000337BZIAY","Field_Service__c is false",16213,-0.8320000000000001
"500B000000337BaIAI","Product_Family_KB__c is Headphones and Priority is High",16214,1.834
"500B000000337BaIAI","Field_Service__c is false",16214,-0.8320000000000001
"500B000000337BbIAI","Product_Family_KB__c is Headphones and Priority is High",16215,1.834
"500B000000337BdIAI","Product_Family_KB__c is Tablets and Priority is Medium",16217,-1.4809999999999999
"500B000000337HJIAY","Product_Family_KB__c is Video Games and Status is Closed",16564,-1.025
"500B000000337HJIAY","of other factors",16564,1.557
"500B000000337HLIAY","Product_Family_KB__c is DVD Players and Priority is Low",16566,-0.693
"500B000000337HLIAY","of other factors",16566,-3.487
"500B000000337HMIAY","Origin is Chat and Reason is Documentation",16567,0.938
"500B000000337HOIAY","of other factors",16569,-1.5190000000000001
"500B000000337HWIAY","Product_Family_KB__c is DVD Players and Priority is High",16577,-1.712
"500B000000337HWIAY","of other factors",16577,-1.095
"500B000000337HZIAY","Product_Family_KB__c is Headphones and Priority is Low",16580,-1.012
"500B000000337HZIAY","of other factors",16580,-2.947
"500B000000337HbIAI","Product_Family_KB__c is Video Games",16582,-1.016
"500B000000337HcIAI","Product_Family_KB__c is Video Games and Status is Closed",16583,-1.025
"500B000000337HdIAI","Product_Family_KB__c is Cameras and Priority is High",16584,1.077
"500B000000337MsIAI","Product_Family_KB__c is Headphones and Priority is High",16909,1.834
"500B000000337MsIAI","from the baseline",16909,80.39
"500B000000337MtIAI","Product_Family_KB__c is Headphones and Priority is Medium",16910,-1.083
"500B000000337MvIAI","Product_Family_KB__c is Home Audio and Type_of_Support__c is Platinum",16912,0.9620000000000001
"500B000000337MxIAI","Field_Service__c is true",16914,0.883
"500B000000337MyIAI","Origin is Email and Field_Service__c is false",16915,-0.732
"500B000000337MyIAI","Origin is Email and Type_of_Support__c is Platinum",16915,0.664
"500B000000337MzIAI","Product_Family_KB__c is Video Games",16916,-1.016
"500B000000337N2IAI","from the baseline",16919,80.39
"500B000000337N3IAI","Field_Service__c is false",16920,-0.8320000000000001
"500B000000337N4IAI","Product_Family_KB__c is Tablets and Priority is Medium",16921,-1.4809999999999999
"500B000000337BhIAI","of other factors",16221,-2.988
"500B000000337BiIAI","of other factors",16222,-3.1439999999999997
"500B000000337BkIAI","Product_Family_KB__c is Video Games",16224,-1.016
"500B000000337BlIAI","Origin is Chat and Product_Family_KB__c is Video Games",16225,0.853
"500B000000337BmIAI","from the baseline",16226,80.39
"500B000000337BoIAI","Field_Service__c is false",16228,-0.8320000000000001
"500B000000337BpIAI","Product_Family_KB__c is Headphones and Priority is Low",16229,-1.012
"500B000000337BsIAI","of other factors",16232,-1.4680000000000002
"500B000000337BwIAI","from the baseline",16236,80.39
"500B000000337C0IAI","of other factors",16240,-1.0190000000000001
"500B000000337C2IAI","Product_Family_KB__c is Home Audio and Type_of_Support__c is Platinum",16242,0.9620000000000001
"500B000000337HlIAI","of other factors",16592,3.205
"500B000000337HnIAI","Origin is Chat and Reason is Documentation",16594,0.938
"500B000000337HnIAI","Field_Service__c is false",16594,-0.8320000000000001
"500B000000337HrIAI","Field_Service__c is true",16598,0.883
"500B000000337HsIAI","Origin is Chat and Field_Service__c is false",16599,-0.8109999999999999
"500B000000337HsIAI","of other factors",16599,1.19
"500B000000337HtIAI","Field_Service__c is false",16600,-0.8320000000000001
"500B000000337HuIAI","Product_Family_KB__c is Tablets and Priority is Medium",16601,-1.4809999999999999
"500B000000337HuIAI","from the baseline",16601,80.39
"500B000000337HvIAI","Origin is Chat and Field_Service__c is false",16602,-0.8109999999999999
"500B000000337HyIAI","Product_Family_KB__c is Cameras and Offer_Voucher__c is false",16605,1.035
"500B000000337HzIAI","Origin is Chat and Field_Service__c is false",16606,-0.8109999999999999
"500B000000337I0IAI","Field_Service__c is true",16607,0.883
"500B000000337I1IAI","Field_Service__c is false",16608,-0.8320000000000001
"500B000000337I1IAI","Product_Family_KB__c is Tablets and Offer_Voucher__c is false",16608,0.826
"500B000000337I2IAI","Product_Family_KB__c is Tablets and Offer_Voucher__c is false",16609,0.826
"500B000000337C5IAI","of other factors",16245,-0.66
"500B000000337C6IAI","Product_Family_KB__c is Video Games and MilestoneStatus__c is Closed - Compliant",16246,-0.9059999999999999
"500B000000337C9IAI","Origin is Chat and Field_Service__c is false",16249,-0.8109999999999999
"500B000000337C9IAI","from the baseline",16249,80.39
"500B000000337CCIAY","Field_Service__c is false",16252,-0.8320000000000001
"500B000000337CHIAY","Origin is Chat and Field_Service__c is false",16257,-0.8109999999999999
"500B000000337CHIAY","from the baseline",16257,80.39
"500B000000337CIIAY","Field_Service__c is false",16258,-0.8320000000000001
"500B000000337CJIAY","Product_Family_KB__c is Cables",16259,-0.92
"500B000000337CJIAY","Field_Service__c is true",16259,0.883
"500B000000337CKIAY","Product_Family_KB__c is Cameras",16260,1.02
"500B000000337I3IAI","of other factors",16610,-1.128
"500B000000337I5IAI","Product_Family_KB__c is Video Games and Status is Closed",16612,-1.025
"500B000000337IAIAY","Origin is Email and Field_Service__c is true",16617,0.8959999999999999
"500B000000337IAIAY","from the baseline",16617,80.39
"500B000000337IBIAY","Origin is Email and Field_Service__c is false",16618,-0.732
"500B000000337ICIAY","Product_Family_KB__c is Computers and Priority is High",16619,-1.341
"500B000000337ICIAY","Field_Service__c is false",16619,-0.8320000000000001
"500B000000337ICIAY","of other factors",16619,1.5390000000000001
"500B000000337IDIAY","from the baseline",16620,80.39
"500B000000337IHIAY","Origin is Email and Field_Service__c is true",16624,0.8959999999999999
"500B000000337IIIAY","Product_Family_KB__c is Tablets and Priority is Medium",16625,-1.4809999999999999
"500B000000337ILIAY","of other factors",16628,3.833
"500B000000337IMIAY","Field_Service__c is false",16629,-0.8320000000000001
"500B000000337IMIAY","from the baseline",16629,80.39
"500B000000337IOIAY","from the baseline",16631,80.39
"500B000000337CRIAY","Origin is Chat and Field_Service__c is true",16267,0.8079999999999999
"500B000000337CRIAY","Origin is Chat and Offer_Voucher__c is false",16267,-0.634
"500B000000337CVIAY","of other factors",16271,-0.7
"500B000000337CWIAY","Product_Family_KB__c is DVD Players and Priority is High",16272,-1.712
"500B000000337CaIAI","Field_Service__c is false",16276,-0.8320000000000001
"500B000000337CaIAI","Product_Family_KB__c is TVs and Type_of_Support__c is Platinum",16276,-0.818
"500B000000337CcIAI","of other factors",16278,-2.295
"500B000000337CdIAI","Field_Service__c is false",16279,-0.8320000000000001
"500B000000337CfIAI","from the baseline",16281,80.39
"500B000000337CgIAI","Field_Service__c is false",16282,-0.8320000000000001
"500B000000337ChIAI","of other factors",16283,-2.002
"500B000000337CiIAI","Origin is Chat and Reason is Feature Question",16284,-1.6269999999999998
"500B000000337CiIAI","Field_Service__c is true",16284,0.883
"500B000000337ClIAI","of other factors",16287,1.004
"500B000000337CmIAI","of other factors",16288,-2.234
"500B000000337IQIAY","from the baseline",16633,80.39
"500B000000337IWIAY","Product_Family_KB__c is Home Audio and Priority is Medium",16639,-1.392
"500B000000337IWIAY","from the baseline",16639,80.39
"500B000000337IXIAY","Product_Family_KB__c is Tablets and Priority is Medium",16640,-1.4809999999999999
"500B000000337IXIAY","from the baseline",16640,80.39
"500B000000337IaIAI","Field_Service__c is false",16643,-0.8320000000000001
"500B000000337IaIAI","Origin is Email and Field_Service__c is false",16643,-0.732
"500B000000337IaIAI","of other factors",16643,-3.5260000000000002
"500B000000337IcIAI","Field_Service__c is false",16645,-0.8320000000000001
"500B000000337IeIAI","Product_Family_KB__c is Video Games",16647,-1.016
"500B000000337IfIAI","Product_Family_KB__c is Cameras and Offer_Voucher__c is false",16648,1.035
"500B000000337IgIAI","Field_Service__c is true",16649,0.883
"500B000000337IiIAI","Product_Family_KB__c is Computers and Priority is High",16651,-1.341
"500B000000337IiIAI","Origin is Email and Field_Service__c is false",16651,-0.732
"500B000000337IjIAI","Field_Service__c is false",16652,-0.8320000000000001
"500B000000337IjIAI","from the baseline",16652,80.39
"500B000000337IlIAI","Origin is Email and Field_Service__c is false",16654,-0.732
"500B000000337CrIAI","from the baseline",16293,80.39
"500B000000337CsIAI","Origin is Chat and Reason is Feature Question",16294,-1.6269999999999998
"500B000000337CuIAI","from the baseline",16296,80.39
"500B000000337CwIAI","Origin is Chat and Reason is Feature Question",16298,-1.6269999999999998
"500B000000337CxIAI","of other factors",16299,-0.778
"500B000000337D0IAI","Origin is Chat and Field_Service__c is false",16302,-0.8109999999999999
"500B000000337D1IAI","of other factors",16303,0.706
"500B000000337D2IAI","Origin is Chat and Reason is Feature Question",16304,-1.6269999999999998
"500B000000337D2IAI","Field_Service__c is false",16304,-0.8320000000000001
"500B000000337D3IAI","from the baseline",16305,80.39
"500B000000337D4IAI","Product_Family_KB__c is Headphones and Reason is Software Question",16306,1.047
"500B000000337D4IAI","from the baseline",16306,80.39
"500B000000337D5IAI","of other factors",16307,-1.002
"500B000000337D6IAI","Product_Family_KB__c is Tablets",16308,0.815
"500B000000337D7IAI","Product_Family_KB__c is Cameras and Reason is Feature Question",16309,1.245
"500B000000337D8IAI","Product_Family_KB__c is Cameras and Reason is Feature Question",16310,1.245
"500B000000337D8IAI","of other factors",16310,4.809
"500B000000337D9IAI","Origin is Chat and Reason is Feature Question",16311,-1.6269999999999998
"500B000000337D9IAI","Origin is Chat and Field_Service__c is false",16311,-0.8109999999999999
"500B000000337InIAI","Product_Family_KB__c is Cables",16656,-0.92
"500B000000337InIAI","Field_Service__c is false",16656,-0.8320000000000001
"500B000000337IpIAI","Product_Family_KB__c is Cell Phones and Priority is Medium",16658,1.0490000000000002
"500B000000337IrIAI","Product_Family_KB__c is Computers and Priority is Medium",16660,-0.838
"500B000000337IrIAI","Field_Service__c is false",16660,-0.8320000000000001
"500B000000337IrIAI","of other factors",16660,-0.912
"500B000000337ItIAI","Origin is Email and Field_Service__c is false",16662,-0.732
"500B000000337ItIAI","of other factors",16662,0.479
"500B000000337IwIAI","Product_Family_KB__c is DVD Players and Priority is Low",16665,-0.693
"500B000000337IyIAI","Field_Service__c is false",16667,-0.8320000000000001
"500B000000337J3IAI","Product_Family_KB__c is Video Games and Status is Closed",16672,-1.025
"500B000000337J5IAI","Product_Family_KB__c is Computers and Priority is Medium",16674,-0.838
"500B000000337J8IAI","Product_Family_KB__c is Video Games",16677,-1.016
"500B000000337DFIAY","Product_Family_KB__c is Cameras",16317,1.02
"500B000000337DFIAY","of other factors",16317,2.655
"500B000000337DGIAY","of other factors",16318,-2.121
"500B000000337DNIAY","from the baseline",16325,80.39
"500B000000337DPIAY","of other factors",16327,-0.42200000000000004
"500B000000337DQIAY","Origin is Chat and Reason is Feature Question",16328,-1.6269999999999998
"500B000000337DRIAY","Product_Family_KB__c is Headphones and Priority is Low",16329,-1.012
