"ArticleVersion.IsVisibleInApp","ArticleVersion.DataCategory.DataCategoryGroupName","ArticleVersion.IsVisibleInPrm","LastPublishedDate","ArticleVersion.DataCategory.DataCategoryName","CreatedById","ArticleNumber","ArticleVersion.CreatedDate","ArticleVersion.IsVisibleInCsp","ChannelList","ViewStat.Channel","IsDraft","ArticleVersion.IsVisibleInPkb","ArticleVersion.OwnerId","User.Name","ArticleVersion.VersionNumber","ArticleVersion.Id","VoteStat.Channel","ArticleVersion.IsLatestVersion","ArticleVersion.CreatedById","ArticleVersion.Title","FirstPublishedDate","CreatedDate","ArticleVersion.PublishStatus","Id","LastModifiedById","VoteStat.NormalizedScore","ViewStat.ViewCount","ViewStat.NormalizedScore","CaseAssociationCount"
"true",,"true","2020-02-14T19:08:36.000Z",,"005B0000003JK1iIAG","186","2020-01-28T19:08:36.000Z","true","Internal;Parter;Customer;Public","App","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZmPMAU","Mobile Site","true","005B0000003JK1iIAG","Books","2020-02-06T19:08:36.000Z","2020-01-28T19:08:36.000Z","Online","a4CB00000000EmzMAE","005B0000003JK1iIAG",6.865,15,5.944,3
,,,"2020-02-15T20:33:05.000Z",,"005B0000003JK1iIAG","187",,,,"App","true",,,,,,"Desktop Site",,,,"2020-02-10T20:33:05.000Z","2020-02-06T20:33:05.000Z",,"a4CB00000000En0MAE","005B0000003JK1iIAG",6.942,100,4.806,4
,,,"2020-02-28T18:29:05.000Z",,"005B0000003JK1iIAG","188",,,,"App","true",,,,,,"Desktop Site",,,,"2020-02-25T18:29:05.000Z","2020-02-20T18:29:05.000Z",,"a4CB00000000En1MAE","005B0000003JK1iIAG",6.479,32,2.675,3
,,,"2020-02-25T22:38:37.000Z",,"005B0000003JK1iIAG","189",,,,"Desktop Site","true",,,,,,"Desktop Site",,,,"2020-02-22T22:38:37.000Z","2020-02-18T22:38:37.000Z",,"a4CB00000000En2MAE","005B0000003JK1iIAG",8.122,42,4.551,5
,,,"2020-02-16T17:09:30.000Z",,"005B0000003JK1iIAG","190",,,,"App","true",,,,,,"Desktop Site",,,,"2020-02-13T17:09:30.000Z","2020-02-04T17:09:30.000Z",,"a4CB00000000En3MAE","005B0000003JK1iIAG",6.93,79,3.896,4
,,,"2020-02-04T22:32:32.000Z",,"005B0000003JK1iIAG","191",,,,"App","true",,,,,,"Mobile Site",,,,"2020-02-03T22:32:32.000Z","2020-01-27T22:32:32.000Z",,"a4CB00000000En4MAE","005B0000003JK1iIAG",4.141,33,5.506,3
"true",,"true","2020-02-06T20:19:23.000Z",,"005B0000003JK1iIAG","198","2020-01-26T20:19:23.000Z","true","Internal;Parter;Customer;Public","Desktop Site","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZmbMAE","Desktop Site","true","005B0000003JK1iIAG","Shoes","2020-01-28T20:19:23.000Z","2020-01-26T20:19:23.000Z","Online","a4CB00000000EnBMAU","005B0000003JK1iIAG",7.789,45,9,3
"true",,"true","2020-02-22T17:12:24.000Z",,"005B0000003JK1iIAG","199","2020-02-16T17:12:24.000Z","true","Internal;Parter;Customer;Public","Desktop Site","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZmcMAE","Desktop Site","true","005B0000003JK1iIAG","Books","2020-02-20T17:12:24.000Z","2020-02-16T17:12:24.000Z","Online","a4CB00000000EnCMAU","005B0000003JK1iIAG",3.501,95,9.815,2
"true",,"true","2020-02-29T22:23:41.000Z",,"005B0000003JK1iIAG","200","2020-02-14T22:23:41.000Z","true","Internal;Parter;Customer;Public","Mobile Site","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZmdMAE","Mobile Site","true","005B0000003JK1iIAG","Kids","2020-02-23T22:23:41.000Z","2020-02-14T22:23:41.000Z","Online","a4CB00000000EnDMAU","005B0000003JK1iIAG",8.135,46,7.54,2
"true",,"true","2020-02-16T21:38:11.000Z",,"005B0000003JK1iIAG","201","2020-02-02T21:38:11.000Z","true","Internal;Parter;Customer;Public","App","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZmeMAE","Mobile Site","true","005B0000003JK1iIAG","Beauty","2020-02-07T21:38:11.000Z","2020-02-02T21:38:11.000Z","Online","a4CB00000000EnEMAU","005B0000003JK1iIAG",1.916,72,9.074,1
,,,"2020-02-03T23:36:50.000Z",,"005B0000003JK1iIAG","202",,,,"Desktop Site","true",,,,,,"Desktop Site",,,,"2020-01-29T23:36:50.000Z","2020-01-24T23:36:50.000Z",,"a4CB00000000EnFMAU","005B0000003JK1iIAG",7.959,69,3.6,2
,,,"2020-02-26T20:22:40.000Z",,"005B0000003JK1iIAG","203",,,,"Mobile Site","true",,,,,,"Desktop Site",,,,"2020-02-20T20:22:40.000Z","2020-02-16T20:22:40.000Z",,"a4CB00000000EnGMAU","005B0000003JK1iIAG",3.745,16,1.875,4
,,,"2020-02-26T18:19:02.000Z",,"005B0000003JK1iIAG","204",,,,"Mobile Site","true",,,,,,"Desktop Site",,,,"2020-02-24T18:19:02.000Z","2020-02-16T18:19:02.000Z",,"a4CB00000000EnHMAU","005B0000003JK1iIAG",6.079,29,7.995,5
,,,"2020-02-15T21:55:41.000Z",,"005B0000003JK1iIAG","205",,,,"Desktop Site","true",,,,,,"Mobile Site",,,,"2020-02-09T21:55:41.000Z","2020-01-31T21:55:41.000Z",,"a4CB00000000EnIMAU","005B0000003JK1iIAG",7.566,10,5.681,2
,,,"2020-02-11T23:30:34.000Z",,"005B0000003JK1iIAG","206",,,,"App","true",,,,,,"Mobile Site",,,,"2020-02-03T23:30:34.000Z","2020-01-31T23:30:34.000Z",,"a4CB00000000EnJMAU","005B0000003JK1iIAG",2.448,22,5.606,5
,,,"2020-02-15T17:44:37.000Z",,"005B0000003JK1iIAG","207",,,,"Mobile Site","true",,,,,,"App",,,,"2020-02-06T17:44:37.000Z","2020-01-31T17:44:37.000Z",,"a4CB00000000EnKMAU","005B0000003JK1iIAG",8.377,44,5.327,2
"true",,"true","2020-02-14T20:41:25.000Z",,"005B0000003JK1iIAG","208","2020-02-08T20:41:25.000Z","true","Internal;Parter;Customer;Public","App","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZmlMAE","App","true","005B0000003JK1iIAG","Music","2020-02-12T20:41:25.000Z","2020-02-08T20:41:25.000Z","Online","a4CB00000000EnLMAU","005B0000003JK1iIAG",7.93,37,3.744,3
"true",,"true","2020-02-23T22:24:24.000Z",,"005B0000003JK1iIAG","209","2020-02-10T22:24:24.000Z","true","Internal;Parter;Customer;Public","Mobile Site","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZmmMAE","Mobile Site","true","005B0000003JK1iIAG","Kids","2020-02-17T22:24:24.000Z","2020-02-10T22:24:24.000Z","Online","a4CB00000000EnMMAU","005B0000003JK1iIAG",6.428,38,8.508,2
"true",,"true","2020-02-15T19:46:56.000Z",,"005B0000003JK1iIAG","210","2020-02-07T19:46:56.000Z","true","Internal;Parter;Customer;Public","Mobile Site","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZmnMAE","Desktop Site","true","005B0000003JK1iIAG","Home","2020-02-13T19:46:56.000Z","2020-02-07T19:46:56.000Z","Online","a4CB00000000EnNMAU","005B0000003JK1iIAG",9.618,33,8.94,2
,,,"2020-02-23T22:09:02.000Z",,"005B0000003JK1iIAG","211",,,,"App","true",,,,,,"Desktop Site",,,,"2020-02-15T22:09:02.000Z","2020-02-14T22:09:02.000Z",,"a4CB00000000EnOMAU","005B0000003JK1iIAG",1.009,28,4.46,5
,,,"2020-01-31T19:06:01.000Z",,"005B0000003JK1iIAG","212",,,,"Desktop Site","true",,,,,,"App",,,,"2020-01-26T19:06:01.000Z","2020-01-20T19:06:01.000Z",,"a4CB00000000EnPMAU","005B0000003JK1iIAG",2.348,87,1.621,2
,,,"2020-02-18T16:16:52.000Z",,"005B0000003JK1iIAG","213",,,,"Desktop Site","true",,,,,,"Mobile Site",,,,"2020-02-17T16:16:52.000Z","2020-02-14T16:16:52.000Z",,"a4CB00000000EnQMAU","005B0000003JK1iIAG",9.17,5,3.459,3
,,,"2020-03-06T16:14:33.000Z",,"005B0000003JK1iIAG","214",,,,"App","true",,,,,,"Mobile Site",,,,"2020-03-02T16:14:33.000Z","2020-02-22T16:14:33.000Z",,"a4CB00000000EnRMAU","005B0000003JK1iIAG",3.502,31,8.534,1
"true",,"true","2020-02-15T17:18:26.000Z",,"005B0000003JK1iIAG","215","2020-01-31T17:18:26.000Z","true","Internal;Parter;Customer;Public","App","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZmsMAE","Mobile Site","true","005B0000003JK1iIAG","Industrial","2020-02-06T17:18:26.000Z","2020-01-31T17:18:26.000Z","Online","a4CB00000000EnSMAU","005B0000003JK1iIAG",9.09,78,2.386,3
"true",,"true","2020-01-29T16:05:41.000Z",,"005B0000003JK1iIAG","216","2020-01-18T16:05:41.000Z","true","Internal;Parter;Customer;Public","App","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZmtMAE","Mobile Site","true","005B0000003JK1iIAG","Health","2020-01-26T16:05:41.000Z","2020-01-18T16:05:41.000Z","Online","a4CB00000000EnTMAU","005B0000003JK1iIAG",7.537,11,4.961,2
"true",,"true","2020-01-25T21:10:08.000Z",,"005B0000003JK1iIAG","217","2020-01-15T21:10:08.000Z","true","Internal;Parter;Customer;Public","Desktop Site","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZmuMAE","Desktop Site","true","005B0000003JK1iIAG","Games","2020-01-21T21:10:08.000Z","2020-01-15T21:10:08.000Z","Online","a4CB00000000EnUMAU","005B0000003JK1iIAG",3.791,19,6.961,5
"true",,"true","2020-01-30T20:30:09.000Z",,"005B0000003JK1iIAG","218","2020-01-20T20:30:09.000Z","true","Internal;Parter;Customer;Public","Mobile Site","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZmvMAE","App","true","005B0000003JK1iIAG","Home","2020-01-29T20:30:09.000Z","2020-01-20T20:30:09.000Z","Online","a4CB00000000EnVMAU","005B0000003JK1iIAG",2.331,84,2.788,4
"true",,"true","2020-03-11T21:48:50.000Z",,"005B0000003JK1iIAG","219","2020-03-07T21:48:50.000Z","true","Internal;Parter;Customer;Public","App","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZmwMAE","App","true","005B0000003JK1iIAG","Beauty","2020-03-10T21:48:50.000Z","2020-03-07T21:48:50.000Z","Online","a4CB00000000EnWMAU","005B0000003JK1iIAG",8.496,30,5.528,2
,,,"2020-02-28T23:12:16.000Z",,"005B0000003JK1iIAG","220",,,,"Desktop Site","true",,,,,,"Mobile Site",,,,"2020-02-27T23:12:16.000Z","2020-02-22T23:12:16.000Z",,"a4CB00000000EnXMAU","005B0000003JK1iIAG",1.563,19,8.697,5
,,,"2020-03-06T16:23:06.000Z",,"005B0000003JK1iIAG","221",,,,"Mobile Site","true",,,,,,"Mobile Site",,,,"2020-03-03T16:23:06.000Z","2020-02-26T16:23:06.000Z",,"a4CB00000000EnYMAU","005B0000003JK1iIAG",6.262,51,5.917,2
"true",,"true","2020-02-24T00:33:03.000Z",,"005B0000003JK1iIAG","222","2020-02-16T00:33:03.000Z","true","Internal;Parter;Customer;Public","App","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZmzMAE","App","true","005B0000003JK1iIAG","Toys","2020-02-21T00:33:03.000Z","2020-02-16T00:33:03.000Z","Online","a4CB00000000EnZMAU","005B0000003JK1iIAG",3.016,36,8.882,2
"true",,"true","2020-02-18T00:20:39.000Z",,"005B0000003JK1iIAG","223","2020-02-07T00:20:39.000Z","true","Internal;Parter;Customer;Public","Desktop Site","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZn0MAE","Mobile Site","true","005B0000003JK1iIAG","Health","2020-02-13T00:20:39.000Z","2020-02-07T00:20:39.000Z","Online","a4CB00000000EnaMAE","005B0000003JK1iIAG",5.019,44,9.312,1
,,,"2020-02-23T17:11:21.000Z",,"005B0000003JK1iIAG","224",,,,"Desktop Site","true",,,,,,"App",,,,"2020-02-17T17:11:21.000Z","2020-02-13T17:11:21.000Z",,"a4CB00000000EnbMAE","005B0000003JK1iIAG",7.943,42,3.472,5
,,,"2020-02-29T18:22:40.000Z",,"005B0000003JK1iIAG","225",,,,"Desktop Site","true",,,,,,"App",,,,"2020-02-27T18:22:40.000Z","2020-02-22T18:22:40.000Z",,"a4CB00000000EncMAE","005B0000003JK1iIAG",2.225,31,7.347,3
"true",,"true","2020-02-10T18:17:47.000Z",,"005B0000003JK1iIAG","226","2020-01-31T18:17:47.000Z","true","Internal;Parter;Customer;Public","App","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZn3MAE","App","true","005B0000003JK1iIAG","Baby","2020-02-09T18:17:47.000Z","2020-01-31T18:17:47.000Z","Online","a4CB00000000EndMAE","005B0000003JK1iIAG",6.416,3,8.241,1
"true",,"true","2020-02-21T23:58:58.000Z",,"005B0000003JK1iIAG","227","2020-02-18T23:58:58.000Z","true","Internal;Parter;Customer;Public","App","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZn4MAE","App","true","005B0000003JK1iIAG","Home","2020-02-19T23:58:58.000Z","2020-02-18T23:58:58.000Z","Online","a4CB00000000EneMAE","005B0000003JK1iIAG",8.352,55,4.168,5
"true",,"true","2020-02-25T23:25:09.000Z",,"005B0000003JK1iIAG","228","2020-02-19T23:25:09.000Z","true","Internal;Parter;Customer;Public","Mobile Site","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZn5MAE","Desktop Site","true","005B0000003JK1iIAG","Shoes","2020-02-21T23:25:09.000Z","2020-02-19T23:25:09.000Z","Online","a4CB00000000EnfMAE","005B0000003JK1iIAG",2.71,24,2.683,3
,,,"2020-02-24T18:49:43.000Z",,"005B0000003JK1iIAG","395",,,,"App","true",,,,,,"App",,,,"2020-02-20T18:49:43.000Z","2020-02-13T18:49:43.000Z",,"a4CB00000000EqMMAU","005B0000003JK1iIAG",1.557,33,3.02,2
"true",,"true","2020-02-26T23:31:49.000Z",,"005B0000003JK1iIAG","396","2020-02-22T23:31:49.000Z","true","Internal;Parter;Customer;Public","Mobile Site","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZpnMAE","App","true","005B0000003JK1iIAG","Toys","2020-02-25T23:31:49.000Z","2020-02-22T23:31:49.000Z","Online","a4CB00000000EqNMAU","005B0000003JK1iIAG",2.279,89,7.786,5
"true",,"true","2020-03-05T22:00:01.000Z",,"005B0000003JK1iIAG","397","2020-02-23T22:00:01.000Z","true","Internal;Parter;Customer;Public","App","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZpoMAE","Mobile Site","true","005B0000003JK1iIAG","Health","2020-02-28T22:00:01.000Z","2020-02-23T22:00:01.000Z","Online","a4CB00000000EqOMAU","005B0000003JK1iIAG",9.799,15,1.593,2
,,,"2020-03-14T19:41:16.000Z",,"005B0000003JK1iIAG","398",,,,"Desktop Site","true",,,,,,"App",,,,"2020-03-10T19:41:16.000Z","2020-03-02T19:41:16.000Z",,"a4CB00000000EqPMAU","005B0000003JK1iIAG",8.478,89,4.687,1
,,,"2020-01-23T22:52:39.000Z",,"005B0000003JK1iIAG","399",,,,"App","true",,,,,,"Desktop Site",,,,"2020-01-16T22:52:39.000Z","2020-01-15T22:52:39.000Z",,"a4CB00000000EqQMAU","005B0000003JK1iIAG",7.444,90,5.877,1
"true",,"true","2020-03-05T20:20:28.000Z",,"005B0000003JK1iIAG","400","2020-02-19T20:20:28.000Z","true","Internal;Parter;Customer;Public","Desktop Site","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZprMAE","App","true","005B0000003JK1iIAG","Outdoors","2020-02-25T20:20:28.000Z","2020-02-19T20:20:28.000Z","Online","a4CB00000000EqRMAU","005B0000003JK1iIAG",6.351,18,4.857,3
,,,"2020-01-29T22:00:33.000Z",,"005B0000003JK1iIAG","401",,,,"App","true",,,,,,"Desktop Site",,,,"2020-01-21T22:00:33.000Z","2020-01-12T22:00:33.000Z",,"a4CB00000000EqSMAU","005B0000003JK1iIAG",2.144,68,7.705,4
"true",,"true","2020-02-11T18:22:46.000Z",,"005B0000003JK1iIAG","402","2020-02-05T18:22:46.000Z","true","Internal;Parter;Customer;Public","Desktop Site","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZptMAE","Mobile Site","true","005B0000003JK1iIAG","Baby","2020-02-09T18:22:46.000Z","2020-02-05T18:22:46.000Z","Online","a4CB00000000EqTMAU","005B0000003JK1iIAG",3.366,19,4.448,4
"true",,"true","2020-02-28T19:56:31.000Z",,"005B0000003JK1iIAG","403","2020-02-14T19:56:31.000Z","true","Internal;Parter;Customer;Public","App","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZpuMAE","Mobile Site","true","005B0000003JK1iIAG","Kids","2020-02-23T19:56:31.000Z","2020-02-14T19:56:31.000Z","Online","a4CB00000000EqUMAU","005B0000003JK1iIAG",6.556,43,9.839,3
"true",,"true","2020-03-14T18:06:03.000Z",,"005B0000003JK1iIAG","404","2020-03-01T18:06:03.000Z","true","Internal;Parter;Customer;Public","App","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZpvMAE","Desktop Site","true","005B0000003JK1iIAG","Computers","2020-03-06T18:06:03.000Z","2020-03-01T18:06:03.000Z","Online","a4CB00000000EqVMAU","005B0000003JK1iIAG",6.756,24,1.595,1
,,,"2020-02-11T23:50:05.000Z",,"005B0000003JK1iIAG","405",,,,"Mobile Site","true",,,,,,"Desktop Site",,,,"2020-02-09T23:50:05.000Z","2020-02-07T23:50:05.000Z",,"a4CB00000000EqWMAU","005B0000003JK1iIAG",1.464,90,9.28,3
,,,"2020-02-16T17:56:35.000Z",,"005B0000003JK1iIAG","406",,,,"Desktop Site","true",,,,,,"App",,,,"2020-02-08T17:56:35.000Z","2020-02-02T17:56:35.000Z",,"a4CB00000000EqXMAU","005B0000003JK1iIAG",1.633,22,7.215,4
,,,"2020-03-08T22:03:43.000Z",,"005B0000003JK1iIAG","407",,,,"App","true",,,,,,"App",,,,"2020-03-01T22:03:43.000Z","2020-02-25T22:03:43.000Z",,"a4CB00000000EqYMAU","005B0000003JK1iIAG",5.24,49,1.242,3
,,,"2020-02-09T22:11:28.000Z",,"005B0000003JK1iIAG","408",,,,"Mobile Site","true",,,,,,"Desktop Site",,,,"2020-02-08T22:11:28.000Z","2020-02-07T22:11:28.000Z",,"a4CB00000000EqZMAU","005B0000003JK1iIAG",2.572,95,4.362,1
,,,"2020-02-08T23:10:53.000Z",,"005B0000003JK1iIAG","409",,,,"Mobile Site","true",,,,,,"App",,,,"2020-02-02T23:10:53.000Z","2020-01-30T23:10:53.000Z",,"a4CB00000000EqaMAE","005B0000003JK1iIAG",6.61,55,4.593,4
"true",,"true","2020-01-30T19:20:36.000Z",,"005B0000003JK1iIAG","410","2020-01-17T19:20:36.000Z","true","Internal;Parter;Customer;Public","Mobile Site","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZq1MAE","App","true","005B0000003JK1iIAG","Clothing","2020-01-22T19:20:36.000Z","2020-01-17T19:20:36.000Z","Online","a4CB00000000EqbMAE","005B0000003JK1iIAG",3.808,1,7.724,1
"true",,"true","2020-03-05T21:24:08.000Z",,"005B0000003JK1iIAG","411","2020-02-25T21:24:08.000Z","true","Internal;Parter;Customer;Public","App","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZq2MAE","Mobile Site","true","005B0000003JK1iIAG","Garden","2020-02-29T21:24:08.000Z","2020-02-25T21:24:08.000Z","Online","a4CB00000000EqcMAE","005B0000003JK1iIAG",4.375,30,2.61,4
,,,"2020-02-09T18:10:07.000Z",,"005B0000003JK1iIAG","391",,,,"Desktop Site","true",,,,,,"Desktop Site",,,,"2020-02-04T18:10:07.000Z","2020-01-27T18:10:07.000Z",,"a4CB00000000EqIMAU","005B0000003JK1iIAG",5.91,37,3.687,4
,,,"2020-01-17T19:19:07.000Z",,"005B0000003JK1iIAG","392",,,,"Mobile Site","true",,,,,,"Mobile Site",,,,"2020-01-16T19:19:07.000Z","2020-01-08T19:19:07.000Z",,"a4CB00000000EqJMAU","005B0000003JK1iIAG",3.008,89,7.128,4
,,,"2020-02-18T17:02:41.000Z",,"005B0000003JK1iIAG","412",,,,"Mobile Site","true",,,,,,"Mobile Site",,,,"2020-02-17T17:02:41.000Z","2020-02-11T17:02:41.000Z",,"a4CB00000000EqdMAE","005B0000003JK1iIAG",5.58,49,6.296,5
"true",,"true","2020-02-11T21:39:07.000Z",,"005B0000003JK1iIAG","413","2020-02-01T21:39:07.000Z","true","Internal;Parter;Customer;Public","App","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZq4MAE","Desktop Site","true","005B0000003JK1iIAG","Computers","2020-02-10T21:39:07.000Z","2020-02-01T21:39:07.000Z","Online","a4CB00000000EqeMAE","005B0000003JK1iIAG",2.639,39,7.57,3
"true",,"true","2020-03-10T17:54:10.000Z",,"005B0000003JK1iIAG","414","2020-02-26T17:54:10.000Z","true","Internal;Parter;Customer;Public","Mobile Site","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZq5MAE","Desktop Site","true","005B0000003JK1iIAG","Shoes","2020-03-02T17:54:10.000Z","2020-02-26T17:54:10.000Z","Online","a4CB00000000EqfMAE","005B0000003JK1iIAG",1.252,55,7.042,5
"true",,"true","2020-02-25T21:36:06.000Z",,"005B0000003JK1iIAG","415","2020-02-17T21:36:06.000Z","true","Internal;Parter;Customer;Public","Desktop Site","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZq6MAE","App","true","005B0000003JK1iIAG","Tools","2020-02-21T21:36:06.000Z","2020-02-17T21:36:06.000Z","Online","a4CB00000000EqgMAE","005B0000003JK1iIAG",6.536,71,8.421,1
"true",,"true","2020-03-10T19:55:59.000Z",,"005B0000003JK1iIAG","416","2020-02-27T19:55:59.000Z","true","Internal;Parter;Customer;Public","Mobile Site","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZq7MAE","Desktop Site","true","005B0000003JK1iIAG","Automotive","2020-03-03T19:55:59.000Z","2020-02-27T19:55:59.000Z","Online","a4CB00000000EqhMAE","005B0000003JK1iIAG",4.46,68,2.561,4
"true",,"true","2020-03-02T16:41:32.000Z",,"005B0000003JK1iIAG","417","2020-02-20T16:41:32.000Z","true","Internal;Parter;Customer;Public","Mobile Site","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZq8MAE","Desktop Site","true","005B0000003JK1iIAG","Home","2020-02-25T16:41:32.000Z","2020-02-20T16:41:32.000Z","Online","a4CB00000000EqiMAE","005B0000003JK1iIAG",1.396,75,7.272,4
"true",,"true","2020-01-29T18:43:56.000Z",,"005B0000003JK1iIAG","418","2020-01-23T18:43:56.000Z","true","Internal;Parter;Customer;Public","Desktop Site","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZq9MAE","Desktop Site","true","005B0000003JK1iIAG","Tools","2020-01-25T18:43:56.000Z","2020-01-23T18:43:56.000Z","Online","a4CB00000000EqjMAE","005B0000003JK1iIAG",4.818,28,7.786,5
