External_Id__c,LeadSource,Amount,Account.External_Id__c,Owner.External_Id__c,Name,Type,StageName,ForecastCategoryName,CloseDate,CreatedDateTime__c,LastActivityDate__c,LastModifiedDate__c,analyticsdemo_batch_id__c
W_Opportunity.1761,Reseller,30000,W_Account.67,W_Sales_User.2,Dominion Digital 243,Existing Business,Negotiation,Best Case,2019-11-03,2019-05-27T00:00:00Z,2019-09-16,2019-09-16T00:00:00Z,2019102290000005573
W_Opportunity.1778,Reseller,46504,W_Account.67,W_Sales_User.1,Dominion Digital 246,Existing Business,Closed Won,Closed,2019-02-01,2018-12-23T00:00:00Z,2019-01-16,2019-01-16T00:00:00Z,2019102290000005573
W_Opportunity.1831,Reseller,15501,W_Account.68,W_Sales_User.6,Vicon Solutions Inc 3,Existing Business,Closed Won,Closed,2019-09-13,2019-08-04T00:00:00Z,2019-09-04,2019-09-04T00:00:00Z,2019102290000005573
W_Opportunity.1918,Reseller,15000,W_Account.71,W_Sales_User.7,PMRealty Advisors 29,New Business,Closed Lost,Omitted,2019-02-23,2018-08-31T00:00:00Z,2018-10-22,2018-10-22T00:00:00Z,2019102290000005573
W_Opportunity.1994,Reseller,10000,W_Account.74,W_Sales_User.9,Cymatix 54,Add-On Business,Closed Lost,Omitted,2019-08-24,2019-08-12T00:00:00Z,2019-08-14,2019-08-14T00:00:00Z,2019102290000005573
W_Opportunity.2070,Reseller,1210,W_Account.78,W_Sales_User.4,Gas Equipment Company 78,New Business,Closed Won,Closed,2019-02-24,2019-01-15T00:00:00Z,2019-02-05,2019-02-05T00:00:00Z,2019102290000005573
W_Opportunity.2130,Fields Sales,300000,W_Account.78,W_Sales_User.8,Gas Equipment Company 94,New Business,Closed Won,Closed,2019-03-12,2018-10-15T00:00:00Z,2018-12-06,2018-12-06T00:00:00Z,2019102290000005573
W_Opportunity.2182,Fields Sales,490126,W_Account.78,W_Sales_User.9,Gas Equipment Company 103,Existing Business,Closed Lost,Omitted,2019-03-12,2018-09-21T00:00:00Z,2018-12-10,2018-12-10T00:00:00Z,2019102290000005573
W_Opportunity.2187,Reseller,46000,W_Account.79,W_Sales_User.10,Millennium Hotels & Resorts 107,Add-On Business,Closed Won,Closed,2018-03-02,2018-01-15T00:00:00Z,2018-02-10,2018-02-10T00:00:00Z,2019102290000005573
W_Opportunity.2262,Reseller,108510,W_Account.84,W_Sales_User.5,NetMercury 138,New Business,Closed Lost,Omitted,2019-09-03,2019-08-02T00:00:00Z,2019-08-15,2019-08-15T00:00:00Z,2019102290000005573
W_Opportunity.2293,Reseller,189,W_Account.85,W_Sales_User.11,Atofina Petrochemicals   Port Arthur 143,New Business,Proposal/Quote,Best Case,2019-11-23,2019-10-08T00:00:00Z,2019-10-17,2019-10-17T00:00:00Z,2019102290000005573
W_Opportunity.2352,Reseller,18601,W_Account.88,W_Sales_User.3,The Stop & Shop Supermarket Company 167,New Business,Closed Lost,Omitted,2019-05-18,2018-11-25T00:00:00Z,2019-04-15,2019-04-15T00:00:00Z,2019102290000005573
W_Opportunity.2378,Fields Sales,50000,W_Account.88,W_Sales_User.3,The Stop & Shop Supermarket Company 174,Existing Business,Closed Lost,Omitted,2019-06-24,2019-02-23T00:00:00Z,2019-05-23,2019-05-23T00:00:00Z,2019102290000005573
W_Opportunity.2411,Reseller,7361,W_Account.90,W_Sales_User.7,Rofin-Sinar Technologies 187,Add-On Business,Closed Lost,Omitted,2019-05-20,2018-12-09T00:00:00Z,2019-01-13,2019-01-13T00:00:00Z,2019102290000005573
W_Opportunity.2433,Reseller,36144,W_Account.91,W_Sales_User.2,iPrint.com 195,Existing Business,Closed Lost,Omitted,2019-01-21,2018-09-19T00:00:00Z,2018-12-27,2018-12-27T00:00:00Z,2019102290000005573
W_Opportunity.2474,Reseller,24616,W_Account.92,W_Sales_User.9,Quality Resource Assoc 207,Add-On Business,Closed Won,Closed,2019-05-23,2019-03-21T00:00:00Z,2019-03-27,2019-03-27T00:00:00Z,2019102290000005573
W_Opportunity.2492,Reseller,7361,W_Account.94,W_Sales_User.7,Product Development Consulting 215,New Business,Closed Lost,Omitted,2018-03-06,2017-12-13T00:00:00Z,2018-01-06,2018-01-06T00:00:00Z,2019102290000005573
W_Opportunity.2494,Reseller,7361,W_Account.94,W_Sales_User.9,Product Development Consulting 217,New Business / Add-on,Closed Lost,Omitted,2019-02-25,2018-10-29T00:00:00Z,2019-02-08,2019-02-08T00:00:00Z,2019102290000005573
W_Opportunity.2502,Reseller,9690,W_Account.94,W_Sales_User.7,Product Development Consulting 222,Existing Business,Closed Lost,Omitted,2018-03-03,2017-11-04T00:00:00Z,2018-02-16,2018-02-16T00:00:00Z,2019102290000005573
W_Opportunity.2530,Reseller,50000,W_Account.96,W_Sales_User.8,Golden Key International Honour Society 231,New Business,Closed Lost,Omitted,2018-03-01,2017-11-05T00:00:00Z,2018-01-18,2018-01-18T00:00:00Z,2019102290000005573
W_Opportunity.2590,Reseller,46504,W_Account.98,W_Sales_User.6,Gemco  Ware 251,New Business,Closed Lost,Omitted,2018-02-05,2018-01-04T00:00:00Z,2018-01-08,2018-01-08T00:00:00Z,2019102290000005573
W_Opportunity.2600,Fields Sales,250023,W_Account.100,W_Sales_User.5,The Surfside Group 255,New Business,Closed Lost,Omitted,2019-02-27,2018-09-05T00:00:00Z,2019-02-24,2019-02-24T00:00:00Z,2019102290000005573
W_Opportunity.2615,Reseller,32894,W_Account.100,W_Sales_User.2,The Surfside Group 4,Existing Business,Closed Lost,Omitted,2018-05-29,2018-05-29T00:00:00Z,2018-05-29,2018-05-29T00:00:00Z,2019102290000005573
W_Opportunity.2660,Fields Sales,20000,W_Account.102,W_Sales_User.7,Oklahoma Department of Commerce 15,New Business,Closed Lost,Omitted,2018-11-22,2018-05-24T00:00:00Z,2018-10-23,2018-10-23T00:00:00Z,2019102290000005573
W_Opportunity.2694,Other,50000,W_Account.102,W_Sales_User.5,Oklahoma Department of Commerce 23,Add-On Business,Closed Lost,Omitted,2018-09-06,2018-03-08T00:00:00Z,2018-08-25,2018-08-25T00:00:00Z,2019102290000005573
W_Opportunity.2731,Reseller,15000,W_Account.104,W_Sales_User.9,Hispanic Outsourcing Solutions 37,New Business,Closed Won,Closed,2018-11-29,2018-10-14T00:00:00Z,2018-11-12,2018-11-12T00:00:00Z,2019102290000005573
W_Opportunity.2744,Fields Sales,200000,W_Account.105,W_Sales_User.1,Practicorp 41,Add-On Business,Closed Lost,Omitted,2019-05-27,2018-12-14T00:00:00Z,2019-05-22,2019-05-22T00:00:00Z,2019102290000005573
W_Opportunity.2753,Telesales,0,W_Account.106,W_Sales_User.5,WEFA 44,Add-On Business,Closed Won,Closed,2019-10-07,2019-06-09T00:00:00Z,2019-07-24,2019-07-24T00:00:00Z,2019102290000005573
W_Opportunity.2903,Fields Sales,500000,W_Account.112,W_Sales_User.2,Crane Aerospace Division / Hydro  Aire 88,Existing Business,Closed Lost,Omitted,2019-08-12,2019-03-11T00:00:00Z,2019-04-20,2019-04-20T00:00:00Z,2019102290000005573
W_Opportunity.2962,Fields Sales,199000,W_Account.115,W_Sales_User.8,CitySoft 113,New Business,Closed Lost,Omitted,2018-09-05,2018-03-07T00:00:00Z,2018-09-02,2018-09-02T00:00:00Z,2019102290000005573
W_Opportunity.3018,Reseller,30000,W_Account.118,W_Sales_User.2,SYNNEX Corporation 133,New Business,Closed Lost,Omitted,2018-05-06,2018-01-22T00:00:00Z,2018-03-02,2018-03-02T00:00:00Z,2019102290000005573
W_Opportunity.3083,Other,60000,W_Account.120,W_Sales_User.2,Healthsense 153,Add-On Business,Closed Lost,Omitted,2018-11-20,2018-06-05T00:00:00Z,2018-09-26,2018-09-26T00:00:00Z,2019102290000005573
W_Opportunity.3117,Reseller,30000,W_Account.122,W_Sales_User.2,Exsell 165,Add-On Business,Closed Lost,Omitted,2019-06-17,2019-01-30T00:00:00Z,2019-05-07,2019-05-07T00:00:00Z,2019102290000005573
W_Opportunity.3254,Fields Sales,719000,W_Account.128,W_Sales_User.9,HostCircle 207,New Business,Closed Won,Closed,2018-08-17,2018-03-05T00:00:00Z,2018-03-14,2018-03-14T00:00:00Z,2019102290000005573
W_Opportunity.3259,Reseller,90302,W_Account.128,W_Sales_User.4,HostCircle 209,New Business,Closed Won,Closed,2018-03-08,2018-01-24T00:00:00Z,2018-01-24,2018-01-24T00:00:00Z,2019102290000005573
W_Opportunity.3266,Fields Sales,2453,W_Account.129,W_Sales_User.7,Exacta Corporation 213,Add-On Business,Closed Won,Closed,2018-11-29,2018-09-06T00:00:00Z,2018-11-24,2018-11-24T00:00:00Z,2019102290000005573
W_Opportunity.3347,Fields Sales,51000,W_Account.132,W_Sales_User.7,Semprio 230,New Business,Closed Lost,Omitted,2018-05-02,2017-12-16T00:00:00Z,2018-04-15,2018-04-15T00:00:00Z,2019102290000005573
W_Opportunity.3377,Fields Sales,13950,W_Account.133,W_Sales_User.1,Warrior Solutions 240,New Business,Closed Won,Closed,2018-08-21,2018-03-20T00:00:00Z,2018-05-19,2018-05-19T00:00:00Z,2019102290000005573
W_Opportunity.3455,Fields Sales,100000,W_Account.135,W_Sales_User.10,AdExchange.com 4,New Business,Negotiation,Best Case,2019-11-04,2019-05-24T00:00:00Z,2019-07-29,2019-07-29T00:00:00Z,2019102290000005573
W_Opportunity.3463,Reseller,263525,W_Account.136,W_Sales_User.4,B2B-ERP 9,New Business,Closed Won,Closed,2018-02-16,2018-01-04T00:00:00Z,2018-01-23,2018-01-23T00:00:00Z,2019102290000005573
W_Opportunity.3583,Fields Sales,8187,W_Account.139,W_Sales_User.5,Hablador 52,New Business,Closed Won,Closed,2018-07-24,2017-12-10T00:00:00Z,2018-06-25,2018-06-25T00:00:00Z,2019102290000005573
W_Opportunity.3636,Fields Sales,60000,W_Account.140,W_Sales_User.2,Enwisen 69,Existing Business,Closed Lost,Omitted,2019-03-07,2018-09-24T00:00:00Z,2019-01-20,2019-01-20T00:00:00Z,2019102290000005573
W_Opportunity.3645,Telesales,60000,W_Account.141,W_Sales_User.6,Hoffmann Optimization 73,Existing Business,Negotiation,Best Case,2019-11-24,2019-07-07T00:00:00Z,2019-08-22,2019-08-22T00:00:00Z,2019102290000005573
W_Opportunity.3657,Fields Sales,240000,W_Account.141,W_Sales_User.1,Hoffmann Optimization 77,Add-On Business,Closed Lost,Omitted,2018-11-30,2018-08-03T00:00:00Z,2018-08-26,2018-08-26T00:00:00Z,2019102290000005573
W_Opportunity.3677,Reseller,7894,W_Account.142,W_Sales_User.3,Occidental Chemical Corp. 84,Existing Business,Closed Won,Closed,2018-08-30,2018-07-13T00:00:00Z,2018-08-13,2018-08-13T00:00:00Z,2019102290000005573
W_Opportunity.3685,Fields Sales,95000,W_Account.143,W_Sales_User.1,Third Wave Technologies 88,New Business,Proposal/Quote,Commit,2019-11-27,2019-06-02T00:00:00Z,2019-10-05,2019-10-05T00:00:00Z,2019102290000005573
W_Opportunity.3784,Fields Sales,150000,W_Account.146,W_Sales_User.11,Koch Industries 121,New Business,Closed Lost,Omitted,2019-08-15,2019-02-22T00:00:00Z,2019-02-26,2019-02-26T00:00:00Z,2019102290000005573
W_Opportunity.3795,Reseller,25000,W_Account.147,W_Sales_User.6,Black & White Software 124,Existing Business,Closed Lost,Omitted,2018-11-09,2018-06-19T00:00:00Z,2018-07-15,2018-07-15T00:00:00Z,2019102290000005573
W_Opportunity.3821,Fields Sales,745000,W_Account.147,W_Sales_User.10,Black & White Software 130,Existing Business,Closed Lost,Omitted,2018-12-06,2018-07-11T00:00:00Z,2018-08-19,2018-08-19T00:00:00Z,2019102290000005573
W_Opportunity.3840,Fields Sales,30000,W_Account.149,W_Sales_User.2,Lightbulb Press 140,New Business,Closed Lost,Omitted,2019-08-23,2019-04-26T00:00:00Z,2019-08-15,2019-08-15T00:00:00Z,2019102290000005573
W_Opportunity.3940,Reseller,921,W_Account.154,W_Sales_User.1,Thrivent Financial for Lutherans 172,New Business,Closed Won,Closed,2017-12-24,2017-11-12T00:00:00Z,2017-11-15,2017-11-15T00:00:00Z,2019102290000005573
W_Opportunity.3960,Reseller,124011,W_Account.155,W_Sales_User.1,Vicarious Visions 182,Existing Business,Closed Won,Closed,2018-02-19,2018-01-02T00:00:00Z,2018-01-25,2018-01-25T00:00:00Z,2019102290000005573
W_Opportunity.3984,Fields Sales,121000,W_Account.156,W_Sales_User.7,Strategic America 188,Existing Business,Closed Lost,Omitted,2019-02-22,2018-10-15T00:00:00Z,2018-11-18,2018-11-18T00:00:00Z,2019102290000005573
W_Opportunity.4042,Fields Sales,189000,W_Account.158,W_Sales_User.10,Tri-Coastal Design Group 208,New Business,Closed Lost,Omitted,2019-05-31,2018-12-26T00:00:00Z,2019-01-19,2019-01-19T00:00:00Z,2019102290000005573
W_Opportunity.4048,Telesales,0,W_Account.159,W_Sales_User.6,Rex Wyon Inc 211,Existing Business,Closed Won,Closed,2019-02-14,2018-10-07T00:00:00Z,2018-12-20,2018-12-20T00:00:00Z,2019102290000005573
W_Opportunity.4077,Fields Sales,660375,W_Account.159,W_Sales_User.8,Rex Wyon Inc 218,New Business,Closed Lost,Omitted,2019-09-03,2019-04-10T00:00:00Z,2019-06-02,2019-06-02T00:00:00Z,2019102290000005573
W_Opportunity.4102,Reseller,10000,W_Account.159,W_Sales_User.9,Rex Wyon Inc 225,New Business,Closed Lost,Omitted,2018-07-29,2018-01-28T00:00:00Z,2018-03-16,2018-03-16T00:00:00Z,2019102290000005573
W_Opportunity.4118,Fields Sales,14208,W_Account.160,W_Sales_User.2,Kinzan 233,Existing Business,Closed Lost,Omitted,2018-08-24,2018-03-01T00:00:00Z,2018-05-15,2018-05-15T00:00:00Z,2019102290000005573
W_Opportunity.4298,Reseller,18000,W_Account.168,W_Sales_User.11,Samson Investment Company 38,Add-On Business,Closed Won,Closed,2018-04-30,2018-03-18T00:00:00Z,2018-03-29,2018-03-29T00:00:00Z,2019102290000005573
W_Opportunity.4388,Reseller,25000,W_Account.173,W_Sales_User.8,AUTOSPORT  USA 64,New Business,Closed Won,Closed,2018-05-03,2018-03-16T00:00:00Z,2018-03-28,2018-03-28T00:00:00Z,2019102290000005573
W_Opportunity.4509,Reseller,38753,W_Account.180,W_Sales_User.3,InterOPS 120,New Business,Closed Lost,Omitted,2019-05-26,2019-01-12T00:00:00Z,2019-03-07,2019-03-07T00:00:00Z,2019102290000005573
W_Opportunity.4585,Fields Sales,77500,W_Account.183,W_Sales_User.1,USHistoryQuarterly 148,Existing Business,Closed Won,Closed,2019-02-03,2018-08-27T00:00:00Z,2019-01-23,2019-01-23T00:00:00Z,2019102290000005573
W_Opportunity.4603,Fields Sales,60000,W_Account.184,W_Sales_User.6,Executive Greetings 157,Existing Business,Closed Lost,Omitted,2018-09-01,2018-05-13T00:00:00Z,2018-08-09,2018-08-09T00:00:00Z,2019102290000005573
W_Opportunity.4896,Fields Sales,65000,W_Account.196,W_Sales_User.10,Day  s Molding & Machinery 243,New Business / Add-on,Closed Won,Closed,2018-09-13,2018-06-19T00:00:00Z,2018-07-02,2018-07-02T00:00:00Z,2019102290000005573
W_Opportunity.4904,Reseller,15501,W_Account.196,W_Sales_User.5,Day  s Molding & Machinery 246,New Business,Closed Won,Closed,2019-06-11,2019-04-24T00:00:00Z,2019-06-09,2019-06-09T00:00:00Z,2019102290000005573
W_Opportunity.4926,Fields Sales,30000,W_Account.197,W_Sales_User.10,Vacation Break Management 255,Existing Business,Closed Lost,Omitted,2018-12-02,2018-07-11T00:00:00Z,2018-08-04,2018-08-04T00:00:00Z,2019102290000005573
W_Opportunity.4934,Reseller,15501,W_Account.198,W_Sales_User.3,Lightning Rod Software 5,New Business,Closed Lost,Omitted,2018-01-21,2017-11-05T00:00:00Z,2017-11-16,2017-11-16T00:00:00Z,2019102290000005573
W_Opportunity.5029,Reseller,100000,W_Account.202,W_Sales_User.8,"Sam Leman Chevy, Olds, Pontiac, Buick 34",New Business,Closed Lost,Omitted,2018-02-17,2018-01-22T00:00:00Z,2018-02-13,2018-02-13T00:00:00Z,2019102290000005573
W_Opportunity.5109,Fields Sales,5000,W_Account.208,W_Sales_User.11,"Hubbert Systems Consulting,orporated 63",New Business,Closed Lost,Omitted,2018-11-07,2018-05-24T00:00:00Z,2018-11-04,2018-11-04T00:00:00Z,2019102290000005573
W_Opportunity.5177,Reseller,5000,W_Account.213,W_Sales_User.9,Cheyne Walther & Company 85,New Business,Closed Won,Closed,2018-03-01,2017-11-28T00:00:00Z,2018-02-12,2018-02-12T00:00:00Z,2019102290000005573
W_Opportunity.5207,Other,51000,W_Account.214,W_Sales_User.6,Unigen Corporation 95,New Business,Negotiation,Best Case,2019-11-05,2019-07-02T00:00:00Z,2019-08-04,2019-08-04T00:00:00Z,2019102290000005573
W_Opportunity.5226,Fields Sales,122699,W_Account.214,W_Sales_User.7,Unigen Corporation 100,New Business,Closed Lost,Omitted,2019-03-13,2018-09-28T00:00:00Z,2018-10-14,2018-10-14T00:00:00Z,2019102290000005573
W_Opportunity.5246,Reseller,5000,W_Account.215,W_Sales_User.6,Great Lakes Customs Brokerage 110,Existing Business,Closed Lost,Omitted,2019-06-17,2019-01-12T00:00:00Z,2019-02-22,2019-02-22T00:00:00Z,2019102290000005573
W_Opportunity.5254,Fields Sales,30000,W_Account.215,W_Sales_User.6,Great Lakes Customs Brokerage 114,Existing Business,Closed Lost,Omitted,2019-06-20,2018-12-20T00:00:00Z,2019-04-11,2019-04-11T00:00:00Z,2019102290000005573
W_Opportunity.5274,Fields Sales,23255,W_Account.216,W_Sales_User.5,Farmers Group 120,New Business,Closed Lost,Omitted,2018-04-29,2017-12-11T00:00:00Z,2018-03-07,2018-03-07T00:00:00Z,2019102290000005573
W_Opportunity.5312,Reseller,243342,W_Account.216,W_Sales_User.5,Farmers Group 128,New Business,Closed Won,Closed,2018-07-23,2018-02-02T00:00:00Z,2018-05-24,2018-05-24T00:00:00Z,2019102290000005573
W_Opportunity.5343,Fields Sales,100000,W_Account.217,W_Sales_User.1,Cmore Results Inc 140,Existing Business,Closed Lost,Omitted,2018-12-01,2018-06-19T00:00:00Z,2018-09-15,2018-09-15T00:00:00Z,2019102290000005573
W_Opportunity.5354,Reseller,87209,W_Account.217,W_Sales_User.6,Cmore Results Inc 143,Existing Business,Closed Lost,Omitted,2018-10-20,2018-06-08T00:00:00Z,2018-09-14,2018-09-14T00:00:00Z,2019102290000005573
W_Opportunity.5430,Reseller,5000,W_Account.219,W_Sales_User.7,A Open Booking Agency 161,New Business,Closed Lost,Omitted,2018-09-12,2018-03-30T00:00:00Z,2018-07-29,2018-07-29T00:00:00Z,2019102290000005573
W_Opportunity.5504,Reseller,100000,W_Account.222,W_Sales_User.4,CellTrax 180,New Business,Closed Lost,Omitted,2018-08-26,2018-05-12T00:00:00Z,2018-06-20,2018-06-20T00:00:00Z,2019102290000005573
W_Opportunity.5552,Reseller,10000,W_Account.224,W_Sales_User.7,Pueblo Foods Harvest Sharing 194,New Business,Closed Won,Closed,2017-12-13,2017-10-26T00:00:00Z,2017-11-30,2017-11-30T00:00:00Z,2019102290000005573
W_Opportunity.5617,Other,110000,W_Account.226,W_Sales_User.3,PointBase 211,New Business / Add-on,Closed Lost,Omitted,2019-02-18,2018-10-21T00:00:00Z,2019-01-06,2019-01-06T00:00:00Z,2019102290000005573
