External_Id__c,Name,Owner.External_Id__c,NumberOfEmployees,AnnualRevenue,AccountSource,Type,Industry,BillingStreet,BillingCity,BillingState,BillingCountry,YearStarted,Ownership,Rating,CreatedDate__c,analyticsdemo_batch_id__c
W_Account.25,Associated Grocers,W_Sales_User.6,181,5481000,Referral,Corporate,Biotechnology,3501 Jeffrey Viaduct,Wintersside,AZ,USA,1978,Private,Hot,2019-04-10T00:00:00Z,2019102290000005573
W_Account.27,Disney Institute,W_Sales_User.6,140,6287000,Marketing Event,Corporate,Other,4002 Davis Cape,Charlesville,WA,USA,1888,Private,Warm,2019-06-25T00:00:00Z,2019102290000005573
W_Account.29,CORT Business Services,W_Sales_User.8,10,6559000,Partner,Corporate,Construction,88215 Michael Springs,East Ashley,IL,USA,1933,Private,Hot,2019-04-15T00:00:00Z,2019102290000005573
W_Account.35,Metapa,W_Sales_User.2,59,3502000,Marketing Event,Corporate,Healthcare & Life Sciences,60402 David Cape,New Christy,WA,USA,1997,Public,Hot,2018-05-14T00:00:00Z,2019102290000005573
W_Account.36,Emulex Corp. / Bothell Facility Corp.,W_Sales_User.4,186,3542000,Social Media,Corporate,Hospitality,9878 Sue Heights,Taylormouth,ID,USA,1992,Other,Cool,2018-02-03T00:00:00Z,2019102290000005573
W_Account.37,Global Infotech Corporation,W_Sales_User.3,182,5502000,Community,Corporate,Shipping,33597 Nicole Port,Port Debramouth,HI,USA,1988,Public,Hot,2019-06-19T00:00:00Z,2019102290000005573
W_Account.41,TTI Asia,W_Sales_User.6,171,3043000,Social Media,Corporate,Banking,529 Vance Prairie,Lake Kelliview,WA,USA,1919,Other,Hot,2019-06-23T00:00:00Z,2019102290000005573
W_Account.44,Payment Plus,W_Sales_User.5,158,8909000,Partner,Corporate,Utilities,6998 Linda Lakes,Brandimouth,AK,USA,1963,Other,Hot,2018-04-10T00:00:00Z,2019102290000005573
W_Account.45,Connections for Business,W_Sales_User.9,174,7110000,Inbound Call,Corporate,Communications,991 Sarah Spur,East Briantown,WI,USA,1912,Other,Warm,2018-01-31T00:00:00Z,2019102290000005573
W_Account.51,Greenleaf Produce,W_Sales_User.9,11,2813000,Social Media,Corporate,Retail,59378 Julie Island,Jasonborough,IA,USA,1972,Public,Hot,2018-06-17T00:00:00Z,2019102290000005573
W_Account.54,Punch Networks Corporation,W_Sales_User.8,127,2774000,Marketing Event,Corporate,Construction,021 Amanda Circle,Tuckerland,MI,USA,1940,Private,Hot,2019-05-07T00:00:00Z,2019102290000005573
W_Account.58,Education Interface,W_Sales_User.11,21,9230000,Website,Corporate,Government,13890 Martinez Glens,Powellside,IN,USA,1951,Public,Hot,2017-12-08T00:00:00Z,2019102290000005573
W_Account.60,North Hills Signal Processing Corp,W_Sales_User.5,119,7695000,Data.com,Corporate,Media,064 Frazier Crescent,Jeffersonmouth,HI,USA,1882,Other,Cool,2018-05-29T00:00:00Z,2019102290000005573
W_Account.65,Dimension Data Premier - CO,W_Sales_User.11,198,4820000,Data.com,Corporate,Financial Services,5878 Lawrence Fall,Amyside,IN,USA,1897,Private,Hot,2018-07-07T00:00:00Z,2019102290000005573
W_Account.67,Dominion Digital,W_Sales_User.10,169,7736000,Partner,Corporate,Other,78104 Charles Passage,New James,MO,USA,1979,Other,Cool,2018-03-25T00:00:00Z,2019102290000005573
W_Account.68,Vicon Solutions Inc,W_Sales_User.6,219,8967000,Social Media,Corporate,Biotechnology,8420 Lori Plains,Lake John,OR,USA,1934,Other,Hot,2019-08-04T00:00:00Z,2019102290000005573
W_Account.71,PMRealty Advisors,W_Sales_User.7,200,6044000,Data.com,Corporate,Government,17758 Shelby Coves,Estesfort,MO,USA,1906,Public,Hot,2018-08-31T00:00:00Z,2019102290000005573
W_Account.74,Cymatix,W_Sales_User.9,222,6532000,Inbound Call,Corporate,Shipping,6286 Carolyn Cliff,Williamshire,OH,USA,1971,Other,Hot,2019-08-12T00:00:00Z,2019102290000005573
W_Account.78,Gas Equipment Company,W_Sales_User.4,44,4167000,Data.com,Corporate,Retail,4958 Richard Drive,Williamsshire,WY,USA,1923,Other,Warm,2018-09-21T00:00:00Z,2019102290000005573
W_Account.79,Millennium Hotels & Resorts,W_Sales_User.10,84,3470000,Inbound Call,Corporate,Banking,64289 Jeremy Stream,Kathrynfurt,ND,USA,1918,Private,Warm,2018-01-15T00:00:00Z,2019102290000005573
W_Account.84,NetMercury,W_Sales_User.5,25,7110000,Partner,Corporate,Utilities,3138 Andrea Shoal,New Loganland,WA,USA,1925,Other,Hot,2019-08-02T00:00:00Z,2019102290000005573
W_Account.85,Atofina Petrochemicals   Port Arthur,W_Sales_User.11,172,7327000,Marketing Event,Corporate,Environmental,79585 Andrew Port,Wardmouth,ND,USA,1945,Private,Cool,2019-10-08T00:00:00Z,2019102290000005573
W_Account.88,The Stop & Shop Supermarket Company,W_Sales_User.3,155,3886000,Partner,Corporate,Shipping,81504 Navarro Knoll,Lake Richard,AK,USA,1997,Private,Cool,2018-11-25T00:00:00Z,2019102290000005573
W_Account.90,Rofin-Sinar Technologies,W_Sales_User.7,102,8619000,Social Media,Corporate,Media,6148 Harmon Radial,Pattonberg,MO,USA,1931,Subsidiary,Warm,2018-12-09T00:00:00Z,2019102290000005573
W_Account.91,iPrint.com,W_Sales_User.2,71,4803000,Inbound Call,Corporate,Financial Services,13417 Tiffany Plains,Bakerside,UT,USA,1912,Private,Warm,2018-09-19T00:00:00Z,2019102290000005573
W_Account.92,Quality Resource Assoc,W_Sales_User.9,12,8990000,Partner,Corporate,Banking,111 Nolan Ford,North Ronald,IA,USA,1885,Private,Hot,2019-03-21T00:00:00Z,2019102290000005573
W_Account.94,Product Development Consulting,W_Sales_User.7,200,3040000,Marketing Event,Corporate,Electronics,38035 Velasquez Ridge,East Emily,IN,USA,1988,Private,Cool,2017-11-04T00:00:00Z,2019102290000005573
W_Account.96,Golden Key International Honour Society,W_Sales_User.8,20,8232000,Data.com,Corporate,Machinery,16144 David Run,Smithtown,IN,USA,1883,Private,Warm,2017-11-05T00:00:00Z,2019102290000005573
W_Account.98,Gemco  Ware,W_Sales_User.6,142,8348000,Inbound Call,Corporate,Education,18628 Adam Branch,Tiffanymouth,AK,USA,1938,Private,Cool,2018-01-04T00:00:00Z,2019102290000005573
W_Account.100,The Surfside Group,W_Sales_User.5,23,3251000,Community,Corporate,Insurance,774 Guzman Pines,Alexanderview,UT,USA,1942,Private,Cool,2018-05-29T00:00:00Z,2019102290000005573
W_Account.102,Oklahoma Department of Commerce,W_Sales_User.7,144,3192000,Referral,Corporate,Media,6412 Troy Motorway,Port Kathleenstad,ND,USA,1902,Subsidiary,Hot,2018-03-08T00:00:00Z,2019102290000005573
W_Account.104,Hispanic Outsourcing Solutions,W_Sales_User.9,27,9675000,Cold Call,Corporate,Other,384 Amy Circles,Ellismouth,MN,USA,2000,Other,Cool,2018-10-14T00:00:00Z,2019102290000005573
W_Account.105,Practicorp,W_Sales_User.1,189,7360000,Referral,Corporate,Engineering,948 Shaw Streets,North Davidtown,MT,USA,1950,Private,Hot,2018-12-14T00:00:00Z,2019102290000005573
W_Account.106,WEFA,W_Sales_User.5,98,2921000,Inbound Call,Corporate,Financial Services,5610 Williams Crescent,Jennifermouth,OR,USA,1996,Private,Cool,2019-06-09T00:00:00Z,2019102290000005573
W_Account.112,Crane Aerospace Division / Hydro  Aire,W_Sales_User.2,76,5311000,Inbound Call,Corporate,Engineering,42636 Cooper Plains,New Heather,NM,USA,1961,Private,Warm,2019-03-11T00:00:00Z,2019102290000005573
W_Account.115,CitySoft,W_Sales_User.8,64,5639000,Partner,Corporate,Apparel,00617 Williams Lakes,Lake Scott,KS,USA,1910,Private,Cool,2018-03-07T00:00:00Z,2019102290000005573
W_Account.118,SYNNEX Corporation,W_Sales_User.2,200,9369000,Partner,Corporate,Technology,854 Jennifer Forest,Susanfort,MT,USA,1994,Subsidiary,Cool,2018-01-22T00:00:00Z,2019102290000005573
W_Account.120,Healthsense,W_Sales_User.2,106,8436000,Cold Call,Corporate,Media,123 Cox Island,West John,CA,USA,1910,Private,Hot,2018-06-05T00:00:00Z,2019102290000005573
W_Account.122,Exsell,W_Sales_User.2,243,4128000,Partner,Corporate,Consulting,786 Carter Fall,West Charlene,ID,USA,1958,Public,Cool,2019-01-30T00:00:00Z,2019102290000005573
W_Account.128,HostCircle,W_Sales_User.9,25,5225000,Referral,Corporate,Healthcare & Life Sciences,981 Cardenas Place,New Davidhaven,MN,USA,1907,Other,Cool,2018-01-24T00:00:00Z,2019102290000005573
W_Account.129,Exacta Corporation,W_Sales_User.7,23,7790000,Referral,Corporate,Machinery,31988 Marshall Road,Travismouth,MO,USA,1974,Subsidiary,Cool,2018-09-06T00:00:00Z,2019102290000005573
W_Account.132,Semprio,W_Sales_User.7,33,7866000,Marketing Event,Corporate,Telecommunications,7159 Mary Hollow,Jasonland,KS,USA,2008,Private,Cool,2017-12-16T00:00:00Z,2019102290000005573
W_Account.133,Warrior Solutions,W_Sales_User.1,215,4209000,Marketing Event,Corporate,Financial Services,47071 Zhang Plain,North Meredith,HI,USA,1997,Private,Warm,2018-03-20T00:00:00Z,2019102290000005573
W_Account.135,AdExchange.com,W_Sales_User.10,149,4283000,Social Media,Corporate,Financial Services,27599 Cunningham Tunnel,Marvinbury,MN,USA,1919,Other,Hot,2019-05-24T00:00:00Z,2019102290000005573
W_Account.136,B2B-ERP,W_Sales_User.4,6,9914000,Social Media,Corporate,Other,376 Swanson Flats,Lake Jonathanton,WA,USA,1966,Other,Warm,2018-01-04T00:00:00Z,2019102290000005573
W_Account.139,Hablador,W_Sales_User.5,52,2251000,Community,Corporate,Shipping,5914 George Ports,Port Zacharyville,HI,USA,1961,Private,Cool,2017-12-10T00:00:00Z,2019102290000005573
W_Account.140,Enwisen,W_Sales_User.2,148,3049000,Community,Corporate,Biotechnology,55360 Elizabeth Stravenue,Johnsonbury,WA,USA,1942,Private,Cool,2018-09-24T00:00:00Z,2019102290000005573
W_Account.141,Hoffmann Optimization,W_Sales_User.6,105,6284000,Marketing Event,Corporate,Banking,519 Atkins Gateway,Loveview,OR,USA,1981,Private,Hot,2018-08-03T00:00:00Z,2019102290000005573
W_Account.142,Occidental Chemical Corp.,W_Sales_User.3,114,3022000,Website,Corporate,Chemicals,98669 Morrow Junction,Alexanderside,UT,USA,1898,Public,Cool,2018-07-13T00:00:00Z,2019102290000005573
W_Account.143,Third Wave Technologies,W_Sales_User.1,92,9810000,Social Media,Corporate,Shipping,23856 Jones Mountain,Medinamouth,OR,USA,1892,Private,Hot,2019-06-02T00:00:00Z,2019102290000005573
W_Account.146,Koch Industries,W_Sales_User.11,202,2506000,Social Media,Corporate,Technology,7209 Jessica Pine,Lake Laura,MI,USA,1947,Public,Warm,2019-02-22T00:00:00Z,2019102290000005573
W_Account.147,Black & White Software,W_Sales_User.6,126,7872000,Data.com,Corporate,Machinery,86226 Christine Junction,Lake Johnchester,WY,USA,1929,Private,Hot,2018-06-19T00:00:00Z,2019102290000005573
W_Account.149,Lightbulb Press,W_Sales_User.2,119,4715000,Community,Corporate,Utilities,41897 Young Rapids,Jonesfurt,ID,USA,2007,Other,Cool,2019-04-26T00:00:00Z,2019102290000005573
W_Account.154,Thrivent Financial for Lutherans,W_Sales_User.1,160,6398000,Data.com,Corporate,Chemicals,278 Allen Neck,East Bethany,WY,USA,1949,Other,Warm,2017-11-12T00:00:00Z,2019102290000005573
W_Account.155,Vicarious Visions,W_Sales_User.1,144,7255000,Community,Corporate,Education,072 Bass Cliff,Brandiside,HI,USA,1939,Public,Warm,2018-01-02T00:00:00Z,2019102290000005573
W_Account.156,Strategic America,W_Sales_User.7,173,6560000,Data.com,Corporate,Agriculture,503 Oconnor Oval,Gonzalezhaven,MI,USA,1907,Private,Cool,2018-10-15T00:00:00Z,2019102290000005573
W_Account.158,Tri-Coastal Design Group,W_Sales_User.10,194,7950000,Website,Corporate,Not For Profit,615 Herrera Villages,Chelseastad,MI,USA,1937,Private,Cool,2018-12-26T00:00:00Z,2019102290000005573
W_Account.159,Rex Wyon Inc,W_Sales_User.6,20,3152000,Inbound Call,Corporate,Utilities,30969 Melanie Villages,Richardsonbury,OR,USA,1935,Private,Warm,2018-01-28T00:00:00Z,2019102290000005573
W_Account.160,Kinzan,W_Sales_User.2,134,6224000,Community,Corporate,Not For Profit,09613 Jeanette Lodge,North Douglasstad,AK,USA,1953,Private,Hot,2018-03-01T00:00:00Z,2019102290000005573
W_Account.168,Samson Investment Company,W_Sales_User.11,171,2330000,Cold Call,Corporate,Electronics,055 Harris Loop,Cherylbury,IL,USA,1914,Public,Cool,2018-03-18T00:00:00Z,2019102290000005573
W_Account.173,AUTOSPORT  USA,W_Sales_User.8,31,8577000,Partner,Corporate,Retail,6396 Sanchez Locks,Port Derrickland,SD,USA,1980,Private,Warm,2018-03-16T00:00:00Z,2019102290000005573
W_Account.180,InterOPS,W_Sales_User.3,102,2172000,Community,Corporate,Agriculture,27468 Garcia Drive,Lake Mark,WA,USA,1989,Private,Cool,2019-01-12T00:00:00Z,2019102290000005573
W_Account.183,USHistoryQuarterly,W_Sales_User.1,56,9878000,Partner,Corporate,Biotechnology,62861 Webster Flat,Jonathanfort,HI,USA,1999,Private,Cool,2018-08-27T00:00:00Z,2019102290000005573
W_Account.184,Executive Greetings,W_Sales_User.6,20,8254000,Referral,Corporate,Shipping,6253 Rodriguez Oval,Josephside,NV,USA,1888,Private,Cool,2018-05-13T00:00:00Z,2019102290000005573
W_Account.196,Day  s Molding & Machinery,W_Sales_User.10,82,8197000,Website,Corporate,Environmental,3580 Evan Crossing,North Jason,WI,USA,1988,Private,Warm,2018-06-19T00:00:00Z,2019102290000005573
W_Account.197,Vacation Break Management,W_Sales_User.10,85,3300000,Website,Corporate,Recreation,20751 Mary Mountain,Nicolebury,WI,USA,2000,Other,Cool,2018-07-11T00:00:00Z,2019102290000005573
W_Account.198,Lightning Rod Software,W_Sales_User.3,43,3709000,Inbound Call,Corporate,Not For Profit,0110 Jason Rest,Woodwardbury,OR,USA,1975,Other,Warm,2017-11-05T00:00:00Z,2019102290000005573
W_Account.202,"Sam Leman Chevy, Olds, Pontiac, Buick",W_Sales_User.8,159,6331000,Community,Corporate,Other,506 Smith Trail,West Ericahaven,IN,USA,1926,Subsidiary,Cool,2018-01-22T00:00:00Z,2019102290000005573
W_Account.208,"Hubbert Systems Consulting,orporated",W_Sales_User.11,105,8315000,Community,Corporate,Consulting,806 Joseph Trail,Mistymouth,ND,USA,1945,Private,Cool,2018-05-24T00:00:00Z,2019102290000005573
W_Account.213,Cheyne Walther & Company,W_Sales_User.9,163,6485000,Partner,Corporate,Utilities,437 Barry Station,Kelleyside,MO,USA,1998,Private,Cool,2017-11-28T00:00:00Z,2019102290000005573
W_Account.214,Unigen Corporation,W_Sales_User.6,28,7720000,Partner,Corporate,Other,90541 Faulkner Ranch,North Andrewshire,HI,USA,1896,Other,Hot,2018-09-28T00:00:00Z,2019102290000005573
W_Account.215,Great Lakes Customs Brokerage,W_Sales_User.6,239,8655000,Cold Call,Corporate,Manufacturing,51423 Carla Island,North Kristen,AZ,USA,1972,Private,Hot,2018-12-20T00:00:00Z,2019102290000005573
W_Account.216,Farmers Group,W_Sales_User.5,182,3464000,Partner,Corporate,Electronics,111 Michael Walks,East Margaretberg,NV,USA,1955,Other,Hot,2017-12-11T00:00:00Z,2019102290000005573
W_Account.217,Cmore Results Inc,W_Sales_User.1,89,3473000,Partner,Corporate,Engineering,492 Albert Mills,South Emilybury,CA,USA,1943,Private,Cool,2018-06-08T00:00:00Z,2019102290000005573
W_Account.219,A Open Booking Agency,W_Sales_User.7,101,8931000,Data.com,Corporate,Chemicals,492 Kenneth Spurs,Masonshire,MI,USA,1908,Subsidiary,Hot,2018-03-30T00:00:00Z,2019102290000005573
W_Account.222,CellTrax,W_Sales_User.4,249,5569000,Social Media,Corporate,Manufacturing,8670 April Viaduct,West Jennifer,ID,USA,1902,Private,Hot,2018-05-12T00:00:00Z,2019102290000005573
W_Account.224,Pueblo Foods Harvest Sharing,W_Sales_User.7,78,5144000,Cold Call,Corporate,Engineering,17442 Amy Land,Smithfort,IA,USA,1944,Other,Warm,2017-10-26T00:00:00Z,2019102290000005573
W_Account.226,PointBase,W_Sales_User.3,105,9808000,Referral,Corporate,Banking,8378 Mccormick Plaza,Lake Hailey,AK,USA,1937,Private,Hot,2018-10-21T00:00:00Z,2019102290000005573
W_Account.227,EDP Consulting Inc,W_Sales_User.10,24,9593000,Cold Call,Corporate,Chemicals,6015 Karen Isle,New Dana,MI,USA,1903,Private,Hot,2017-12-21T00:00:00Z,2019102290000005573
W_Account.228,Morgan Construction Company,W_Sales_User.9,40,3024000,Community,Corporate,Retail,370 Mcfarland Hills,Joanshire,MN,USA,1920,Subsidiary,Cool,2018-02-04T00:00:00Z,2019102290000005573
W_Account.229,Onevoice Communications,W_Sales_User.4,11,3446000,Data.com,Corporate,Hospitality,62157 Morse Inlet,New Michelle,ID,USA,2007,Private,Cool,2018-02-05T00:00:00Z,2019102290000005573
W_Account.230,SeminarSource.com,W_Sales_User.2,17,3703000,Marketing Event,Corporate,Technology,3235 Johnson Brooks,Port Garytown,AK,USA,1940,Private,Cool,2018-06-10T00:00:00Z,2019102290000005573
W_Account.239,Net Unlimited Cabling Sols,W_Sales_User.7,134,2937000,Data.com,Corporate,Recreation,9388 Perez Crossroad,Clarkberg,KS,USA,1963,Private,Hot,2019-02-14T00:00:00Z,2019102290000005573
W_Account.240,Aerospan.com,W_Sales_User.3,113,7077000,Marketing Event,Corporate,Consulting,644 Mcfarland Ford,Margaretmouth,CA,USA,2003,Private,Cool,2017-11-10T00:00:00Z,2019102290000005573
W_Account.243,World Internet Resources,W_Sales_User.11,206,5248000,Partner,Corporate,Financial Services,4814 Martin Greens,East Maryshire,WI,USA,1957,Public,Hot,2019-04-06T00:00:00Z,2019102290000005573
W_Account.250,Gtl,W_Sales_User.5,28,4765000,Inbound Call,Corporate,Retail,432 Johnson Way,North Brittanyburgh,OR,USA,1905,Other,Cool,2018-04-30T00:00:00Z,2019102290000005573
W_Account.255,MRI Software,W_Sales_User.1,108,9969000,Referral,Corporate,Food & Beverage,847 Harris Brooks,Jeromeport,ID,USA,2007,Private,Hot,2018-10-17T00:00:00Z,2019102290000005573
W_Account.259,Advantage Mobilty Outfitters,W_Sales_User.3,48,3315000,Website,Corporate,Insurance,72500 Pamela Underpass,Longberg,HI,USA,1906,Other,Warm,2018-06-26T00:00:00Z,2019102290000005573
W_Account.263,Espiria,W_Sales_User.6,84,3378000,Referral,Corporate,Media,39343 Ortiz Ramp,Allenfurt,OR,USA,1969,Private,Warm,2018-05-24T00:00:00Z,2019102290000005573
W_Account.265,Castle Holding Corp.,W_Sales_User.1,159,6085000,Community,Corporate,Insurance,78069 Joseph Extensions,Johnburgh,UT,USA,2000,Private,Cool,2019-06-08T00:00:00Z,2019102290000005573
W_Account.266,Clear Channel,W_Sales_User.2,81,4355000,Marketing Event,Corporate,Education,774 Anthony Square,Port Royborough,CA,USA,1912,Private,Cool,2019-06-26T00:00:00Z,2019102290000005573
W_Account.268,Newbold Consulting,W_Sales_User.10,101,5748000,Social Media,Corporate,Hospitality,498 Kyle Valleys,West Richardport,MN,USA,1944,Other,Warm,2019-10-14T00:00:00Z,2019102290000005573
W_Account.269,Packaging Department Inc,W_Sales_User.5,53,7127000,Partner,Corporate,Manufacturing,873 David Walks,South Benjamin,NM,USA,1931,Private,Warm,2018-10-23T00:00:00Z,2019102290000005573
W_Account.270,Republic First National Corp.,W_Sales_User.9,85,7703000,Cold Call,Corporate,Construction,512 Smith Points,East Lindamouth,WI,USA,1899,Private,Cool,2018-03-11T00:00:00Z,2019102290000005573
W_Account.273,Computer Extension Professionals,W_Sales_User.5,229,7997000,Website,Corporate,Shipping,778 Terri Path,East Gregory,OR,USA,1893,Public,Cool,2017-12-25T00:00:00Z,2019102290000005573
W_Account.274,bottom line financial group,W_Sales_User.5,206,6172000,Data.com,Corporate,Financial Services,21182 Luna Locks,Lorettafort,WA,USA,1943,Private,Cool,2017-12-06T00:00:00Z,2019102290000005573
W_Account.277,24-7 Financial.com,W_Sales_User.11,223,6653000,Partner,Corporate,Utilities,30251 Jacob Stream,Port Angela,MN,USA,1992,Private,Hot,2018-06-16T00:00:00Z,2019102290000005573
W_Account.278,IDEC Corporation,W_Sales_User.11,163,7867000,Social Media,Corporate,Not For Profit,58489 Vargas Summit,West Shannonside,IA,USA,1948,Private,Warm,2018-06-20T00:00:00Z,2019102290000005573
W_Account.285,Nooter Corporation,W_Sales_User.7,78,8443000,Website,Corporate,Technology,683 Hale Ridge,East Kimberlyton,IL,USA,1920,Other,Hot,2017-12-26T00:00:00Z,2019102290000005573
W_Account.287,Sonoma Creek Property Services,W_Sales_User.1,175,3435000,Marketing Event,Corporate,Government,832 Latasha Canyon,Bradshawchester,MT,USA,1977,Private,Warm,2018-12-02T00:00:00Z,2019102290000005573
W_Account.289,ATL Technology,W_Sales_User.6,228,7615000,Inbound Call,Corporate,Other,62689 Alexandra Brook,Lake Thomas,HI,USA,1957,Private,Hot,2018-03-13T00:00:00Z,2019102290000005573
W_Account.291,Micromenders,W_Sales_User.9,232,2167000,Cold Call,Corporate,Government,15649 Adam Mall,Kimberlymouth,IA,USA,1890,Other,Warm,2018-12-12T00:00:00Z,2019102290000005573
W_Account.294,Diamondtip,W_Sales_User.8,76,2293000,Inbound Call,Corporate,Apparel,680 Smith Centers,South Darylview,OH,USA,1984,Private,Hot,2019-07-31T00:00:00Z,2019102290000005573
W_Account.296,mStoner,W_Sales_User.7,51,7182000,Data.com,Corporate,Food & Beverage,38005 Vang Mission,Lake Barbaraburgh,WI,USA,1909,Private,Warm,2018-03-09T00:00:00Z,2019102290000005573
W_Account.302,State Street Corp,W_Sales_User.10,83,7533000,Community,Corporate,Engineering,493 Hanna Landing,Port Nathaniel,SD,USA,1960,Private,Cool,2018-02-01T00:00:00Z,2019102290000005573
W_Account.303,New Moon Systems,W_Sales_User.5,235,9924000,Marketing Event,Corporate,Apparel,0438 Katherine Parkways,Fordside,UT,USA,1897,Other,Hot,2019-07-28T00:00:00Z,2019102290000005573
W_Account.305,Susquehanna Radio,W_Sales_User.2,33,9628000,Inbound Call,Corporate,Education,4904 Stone Isle,Stevensfurt,WA,USA,2006,Subsidiary,Warm,2019-06-13T00:00:00Z,2019102290000005573
W_Account.307,Skyline Connections,W_Sales_User.9,145,5103000,Inbound Call,Corporate,Hospitality,5977 Marquez Parkways,West Jessicashire,WI,USA,1994,Public,Hot,2018-06-21T00:00:00Z,2019102290000005573
W_Account.308,Immequire,W_Sales_User.11,28,5499000,Social Media,Corporate,Construction,12574 Luis Fort,Youngstad,MI,USA,1891,Private,Cool,2019-01-01T00:00:00Z,2019102290000005573
W_Account.311,Phifer Wire Products,W_Sales_User.1,114,4283000,Cold Call,Corporate,Technology,046 Nathaniel Alley,Jamesshire,AZ,USA,1978,Private,Warm,2017-11-25T00:00:00Z,2019102290000005573
W_Account.314,Georgia U S Data Services Inc,W_Sales_User.7,115,7484000,Inbound Call,Corporate,Electronics,1188 Ingram Island,Elizabethfurt,ND,USA,1987,Private,Hot,2019-04-13T00:00:00Z,2019102290000005573
W_Account.316,"Blue Steel Networks,",W_Sales_User.1,17,8451000,Cold Call,Corporate,Transportation,9759 Brenda Ramp,Nielsenside,CA,USA,1897,Private,Cool,2017-12-16T00:00:00Z,2019102290000005573
W_Account.319,IntelliCorp,W_Sales_User.3,26,5357000,Inbound Call,Corporate,Machinery,1702 Salazar Hill,New Johnside,HI,USA,1927,Private,Hot,2019-04-30T00:00:00Z,2019102290000005573
W_Account.322,Barra,W_Sales_User.1,92,6856000,Community,Corporate,Utilities,09647 Wyatt Center,Ericstad,AK,USA,1964,Other,Warm,2019-02-18T00:00:00Z,2019102290000005573
W_Account.324,Independent Technology Group,W_Sales_User.1,155,6034000,Website,Corporate,Utilities,595 Daniel Wells,Crystalview,OR,USA,1929,Other,Cool,2017-12-18T00:00:00Z,2019102290000005573
W_Account.325,obongo,W_Sales_User.2,120,3419000,Community,Corporate,Communications,567 Walker Manor,Lake Aaronmouth,AK,USA,1987,Public,Cool,2018-10-05T00:00:00Z,2019102290000005573
W_Account.327,Strategic Management Group,W_Sales_User.2,193,5052000,Website,Corporate,Retail,907 Taylor Views,East Danielle,CA,USA,1943,Private,Warm,2018-02-18T00:00:00Z,2019102290000005573
W_Account.328,Storage Networks Corporation,W_Sales_User.1,56,9916000,Inbound Call,Corporate,Energy,19443 Harry Islands,Anthonyfort,CA,USA,1999,Public,Cool,2017-12-06T00:00:00Z,2019102290000005573
W_Account.330,Unisoft Corp.,W_Sales_User.3,93,7965000,Website,Corporate,Biotechnology,94252 Butler Heights,Matthewchester,HI,USA,1896,Other,Hot,2019-03-07T00:00:00Z,2019102290000005573
W_Account.332,Vannix Communications,W_Sales_User.6,185,6109000,Cold Call,Corporate,Hospitality,9427 Lisa Track,Lunaview,WA,USA,1953,Subsidiary,Cool,2018-08-09T00:00:00Z,2019102290000005573
W_Account.333,Prizmalite Industries,W_Sales_User.7,147,3512000,Partner,Corporate,Education,2006 Salinas Brook,New Tracy,MN,USA,1910,Private,Warm,2018-02-13T00:00:00Z,2019102290000005573
