External_Id__c,Owner.External_Id__c,Account.External_Id__c,Contact.External_Id__c,CreatedDate__c,ClosedDate__c,LastActivityDate__c,Origin,Tier,Product_Family_KB__c,Priority,SLA,Reason,Type_of_Support__c,CSAT__c,Status,First_Contact_Close__c,Time_Open__c,Team__c,close_date_offset,Offer_Voucher__c,Send_FieldService__c,IsEscalated,MilestoneStatus__c,analyticsdemo_batch_id__c
W_Case.15,W_Services_User.13,W_Account.17,W_Services_Contact.17,2019-11-26 11:30:32,2019-11-26 11:30:32,2019-11-26,Chat,Tier 1,Cell Phones,High,Violation,Hardware Question,Basic,77.073604058,Closed,true,0,East CSR,401,false,false,true,Closed - Violation,20200113100000003249
W_Case.16,W_Services_User.14,W_Account.17,W_Services_Contact.17,2020-01-03 17:32:05,2020-01-03 17:32:05,2020-01-03,Chat,Tier 1,Cell Phones,High,Violation,Item Damaged,Basic,81.624365479,Closed,true,0,East CSR,363,false,true,true,Closed - Violation,20200113100000003249
W_Case.17,W_Services_User.7,W_Account.17,W_Services_Contact.17,2019-12-15 09:15:52,2020-02-13 09:15:52,2019-12-28,Chat,Tier 1,Cell Phones,High,Violation,Item Damaged,Basic,77.99746193,Attention,false,60,Central CSR,322,false,false,true,Open - Violation,20200113100000003249
W_Case.18,W_Services_User.8,W_Account.19,W_Services_Contact.19,2019-11-26 16:06:23,2019-11-26 16:06:23,2019-11-26,Chat,Tier 2,Computers,Medium,Compliant,Hardware Question,Platinum,79.266497465,Closed,true,0,Central CSR,401,false,true,false,Closed - Compliant,20200113100000003249
W_Case.19,W_Services_User.16,W_Account.19,W_Services_Contact.19,2019-12-28 13:39:28,2019-12-28 13:39:28,2019-12-28,Chat,Tier 1,DVD Players,High,Compliant,Item Damaged,Silver,79.065989848,Closed,true,0,East CSR,369,false,true,true,Closed - Compliant,20200113100000003249
W_Case.20,W_Services_User.11,W_Account.21,W_Services_Contact.21,2019-12-10 10:39:11,2020-02-08 10:39:11,2020-01-01,Chat,Tier 2,Headphones,Low,Violation,Late Delivery,Silver,74.39492386,Waiting on Customer,false,60,Central CSR,327,false,false,false,Open - Violation,20200113100000003249
W_Case.21,W_Services_User.2,W_Account.21,W_Services_Contact.21,2019-11-23 10:24:49,2019-12-05 10:24:49,2019-12-01,Chat,Tier 2,Home Audio,Medium,Compliant,Item Damaged,Free,78.294416247,Closed,false,12,West CSR,392,false,false,false,Closed - Compliant,20200113100000003249
W_Case.24,W_Services_User.12,W_Account.24,W_Services_Contact.24,2019-12-27 16:22:20,2019-12-27 16:22:20,2019-12-27,Chat,Tier 2,TVs,Medium,Compliant,Item Damaged,Free,77.59644670200001,Closed,true,0,East CSR,370,false,false,false,Closed - Compliant,20200113100000003249
W_Case.26,W_Services_User.8,W_Account.25,W_Services_Contact.25,2019-11-16 12:17:39,2019-11-16 12:17:39,2019-11-16,Chat,Tier 2,Video Games,Low,Compliant,Late Delivery,Free,72.502538071,Closed,true,0,Central CSR,411,false,false,false,Closed - Compliant,20200113100000003249
W_Case.27,W_Services_User.17,W_Account.25,W_Services_Contact.25,2019-12-29 17:45:04,2020-02-27 17:45:04,2020-01-06,Chat,Tier 1,Cables,High,Violation,Item Damaged,Silver,74.828426396,Waiting on Customer,false,60,East CSR,308,false,false,true,Open - Violation,20200113100000003249
W_Case.28,W_Services_User.15,W_Account.25,W_Services_Contact.25,2019-12-23 10:50:27,2019-12-23 10:50:27,2019-12-23,Chat,Tier 2,Cables,Medium,Compliant,Item Damaged,Silver,72.619289342,Closed,true,0,East CSR,374,false,false,false,Closed - Compliant,20200113100000003249
W_Case.29,W_Services_User.7,W_Account.25,W_Services_Contact.25,2019-12-08 16:06:34,2020-02-06 16:06:34,2019-12-23,Chat,Tier 1,Cameras,High,Violation,Hardware Question,Silver,82.649746196,Waiting on Customer,false,60,Central CSR,329,false,false,true,Open - Violation,20200113100000003249
W_Case.30,W_Services_User.4,W_Account.25,W_Services_Contact.25,2019-12-09 09:42:22,2020-01-14 09:42:22,2020-01-11,Chat,Tier 1,Cameras,High,Compliant,Late Delivery,Silver,82.37563451899999,Escalated,false,36,West CSR,352,false,false,true,Open - Compliant,20200113100000003249
W_Case.33,W_Services_User.7,W_Account.26,W_Services_Contact.26,2019-12-05 11:23:14,2019-12-05 11:23:14,2019-12-05,Chat,Tier 2,Cell Phones,Medium,Compliant,Hardware Question,Basic,75.482233503,Closed,true,0,Central CSR,392,false,false,false,Closed - Compliant,20200113100000003249
W_Case.34,W_Services_User.11,W_Account.28,W_Services_Contact.28,2019-11-16 15:52:22,2019-11-16 15:52:22,2019-11-16,Chat,Tier 1,Computers,High,Compliant,Hardware Question,Platinum,78.857868022,Closed,true,0,Central CSR,411,false,false,true,Closed - Compliant,20200113100000003249
W_Case.35,W_Services_User.1,W_Account.28,W_Services_Contact.28,2020-01-11 10:52:36,2020-01-11 10:52:36,2020-01-11,Chat,Tier 1,Computers,Medium,Compliant,Item Damaged,Platinum,83.02538071000001,Closed,true,0,West CSR,355,false,true,true,Closed - Compliant,20200113100000003249
W_Case.37,W_Services_User.13,W_Account.29,W_Services_Contact.29,2020-01-06 10:09:37,2020-03-30 10:09:37,2020-01-11,Chat,Tier 3,Computers,Low,Violation,Item Damaged,Platinum,77.862944164,On Hold,false,84,East CSR,276,false,false,false,Open - Violation,20200113100000003249
W_Case.38,W_Services_User.11,W_Account.31,W_Services_Contact.31,2019-12-05 12:24:47,2019-12-05 12:24:47,2019-12-05,Chat,Tier 2,DVD Players,Medium,Violation,Late Delivery,Silver,75.82233502700001,Closed,true,0,Central CSR,392,false,false,false,Closed - Violation,20200113100000003249
W_Case.39,W_Services_User.15,W_Account.31,W_Services_Contact.31,2019-11-14 16:17:15,2019-11-14 16:17:15,2019-11-14,Chat,Tier 1,Headphones,High,Compliant,Item Damaged,Silver,80.33197969599999,Closed,true,0,East CSR,413,false,false,true,Closed - Compliant,20200113100000003249
W_Case.40,W_Services_User.6,W_Account.32,W_Services_Contact.32,2019-12-25 11:42:28,2020-01-30 11:42:28,2020-01-08,Chat,Tier 1,Home Audio,High,Compliant,Late Delivery,Free,80.446700505,Waiting on Customer,false,36,Central CSR,336,false,false,true,Open - Compliant,20200113100000003249
W_Case.41,W_Services_User.2,W_Account.32,W_Services_Contact.32,2019-11-23 17:54:02,2020-01-22 17:54:02,2020-01-08,Chat,Tier 2,Home Audio,Medium,Violation,Late Delivery,Free,76.314720809,New,false,60,West CSR,344,false,false,false,Open - Violation,20200113100000003249
W_Case.42,W_Services_User.11,W_Account.32,W_Services_Contact.32,2020-01-06 14:31:51,2020-01-06 14:31:51,2020-01-06,Chat,Tier 2,Home Audio,Low,Violation,Item Damaged,Free,82.80203045900001,Closed,true,0,Central CSR,360,false,true,false,Closed - Violation,20200113100000003249
W_Case.44,W_Services_User.9,W_Account.36,W_Services_Contact.36,2019-12-09 17:54:49,2020-01-02 17:54:49,2019-12-21,Chat,Tier 3,TVs,Low,Compliant,Item Damaged,Free,76.79695431600001,Closed,false,24,Central CSR,364,false,false,false,Closed - Compliant,20200113100000003249
W_Case.45,W_Services_User.5,W_Account.36,W_Services_Contact.36,2019-12-20 14:00:36,2019-12-20 14:00:36,2019-12-20,Chat,Tier 2,Video Games,Medium,Compliant,Item Damaged,Free,76.177030455,Closed,true,0,West CSR,377,true,false,false,Closed - Compliant,20200113100000003249
W_Case.46,W_Services_User.11,W_Account.37,W_Services_Contact.37,2019-12-26 09:34:44,2019-12-26 09:34:44,2019-12-26,Chat,Tier 1,Cables,High,Violation,Late Delivery,Silver,83.252791876,Closed,true,0,Central CSR,371,true,true,true,Closed - Violation,20200113100000003249
W_Case.47,W_Services_User.8,W_Account.38,W_Services_Contact.38,2019-11-24 12:30:28,2019-11-24 12:30:28,2019-11-24,Chat,Tier 1,Cameras,Medium,Compliant,Hardware Question,Silver,81.857868018,Closed,true,0,Central CSR,403,false,false,true,Closed - Compliant,20200113100000003249
W_Case.48,W_Services_User.4,W_Account.39,W_Services_Contact.39,2019-11-17 09:29:52,2019-11-17 09:29:52,2019-11-17,Chat,Tier 2,Cell Phones,Medium,Compliant,Late Delivery,Basic,75.80203045600001,Closed,true,0,West CSR,410,false,false,false,Closed - Compliant,20200113100000003249
W_Case.49,W_Services_User.8,W_Account.39,W_Services_Contact.39,2019-11-25 10:55:05,2019-11-25 10:55:05,2019-11-25,Chat,Tier 2,Cell Phones,Medium,Compliant,Late Delivery,Basic,76.99238579,Closed,true,0,Central CSR,402,false,false,false,Closed - Compliant,20200113100000003249
W_Case.50,W_Services_User.9,W_Account.41,W_Services_Contact.41,2019-12-20 15:58:15,2019-12-20 15:58:15,2019-12-20,Chat,Tier 1,DVD Players,High,Violation,Late Delivery,Silver,74.89847716,Closed,true,0,Central CSR,377,false,false,true,Closed - Violation,20200113100000003249
W_Case.52,W_Services_User.2,W_Account.42,W_Services_Contact.42,2020-01-05 11:15:25,2020-01-05 11:15:25,2020-01-05,Chat,Tier 1,DVD Players,Medium,Violation,Item Damaged,Silver,78.14213197999999,Closed,true,0,West CSR,361,false,false,true,Closed - Violation,20200113100000003249
W_Case.53,W_Services_User.1,W_Account.42,W_Services_Contact.42,2019-12-26 14:49:21,2019-12-26 14:49:21,2019-12-26,Chat,Tier 1,Headphones,High,Compliant,Late Delivery,Silver,77.33299492399999,Closed,true,0,West CSR,371,false,false,true,Closed - Compliant,20200113100000003249
W_Case.54,W_Services_User.8,W_Account.43,W_Services_Contact.43,2019-11-23 15:07:22,2019-11-23 15:07:22,2019-11-23,Chat,Tier 1,Headphones,High,Compliant,Hardware Question,Silver,77.844670053,Closed,true,0,Central CSR,404,false,false,true,Closed - Compliant,20200113100000003249
W_Case.56,W_Services_User.15,W_Account.44,W_Services_Contact.44,2019-12-17 14:25:03,2019-12-17 14:25:03,2019-12-17,Chat,Tier 1,Home Audio,High,Compliant,Late Delivery,Free,81.715736042,Closed,true,0,East CSR,380,false,false,true,Closed - Compliant,20200113100000003249
W_Case.57,W_Services_User.2,W_Account.44,W_Services_Contact.44,2019-12-03 15:14:19,2019-12-03 15:14:19,2019-12-03,Chat,Tier 2,Home Audio,Medium,Compliant,Late Delivery,Free,77.126903551,Closed,true,0,West CSR,394,false,false,false,Closed - Compliant,20200113100000003249
W_Case.59,W_Services_User.4,W_Account.44,W_Services_Contact.44,2019-11-17 14:19:36,2020-01-16 14:19:36,2019-12-14,Chat,Tier 1,Tablets,High,Violation,Late Delivery,Silver,80.253807105,Working,false,60,West CSR,350,false,false,true,Open - Violation,20200113100000003249
W_Case.60,W_Services_User.7,W_Account.45,W_Services_Contact.45,2019-11-22 10:44:46,2019-11-22 10:44:46,2019-11-22,Chat,Tier 1,TVs,High,Compliant,Item Damaged,Free,77.42639593800001,Closed,true,0,Central CSR,405,false,false,true,Closed - Compliant,20200113100000003249
W_Case.62,W_Services_User.1,W_Account.48,W_Services_Contact.48,2019-12-03 12:16:43,2019-12-15 12:16:43,2019-12-04,Chat,Tier 3,Cables,Low,Compliant,Hardware Question,Silver,73.252791876,Closed,false,12,West CSR,382,false,false,false,Closed - Compliant,20200113100000003249
W_Case.63,W_Services_User.8,W_Account.48,W_Services_Contact.48,2019-12-30 16:23:36,2019-12-30 16:23:36,2019-12-30,Chat,Tier 1,Cameras,High,Compliant,Late Delivery,Silver,87.989847714,Closed,true,0,Central CSR,367,false,true,true,Closed - Compliant,20200113100000003249
W_Case.64,W_Services_User.5,W_Account.49,W_Services_Contact.49,2020-01-11 10:14:02,2020-01-11 10:14:02,2020-01-11,Chat,Tier 1,Cameras,High,Compliant,Hardware Question,Silver,86.071065989,Closed,true,0,West CSR,355,false,true,true,Closed - Compliant,20200113100000003249
W_Case.65,W_Services_User.5,W_Account.49,W_Services_Contact.49,2019-12-14 14:48:39,2019-12-14 14:48:39,2019-12-14,Chat,Tier 2,Cameras,Low,Compliant,Hardware Question,Silver,78.670050758,Closed,true,0,West CSR,383,false,false,false,Closed - Compliant,20200113100000003249
W_Case.66,W_Services_User.14,W_Account.49,W_Services_Contact.49,2019-12-16 11:47:15,2019-12-16 11:47:15,2019-12-16,Chat,Tier 1,Cell Phones,High,Violation,Hardware Question,Basic,76.41624365499999,Closed,true,0,East CSR,381,false,false,true,Closed - Violation,20200113100000003249
W_Case.68,W_Services_User.5,W_Account.53,W_Services_Contact.53,2019-11-25 10:12:11,2019-11-25 10:12:11,2019-11-25,Chat,Tier 3,DVD Players,Low,Violation,Item Damaged,Silver,77.309644672,Closed,true,0,West CSR,402,false,true,false,Closed - Violation,20200113100000003249
W_Case.69,W_Services_User.17,W_Account.54,W_Services_Contact.54,2020-01-08 12:33:18,2020-01-08 12:33:18,2020-01-08,Chat,Tier 2,Headphones,Medium,Compliant,Late Delivery,Silver,74.71472081299999,Closed,true,0,East CSR,358,false,false,false,Closed - Compliant,20200113100000003249
W_Case.70,W_Services_User.7,W_Account.54,W_Services_Contact.54,2019-11-21 17:00:46,2019-11-21 17:00:46,2019-11-21,Chat,Tier 2,Headphones,Medium,Compliant,Late Delivery,Silver,75.183756345,Closed,true,0,Central CSR,406,false,false,false,Closed - Compliant,20200113100000003249
W_Case.73,W_Services_User.1,W_Account.56,W_Services_Contact.56,2020-01-09 13:23:00,2020-01-09 13:23:00,2020-01-09,Chat,Tier 1,Tablets,High,Violation,Item Damaged,Silver,79.543147211,Closed,true,0,West CSR,357,false,false,true,Closed - Violation,20200113100000003249
W_Case.74,W_Services_User.2,W_Account.57,W_Services_Contact.57,2019-11-18 12:03:03,2019-11-18 12:03:03,2019-11-18,Chat,Tier 1,TVs,High,Violation,Late Delivery,Free,81.540609135,Closed,true,0,West CSR,409,false,true,true,Closed - Violation,20200113100000003249
W_Case.75,W_Services_User.14,W_Account.57,W_Services_Contact.57,2019-12-19 15:05:29,2020-02-17 15:05:29,2019-12-28,Chat,Tier 1,TVs,High,Violation,Item Damaged,Free,76.05583756,Waiting on Customer,false,60,East CSR,318,false,false,true,Open - Violation,20200113100000003249
W_Case.76,W_Services_User.9,W_Account.58,W_Services_Contact.58,2019-11-19 16:59:02,2019-11-19 16:59:02,2019-11-19,Chat,Tier 1,TVs,High,Violation,Late Delivery,Free,78.568527922,Closed,true,0,Central CSR,408,false,false,true,Closed - Violation,20200113100000003249
W_Case.79,W_Services_User.3,W_Account.60,W_Services_Contact.60,2020-01-12 15:14:12,2020-01-12 15:14:12,2020-01-12,Chat,Tier 1,Cables,High,Violation,Item Damaged,Silver,78.619289342,Closed,true,0,West CSR,354,false,true,true,Closed - Violation,20200113100000003249
W_Case.81,W_Services_User.11,W_Account.62,W_Services_Contact.62,2020-01-05 14:50:10,2020-01-05 14:50:10,2020-01-05,Chat,Tier 2,Cameras,Medium,Violation,Item Damaged,Silver,79.94923857699999,Closed,true,0,Central CSR,361,false,false,false,Closed - Violation,20200113100000003249
W_Case.82,W_Services_User.16,W_Account.62,W_Services_Contact.62,2019-12-20 10:10:32,2020-01-01 10:10:32,2019-12-23,Chat,Tier 2,Cameras,Medium,Compliant,Late Delivery,Silver,81.532994926,Closed,false,12,East CSR,365,false,false,false,Closed - Compliant,20200113100000003249
W_Case.83,W_Services_User.7,W_Account.62,W_Services_Contact.62,2019-12-05 13:41:29,2020-02-03 13:41:29,2020-01-04,Chat,Tier 1,Cell Phones,High,Violation,Item Damaged,Basic,76.32741117,Warning,false,60,Central CSR,332,false,false,true,Open - Violation,20200113100000003249
W_Case.84,W_Services_User.8,W_Account.63,W_Services_Contact.63,2019-12-15 09:00:45,2020-02-13 09:00:45,2019-12-27,Chat,Tier 1,Cell Phones,Medium,Violation,Late Delivery,Basic,78.246192895,Working,false,60,Central CSR,322,false,false,true,Open - Violation,20200113100000003249
W_Case.85,W_Services_User.15,W_Account.63,W_Services_Contact.63,2019-12-01 15:12:26,2019-12-13 15:12:26,2019-12-08,Chat,Tier 2,Cell Phones,Medium,Compliant,Item Damaged,Basic,76.69035532699999,Closed,false,12,East CSR,384,false,false,false,Closed - Compliant,20200113100000003249
W_Case.86,W_Services_User.2,W_Account.64,W_Services_Contact.64,2019-12-16 15:36:36,2019-12-16 15:36:36,2019-12-16,Chat,Tier 2,Computers,Medium,Compliant,Item Damaged,Platinum,76.77411167800001,Closed,true,0,West CSR,381,false,false,false,Closed - Compliant,20200113100000003249
W_Case.88,W_Services_User.16,W_Account.67,W_Services_Contact.67,2019-12-19 10:44:37,2019-12-19 10:44:37,2019-12-19,Chat,Tier 3,DVD Players,Low,Compliant,Hardware Question,Silver,77.94923857799999,Closed,true,0,East CSR,378,false,true,false,Closed - Compliant,20200113100000003249
W_Case.89,W_Services_User.16,W_Account.68,W_Services_Contact.68,2019-12-02 11:38:36,2019-12-14 11:38:36,2019-12-03,Chat,Tier 1,Headphones,High,Compliant,Hardware Question,Silver,82.50558375400001,Closed,false,12,East CSR,383,false,true,true,Closed - Compliant,20200113100000003249
W_Case.90,W_Services_User.14,W_Account.68,W_Services_Contact.68,2019-11-20 09:36:36,2020-01-19 09:36:36,2019-12-05,Chat,Tier 2,Home Audio,Medium,Violation,Hardware Question,Free,78.893401014,New,false,60,East CSR,347,false,true,false,Open - Violation,20200113100000003249
W_Case.92,W_Services_User.14,W_Account.68,W_Services_Contact.68,2019-12-09 13:50:58,2019-12-09 13:50:58,2019-12-09,Chat,Tier 1,Tablets,High,Violation,Late Delivery,Silver,83.23857867800001,Closed,true,0,East CSR,388,false,false,true,Closed - Violation,20200113100000003249
W_Case.93,W_Services_User.4,W_Account.68,W_Services_Contact.68,2019-11-23 17:59:14,2019-11-23 17:59:14,2019-11-23,Chat,Tier 1,Tablets,High,Violation,Hardware Question,Silver,81.126903556,Closed,true,0,West CSR,404,false,true,true,Closed - Violation,20200113100000003249
W_Case.95,W_Services_User.7,W_Account.69,W_Services_Contact.69,2019-12-03 14:40:40,2019-12-03 14:40:40,2019-12-03,Chat,Tier 3,Tablets,Low,Violation,Item Damaged,Silver,76.69035532699999,Closed,true,0,Central CSR,394,false,false,false,Closed - Violation,20200113100000003249
W_Case.96,W_Services_User.1,W_Account.69,W_Services_Contact.69,2019-12-08 11:51:47,2019-12-08 11:51:47,2019-12-08,Chat,Tier 2,TVs,Medium,Violation,Hardware Question,Free,76.682741119,Closed,true,0,West CSR,389,false,false,false,Closed - Violation,20200113100000003249
W_Case.98,W_Services_User.13,W_Account.73,W_Services_Contact.73,2019-12-29 10:50:50,2019-12-29 10:50:50,2019-12-29,Chat,Tier 1,Cameras,High,Compliant,Late Delivery,Silver,83.74619289,Closed,true,0,East CSR,368,false,false,true,Closed - Compliant,20200113100000003249
W_Case.99,W_Services_User.14,W_Account.75,W_Services_Contact.75,2019-12-04 12:09:36,2020-02-14 12:09:36,2019-12-09,Chat,Tier 2,Cameras,Low,Violation,Item Damaged,Silver,78.48730964699999,On Hold,false,72,East CSR,321,false,false,false,Open - Violation,20200113100000003249
W_Case.100,W_Services_User.7,W_Account.75,W_Services_Contact.75,2019-12-19 14:26:35,2019-12-19 14:26:35,2019-12-19,Chat,Tier 3,Cameras,Low,Compliant,Item Damaged,Silver,79.61421320100001,Closed,true,0,Central CSR,378,false,false,false,Closed - Compliant,20200113100000003249
W_Case.102,W_Services_User.3,W_Account.75,W_Services_Contact.75,2019-11-24 11:07:57,2019-11-24 11:07:57,2019-11-24,Chat,Tier 1,Cell Phones,High,Violation,Late Delivery,Basic,78.068527918,Closed,true,0,West CSR,403,false,false,true,Closed - Violation,20200113100000003249
W_Case.103,W_Services_User.9,W_Account.75,W_Services_Contact.75,2020-01-09 16:25:40,2020-01-09 16:25:40,2020-01-09,Chat,Tier 2,Cell Phones,Medium,Violation,Item Damaged,Basic,75.908629445,Closed,true,0,Central CSR,357,false,false,false,Closed - Violation,20200113100000003249
W_Case.106,W_Services_User.14,W_Account.78,W_Services_Contact.78,2020-01-05 15:46:19,2020-01-05 15:46:19,2020-01-05,Chat,Tier 2,Headphones,Medium,Violation,Item Damaged,Silver,73.10152284200001,Closed,true,0,East CSR,361,false,false,false,Closed - Violation,20200113100000003249
W_Case.107,W_Services_User.17,W_Account.78,W_Services_Contact.78,2019-11-24 12:18:14,2019-11-24 12:18:14,2019-11-24,Chat,Tier 3,Headphones,Low,Compliant,Hardware Question,Silver,74.409137059,Closed,true,0,East CSR,403,false,false,false,Closed - Compliant,20200113100000003249
W_Case.108,W_Services_User.14,W_Account.79,W_Services_Contact.79,2020-01-02 11:34:34,2020-01-02 11:34:34,2020-01-02,Chat,Tier 1,Home Audio,High,Violation,Hardware Question,Free,79.228426399,Closed,true,0,East CSR,364,false,false,true,Closed - Violation,20200113100000003249
W_Case.112,W_Services_User.8,W_Account.84,W_Services_Contact.84,2019-12-16 16:54:26,2019-12-16 16:54:26,2019-12-16,Chat,Tier 1,Cables,High,Compliant,Hardware Question,Basic,75.147715737,Closed,true,0,Central CSR,381,false,false,true,Closed - Compliant,20200113100000003249
W_Case.113,W_Services_User.1,W_Account.86,W_Services_Contact.86,2019-12-29 09:23:51,2019-12-29 09:23:51,2019-12-29,Chat,Tier 1,Cameras,High,Compliant,Unknown Failure,Silver,89.68527919,Closed,true,0,West CSR,368,false,false,true,Closed - Compliant,20200113100000003249
W_Case.114,W_Services_User.7,W_Account.87,W_Services_Contact.87,2019-12-23 15:38:34,2019-12-23 15:38:34,2019-12-23,Chat,Tier 1,Cell Phones,High,Violation,Unknown Failure,Platinum,80.21319797000001,Closed,true,0,Central CSR,374,false,false,true,Closed - Violation,20200113100000003249
W_Case.115,W_Services_User.9,W_Account.89,W_Services_Contact.89,2019-12-05 13:31:36,2019-12-05 13:31:36,2019-12-05,Chat,Tier 1,DVD Players,High,Compliant,Unknown Failure,Basic,75.74555837400001,Closed,true,0,Central CSR,392,false,false,true,Closed - Compliant,20200113100000003249
W_Case.116,W_Services_User.16,W_Account.90,W_Services_Contact.90,2019-12-14 15:47:19,2019-12-14 15:47:19,2019-12-14,Chat,Tier 1,DVD Players,Medium,Compliant,General Question,Basic,84.12944162599999,Closed,true,0,East CSR,383,false,true,true,Closed - Compliant,20200113100000003249
W_Case.117,W_Services_User.2,W_Account.90,W_Services_Contact.90,2019-11-28 11:39:26,2019-11-28 11:39:26,2019-11-28,Chat,Tier 3,DVD Players,Low,Violation,Hardware Question,Basic,73.985406094,Closed,true,0,West CSR,399,false,false,false,Closed - Violation,20200113100000003249
W_Case.118,W_Services_User.9,W_Account.91,W_Services_Contact.91,2019-12-19 11:39:35,2019-12-19 11:39:35,2019-12-19,Chat,Tier 1,Headphones,High,Violation,Documentation,Free,78.139593906,Closed,true,0,Central CSR,378,false,false,true,Closed - Violation,20200113100000003249
W_Case.120,W_Services_User.14,W_Account.92,W_Services_Contact.92,2019-12-20 15:38:18,2019-12-20 15:38:18,2019-12-20,Chat,Tier 1,Home Audio,Medium,Compliant,General Question,Free,80.944162435,Closed,true,0,East CSR,377,false,false,true,Closed - Compliant,20200113100000003249
W_Case.121,W_Services_User.12,W_Account.93,W_Services_Contact.93,2019-12-23 15:15:57,2019-12-23 15:15:57,2019-12-23,Chat,Tier 1,Tablets,High,Violation,General Question,Basic,82.954314719,Closed,true,0,East CSR,374,false,false,true,Closed - Violation,20200113100000003249
W_Case.122,W_Services_User.11,W_Account.94,W_Services_Contact.94,2019-11-18 12:49:06,2019-11-18 12:49:06,2019-11-18,Chat,Tier 2,Tablets,Medium,Compliant,General Question,Basic,83.068527918,Closed,true,0,Central CSR,409,false,false,false,Closed - Compliant,20200113100000003249
W_Case.123,W_Services_User.5,W_Account.94,W_Services_Contact.94,2020-01-09 12:21:57,2020-01-09 12:21:57,2020-01-09,Chat,Tier 1,TVs,High,Compliant,Hardware Question,Platinum,78.79695431600001,Closed,true,0,West CSR,357,false,false,true,Closed - Compliant,20200113100000003249
W_Case.124,W_Services_User.6,W_Account.94,W_Services_Contact.94,2019-12-25 15:05:21,2019-12-25 15:05:21,2019-12-25,Chat,Tier 3,TVs,Low,Violation,Unknown Failure,Platinum,74.893401014,Closed,true,0,Central CSR,372,false,false,false,Closed - Violation,20200113100000003249
W_Case.125,W_Services_User.16,W_Account.95,W_Services_Contact.95,2019-12-26 16:08:31,2019-12-26 16:08:31,2019-12-26,Chat,Tier 1,Video Games,High,Violation,Documentation,Silver,78.137055835,Closed,true,0,East CSR,371,true,false,true,Closed - Violation,20200113100000003249
