"AccountId","DeliveryMethod","Description","PrimaryContactId","Priority","LocationId","Name","StoreType","OwnerId","Product_Id_with_Name","RetailLocationGroupId","Id","Key","DeliveryFrequency"
"001B000001AQUOwIAP","Van",,"003B000000H1QcFIAV","High","131B00000009QM9IAM","Rondel Store - San Francisco Central","Regular","005B0000006NoPnIAK","01tB0000000UI8UIAW_Kelloggs Muesli","0Y2B0000000L08uKAC","0YQB0000000L0C0OAK","1",1
"001B000001AQUOwIAP","Van",,"003B000000H1QcPIAV","Medium","131B00000009QMPIA2","Fare Merchants - Chelsea","Regular","005B0000006NoPnIAK","01tB0000000UI8UIAW_Kelloggs Muesli","0Y2B0000000L08wKAC","0YQB0000000L0CHOA0","1",3
"001B000001AQUOwIAP","Van",,"003B000000H1QcKIAV","Low","131B00000009QMQIA2","NTO Store - Alameda","Regular","005B0000006NoPnIAK","01tB0000000UI8UIAW_Kelloggs Muesli","0Y2B0000000L08sKAC","0YQB0000000L0CIOA0","1",5
"001B000001AQUOxIAP","Truck",,"003B000000H1QcTIAV","Medium","131B00000009QM6IAM","NTO Store - Berkeley","Regular","005B0000006NoPnIAK","01tB0000000UI8UIAW_Kelloggs Muesli","0Y2B0000000L08wKAC","0YQB0000000L0BxOAK","1",10
"001B000001AQUOxIAP","Van",,"003B000000H1QcYIAV","Medium","131B00000009QMAIA2","Rondel Store - Austin East","Regular","005B0000006NoPnIAK","01tB0000000UI8UIAW_Kelloggs Muesli","0Y2B0000000L08tKAC","0YQB0000000L0C1OAK","1",3
"001B000001AQUOxIAP","Van",,"003B000000H1QcdIAF","Low","131B00000009QMBIA2","Rondel Store - Chicago Streeterville","Regular","005B0000006NoPnIAK","01tB0000000UI8UIAW_Kelloggs Muesli","0Y2B0000000L08wKAC","0YQB0000000L0C2OAK","1",5
"001B000001AQUOxIAP","Truck",,"003B000000H1QcJIAV","High","131B00000009QMKIA2","Nutrition Stop - Kennesaw","Regular","005B0000006NoPnIAK","01tB0000000UI8UIAW_Kelloggs Muesli","0Y2B0000000L08wKAC","0YQB0000000L0CCOA0","1",2
"001B000001AQUOyIAP","Van",,"003B000000H1QcMIAV","Low","131B00000009QM8IAM","Nutrition Stop - Gainesville","Regular","005B0000006NoPnIAK","01tB0000000UI8UIAW_Kelloggs Muesli","0Y2B0000000L08vKAC","0YQB0000000L0BzOAK","1",7
"001B000001AQUOyIAP","Truck",,"003B000000H1QcHIAV","Medium","131B00000009QMEIA2","Alpine Nutrition - Austin","Regular","005B0000006NoPnIAK","01tB0000000UI8UIAW_Kelloggs Muesli","0Y2B0000000L08uKAC","0YQB0000000L0C5OAK","1",10
"001B000001AQUOyIAP","Van",,"003B000000H1QcRIAV","High","131B00000009QMHIA2","NTO Store - Noe Valley","Regular","005B0000006NoPnIAK","01tB0000000UI8UIAW_Kelloggs Muesli","0Y2B0000000L08sKAC","0YQB0000000L0C8OAK","1",1
"001B000001AQUOyIAP","Truck",,"003B000000H1QcbIAF","Medium","131B00000009QMLIA2","Nutrition Stop - Elkhorn","Regular","005B0000006NoPnIAK","01tB0000000UI8UIAW_Kelloggs Muesli","0Y2B0000000L08sKAC","0YQB0000000L0CDOA0","1",10
"001B000001AQUOyIAP","Van",,"003B000000H1QcWIAV","Low","131B00000009QMMIA2","NTO Store - Dublin","Regular","005B0000006NoPnIAK","01tB0000000UI8UIAW_Kelloggs Muesli","0Y2B0000000L08vKAC","0YQB0000000L0CEOA0","1",3
"001B000001AR2BGIA1","Van",,"003B000000H1QcXIAV","Low","131B00000009QM7IAM","NTO Store - Presidio","Regular","005B0000006NoPnIAK","01tB0000000UI8UIAW_Kelloggs Muesli","0Y2B0000000L08sKAC","0YQB0000000L0ByOAK","1",3
